SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
2.8449577,0.40521771,2.4603667,7.0208127,46.618447,16.339693,0.00019253011,-4.2228074,-0.34911156,2.4603667,12.095868,46.618447,-3.1508122,0.0015040512,0.043931632,0.49244359,2.4603667,0.0892115,46.618447,0.19571527,3.4871097e-06,0.41075481,0.019796385,1.4379412,20.748981,46.278226,21.883813,0.92192679,-6.1512021e-05,-0.04516812,7.0208127,0.0013618459,16.339693,0.0050186365,0.69074754,0.00041586693,0.30537002,0.0892115,0.0013618459,0.19571527,0.0050186365,0.0058791075,-0.31139659,-0.14986597,12.095868,2.0778339,-3.1508122,6.5463937,0.1845574,-26.279771,-0.092907707,2.4603667,282.85889,46.618447,492.90136,0.41239386,107.74118,0.47261966,7.0208127,227.96593,16.339693,311.89501,9.5753275e-06,-114.272,-0.5012679,12.095868,227.96593,-3.1508122,311.89501,2.1787429e-06,27.176263,0.096077104,7.0208127,282.85889,16.339693,492.90136,0.39656128,71.652925,0.25331686,12.095868,282.85889,-3.1508122,492.90136,0.023378561,-69.711475,-0.24645319,0.0892115,282.85889,0.19571527,492.90136,0.027540957,54.459952,0.16566947,20.748981,328.72655,21.883813,736.00539,0.40889524,-230.87763,-0.816229,0.0013618459,282.85889,0.0050186365,492.90136,2.8475103e-20,-122.67006,-0.43367935,2.0778339,282.85889,6.5463937,492.90136,5.8539425e-05,12546.591,282057.11,1.2179935,311.89501,1,daily
0.98503004,0.20503199,2.3498036,4.8042748,45.582212,2.78861,0.14481104,1.8979859,0.12564203,2.3498036,15.106298,45.582212,-27.416976,0.37480045,-0.0061679448,-0.026246445,2.3498036,0.23500115,45.582212,0.06856539,0.85346695,2.8227613,0.1581129,1.6669787,17.852821,46.40625,-33.538912,0.46057387,-0.00035313586,-0.25911962,4.8042748,0.0013628295,2.78861,0.0044451939,0.063605208,7.0747615e-06,0.0051912301,0.23500115,0.0013628295,0.06856539,0.0044451939,0.97086397,-0.11431948,-0.036091551,15.106298,3.1674859,-27.416976,4.3016058,0.79948325,8.6218521,0.028884439,2.3498036,298.49471,45.582212,359.56522,0.8389258,11.024923,0.069435225,4.8042748,158.77998,2.78861,128.02165,0.62475395,-60.13178,-0.37871135,15.106298,158.77998,-27.416976,128.02165,0.0056318004,98.808131,0.33102138,4.8042748,298.49471,2.78861,359.56522,0.016529495,-127.36649,-0.42669597,15.106298,298.49471,-27.416976,359.56522,0.0016079761,-1.8091369,-0.0060608675,0.23500115,298.49471,0.06856539,359.56522,0.96598575,-213.36385,-0.597373,17.852821,357.17023,-33.538912,497.18148,0.002054257,-198.36686,-0.66455737,0.0013628295,298.49471,0.0044451939,359.56522,7.7744923e-08,-68.877072,-0.23074805,3.1674859,298.49471,4.3016058,359.56522,0.099806399,11112.985,279500.18,1.2437163,128.02165,1,0
1.0347097,0.23923002,2.2045799,4.3251667,45.278061,3.3516138,0.097819844,0.064713454,0.0041043706,2.2045799,15.766962,45.278061,-30.237472,0.97767092,-0.0039534572,-0.10024677,2.2045799,0.039437252,45.278061,0.012402739,0.4931284,-0.39504796,-0.022176315,1.406677,17.813959,46.13587,-34.209577,0.91999911,-0.00045899327,-0.34614005,4.3251667,0.0013260334,3.3516138,0.0043881559,0.014839791,0.00037880597,0.28566849,0.039437252,0.0013260334,0.012402739,0.0043881559,0.046620174,-0.048543722,-0.015424887,15.766962,3.147104,-30.237472,4.2493673,0.91622266,40.752549,0.13150029,2.2045799,309.90464,45.278061,374.71948,0.36776979,37.76381,0.23869446,4.3251667,158.20983,3.3516138,132.94105,0.09859597,-36.910023,-0.23329792,15.766962,158.20983,-30.237472,132.94105,0.10668448,175.39716,0.5659714,4.3251667,309.90464,3.3516138,374.71948,2.2527878e-05,-146.1134,-0.47147859,15.766962,309.90464,-30.237472,374.71948,0.00062715339,-88.794459,-0.28652188,0.039437252,309.90464,0.012402739,374.71948,0.045940382,-210.40587,-0.58190099,17.813959,361.58362,-34.209577,527.75196,0.003581826,-210.51208,-0.67928017,0.0013260334,309.90464,0.0043881559,374.71948,8.0550792e-08,-69.409497,-0.2239705,3.147104,309.90464,4.2493673,374.71948,0.12185184,10970.39,279399.41,1.2441272,132.94105,1,1
0.12312808,0.029712557,2.1748792,4.1439748,45.143229,3.7156444,0.84111103,1.7023674,0.11301868,2.1748792,15.062708,45.143229,-33.439859,0.44437179,0.0013420467,0.040253151,2.1748792,0.033340166,45.143229,0.011242867,0.7858982,-1.5845256,-0.091932262,1.3859811,17.235794,46.066304,-35.644519,0.67653938,-0.00054047359,-0.40158113,4.1439748,0.001345864,3.7156444,0.0044252268,0.0046685659,0.0004935544,0.36671937,0.033340166,0.001345864,0.011242867,0.0044252268,0.010355146,-0.23208437,-0.074361871,15.062708,3.121013,-33.439859,4.4390312,0.61544935,36.029818,0.10999214,2.1748792,327.56719,45.143229,385.63067,0.45674154,0.48159713,0.0031348783,4.1439748,153.62546,3.7156444,134.36892,0.98312871,-10.024684,-0.065254049,15.062708,153.62546,-33.439859,134.36892,0.65946898,174.75842,0.53350403,4.1439748,327.56719,3.7156444,385.63067,9.4384527e-05,-128.00729,-0.39078179,15.062708,327.56719,-33.439859,385.63067,0.0060292884,-80.715616,-0.24640934,0.033340166,327.56719,0.011242867,385.63067,0.091350483,-197.67387,-0.52177748,17.235794,378.84708,-35.644519,547.21964,0.010660602,-229.61416,-0.70096811,0.001345864,327.56719,0.0044252268,385.63067,2.8912835e-08,-72.869098,-0.22245542,3.121013,327.56719,4.4390312,385.63067,0.12858539,11063.067,279574.03,1.2438267,134.36892,1,2
0.51208371,0.11961351,2.1670217,4.2811527,45.069792,3.5823591,0.41806919,-0.35510097,-0.026877247,2.1670217,13.211955,45.069792,-31.813724,0.85610445,-0.010510819,-0.24606881,2.1670217,0.042714958,45.069792,0.01435454,0.091813377,-0.51013859,-0.02875295,1.3663987,17.74213,46,-35.889944,0.89638376,-0.00025705352,-0.18770108,4.2811527,0.0013694834,3.5823591,0.0043943957,0.20141083,0.00025891849,0.18906289,0.042714958,0.0013694834,0.01435454,0.0043943957,0.19810069,0.1181257,0.036070322,13.211955,3.2748724,-31.813724,4.2414063,0.80769995,24.76345,0.078418496,2.1670217,315.78584,45.069792,376.25926,0.59625401,15.295246,0.10633895,4.2811527,143.83483,3.5823591,134.08298,0.47191838,-47.872674,-0.33283088,13.211955,143.83483,-31.813724,134.08298,0.020806898,131.25984,0.41566094,4.2811527,315.78584,3.5823591,376.25926,0.0033024725,-148.75529,-0.47106383,13.211955,315.78584,-31.813724,376.25926,0.00072683662,-83.692397,-0.26502898,0.042714958,315.78584,0.01435454,376.25926,0.068685897,-217.6948,-0.58246723,17.74213,373.746,-35.889944,522.28383,0.0035417224,-208.50558,-0.66027528,0.0013694834,315.78584,0.0043943957,376.25926,3.292376e-07,-72.619864,-0.22996555,3.2748724,315.78584,4.2414063,376.25926,0.11585625,10985.989,279386.59,1.2441152,134.08298,1,3
1.5533042,0.35256694,2.1619788,4.4057001,44.940217,3.8811717,0.01625465,-2.7923666,-0.14421696,2.1619788,19.362262,44.940217,-32.168313,0.33896127,-0.007486061,-0.23578201,2.1619788,0.031749924,44.940217,0.009624941,0.11468655,0.57264954,0.028403846,1.3424443,20.160986,45.944565,-33.43064,0.89763536,-0.00031195598,-0.22442335,4.4057001,0.0013900335,3.8811717,0.0042958682,0.13376363,0.00015441541,0.11108754,0.031749924,0.0013900335,0.009624941,0.0042958682,0.46235357,0.22134946,0.065685821,19.362262,3.3698211,-32.168313,3.8953152,0.66449805,42.958547,0.13244881,2.1619788,324.34076,44.940217,374.94597,0.38023451,29.191578,0.2058531,4.4057001,141.80781,3.8811717,130.06965,0.16991053,-27.622759,-0.19479011,19.362262,141.80781,-32.168313,130.06965,0.19454877,205.80164,0.63452291,4.4057001,324.34076,3.8811717,374.94597,2.1865497e-06,-191.51077,-0.59046161,19.362262,324.34076,-32.168313,374.94597,1.5644419e-05,-79.022872,-0.24364151,0.031749924,324.34076,0.009624941,374.94597,0.1027482,-281.61853,-0.7476596,20.160986,376.66677,-33.43064,518.00294,4.1184765e-05,-206.289,-0.63602551,0.0013900335,324.34076,0.0042958682,374.94597,2.0335064e-06,-63.075387,-0.19447259,3.3698211,324.34076,3.8953152,374.94597,0.19529139,10739.67,279007.06,1.2457353,130.06965,1,4
0.74985712,0.21003221,2.1609434,3.5702006,44.805682,3.2553464,0.17118447,-1.591115,-0.10405989,2.1609434,15.290378,44.805682,-31.985062,0.50144846,-0.022026782,-0.12145781,2.1609434,0.18135336,44.805682,0.038769416,0.43223053,-2.0429816,-0.099699458,1.3204439,20.491401,45.888043,-33.093593,0.65083095,-8.1118003e-05,-0.056442753,3.5702006,0.001437173,3.2553464,0.0043388962,0.71592456,0.00016751135,0.11655614,0.18135336,0.001437173,0.038769416,0.0043388962,0.45117231,0.64963699,0.1911285,15.290378,3.398954,-31.985062,3.994125,0.21394148,44.758815,0.14372893,2.1609434,311.41132,44.805682,374.23394,0.35196299,1.5446965,0.012201135,3.5702006,126.60269,3.2553464,123.84363,0.93734594,-3.8852437,-0.030688476,15.290378,126.60269,-31.985062,123.84363,0.84324026,146.85652,0.47158374,3.5702006,311.41132,3.2553464,374.23394,0.0012318463,-123.38938,-0.39622637,15.290378,311.41132,-31.985062,374.23394,0.0077549238,-2.7548931,-0.0088464771,0.18135336,311.41132,0.038769416,374.23394,0.95455107,-247.0499,-0.68274988,20.491401,361.8454,-33.093593,502.01942,0.00033093171,-212.59309,-0.68267616,0.001437173,311.41132,0.0043388962,374.23394,3.3143847e-07,-95.323466,-0.30610148,3.398954,311.41132,3.994125,374.23394,0.043301658,10847.241,279066.68,1.2466591,123.84363,1,5
1.2204264,0.28792742,2.1564082,4.23866,44.760227,3.5485716,0.058057264,-1.5234442,-0.10237192,2.1564082,14.881465,44.760227,-31.787045,0.50845187,-0.0026272446,-0.085247771,2.1564082,0.030818924,44.760227,0.011382483,0.58218632,-0.98797944,-0.049341802,1.3057972,20.023173,45.838043,-32.229322,0.82308847,4.8022551e-05,0.032731679,4.23866,0.0014671582,3.5485716,0.0043393072,0.83294707,6.4679197e-05,0.044084678,0.030818924,0.0014671582,0.011382483,0.0043393072,0.77629973,0.151242,0.043801965,14.881465,3.4528588,-31.787045,4.0399545,0.77769783,46.240089,0.1476176,2.1564082,313.24239,44.760227,382.24628,0.33894708,17.673987,0.13392111,4.23866,131.97312,3.5485716,126.03755,0.38612175,-27.985662,-0.21205577,14.881465,131.97312,-31.787045,126.03755,0.16700276,95.464258,0.30476162,4.23866,313.24239,3.5485716,382.24628,0.044273118,-99.26097,-0.31688231,14.881465,313.24239,-31.787045,382.24628,0.036100331,-81.460413,-0.26005552,0.030818924,313.24239,0.011382483,382.24628,0.088227236,-230.6868,-0.62838688,20.023173,367.10952,-32.229322,513.6665,0.0013224519,-211.42277,-0.67494942,0.0014671582,313.24239,0.0043393072,382.24628,5.0390492e-07,-95.382519,-0.30450067,3.4528588,313.24239,4.0399545,382.24628,0.044464363,10848.268,279105.89,1.2464924,126.03755,1,6
0.85067765,0.18987138,2.1583295,4.4802836,44.725568,4.6587279,0.21702667,-1.8112796,-0.11389872,2.1583295,15.902546,44.725568,-30.389757,0.46162771,-0.010705465,-0.25025866,2.1583295,0.042777602,44.725568,0.013769721,0.10133247,0.28730376,0.014738696,1.2910292,19.49316,45.802174,-27.590024,0.94678405,9.4558676e-05,0.063727146,4.4802836,0.0014838053,4.6587279,0.0043172498,0.68109681,0.00014433863,0.097275993,0.042777602,0.0014838053,0.013769721,0.0043172498,0.52989086,0.096730976,0.028783584,15.902546,3.36063,-30.389757,3.9028977,0.85286002,53.564859,0.16155245,2.1583295,331.56327,44.725568,375.4237,0.29479112,22.733284,0.16914166,4.4802836,134.40381,4.6587279,127.89147,0.2723831,-17.846539,-0.13278298,15.902546,134.40381,-30.389757,127.89147,0.39020799,101.91877,0.3073886,4.4802836,331.56327,4.6587279,375.4237,0.042384846,-194.61725,-0.58696867,15.902546,331.56327,-30.389757,375.4237,2.8154207e-05,-87.142293,-0.26282251,0.042777602,331.56327,0.013769721,375.4237,0.084775396,-268.23985,-0.71166622,19.49316,376.91806,-27.590024,531.12371,0.00014005545,-228.38434,-0.68881074,0.0014838053,331.56327,0.0043172498,375.4237,2.3550676e-07,-102.08154,-0.30787951,3.36063,331.56327,3.9028977,375.4237,0.042039366,10793.125,278950.42,1.2469151,127.89147,1,7
1.1836194,0.12833779,2.4454247,9.2226877,45.260638,11.583882,0.38994856,0.0084932489,0.00074930701,2.4938189,11.334805,45.265816,-14.52145,0.99592303,-0.015526217,-0.04089595,2.4626311,0.3796517,45.292391,0.17530366,0.78727618,-4.607526,-0.33469147,1.5737127,13.766487,45.947917,18.275463,0.10990629,-0.00026201834,-0.17937025,9.2226877,0.0014607681,11.583882,0.0045108485,0.22766286,-0.00015776747,-0.10811465,0.3796517,0.0014592607,0.17530366,0.0045436904,0.47449179,-0.42804067,-0.141181,11.334805,3.0318574,-14.52145,4.7526122,0.3332379,33.314473,0.091827314,2.4617905,362.7948,45.267157,396.82631,0.52160266,119.53539,0.61772153,9.2226877,193.51015,11.583882,145.54501,3.7333944e-06,4.7405026,0.02563819,11.334805,184.90005,-14.52145,133.7482,0.86118729,121.77123,0.33682836,9.2226877,361.52309,11.583882,403.15115,0.02060732,-15.127103,-0.041493158,11.334805,364.56862,-14.52145,396.78886,0.77711865,14.373657,0.039653132,0.3796517,362.48478,0.17530366,396.37173,0.79359738,-211.66198,-0.54425072,13.766487,388.90528,18.275463,592.20383,0.0059692922,-264.04269,-0.72780174,0.0014555866,362.7948,0.004479488,396.82631,1.4409065e-09,-89.156541,-0.24574922,3.0170039,362.7948,4.6473137,396.82631,0.0821652,11198.72,279764.63,1.2434002,138.17156,1,8
