SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.4278348,0.22731094,3.2620504,6.2814167,34.85685,8.4644718,0.078108238,1.9144098,0.11392418,3.1572824,16.804245,34.965995,3.6133884,0.35129708,-0.00718877,-0.063620123,3.2620504,0.11299522,34.85685,0.1377767,0.62618504,1.1960056,0.030678076,3.6851728,38.985677,33.833541,21.154064,0.77283194,-5.4107299e-05,-0.059389799,5.6681155,0.00091105374,7.8684472,0.0036892449,0.4430728,7.9984775e-05,0.087793696,0.089039812,0.00091105374,0.11847581,0.0036892449,0.25635829,-0.3934004,-0.1091774,21.645228,3.6033136,2.4674066,0.75675589,0.14802379,50.901202,0.10761396,3.6851728,472.99813,33.833541,634.43844,0.30994725,4.4931631,0.050692161,5.6681155,88.636252,7.8684472,145.45141,0.51277159,10.997052,0.09613363,21.645228,114.39339,2.4674066,153.79567,0.2030666,88.843001,0.15988783,5.6681155,555.65829,7.8684472,529.04806,0.037848347,118.91225,0.21597795,21.645228,550.57589,2.4674066,530.9577,0.0038869133,-33.746282,-0.060732077,0.089039812,555.65829,0.11847581,529.04806,0.43281611,-133.55755,-0.24359274,30.864461,548.28213,14.043197,557.39843,0.00052625537,-330.78812,-0.60331734,0.00097813777,548.28213,0.0035624416,557.39843,4.0827482e-21,250.77284,0.45737919,3.6116559,548.28213,0.45521818,557.39843,1.1111754e-11,8906.1041,288179.52,1.0690918,158.69426,1,daily
2.7291172,0.33304544,3.6881281,8.1944288,35.089709,3.5988359,0.029087771,-0.45294091,-0.013631522,3.5482824,33.227465,35.207612,-30.348765,0.92593407,-0.0075426051,-0.029265444,3.6881281,0.25773076,35.089709,0.090034148,0.85221639,-1.3958184,-0.031504454,3.882565,44.305432,33.785396,-67.558397,0.7927735,5.8211441e-06,0.0054159175,7.4906554,0.0010748214,3.5938476,0.0035143328,0.94773338,4.1420664e-05,0.038537253,0.15619139,0.0010748214,0.046668441,0.0035143328,0.64077261,-1.3985702,-0.39442827,34.720799,3.5458163,-33.649651,-0.11928846,3.4895614e-07,27.25198,0.051111258,3.882565,533.18938,33.785396,597.79626,0.66982951,2.7818782,0.081810191,7.4906554,34.004055,3.5938476,33.547265,0.32125888,4.9342377,0.046482603,34.720799,106.15235,-33.649651,41.769293,0.56447332,91.424733,0.13888801,7.4906554,658.26226,3.5938476,491.14712,0.091168923,-265.99455,-0.40708605,34.720799,653.41111,-33.649651,492.45438,1.3359607e-07,-44.184267,-0.06712259,0.15619139,658.26226,0.046668441,491.14712,0.41601561,-416.70923,-0.64495216,47.834787,646.10874,-60.563002,510.38765,1.9698011e-22,-437.32101,-0.67685357,0.0011056112,646.10874,0.0033868738,510.38765,2.4756201e-25,201.81498,0.31235451,3.5921926,646.10874,-0.52954749,510.38765,2.0743066e-05,8467.1844,287051.83,1.0816461,40.230002,1,0
1.0244763,0.14097481,3.662563,7.2670878,35.16425,2.8311406,0.37319308,-3.7145799,-0.097544789,3.5147216,38.080762,35.267771,-40.108055,0.50952876,0.021417687,0.10457099,3.662563,0.20481481,35.16425,0.069182028,0.50985976,-2.3878992,-0.054208725,3.8793505,44.050089,33.751193,-68.515155,0.65581082,5.6732368e-05,0.052399863,6.9142252,0.0010826816,3.2607228,0.0035055541,0.52564282,-7.4883068e-06,-0.006916444,0.15516204,0.0010826816,0.058483876,0.0035055541,0.93328229,-1.7465952,-0.47750874,32.589901,3.6577239,-36.26433,-0.067380645,3.3340773e-10,22.471838,0.039971871,3.877858,562.1913,33.804718,647.37784,0.74067249,5.735142,0.17947773,6.9142252,31.954616,3.2607228,32.75757,0.028511869,10.118499,0.092476106,32.589901,109.41744,-36.26433,41.345737,0.25243582,29.865987,0.046121217,6.9142252,647.55419,3.2607228,495.80323,0.57647759,-217.11362,-0.33631604,32.589901,645.56426,-36.26433,500.87168,1.8814627e-05,-29.017682,-0.044811202,0.15516204,647.55419,0.058483876,495.80323,0.58736634,-431.13824,-0.66714654,48.090577,646.24219,-59.761686,525.94126,3.7361251e-24,-438.15179,-0.67991748,0.0011213365,644.41907,0.0033717463,525.75084,1.7049381e-25,215.09089,0.33377486,3.6948059,644.41907,-0.47248596,525.75084,5.2887838e-06,8429.3657,287118.06,1.08149,39.736687,1,1
1.0965025,0.20559962,3.6826153,5.3331931,35.039,2.152937,0.20310985,0.64963081,0.021211523,3.5253219,30.626316,35.156576,-35.754667,0.8887232,-0.071705289,-0.33302564,3.6826153,0.21531462,35.039,0.070561363,0.035745974,-2.4691333,-0.055984204,3.8766389,44.104107,33.675986,-67.717611,0.64774105,6.2616794e-05,0.058474565,6.6752063,0.0010708381,3.4035695,0.0034900214,0.48173401,0.00011605639,0.10837902,0.12441752,0.0010708381,0.033522116,0.0034900214,0.19132801,-1.1318752,-0.30682272,28.792947,3.6890201,-34.183853,-0.10431699,0.000114539,44.177696,0.080630889,3.8766389,547.90039,33.675986,659.8138,0.51014744,3.0573394,0.095683924,6.6752063,31.952488,3.4035695,32.93052,0.24897215,9.1860856,0.084953681,28.792947,108.13052,-34.183853,41.528505,0.29644363,24.326377,0.039024654,6.6752063,623.3592,3.4035695,495.54343,0.6388635,-201.52915,-0.32456222,28.792947,620.92609,-34.183853,499.58586,4.2572676e-05,-97.955684,-0.15714163,0.12441752,623.3592,0.033522116,495.54343,0.057327817,-428.24456,-0.69295303,47.410771,617.9994,-58.960591,526.26467,1.6467648e-26,-417.05663,-0.67484957,0.0011109018,617.9994,0.0033502016,526.26467,9.6864269e-25,212.96312,0.34460085,3.7300464,617.9994,-0.5182017,526.26467,2.8225995e-06,8375.504,287070.05,1.0815792,39.688477,1,2
1.8803975,0.26188602,3.6563923,7.1802133,34.9995,1.3614139,0.10259032,4.4058148,0.16653728,3.4995929,26.455427,35.117326,-30.037795,0.26865178,-0.036448937,-0.13370972,3.6563923,0.27259751,34.9995,0.13198712,0.41076859,-3.6714292,-0.082067994,3.8506715,44.736432,33.647297,-66.298299,0.50261168,-3.2490994e-05,-0.030314225,7.1869995,0.0010718068,2.9931111,0.0034599336,0.71643814,1.4250203e-05,0.013295495,0.23489795,0.0010718068,0.093398616,0.0034599336,0.87345124,-1.3240242,-0.36028638,29.996551,3.6749215,-30.630318,-0.16315686,4.7728317e-06,47.319441,0.087956313,3.8506715,537.988,33.647297,657.82653,0.47234611,5.5165651,0.064080345,7.1869995,86.088255,2.9931111,39.394836,0.44223737,29.778586,0.23058577,29.996551,129.14321,-30.630318,47.486121,0.0041367025,105.90175,0.1576935,7.1869995,671.56698,2.9931111,512.76527,0.057308403,-243.23118,-0.36433956,29.996551,667.59476,-30.630318,513.03116,3.6598702e-06,-47.127144,-0.070174897,0.23489795,671.56698,0.093398616,512.76527,0.39996913,-433.84063,-0.65824455,47.85038,659.0873,-58.906204,539.08377,3.1780038e-23,-439.606,-0.66699207,0.0011057832,659.0873,0.0033169863,539.08377,5.1958857e-24,229.84076,0.34872582,3.7272223,659.0873,-0.5915,539.08377,2.104128e-06,8292.4657,287012.25,1.0810772,44.852896,1,3
2.2414971,0.24005607,3.6315516,9.3373901,35.024385,2.5610779,0.14102199,4.4937214,0.1451596,3.4685928,30.957108,35.135567,-34.26459,0.34139606,-0.0020604377,-0.0091347423,3.6315516,0.22556057,35.024385,0.07472709,0.9559859,-6.2935059,-0.1365213,3.8547053,46.099076,33.628,-67.659797,0.2669478,-6.3137831e-05,-0.0586345,7.2691778,0.0010768034,3.6523524,0.0034207394,0.48512552,-1.0740339e-05,-0.0099742798,0.17831394,0.0010768034,0.055049449,0.0034207394,0.90555174,-1.20496,-0.32667154,35.640878,3.6885979,-37.651826,-0.18951987,4.2447776e-05,64.002974,0.11669066,3.8547053,548.48412,33.628,676.66182,0.34330336,9.0500037,0.1478862,7.2691778,61.19573,3.6523524,37.337601,0.076909331,17.548626,0.15832119,35.640878,110.84193,-37.651826,46.172655,0.052187917,139.83292,0.20589724,7.2691778,679.13934,3.6523524,532.16398,0.013293042,-222.14924,-0.32976273,35.640878,673.66387,-37.651826,530.74145,3.5529402e-05,-13.765861,-0.020269569,0.17831394,679.13934,0.055049449,532.16398,0.80944684,-438.59849,-0.66022878,48.701244,664.31289,-58.978895,551.34863,2.8288303e-23,-445.15337,-0.67009593,0.0011035095,664.31289,0.0032807534,551.34863,3.6376783e-24,244.68708,0.36833107,3.7363821,664.31289,-0.63946857,551.34863,5.3007821e-07,8201.8835,286975.16,1.0810724,43.637797,1,4
2.6952317,0.1975825,3.5889401,13.641045,34.996692,5.9034949,0.22793846,1.167558,0.036637072,3.4274858,31.868213,35.106356,-35.588325,0.81115744,0.0039853445,0.019041323,3.5889401,0.20929977,34.996692,0.063692465,0.90840197,-5.1550437,-0.10724661,3.8292712,48.067195,33.603507,-65.591821,0.3840292,-0.00015352472,-0.14306347,9.5750775,0.0010731232,4.0187003,0.003402979,0.08827746,6.2761514e-05,0.058484912,0.18580232,0.0010731232,0.062543036,0.003402979,0.48778639,-1.1482867,-0.31063055,33.501276,3.6966316,-36.498446,-0.18680667,0.00010939172,90.453496,0.15894357,3.8292712,569.09189,33.603507,707.31245,0.19544787,18.591453,0.29561683,9.5750775,62.890375,4.0187003,38.139001,0.00033773582,15.438538,0.17167324,33.501276,89.929791,-36.498446,43.858795,0.035676868,113.18184,0.16924407,9.5750775,668.7492,4.0187003,540.81817,0.043310475,-285.29811,-0.4329051,33.501276,659.03153,-36.498446,536.14568,3.15161e-08,-77.45453,-0.11582,0.18580232,668.7492,0.062543036,540.81817,0.16836067,-432.70772,-0.6654711,48.638726,650.22766,-58.753631,560.48494,9.6064114e-24,-442.38743,-0.68035775,0.0011000497,650.22766,0.0032547901,560.48494,3.9575067e-25,255.30246,0.39263549,3.7223894,650.22766,-0.64422286,560.48494,7.6898719e-08,8136.9751,286977.62,1.0811222,41.646399,1,5
1.1680966,0.20156531,3.5803965,5.7951273,34.973654,1.083297,0.21851101,0.35284664,0.015438255,3.4167033,22.855345,35.079878,-28.484983,0.91982465,-0.044785518,-0.31787292,3.5803965,0.14089127,34.973654,0.072063041,0.048608341,-4.8437643,-0.10064111,3.8331812,48.129085,33.575853,-63.98546,0.41415837,-0.00018262204,-0.16838588,6.7673304,0.0010845448,2.8833852,0.0034126442,0.044398628,3.2106038e-05,0.029603238,0.19164992,0.0010845448,0.069446207,0.0034126442,0.72560843,-0.99741072,-0.27143047,28.017163,3.6746454,-32.194476,-0.26998344,0.00074842975,70.706536,0.12147226,3.8331812,582.07971,33.575853,698.52656,0.32375296,18.01178,0.18855115,6.7673304,95.527292,2.8833852,42.534019,0.024119355,18.48941,0.16906199,28.017163,109.36468,-32.194476,47.149408,0.03797106,165.91362,0.25371634,6.7673304,653.93353,2.8833852,527.92769,0.0022313958,-233.26374,-0.36311952,28.017163,642.38832,-32.194476,518.03721,4.596501e-06,-46.883946,-0.071695277,0.19164992,653.93353,0.069446207,527.92769,0.39481273,-430.27462,-0.67083729,47.902723,641.39939,-57.988586,551.27056,3.1082399e-24,-439.14254,-0.68466318,0.001112675,641.39939,0.0032616357,551.27056,1.5185725e-25,232.1098,0.3618803,3.6865404,641.39939,-0.70445143,551.27056,8.6223404e-07,8154.0893,286903.51,1.0811576,44.663457,1,6
1.1568037,0.23584033,3.6127356,4.9050292,34.923132,1.8933174,0.15402705,0.98281486,0.034281327,3.4020568,28.669102,35.013722,-26.266571,0.82309932,0.054280874,0.15445525,3.6127356,0.35143431,34.923132,0.15972234,0.35450157,-6.2025147,-0.13831163,3.8525436,44.844492,33.510687,-60.086519,0.26433704,-0.00012815553,-0.11690806,6.242214,0.0010962079,2.8221654,0.0034055388,0.16894707,-5.7751865e-05,-0.052683313,0.24312235,0.0010962079,0.084319556,0.0034055388,0.53644469,-1.1101501,-0.29509689,30.573319,3.7619851,-29.096964,-0.26438742,0.00023475884,81.990425,0.13389431,3.8525436,612.35181,33.510687,713.64529,0.28004422,14.588569,0.162151,6.242214,89.969037,2.8221654,41.264153,0.055609609,17.380062,0.19746518,30.573319,88.015831,-29.096964,42.044693,0.015085978,157.12003,0.25182858,6.242214,623.91659,2.8221654,528.7709,0.002686626,-284.09329,-0.42693024,30.573319,665.43258,-29.096964,539.78591,4.5882942e-08,35.013129,0.056118285,0.24312235,623.91659,0.084319556,528.7709,0.51017406,-437.54257,-0.66137752,46.225046,661.5625,-53.517623,567.96601,2.9907191e-23,-453.06048,-0.68483398,0.0011357335,661.5625,0.003247485,567.96601,2.0112981e-25,239.95335,0.36270701,3.765518,661.5625,-0.67048563,567.96601,8.7218491e-07,8118.7125,286919.69,1.0816606,40.559336,1,7
-0.34100956,-0.058651598,3.4426425,5.8141564,34.716527,4.1481578,0.73023288,5.0634976,0.15994463,3.3847075,31.657815,34.995633,-11.363697,0.29393709,0.0053885808,0.013786826,3.4426425,0.39085,34.716527,0.1983621,0.93545199,-8.0602853,-0.17814672,3.863923,45.245207,33.483507,-23.258449,0.1492128,-6.6076185e-05,-0.059694836,6.794283,0.0011068995,4.8898557,0.0034384184,0.48835573,4.9637258e-05,0.044843509,0.35285101,0.0011068995,0.17384146,0.0034384184,0.60283191,-0.93838393,-0.25511674,33.566765,3.678253,-19.003437,0.091403974,0.0015703623,49.48398,0.079856427,3.863923,619.66183,33.483507,734.05095,0.52062709,7.8731871,0.085750496,6.794283,91.815062,4.8898557,42.373382,0.31909274,15.263037,0.17346857,33.566765,87.987334,-19.003437,41.873246,0.033164992,55.28799,0.081652128,6.794283,677.11633,4.8898557,577.31582,0.34285369,-70.610292,-0.10727136,33.566765,658.2399,-19.003437,547.28594,0.18985605,-82.196654,-0.12139222,0.35285101,677.11633,0.17384146,577.31582,0.1576345,-289.1986,-0.43828963,43.521335,659.83446,-16.346459,580.19977,1.4611845e-09,-458.59369,-0.69501324,0.0011261462,659.83446,0.0033020353,580.19977,1.9768354e-26,246.99259,0.37432508,3.7068868,659.83446,-0.31947414,580.19977,3.6125514e-07,8255.0882,287266.34,1.0812625,40.58678,1,8
