SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.46655699,0.11702915,12.845519,3.9866734,32.958427,4.4813218,0.39482169,-3.9012191,-0.38740413,14.822461,10.070154,34.429414,1.9734295,0.0029084776,-0.009328382,-0.12155915,12.845519,0.076739446,32.958427,0.17559986,0.37665031,-0.62567814,-0.045244747,14.822461,13.828746,34.429414,11.779779,0.73823335,-0.00029202701,-0.37778585,3.9866734,0.00077299616,4.4813218,0.0036973661,0.004460858,0.00016139897,0.2087966,0.076739446,0.00077299616,0.17559986,0.0036973661,0.12605959,-0.15299915,-0.06306347,10.070154,2.4261137,1.9734295,4.7728099,0.64119053,-16.737055,-0.033047581,14.822461,506.45325,34.429414,738.06673,0.80719773,43.607782,0.37836386,3.9866734,115.25356,4.4813218,143.53796,0.0043954333,-24.81129,-0.21845749,10.070154,113.57491,1.9734295,141.7533,0.10256084,325.59769,0.63369971,3.9866734,513.80438,4.4813218,740.67926,2.0679371e-07,-50.590977,-0.099892688,10.070154,506.45325,1.9734295,738.06673,0.45971453,-23.932382,-0.046578782,0.076739446,513.80438,0.17559986,740.67926,0.73559941,-89.709592,-0.17713302,13.828746,506.45325,11.779779,738.06673,0.18745408,-381.4913,-0.75326064,0.00076807488,506.45325,0.0036782921,738.06673,1.3789276e-11,248.3943,0.49045851,2.4261137,506.45325,4.7728099,738.06673,0.00010751044,9195.7302,280648.01,1.2308458,141.7533,1,daily
0.15898594,0.07058868,14.074031,2.2522866,33.417877,0.92807421,0.61547991,-2.1751497,-0.12333603,16.329358,17.635963,35.49942,-9.1545681,0.36514243,-0.022391603,-0.25389656,14.074031,0.088191832,33.417877,0.036634937,0.066578554,-2.2294146,-0.084341505,16.329358,26.433186,35.49942,-34.627485,0.53656119,-0.00017533969,-0.2167754,2.2522866,0.00080885419,0.92807421,0.0037134316,0.11896776,6.2343109e-05,0.077075831,0.088191832,0.00080885419,0.036634937,0.0037134316,0.58330911,-0.9067055,-0.36316986,17.635963,2.496643,-9.1545681,3.8133929,0.0059407766,17.78797,0.033925988,16.329358,524.31693,35.49942,611.07925,0.80396095,10.854323,0.14154723,2.2522866,76.683401,0.92807421,74.070377,0.3120121,-13.028744,-0.17380202,17.635963,74.963135,-9.1545681,72.38848,0.20017399,245.62083,0.45760274,2.2522866,536.7556,0.92807421,609.9966,0.00057090305,-186.0939,-0.35492636,17.635963,524.31693,-9.1545681,611.07925,0.0072720719,-101.11115,-0.18837466,0.088191832,536.7556,0.036634937,609.9966,0.17675435,-303.70837,-0.57924578,26.433186,524.31693,-34.627485,611.07925,2.9077139e-06,-397.48163,-0.75809422,0.00080618919,524.31693,0.0036798189,611.07925,1.3274826e-11,263.17168,0.50193245,2.496643,524.31693,3.8133929,611.07925,8.1057359e-05,9199.5473,279673.61,1.2392816,72.38848,1,0
0.20529951,0.048318964,13.897406,4.2488392,33.174722,1.4751322,0.72861765,-2.8273361,-0.15927418,16.178131,17.751378,35.230877,-8.0789796,0.23664057,-0.0099302279,-0.054831402,13.897406,0.18110476,33.174722,0.058339141,0.69373215,-1.6380109,-0.064087145,16.178131,25.559118,35.230877,-32.334398,0.63577429,-0.00013083656,-0.1701115,4.2488392,0.00076912237,1.4751322,0.0036827244,0.21877345,0.00017943043,0.23329244,0.18110476,0.00076912237,0.058339141,0.0036827244,0.089556205,-0.84664182,-0.35416753,17.751378,2.3905123,-8.0789796,3.6789474,0.0068740235,-1.5009932,-0.0029933495,16.178131,501.44269,35.230877,599.7767,0.98236926,10.595471,0.11916856,4.2488392,88.911637,1.4751322,72.575882,0.39073774,-13.993208,-0.16112539,17.751378,86.846694,-8.0789796,71.091394,0.23116552,162.44108,0.3160551,4.2488392,513.96444,1.4751322,602.1897,0.019901245,-203.10839,-0.40504806,17.751378,501.44269,-8.0789796,599.7767,0.0017754467,-90.236673,-0.17556987,0.18110476,513.96444,0.058339141,602.1897,0.20413028,-294.95032,-0.58820345,25.559118,501.44269,-32.334398,599.7767,1.4981271e-06,-375.19385,-0.74822878,0.0007611248,501.44269,0.0036589204,599.7767,2.2339135e-11,254.34893,0.50723431,2.3905123,501.44269,3.6789474,599.7767,5.6540977e-05,9147.301,279545.87,1.2396052,71.091394,1,1
0.25104722,0.14073163,13.674471,1.7838721,33.055185,0.91210916,0.3100932,-8.6378153,-0.35203265,16.047275,24.536972,35.130044,-4.6601798,0.0072429823,0.035505987,0.12746116,13.674471,0.27856318,33.055185,0.083493512,0.35836665,0.94567403,0.037923107,16.047275,24.936618,35.130044,-31.666174,0.77942322,-0.00023752076,-0.30928367,1.7838721,0.00076797061,0.91210916,0.0036486644,0.022864396,0.00014458362,0.18826713,0.27856318,0.00076797061,0.083493512,0.0036486644,0.17277843,-0.86486683,-0.37253751,24.536972,2.3215564,-4.6601798,3.4921053,0.004320087,-7.6453282,-0.015993972,16.047275,478.01312,35.130044,592.23046,0.906001,12.800163,0.12806194,1.7838721,99.9529,0.91210916,72.241781,0.35608693,-6.6905457,-0.068653152,24.536972,97.454312,-4.6601798,71.136068,0.61184883,254.00709,0.51911161,1.7838721,489.31112,0.91210916,591.5829,5.7733751e-05,-147.77593,-0.30914618,24.536972,478.01312,-4.6601798,592.23046,0.019287294,-70.890688,-0.14487855,0.27856318,489.31112,0.083493512,591.5829,0.29590675,-288.42027,-0.60337314,24.936618,478.01312,-31.666174,592.23046,6.7719296e-07,-353.574,-0.73967426,0.00076182503,478.01312,0.0036263583,592.23046,4.9457549e-11,210.35772,0.44006683,2.3215564,478.01312,3.4921053,592.23046,0.00061386489,9065.8957,279356.44,1.2400465,71.136068,1,2
0.48210145,0.18181146,13.580581,2.651656,32.996157,1.0841062,0.18825083,-6.5158124,-0.38622391,15.947772,16.870557,35.060614,-9.6101443,0.0030032757,-0.030898955,-0.12874192,13.580581,0.24000695,32.996157,0.079414715,0.35351743,0.99672203,0.040972952,15.947772,24.326342,35.060614,-31.676958,0.76218494,-0.00020815344,-0.27165948,2.651656,0.00076622923,1.0841062,0.0036362277,0.046909818,5.4281381e-05,0.070842223,0.24000695,0.00076622923,0.079414715,0.0036362277,0.61072334,-0.84137024,-0.36590287,16.870557,2.299436,-9.6101443,3.3710526,0.0051247476,-1.5756313,-0.0034284664,15.947772,459.57322,35.060614,581.69262,0.97980693,11.97811,0.1034534,2.651656,115.78266,1.0841062,75.063802,0.45661235,-9.3762316,-0.083136217,16.870557,112.78155,-9.6101443,74.099931,0.53867042,253.29806,0.53888908,2.651656,470.03747,1.0841062,578.79381,2.6230924e-05,-133.67274,-0.29086277,16.870557,459.57322,-9.6101443,581.69262,0.028162731,-86.088265,-0.18315192,0.24000695,470.03747,0.079414715,578.79381,0.18495924,-233.8356,-0.50881033,24.326342,459.57322,-31.676958,581.69262,5.3135941e-05,-335.73156,-0.730529,0.000759676,459.57322,0.0036150049,581.69262,1.1187138e-10,190.43139,0.41436573,2.299436,459.57322,3.3710526,581.69262,0.0013531754,9037.5124,279248.54,1.2398458,74.099931,1,3
0.11179786,0.02051668,13.432557,5.4491208,32.906389,1.4638868,0.88293164,-4.6616265,-0.2064648,15.872066,22.578311,34.987281,-6.6350593,0.12334215,-0.046350483,-0.19648898,13.432557,0.23589355,32.906389,0.081417338,0.15443717,-0.23317812,-0.0096602443,15.872066,24.137911,34.987281,-29.710373,0.94314382,-0.00024237152,-0.31013845,5.4491208,0.00078149459,1.4638868,0.0036052856,0.02247096,-4.0098577e-05,-0.051310115,0.23589355,0.00078149459,0.081417338,0.0036052856,0.71252198,-0.64942104,-0.28120091,22.578311,2.3094557,-6.6350593,3.2342105,0.034094902,-3.3088818,-0.0074687159,15.872066,443.03222,34.987281,579.32978,0.95602767,14.457427,0.13044775,5.4491208,110.82925,1.4638868,73.98622,0.34712165,-8.5262095,-0.079007158,22.578311,107.91692,-6.6350593,73.378281,0.55909226,209.7191,0.46248215,5.4491208,453.4642,1.4638868,577.17527,0.00043004884,-135.67515,-0.30624216,22.578311,443.03222,-6.6350593,579.32978,0.020513312,38.975364,0.085950255,0.23589355,453.4642,0.081417338,577.17527,0.53659559,-228.33136,-0.51538319,24.137911,443.03222,-29.710373,579.32978,4.0873819e-05,-317.14911,-0.71586014,0.00077084719,443.03222,0.0035864694,579.32978,3.8758254e-10,162.49973,0.36678986,2.3094557,443.03222,3.2342105,579.32978,0.0050100614,8966.1734,279127.85,1.2399408,73.378281,1,4
-0.19610551,-0.079612562,13.115699,2.4632483,32.791157,0.93266777,0.56715195,-4.0105821,-0.24737038,15.627999,16.212863,34.874693,-6.5161602,0.063570985,-0.064253629,-0.23308459,13.115699,0.27566656,32.791157,0.11299378,0.08985034,-0.28734313,-0.011442557,15.627999,25.111794,34.874693,-30.936308,0.93267623,-0.00019912329,-0.25741088,2.4632483,0.00077356205,0.93266777,0.0035752909,0.060228529,1.3481751e-05,0.017428144,0.27566656,0.00077356205,0.11299378,0.0035752909,0.9004579,-0.86830614,-0.37749121,16.212863,2.3002023,-6.5161602,2.9973684,0.0037940982,-1.1584378,-0.0025734845,15.627999,450.14368,34.874693,564.31726,0.98484194,24.344634,0.23114119,2.4632483,105.32365,0.93266777,72.169099,0.092637224,-14.019977,-0.13675646,16.212863,102.51784,-6.5161602,71.743554,0.31039671,217.92561,0.4730919,2.4632483,460.64118,0.93266777,564.26802,0.00030302287,-151.85027,-0.33733734,16.212863,450.14368,-6.5161602,564.31726,0.010284413,-88.38113,-0.19186546,0.27566656,460.64118,0.11299378,564.26802,0.16456584,-216.14005,-0.48015791,25.111794,450.14368,-30.936308,564.31726,0.00015695362,-321.68403,-0.71462523,0.00076376306,450.14368,0.0035558811,564.31726,4.2880661e-10,174.6214,0.3879237,2.3002023,450.14368,2.9973684,564.31726,0.0028675933,8889.7026,278895.65,1.240515,71.743554,1,5
0.041238331,0.027828972,12.873612,1.4818489,32.683843,0.76178164,0.84167306,-2.828798,-0.18020119,15.439698,15.697999,34.766053,-7.501659,0.17980412,-0.040692802,-0.1830328,12.873612,0.22232519,32.683843,0.072269285,0.18525007,-1.2424322,-0.046736409,15.439698,26.583819,34.766053,-30.464525,0.72992629,-0.00020901794,-0.26932809,1.4818489,0.0007760718,0.76178164,0.0035790065,0.048907481,9.356699e-05,0.12056486,0.22232519,0.0007760718,0.072269285,0.0035790065,0.38516969,-0.7636363,-0.33126345,15.697999,2.3052235,-7.501659,3.0473684,0.011832966,-25.082739,-0.054650611,15.439698,458.96539,34.766053,568.38638,0.68638628,35.095001,0.36133616,1.4818489,97.125629,0.76178164,67.808359,0.0072638495,-19.744235,-0.20886862,15.697999,94.529445,-7.501659,67.495473,0.11893951,275.32664,0.58488799,1.4818489,470.73395,0.76178164,570.47119,3.4096811e-06,-173.61112,-0.37826626,15.697999,458.96539,-7.501659,568.38638,0.0037171386,-73.070277,-0.15522627,0.22232519,470.73395,0.072269285,570.47119,0.26237521,-209.9947,-0.45753929,26.583819,458.96539,-30.464525,568.38638,0.00034581587,-330.01429,-0.71903959,0.0007650996,458.96539,0.0035617637,568.38638,2.9804213e-10,178.92488,0.38984395,2.3052235,458.96539,3.0473684,568.38638,0.0027208813,8904.4093,278936.8,1.2409221,67.495473,1,6
-0.34940856,-0.16049403,12.742044,2.1770813,32.613426,0.50248597,0.24632451,-1.6352968,-0.091225249,15.304994,17.925923,34.683596,-7.4471456,0.49974808,-0.060231702,-0.18295397,12.742044,0.32921779,32.613426,0.15757821,0.18544271,-1.8293006,-0.068324156,15.304994,26.773848,34.683596,-29.780466,0.61355974,-0.00030109534,-0.38497519,2.1770813,0.00078211622,0.50248597,0.0035675808,0.0040470159,0.00010414254,0.13315482,0.32921779,0.00078211622,0.15757821,0.0035675808,0.3371197,-0.79039562,-0.32272463,17.925923,2.4491332,-7.4471456,2.9403509,0.014347593,-26.589939,-0.056892853,15.304994,467.3687,34.683596,559.91018,0.6742252,25.734844,0.30696209,2.1770813,83.837206,0.50248597,64.080747,0.02396238,-19.155923,-0.23470807,17.925923,81.615953,-7.4471456,63.694931,0.078851521,272.78317,0.56895381,2.1770813,479.44695,0.50248597,564.09448,7.157939e-06,-216.19264,-0.46257407,17.925923,467.3687,-7.4471456,559.91018,0.0002914228,-65.113817,-0.13581026,0.32921779,479.44695,0.15757821,564.09448,0.32748513,-231.28211,-0.49486006,26.773848,467.3687,-29.780466,559.91018,9.1122267e-05,-324.75663,-0.69486175,0.00077093776,467.3687,0.0035524974,559.91018,2.0179739e-09,191.31953,0.40935459,2.4491332,467.3687,2.9403509,559.91018,0.0015675002,8881.2435,278807.83,1.2418197,63.694931,1,7
-0.11377502,-0.050329499,11.826402,2.2606031,31.938774,1.4051178,0.72042246,-1.142966,-0.081443404,15.15235,14.033868,34.618991,-6.7501234,0.54699872,-0.024471457,-0.089503545,11.826402,0.27341327,31.938774,0.11502147,0.52390386,-3.2715531,-0.15428804,15.15235,21.204191,34.618991,-7.4594923,0.25182834,-0.00022868968,-0.28444943,2.2606031,0.00080397306,1.4051178,0.0035636831,0.0389893,0.00013671157,0.17004496,0.27341327,0.00080397306,0.11502147,0.0035636831,0.22348407,-0.475889,-0.18956518,14.033868,2.5104241,-6.7501234,3.1350877,0.15785554,-40.806868,-0.081887748,15.15235,498.3269,34.618991,587.80103,0.54480665,18.022459,0.2558006,2.2606031,70.455106,1.4051178,62.522668,0.064495219,-18.594575,-0.27292747,14.033868,68.130097,-6.7501234,61.524453,0.039967691,291.9283,0.56798813,2.2606031,513.96902,1.4051178,591.37078,9.1675819e-06,-167.90437,-0.33693619,14.033868,498.3269,-6.7501234,587.80103,0.010380987,-59.189488,-0.11516159,0.27341327,513.96902,0.11502147,591.37078,0.41156965,-272.05732,-0.54594146,21.204191,498.3269,-7.4594923,587.80103,1.1209568e-05,-355.92308,-0.71423613,0.0007839102,498.3269,0.0035463672,587.80103,4.4263466e-10,235.37735,0.47233523,2.5104241,498.3269,3.1350877,587.80103,0.00020755187,8865.9181,278975.79,1.2420047,61.524453,1,8
