SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.41212433,0.028370171,3.0800851,14.526678,38.509885,19.345296,0.70069192,-2.6279953,-0.10059578,3.0800851,26.124309,38.509885,-9.2122699,0.17188784,-0.0090584601,-0.062508269,3.0800851,0.14491619,38.509885,0.19696209,0.39667113,0.92292484,0.044973984,3.0268158,20.521305,38.612511,0.4224696,0.53030499,0.00014973524,0.13710081,14.565861,0.0010921543,19.882748,0.002991223,0.043644087,0.0003196841,0.29270965,0.13762534,0.0010921543,0.20011185,0.002991223,1.1685929e-05,-0.71754301,-0.1858896,25.441408,3.8600493,-9.6867101,-0.50176123,0.006023707,24.758411,0.036877309,3.0268158,671.37249,38.612511,711.37833,0.60691723,-3.6912485,-0.028154002,14.565861,131.10919,19.882748,125.87054,0.68003107,16.27856,0.12416033,25.441408,131.10919,-9.6867101,125.87054,0.067925296,-99.395255,-0.15232104,14.565861,652.53792,19.882748,728.79397,0.02483371,108.79013,0.16671848,25.441408,652.53792,-9.6867101,728.79397,0.013933782,-282.72495,-0.43326977,0.13762534,652.53792,0.20011185,728.79397,2.4177023e-11,-388.31633,-0.59759545,20.619965,649.79801,0.071104216,711.1796,1.8335356e-23,-457.04313,-0.70336186,0.0010850146,649.79801,0.0030092927,711.1796,2.3693745e-35,240.30571,0.36981601,3.7922434,649.79801,-0.54885599,711.1796,8.4678315e-09,7523.2317,286277.33,1.0846663,127.14115,1,daily
0.35324089,0.018385454,3.0538193,19.213063,38.518437,14.133995,0.80488465,-0.4835653,-0.01530957,3.0558527,31.585819,38.536997,-38.357056,0.83658316,0.00055839497,0.0020412188,3.0538193,0.27355959,38.518437,0.084027428,0.97812162,2.5782321,0.059757657,2.98977,43.144798,38.635773,-54.593636,0.40540905,5.5819315e-05,0.048035714,21.498679,0.0011620378,14.752082,0.0029544752,0.48455834,4.9549787e-05,0.042640426,0.26738493,0.0011620378,0.080951394,0.0029544752,0.53499149,-0.62421565,-0.16057821,32.521102,3.8872998,-38.662926,-1.2637419,0.018466803,-4.0607165,-0.0060307,2.98977,673.34081,38.635773,632.26876,0.93314348,9.7473433,0.037928791,21.498679,256.99062,14.752082,84.612192,0.58108588,3.7157359,0.014489778,32.521102,256.43844,-38.662926,84.270433,0.83270439,-38.450735,-0.057362506,21.498679,670.31127,14.752082,652.95663,0.40376607,-158.99711,-0.23775487,32.521102,668.74385,-38.662926,653.01579,0.00043743159,-63.789246,-0.095163619,0.26738493,670.31127,0.080951394,652.95663,0.16540509,-495.21608,-0.74725015,43.322006,662.71794,-54.882739,636.82004,8.2808454e-42,-477.34874,-0.72028945,0.0011501128,662.71794,0.0029754681,636.82004,1.3366544e-37,188.25598,0.28406652,3.8093951,662.71794,-1.2889846,636.82004,1.3855829e-05,7438.6703,285487.68,1.0898805,85.563898,1,0
0.4317889,0.024415656,3.0393474,17.684919,38.521622,14.639222,0.7421692,-1.546646,-0.053149538,3.0393474,29.099897,38.521622,-38.492273,0.47365248,0.0079915052,0.02784788,3.0393474,0.28696996,38.521622,0.091629801,0.70747786,1.7849069,0.041636517,2.973251,42.868784,38.61973,-53.825238,0.5622963,0.00012042866,0.104316,17.709265,0.0011544601,14.853417,0.00293256,0.12730421,4.7829169e-05,0.041429903,0.28204497,0.0011544601,0.092901066,0.00293256,0.54571084,-0.95951463,-0.24670637,29.674511,3.8892982,-39.241654,-1.3532,0.00025923133,-23.691572,-0.035125446,2.973251,674.4846,38.61973,633.13853,0.62501044,1.2845263,0.0090350603,17.709265,142.1713,14.853417,62.141955,0.89521338,16.816911,0.11828626,29.674511,142.1713,-39.241654,62.141955,0.083561321,-49.629343,-0.074624848,17.709265,665.05117,14.853417,655.77834,0.27599695,-194.99388,-0.29320132,29.674511,665.05117,-39.241654,655.77834,1.2393306e-05,-51.165095,-0.076934072,0.28204497,665.05117,0.092901066,655.77834,0.26136775,-497.53738,-0.75426473,43.240962,659.6323,-53.968007,633.97141,5.4287512e-43,-475.49394,-0.72084696,0.0011432095,659.6323,0.0029590324,633.97141,1.1067273e-37,186.51641,0.28275816,3.8135388,659.6323,-1.3847379,633.97141,1.5235501e-05,7397.5809,285402.79,1.0915564,61.967704,1,1
0.10947604,0.0069948732,3.005893,15.650897,38.52578,13.187441,0.9249204,-1.189139,-0.040145402,3.005893,29.620802,38.52578,-39.091759,0.58846219,-0.03226841,-0.13531422,3.005893,0.23847021,38.52578,0.06393141,0.067038596,0.48633251,0.0112063,2.9409142,43.398133,38.619342,-52.784028,0.87612005,0.0001097557,0.095112876,15.575012,0.0011539521,13.242224,0.0029158953,0.16463493,-1.2715856e-05,-0.011019397,0.26112415,0.0011539521,0.077155844,0.0029158953,0.87237771,-1.208321,-0.30995377,29.590229,3.898391,-39.071273,-1.4076372,3.6053166e-06,-21.208751,-0.030891825,2.9409142,686.54898,38.619342,636.10665,0.66732525,-0.38610994,-0.0030389912,15.575012,127.05201,13.242224,57.536471,0.96466472,7.0948364,0.055841983,29.590229,127.05201,-39.071273,57.536471,0.41526303,-54.72683,-0.081363096,15.575012,672.62472,13.242224,659.76046,0.23482035,-171.68964,-0.25525324,29.590229,672.62472,-39.071273,659.76046,0.00015445217,-40.161396,-0.059708474,0.26112415,672.62472,0.077155844,659.76046,0.38366032,-503.04104,-0.75249137,43.696871,668.50075,-53.241177,636.00754,1.0904673e-42,-481.39527,-0.72011179,0.0011433897,668.50075,0.0029448957,636.00754,1.4193897e-37,193.33549,0.2892076,3.8246253,668.50075,-1.4436542,636.00754,9.4981158e-06,7362.2393,285344,1.0920074,57.131601,1,2
0.12829331,0.0078117838,2.9769393,16.423049,38.497668,14.241131,0.91618246,-1.0895817,-0.035000516,2.9769393,31.130447,38.497668,-38.618682,0.63715579,-0.018482148,-0.065117729,2.9769393,0.28382667,38.497668,0.08870863,0.37982821,0.084654662,0.0019278346,2.9199833,43.911786,38.601579,-52.180423,0.97860564,0.00012211531,0.10552598,17.369532,0.0011572061,14.546583,0.0029037161,0.12292674,0.00012820074,0.11078471,0.28661011,0.0011572061,0.091136383,0.0029037161,0.10524445,-1.0025891,-0.25762415,33.385108,3.8916734,-39.489292,-1.482793,0.00013335723,-24.7428,-0.035472301,2.9199833,697.52454,38.601579,638.48759,0.62159499,7.1894943,0.058947279,17.369532,121.96482,14.546583,56.817762,0.38976356,8.4773191,0.069506265,33.385108,121.96482,-39.489292,56.817762,0.310369,-51.828806,-0.07596456,17.369532,682.27612,14.546583,660.1826,0.26744357,-187.67044,-0.27506523,33.385108,682.27612,-39.489292,660.1826,4.3344486e-05,-114.66401,-0.168061,0.28661011,682.27612,0.091136383,660.1826,0.013607231,-508.62502,-0.75067456,43.986464,677.55728,-52.686445,636.77545,2.2146029e-42,-488.72978,-0.72131137,0.0011449566,677.55728,0.0029315352,636.77545,9.4536302e-38,194.0362,0.28637608,3.8170096,677.55728,-1.5183062,636.77545,1.1704607e-05,7328.838,285282.21,1.0919824,56.478605,1,3
1.2994071,0.072565702,3.0822529,17.906629,38.490929,15.164047,0.32762331,-2.7182201,-0.084511268,3.0822529,32.163996,38.490929,-41.271634,0.25403804,-0.015783792,-0.076888051,3.0822529,0.20528277,38.490929,0.044942405,0.29955449,-0.99971028,-0.022953166,3.0141692,43.554352,38.587702,-52.109607,0.74947554,0.00012702672,0.11063738,18.367245,0.0011481356,15.378099,0.0028814277,0.10571094,7.4934736e-05,0.065266451,0.2100159,0.0011481356,0.048845093,0.0028814277,0.3408784,-0.90698334,-0.23164731,31.587615,3.9153632,-42.089,-1.5181116,0.00061820113,-18.82797,-0.027252781,3.0141692,690.86415,38.587702,645.83573,0.70456242,7.8154137,0.070857527,18.367245,110.29758,15.378099,54.311632,0.30103376,3.2497022,0.029463042,31.587615,110.29758,-42.089,54.311632,0.66749549,-67.244699,-0.099381189,18.367245,676.63407,15.378099,667.5261,0.14641345,-166.04265,-0.24539504,31.587615,676.63407,-42.089,667.5261,0.00028022225,-65.652305,-0.097027785,0.2100159,676.63407,0.048845093,667.5261,0.15626079,-519.72222,-0.77423424,43.448334,671.27258,-52.429225,644.75604,1.366126e-46,-480.01165,-0.7150771,0.0011358298,671.27258,0.0029072628,644.75604,7.637325e-37,194.23947,0.28936005,3.8400177,671.27258,-1.5566278,644.75604,9.3912928e-06,7268.157,285258.98,1.0919818,54.493548,1,4
1.3940678,0.081201546,3.0681,17.167995,38.471821,14.541596,0.27317697,-2.3107803,-0.075845215,3.0681,30.467055,38.471821,-39.122249,0.30617637,-0.023599713,-0.081236568,3.0681,0.29050603,38.471821,0.089890175,0.27296946,-1.0938334,-0.025249343,3.0037022,43.321261,38.574462,-53.36433,0.72537397,0.00015004551,0.13076178,17.227284,0.0011474722,14.827639,0.0028576294,0.055569765,3.6427033e-05,0.03174546,0.28705463,0.0011474722,0.088795734,0.0028576294,0.64344826,-0.94993887,-0.23956527,29.859412,3.9652612,-39.439124,-1.5337558,0.00039412619,-17.22092,-0.0249066,3.0037022,691.41993,38.574462,655.09827,0.7289551,8.5387051,0.084165539,17.227284,101.45132,14.827639,51.71345,0.21903553,6.0768745,0.059899412,29.859412,101.45132,-39.439124,51.71345,0.38213854,-84.25039,-0.12432848,17.227284,677.64352,14.827639,680.27266,0.068842528,-157.20242,-0.23198395,29.859412,677.64352,-39.439124,680.27266,0.0006066674,-42.506955,-0.062727605,0.28705463,677.64352,0.088795734,680.27266,0.36003041,-521.40008,-0.77559737,43.056893,672.25612,-53.348832,657.74127,7.5226464e-47,-479.34346,-0.71303695,0.0011361955,672.25612,0.0028832296,657.74127,1.4948683e-36,197.7379,0.29414073,3.8878264,672.25612,-1.5713921,657.74127,6.5651159e-06,7208.0739,285252.72,1.0920901,51.881795,1,5
1.834345,0.099813272,3.0901472,18.377766,38.461391,15.180764,0.17763418,-3.2882926,-0.10536354,3.0901472,31.209018,38.461391,-38.836951,0.15460691,-0.044670515,-0.13818882,3.0901472,0.32325709,38.461391,0.11101017,0.061387346,-0.93135102,-0.021674548,3.0211476,42.969802,38.557365,-54.227608,0.76300415,0.00019108342,0.16692436,17.926756,0.0011447305,15.086693,0.0028331564,0.014264169,5.4038507e-05,0.047206312,0.31081477,0.0011447305,0.10271355,0.0028331564,0.49111954,-1.0156159,-0.25247577,30.742853,4.0226273,-38.618273,-1.5550907,0.00018312017,-11.74298,-0.01684228,3.0211476,697.23217,38.557365,667.18645,0.81475182,6.5768154,0.068470159,17.926756,96.053747,15.086693,51.00996,0.31765415,8.535681,0.088863592,30.742853,96.053747,-38.618273,51.00996,0.19429782,-104.21661,-0.15281916,17.926756,681.96039,15.086693,692.96489,0.025033548,-159.08528,-0.23327642,30.742853,681.96039,-38.618273,692.96489,0.00056420806,-91.141843,-0.13364683,0.31081477,681.96039,0.10271355,692.96489,0.050346121,-528.37252,-0.7798543,42.667469,677.52722,-54.3846,668.76876,1.1357368e-47,-477.67626,-0.70502888,0.0011340229,677.52722,0.0028599017,668.76876,1.9735952e-35,203.77751,0.30076652,3.9460279,677.52722,-1.6005,668.76876,3.9544293e-06,7149.7543,285216.51,1.0922835,51.051998,1,6
1.5102939,0.073242367,3.0843903,20.620495,38.444383,14.994618,0.32445742,-2.7246611,-0.092401252,3.0843903,29.487275,38.444383,-38.61635,0.21347041,-0.0070068309,-0.022353541,3.0843903,0.31345508,38.444383,0.10031575,0.76390365,-0.94185813,-0.022456336,3.0180474,41.941754,38.561028,-51.391664,0.7547235,0.00016185609,0.14013289,19.582514,0.0011550186,14.951969,0.0028289023,0.040552375,0.00010628912,0.09202373,0.314515,0.0011550186,0.10322044,0.0028289023,0.17987042,-1.1370607,-0.28107859,29.108434,4.0453479,-39.143155,-1.5645981,3.0171866e-05,-11.179578,-0.015690704,3.0180474,712.49692,38.561028,673.48791,0.82721235,-1.2244417,-0.013249156,19.582514,92.416581,14.951969,49.511599,0.8472004,12.069638,0.13060035,29.108434,92.416581,-39.143155,49.511599,0.056455019,-38.140203,-0.054408961,19.582514,700.9912,14.951969,697.62191,0.42844257,-215.86457,-0.30794192,29.108434,700.9912,-39.143155,697.62191,4.4226792e-06,-100.57676,-0.14347792,0.314515,700.9912,0.10322044,697.62191,0.035951778,-524.53814,-0.75555396,41.583378,694.24313,-51.457649,673.96367,3.2573031e-43,-491.40433,-0.70782743,0.001141719,694.24313,0.0028564037,673.96367,8.0898347e-36,213.91608,0.30812848,3.9613183,694.24313,-1.5971278,673.96367,2.2183148e-06,7141.0092,285202.78,1.0926313,49.496864,1,7
0.4189919,0.020576487,3.1100687,20.362655,38.378105,18.366221,0.78634371,-5.8298134,-0.20591042,3.1071747,28.312376,38.392556,-28.299543,0.0059672034,-0.047648864,-0.10086694,3.1100687,0.47239327,38.378105,0.27701562,0.182855,-1.6746849,-0.044922922,3.0130793,37.279073,38.568561,-23.938525,0.53183071,0.00012280615,0.10573833,19.933836,0.0011614157,17.806629,0.0028363926,0.12943052,0.0001091075,0.093943543,0.45509734,0.0011614157,0.25754676,0.0028363926,0.17817128,-1.0424932,-0.25403962,29.265755,4.103664,-29.702617,-1.3212404,0.00021335003,10.329407,0.014100095,3.0130793,732.57715,38.568561,706.37716,0.84449399,-2.2168904,-0.023505867,19.933836,94.312216,17.806629,50.322941,0.73672829,6.586397,0.069983596,29.265755,94.11344,-29.702617,50.160101,0.31515334,-24.846659,-0.034065107,19.933836,729.38738,17.806629,717.64688,0.62605628,-142.83669,-0.19620189,29.265755,728.00873,-29.702617,719.28894,0.0045075324,-96.779859,-0.1326865,0.45509734,729.38738,0.25754676,717.64688,0.056662949,-472.25857,-0.66222074,36.469543,713.14374,-21.720064,702.10358,5.0192221e-30,-501.78518,-0.70362419,0.0011409858,713.14374,0.0028786999,702.10358,3.0758005e-35,261.48692,0.3666679,4.0518522,713.14374,-1.2397423,702.10358,1.2450059e-08,7196.7497,285552.44,1.0922969,48.960061,1,8
