SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.5131887,0.085855724,5.9326605,5.9773382,49.608486,3.0507935,0.18222953,-2.8164953,-0.23018442,5.9326605,12.235821,49.608486,-22.879203,0.00029639799,-0.021923214,-0.16620425,5.9326605,0.13190526,49.608486,0.20013701,0.0094429634,-9.5695621,-0.37742808,5.9326605,25.354664,49.608486,-32.406097,1.2053811e-09,-0.00024376716,-0.2417484,5.9386956,0.0010083507,3.0106812,0.0025819708,0.00012054747,0.00033221138,0.32946018,0.13144019,0.0010083507,0.1987751,0.0025819708,1.0893284e-07,-0.68120023,-0.17637652,12.197115,3.8621934,-23.033145,-2.6091425,0.0053458808,118.15683,0.22300349,5.9326605,529.84298,49.608486,738.57621,0.00046079932,15.107229,0.115224,5.9386956,131.11182,3.0106812,122.06219,0.070075851,-2.2868373,-0.017441885,12.197115,131.11182,-23.033145,122.06219,0.78461631,291.74611,0.55239818,5.9386956,528.1446,3.0106812,740.83404,3.2580612e-21,-358.00587,-0.67785578,12.197115,528.1446,-23.033145,740.83404,1.0182833e-34,-269.71561,-0.51068516,0.13144019,528.1446,0.1987751,740.83404,7.0927808e-18,-417.75563,-0.79098723,25.290377,528.1446,-32.321158,740.83404,2.0818647e-54,-364.15237,-0.6894937,0.0010083507,528.1446,0.0025819708,740.83404,2.5369373e-36,73.0623,0.13833768,3.8621934,528.1446,-2.6091425,740.83404,0.029404505,6454.9271,285584.78,1.0696769,122.06219,1,daily
0.11904622,0.018988214,5.9214179,6.2694794,49.623219,-0.24712184,0.76884625,-1.3990336,-0.076766511,5.9214179,18.22453,49.623219,-26.574606,0.23413287,-0.0015298478,-0.0069482016,5.9214179,0.22017896,49.623219,0.13261608,0.91436828,-6.8098018,-0.20438635,5.9214179,33.318281,49.623219,-40.949215,0.0013893368,-0.00022071428,-0.20663103,6.2406634,0.0010681565,-0.27019522,0.002542862,0.0011156016,0.00022799334,0.21344564,0.218707,0.0010681565,0.13141274,0.002542862,0.00075269605,-0.2042086,-0.051675836,18.189815,3.9517232,-26.644963,-3.5852012,0.41971544,111.30539,0.20815271,5.9214179,534.7295,49.623219,641.52063,0.0011256475,19.505394,0.079851922,6.2406634,244.26956,-0.27019522,80.343126,0.21201515,-14.324745,-0.058643185,18.189815,244.26956,-26.644963,80.343126,0.35972656,208.72562,0.3895922,6.2406634,535.75409,-0.27019522,648.00404,2.4307136e-10,-242.24286,-0.45215308,18.189815,535.75409,-26.644963,648.00404,8.469022e-14,-180.7041,-0.33728926,0.218707,535.75409,0.13141274,648.00404,5.8615015e-08,-391.02651,-0.72986192,33.34007,535.75409,-40.956452,648.00404,3.4189104e-42,-383.25296,-0.71535237,0.0010681565,535.75409,0.002542862,648.00404,7.3831919e-40,11.442796,0.0213583,3.9517232,535.75409,-3.5852012,648.00404,0.73888997,6357.1551,284526.07,1.0755241,80.343126,1,0
0.4846922,0.065356224,5.9195016,7.4161599,49.623936,-0.29498884,0.31128801,-2.592616,-0.14978132,5.9195016,17.309341,49.623936,-26.664234,0.019745338,-0.027778112,-0.12888483,5.9195016,0.21552662,49.623936,0.13538899,0.045181802,-7.8059851,-0.23194507,5.9195016,33.654455,49.623936,-40.668043,0.00027338873,-0.00029902909,-0.28025396,7.384383,0.0010669933,-0.31762488,0.0025253046,8.0825999e-06,0.00023479459,0.22005255,0.21417518,0.0010669933,0.13391114,0.0025253046,0.00050796329,-0.42687026,-0.10766216,17.46492,3.9649051,-26.998298,-3.6675589,0.092004903,107.2911,0.19748018,5.9195016,543.30061,49.623936,644.24862,0.0020244748,7.6377713,0.05297435,7.384383,144.17867,-0.31762488,64.422336,0.4081127,-5.8274965,-0.040418576,17.46492,144.17867,-26.998298,64.422336,0.52806034,227.26814,0.41861468,7.384383,542.90532,-0.31762488,650.8481,7.4150882e-12,-286.79342,-0.52825679,17.46492,542.90532,-26.998298,650.8481,4.4111332e-19,-181.6964,-0.33467419,0.21417518,542.90532,0.13391114,650.8481,7.5184786e-08,-380.99936,-0.70177864,33.54254,542.90532,-40.943059,650.8481,8.3888034e-38,-387.68786,-0.71409847,0.0010669933,542.90532,0.0025253046,650.8481,1.1564732e-39,14.525442,0.026755018,3.9649051,542.90532,-3.6675589,650.8481,0.67625895,6313.2615,284454.04,1.0765724,64.422336,1,1
0.30658294,0.040226902,5.9150152,7.621341,49.627112,-0.15347307,0.5334187,-2.2482053,-0.11660277,5.9150152,19.280892,49.627112,-26.575625,0.070186833,-0.0062133583,-0.022166343,5.9150152,0.28030597,49.627112,0.16809177,0.73153515,-7.9986674,-0.23871625,5.9150152,33.507008,49.627112,-40.018721,0.00017777802,-0.00014508522,-0.135435,7.5607732,0.0010712535,-0.17457198,0.0025178648,0.033738102,0.00035788541,0.33408096,0.27843625,0.0010712535,0.16623495,0.0025178648,7.952758e-08,-0.1601417,-0.040536683,19.373149,3.9505378,-26.7779,-3.7802642,0.52685448,110.97011,0.20564,5.9150152,539.6329,49.627112,636.83111,0.0012958627,17.943386,0.14904183,7.5607732,120.39161,-0.17457198,60.074058,0.019345704,-4.7948207,-0.039826869,19.373149,120.39161,-26.7779,60.074058,0.53412255,159.0364,0.2959071,7.5607732,537.45379,-0.17457198,642.18499,2.3159816e-06,-284.19827,-0.52878642,19.373149,537.45379,-26.7779,642.18499,4.008358e-19,-242.29054,-0.45081186,0.27843625,537.45379,0.16623495,642.18499,1.0225203e-13,-382.03912,-0.71083157,33.413381,537.45379,-40.392611,642.18499,3.6814125e-39,-383.59859,-0.71373314,0.0010712535,537.45379,0.0025178648,642.18499,1.3174085e-39,6.318644,0.011756627,3.9505378,537.45379,-3.7802642,642.18499,0.85443501,6294.6619,284339.26,1.077059,60.074058,1,2
0.52535247,0.075653002,5.9157111,6.9442382,49.626746,-0.65193985,0.24100758,-1.556296,-0.082470618,5.9157111,18.870915,49.626746,-25.774361,0.2010809,-0.00093711773,-0.0039025982,5.9157111,0.24012662,49.626746,0.14462562,0.95184018,-7.1430209,-0.21695918,5.9157111,32.92334,49.626746,-39.990754,0.00067834661,-0.00027115621,-0.25428016,6.8928761,0.001066368,-0.6675625,0.0025093236,5.4735588e-05,0.00028067095,0.26320273,0.23853122,0.001066368,0.14305031,0.0025093236,2.9009563e-05,-0.3443888,-0.085407667,18.801702,4.0322937,-25.973321,-3.8459837,0.18181577,108.03277,0.1995627,5.9157111,541.34751,49.626746,635.44866,0.0018095241,12.705346,0.11327013,6.8928761,112.16855,-0.6675625,57.644338,0.076189742,-5.1661536,-0.046057059,18.801702,112.16855,-25.973321,57.644338,0.47209211,235.20113,0.43715344,6.8928761,538.02879,-0.6675625,638.96382,6.6520151e-13,-306.81156,-0.5702512,18.801702,538.02879,-25.973321,638.96382,1.2840105e-22,-232.04731,-0.43129163,0.23853122,538.02879,0.14305031,638.96382,1.4487174e-12,-369.05893,-0.68594644,32.770644,538.02879,-40.275315,638.96382,1.5098708e-35,-374.87446,-0.6967554,0.001066368,538.02879,0.0025093236,638.96382,4.5203383e-37,20.655465,0.038391003,4.0322937,538.02879,-3.8459837,638.96382,0.54897717,6273.309,284284.28,1.0771822,57.644338,1,3
0.24174886,0.030336955,5.9153244,7.9687912,49.625882,0.2437382,0.63864304,-1.5323518,-0.075800277,5.9153244,20.215649,49.625882,-27.970419,0.24009029,-0.0016043516,-0.0070726916,5.9153244,0.22683749,49.625882,0.13094113,0.91284006,-7.0643198,-0.21069695,5.9153244,33.528344,49.625882,-39.379444,0.00097444423,-0.00011337701,-0.10719473,7.9195382,0.0010576734,0.22595665,0.0024964286,0.093433523,0.00022908167,0.21659018,0.22525145,0.0010576734,0.12972718,0.0024964286,0.0006251214,-0.82567017,-0.20060334,20.209025,4.1159343,-28.21208,-3.8598252,0.0015640757,104.51685,0.19062605,5.9153244,548.28209,49.625882,641.50411,0.0029066451,9.2847843,0.073928747,7.9195382,125.59099,0.22595665,60.2397,0.24800737,-4.1490137,-0.033035919,20.209025,125.59099,-28.21208,60.2397,0.60609897,196.79997,0.36102874,7.9195382,545.10887,0.22595665,645.04364,5.491788e-09,-266.87636,-0.48958359,20.209025,545.10887,-28.21208,645.04364,3.1135948e-16,-212.94385,-0.39064463,0.22525145,545.10887,0.12972718,645.04364,2.1542745e-10,-376.05008,-0.68986234,33.398569,545.10887,-39.748914,645.04364,4.3114777e-36,-370.1622,-0.67906105,0.0010576734,545.10887,0.0024964286,645.04364,1.3046653e-34,40.977422,0.075172914,4.1159343,545.10887,-3.8598252,645.04364,0.24011523,6241.0715,284285.65,1.076811,60.2397,1,4
0.37548125,0.046164407,5.916032,8.1335659,49.625593,0.3016773,0.47472488,-2.8445076,-0.1348858,5.916032,21.088267,49.625593,-27.109437,0.035988332,-0.0129597,-0.059936035,5.916032,0.21622551,49.625593,0.13093236,0.35320359,-6.5918666,-0.19601893,5.916032,33.628725,49.625593,-39.156271,0.0021889332,-0.00012280574,-0.11697347,8.0948472,0.0010498598,0.2629734,0.0024801502,0.067010202,0.00030730315,0.29270875,0.21468618,0.0010498598,0.1300843,0.0024801502,3.0080949e-06,-0.66019628,-0.15865778,21.149537,4.1611341,-27.385978,-3.860872,0.012717721,100.75161,0.17988237,5.916032,560.0972,49.625593,651.15071,0.0050043231,4.8606768,0.041005412,8.0948472,118.53745,0.2629734,57.164949,0.52208264,2.7849348,0.023494135,21.149537,118.53745,-27.385978,57.164949,0.71386898,219.89804,0.39474379,8.0948472,557.06523,0.2629734,655.07418,1.3406137e-10,-277.39761,-0.49796252,21.149537,557.06523,-27.385978,655.07418,8.0598744e-17,-217.25862,-0.3900057,0.21468618,557.06523,0.1300843,655.07418,2.3182231e-10,-383.9221,-0.68918698,33.507799,557.06523,-39.564449,655.07418,5.3594266e-36,-372.7988,-0.6692193,0.0010498598,557.06523,0.0024801502,655.07418,2.5740437e-33,60.728102,0.10901435,4.1611341,557.06523,-3.860872,655.07418,0.087970233,6200.3756,284293.68,1.0769306,57.164949,1,5
0.67234905,0.066753679,5.9178712,10.07209,49.623236,0.76783727,0.3010329,-3.3444866,-0.15256297,5.9178712,21.922007,49.623236,-28.036788,0.017551131,-0.00029152367,-0.0011445826,5.9178712,0.25469867,49.623236,0.14397051,0.98586754,-5.8272743,-0.1749812,5.9178712,33.302288,49.623236,-39.238036,0.0063514812,-0.00011817754,-0.11313627,10.085415,0.0010445593,0.73929968,0.0024617613,0.076539746,0.00031479604,0.30136733,0.25304263,0.0010445593,0.14295687,0.0024617613,1.4712521e-06,-0.71533366,-0.16874563,22.035665,4.2391242,-28.375074,-3.8099512,0.0079960147,111.79897,0.1912771,5.9178712,584.48695,49.623236,671.10887,0.0028099091,4.0437393,0.047223229,10.085415,85.630301,0.73929968,48.760447,0.46093599,7.4951797,0.087529527,22.035665,85.630301,-28.375074,48.760447,0.17116104,238.86682,0.4112453,10.085415,580.8378,0.73929968,674.27876,1.8574589e-11,-310.81054,-0.53510729,22.035665,580.8378,-28.375074,674.27876,1.2618976e-19,-202.58927,-0.34878803,0.25304263,580.8378,0.14295687,674.27876,1.9079606e-08,-405.22039,-0.6976481,33.152687,580.8378,-39.556824,674.27876,3.3595986e-37,-382.677,-0.65883625,0.0010445593,580.8378,0.0024617613,674.27876,5.2996908e-32,90.980884,0.15663733,4.2391242,580.8378,-3.8099512,674.27876,0.013915081,6154.4032,284342.47,1.0775354,48.760447,1,6
1.4420699,0.14785706,5.9312041,9.7531352,49.684308,0.85425304,0.022230172,-2.9280535,-0.14014084,5.9312041,20.893649,49.684308,-28.669632,0.030321453,-0.0031001301,-0.015669379,5.9312041,0.1978464,49.684308,0.11394791,0.80956481,-5.2432148,-0.16059888,5.920039,32.647892,49.622566,-39.090008,0.012361389,-0.00010366599,-0.098532415,9.761462,0.0010521004,0.8105692,0.002453918,0.12557717,0.00024803478,0.23575201,0.19664103,0.0010521004,0.11426725,0.002453918,0.00020851674,-0.94155471,-0.21788578,21.22749,4.3213225,-28.984905,-3.7703128,0.00062581214,125.95495,0.21738569,5.920039,579.40773,49.622566,673.73049,0.0006615701,3.9329604,0.049288949,9.761462,79.793959,0.8105692,46.007519,0.44436567,11.833433,0.14829986,21.22749,79.793959,-28.984905,46.007519,0.020741979,232.94095,0.40512259,9.761462,574.9888,0.8105692,685.3233,5.1558093e-11,-309.73419,-0.53867865,21.22749,574.9888,-28.984905,685.3233,1.093043e-19,-224.55888,-0.39054479,0.19664103,574.9888,0.11426725,685.3233,2.8097295e-10,-417.37192,-0.72437821,32.613429,576.17956,-39.485454,677.1647,2.7143823e-41,-375.95078,-0.65248892,0.0010610482,576.17956,0.0024701821,677.1647,3.1765618e-31,85.882019,0.14905426,4.3139866,576.17956,-3.7607317,677.1647,0.019335492,6175.4552,284376.59,1.0779138,45.724525,1,7
1.0996508,0.12473543,5.9291134,8.8158663,49.644174,2.2741212,0.05312465,-3.4243639,-0.17895798,5.9291134,19.135017,49.644174,-25.27618,0.0053320283,-0.026679821,-0.103974,5.9291134,0.25660091,49.644174,0.13185515,0.10737924,-8.2981545,-0.24560833,5.9251238,33.786129,49.623992,-30.144909,0.00011325619,-0.00011504598,-0.10684268,8.8700188,0.0010767793,2.2311157,0.0024924081,0.095200755,0.00024215897,0.22489193,0.25523568,0.0010767793,0.13179329,0.0024924081,0.00038866019,-0.92772738,-0.21706658,19.534056,4.27393,-25.493209,-3.3200061,0.00062360324,136.69238,0.22651005,5.9251238,603.4716,49.623992,713.01338,0.00038275248,1.4578642,0.01836327,8.8700188,79.390227,2.2311157,44.845081,0.77488974,12.1075,0.15250617,19.534056,79.390227,-25.493209,44.845081,0.016899736,207.01487,0.34499106,8.8700188,600.05863,2.2311157,719.54071,2.9652942e-08,-275.76814,-0.45956866,19.534056,600.05863,-25.493209,719.54071,3.3205242e-14,-201.37021,-0.33558423,0.25523568,600.05863,0.13179329,719.54071,7.335043e-08,-413.67344,-0.68922647,33.695961,600.19958,-30.525796,716.95962,5.2917614e-36,-402.50224,-0.67061401,0.0010749632,600.19958,0.0024942392,716.95962,1.6986554e-33,100.63231,0.16766475,4.2666198,600.19958,-3.3270264,716.95962,0.008413627,6235.5979,284810.53,1.0774336,44.782143,1,8
