SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.92019243,0.083484725,5.8213632,11.022285,32.999235,23.112174,0.28936773,-2.6524086,-0.1107361,5.8213632,23.95252,32.999235,-0.40999608,0.15935763,-0.0078434216,-0.060082583,5.8213632,0.13054402,32.999235,0.27461381,0.44613861,-3.387742,-0.16049998,4.979333,21.10743,33.99084,22.783632,0.052142526,-0.00022853515,-0.16648975,11.022285,0.001372668,23.112174,0.0062228391,0.033662774,-0.00025751256,-0.18760003,0.13054402,0.001372668,0.27461381,0.0062228391,0.016484198,-0.95938112,-0.32982231,23.95252,2.9087817,-0.40999608,10.111559,1.7125077e-05,26.545192,0.13378551,5.9120178,198.41604,32.823977,424.46935,0.085721026,176.46518,0.50680171,11.022285,348.19373,23.112174,628.7116,5.0976441e-12,-147.52219,-0.42367847,23.95252,348.19373,-0.40999608,628.7116,1.748085e-08,69.326685,0.34818984,11.022285,199.106,23.112174,427.26331,5.250484e-06,-16.901266,-0.084885769,23.95252,199.106,-0.40999608,427.26331,0.281322,-79.733938,-0.40045975,0.13054402,199.106,0.27461381,427.26331,1.1788809e-07,-15.398107,-0.076553167,21.10743,201.14266,22.783632,435.03237,0.35674376,-97.61474,-0.49197001,0.0013819497,198.41604,0.0062546676,424.46935,1.6800769e-11,-12.57927,-0.063398455,2.9123047,198.41604,10.165202,424.46935,0.41709211,15636.669,283301.71,1.2198947,624.06845,1,daily
-0.00050615847,-3.826433e-05,5.6722764,13.227946,33.498438,8.3093344,0.9996267,-2.0557058,-0.070602668,5.6632525,29.116545,33.398345,-33.20798,0.38267886,-0.030987885,-0.10332931,5.6722764,0.29989444,33.498438,0.16916337,0.20522436,-4.2528599,-0.17829388,5.0458748,23.85309,34.078448,-42.216457,0.03251339,0.00032809234,0.19577735,13.227946,0.0016758442,8.3093344,0.0057575643,0.01563957,-0.00042338238,-0.25263827,0.29989444,0.0016758442,0.16916337,0.0057575643,0.001688778,-2.7354285,-0.57160898,29.116545,4.785489,-33.20798,7.9946452,7.9860468e-15,22.954946,0.084497892,5.9586433,271.66294,32.89946,309.68607,0.28353424,227.04779,0.52840083,13.227946,429.68855,8.3093344,560.44351,2.6235472e-12,-255.37424,-0.59289896,29.116545,430.72135,-33.20798,551.08625,4.370164e-16,141.77291,0.52582206,13.227946,269.62146,8.3093344,317.36459,3.4957556e-12,-184.31715,-0.68637539,29.116545,268.53694,-33.20798,313.33522,6.4063044e-23,-120.87049,-0.448297,0.29989444,269.62146,0.16916337,317.36459,6.9682089e-09,-168.40511,-0.62167066,23.85309,270.8912,-42.216457,317.65879,9.1817866e-17,2.2994101,0.008464202,0.0016933403,271.66294,0.0057861609,309.68607,0.91460337,123.15965,0.45335462,4.797621,271.66294,8.064638,309.68607,1.2242749e-09,14465.402,281170.15,1.2327189,540.78849,1,0
2.686089,0.19141555,5.5402789,14.032763,33.58196,9.7844013,0.019360644,-3.2461244,-0.11606245,5.5352188,27.968773,33.47798,-33.514123,0.15447001,-0.021137555,-0.06916452,5.5402789,0.30561269,33.58196,0.16045753,0.40194384,-3.3084135,-0.13236072,5.019022,24.995432,34.020287,-39.172439,0.11505945,0.00038190459,0.22259378,14.032763,0.001715702,9.7844013,0.0057976132,0.0063615371,-0.00051915001,-0.30258752,0.30561269,0.001715702,0.16045753,0.0057976132,0.00017629837,-2.7516877,-0.57193218,27.968773,4.8112133,-33.514123,8.0324737,1.3999465e-14,28.538082,0.10761482,5.9341708,265.18727,32.839392,303.40046,0.17286094,174.20185,0.4143864,14.032763,420.38505,9.7844013,548.21102,1.4901411e-07,-233.43229,-0.55436257,27.968773,421.08235,-33.514123,539.20331,1.2682528e-13,99.467454,0.37827121,14.032763,262.95275,9.7844013,313.65552,1.9702337e-06,-178.44651,-0.68032985,27.968773,262.29411,-33.514123,309.12703,5.4255332e-22,-107.08191,-0.40722872,0.30561269,262.95275,0.16045753,313.65552,2.5474748e-07,-166.95938,-0.62393407,24.995432,267.59138,-39.172439,314.72849,8.471551e-17,-1.5749075,-0.0059388501,0.0017245059,265.18727,0.0058122118,303.40046,0.94021109,112.08346,0.42265775,4.8311317,265.18727,8.0521605,303.40046,2.1103346e-08,14530.529,281175.5,1.2330844,533.73961,1,1
1.5075095,0.1005069,5.4737787,14.999064,33.437136,10.379732,0.22580027,-3.1474208,-0.11749169,5.4649158,26.788455,33.410264,-34.24719,0.15498,-0.017419611,-0.056623387,5.4737787,0.30763986,33.437136,0.14676378,0.49573978,-3.3241192,-0.13310064,4.9725749,24.974479,33.897168,-38.14694,0.1169436,0.00031275958,0.17787225,14.999064,0.0017583382,10.379732,0.0057833443,0.031130997,-0.00040586095,-0.23082075,0.30763986,0.0017583382,0.14676378,0.0057833443,0.0049120164,-2.8809674,-0.58687813,26.788455,4.9089705,-34.24719,8.0858953,4.5545155e-15,31.988636,0.11324147,5.894462,282.48163,32.706547,313.58266,0.15524993,149.2405,0.3573619,14.999064,417.61727,10.379732,527.99324,8.8539007e-06,-250.99692,-0.60122089,26.788455,417.4787,-34.24719,525.30354,6.5065786e-16,107.12801,0.38258161,14.999064,280.01349,10.379732,325.91701,1.7341226e-06,-196.04786,-0.70048899,26.788455,279.87286,-34.24719,324.16432,3.8075574e-23,-117.33462,-0.41903201,0.30763986,280.01349,0.14676378,325.91701,1.2758791e-07,-172.22017,-0.60221955,24.974479,285.97572,-38.14694,328.60859,3.5268203e-15,-22.912679,-0.081112103,0.0017795749,282.48163,0.0058203831,313.58266,0.30944345,105.58355,0.37377139,4.9175151,282.48163,8.1064277,313.58266,1.2163474e-06,14550.958,281223.53,1.2345899,515.59435,1,2
0.13823706,0.007737744,5.5642986,17.865292,33.37717,10.055285,0.92589112,-0.033648782,-0.001177736,5.5568063,28.570735,33.311235,-35.59745,0.98862652,-0.046023248,-0.13855965,5.5642986,0.33215476,33.37717,0.16398264,0.094191874,-3.6153002,-0.14832707,4.9790798,24.37384,33.886039,-36.285657,0.080293972,0.00031474242,0.17954027,17.865292,0.0017530463,10.055285,0.0058190497,0.029559739,-0.00043504945,-0.24816769,0.33215476,0.0017530463,0.16398264,0.0058190497,0.0024395117,-2.5467827,-0.52433231,28.570735,4.8571919,-35.59745,8.2057114,6.7411074e-12,26.626701,0.095145311,5.888529,279.853,32.742478,319.64747,0.23437612,186.68178,0.43452953,17.865292,429.61817,10.055285,535.71864,3.8173227e-08,-241.65119,-0.56247982,28.570735,429.61753,-35.59745,529.93638,8.318929e-14,84.5826,0.30620489,17.865292,276.22877,10.055285,331.26457,0.00016203734,-163.37495,-0.59100525,28.570735,276.4357,-35.59745,327.33913,2.1124985e-15,-98.32566,-0.35595734,0.33215476,276.22877,0.16398264,331.26457,9.6569032e-06,-164.53663,-0.58269068,24.37384,282.37387,-36.285657,333.39717,4.2645153e-14,-32.745477,-0.11700956,0.0017571701,279.853,0.0058583125,319.64747,0.14315485,95.405992,0.34091467,4.8340096,279.853,8.2543323,319.64747,1.1692637e-05,14645.781,281383.25,1.2340383,516.44999,1,3
1.3088381,0.084011125,5.5531145,15.579342,33.363017,11.121735,0.31169346,0.87718155,0.031147951,5.5434857,28.161774,33.336645,-36.118194,0.70705856,0.0068314206,0.023114879,5.5531145,0.29554213,33.363017,0.12241182,0.78109091,-4.5468033,-0.19198194,4.9235277,23.683495,33.977935,-37.627175,0.024083819,0.00023476498,0.13539106,15.579342,0.001733977,11.121735,0.0058834771,0.10203782,-0.00052734614,-0.30412522,0.29554213,0.001733977,0.12241182,0.0058834771,0.00018043033,-2.4620463,-0.51405898,28.161774,4.7894237,-36.118194,8.3164155,2.3507619e-11,3.6976657,0.014080886,5.8395416,262.60178,32.827689,314.01029,0.8615005,136.56737,0.31899915,15.579342,428.112,11.121735,532.08456,8.2152669e-05,-237.49584,-0.55515721,28.161774,427.79926,-36.118194,529.51246,2.4369645e-13,70.366483,0.27221347,15.579342,258.49744,11.121735,321.75097,0.0008516009,-137.47964,-0.53168601,28.161774,258.57299,-36.118194,319.92467,3.5711801e-12,-103.56784,-0.40065326,0.29554213,258.49744,0.12241182,321.75097,4.9441325e-07,-127.03135,-0.48122882,23.683495,263.97286,-37.627175,319.81867,2.3056715e-09,-30.433696,-0.11589295,0.0017313058,262.60178,0.0058940764,314.01029,0.14966373,83.544004,0.31813952,4.7692817,262.60178,8.3055609,314.01029,5.1818815e-05,14735.191,281456.62,1.2333838,518.66846,1,4
-0.083290688,-0.0062863068,5.4988152,13.249542,33.131939,10.581583,0.93976319,1.0786003,0.036754576,5.4988152,29.346014,33.131939,-36.242647,0.65851041,0.0033213967,0.011059877,5.4988152,0.30031046,33.131939,0.13752341,0.89423039,-4.0929751,-0.16822171,4.8504801,24.330837,33.82836,-37.562298,0.050270871,0.00034769746,0.20327979,13.249542,0.0017104379,10.581583,0.0058857163,0.013532609,-0.00026610707,-0.15557832,0.30031046,0.0017104379,0.13752341,0.0058857163,0.059882448,-2.2330378,-0.47618984,29.346014,4.6893856,-36.242647,8.3309592,1.086655e-09,1.8534794,0.0068380426,5.7703039,271.05408,32.679442,312.54242,0.93292326,200.19858,0.47981375,13.249542,417.24228,10.581583,519.55472,7.7908751e-10,-216.55085,-0.51900505,29.346014,417.24228,-36.242647,519.55472,1.6439475e-11,105.2047,0.39667746,13.249542,265.21471,10.581583,317.92059,6.5580978e-07,-146.81214,-0.55355956,29.346014,265.21471,-36.242647,317.92059,3.5483092e-13,-89.232707,-0.33645459,0.30031046,265.21471,0.13752341,317.92059,3.0916834e-05,-139.21394,-0.51127258,24.330837,272.28909,-37.562298,317.01249,2.0126093e-10,-37.802816,-0.13946595,0.0017195465,271.05408,0.0058958667,312.54242,0.084515352,86.139596,0.31779487,4.6863248,271.05408,8.3138799,312.54242,5.9139053e-05,14739.667,281457.26,1.2340074,512.01258,1,5
0.85421336,0.069910481,5.480685,12.218674,33.12164,10.756574,0.40175153,0.49840758,0.018117599,5.480685,27.509582,33.12164,-38.781101,0.8281679,-0.0029989561,-0.010049821,5.480685,0.29840889,33.12164,0.12032297,0.90417286,-4.0455131,-0.16811444,4.8191975,24.064043,33.824589,-36.792924,0.051290097,0.00039498377,0.23038538,12.218674,0.0017144481,10.756574,0.005876757,0.0051489494,-0.00023077957,-0.13460867,0.29840889,0.0017144481,0.12032297,0.005876757,0.10525732,-2.2691639,-0.48437592,27.509582,4.6847166,-38.781101,8.3786575,5.8445716e-10,1.3462583,0.0049727773,5.7337074,270.72563,32.680526,323.04237,0.95135459,184.97853,0.44437707,12.218674,416.26479,10.756574,518.85064,1.9234113e-08,-210.55326,-0.50581567,27.509582,416.26479,-38.781101,518.85064,7.4015938e-11,106.76705,0.40327297,12.218674,264.75133,10.756574,328.05709,4.4907856e-07,-144.42181,-0.54549985,27.509582,264.75133,-38.781101,328.05709,1.0810956e-12,-67.291524,-0.25416879,0.29840889,264.75133,0.12032297,328.05709,0.0019632368,-122.48725,-0.44896032,24.064043,272.82423,-36.792924,327.61309,4.7203595e-08,-43.420456,-0.16038547,0.0017321448,270.72563,0.0058897136,323.04237,0.047655321,78.911158,0.29148019,4.7169345,270.72563,8.3642451,323.04237,0.00025663246,14724.284,281502.75,1.2341161,510.57303,1,6
1.6998262,0.11952359,5.2585938,14.22168,33.073312,11.028673,0.15803943,-0.78563773,-0.029589072,5.2585938,26.551618,33.073312,-38.700368,0.7276153,0.0069724641,0.024514069,5.2585938,0.28442704,33.073312,0.11419621,0.77293292,-4.0971721,-0.17064008,4.741056,24.010609,33.681955,-36.023783,0.049556872,0.00033156823,0.19111052,14.22168,0.0017349554,11.028673,0.0057958087,0.023202942,-0.00045808469,-0.26403255,0.28442704,0.0017349554,0.11419621,0.0057958087,0.0015580948,-2.3045598,-0.47683909,26.551618,4.8329926,-38.700368,8.2434149,2.2655847e-09,11.034369,0.040382352,5.6337133,273.24732,32.479837,337.76463,0.62367854,174.7722,0.42209299,14.22168,414.06089,11.028673,505.09109,1.8563278e-07,-185.69022,-0.44846114,26.551618,414.06089,-38.700368,505.09109,2.4491137e-08,112.29216,0.41294701,14.22168,271.92873,11.028673,338.81875,3.6032572e-07,-153.91076,-0.56599669,26.551618,271.92873,-38.700368,338.81875,2.5957261e-13,-89.608114,-0.32952794,0.28442704,271.92873,0.11419621,338.81875,6.6037285e-05,-142.66,-0.51356508,24.010609,277.78367,-36.023783,339.74896,2.5905147e-10,-41.602099,-0.15225071,0.001767818,273.24732,0.005822058,337.76463,0.062893699,80.162541,0.29336991,4.8790344,273.24732,8.2786567,337.76463,0.00026897692,14555.145,281396.99,1.2351102,505.15479,1,7
3.0546603,0.22107796,5.0945742,13.817118,33.156252,17.002638,0.011162116,-2.9391197,-0.14094637,5.127263,20.852753,33.281363,-23.746673,0.10298087,0.0083797716,0.017064861,5.0945742,0.4910542,33.156252,0.31447494,0.84659998,-1.2311269,-0.046470611,4.7929007,26.492591,33.666846,1.7451889,0.5953124,0.00017683344,0.10627194,13.817118,0.001663971,17.002638,0.0059943173,0.22700692,-0.00010724996,-0.064454226,0.4910542,0.001663971,0.31447494,0.0059943173,0.46453304,-1.6660955,-0.39454117,20.852753,4.2228686,-23.746673,9.0282074,2.1899128e-06,21.116526,0.075407533,5.6667037,280.03206,32.508507,360.85256,0.36070821,219.73185,0.53220495,13.817118,412.87073,17.002638,522.29587,6.0705162e-11,-166.09419,-0.40394523,20.852753,411.17998,-23.746673,512.37529,1.1830645e-06,133.17999,0.47437971,13.817118,280.74554,17.002638,378.03319,1.0412939e-08,-147.75409,-0.52320008,20.852753,282.40456,-23.746673,368.15564,7.5000752e-11,-9.2465704,-0.032935769,0.4910542,280.74554,0.31447494,378.03319,0.70880942,-149.29868,-0.52381501,26.492591,285.02176,1.7451889,367.4936,9.8043583e-11,-78.683561,-0.28098055,0.0016844033,280.03206,0.0060465957,360.85256,0.00051829546,64.408933,0.23000557,4.2558271,280.03206,9.1200034,360.85256,0.0047745116,15116.489,282221.28,1.2330943,509.15405,1,8
