SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.094360793,-0.030824431,2.283201,3.0612339,36.156302,3.1882174,0.8151419,0.34074918,0.041531725,2.283201,8.2045515,36.156302,4.690267,0.752707,0.0019126037,0.030182512,2.283201,0.063367944,36.156302,0.15110352,0.81892583,1.0474622,0.089820415,2.2532743,11.661738,36.337926,-0.91995691,0.52657619,-0.00030047747,-0.45060319,3.0612339,0.00066683386,3.1882174,0.003972928,0.0003028731,-0.00015755912,-0.23627943,0.063367944,0.00066683386,0.15110352,0.003972928,0.069134178,-0.2121037,-0.12062866,8.2045515,1.7583193,4.690267,2.6959389,0.35857259,6.864639,0.020931502,2.283201,327.95731,36.156302,289.91381,0.87387263,30.94588,0.28414704,3.0612339,108.90798,3.1882174,178.23185,0.027788187,-43.632682,-0.40063806,8.2045515,108.90798,4.690267,178.23185,0.0015136254,248.07093,0.75641225,3.0612339,327.95731,3.1882174,289.91381,2.7638327e-12,18.245633,0.055634171,8.2045515,327.95731,4.690267,289.91381,0.67287727,42.379384,0.12922226,0.063367944,327.95731,0.15110352,289.91381,0.32510131,-70.879539,-0.2350542,11.661738,301.54552,-0.91995691,259.19734,0.09346653,-233.72383,-0.71266539,0.00066683386,327.95731,0.003972928,289.91381,1.6922419e-10,131.46572,0.4008623,1.7583193,327.95731,2.6959389,289.91381,0.0015035418,9932.3199,276793.76,1.2597919,178.23185,1,daily
-0.013853416,-0.011169608,3.005619,1.2402777,35.548433,0.28040309,0.93249831,-0.086170463,-0.0068442709,3.005619,12.59016,35.548433,-3.8615617,0.9586077,-0.047550253,-0.16412209,3.005619,0.28972489,35.548433,0.15183962,0.2101844,6.5111102,0.25581029,2.4432354,25.452886,35.7905,-28.089807,0.067187196,-0.00010285046,-0.13847525,1.2402777,0.00074273531,0.28040309,0.0039687942,0.29135461,2.729477e-05,0.036748987,0.28972489,0.00074273531,0.15183962,0.0039687942,0.78042706,-0.57182775,-0.3082641,12.59016,1.854993,-3.8615617,2.1313,0.016563905,33.003594,0.096021536,3.005619,343.71034,35.548433,217.15255,0.46549877,-13.048129,-0.14439382,1.2402777,90.36487,0.28040309,94.620777,0.27101762,-4.6813533,-0.051805014,12.59016,90.36487,-3.8615617,94.620777,0.69424361,67.587759,0.19664162,1.2402777,343.71034,0.28040309,217.15255,0.1320971,-182.03454,-0.52961612,12.59016,343.71034,-3.8615617,217.15255,1.3534686e-05,-46.106321,-0.13414296,0.28972489,343.71034,0.15183962,217.15255,0.30685833,-135.51577,-0.39944712,25.452886,339.25834,-28.089807,201.4478,0.0033502968,-234.45446,-0.68212804,0.00074273531,343.71034,0.0039687942,217.15255,1.9577169e-09,93.254326,0.27131662,1.854993,343.71034,2.1313,217.15255,0.036001664,9921.9854,276204.21,1.2691663,94.620777,1,0
-0.067879187,-0.04675696,3.538349,1.4517451,35.414325,0.34818649,0.72277449,0.19859615,0.021106647,3.538349,9.4091758,35.414325,-4.8886555,0.87282597,0.0013113693,0.0047484799,3.538349,0.27616612,35.414325,0.14297086,0.97127597,6.6889434,0.26805136,3.3997833,24.953961,35.775683,-28.578392,0.054696421,-0.00029405238,-0.3966336,1.4517451,0.00074137032,0.34818649,0.0039258298,0.001704209,4.5861705e-05,0.061860724,0.27616612,0.00074137032,0.14297086,0.0039258298,0.63868271,-0.74512979,-0.40001592,9.4091758,1.8627503,-4.8886555,1.9177833,0.0015419202,25.022022,0.07164358,3.538349,349.25701,35.414325,210.1399,0.58645888,-9.8792585,-0.10287545,1.4517451,96.031255,0.34818649,94.18444,0.43410561,-9.9211589,-0.10331177,9.4091758,96.031255,-4.8886555,94.18444,0.43214833,182.95692,0.52384609,1.4517451,349.25701,0.34818649,210.1399,1.7445395e-05,-220.58099,-0.63157213,9.4091758,349.25701,-4.8886555,210.1399,6.2721996e-08,-45.725565,-0.1309224,0.27616612,349.25701,0.14297086,210.1399,0.31872206,-130.03202,-0.36823795,24.953961,353.11955,-28.578392,198.06427,0.0072323871,-236.9681,-0.67849203,0.00074137032,349.25701,0.0039258298,210.1399,2.5698672e-09,95.801389,0.27430055,1.8627503,349.25701,1.9177833,210.1399,0.033930879,9814.5746,275999.8,1.2695552,94.18444,1,1
0.26164902,0.24618467,3.3293565,1.0628161,35.489367,0.41530404,0.057944214,1.5563712,0.14834085,3.3293565,10.491859,35.489367,-5.2286295,0.25799465,0.017656921,0.080654024,3.3293565,0.21892176,35.489367,0.10477161,0.54014048,7.3291308,0.29861469,3.0471014,24.543772,36.02925,-27.223263,0.031529657,-0.00016760033,-0.22720783,1.0628161,0.00073765209,0.41530404,0.0038917061,0.080839662,7.7631729e-05,0.10524166,0.21892176,0.00073765209,0.10477161,0.0038917061,0.42355101,-0.73034691,-0.38700763,10.491859,1.8871641,-5.2286295,1.7113417,0.0022530169,-4.1654513,-0.012999717,3.3293565,320.42631,35.489367,198.85197,0.92147075,2.3169603,0.021943336,1.0628161,105.58833,0.41530404,95.534623,0.86782896,-15.620294,-0.14793579,10.491859,105.58833,-5.2286295,95.534623,0.25931129,38.020936,0.11865735,1.0628161,320.42631,0.41530404,198.85197,0.36653809,-112.17065,-0.35006692,10.491859,320.42631,-5.2286295,198.85197,0.0061083104,-49.337464,-0.15397445,0.21892176,320.42631,0.10477161,198.85197,0.24014999,-123.3616,-0.3817863,24.543772,323.11688,-27.223263,188.20897,0.0052250293,-211.34807,-0.65958401,0.00073765209,320.42631,0.0038917061,198.85197,9.9631639e-09,66.722596,0.2082307,1.8871641,320.42631,1.7113417,198.85197,0.11036078,9729.2653,275795.85,1.2698802,95.534623,1,2
0.15850832,0.10311299,2.6326579,1.5372294,35.767583,0.049311428,0.43303942,1.0243051,0.12246186,2.6326579,8.364278,35.767583,-6.2124728,0.35126112,-0.063328224,-0.20341685,2.6326579,0.31132241,35.767583,0.13887028,0.11902898,5.3933498,0.22347312,2.5582365,24.134222,36.011404,-26.898917,0.1112663,6.4824157e-05,0.089190721,1.5372294,0.00072680382,0.049311428,0.0038746589,0.49796969,-0.00012920037,-0.17776513,0.31132241,0.00072680382,0.13887028,0.0038746589,0.17419486,-0.39408875,-0.19968832,8.364278,1.9735193,-6.2124728,1.5341667,0.12609271,9.9858554,0.037513924,2.6326579,266.19064,35.767583,182.54576,0.77597429,5.1243286,0.045093564,1.5372294,113.63769,0.049311428,95.143762,0.73226087,-21.078284,-0.18548673,8.364278,113.63769,-6.2124728,95.143762,0.15592923,-85.824166,-0.32241617,1.5372294,266.19064,0.049311428,182.54576,0.011992166,-96.809868,-0.36368623,8.364278,266.19064,-6.2124728,182.54576,0.0042853047,1.055395,0.0039648088,0.31132241,266.19064,0.13887028,182.54576,0.97601494,-97.654791,-0.38924298,24.134222,250.88389,-26.898917,166.73613,0.0043436935,-163.78498,-0.61529204,0.00072680382,266.19064,0.0038746589,182.54576,1.6833472e-07,32.896904,0.123584,1.9735193,266.19064,1.5341667,182.54576,0.34683136,9686.6472,275629.98,1.2701588,95.143762,1,3
0.11726078,0.13290537,3.1088278,0.88228775,35.654858,0.043152442,0.31138313,-0.12425316,-0.013243869,3.1088278,9.3819381,35.654858,-6.3140114,0.92000064,-0.05407134,-0.20283516,3.1088278,0.26657774,35.654858,0.12653407,0.12011065,3.1933657,0.12907747,2.9632863,24.739915,35.88451,-29.015547,0.36177536,4.5684304e-05,0.062562415,0.88228775,0.00073021963,0.043152442,0.0038432225,0.63487404,-4.3368697e-05,-0.059391306,0.26657774,0.00073021963,0.12653407,0.0038432225,0.65215974,-0.4883751,-0.24091656,9.3819381,2.0271546,-6.3140114,1.421775,0.063697588,46.430026,0.17843001,3.1088278,260.21421,35.654858,183.27941,0.17256342,2.9431951,0.025626978,0.88228775,114.84753,0.043152442,98.20981,0.84589259,-17.221576,-0.14995164,9.3819381,114.84753,-6.3140114,98.20981,0.25280343,-33.938668,-0.13042588,0.88228775,260.21421,0.043152442,183.27941,0.32057678,-118.39459,-0.45498892,9.3819381,260.21421,-6.3140114,183.27941,0.00025981555,-16.090846,-0.061836923,0.26657774,260.21421,0.12653407,183.27941,0.63881206,-72.732862,-0.31407657,24.739915,231.57685,-29.015547,164.32368,0.023359944,-157.56022,-0.60550198,0.00073021963,260.21421,0.0038432225,183.27941,2.9683635e-07,30.313959,0.11649617,2.0271546,260.21421,1.421775,183.27941,0.37539315,9608.0563,275530.21,1.2699287,98.20981,1,4
0.09206888,0.085807452,3.2232412,1.0729707,35.016692,0.059845883,0.51447614,-0.38093756,-0.035887698,3.2232412,10.614712,35.016692,-7.3085335,0.7854491,-0.031880761,-0.10360647,3.2232412,0.30771014,35.016692,0.16309881,0.43082915,0.57204407,0.022911077,3.022056,24.968013,35.281779,-29.021786,0.8719209,-5.7462875e-05,-0.079822919,1.0729707,0.0007198794,0.059845883,0.0038121532,0.54433705,-6.6573439e-05,-0.0924786,0.30771014,0.0007198794,0.16309881,0.0038121532,0.48219567,-0.41892462,-0.20121626,10.614712,2.0819621,-7.3085335,1.2278333,0.12316053,11.997249,0.05421792,3.2232412,221.2783,35.016692,171.90726,0.68075098,-7.4728302,-0.065274491,1.0729707,114.48316,0.059845883,100.73821,0.62024234,-19.096064,-0.16680238,10.614712,114.48316,-7.3085335,100.73821,0.20273012,-33.459886,-0.15121178,1.0729707,221.2783,0.059845883,171.90726,0.24879205,-59.402663,-0.26845227,10.614712,221.2783,-7.3085335,171.90726,0.038087114,-16.702309,-0.075481007,0.30771014,221.2783,0.16309881,171.90726,0.56651412,-60.711659,-0.34010128,24.968013,178.51053,-29.021786,152.90941,0.013628317,-124.78619,-0.56393325,0.0007198794,221.2783,0.0038121532,171.90726,2.7047236e-06,14.079215,0.06362673,2.0819621,221.2783,1.2278333,171.90726,0.62911506,9530.3831,275342.65,1.2700317,100.73821,1,5
0.19748825,0.2482955,3.5166216,0.79537587,34.999842,0.17605907,0.055760325,-1.0413019,-0.10200142,3.5166216,10.2087,34.999842,-6.2239878,0.43804137,0.072649702,0.25933205,3.5166216,0.28014163,34.999842,0.12888951,0.045403623,2.8358973,0.11698073,3.3669847,24.24243,35.22175,-27.805333,0.40886364,3.206163e-05,0.043061581,0.79537587,0.00074455301,0.17605907,0.0037514417,0.74390348,-7.4088697e-05,-0.099507618,0.28014163,0.00074455301,0.12888951,0.0037514417,0.44938014,-0.67009178,-0.30916306,10.2087,2.167438,-6.2239878,1.11465,0.016234599,40.080695,0.16880534,3.5166216,237.43736,34.999842,188.122,0.1972834,2.2030038,0.018617217,0.79537587,118.33154,0.17605907,109.56191,0.88772225,-23.760573,-0.20079662,10.2087,118.33154,-6.2239878,109.56191,0.12396061,-25.456898,-0.10721521,0.79537587,237.43736,0.17605907,188.122,0.41486085,-96.389555,-0.40595783,10.2087,237.43736,-6.2239878,188.122,0.0012900585,23.127785,0.097405836,0.28014163,237.43736,0.12888951,188.122,0.45906101,-84.041388,-0.42971489,24.24243,195.57476,-27.805333,171.85747,0.0014767764,-136.18196,-0.57354899,0.00074455301,237.43736,0.0037514417,188.122,1.6664884e-06,17.430893,0.073412597,2.167438,237.43736,1.11465,188.122,0.57722517,9378.6044,275223.13,1.2695814,109.56191,1,6
-0.098391942,-0.082120494,3.4597998,1.1981411,35.154467,0.011069438,0.53277437,-1.6272526,-0.19336566,3.4597998,8.415417,35.154467,-5.5014597,0.13879136,0.039040387,0.11058648,3.4597998,0.35303037,35.154467,0.17830118,0.40025603,3.7847921,0.16053524,2.8973882,23.576083,35.347548,-28.066228,0.25558536,2.1319903e-05,0.028781691,1.1981411,0.00074074532,0.011069438,0.0036707376,0.82719741,-0.0001160808,-0.15670812,0.35303037,0.00074074532,0.17830118,0.0036707376,0.23180367,-0.71090257,-0.31649079,8.415417,2.246203,-5.5014597,0.96685833,0.013753148,65.330973,0.24584518,3.4597998,265.74031,35.154467,207.79022,0.058301829,3.2171676,0.026281999,1.1981411,122.40955,0.011069438,109.52613,0.84200354,-28.538506,-0.23313954,8.415417,122.40955,-5.5014597,109.52613,0.073021678,-10.754664,-0.040470579,1.1981411,265.74031,0.011069438,207.79022,0.75883187,-138.17743,-0.51997168,8.415417,265.74031,-5.5014597,207.79022,2.0633784e-05,24.913651,0.093751869,0.35303037,265.74031,0.17830118,207.79022,0.47615887,-92.861567,-0.38616596,23.576083,240.47062,-28.066228,194.49597,0.0046901477,-153.85399,-0.57896371,0.00074074532,265.74031,0.0036707376,207.79022,1.2600932e-06,42.165163,0.15867056,2.246203,265.74031,0.96685833,207.79022,0.22593714,9176.8441,275055.01,1.2702587,109.52613,1,7
0.047740302,0.032070445,3.7109262,1.4886074,35.860467,0.33878312,0.80780907,-0.89438614,-0.088743021,3.7109262,10.078383,35.860467,-3.8000117,0.50013808,-0.0059749381,-0.019391172,3.7109262,0.30812672,35.860467,0.14524752,0.88308666,2.0592963,0.12721934,3.2166853,16.186976,36.055337,-13.329837,0.36878574,-1.0430972e-05,-0.014033653,1.4886074,0.00074328273,0.33878312,0.0036344686,0.91524698,-6.2005802e-05,-0.083421556,0.30812672,0.00074328273,0.14524752,0.0036344686,0.52628083,-1.1878789,-0.53951353,10.078383,2.2017593,-3.8000117,0.98021667,8.6615778e-06,94.603489,0.32655287,3.7109262,289.70344,35.860467,227.75217,0.010881353,22.179952,0.16739407,1.4886074,132.50142,0.33878312,112.34723,0.20111014,-55.337055,-0.41763367,10.078383,132.50142,-3.8000117,112.34723,0.00089999362,89.376708,0.30851103,1.4886074,289.70344,0.33878312,227.75217,0.016472885,-127.59354,-0.44042813,10.078383,289.70344,-3.8000117,227.75217,0.0004289035,-36.307147,-0.12532522,0.30812672,289.70344,0.14524752,227.75217,0.34002661,-89.1002,-0.32773051,16.186976,271.87033,-13.329837,214.09548,0.017703474,-183.56847,-0.63364271,0.00074328273,289.70344,0.0036344686,227.75217,5.5092988e-08,45.143267,0.15582579,2.2017593,289.70344,0.98021667,227.75217,0.23447533,9086.1714,275037.65,1.2704754,112.34723,1,8
