SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.060691292,-0.0059820917,10.02991,10.145497,30.508409,8.5765766,0.92732131,-1.3761005,-0.056856119,10.02991,24.203208,30.508409,24.582304,0.38559012,0.044051593,0.24385001,10.02991,0.18065037,30.508409,0.24162335,0.00015977244,-7.3245809,-0.30702524,10.069643,23.856608,30.896466,-10.743288,1.1773654e-06,2.3880763e-05,0.023861696,9.910278,0.0010007991,8.2967381,0.0024131725,0.70564024,0.00040508122,0.40475779,0.17571659,0.0010007991,0.23846097,0.0024131725,2.1585293e-11,-0.29775506,-0.074620095,23.857517,3.9902799,24.777572,-3.536285,0.23693707,9.7903485,0.014726896,10.077618,664.79377,30.84745,855.87486,0.81970616,63.146294,0.38379131,9.910278,164.53289,8.2967381,152.11971,2.6506254e-10,-31.851426,-0.19358699,23.857517,164.53289,24.777572,152.11971,0.0019797389,-40.233181,-0.064288238,9.910278,625.82491,8.2967381,806.55033,0.30841317,270.37216,0.43202525,23.857517,625.82491,24.777572,806.55033,6.2962146e-13,-173.29301,-0.27690335,0.17571659,625.82491,0.23846097,806.55033,7.8100373e-06,-408.74037,-0.62517503,23.921666,653.8015,-10.986107,833.92055,2.2083959e-29,-446.8663,-0.67995411,0.0010023158,657.20067,0.0024091193,835.29378,1.2504198e-36,164.74703,0.25067995,4.1121933,657.20067,-3.3575501,835.29378,4.3495774e-05,6022.7984,287335.11,1.0360263,153.0235,1,daily
0.29400082,0.033765155,10.001025,8.7072256,30.426927,2.0258017,0.60888649,-0.35378941,-0.014113734,10.001025,25.067031,30.426927,-13.216305,0.8306847,0.038576442,0.10602533,10.001025,0.36384174,30.426927,0.20043953,0.10723415,-4.7866132,-0.10831347,10.047668,44.192224,30.867167,-62.930023,0.094795737,4.3960203e-05,0.042381526,8.4651646,0.0010372492,1.8619716,0.002401862,0.50473875,0.00022607529,0.21795659,0.36022915,0.0010372492,0.20471593,0.002401862,0.00051901631,0.1047936,0.026209509,24.586612,3.9983044,-12.959287,-4.632306,0.68004424,16.11297,0.024701809,10.05612,652.29919,30.817487,727.09617,0.70339694,-0.59565809,-0.0021795592,8.4651646,273.29291,1.8619716,90.819413,0.97264654,-35.05738,-0.12827768,24.586612,273.29291,-12.959287,90.819413,0.042717347,-35.525703,-0.058851288,8.4651646,603.65208,1.8619716,672.55142,0.35410274,-94.798802,-0.15704212,24.586612,603.65208,-12.959287,672.55142,0.012916807,-89.493668,-0.14825372,0.36022915,603.65208,0.20471593,672.55142,0.019010519,-429.18278,-0.66368549,44.407365,646.6659,-62.308725,709.40807,9.4336546e-34,-445.83906,-0.69131666,0.0010465233,644.91294,0.0023947788,704.51334,5.3257184e-38,81.846459,0.12691087,4.1253945,644.91294,-4.4468663,704.51334,0.041666591,5986.947,286175.67,1.0429775,92.927895,1,0
0.58890094,0.068438434,10.002575,8.6048278,30.424569,2.158889,0.29926528,-0.1562025,-0.0063690208,10.002575,24.525356,30.424569,-12.994165,0.92313378,0.02180932,0.06197903,10.002575,0.35188224,30.424569,0.20016253,0.34729896,-4.3468937,-0.098986759,10.049762,43.91389,30.865339,-62.526222,0.12700355,7.2029569e-05,0.069217667,8.3386211,0.001040624,2.0626657,0.002386932,0.27560269,0.00023786587,0.22858003,0.35288865,0.001040624,0.20333674,0.002386932,0.0002679935,-0.062940844,-0.015595499,24.726972,4.035834,-12.926131,-4.670292,0.80617334,16.21035,0.024330393,10.058195,666.2593,30.815667,734.42837,0.70765118,19.559949,0.1215922,8.3386211,160.86516,2.0626657,66.888354,0.054853274,-29.242847,-0.18178483,24.726972,160.86516,-12.926131,66.888354,0.0039274191,-43.823736,-0.071983378,8.3386211,608.80355,2.0626657,679.72282,0.25682608,-85.022365,-0.13965484,24.726972,608.80355,-12.926131,679.72282,0.027251124,-122.00867,-0.2004073,0.35288865,608.80355,0.20333674,679.72282,0.0014464741,-438.55885,-0.6653565,44.067636,659.13363,-61.959338,717.80558,5.6900128e-34,-449.5564,-0.68428874,0.0010531306,656.96886,0.0023805861,713.40842,5.6326395e-37,92.077978,0.14015577,4.1736592,656.96886,-4.4783837,713.40842,0.024358462,5951.4654,286158.72,1.044438,69.250389,1,1
0.14471628,0.017827055,10.00548,8.1177893,30.420981,2.1442995,0.78709222,0.55117634,0.022937128,10.00548,24.029876,30.420981,-11.97621,0.72819574,0.016581559,0.040574586,10.00548,0.4086686,30.420981,0.25896179,0.53860169,-4.1833092,-0.093728468,10.053044,44.632216,30.862094,-62.089255,0.14857248,6.5697899e-05,0.063686568,7.8927765,0.0010315817,2.09841,0.0023733869,0.31686698,0.00016635775,0.16126473,0.40599216,0.0010315817,0.2548054,0.0023733869,0.010815212,-0.11029513,-0.027052493,25.137843,4.0770782,-12.255417,-4.7291145,0.67097449,17.020797,0.025781531,10.061406,660.19344,30.812469,731.35614,0.69108241,23.849628,0.17349903,7.8927765,137.4626,2.09841,60.323992,0.0060540335,-16.455703,-0.1197104,25.137843,137.4626,-12.255417,60.323992,0.059256976,-50.035205,-0.082285151,7.8927765,608.07089,2.09841,680.95165,0.19563087,-86.626901,-0.14246185,25.137843,608.07089,-12.255417,680.95165,0.024564862,-91.902464,-0.15113775,0.40599216,608.07089,0.2548054,680.95165,0.017003177,-442.65241,-0.67733161,44.630999,653.52392,-61.983039,717.76181,1.8763224e-35,-441.75999,-0.67815807,0.0010488362,651.41154,0.002370656,713.56165,5.6960785e-36,93.545438,0.14360421,4.2277184,651.41154,-4.5269436,713.56165,0.021285771,5926.64,286113.94,1.0448809,63.157134,1,2
0.10335659,0.011483005,10.009532,9.0008313,30.414634,2.8490115,0.86189302,1.6463879,0.060308884,10.009532,27.299259,30.414634,-14.99995,0.36047067,0.02994544,0.079643828,10.009532,0.37599198,30.414634,0.19443831,0.22686772,-4.9840457,-0.11215548,10.057548,44.438718,30.856174,-61.542673,0.083584819,3.9528996e-05,0.038368859,8.7856262,0.0010302364,2.7416719,0.0023683674,0.5467576,0.00014713555,0.14281727,0.39965155,0.0010302364,0.21857776,0.0023683674,0.024205939,0.087278445,0.021343918,28.389435,4.0891482,-15.270106,-4.7603273,0.73751582,26.762527,0.039654576,10.065821,674.89125,30.806604,734.81205,0.54096176,9.5831898,0.081974267,8.7856262,116.90486,2.7416719,53.296977,0.19733059,-14.464926,-0.12373247,28.389435,116.90486,-15.270106,53.296977,0.051159279,-19.078851,-0.03182551,8.7856262,599.48297,2.7416719,679.40612,0.61721746,-65.429103,-0.10914255,28.389435,599.48297,-15.270106,679.40612,0.085666711,-21.208724,-0.035378359,0.39965155,599.48297,0.21857776,679.40612,0.57846652,-453.28695,-0.67857732,44.456664,667.99602,-61.72065,720.81631,1.2632214e-35,-446.60696,-0.67106218,0.0010478122,665.52248,0.0023622489,716.99652,5.4076827e-35,103.15586,0.15499981,4.2400565,665.52248,-4.5595778,716.99652,0.01285446,5905.6222,286094.54,1.0453405,55.162959,1,3
-0.31346557,-0.025157772,10.011292,12.459989,30.412888,3.2704334,0.70306793,2.8154365,0.10023195,10.011292,28.089213,30.412888,-14.510406,0.12793959,0.045171695,0.1122693,10.011292,0.40235127,30.412888,0.22879097,0.087971453,-5.0581599,-0.11466835,10.05981,44.111211,30.854868,-61.08228,0.076847792,7.4849426e-05,0.072917397,12.116404,0.0010264961,3.0961689,0.0023552719,0.25164863,0.00014014716,0.13652965,0.40024397,0.0010264961,0.23111588,0.0023552719,0.031267164,-0.25956267,-0.062778632,27.807392,4.1345703,-14.224363,-4.8093414,0.32382941,22.593924,0.033930357,10.06803,665.89113,30.805333,733.50909,0.60093727,8.1918384,0.071867955,12.116404,113.98458,3.0961689,53.025832,0.25855524,-4.5988855,-0.04034656,27.807392,113.98458,-14.224363,53.025832,0.5262684,-55.653947,-0.091553671,12.116404,607.88329,3.0961689,684.19138,0.14974007,-37.880547,-0.062315494,27.807392,607.88329,-14.224363,684.19138,0.32741881,-55.118854,-0.090673415,0.40024397,607.88329,0.23111588,684.19138,0.15371162,-443.49854,-0.67273993,44.027265,659.24219,-61.148786,720.90696,7.932677e-35,-436.90944,-0.66515346,0.0010354261,656.8551,0.0023522724,717.18257,3.3610738e-34,104.1344,0.15853482,4.297547,656.8551,-4.5978833,717.18257,0.010920456,5880.6809,286070.16,1.0453113,53.684794,1,4
-0.27401604,-0.021155408,10.012847,12.952529,30.411075,3.6020174,0.74857039,2.8981018,0.09930008,10.012847,29.185292,30.411075,-14.782022,0.13154073,0.11236937,0.29652603,10.012847,0.3789528,30.411075,0.20377392,4.3080244e-06,-5.7596197,-0.12948121,10.061744,44.482281,30.853366,-61.105004,0.045536778,3.6310103e-05,0.035616415,12.549969,0.0010194766,3.4043018,0.0023475624,0.57591117,0.00012465212,0.1222707,0.37934392,0.0010194766,0.2067055,0.0023475624,0.053988732,-0.23318138,-0.056309404,28.537596,4.1410734,-14.327195,-4.8186225,0.37627599,21.910016,0.031335131,10.069905,699.2157,30.803873,741.37504,0.62907729,14.232264,0.13338063,12.549969,106.70412,3.4043018,51.473808,0.035419604,-2.9703244,-0.027837016,28.537596,106.70412,-14.327195,51.473808,0.6620133,-32.290913,-0.052508535,12.549969,614.96504,3.4043018,686.65707,0.40938814,-86.44887,-0.14057526,28.537596,614.96504,-14.327195,686.65707,0.026547716,-75.204951,-0.12229142,0.37934392,614.96504,0.2067055,686.65707,0.053947729,-457.68773,-0.66109921,44.445623,692.31323,-61.184869,728.10309,2.7375022e-33,-452.20208,-0.65569292,0.0010342199,689.65528,0.0023437626,725.30149,5.752598e-33,137.80277,0.19981398,4.3193022,689.65528,-4.5950078,725.30149,0.0012810934,5859.4066,286082.85,1.0453852,50.942337,1,5
-0.26273386,-0.031074648,10.023043,8.4549262,30.369615,2.5439773,0.63846564,2.0609766,0.083886742,10.023043,24.568562,30.369615,-14.004321,0.20398069,0.065980947,0.17202096,10.023043,0.38356341,30.369615,0.21539234,0.0087963914,-5.5345878,-0.12586533,10.065573,43.972298,30.848176,-61.550566,0.051972125,-3.8057204e-05,-0.038232805,8.2275608,0.00099540705,2.4720974,0.0023228341,0.54899406,0.000125532,0.12611123,0.3778373,0.00099540705,0.2135762,0.0023228341,0.04726746,0.27146374,0.066289569,24.682713,4.0951199,-13.650072,-4.8861915,0.29843313,17.70379,0.025469966,10.073656,695.08496,30.798733,742.2356,0.69462773,11.809451,0.12374682,8.2275608,95.432361,2.4720974,47.092622,0.051605617,-5.0693553,-0.053119877,24.682713,95.432361,-13.650072,47.092622,0.40490413,12.444562,0.020167311,8.2275608,617.06603,2.4720974,692.77443,0.75198523,-82.787416,-0.13416298,24.682713,617.06603,-13.650072,692.77443,0.034713674,-64.908805,-0.1051894,0.3778373,617.06603,0.2135762,692.77443,0.098383043,-455.04544,-0.66050196,43.809494,688.93882,-61.899248,728.03852,3.268976e-33,-454.40336,-0.66195929,0.0010275791,686.45211,0.0023344989,725.74422,8.8698983e-34,131.44821,0.19148926,4.2854439,686.45211,-4.6372782,725.74422,0.0020463234,5836.2473,286032.77,1.0458844,46.260899,1,6
-0.62067816,-0.067013897,10.018754,9.2619321,30.398897,2.3020753,0.30946038,4.9325482,0.18462938,10.018754,26.715944,30.398897,-13.618018,0.004782994,0.069284543,0.18220265,10.018754,0.3802609,30.398897,0.21821054,0.0053763179,-5.0494497,-0.11451255,10.068635,44.095162,30.84205,-60.730673,0.077252285,-1.6074281e-05,-0.015838416,9.0105686,0.001014892,2.1811017,0.0023373029,0.8036052,0.00025446309,0.25072924,0.3888941,0.001014892,0.23023141,0.0023373029,6.3175973e-05,-0.059199208,-0.014285023,26.246433,4.1441451,-13.41449,-4.828506,0.82253081,4.0117841,0.0058806679,10.076638,682.19871,30.792663,740.52833,0.92778813,3.633101,0.03964234,9.0105686,91.646986,2.1811017,46.114732,0.53351926,-7.9907229,-0.087190242,26.246433,91.646986,-13.41449,46.114732,0.17021002,-20.927855,-0.033447351,9.0105686,625.69544,2.1811017,692.47579,0.59938744,-48.538492,-0.077575268,26.246433,625.69544,-13.41449,692.47579,0.22254196,-64.932973,-0.10377728,0.3888941,625.69544,0.23023141,692.47579,0.10231089,-449.0779,-0.6641651,44.049316,676.15402,-61.197358,724.6334,1.0939426e-33,-445.14663,-0.6598661,0.0010258038,674.60144,0.0023408241,723.20755,1.6645719e-33,124.94884,0.18521875,4.3080242,674.60144,-4.6059261,723.20755,0.0028764627,5852.0603,286051.98,1.0460818,45.230859,1,7
-0.32876385,-0.028680885,10.02268,11.462821,30.391741,4.3715055,0.66386437,-0.58443197,-0.02764955,10.02268,21.137124,30.391741,-6.5680558,0.67525212,0.00881143,0.020845256,10.02268,0.42270674,30.391741,0.27275572,0.75213546,-10.485068,-0.26345504,10.073166,39.79832,30.835464,-27.404533,3.7127397e-05,-6.8366717e-05,-0.067059584,11.155228,0.0010194921,4.0445727,0.0023902721,0.29186238,0.00011997654,0.11768265,0.42021851,0.0010194921,0.26713087,0.0023902721,0.063724172,-0.20509777,-0.049739054,21.189393,4.1234754,-6.8534612,-4.3868454,0.43456515,-0.54612821,-0.00079125854,10.081094,690.20199,30.786121,752.51629,0.99027073,1.1850423,0.013722175,11.155228,86.359652,4.0445727,44.336079,0.82941424,-7.7720222,-0.089995988,21.189393,86.359652,-6.8534612,44.336079,0.15682185,0.167802,0.000260539,11.155228,644.05715,4.0445727,707.46416,0.99673622,3.9471791,0.0061286162,21.189393,644.05715,-6.8534612,707.46416,0.92334408,-55.476384,-0.08613581,0.42021851,644.05715,0.26713087,707.46416,0.17545565,-395.35559,-0.57773322,39.662609,684.32207,-28.703539,735.94466,5.1512645e-24,-450.85884,-0.65919106,0.0010361348,683.95777,0.0024019136,735.04424,2.03705e-33,152.50669,0.22297677,4.3220406,683.95777,-4.1434416,735.04424,0.0003150188,6004.7839,286519.88,1.045635,43.461378,1,8
