SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.3035704,0.65709539,8.7167484,1.9838375,38.563082,1.4622086,2.1834447e-07,2.5732986,0.18466904,8.7167484,13.934651,38.563082,16.007563,0.19919278,0.024470636,0.62218458,8.7167484,0.039330188,38.563082,0.038371746,1.4106489e-06,-6.5068646,-0.34846292,8.7167484,18.673047,38.563082,29.390272,0.013139874,0.00030222621,0.29441158,1.9838375,0.0010265432,1.4622086,0.0046327617,0.037949994,0.00035912981,0.34984382,0.039330188,0.0010265432,0.038371746,0.0046327617,0.012758027,-0.30142878,-0.12637122,13.934651,2.3852644,16.007563,5.2578013,0.38185062,-19.43413,-0.1068835,8.7167484,181.82535,38.563082,384.45691,0.46003765,-63.15374,-0.31680858,1.9838375,199.34352,1.4622086,305.65708,0.02498713,-0.21993721,-0.0011033075,13.934651,199.34352,16.007563,305.65708,0.99393276,-28.116808,-0.15463635,1.9838375,181.82535,1.4622086,384.45691,0.28360614,13.481569,0.074145704,13.934651,181.82535,16.007563,384.45691,0.6088373,-58.534916,-0.32192935,0.039330188,181.82535,0.038371746,384.45691,0.022615073,1.6256716,0.0089408413,18.673047,181.82535,29.390272,384.45691,0.95086271,-95.083466,-0.52293844,0.0010265432,181.82535,0.0046327617,384.45691,9.7742333e-05,-18.236284,-0.10029561,2.3852644,181.82535,5.2578013,384.45691,0.48830334,11581.904,279764.94,1.2364195,305.65708,1,daily
0.27216845,0.42640665,8.6908991,0.63828378,39.705293,0.19525316,0.0031273082,3.6917294,0.23557387,8.6908991,15.671218,39.705293,-20.601123,0.11501645,0.018528528,0.13753505,8.6908991,0.13471859,39.705293,0.037286658,0.36204328,0.82308595,0.038152117,8.6908991,21.573795,39.705293,-34.935674,0.80124929,0.00025357743,0.27290647,0.63828378,0.00092917337,0.19525316,0.0042914644,0.066504476,0.00025085968,0.26998157,0.13471859,0.00092917337,0.037286658,0.0042914644,0.069589725,0.60927737,0.27916305,15.671218,2.1825144,-20.601123,3.11075,0.060270081,41.968438,0.20016969,8.6908991,209.6643,39.705293,215.80182,0.18226959,-25.984333,-0.1136732,0.63828378,228.58803,0.19525316,191.0399,0.45193392,-70.803968,-0.30974487,15.671218,228.58803,-20.601123,191.0399,0.036188618,-19.598321,-0.093474766,0.63828378,209.6643,0.19525316,215.80182,0.53665146,-75.523369,-0.36021091,15.671218,209.6643,-20.601123,215.80182,0.013932309,-35.062982,-0.16723392,0.13471859,209.6643,0.037286658,215.80182,0.26662598,-159.80161,-0.76217842,21.573795,209.6643,-34.935674,215.80182,7.5812528e-10,-142.57269,-0.68000458,0.00092917337,209.6643,0.0042914644,215.80182,2.0176463e-07,-41.975307,-0.20020245,2.1825144,209.6643,3.11075,215.80182,0.18219656,10728.661,277564.63,1.2523207,191.0399,1,0
0.24711722,0.4337751,8.6898701,0.56968974,39.704565,0.19073459,0.0025982079,3.5113042,0.23613287,8.6898701,14.870036,39.704565,-21.024766,0.11413209,-1.4119865e-05,-0.00044574172,8.6898701,0.031677235,39.704565,0.0082360416,0.99765425,0.70934081,0.03265961,8.6898701,21.719207,39.704565,-34.483935,0.8294012,0.00026630762,0.28407793,0.56968974,0.00093744565,0.19073459,0.0042607995,0.055708222,0.00019285462,0.20572353,0.031677235,0.00093744565,0.0082360416,0.0042607995,0.17018537,0.58579891,0.25769339,14.870036,2.2732399,-21.024766,2.9892935,0.083809597,30.580897,0.15174659,8.6898701,201.5261,39.704565,214.56105,0.31407102,-33.124009,-0.14563386,0.56968974,227.44717,0.19073459,186.8038,0.33418662,-54.07466,-0.23774602,14.870036,227.44717,-21.024766,186.8038,0.11160899,-32.81215,-0.16281837,0.56968974,201.5261,0.19073459,214.56105,0.27963862,-85.552741,-0.42452438,14.870036,201.5261,-21.024766,214.56105,0.0032768066,-6.2218762,-0.030873799,0.031677235,201.5261,0.0082360416,214.56105,0.83860197,-152.1647,-0.75506202,21.719207,201.5261,-34.483935,214.56105,1.3383591e-09,-132.74976,-0.65872241,0.00093744565,201.5261,0.0042607995,214.56105,6.4693236e-07,-43.625918,-0.21647776,2.2732399,201.5261,2.9892935,214.56105,0.14845353,10651.999,277453.92,1.2527955,186.8038,1,1
0.19264351,0.18481933,8.6819335,1.0423342,39.693804,-0.022915985,0.21883389,3.4702967,0.17793641,8.6819335,19.503016,39.693804,-25.003232,0.23677723,-0.00074019982,-0.027532396,8.6819335,0.026884686,39.693804,0.011386577,0.8558738,0.29609955,0.014316588,8.6819335,20.68227,39.693804,-34.9465,0.92476572,0.00011048742,0.12143307,1.0423342,0.00090986274,-0.022915985,0.0042379488,0.42144624,6.5885498e-05,0.072412568,0.026884686,0.00090986274,0.011386577,0.0042379488,0.63248043,0.069758666,0.031257041,19.503016,2.2317745,-25.003232,2.8730761,0.8366256,31.280898,0.16237657,8.6819335,192.64416,39.693804,207.38418,0.28096313,-50.347859,-0.21918148,1.0423342,229.70854,-0.022915985,187.82104,0.14332712,-28.705097,-0.12496312,19.503016,229.70854,-25.003232,187.82104,0.40797239,-24.491673,-0.12713426,1.0423342,192.64416,-0.022915985,207.38418,0.39980999,-52.785049,-0.27400285,19.503016,192.64416,-25.003232,207.38418,0.065376414,-18.140853,-0.094167677,0.026884686,192.64416,0.011386577,207.38418,0.53362287,-138.92401,-0.72114313,20.68227,192.64416,-34.9465,207.38418,1.5767282e-08,-122.09731,-0.63379713,0.00090986274,192.64416,0.0042379488,207.38418,2.2642316e-06,-38.106422,-0.19780731,2.2317745,192.64416,2.8730761,207.38418,0.18759168,10594.872,277347.62,1.2528127,187.82104,1,2
0.30295652,0.24976942,8.6726278,1.2129448,39.680543,0.18283587,0.094121157,3.7192752,0.20104404,8.6726278,18.499803,39.680543,-23.076412,0.18032749,0.017970443,0.10152088,8.6726278,0.17701229,39.680543,0.035792488,0.50200611,0.44930231,0.021307655,8.6726278,21.086427,39.680543,-34.373174,0.88822208,0.00018844747,0.20665345,1.2129448,0.00091190089,0.18283587,0.0041834908,0.16822005,-5.6078087e-05,-0.061495813,0.17701229,0.00091190089,0.035792488,0.0041834908,0.68474912,0.2851292,0.13171207,18.499803,2.1647917,-23.076412,2.6726196,0.3829137,34.461172,0.1601034,8.6726278,215.24322,39.680543,206.40491,0.28784309,-38.149731,-0.1642735,1.2129448,232.23302,0.18283587,188.00327,0.27530511,-11.729492,-0.050507428,18.499803,232.23302,-23.076412,188.00327,0.73887499,-62.107908,-0.28854757,1.2129448,215.24322,0.18283587,206.40491,0.051804683,-52.053743,-0.24183685,18.499803,215.24322,-23.076412,206.40491,0.10540118,-17.959143,-0.083436507,0.17701229,215.24322,0.035792488,206.40491,0.5814397,-147.11287,-0.68347273,21.086427,215.24322,-34.373174,206.40491,1.6535107e-07,-142.03695,-0.65989044,0.00091190089,215.24322,0.0041834908,206.40491,6.0831278e-07,-39.969812,-0.18569603,2.1647917,215.24322,2.6726196,206.40491,0.21661801,10458.727,277158.64,1.253071,188.00327,1,3
0.1959448,0.24241604,8.699436,0.80829966,39.519,0.00073836111,0.10861498,5.2565105,0.29430412,8.699436,17.860812,39.519,-23.356539,0.04971602,0.0024747,0.086662593,8.699436,0.028555573,39.519,0.012150487,0.5713545,1.3598952,0.06149988,8.699436,22.11216,39.519,-33.629578,0.6881811,0.0003093956,0.3234207,0.80829966,0.00095663513,0.00073836111,0.0041915813,0.030224468,8.4868429e-05,0.088715568,0.028555573,0.00095663513,0.012150487,0.0041915813,0.56223843,0.57358093,0.26296331,17.860812,2.1812203,-23.356539,2.6501889,0.080944275,33.57977,0.15646136,8.699436,214.62021,39.519,204.20825,0.30471351,-93.744771,-0.39432244,0.80829966,237.73633,0.00073836111,191.58193,0.0073550781,1.9814554,0.0083346765,17.860812,237.73633,-23.356539,191.58193,0.95666566,-40.380594,-0.18814907,0.80829966,214.62021,0.00073836111,204.20825,0.21582173,-76.728722,-0.3575093,17.860812,214.62021,-23.356539,204.20825,0.015907124,-14.44199,-0.067290911,0.028555573,214.62021,0.012150487,204.20825,0.66051876,-128.2645,-0.59763477,22.11216,214.62021,-33.629578,204.20825,1.4601264e-05,-150.44634,-0.70098867,0.00095663513,214.62021,0.0041915813,204.20825,8.2194246e-08,-66.873279,-0.31158891,2.1812203,214.62021,2.6501889,204.20825,0.037199581,10478.953,277139.28,1.2527824,191.58193,1,4
0.18747679,0.19607421,8.6893769,0.95615219,39.504444,-0.025903703,0.19675044,6.1337712,0.34570211,8.6893769,17.742938,39.504444,-22.251343,0.020018201,0.00076551793,0.036512474,8.6893769,0.020965928,39.504444,0.010937833,0.81178803,1.2720317,0.058329167,8.6893769,21.807815,39.504444,-34.0458,0.70350195,0.00027421386,0.28899332,0.95615219,0.00094885882,-0.025903703,0.0042086101,0.054182117,-0.00011077102,-0.1167413,0.020965928,0.00094885882,0.010937833,0.0042086101,0.4450436,0.42261465,0.18561464,17.742938,2.276839,-22.251343,2.6685889,0.22218287,34.434838,0.16010743,8.6893769,215.07333,39.504444,199.07168,0.29343955,-112.08835,-0.47706745,0.95615219,234.95283,-0.025903703,196.26783,0.00092154617,19.861531,0.084534122,17.742938,234.95283,-22.251343,196.26783,0.58087679,-63.721921,-0.29627997,0.95615219,215.07333,-0.025903703,199.07168,0.048132446,-61.751396,-0.28711787,17.742938,215.07333,-22.251343,199.07168,0.055834336,52.745801,0.24524566,0.020965928,215.07333,0.010937833,199.07168,0.10442529,-131.50403,-0.61143812,21.807815,215.07333,-34.0458,199.07168,8.1261397e-06,-141.22781,-0.65664955,0.00094885882,215.07333,0.0042086101,199.07168,9.6654101e-07,-47.651003,-0.221557,2.276839,215.07333,2.6685889,199.07168,0.14355653,10521.525,277176.02,1.2520105,196.26783,1,5
0.27021734,0.34890532,8.6803193,0.77447183,39.490889,0.083787689,0.018823128,6.5305002,0.35290888,8.6803193,18.504777,39.490889,-23.867914,0.017414589,0.0058765028,0.084337696,8.6803193,0.069678247,39.490889,0.016843707,0.58175916,2.3033359,0.10690949,8.6803193,21.544727,39.490889,-32.731222,0.4845541,0.00018722525,0.19474631,0.77447183,0.00096138018,0.083787689,0.0041588822,0.19985993,2.0912007e-05,0.021752068,0.069678247,0.00096138018,0.016843707,0.0041588822,0.88721598,0.38966999,0.17269268,18.504777,2.256436,-23.867914,2.5831778,0.25662396,41.117861,0.17639651,8.6803193,233.09906,39.490889,211.01778,0.24640642,-49.425184,-0.21534501,0.77447183,229.51627,0.083787689,199.25833,0.15541631,-20.997925,-0.091487739,18.504777,229.51627,-23.867914,199.25833,0.55003749,0.48107544,0.002063824,0.77447183,233.09906,0.083787689,211.01778,0.98926481,-41.210985,-0.17679601,18.504777,233.09906,-23.867914,211.01778,0.245321,-35.391481,-0.15183022,0.069678247,233.09906,0.016843707,211.01778,0.31942778,-138.09924,-0.59244872,21.544727,233.09906,-32.731222,211.01778,1.8071452e-05,-155.33656,-0.6663972,0.00096138018,233.09906,0.0041588822,211.01778,5.8244565e-07,-50.976917,-0.21869207,2.256436,233.09906,2.5831778,211.01778,0.14894014,10397.205,277087.54,1.251956,199.25833,1,6
0.24735559,0.40634389,8.6743566,0.60873462,39.481222,0.074998657,0.0056099513,4.9028039,0.23858273,8.6743566,20.549702,39.481222,-23.960379,0.11449387,0.0082635765,0.087996952,8.6743566,0.093907531,39.481222,0.020748504,0.56542167,3.5194789,0.17010185,8.6743566,20.690422,39.481222,-29.114289,0.2639375,0.00016885473,0.17628915,0.60873462,0.00095782824,0.074998657,0.0041689495,0.24669865,0.0002025122,0.21142851,0.093907531,0.00095782824,0.020748504,0.0041689495,0.16325328,0.4375436,0.19010144,20.549702,2.3016322,-23.960379,2.6295111,0.21100855,27.577357,0.13679717,8.6743566,201.59303,39.481222,211.69413,0.37021924,-67.706004,-0.29766324,0.60873462,227.4584,0.074998657,203.03629,0.047048321,-16.004906,-0.070364102,20.549702,227.4584,-23.960379,203.03629,0.64601577,-7.3502902,-0.036461033,0.60873462,201.59303,0.074998657,211.69413,0.8120484,-27.556038,-0.13669142,20.549702,201.59303,-23.960379,211.69413,0.37059282,-34.466323,-0.17096981,0.093907531,201.59303,0.020748504,211.69413,0.26147208,-122.66492,-0.60847796,20.690422,201.59303,-29.114289,211.69413,9.2357614e-06,-135.54979,-0.67239323,0.00095782824,201.59303,0.0041689495,211.69413,4.2256566e-07,-63.639838,-0.31568471,2.3016322,201.59303,2.6295111,211.69413,0.034649033,10422.374,277122.1,1.2516967,203.03629,1,7
0.40200524,0.30990244,8.6465969,1.2971994,39.441222,0.3523266,0.03829365,2.761258,0.19511692,8.6465969,14.151812,39.441222,-4.9806206,0.19898865,0.027702512,0.14935332,8.6465969,0.18548307,39.441222,0.045859765,0.32747843,2.4646085,0.13165293,8.6465969,18.720499,39.441222,18.762611,0.38865251,0.00024507327,0.24865762,1.2971994,0.00098558518,0.3523266,0.0044400611,0.099539281,-0.00018864093,-0.19139992,0.18548307,0.00098558518,0.045859765,0.0044400611,0.20784918,0.13451621,0.059182571,14.151812,2.2729025,-4.9806206,3.6199556,0.69936657,44.656382,0.22249599,8.6465969,200.70646,39.441222,222.5243,0.14182376,-14.790551,-0.063263261,1.2971994,233.79368,0.3523266,211.71942,0.67971311,52.157867,0.22309357,14.151812,233.79368,-4.9806206,211.71942,0.1407291,-3.2381509,-0.016133766,1.2971994,200.70646,0.3523266,222.5243,0.91622522,68.451365,0.34105213,14.151812,200.70646,-4.9806206,222.5243,0.021866249,30.85717,0.15374279,0.18548307,200.70646,0.045859765,222.5243,0.31329761,-44.13157,-0.21988117,18.720499,200.70646,18.762611,222.5243,0.14668789,-135.19575,-0.67359943,0.00098558518,200.70646,0.0044400611,222.5243,3.9579813e-07,-53.092004,-0.26452564,2.2729025,200.70646,3.6199556,222.5243,0.079090629,11100.153,278085.38,1.2491844,211.71942,1,8
