SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-3.5386676,-0.31508375,4.2551946,11.23088,14.987334,11.678699,0.00014151411,1.4195339,0.077522407,4.2551946,18.311272,14.987334,-21.373136,0.36086957,-0.020558996,-0.22260228,4.2551946,0.092357528,14.987334,0.16167987,0.0079756067,0.56818205,0.039622454,4.2551946,14.339901,14.987334,7.4646433,0.64086788,-0.0010211038,-0.53685194,11.23088,0.0019020213,11.678699,0.0054009531,6.7756169e-12,-0.0005714052,-0.30041999,0.092357528,0.0019020213,0.16167987,0.0054009531,0.00029515835,-0.70321268,-0.21552126,18.311272,3.2628459,-21.373136,8.507307,0.010269236,-152.28511,-0.33879584,4.2551946,449.4893,14.987334,560.50553,3.9673794e-05,110.9464,0.35278312,11.23088,314.48898,11.678699,489.32713,1.7822717e-05,-151.25003,-0.48093903,18.311272,314.48898,-21.373136,489.32713,1.5771436e-09,346.30067,0.77043138,11.23088,449.4893,11.678699,560.50553,5.8311004e-29,-131.87514,-0.29338883,18.311272,449.4893,-21.373136,560.50553,0.0004142802,183.90339,0.40913852,0.092357528,449.4893,0.16167987,560.50553,4.7221838e-07,-128.76517,-0.28646994,14.339901,449.4893,7.4646433,560.50553,0.00057353747,-367.96801,-0.81863573,0.0019020213,449.4893,0.0054009531,560.50553,2.7335698e-35,-186.04263,-0.41389778,3.2628459,449.4893,8.507307,560.50553,3.3662598e-07,13502.383,281849.93,1.2316688,489.32713,1,daily
-1.2407838,-0.17272311,4.4977978,7.1836586,15.107439,2.9295789,0.041277773,2.0524171,0.081899952,4.4977978,25.060052,15.107439,-34.63477,0.33605838,0.019215139,0.23464458,4.4977978,0.081890401,15.107439,0.025957466,0.0052621774,1.8174712,0.060966614,4.4977978,29.810926,15.107439,-46.60679,0.47425979,-0.00065340338,-0.32020848,7.1836586,0.0020405561,2.9295789,0.0052255659,0.00011485948,0.00045074068,0.2208911,0.081890401,0.0020405561,0.025957466,0.0052255659,0.0087244931,0.05806633,0.014621966,25.060052,3.9711712,-34.63477,7.5413714,0.8638562,-131.44831,-0.26241438,4.4977978,500.91884,15.107439,505.39442,0.0017351878,140.7326,0.3627601,7.1836586,387.9495,2.9295789,441.56375,1.0590779e-05,-177.27645,-0.45695754,25.060052,387.9495,-34.63477,441.56375,1.3856296e-08,351.39674,0.70150434,7.1836586,500.91884,2.9295789,505.39442,4.7889762e-22,-373.1833,-0.74499752,25.060052,500.91884,-34.63477,505.39442,4.92053e-26,-124.9233,-0.24938831,0.081890401,500.91884,0.025957466,505.39442,0.0029640255,-286.17339,-0.57129692,29.810926,500.91884,-46.60679,505.39442,1.6935258e-13,-366.22288,-0.73110223,0.0020405561,500.91884,0.0052255659,505.39442,1.1229454e-24,-124.97071,-0.24948295,3.9711712,500.91884,7.5413714,505.39442,0.0029528027,13063.915,280871.15,1.2384945,441.56375,1,0
-1.4076445,-0.21652725,4.4442047,6.5010041,15.077596,2.4375447,0.01018235,1.7442122,0.076579947,4.4442047,22.776356,15.077596,-34.764033,0.36849076,0.018105676,0.15826902,4.4442047,0.1143981,15.077596,0.030470631,0.061808849,1.2416897,0.043573989,4.4442047,28.496123,15.077596,-46.274999,0.60921457,-0.00061679028,-0.30402422,6.5010041,0.0020287538,2.4375447,0.0051728258,0.00026036335,0.00026650817,0.13136546,0.1143981,0.0020287538,0.030470631,0.0051728258,0.12183571,-0.33684114,-0.08166511,22.776356,4.124664,-34.764033,7.2858679,0.33745052,-141.36426,-0.28261166,4.4442047,500.20676,15.077596,491.55423,0.00071655378,109.80994,0.29419114,6.5010041,373.26053,2.4375447,425.42809,0.00041852925,-124.72114,-0.33413964,22.776356,373.26053,-34.764033,425.42809,5.4662559e-05,333.69292,0.66710997,6.5010041,500.20676,2.4375447,491.55423,2.277805e-19,-309.55863,-0.61886136,22.776356,500.20676,-34.764033,491.55423,3.6723927e-16,-81.653681,-0.16323986,0.1143981,500.20676,0.030470631,491.55423,0.053965867,-275.18708,-0.55014667,28.496123,500.20676,-46.274999,491.55423,1.9119396e-12,-350.23389,-0.70017824,0.0020287538,500.20676,0.0051728258,491.55423,6.1732073e-22,-98.089971,-0.19609885,4.124664,500.20676,7.2858679,491.55423,0.020229523,12932.065,280629.57,1.2401916,425.42809,1,1
-0.87527901,-0.17289743,4.3764013,5.0624176,15.052607,1.7165368,0.041070239,0.90686958,0.046307279,4.3764013,19.583737,15.052607,-33.406774,0.58692713,0.0051692677,0.12542624,4.3764013,0.041213607,15.052607,0.017961621,0.13978406,2.9309241,0.10556727,4.3764013,27.763569,15.052607,-45.621882,0.21447205,-0.00062439807,-0.31027021,5.0624176,0.0020124332,1.7165368,0.0051365855,0.00019090592,0.00062150817,0.30883419,0.041213607,0.0020124332,0.017961621,0.0051365855,0.00020514815,0.25748732,0.061982474,19.583737,4.1541955,-33.406774,6.9915036,0.4669128,-140.02457,-0.29928078,4.3764013,467.87023,15.052607,464.70926,0.00032804535,123.98373,0.33067217,5.0624176,374.94457,1.7165368,425.20112,6.5980313e-05,-140.57052,-0.37491013,19.583737,374.94457,-33.406774,425.20112,5.023197e-06,302.76634,0.64711607,5.0624176,467.87023,1.7165368,464.70926,5.7094768e-18,-242.42785,-0.5181519,19.583737,467.87023,-33.406774,464.70926,5.498278e-11,-130.40684,-0.27872438,0.041213607,467.87023,0.017961621,464.70926,0.00085397176,-256.1489,-0.54747851,27.763569,467.87023,-45.621882,464.70926,2.5649537e-12,-323.57925,-0.69160043,0.0020124332,467.87023,0.0051365855,464.70926,3.0862734e-21,-108.03834,-0.23091519,4.1541955,467.87023,6.9915036,464.70926,0.0060523969,12841.464,280335.76,1.2408631,425.20112,1,2
-0.89888274,-0.14932736,4.3345743,6.0195449,15.039775,1.6600895,0.078253408,2.4703793,0.09134705,4.3345743,27.043887,15.039775,-36.149514,0.28309678,0.0058642816,0.10990583,4.3345743,0.053357331,15.039775,0.023283348,0.1961203,2.717506,0.095202884,4.3345743,28.544366,15.039775,-44.357146,0.26318278,-0.0007123147,-0.35528436,6.0195449,0.0020049143,1.6600895,0.0050955491,1.6512419e-05,0.00076879515,0.38345537,0.053357331,0.0020049143,0.023283348,0.0050955491,2.9187533e-06,0.088532267,0.020856487,27.043887,4.2448311,-36.149514,6.7520393,0.80677281,-131.20452,-0.28578414,4.3345743,459.10358,15.039775,449.14228,0.00061979801,103.60354,0.27976867,6.0195449,370.31859,1.6600895,416.53264,0.00081485785,-147.6437,-0.39869374,27.043887,370.31859,-36.149514,416.53264,1.0664263e-06,299.83873,0.65309605,6.0195449,459.10358,1.6600895,449.14228,2.2344287e-18,-222.61923,-0.4848998,27.043887,459.10358,-36.149514,449.14228,1.269472e-09,-156.17441,-0.34017249,0.053357331,459.10358,0.023283348,449.14228,3.9188671e-05,-241.9631,-0.52703379,28.544366,459.10358,-44.357146,449.14228,2.2412122e-11,-308.48973,-0.67193929,0.0020049143,459.10358,0.0050955491,449.14228,1.0075073e-19,-98.332423,-0.21418352,4.2448311,459.10358,6.7520393,449.14228,0.011050642,12738.873,280110.73,1.2419372,416.53264,1,3
-1.0312251,-0.20711818,4.4055618,4.9789211,15.112543,1.3544332,0.014428071,1.7437517,0.067954361,4.3983824,25.66063,15.089179,-35.174368,0.42500924,0.013327264,0.2246979,4.4055618,0.059311921,15.112543,0.026333202,0.0078298028,3.6042637,0.12489392,4.3983824,28.858601,15.089179,-42.174738,0.14148617,-0.00049574193,-0.24729033,4.9789211,0.0020046959,1.3544332,0.0050439372,0.0033364786,0.00049072001,0.24478526,0.059311921,0.0020046959,0.026333202,0.0050439372,0.0036815473,-0.17571141,-0.040983154,25.66063,4.2874057,-35.174368,6.4833821,0.6306773,-142.42474,-0.31940297,4.3983824,445.90924,15.089179,427.48454,0.00011976758,115.32972,0.31475595,4.9789211,366.40997,1.3544332,406.57633,0.00016078704,-119.37147,-0.32431329,25.66063,368.07454,-35.174368,410.53005,9.2632653e-05,269.66723,0.60319786,4.9789211,447.06264,1.3544332,429.1915,3.8990752e-15,-178.51615,-0.40034189,25.66063,445.90924,-35.174368,427.48454,9.5349225e-07,-152.80404,-0.34179559,0.059311921,447.06264,0.026333202,429.1915,3.8210039e-05,-234.03575,-0.52485064,28.858601,445.90924,-42.174738,427.48454,2.8011079e-11,-296.3396,-0.6645738,0.0020139599,445.90924,0.0050656728,427.48454,3.4748403e-19,-104.38065,-0.23408498,4.2874057,445.90924,6.4833821,427.48454,0.0053745419,12664.182,279857.66,1.2428357,410.53005,1,4
-1.2109062,-0.25675574,4.3738816,4.7161798,15.092432,1.3427509,0.0022801352,3.7413382,0.14621227,4.3631183,25.588401,15.074786,-35.29786,0.084748841,0.025184607,0.23099846,4.3738816,0.109025,15.092432,0.031608747,0.006220171,3.9793908,0.13785039,4.3631183,28.867461,15.074786,-40.970379,0.10433132,-0.00059149525,-0.29706054,4.7161798,0.0019911606,1.3427509,0.0050206624,0.00038351482,0.00033712495,0.16931078,0.109025,0.0019911606,0.031608747,0.0050206624,0.046313108,0.38187898,0.087807781,25.588401,4.3490335,-35.29786,6.3499964,0.30224308,-135.26724,-0.31228193,4.3631183,433.15743,15.074786,417.48087,0.0001724948,135.14804,0.37938152,4.7161798,356.23252,1.3427509,401.79688,4.1081105e-06,-146.61601,-0.40555041,25.588401,361.52352,-35.29786,407.5975,6.6674332e-07,279.67671,0.64347445,4.7161798,434.6353,1.3427509,418.22039,1.3119374e-17,-219.33258,-0.50635766,25.588401,433.15743,-35.29786,417.48087,1.7404936e-10,-83.129887,-0.19126354,0.109025,434.6353,0.031608747,418.22039,0.024104133,-233.71231,-0.53955514,28.867461,433.15743,-40.970379,417.48087,6.0457723e-12,-281.39944,-0.64964705,0.0020016166,433.15743,0.0050430664,417.48087,3.8482757e-18,-97.069329,-0.22409711,4.3490335,433.15743,6.3499964,417.48087,0.0077742181,12607.666,279729.21,1.2433092,407.5975,1,5
-1.2686193,-0.26770639,4.3614139,4.7388457,15.067324,1.3249007,0.0014421924,2.9050143,0.11565462,4.3486467,25.118013,15.053789,-33.674841,0.17359394,0.026974114,0.38996753,4.3614139,0.069170153,15.067324,0.032411304,2.0810852e-06,3.4069,0.11836903,4.3486467,28.782022,15.053789,-40.094614,0.16364803,-0.00059219933,-0.2995454,4.7388457,0.0019769935,1.3249007,0.0050021633,0.00034056193,0.0005313584,0.26877093,0.069170153,0.0019769935,0.032411304,0.0050021633,0.0013779675,0.028520679,0.0065174546,25.118013,4.3760458,-33.674841,6.1603,0.93908099,-141.41997,-0.33372479,4.3486467,423.76227,15.053789,400.41095,5.5913799e-05,121.42242,0.35267656,4.7388457,344.28832,1.3249007,387.91255,2.0618169e-05,-131.67793,-0.37365648,25.118013,352.4037,-33.674841,394.7299,5.4326787e-06,249.89641,0.58760657,4.7388457,425.27845,1.3249007,400.72561,2.868829e-14,-194.67082,-0.45938687,25.118013,423.76227,-33.674841,400.41095,1.135144e-08,-133.19375,-0.31319186,0.069170153,425.27845,0.032411304,400.72561,0.00017401389,-225.77526,-0.53278755,28.782022,423.76227,-40.094614,400.41095,1.2356716e-11,-272.80338,-0.64376515,0.0019869501,423.76227,0.005024135,400.41095,9.5711203e-18,-102.93533,-0.24290819,4.3760458,423.76227,6.1603,400.41095,0.0038303899,12560.337,279532.04,1.2449413,394.7299,1,6
-1.1262443,-0.26280158,4.3439522,4.2855308,15.050669,1.3480007,0.0017748231,3.0302334,0.12313612,4.3302374,24.60881,15.039718,-33.930988,0.1472187,0.015941753,0.25905403,4.3439522,0.061538332,15.050669,0.02316302,0.0020744143,3.5483516,0.12474486,4.3302374,28.444873,15.039718,-37.415854,0.14196559,-0.00054634001,-0.2814186,4.2855308,0.0019413785,1.3480007,0.0049940777,0.00079076901,0.00029920265,0.15411866,0.061538332,0.0019413785,0.02316302,0.0049940777,0.07006926,-0.16354314,-0.036443243,24.60881,4.487612,-33.930988,6.0022929,0.66903092,-138.23302,-0.34290964,4.3302374,403.11791,15.039718,378.90475,3.3619864e-05,96.071932,0.29820817,4.2855308,322.16398,1.3480007,370.97585,0.00036309017,-120.2611,-0.3607429,24.60881,333.37065,-33.930988,378.57898,1.1952299e-05,258.58726,0.63917427,4.2855308,404.56457,1.3480007,378.65044,2.5087384e-17,-187.53532,-0.46521208,24.60881,403.11791,-33.930988,378.90475,6.992512e-09,-99.072122,-0.24488581,0.061538332,404.56457,0.02316302,378.65044,0.0036671012,-218.42645,-0.5418426,28.444873,403.11791,-37.415854,378.90475,4.7309284e-12,-246.98948,-0.61269786,0.0019493012,403.11791,0.0050144211,378.90475,8.6208374e-16,-82.65207,-0.205032,4.487612,403.11791,6.0022929,378.90475,0.015094806,12536.053,279354.33,1.2469405,378.57898,1,7
-2.4471548,-0.34896521,4.4199252,7.012604,15.059176,3.040607,2.5512267e-05,2.6620348,0.11675015,4.4199252,22.801126,15.059176,-29.043918,0.17108691,-0.0056165171,-0.027076076,4.4199252,0.20743468,15.059176,0.061566259,0.75170074,2.0510716,0.11716473,4.4054235,17.50588,15.049704,-4.0663403,0.168007,-0.00036502104,-0.19019598,7.012604,0.0019191838,3.040607,0.0050486793,0.024920006,0.00029794626,0.15524634,0.20743468,0.0019191838,0.061566259,0.0050486793,0.068019199,-0.42667666,-0.10076898,22.801126,4.2342064,-29.043918,6.2376043,0.23787,-143.92317,-0.3490459,4.4054235,412.33306,15.049704,394.34451,2.3718977e-05,57.35678,0.19086339,7.012604,300.51222,3.040607,360.03677,0.024407219,-98.556901,-0.32796304,22.801126,300.51222,-29.043918,360.03677,8.1044871e-05,213.17607,0.51800282,7.012604,411.53457,3.040607,390.68364,6.5468387e-11,-215.63964,-0.52398914,22.801126,411.53457,-29.043918,390.68364,3.6022823e-11,-33.849157,-0.082251067,0.20743468,411.53457,0.061566259,390.68364,0.33574772,-215.6998,-0.52312031,17.50588,412.33306,-4.0663403,394.34451,3.3388797e-11,-265.25521,-0.64330327,0.0019138851,412.33306,0.0050553276,394.34451,1.027237e-17,-89.846395,-0.21789763,4.2640947,412.33306,6.2899071,394.34451,0.0097029925,12638.319,279614.52,1.2475882,368.02636,1,8
