SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
6.7274711,0.36122471,10.318215,18.624061,21.623896,16.931584,7.1891367e-08,-2.4557574,-0.10369664,10.318215,23.68213,21.623896,-23.627837,0.1341908,0.043571103,0.3288957,10.318215,0.13247696,21.623896,0.18145725,1.0937001e-06,0.35330807,0.017047583,2.0195036,20.724819,19.640985,1.7215868,0.84383807,-0.00032542186,-0.19106074,17.221243,0.0017032378,15.640971,0.0051777376,0.0020119723,-0.00020007927,-0.11746996,0.12334515,0.0017032378,0.17400321,0.0051777376,0.059039762,-0.42731447,-0.1315532,23.08411,3.2482257,-20.72444,7.0720521,0.034335217,-22.814806,-0.070308006,10.224938,324.49798,21.507629,455.93148,0.3048075,52.488853,0.21086311,17.221243,248.92384,15.640971,428.94983,0.00063643993,-98.362231,-0.3951499,23.08411,248.92384,-20.72444,428.94983,4.1368757e-11,71.798488,0.22234285,17.221243,322.91791,15.640971,442.53604,0.00031070688,12.334851,0.038198103,23.08411,322.91791,-20.72444,442.53604,0.54054425,26.13169,0.080923631,0.12334515,322.91791,0.17400321,442.53604,0.19422781,-139.34009,-0.43802248,19.787094,318.11173,4.6904233,424.30516,4.5090218e-10,-236.84662,-0.73845508,0.0017187181,320.73261,0.0052074545,441.23674,9.608795e-47,-134.04827,-0.41794401,3.2813824,320.73261,7.1386334,441.23674,1.3852428e-12,13018.636,280329.17,1.2415596,434.78729,1,daily
3.9027855,0.23514745,10.170691,16.597184,21.49458,7.4016828,0.00080297801,-2.9136351,-0.10215314,10.170691,28.522229,21.49458,-38.472622,0.1500439,0.020224824,0.089250722,10.170691,0.22660684,21.49458,0.054212892,0.20882824,-3.6067681,-0.10047902,2.0758401,35.895733,19.624369,-48.888652,0.25534873,0.00015709197,0.085605072,15.197641,0.0018350779,6.1886133,0.0049089708,0.17991146,0.00019298176,0.10516271,0.20500038,0.0018350779,0.049067318,0.0049089708,0.099157186,-0.23810145,-0.057010664,26.943705,4.1764371,-37.792086,5.717751,0.37229978,-22.98401,-0.070647238,10.049172,325.33488,21.373129,368.63197,0.31294106,96.61087,0.31631277,15.197641,305.42829,6.1886133,367.93709,3.8347223e-07,-71.29385,-0.23342255,26.943705,305.42829,-37.792086,367.93709,0.00021460512,20.759665,0.064870121,15.197641,320.0189,6.1886133,354.88578,0.3099093,-43.138708,-0.1348005,26.943705,320.0189,-37.792086,354.88578,0.034218816,-45.158983,-0.14111349,0.20500038,320.0189,0.049067318,354.88578,0.026579984,-194.9619,-0.64127312,34.431781,304.02319,-47.908276,363.00599,6.9100367e-22,-192.23902,-0.60432313,0.0018544116,318.10634,0.0049419305,356.77449,1.4055508e-26,-76.168219,-0.23944263,4.2320227,318.10634,5.8146621,356.77449,0.00012015944,12354.826,278979.44,1.2505583,374.0238,1,0
3.6072633,0.27294435,10.178422,13.216113,21.495162,6.7315745,9.2170109e-05,-2.5460379,-0.093306257,10.178422,27.286893,21.495162,-38.962208,0.18879658,0.029241387,0.14034302,10.178422,0.20835655,21.495162,0.049020635,0.047464654,-1.9062922,-0.054869051,2.0614811,34.742576,19.619738,-47.66745,0.53523897,-8.3979587e-06,-0.004604538,12.222903,0.0018238439,5.493308,0.0048571758,0.94260247,0.00010094397,0.055346825,0.18861991,0.0018238439,0.045780687,0.0048571758,0.38643785,0.018654061,0.0044078372,25.856173,4.2320213,-37.810379,5.525504,0.94505048,-26.763345,-0.081134994,10.056739,329.86193,21.374036,362.78868,0.24632063,58.940564,0.22683178,12.222903,259.84262,5.493308,352.13702,0.00032587108,-68.339806,-0.2630046,25.856173,259.84262,-37.810379,352.13702,2.833987e-05,52.069501,0.16159675,12.222903,322.21875,5.493308,349.88199,0.010973276,-53.352449,-0.16557835,25.856173,322.21875,-37.810379,349.88199,0.009131584,-36.693564,-0.1138778,0.18861991,322.21875,0.045780687,349.88199,0.074023593,-181.34076,-0.62112056,33.598382,291.95743,-46.372195,352.43658,2.8872377e-20,-188.656,-0.58958998,0.0018421804,319.97829,0.0048909449,351.34992,4.4472514e-25,-66.173057,-0.20680483,4.2819792,319.97829,5.622587,351.34992,0.00093634353,12227.362,278797.04,1.2521411,357.9856,1,1
4.4512735,0.3045347,10.174268,14.616638,21.492857,6.6740898,1.1632292e-05,-3.4048839,-0.1214505,10.174268,28.035157,21.492857,-38.433397,0.086684749,-0.0021054328,-0.011319463,10.174268,0.18600112,21.492857,0.043215413,0.87360342,-4.0064228,-0.11403313,2.0587028,35.13385,19.616923,-46.816598,0.19641301,8.2750781e-05,0.045372593,13.431548,0.0018238054,5.4188306,0.0048154276,0.4778066,0.00012635504,0.06928099,0.1686325,0.0018238054,0.041108558,0.0048154276,0.27809141,0.19104842,0.044946908,26.513888,4.2505353,-37.038396,5.3170223,0.48195085,-21.594771,-0.064988989,10.053052,332.28353,21.371177,353.62528,0.35336963,65.644644,0.24004636,13.431548,273.46652,5.4188306,350.46774,0.00013934143,-65.695552,-0.24023252,26.513888,273.46652,-37.038396,350.46774,0.00013763615,28.79297,0.089593078,13.431548,321.37494,5.4188306,340.50093,0.16039397,-42.110482,-0.13103225,26.513888,321.37494,-37.038396,340.50093,0.039612434,-22.856205,-0.071120059,0.1686325,321.37494,0.041108558,340.50093,0.26550223,-182.14793,-0.6381343,33.932257,285.43824,-45.411852,340.7494,1.2585417e-21,-187.58045,-0.58818992,0.0018424373,318.91137,0.0048507503,341.64741,6.1191622e-25,-68.313186,-0.21420744,4.3026337,318.91137,5.4162431,341.64741,0.00060312014,12126.876,278589.28,1.2529274,355.15417,1,2
4.0784509,0.24246199,10.193495,16.820991,21.419905,6.8558804,0.00052445343,-2.5695024,-0.078431785,10.193495,32.760983,21.419905,-39.867017,0.26840929,-0.01895966,-0.10198039,10.193495,0.18591476,21.419905,0.04229399,0.14970825,-2.8768706,-0.084342646,2.061414,34.109324,19.616927,-45.441465,0.34004943,7.1793127e-05,0.039461597,15.382487,0.0018193163,5.6055187,0.0047765734,0.53621727,-6.6530424e-05,-0.036568915,0.16807478,0.0018193163,0.039388192,0.0047765734,0.56652946,-0.24627355,-0.05763719,30.539631,4.2728237,-38.05855,5.1055323,0.36608163,-22.990105,-0.070781898,10.071445,324.80204,21.301316,344.54765,0.31083133,52.222544,0.18826656,15.382487,277.3862,5.6055187,340.44608,0.0029155121,-98.441104,-0.35488826,30.539631,277.3862,-38.05855,340.44608,8.9899783e-09,20.428377,0.065290422,15.382487,312.88474,5.6055187,329.0265,0.30579125,-43.437467,-0.13882897,30.539631,312.88474,-38.05855,329.0265,0.028827958,9.7927166,0.03129816,0.16807478,312.88474,0.039388192,329.0265,0.6237702,-176.22995,-0.62190028,33.097467,283.37332,-44.318533,329.22759,2.5115444e-20,-181.79032,-0.58498411,0.0018379444,310.76112,0.0048110562,330.35396,1.0226621e-24,-70.099636,-0.22557402,4.3207295,310.76112,5.2050079,330.35396,0.00028991636,12027.641,278388.42,1.2541739,344.85565,1,3
3.7639503,0.29485916,10.236828,12.765248,21.493371,6.1669837,2.146001e-05,-2.3465635,-0.079034084,10.212269,29.690526,21.483634,-38.145368,0.26353951,-0.0020518744,-0.012793265,10.236828,0.16038708,21.493371,0.034112246,0.85695473,-0.56138196,-0.016724894,2.0576969,33.565651,19.601857,-44.306647,0.85078063,5.402651e-05,0.029765489,11.759559,0.0018150722,5.0383828,0.0047309492,0.64087007,0.00013162973,0.072520383,0.14510529,0.0018150722,0.033042576,0.0047309492,0.25521186,-0.27996829,-0.064942706,27.647534,4.3110044,-36.237678,4.8832008,0.30739654,-27.918884,-0.088733898,10.115189,314.63606,21.366577,335.31748,0.20357316,56.822919,0.20107845,11.759559,282.59079,5.0383828,336.11246,0.0014567526,-91.028823,-0.3227694,27.647534,282.02433,-36.237678,336.01906,1.9126156e-07,26.439258,0.086972205,11.759559,303.99663,5.0383828,321.36539,0.17215607,-16.72862,-0.055109923,27.647534,303.55006,-36.237678,320.7275,0.38654363,-4.4108216,-0.014509442,0.14510529,303.99663,0.033042576,321.36539,0.82014963,-165.81843,-0.57647618,32.467985,287.64143,-43.118735,321.90439,5.6573407e-17,-172.49663,-0.57077334,0.0018361012,302.21565,0.004768596,321.41854,2.3426225e-23,-68.533784,-0.22677113,4.3638474,302.21565,5.0017008,321.41854,0.000268542,11921.49,278199.37,1.2546641,342.44528,1,4
3.3016862,0.25476961,10.205504,12.959498,21.472106,6.305284,0.0002531514,-2.1601558,-0.077738164,10.205504,27.787585,21.472106,-38.860015,0.27147361,-0.0016386275,-0.011624073,10.205504,0.14096844,21.472106,0.024842543,0.86958204,-1.7575703,-0.051725753,2.0515117,33.978631,19.588705,-43.603315,0.56045672,7.7280986e-05,0.04280955,11.926683,0.0018052277,5.2571037,0.0046704626,0.50130833,0.00016540329,0.091624609,0.12750447,0.0018052277,0.02401501,0.0046704626,0.14942343,-0.022977073,-0.0052603238,26.210492,4.3679958,-37.158701,4.6535602,0.93417802,-22.328078,-0.070758121,10.108874,315.55499,21.354326,328.43327,0.31099431,62.098424,0.21204408,11.926683,292.85621,5.2571037,333.6138,0.0007584257,-93.121222,-0.31797592,26.210492,292.85621,-37.158701,333.6138,2.9598374e-07,33.161471,0.10923482,11.926683,303.57968,5.2571037,314.06581,0.085400758,-48.284842,-0.15905163,26.210492,303.57968,-37.158701,314.06581,0.011964746,-26.006391,-0.085665783,0.12750447,303.57968,0.02401501,314.06581,0.17783221,-153.10818,-0.54264331,32.255636,282.15253,-42.755668,312.60586,7.2792993e-15,-167.86975,-0.55527544,0.0018308801,302.31799,0.0047119652,314.7273,6.022088e-22,-64.094768,-0.2120111,4.4196609,302.31799,4.7685295,314.7273,0.00067145161,11779.913,277970.13,1.2552815,341.42939,1,5
3.0931577,0.21496478,10.216032,14.389137,21.449765,6.1223638,0.0021244377,-1.0161624,-0.030287621,10.216032,33.550419,21.449765,-39.503218,0.66872774,0.014258774,0.080401797,10.216032,0.17734398,21.449765,0.037426097,0.25533967,0.80369963,0.023407895,2.0460198,34.334554,19.574326,-42.306906,0.79231095,0.00012962782,0.071648189,13.196954,0.0018092267,5.0540861,0.0046344873,0.26001794,0.00015443692,0.085360732,0.17714727,0.0018092267,0.041127202,0.0046344873,0.17938732,-0.23620005,-0.053014921,31.367137,4.4553504,-37.555599,4.4463614,0.40487974,-8.9518031,-0.028532535,10.119254,313.74019,21.331976,316.77365,0.68319369,63.287264,0.2159874,13.196954,293.01369,5.0540861,332.82977,0.00059987926,-89.555832,-0.30563702,31.367137,293.01369,-37.555599,332.82977,8.7987348e-07,26.36875,0.087493677,13.196954,301.37892,5.0540861,302.94232,0.16872234,-34.931934,-0.11590702,31.367137,301.37892,-37.555599,302.94232,0.067859608,-14.273379,-0.047360242,0.17714727,301.37892,0.041127202,302.94232,0.45688298,-164.44194,-0.56951417,32.586688,288.74074,-40.999266,305.38753,1.6089253e-16,-160.21025,-0.53442642,0.0018338199,299.77981,0.0046755079,303.23829,3.6684098e-20,-57.949727,-0.19330764,4.5016846,299.77981,4.5582441,303.23829,0.0019690304,11688.77,277748.98,1.2559552,341.11823,1,6
2.7558021,0.18418666,9.7260108,14.962007,21.125046,5.8207747,0.0095715128,-1.0779092,-0.032831282,9.7260108,32.831775,21.125046,-38.528282,0.64695243,0.010088845,0.066638507,9.7260108,0.15139663,21.125046,0.02754665,0.35216477,1.5102481,0.044701638,2.0471382,33.785072,19.564359,-40.51145,0.61634954,7.2841084e-05,0.040208749,13.64723,0.001811573,4.8321883,0.004631585,0.53189994,0.00018564176,0.10247545,0.15588206,0.001811573,0.032088034,0.004631585,0.11033168,-0.31963976,-0.069990279,30.379794,4.5669165,-36.484379,4.3220943,0.27615166,-6.4694732,-0.021088057,9.8758587,306.78376,21.173732,300.58577,0.76521749,70.676523,0.23251938,13.64723,303.95971,4.8321883,332.02184,0.00024853966,-109.50658,-0.36026676,30.379794,303.95971,-36.484379,332.02184,6.856933e-09,40.532533,0.13744308,13.64723,294.90414,4.8321883,288.42837,0.031864996,-44.134287,-0.14965638,30.379794,294.90414,-36.484379,288.42837,0.019341111,-20.014009,-0.067866151,0.15588206,294.90414,0.032088034,288.42837,0.29102427,-169.044,-0.59181355,33.265112,285.63725,-37.724775,291.34607,6.4351392e-18,-147.10824,-0.50198298,0.0018355852,293.05424,0.0046789876,287.97418,2.3084176e-17,-47.950365,-0.16362283,4.6103989,293.05424,4.448714,287.97418,0.0095522967,11697.469,277616.15,1.25664,340.83612,1,7
5.4875857,0.36750455,10.253547,14.932021,21.484107,7.9130844,1.1659583e-07,-1.940296,-0.057946104,10.22833,33.484494,21.474056,-33.843871,0.41862071,0.010406819,0.05590737,10.253547,0.18614396,21.484107,0.044985588,0.4363888,5.1762867,0.18653879,2.0355852,27.749117,19.562988,-2.4573678,0.035006376,-3.8084109e-05,-0.021216655,13.661699,0.00179501,6.9520458,0.0047458002,0.7431419,-3.7747407e-05,-0.021029078,0.20340885,0.00179501,0.058679805,0.0047458002,0.74533418,-0.96347345,-0.21923767,31.994491,4.3946528,-29.779451,4.7208326,0.00059307669,-7.736994,-0.024865891,10.084797,311.14887,21.321797,299.73991,0.7240673,101.75879,0.32415843,13.661699,313.91685,6.9520458,342.53618,2.6645743e-07,-110.47589,-0.35222702,31.994491,313.64968,-29.779451,341.53778,1.7757754e-08,64.078032,0.2105903,13.661699,304.27818,6.9520458,291.24504,0.0010047008,-28.297172,-0.093149083,31.994491,303.78369,-29.779451,290.65767,0.14854221,16.604242,0.054569282,0.20340885,304.27818,0.058679805,291.24504,0.39902308,-150.45383,-0.50157402,31.559472,299.96336,-0.19567473,295.85537,1.5438664e-12,-153.53073,-0.51047935,0.0018215996,300.75795,0.004768456,290.92307,4.6444043e-18,-46.264671,-0.15382692,4.4597427,300.75795,4.7873167,290.92307,0.014709688,11921.14,277936.39,1.2556346,347.19056,1,8
