SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.0345756,0.13483331,3.8231041,7.6729972,27.410636,5.0421541,0.019271681,-1.7060302,-0.16290095,3.8231041,10.472807,27.410636,-10.268624,0.0046053285,-0.014453344,-0.077670608,3.8231041,0.18608512,27.410636,0.30344047,0.17896166,-4.705695,-0.18325035,3.8473523,25.679051,27.363397,-34.70931,0.0016024193,1.6315842e-05,0.019598588,7.6729972,0.00083250087,5.0421541,0.0021004449,0.73488052,0.00037204243,0.44689735,0.18608512,0.00083250087,0.30344047,0.0021004449,3.4900292e-16,-1.2492415,-0.28790184,10.472807,4.3391231,-10.268624,-4.2371551,3.7321735e-07,82.516213,0.12072231,3.8231041,683.52081,27.410636,1010.2535,0.036313344,47.542776,0.42173839,7.6729972,112.73049,5.0421541,78.090373,2.0720549e-14,-37.789146,-0.33521672,10.472807,112.73049,-10.268624,78.090373,2.4453508e-09,203.22999,0.29732817,7.6729972,683.52081,5.0421541,1010.2535,1.4695261e-07,-319.73395,-0.46777501,10.472807,683.52081,-10.268624,1010.2535,9.0267698e-18,-274.36551,-0.40140038,0.18608512,683.52081,0.30344047,1010.2535,4.4248688e-13,-428.68369,-0.62879206,25.679051,681.75748,-34.70931,1027.6914,9.2181348e-34,-439.69144,-0.6432744,0.00083250087,683.52081,0.0021004449,1010.2535,1.4995372e-36,304.46834,0.44544121,4.3391231,683.52081,-4.2371551,1010.2535,4.46205e-16,5251.1123,290309.79,0.99508703,78.090373,1,daily
1.1688419,0.11951091,3.77427,9.7802113,27.475253,3.5514805,0.043806241,-1.5762308,-0.097790473,3.7778732,16.11845,27.529744,-12.238041,0.097073032,0.010926291,0.030961629,3.77427,0.35289781,27.475253,0.17812091,0.60270111,-2.9245697,-0.10872787,3.7648433,26.898069,27.398245,-29.84059,0.076136959,1.0676994e-05,0.011382391,9.7802113,0.00093802733,3.5514805,0.0020193296,0.84827601,0.00025130401,0.26790692,0.35289781,0.00093802733,0.17812091,0.0020193296,4.4958035e-06,-0.90305299,-0.19911831,16.11845,4.5352583,-12.238041,-5.2147993,0.00066286477,104.90211,0.14274025,3.7778732,734.91614,27.529744,946.75013,0.015160766,21.265379,0.30075111,9.7802113,70.707568,3.5514805,40.748813,2.2759602e-07,-10.648411,-0.15140624,16.11845,70.33007,-12.238041,40.910168,0.0099481138,232.05426,0.31642724,9.7802113,733.35741,3.5514805,958.4192,4.7788852e-08,-342.14496,-0.46555646,16.11845,734.91614,-12.238041,946.75013,5.9519051e-17,-154.12463,-0.21016306,0.35289781,733.35741,0.17812091,958.4192,0.00035379667,-456.09709,-0.61987968,26.898069,735.78326,-29.84059,999.02428,9.7958008e-30,-487.44231,-0.66326249,0.00093985829,734.91614,0.0020297893,946.75013,5.2874509e-38,250.54191,0.34091224,4.5352583,734.91614,-5.2147993,946.75013,2.6885757e-09,5074.4732,289186.91,1.0004523,40.910168,1,0
0.79030355,0.061504142,3.7743527,12.849599,27.474775,4.2216663,0.30079684,-1.7158241,-0.096985565,3.7779483,17.691541,27.529261,-13.530728,0.099868737,-0.01638266,-0.043544741,3.7743527,0.37622591,27.474775,0.20460248,0.46402423,-2.8309245,-0.10357818,3.7384116,27.331283,27.400911,-30.307006,0.093058442,6.4641951e-05,0.06894422,12.849599,0.00093759783,4.2216663,0.0020006885,0.24597627,0.00039013146,0.41609681,0.37622591,0.00093759783,0.20460248,0.0020006885,2.3246272e-13,-1.1897328,-0.25801039,17.691541,4.6111816,-13.530728,-5.2771626,8.8872585e-06,109.42726,0.14585378,3.7779483,750.25312,27.529261,957.57752,0.013062693,14.182145,0.13217182,12.849599,107.30082,4.2216663,41.000917,0.02566068,-10.131029,-0.095066313,17.691541,106.56803,-13.530728,40.940824,0.10679279,180.89195,0.24156512,12.849599,748.83304,4.2216663,969.34353,3.7663434e-05,-380.70024,-0.50742906,17.691541,750.25312,-13.530728,957.57752,2.5661245e-20,-297.21785,-0.39690803,0.37622591,748.83304,0.20460248,969.34353,3.4252308e-12,-472.87992,-0.62967521,27.331283,750.99021,-30.307006,1013.2932,1.4466799e-30,-502.12947,-0.66928008,0.00093956932,750.25312,0.0020119282,957.57752,6.6173242e-39,260.84896,0.34768127,4.6111816,750.25312,-5.2771626,957.57752,1.235582e-09,5029.8204,289138.77,1.0003655,40.940824,1,1
1.1872152,0.090786473,3.7736182,13.077006,27.470309,4.0573208,0.12624571,-1.2612231,-0.074377655,3.7772937,16.957016,27.524862,-13.324273,0.20742159,-0.01115303,-0.030950267,3.7736182,0.36035327,27.470309,0.19041816,0.60283428,-2.1527311,-0.078475957,3.7689803,27.431728,27.351733,-29.907782,0.20373084,1.6518009e-05,0.017527806,13.05443,0.0009423889,4.0513851,0.0019906684,0.76788189,0.00033583666,0.35642155,0.36035327,0.00094224566,0.19041816,0.0019941088,5.8176728e-10,-1.1201345,-0.24280882,16.957016,4.6132367,-13.324273,-5.3378806,3.0131638e-05,98.853404,0.1306275,3.7772937,756.75799,27.524862,956.45615,0.026380344,16.671836,0.129312,13.05443,128.92721,4.0513851,41.07588,0.028780862,-14.847434,-0.11576474,16.957016,128.25524,-13.324273,40.833145,0.049288635,161.07047,0.21356431,13.05443,754.20124,4.0513851,969.00901,0.00027482496,-316.85228,-0.41869698,16.957016,756.75799,-13.324273,956.45615,1.0760956e-13,-258.02441,-0.34156587,0.36035327,755.41627,0.19041816,968.24242,3.2204852e-09,-473.73862,-0.62734832,27.441026,755.14448,-30.020394,1015.6084,2.1261552e-30,-508.883,-0.67350929,0.00094408884,755.56939,0.002001682,957.25281,1.1004929e-39,267.98397,0.35467817,4.6152527,755.56939,-5.3557155,957.25281,5.0626739e-10,5004.205,289069.37,1.0003462,40.958211,1,2
1.0315321,0.10097029,3.7764423,10.216194,27.485528,3.4157902,0.088298374,-2.098462,-0.11974644,3.7742255,17.524211,27.508443,-12.977737,0.042291631,-0.031380381,-0.093862325,3.7764423,0.3343235,27.485528,0.17200994,0.11321583,-2.5172895,-0.092636239,3.7731177,27.173917,27.34188,-29.914913,0.13403582,2.7962798e-05,0.029552935,10.216194,0.00094619358,3.4157902,0.0019808179,0.61869168,0.00033225357,0.35114757,0.3343235,0.00094619358,0.17200994,0.0019808179,1.0086191e-09,-1.3135773,-0.28253887,17.524211,4.6491915,-12.977737,-5.421066,1.0955471e-06,99.248474,0.12875408,3.7772939,770.8375,27.524296,962.02748,0.028636842,10.802593,0.075565715,10.216194,142.95627,3.4157902,41.744639,0.20260741,-13.043693,-0.091329212,17.524211,142.8206,-12.977737,42.416,0.12200773,195.09123,0.25344183,10.216194,769.7673,3.4157902,971.06325,1.4355082e-05,-361.9461,-0.46985586,17.524211,770.33433,-12.977737,965.16004,3.1979273e-17,-278.69899,-0.36205616,0.3343235,769.7673,0.17200994,971.06325,2.7629862e-10,-480.09897,-0.6253099,27.173917,767.77765,-29.914913,1026.4825,6.1089943e-30,-521.93312,-0.67709877,0.00094840736,770.8375,0.0019898797,962.02748,4.129323e-40,285.11344,0.3698749,4.6438138,770.8375,-5.4117509,962.02748,8.4528498e-11,4974.6992,289022.91,1.0001954,42.326202,1,3
1.2525417,0.12733739,3.7926225,9.8364015,27.484383,3.5168433,0.031036515,-2.1443246,-0.11824775,3.7871627,18.134169,27.515895,-13.477212,0.044214247,-0.029439359,-0.096320105,3.7926225,0.30564085,27.484383,0.15195324,0.10343308,-2.5113786,-0.091081175,3.7655954,27.572971,27.354199,-29.749335,0.14225357,-3.5609191e-05,-0.037633316,9.8364015,0.00094621454,3.5168433,0.0019618369,0.525434,0.00023649876,0.24994201,0.30564085,0.00094621454,0.15195324,0.0019618369,1.8356705e-05,-1.4345075,-0.30472595,18.134169,4.7075332,-13.477212,-5.4533672,1.2012469e-07,95.863684,0.12226768,3.7871627,784.04765,27.515895,977.50967,0.037437144,11.471584,0.080165853,9.8364015,143.09814,3.5168433,42.144151,0.17562493,-16.480757,-0.11555032,18.134169,142.62839,-13.477212,42.462167,0.049316853,281.66482,0.35966481,9.8364015,783.13144,3.5168433,986.51111,3.4330304e-10,-382.03648,-0.48726182,18.134169,784.04765,-13.477212,977.50967,1.0670495e-18,-281.121,-0.35897039,0.30564085,783.13144,0.15195324,986.51111,3.7319731e-10,-501.37219,-0.6377598,27.572971,786.14581,-29.749335,1050.406,3.3364689e-31,-530.40175,-0.67649173,0.00094718214,784.04765,0.001969491,977.50967,3.7769912e-40,292.6405,0.37324326,4.7075332,784.04765,-5.4533672,977.50967,5.1163663e-11,4923.7274,289007.56,0.99990395,42.462167,1,4
1.4994157,0.13070998,3.7328695,11.471318,27.548322,4.4372546,0.027629558,-2.5205566,-0.15564659,3.7316243,16.194101,27.571872,-13.080474,0.0083696205,-0.042854476,-0.12290973,3.7328695,0.34866626,27.548322,0.1739499,0.038449412,-2.6251387,-0.097309272,3.7115194,26.977272,27.41035,-29.740854,0.12041913,7.5960253e-05,0.080003752,11.471318,0.00094945864,4.4372546,0.0019511634,0.17880067,0.00034634806,0.36478478,0.34866626,0.00094945864,0.1739499,0.0019511634,2.2952877e-10,-1.4334958,-0.30173925,16.194101,4.7507766,-13.080474,-5.3571976,1.9685644e-07,111.04925,0.14109588,3.7316243,787.04812,27.571872,1000.4579,0.016956271,24.720288,0.17635165,11.471318,140.17611,4.4372546,43.481314,0.0028615584,-18.520635,-0.13229224,16.194101,139.99789,-13.080474,43.922391,0.025266146,151.90355,0.19325185,11.471318,786.03929,4.4372546,1006.9037,0.0010630529,-361.33779,-0.45910508,16.194101,787.04812,-13.080474,1000.4579,2.5692104e-16,-273.11562,-0.34745797,0.34866626,786.03929,0.1739499,1006.9037,1.7638745e-09,-511.69448,-0.6472207,26.973299,790.60278,-29.639722,1067.9617,6.7201121e-32,-531.03692,-0.67589868,0.00095135289,785.67534,0.0019552318,1000.6129,1.1743415e-39,293.93428,0.37411671,4.7523402,785.67534,-5.3752735,1000.6129,5.7669907e-11,4888.0796,289098.08,0.99957997,43.811897,1,5
1.503941,0.1547382,3.7191614,9.7192611,27.572569,3.6823229,0.0090029,-2.4682856,-0.15385839,3.7178555,16.042581,27.595953,-13.275149,0.0091573852,-0.035518547,-0.10799968,3.7191614,0.32887642,27.572569,0.15982464,0.069165851,-2.8144052,-0.10564959,3.7079109,26.639055,27.453893,-29.455654,0.091633163,7.7041478e-05,0.080381482,9.7192611,0.0009584481,3.6823229,0.0019501665,0.17675142,0.0002061829,0.21512161,0.32887642,0.0009584481,0.15982464,0.0019501665,0.00026004825,-1.5533439,-0.32411015,16.042581,4.7926418,-13.275149,-5.3646101,2.0310217e-08,99.132428,0.12676366,3.7178555,782.02558,27.595953,1002.651,0.032110536,26.930435,0.18589328,9.7192611,144.87041,3.6823229,45.706814,0.0016530404,-20.070719,-0.13865615,16.042581,144.75174,-13.275149,46.214375,0.018978054,190.39779,0.24379247,9.7192611,780.98304,3.6823229,1009.0892,3.2788861e-05,-338.69965,-0.43310559,16.042581,782.02558,-13.275149,1002.651,1.6625339e-14,-195.45189,-0.25026394,0.32887642,780.98304,0.15982464,1009.0892,1.9810281e-05,-513.16513,-0.65272715,26.639055,786.18627,-29.455654,1071.7827,1.8148896e-32,-528.14634,-0.67535687,0.00096067653,782.02558,0.001957153,1002.651,1.9341795e-39,285.78357,0.36544019,4.7926418,782.02558,-5.3646101,1002.651,1.8304428e-10,4892.8825,289109.79,0.99938371,46.214375,1,6
1.0967871,0.099690695,3.7168343,11.0019,27.562542,3.736469,0.093584056,-1.1019123,-0.07660733,3.7112262,14.383902,27.593411,-12.404897,0.19564848,-0.035922489,-0.10265955,3.7168343,0.34991862,27.562542,0.18348552,0.084170358,-2.4778827,-0.094763851,3.7009582,26.147974,27.448973,-29.825486,0.12972525,4.1339156e-05,0.043311577,11.0019,0.00095445973,3.736469,0.0019471102,0.4672126,0.00039105904,0.40971769,0.34991862,0.00095445973,0.18348552,0.0019471102,6.3639826e-13,-1.3996175,-0.29077646,14.383902,4.8133796,-12.404897,-5.3918728,5.350218e-07,93.369424,0.1191101,3.7112262,783.89177,27.593411,1002.385,0.043775945,20.324662,0.15767757,11.0019,128.90014,3.736469,45.947692,0.0077635461,-21.042176,-0.16348874,14.383902,128.70719,-12.404897,46.739226,0.0054982901,168.95912,0.21587586,11.0019,782.66793,3.736469,1011.7472,0.00024707719,-337.83688,-0.43097388,14.383902,783.89177,-12.404897,1002.385,2.0755971e-14,-301.80929,-0.38561601,0.34991862,782.66793,0.18348552,1011.7472,1.6733736e-11,-510.38722,-0.65074696,26.147974,784.3098,-29.825486,1076.2875,2.4389342e-32,-529.44534,-0.67540617,0.00095442851,783.89177,0.0019522028,1002.385,1.3992292e-39,290.04356,0.3700046,4.8133796,783.89177,-5.3918728,1002.385,9.6677621e-11,4880.5069,289067.78,0.99952539,46.739226,1,7
0.62644699,0.075305972,3.7514626,8.3186894,27.44092,3.4812874,0.22265316,-1.3504606,-0.099960365,3.7353575,13.50996,27.582166,-11.534044,0.093277419,-0.02203319,-0.058593457,3.7573601,0.376035,27.434954,0.19150044,0.34388676,-3.1552997,-0.11464212,3.7041247,27.52304,27.408189,-33.726627,0.066513344,2.4376511e-05,0.025210564,8.3186894,0.00096691655,3.4812874,0.0019184805,0.68346145,0.00031301381,0.32464208,0.376035,0.00096418129,0.19150044,0.0019127015,7.1912703e-08,-1.259503,-0.26250811,13.50996,4.7979585,-11.534044,-5.1841237,7.632001e-06,90.439084,0.11209717,3.731858,806.79186,27.572684,1023.135,0.058304084,56.494223,0.30380325,8.3186894,185.95661,3.4812874,53.782447,4.8478744e-07,-24.581393,-0.13640051,13.50996,180.21482,-11.534044,53.900214,0.021722057,140.25529,0.17466599,8.3186894,802.99139,3.4812874,1086.2765,0.004421205,-361.95413,-0.44832013,13.50996,807.35641,-11.534044,1028.6257,2.1292446e-15,-319.53196,-0.39838499,0.376035,802.06826,0.19150044,1090.1337,1.9495021e-11,-511.0615,-0.63754884,28.030856,801.60369,-33.692743,1106.2069,4.602924e-31,-557.67312,-0.69327997,0.00095940117,804.39814,0.001956139,1022.4723,1.0004104e-42,305.10461,0.37929552,4.7710695,804.39814,-5.2218737,1022.4723,2.5405254e-11,4890.3475,289215.53,0.9992153,53.449039,1,8
