SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-2.3414344,-0.33806758,0.17898923,6.9259358,40.722167,2.8074181,0.11461968,-10.686054,-0.69054462,0.17898923,15.474821,40.722167,7.4798187,0.00026497007,-0.0014282161,-0.011276481,0.17898923,0.12665442,40.722167,0.2935072,0.95927321,-8.9409162,-0.60061414,0.17898923,14.88629,40.722167,-0.64495186,0.0024419982,-0.00012398451,-0.21370858,6.9259358,0.00058015691,2.8074181,0.0020356562,0.32751647,0.00027857732,0.48017582,0.12665442,0.00058015691,0.2935072,0.0020356562,0.020397164,-1.5782537,-0.51926471,15.474821,3.0394011,7.4798187,-8.6664923,0.01111172,-19.232553,-0.25808091,0.17898923,74.521407,40.722167,143.38925,0.23445414,195.20307,0.66795517,6.9259358,292.23978,2.8074181,465.87249,0.00049583984,167.1173,0.57184993,15.474821,292.23978,7.4798187,465.87249,0.0043598727,6.4848425,0.087019862,6.9259358,74.521407,2.8074181,143.38925,0.69298325,14.830657,0.19901203,15.474821,74.521407,7.4798187,143.38925,0.36263463,-40.336244,-0.54127057,0.12665442,74.521407,0.2935072,143.38925,0.0076475735,-19.989262,-0.26823517,14.88629,74.521407,-0.64495186,143.38925,0.21589986,-61.688433,-0.8277948,0.00058015691,74.521407,0.0020356562,143.38925,1.0918233e-06,-56.783866,-0.76198059,3.0394011,74.521407,-8.6664923,143.38925,2.3899109e-05,5089.1405,271075.23,1.1696577,465.87249,1,daily
-0.66591607,-0.088152168,0.16977802,7.5541655,40.70705,-1.766968,0.71170656,-13.416701,-0.49891079,0.16977802,26.891984,40.70705,-7.3050104,0.025135719,-0.037880272,-0.18055655,0.16977802,0.20979727,40.70705,0.21592714,0.44619458,-9.6228995,-0.32030257,0.16977802,30.043155,40.70705,-30.77915,0.16857449,-4.8317152e-05,-0.091585983,7.5541655,0.00052756055,-1.766968,0.0019204496,0.70096303,0.00012197954,0.23121429,0.20979727,0.00052756055,0.21592714,0.0019204496,0.32668248,0.12025692,0.037505984,26.891984,3.2063396,-7.3050104,-9.288625,0.87525569,-5.3176676,-0.075948878,0.16977802,70.016408,40.70705,134.98419,0.7503002,13.290409,0.039360965,7.5541655,337.65456,-1.766968,284.83564,0.86913571,175.96512,0.52113947,26.891984,337.65456,-7.3050104,284.83564,0.018460237,18.317651,0.2616194,7.5541655,70.016408,-1.766968,134.98419,0.26518986,-18.670617,-0.2666606,26.891984,70.016408,-7.3050104,134.98419,0.2557535,-28.273791,-0.40381665,0.20979727,70.016408,0.21592714,134.98419,0.077441167,-46.617894,-0.66581385,30.043155,70.016408,-30.77915,134.98419,0.0013529207,-50.097572,-0.71551188,0.00052756055,70.016408,0.0019204496,134.98419,0.00038988632,-42.078505,-0.60098063,3.2063396,70.016408,-9.288625,134.98419,0.0050714511,4801.124,270419.51,1.1872978,284.83564,1,0
6.1011604,0.20325027,0.16694626,30.017969,40.693947,-11.211918,0.40396276,-15.06657,-0.41298843,0.16694626,36.481821,40.693947,-7.8094768,0.078850829,-0.019987124,-0.084393479,0.16694626,0.23683256,40.693947,0.23408486,0.7312205,-11.468838,-0.37429285,0.16694626,30.641349,40.693947,-30.801368,0.11439053,-4.820526e-07,-0.00096348993,30.017969,0.00050031929,-11.211918,0.0018645413,0.9968766,0.00016643599,0.33265955,0.23683256,0.00050031929,0.23408486,0.0018645413,0.1640435,0.13199751,0.042093851,36.481821,3.1357907,-7.8094768,-9.6396579,0.86414402,2.4233876,0.037630884,0.16694626,64.398902,40.693947,134.28041,0.87844021,-118.55715,-0.34364114,30.017969,345.00279,-11.211918,309.57137,0.14972315,182.33266,0.5284962,36.481821,345.00279,-7.8094768,309.57137,0.020005643,6.8282231,0.10603012,30.017969,64.398902,-11.211918,134.28041,0.66572731,-5.2286786,-0.081192046,36.481821,64.398902,-7.8094768,134.28041,0.74107692,-16.22546,-0.25195244,0.23683256,64.398902,0.23408486,134.28041,0.29806803,-44.73737,-0.69469151,30.641349,64.398902,-30.801368,134.28041,0.00096407851,-43.724387,-0.67896169,0.00050031929,64.398902,0.0018645413,134.28041,0.0013909204,-36.064756,-0.56002129,3.1357907,64.398902,-9.6396579,134.28041,0.012644658,4661.3533,270048.04,1.1860663,309.57137,1,1
-5.6681134,-0.3799977,0.16861406,14.916178,40.693421,-1.8809318,0.10853877,-10.146284,-0.18278929,0.16861406,55.508092,40.693421,2.0504305,0.45384873,-0.049101969,-0.25636171,0.16861406,0.19153394,40.693421,0.19175518,0.28940554,-11.293051,-0.36736375,0.16861406,30.740787,40.693421,-35.095474,0.12179708,-1.1499079e-05,-0.0241633,14.916178,0.00047589027,-1.8809318,0.0018514551,0.92178247,2.1575294e-05,0.0453367,0.19153394,0.00047589027,0.19175518,0.0018514551,0.85378128,0.42249738,0.13819248,55.508092,3.0573108,2.0504305,-9.7117105,0.57262379,-2.7937458,-0.0473108,0.16861406,59.050909,40.693421,132.37005,0.847484,207.11648,0.57615003,14.916178,359.48358,-1.8809318,333.8023,0.0098283587,148.45891,0.41297828,55.508092,359.48358,2.0504305,333.8023,0.078858921,1.2972489,0.021968314,14.916178,59.050909,-1.8809318,132.37005,0.92886973,-16.49543,-0.27934252,55.508092,59.050909,2.0504305,132.37005,0.24678165,-15.17097,-0.25691341,0.19153394,59.050909,0.19175518,132.37005,0.28833263,-36.293499,-0.61461372,30.740787,59.050909,-35.095474,132.37005,0.0051081766,-37.202883,-0.63001372,0.00047589027,59.050909,0.0018514551,132.37005,0.0038389031,-29.576727,-0.50086828,3.0573108,59.050909,-9.7117105,132.37005,0.028934059,4628.6378,269971.96,1.184158,333.8023,1,2
-3.2352161,-0.20721427,0.17590502,15.612902,40.70855,-1.4854714,0.3807085,-13.348992,-0.42145146,0.17590502,31.673853,40.70855,-16.052862,0.064209067,0.050305311,0.13451761,0.17590502,0.37396821,40.70855,0.26015001,0.57178414,-7.3850134,-0.22185585,0.17590502,33.28744,40.70855,-37.724825,0.34718037,-0.00019872779,-0.40371339,15.612902,0.00049224967,-1.4854714,0.0018600851,0.077524186,5.2298831e-05,0.10624452,0.37396821,0.00049224967,0.26015001,0.0018600851,0.65573343,-0.25003578,-0.081641655,31.673853,3.0626006,-16.052862,-9.599125,0.73221911,-24.576848,-0.26108374,0.17590502,94.133967,40.70855,142.95787,0.26620525,76.863556,0.2130467,15.612902,360.78267,-1.4854714,349.57118,0.36714119,109.87638,0.30455004,31.673853,360.78267,-16.052862,349.57118,0.19170005,46.806129,0.4972289,15.612902,94.133967,-1.4854714,142.95787,0.025709507,-32.220351,-0.34228188,31.673853,94.133967,-16.052862,142.95787,0.13961748,-19.747239,-0.20977804,0.37396821,94.133967,0.26015001,142.95787,0.37471042,-39.583587,-0.4205027,33.28744,94.133967,-37.724825,142.95787,0.064874291,-57.950299,-0.61561518,0.00049224967,94.133967,0.0018600851,142.95787,0.0038574576,-43.310036,-0.46008936,3.0626006,94.133967,-9.599125,142.95787,0.041231092,4650.2128,270084.49,1.1825673,349.57118,1,3
-12.708124,-0.51307517,0.17669685,24.768541,40.70575,3.1155218,0.020694607,-22.380385,-0.63522265,0.17669685,35.232347,40.70575,-5.970724,0.0026171842,-0.061557083,-0.29859858,0.17669685,0.2061533,40.70575,0.22284876,0.20096598,-8.7346142,-0.28150971,0.17669685,31.027754,40.70575,-35.13685,0.22921169,2.9347563e-05,0.05642745,24.768541,0.00052009372,3.1155218,0.0018770048,0.81320749,8.5554868e-05,0.16449894,0.2061533,0.00052009372,0.22284876,0.0018770048,0.48828635,-0.07861477,-0.024104676,35.232347,3.2613909,-5.970724,-9.588475,0.91965179,-9.656938,-0.17773971,0.17669685,54.331911,40.70575,133.34139,0.45343852,193.63805,0.52907589,24.768541,365.99296,3.1155218,362.1924,0.016453705,215.84942,0.58976387,35.232347,365.99296,-5.970724,362.1924,0.0062015957,-8.3086707,-0.15292432,24.768541,54.331911,3.1155218,133.34139,0.51979217,-16.071141,-0.29579562,35.232347,54.331911,-5.970724,133.34139,0.2054316,-16.489245,-0.30349098,0.2061533,54.331911,0.22284876,133.34139,0.19332753,-30.972345,-0.57005808,31.027754,54.331911,-35.13685,133.34139,0.0086845232,-40.853976,-0.75193335,0.00052009372,54.331911,0.0018770048,133.34139,0.00013165065,-35.714495,-0.6573392,3.2613909,54.331911,-9.588475,133.34139,0.0016359826,4692.512,270104.17,1.181333,362.1924,1,4
-10.796918,-0.46148259,0.17703837,23.396155,40.703925,3.3644058,0.040541878,-26.761816,-0.68608898,0.17703837,39.006335,40.703925,-1.8366846,0.0008378816,0.04677511,0.12936096,0.17703837,0.36158598,40.703925,0.31950438,0.58674289,-9.024598,-0.27960021,0.17241618,32.276793,40.691316,-33.675763,0.24632771,9.9883542e-05,0.1999984,23.396155,0.00049942171,3.3644058,0.0018485345,0.39787683,0.00020113302,0.40273183,0.36158598,0.00049942171,0.31950438,0.0018485345,0.078316644,0.13811247,0.042832126,39.006335,3.2245065,-1.8366846,-9.727425,0.85770309,-3.2168973,-0.050994626,0.17703837,63.083066,40.703925,137.784,0.83093009,22.771781,0.06092836,23.396155,373.74682,3.3644058,369.32717,0.79859046,117.07121,0.31323668,39.006335,373.74682,-1.8366846,369.32717,0.17869819,-14.790689,-0.2344637,23.396155,63.083066,3.3644058,137.784,0.31973712,-27.615173,-0.4377589,39.006335,63.083066,-1.8366846,137.784,0.053560984,-30.446591,-0.48264285,0.36158598,63.083066,0.31950438,137.784,0.031130781,-41.573483,-0.66528527,32.276793,62.489709,-33.675763,141.52588,0.0018806905,-40.035684,-0.63465025,0.00049942171,63.083066,0.0018485345,137.784,0.0026479594,-31.347385,-0.49692234,3.2245065,63.083066,-9.727425,137.784,0.025815197,4621.3363,269951.23,1.1811676,369.32717,1,5
-0.46646194,-0.0301027,0.17448253,15.495684,40.690526,2.7028398,0.90263481,-14.043497,-0.388583,0.17448253,36.140277,40.690526,-0.97280105,0.10014243,-0.070696311,-0.19821015,0.17448253,0.35667352,40.690526,0.34263986,0.41596496,-8.0174985,-0.23564769,0.17448253,34.023243,40.690526,-32.000132,0.331448,0.0001417056,0.27928949,15.495684,0.00050737891,2.7028398,0.0018061624,0.24687513,0.00034154518,0.67315606,0.35667352,0.00050737891,0.34263986,0.0018061624,0.0015838787,-1.1472418,-0.35431808,36.140277,3.2378868,-0.97280105,-9.9554474,0.13665372,5.2934941,0.07077141,0.17448253,74.79707,40.690526,145.93878,0.77342059,204.32672,0.52663977,15.495684,387.98195,2.7028398,380.41906,0.020526853,74.286666,0.19146939,36.140277,387.98195,-0.97280105,380.41906,0.43231143,-6.7933211,-0.090823359,15.495684,74.79707,2.7028398,145.93878,0.71154716,-15.362414,-0.20538791,36.140277,74.79707,-0.97280105,145.93878,0.39892985,-44.252094,-0.59162872,0.35667352,74.79707,0.34263986,145.93878,0.0076250138,-51.885957,-0.69368971,34.023243,74.79707,-32.000132,145.93878,0.00098750292,-42.166897,-0.56375066,0.00050737891,74.79707,0.0018061624,145.93878,0.011942042,-29.619023,-0.39599175,3.2378868,74.79707,-9.9554474,145.93878,0.093283533,4515.4061,269672.09,1.1814435,380.41906,1,6
-3.2431487,-0.20908877,0.17566915,15.51087,40.689737,2.0516232,0.39029808,-9.8804713,-0.37307874,0.17566915,26.483609,40.689737,-4.5057526,0.11566444,-0.10515311,-0.3354619,0.17566915,0.31345768,40.689737,0.40478151,0.16030342,-6.3324981,-0.24318741,0.17566915,26.03958,40.689737,-22.240842,0.31574933,-8.840225e-05,-0.16346647,15.51087,0.00054079745,2.0516232,0.0018117234,0.50369897,-3.6687488e-05,-0.067839611,0.31345768,0.00054079745,0.40478151,0.0018117234,0.78258766,-1.2647807,-0.38055491,26.483609,3.3235169,-4.5057526,-9.9717632,0.10797897,-0.70965678,-0.010242766,0.17566915,69.283703,40.689737,144.03176,0.96680407,245.79632,0.59043158,15.51087,416.29941,2.0516232,380.25909,0.0077796117,107.08984,0.25724235,26.483609,416.29941,-4.5057526,380.25909,0.28769409,-0.17593031,-0.0025392741,15.51087,69.283703,2.0516232,144.03176,0.9917684,2.0465511,0.029538708,26.483609,69.283703,-4.5057526,144.03176,0.90445098,-14.768934,-0.21316606,0.31345768,69.283703,0.40478151,144.03176,0.38090894,-41.558462,-0.59983026,26.03958,69.283703,-22.240842,144.03176,0.0066317011,-47.572106,-0.68662764,0.00054079745,69.283703,0.0018117234,144.03176,0.0011665612,-39.876831,-0.57555859,3.3235169,69.283703,-9.9717632,144.03176,0.0099217761,4529.3086,269646.86,1.1817673,380.25909,1,7
-6.9386561,-0.44311571,0.1793197,15.658791,40.690556,11.303006,0.065515804,-10.607951,-0.52653509,0.17432451,20.146713,40.691579,13.159092,0.020556561,0.039980974,0.17246742,0.1793197,0.23181755,40.690556,0.45699894,0.49375897,-4.3252041,-0.18160604,0.17432451,23.816412,40.691579,19.827789,0.45682654,-0.00013924085,-0.25068768,15.658791,0.00055543556,11.303006,0.0018740483,0.31568554,8.9207217e-05,0.16060768,0.23181755,0.00055543556,0.45699894,0.0018740483,0.52436189,-1.1194836,-0.33815865,20.146713,3.3105278,13.159092,-9.7378684,0.15675993,2.6116294,0.028218598,0.17432451,92.549936,40.691579,150.67509,0.90870377,125.25847,0.29824516,15.658791,419.98493,11.303006,432.37057,0.22932315,159.38541,0.38049411,20.146713,418.8906,13.159092,410.75029,0.10803996,4.5558493,0.047872408,15.658791,95.166496,11.303006,149.88114,0.85038164,-6.1516157,-0.066468071,20.146713,92.549936,13.159092,150.67509,0.78688567,-32.411062,-0.34057219,0.23181755,95.166496,0.45699894,149.88114,0.16667911,-31.93178,-0.34502217,23.816412,92.549936,19.827789,150.67509,0.14798568,-54.130763,-0.58488169,0.00056118589,92.549936,0.0018388344,150.67509,0.0085299501,-38.801108,-0.41924511,3.3105278,92.549936,-9.7378684,150.67509,0.073977391,4597.0861,269881.95,1.1786737,410.75029,1,8
