SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
8.3956114,0.62823626,7.2653197,13.36378,8.5526261,17.036223,4.4549553e-16,-4.3634461,-0.20276788,7.2653197,21.519414,8.5526261,47.503794,0.018789506,0.010865697,0.087486406,7.2653197,0.12419868,8.5526261,0.31813675,0.31481533,-3.4725785,-0.036002392,7.5057213,96.454104,8.9377681,116.29291,0.66290532,0.00010958192,0.078450696,13.36378,0.0013968254,17.036223,0.0081004868,0.3675808,0.00035837975,0.25656732,0.12419868,0.0013968254,0.31813675,0.0081004868,0.0027678069,-0.222995,-0.1248429,21.519414,1.7862049,47.503794,17.68169,0.15064665,-2.1645172,-0.11499846,7.5057213,18.82214,8.9377681,69.959501,0.16254868,55.936546,0.31668841,13.36378,176.62959,17.036223,363.43725,0.0001929956,-11.956554,-0.06769281,21.519414,176.62959,47.503794,363.43725,0.4370693,-4.3613882,-0.22712796,13.36378,19.202339,17.036223,69.996665,0.0083114383,1.8233724,0.094955744,21.519414,19.202339,47.503794,69.996665,0.27511346,-4.2034016,-0.2189005,0.12419868,19.202339,0.31813675,69.996665,0.011049996,1.7624623,0.093637719,96.454104,18.82214,116.29291,69.959501,0.25601285,-13.582924,-0.72164607,0.0013970954,18.82214,0.0080599626,69.959501,2.9947213e-25,4.3217549,0.22961017,1.7941549,18.82214,17.594484,69.959501,0.0048492484,20149.907,291001.52,1.2208809,373.56187,1,daily
1.2790617,0.16624995,7.0931141,7.6936066,8.2254885,-0.77968077,0.058702983,2.1686271,0.1500195,7.0931141,14.455634,8.2254885,-10.840223,0.088451999,-0.033855479,-0.11919426,7.0931141,0.28403614,8.2254885,0.26124127,0.17678559,-8.3837084,-0.092436255,7.6287004,90.697188,8.8414861,-3.8545278,0.27049268,1.754438e-05,0.012366183,7.6936066,0.0014187386,-0.77968077,0.0082204349,0.88894464,8.3669575e-05,0.058974624,0.28403614,0.0014187386,0.26124127,0.0082204349,0.50509137,-0.3901005,-0.17372959,14.455634,2.2454465,-10.840223,15.492158,0.048069938,-2.4921276,-0.1163872,7.5375001,21.412385,8.7672973,49.301544,0.15892443,21.93234,0.11510869,7.6936066,190.53592,-0.77968077,255.40447,0.19219793,-118.9136,-0.62410066,14.455634,190.53592,-10.840223,255.40447,2.1426497e-15,-0.06201262,-0.0028642184,7.6936066,21.6508,-0.77968077,49.091201,0.9741995,-9.1880562,-0.42437491,14.455634,21.6508,-10.840223,49.091201,4.8590946e-07,-3.8271965,-0.17676929,0.28403614,21.6508,0.26124127,49.091201,0.044231897,2.4875871,0.11488684,90.697188,21.652498,-3.8545278,49.482931,0.17032155,-11.441284,-0.53433021,0.0014080694,21.412385,0.0081771043,49.301544,2.6663899e-12,7.9893424,0.37311781,2.2491839,21.412385,15.434162,49.301544,3.0049945e-06,20442.761,288823.76,1.2347648,270.22378,1,0
1.2998108,0.12545633,7.0564437,10.360664,8.217876,-1.1934186,0.15658692,2.1127036,0.14663097,7.0564437,14.408304,8.217876,-10.46726,0.097282578,-0.01179307,-0.032485108,7.0564437,0.36303005,8.217876,0.32835716,0.71476421,-7.6126577,-0.088620966,7.584211,85.901317,8.8302867,-4.0790245,0.29255918,1.8314469e-05,0.013156694,10.360664,0.0013920267,-1.1934186,0.0081505368,0.882356,0.00015422304,0.11079028,0.36303005,0.0013920267,0.32835716,0.0081505368,0.21132158,-0.49436237,-0.21404564,14.408304,2.3096119,-10.46726,15.099826,0.01486187,-2.4374096,-0.11730613,7.4929628,20.778194,8.755898,46.7976,0.15706557,-4.3025229,-0.022542359,10.360664,190.86392,-1.1934186,254.76096,0.79982612,-103.35105,-0.54149076,14.408304,190.86392,-10.46726,254.76096,3.4488329e-11,2.6854282,0.1280638,10.360664,20.969456,-1.1934186,46.488149,0.1480846,-7.4674366,-0.35611018,14.408304,20.969456,-10.46726,46.488149,3.4446289e-05,-1.6658875,-0.079443525,0.36303005,20.969456,0.32835716,46.488149,0.37082021,1.9911871,0.094764389,85.901317,21.011976,-4.0790245,46.962895,0.26024719,-10.1443,-0.48821859,0.0013845199,20.778194,0.0080973708,46.7976,3.5471175e-10,7.7410983,0.37255878,2.3011067,20.778194,15.0325,46.7976,3.3699434e-06,20243.427,288436.01,1.2354389,270.08921,1,1
1.2345017,0.13505374,7.0059464,9.1408183,8.1940853,-0.095647287,0.12701346,2.3035258,0.14810524,7.0059464,15.553304,8.1940853,-11.33464,0.093928326,-0.032568525,-0.088205229,7.0059464,0.36923576,8.1940853,0.3344986,0.3202196,-6.6275511,-0.079462471,7.5516714,83.404796,8.8207183,-4.5950387,0.34720591,7.9965428e-05,0.0552593,9.1408183,0.0014470945,-0.095647287,0.0080480572,0.53394739,9.1081365e-05,0.062940857,0.36923576,0.0014470945,0.3344986,0.0080480572,0.47856304,-0.53455264,-0.22150147,15.553304,2.4133142,-11.33464,14.71905,0.011645632,-2.8105517,-0.1322042,7.4381383,21.259172,8.7271905,44.928921,0.11043933,27.35166,0.14616838,9.1408183,187.12433,-0.095647287,255.28761,0.098354338,-95.296684,-0.50926935,15.553304,187.12433,-11.33464,255.28761,7.1338973e-10,2.3691736,0.11040173,9.1408183,21.459569,-0.095647287,44.714401,0.21293736,-7.8753309,-0.36698458,15.553304,21.459569,-11.33464,44.714401,1.8874213e-05,-3.2036812,-0.14928917,0.36923576,21.459569,0.3344986,44.714401,0.091301572,1.1698325,0.054553204,83.404796,21.443883,-4.5950387,44.995088,0.51904964,-10.158064,-0.47782029,0.001436573,21.259172,0.0079981527,44.928921,9.3601946e-10,7.3694751,0.34664921,2.4188828,21.259172,14.647466,44.928921,1.6991117e-05,19995.382,288071.64,1.2358123,271.73258,1,2
1.7088744,0.092074356,6.9978919,18.559722,8.1854882,-2.5554488,0.30321905,1.8960499,0.11536718,6.9978919,16.434916,8.1854882,-12.177724,0.19650108,-0.07733986,-0.22589813,6.9978919,0.34236609,8.1854882,0.28015134,0.010659396,-5.9853039,-0.07162347,7.4978514,83.566238,8.7967042,-4.422088,0.39697452,0.00020882817,0.13976274,18.559722,0.001494162,-2.5554488,0.0079154732,0.11707374,0.00027126075,0.18154708,0.34236609,0.001494162,0.28015134,0.0079154732,0.041081126,-0.5739121,-0.23637883,16.434916,2.4279336,-12.177724,14.39761,0.007460837,-2.4678975,-0.10651216,7.3844576,23.170101,8.7057279,43.849619,0.19913397,-4.9835528,-0.027748615,18.559722,179.59645,-2.5554488,258.95955,0.75680526,-105.10589,-0.58523365,16.434916,179.59645,-12.177724,258.95955,4.9831029e-13,-1.9770606,-0.083517436,18.559722,23.672429,-2.5554488,43.949475,0.35055156,-7.9524092,-0.3359355,16.434916,23.672429,-12.177724,43.949475,0.00011283121,-5.1498631,-0.21754688,0.34236609,23.672429,0.28015134,43.949475,0.014014598,-0.013209439,-0.00056378251,83.566238,23.430025,-4.422088,44.274216,0.99468703,-12.163177,-0.5249514,0.0015031418,23.170101,0.0078909537,43.849619,8.7600303e-12,7.5334242,0.32513557,2.4698382,23.170101,14.333888,43.849619,5.8660505e-05,19727.384,287782.07,1.2354747,279.14061,1,3
-0.62987963,-0.038660029,6.9540425,16.292787,8.169374,0.24379921,0.66608298,1.7035364,0.11950195,6.9540425,14.255302,8.169374,-10.023878,0.18083001,-0.018017171,-0.046680217,6.9540425,0.38597016,8.169374,0.32498057,0.60226771,-5.3282823,-0.066056159,7.4963642,80.662915,8.7786286,-6.0622179,0.4380873,0.00019467887,0.12714742,16.292787,0.0015311272,0.24379921,0.0078477232,0.15430189,-3.4600132e-05,-0.022597817,0.38597016,0.0015311272,0.32498057,0.0078477232,0.80090293,-0.88947826,-0.3501412,14.255302,2.5403416,-10.023878,14.280992,5.4513129e-05,-2.4113457,-0.096723695,7.3591281,24.930248,8.6684041,43.956495,0.24548073,-6.5809985,-0.036185636,16.292787,181.8677,0.24379921,265.04594,0.68629232,-102.41324,-0.56311947,14.255302,181.8677,-10.023878,265.04594,5.5222302e-12,2.5482592,0.10019337,16.292787,25.433411,0.24379921,43.981135,0.26238118,-6.5509613,-0.25757305,14.255302,25.433411,-10.023878,43.981135,0.0034612496,0.52311741,0.020568119,0.38597016,25.433411,0.32498057,43.981135,0.81846214,2.5736779,0.10332131,80.662915,24.909458,-6.0622179,44.018545,0.22443932,-13.299877,-0.53348355,0.0015404227,24.930248,0.0078078826,43.956495,4.1211433e-12,8.9364177,0.35845683,2.5711777,24.930248,14.193705,43.956495,8.8892896e-06,19519.706,287653.47,1.2352063,283.64349,1,4
0.63937533,0.061585087,6.9295881,10.381983,8.1976468,1.1269444,0.49331111,2.3352175,0.15631081,6.9177819,14.939578,8.156252,-11.923886,0.079272916,-0.068292392,-0.16539842,6.9295881,0.41289627,8.1976468,0.32928486,0.064189869,-5.3546178,-0.06995049,7.4786584,76.548682,8.7810108,-5.0840612,0.41320886,0.00011695958,0.077649361,10.381983,0.001506253,1.1269444,0.0077861229,0.38746097,9.7754539e-05,0.064899151,0.41289627,0.001506253,0.32928486,0.0077861229,0.47029908,-0.82224943,-0.31549815,14.939578,2.6061942,-11.923886,14.013402,0.00030260451,-2.8972271,-0.11758186,7.3185492,24.640085,8.6525925,42.888553,0.15752553,-8.0011447,-0.042462171,10.381983,188.42995,1.1269444,276.50441,0.6368558,-112.05204,-0.59702466,14.939578,187.68411,-11.923886,276.60452,1.2809514e-13,-1.5396766,-0.061864456,10.381983,24.887903,1.1269444,42.401944,0.49134853,-9.8183274,-0.39607074,14.939578,24.789328,-11.923886,42.389708,4.0403008e-06,-2.6208389,-0.10530573,0.41289627,24.887903,0.32928486,42.401944,0.24057954,2.5437796,0.10238236,76.548682,24.845878,-5.0840612,43.14576,0.23040179,-12.608124,-0.51169156,0.0015315546,24.640085,0.0077598613,42.888553,4.0955277e-11,8.5664258,0.34766218,2.5992515,24.640085,13.988027,42.888553,1.7109706e-05,19399.653,287446.46,1.2346793,295.04893,1,5
-1.0319517,-0.035043837,6.8827368,29.44745,8.153563,2.5490157,0.69569419,3.2574609,0.1497787,6.8827368,21.748492,8.153563,-12.173531,0.092816148,-0.050947958,-0.1340473,6.8827368,0.38007447,8.153563,0.38626248,0.13297067,-4.1798508,-0.053846877,7.4362336,77.624758,8.7715036,-4.834705,0.52897628,5.8101554e-05,0.03876076,29.44745,0.0014989787,2.5490157,0.0077834105,0.6652652,4.4607735e-05,0.029758751,0.38007447,0.0014989787,0.38626248,0.0077834105,0.73979729,-0.53979149,-0.20938592,21.748492,2.5779741,-12.173531,13.935807,0.018148198,-2.9294169,-0.11797706,7.2769242,24.830394,8.6441233,42.603806,0.1561245,8.2050524,0.042049509,29.44745,195.12838,2.5490157,286.99386,0.63878644,-105.80302,-0.54222263,21.748492,195.12838,-12.173531,286.99386,4.5778839e-11,-0.64176373,-0.025923541,29.44745,24.756021,2.5490157,41.79867,0.77234909,-5.4873167,-0.22165584,21.748492,24.756021,-12.173531,41.79867,0.012263434,-4.427674,-0.17885241,0.38007447,24.756021,0.38626248,41.79867,0.044231721,3.7563585,0.15007086,77.624758,25.030566,-4.834705,42.795589,0.07784448,-13.025676,-0.52458596,0.0015337682,24.830394,0.0077418964,42.603806,1.0734868e-11,8.2298212,0.33144142,2.5950219,24.830394,13.92625,42.603806,4.3789407e-05,19354.741,287355.72,1.2344856,303.83663,1,6
-1.5959645,-0.069847811,6.9916997,22.84917,8.3033386,4.2303819,0.43520505,3.0277251,0.19970576,6.9916997,15.16093,8.3033386,-12.410358,0.024382784,-0.044603468,-0.12010658,6.9916997,0.37136575,8.3033386,0.27617672,0.17861751,3.1470597,0.038499019,7.3813289,81.743892,8.746,0.6152,0.65154995,0.00014607314,0.092714586,22.84917,0.0015755142,4.2303819,0.0078083142,0.29985491,-9.5100827e-05,-0.060361772,0.37136575,0.0015755142,0.27617672,0.0078083142,0.50022747,-1.0762311,-0.40987187,15.16093,2.6257744,-12.410358,14.048811,1.7072012e-06,-3.299671,-0.12420075,7.2455068,26.567238,8.6394521,43.175276,0.13527671,13.300746,0.065606135,22.84917,202.73632,4.2303819,296.63503,0.46366612,-90.851687,-0.44812734,15.16093,202.73632,-12.410358,296.63503,1.2702076e-07,1.1403966,0.043495504,22.84917,26.218723,4.2303819,42.420454,0.62728424,-7.0437345,-0.26865285,15.16093,26.218723,-12.410358,42.420454,0.002258284,-3.2855412,-0.12531279,0.37136575,26.218723,0.27617672,42.420454,0.16038424,2.1506236,0.079635514,81.743892,27.005835,0.6152,43.608796,0.34963434,-14.582728,-0.54889893,0.0015951659,26.567238,0.0077454576,43.175276,7.3323742e-13,9.2716627,0.34898858,2.6935456,26.567238,14.000678,43.175276,1.5807293e-05,19363.644,287389.42,1.2347197,306.51405,1,7
4.8212655,0.1402456,7.0394718,34.377303,8.359112,15.83618,0.11876905,0.68391469,0.033985359,7.012067,20.123803,8.349619,9.4749127,0.70558517,0.046501585,0.1242648,7.0394718,0.37421366,8.359112,0.57078146,0.16736413,12.728688,0.17758413,7.3095273,71.676941,8.7029406,71.3875,0.033849952,0.00033634998,0.2048197,34.377303,0.0016421759,15.83618,0.008030548,0.021946298,0.00027385634,0.16676431,0.37421366,0.0016421759,0.57078146,0.008030548,0.063057047,0.30186677,0.11929198,20.123803,2.5304868,9.4749127,15.098016,0.18336673,-3.101177,-0.11290342,7.242426,27.467521,8.651137,49.641921,0.17483411,47.709702,0.22712123,34.377303,210.06272,15.83618,306.86143,0.010860331,45.293357,0.21648521,20.123803,209.22149,9.4749127,306.90995,0.014901326,-0.62371875,-0.023005725,34.377303,27.111459,15.83618,49.183167,0.79898456,3.9440644,0.14501716,20.123803,27.197226,9.4749127,48.893968,0.10519641,-0.47906277,-0.017670122,0.37421366,27.111459,0.57078146,49.183167,0.84493226,4.4452461,0.16076505,71.676941,27.650576,71.3875,49.938619,0.055099212,-16.701695,-0.60805252,0.0016475392,27.467521,0.00798686,49.641921,3.9733318e-16,9.3321376,0.33975172,2.5830868,27.467521,15.094555,49.641921,2.7234064e-05,19967.15,288435.7,1.232263,316.17065,1,8
