SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
2.8839918,0.17996671,3.118316,16.025141,10.317995,19.16528,0.00036716402,-5.7982966,-0.26014788,3.1334315,22.288464,10.386694,-20.811489,1.5668836e-07,0.0052107,0.026419889,3.118316,0.19722642,10.317995,0.34834652,0.60388421,-4.0944641,-0.29458956,3.1075705,13.898877,10.482208,7.2345522,6.4705645e-10,0.00081454407,0.62856784,16.494255,0.001295873,19.296259,0.0043717188,2.1817899e-60,0.00032224326,0.24866886,0.19079631,0.001295873,0.34137357,0.0043717188,5.1877096e-09,-2.3857827,-0.56073551,25.6094,4.2547381,-24.100856,2.7686223,2.2660697e-46,-8.6095135,-0.056975561,3.1075705,151.10888,10.482208,171.85637,0.24228407,243.88829,0.73151608,16.494255,333.40113,19.296259,550.51507,4.8682593e-91,-224.0372,-0.67256572,25.6094,333.10827,-24.100856,551.35831,6.9427558e-73,14.300918,0.097143,16.494255,147.21511,19.296259,166.30046,0.024372815,-2.3877503,-0.016287456,25.6094,146.60057,-24.100856,166.88658,0.70466053,-17.143996,-0.11645541,0.19079631,147.21511,0.34137357,166.30046,0.0069014927,-35.189463,-0.23970432,14.597315,146.80362,5.4147819,162.71598,4.0742494e-09,-33.832583,-0.23053387,0.001286499,146.75754,0.004407829,162.5174,1.562159e-08,-2.368711,-0.016140302,4.197532,146.75754,2.8258403,162.5174,0.69611205,11019.573,276417.19,1.2346557,557.43113,1,daily
1.1964569,0.058658769,3.1311668,20.396898,10.31723,11.713432,0.25400094,-4.3230441,-0.14689661,3.1660716,29.429161,10.416688,-28.657357,0.0036878379,-0.011677676,-0.027071585,3.1311668,0.43136284,10.31723,0.24594203,0.59883248,-2.0169453,-0.10187539,3.1365276,19.79816,10.520975,-17.040232,0.037339753,0.00062303773,0.45140244,21.730572,0.0013802268,12.180423,0.0042989963,5.724302e-28,4.8121382e-05,0.034864837,0.41907744,0.0013802268,0.23107681,0.0042989963,0.42313323,-1.7684508,-0.37983924,32.653298,4.6557876,-32.221955,2.2905612,6.0791953e-20,-3.5037633,-0.022085894,3.1365276,158.64259,10.520975,136.06039,0.65253026,197.25709,0.52272677,21.730572,377.36175,12.180423,496.31076,1.6853951e-38,-195.63053,-0.52029974,32.653298,375.99582,-32.221955,497.53273,1.0157356e-38,22.323469,0.13977511,21.730572,159.7099,12.180423,134.98107,0.0012548178,-27.948491,-0.17510314,32.653298,159.61159,-32.221955,136.08381,4.361534e-05,-3.8527293,-0.024123297,0.41907744,159.7099,0.23107681,134.98107,0.57949029,-61.212989,-0.38420106,21.253556,159.3254,-18.41932,133.62448,5.1426239e-22,-26.079574,-0.1637864,0.0013687723,159.22918,0.0043300469,133.47702,6.7961124e-05,12.013856,0.075450089,4.5908701,159.22918,2.332087,133.47702,0.067977546,10825.117,275902.81,1.2408741,505.64234,1,0
1.445805,0.061402985,3.1323457,23.546168,10.320149,13.072164,0.23303956,-3.5532496,-0.12199694,3.1640562,29.125728,10.409688,-28.461466,0.016066073,-0.0072602536,-0.016648065,3.1323457,0.43610196,10.320149,0.25411118,0.74665355,-2.7880663,-0.14106641,3.1348615,19.764211,10.514401,-16.283182,0.0038531855,0.00063094957,0.45792875,25.408934,0.0013778335,13.242409,0.0042839351,8.8177921e-29,0.00016347682,0.11864773,0.4263379,0.0013778335,0.24429706,0.0042839351,0.0062932216,-1.7900907,-0.38309624,32.199905,4.672692,-32.117473,2.1945761,2.7613665e-20,-4.9119862,-0.031466151,3.1348615,156.10382,10.514401,132.69944,0.52115931,193.0053,0.50848834,25.408934,379.5668,13.242409,498.44118,3.9554186e-36,-214.31085,-0.56707837,32.199905,377.92103,-32.117473,499.18448,3.4607768e-47,16.945356,0.1090845,25.408934,155.34156,13.242409,131.2355,0.012055891,-29.532575,-0.19017192,32.199905,155.29409,-32.117473,132.2036,8.7694184e-06,-13.092251,-0.084280418,0.4263379,155.34156,0.24429706,131.2355,0.0527072,-58.030809,-0.37485235,21.824509,154.80978,-18.090485,129.26304,5.90474e-21,-22.174214,-0.14332166,0.0013641179,154.71641,0.0043115201,129.11952,0.00050136925,13.594047,0.087864285,4.6063648,154.71641,2.2363754,129.11952,0.033458173,10778.8,275816.7,1.240928,505.7798,1,1
2.4847038,0.10854956,3.1451693,22.89004,10.335203,13.397054,0.0346436,-5.5312333,-0.17573095,3.1569043,31.475579,10.39892,-29.234422,0.00049780282,-0.0045729549,-0.010677852,3.1451693,0.42826544,10.335203,0.24575227,0.83585769,-2.078581,-0.10967833,3.1241958,18.95161,10.503384,-15.376162,0.024759813,0.0006331827,0.45929949,24.053996,0.0013785835,12.929851,0.0042753618,5.779412e-29,0.00015071802,0.10932818,0.42274585,0.0013785835,0.24478196,0.0042753618,0.0118646,-1.9162723,-0.40953197,32.993988,4.6791764,-32.308795,2.1087495,3.2613763e-23,-7.9728582,-0.051913579,3.1241958,153.57944,10.503384,130.04404,0.28906047,218.3794,0.57317317,24.053996,381.00073,12.929851,498.47819,1.5952278e-47,-218.70211,-0.57662391,32.993988,379.28033,-32.308795,498.5142,4.3678806e-49,26.792421,0.17811338,24.053996,150.42341,12.929851,127.2865,3.7902835e-05,-28.475988,-0.18961681,32.993988,150.17649,-32.308795,128.23798,9.3247492e-06,2.8288763,0.018806091,0.42274585,150.42341,0.24478196,127.2865,0.66606482,-57.880256,-0.38850559,20.882024,148.98179,-16.680976,124.65008,1.6273777e-22,-20.616654,-0.13846873,0.0013634214,148.89032,0.0042988999,124.51498,0.00077655197,12.194596,0.081903216,4.6128335,148.89032,2.1558276,124.51498,0.047505657,10747.25,275740.33,1.2411548,504.57082,1,2
1.8827198,0.088608492,3.1379146,21.247622,10.327854,13.112162,0.084940044,-5.8721889,-0.18487327,3.1494419,31.76332,10.390874,-29.517199,0.00024619348,-0.036293122,-0.082180628,3.1379146,0.44162625,10.327854,0.26204724,0.11019791,-2.5995794,-0.13739167,3.1172122,18.920939,10.495712,-14.836296,0.0048428108,0.00068312025,0.49550335,22.5358,0.001378639,13.111003,0.0042648289,4.6186538e-34,0.00011189319,0.081162065,0.42989622,0.001378639,0.24724049,0.0042648289,0.062375406,-1.9247642,-0.41053911,33.003503,4.688382,-32.211148,2.0274935,2.7356462e-23,-4.9589912,-0.034209996,3.1172122,144.95738,10.495712,123.44966,0.48494356,215.75015,0.5713265,22.5358,377.63022,13.111003,496.08713,4.4673828e-47,-213.0469,-0.56605333,33.003503,376.37248,-32.211148,496.6723,6.6634803e-47,22.917668,0.16291501,22.5358,140.67254,13.111003,121.80834,0.00017006493,-26.997492,-0.19158516,33.003503,140.91641,-32.211148,122.67719,7.6423143e-06,-2.0528203,-0.0145929,0.42989622,140.67254,0.24724049,121.80834,0.73797029,-56.142082,-0.40175718,20.73035,139.74133,-16.134084,118.79566,4.2275519e-24,-17.987666,-0.12872116,0.001363435,139.74133,0.0042898906,118.79566,0.0018104886,10.537104,0.075404351,4.6185725,139.74133,2.0781632,118.79566,0.068381826,10724.726,275669.43,1.2413705,502.77046,1,3
1.9702499,0.079639841,3.1365433,24.739501,10.324819,13.644225,0.12168004,-2.2565301,-0.070282382,3.1475888,32.106625,10.387431,-29.479417,0.16653135,0.015101343,0.033778853,3.1365433,0.44706501,10.324819,0.27037739,0.51206928,-2.5169287,-0.13442938,3.1149162,18.723055,10.492011,-14.552272,0.005851295,0.00065580348,0.47794031,24.997788,0.0013721452,13.553062,0.0042515258,1.7349934e-31,0.0001182563,0.086183519,0.44277448,0.0013721452,0.26068278,0.0042515258,0.047778069,-1.8277746,-0.38921772,34.419421,4.696021,-32.965818,1.9685548,6.6459914e-21,-6.4668406,-0.043997821,3.1149162,146.98093,10.492011,121.37368,0.36899496,209.04699,0.5572627,24.997788,375.13185,13.553062,494.32139,2.0939924e-44,-206.99474,-0.55308657,34.419421,374.25378,-32.965818,495.49525,1.9627283e-44,24.030077,0.17076575,24.997788,140.71954,13.553062,120.19304,8.0267089e-05,-22.35299,-0.15830615,34.419421,141.20102,-32.965818,121.14454,0.00022725633,2.4877162,0.017678541,0.44277448,140.71954,0.26068278,120.19304,0.68526372,-53.951693,-0.3866835,20.561469,139.52416,-15.766389,116.12614,2.6540598e-22,-18.160191,-0.13015803,0.0013609161,139.52416,0.0042794317,116.12614,0.0016060843,9.8953079,0.070921821,4.6305251,139.52416,2.0171795,116.12614,0.086554496,10698.579,275618.68,1.2413418,502.86782,1,4
1.95533,0.092372668,3.1316342,21.167842,10.29585,12.610365,0.072083611,-2.9257319,-0.097219306,3.1464138,30.094145,10.382221,-28.187401,0.055386199,-0.02959199,-0.067019882,3.1316342,0.44154047,10.29585,0.2639636,0.19236317,-2.6866442,-0.13938311,3.1134176,19.27525,10.486743,-14.841029,0.0042559056,0.00060706075,0.43998206,22.15179,0.0013797398,12.690901,0.0042371736,1.8721477e-26,4.4494168e-05,0.032248232,0.43044896,0.0013797398,0.24424725,0.0042371736,0.45921061,-1.8439947,-0.39020754,33.778536,4.7256767,-32.074831,1.9191431,5.1952752e-21,-6.4978635,-0.043325514,3.1134176,149.97776,10.486743,120.844,0.37636312,202.40492,0.54066459,22.15179,374.36319,12.690901,492.46649,1.7308335e-41,-209.65677,-0.56108286,33.778536,373.66453,-32.074831,494.81154,6.0682778e-46,24.171288,0.17044083,22.15179,141.8163,12.690901,118.2684,8.1573659e-05,-22.231945,-0.15624292,33.778536,142.2909,-32.074831,119.73408,0.00027480156,9.3869088,0.06619062,0.43044896,141.8163,0.24424725,118.2684,0.12839772,-55.32954,-0.39444965,20.673327,140.27022,-15.760767,114.39894,3.2300953e-23,-19.442056,-0.1386043,0.0013708215,140.27022,0.0042740229,114.39894,0.0007753198,8.9733925,0.063972185,4.6632561,140.27022,1.9733222,114.39894,0.12221215,10685.057,275577.72,1.2413904,503.07953,1,5
2.6714326,0.13072748,3.1283139,20.435127,10.291104,12.254897,0.010640627,-5.4955069,-0.17766415,3.1442385,30.931996,10.378355,-28.680182,0.000422828,-0.0028879933,-0.0066326822,3.1283139,0.43541861,10.291104,0.26139578,0.89732535,-2.8482347,-0.14942373,3.1151279,19.061462,10.48144,-14.3136,0.0021641833,0.00063766146,0.46254119,21.640773,0.0013786047,12.620602,0.0042295189,1.8705797e-29,3.1118631e-05,0.022572555,0.42721378,0.0013786047,0.24778517,0.0042295189,0.60411059,-1.87856,-0.39605967,33.550196,4.7431238,-31.765388,1.893179,1.092391e-21,-6.5018135,-0.043589647,3.1151279,149.15958,10.48144,122.56524,0.37345763,211.98097,0.5681154,21.640773,373.13012,12.620602,491.48448,1.2622717e-46,-198.01854,-0.53140494,33.550196,372.63211,-31.765388,494.1862,1.3036535e-40,27.72507,0.19666592,21.640773,140.97547,12.620602,118.52084,5.0784213e-06,-17.141414,-0.12111436,33.550196,141.53081,-31.765388,120.0242,0.0048674126,11.461112,0.081298627,0.42721378,140.97547,0.24778517,118.52084,0.061440391,-53.699433,-0.38531286,20.373398,139.36579,-15.150381,114.77241,3.8267322e-22,-19.051584,-0.13670201,0.0013728108,139.36579,0.0042725806,114.77241,0.00091681549,9.3159066,0.066845,4.6819276,139.36579,1.9673598,114.77241,0.10628609,10681.452,275574.71,1.2413473,503.21328,1,6
2.1603245,0.11226987,3.1359487,19.242246,10.274542,12.010964,0.028862831,-5.2074164,-0.15930181,3.1553338,32.688997,10.356454,-28.158121,0.0016217685,-0.0032249287,-0.0072429004,3.1359487,0.44525377,10.274542,0.27552384,0.88823311,-1.8359769,-0.099241946,3.123335,18.500009,10.463378,-13.898368,0.042318132,0.00070325188,0.51250453,20.774819,0.0013721867,12.246349,0.0042283111,9.102933e-37,9.4962704e-05,0.069205383,0.43284817,0.0013721867,0.25547623,0.0042283111,0.11186521,-1.8465266,-0.38834188,35.012785,4.7548996,-31.553899,1.8808108,7.6032705e-21,-6.5268665,-0.043440362,3.123335,150.2489,10.463378,124.32128,0.37509808,209.81954,0.56821987,20.774819,369.25766,12.246349,492.06045,1.4657073e-46,-184.1469,-0.49914394,35.012785,368.92544,-31.553899,494.12295,2.6484218e-35,23.120103,0.16327737,20.774819,141.60016,12.246349,118.57398,0.0001620499,-14.379437,-0.10169261,35.012785,141.40099,-31.553899,119.60929,0.018197366,7.8304224,0.055299528,0.43284817,141.60016,0.25547623,118.57398,0.20413724,-54.389439,-0.38834556,19.828528,140.05423,-14.743055,115.22296,1.564353e-22,-18.183494,-0.12983181,0.0013724302,140.05423,0.0042675576,115.22296,0.001635363,10.606119,0.075728658,4.7001309,140.05423,1.9523473,115.22296,0.066964282,10668.894,275558.52,1.2413579,503.46454,1,7
3.2770895,0.15892281,3.1440094,20.620637,10.28429,12.460297,0.0019129585,-4.9603198,-0.15932623,3.1629039,31.133103,10.365851,-27.890918,0.0016190522,0.0093130643,0.021566613,3.1440094,0.43182786,10.28429,0.25739261,0.67556772,-2.2881914,-0.13509926,3.1303217,16.937113,10.472328,-10.337619,0.0056080272,0.00066336826,0.48063207,22.912473,0.0013801997,12.68524,0.0042309908,7.1497563e-32,0.00012311899,0.089203749,0.42893843,0.0013801997,0.26001088,0.0042309908,0.040464616,-1.5946644,-0.33542078,34.777921,4.7542207,-31.460356,1.8783011,1.2989849e-15,-5.7937765,-0.038926856,3.1303217,148.83752,10.472328,123.58863,0.42676841,214.72121,0.58525641,22.912473,366.88399,12.68524,497.24903,7.4913363e-50,-186.11959,-0.50805132,34.777921,366.34013,-31.460356,498.79514,1.1994534e-36,22.491393,0.16046366,22.912473,140.16503,12.68524,117.53418,0.00021352403,-13.973236,-0.099979094,34.777921,139.76158,-31.460356,118.53408,0.020372382,0.014556821,0.00010385487,0.42893843,140.16503,0.26001088,117.53418,0.99810044,-52.602569,-0.37862636,18.320736,138.93002,-11.539197,114.33466,2.2253891e-21,-20.24546,-0.14572415,0.0013837074,138.93002,0.0042703198,114.33466,0.00040631059,7.7733475,0.055951531,4.7040624,138.93002,1.948288,114.33466,0.1765509,10675.8,275541.73,1.2411842,507.72716,1,8
