SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.86885112,0.049108463,4.7992909,17.692493,48.348661,116.45869,0.70943461,-3.3294576,-0.23855211,4.7992909,13.95694,48.348661,28.608028,0.066425041,-0.0093102997,-0.10503616,4.7992909,0.088638992,48.348661,0.48943894,0.42446179,-4.6185591,-0.12148647,4.7992909,38.017066,48.348661,144.29752,0.35513983,-0.00029618558,-0.19938345,17.692493,0.0014855073,116.45869,0.015703728,0.12668405,9.85777e-05,0.066359618,0.088638992,0.0014855073,0.48943894,0.015703728,0.6144284,-0.13270972,-0.1467068,13.95694,0.90459147,28.608028,25.005477,0.26333388,-27.403107,-0.1586173,4.7992909,172.76241,48.348661,500.7952,0.22609497,43.029205,0.3128403,17.692493,137.54368,116.45869,654.10211,0.014945234,-25.825254,-0.18776039,13.95694,137.54368,28.608028,654.10211,0.15083076,80.723185,0.4672497,17.692493,172.76241,116.45869,500.7952,0.00016736375,46.45976,0.26892285,13.95694,172.76241,28.608028,500.7952,0.037737788,-9.5504436,-0.055280796,0.088638992,172.76241,0.48943894,500.7952,0.67483865,61.769921,0.3575426,38.017066,172.76241,144.29752,500.7952,0.0050377233,-140.20069,-0.81152313,0.0014855073,172.76241,0.015703728,500.7952,3.7250497e-15,26.383656,0.15271642,0.90459147,172.76241,25.005477,500.7952,0.2440594,39259.32,299703.27,1.1647784,654.10211,1,daily
2.2691541,0.12745889,5.3427893,17.803027,48.645727,18.450948,0.35375072,-4.5335958,-0.2769216,5.3427893,16.371406,48.645727,-24.882185,0.040682511,-0.0072655831,-0.018595178,5.3427893,0.39072404,48.645727,0.16131152,0.89280986,0.060991077,0.0047639353,5.3427893,12.802667,48.645727,-35.478091,0.97246332,0.00029812996,0.20529809,17.803027,0.0014521809,18.450948,0.01552611,0.13267722,-0.0001976336,-0.13609434,0.39072404,0.0014521809,0.16131152,0.01552611,0.32181284,-1.2987308,-0.76685206,16.371406,1.6935871,-24.882185,22.924273,8.7239353e-12,-1.9285576,-0.0085741591,5.3427893,224.92674,48.645727,258.9489,0.95046071,76.397482,0.44956092,17.803027,169.938,18.450948,516.04121,0.00057475241,-96.712015,-0.56910177,16.371406,169.938,-24.882185,516.04121,5.7949743e-06,101.96818,0.45333954,17.803027,224.92674,18.450948,258.9489,0.00050936156,-150.3692,-0.66852525,16.371406,224.92674,-24.882185,258.9489,2.4383665e-08,34.276278,0.15238863,0.39072404,224.92674,0.16131152,258.9489,0.26670255,-131.53837,-0.58480538,12.802667,224.92674,-35.478091,258.9489,2.7522512e-06,-107.95051,-0.47993631,0.0014521809,224.92674,0.01552611,258.9489,0.00020901708,141.47063,0.62896315,1.6935871,224.92674,22.924273,258.9489,2.710067e-07,38815.274,297558.38,1.1807845,516.04121,1,0
7.3962518,0.4215681,5.4656246,17.544619,48.355288,16.123986,0.0018548072,-7.8719003,-0.39713917,5.4656246,19.821516,48.355288,-23.666413,0.0035554691,-0.019774433,-0.048088706,5.4656246,0.41120742,48.355288,0.18954557,0.73495716,-2.1727921,-0.1418689,5.4656246,15.315493,48.355288,-33.572981,0.31574114,0.00052303426,0.36480718,17.544619,0.001433728,16.123986,0.015281188,0.0078364309,7.6040853e-05,0.053037155,0.41120742,0.001433728,0.18954557,0.015281188,0.70883421,-1.5509188,-0.7992097,19.821516,1.9405655,-23.666413,22.717212,1.2263914e-12,46.848096,0.20974838,5.4656246,223.35379,48.355288,266.27451,0.13559265,96.181672,0.53652822,17.544619,179.26675,16.123986,498.7491,4.1312294e-05,-107.69597,-0.60075817,19.821516,179.26675,-23.666413,498.7491,2.4939515e-06,141.05128,0.63151506,17.544619,223.35379,16.123986,266.27451,5.168388e-07,-177.42557,-0.79437007,19.821516,223.35379,-23.666413,266.27451,2.091514e-12,-17.550522,-0.078577227,0.41120742,223.35379,0.18954557,266.27451,0.57977624,-149.14885,-0.6677695,15.315493,223.35379,-33.572981,266.27451,6.3856322e-08,-68.037386,-0.30461711,0.001433728,223.35379,0.015281188,266.27451,0.028113353,151.29346,0.67737134,1.9405655,223.35379,22.717212,266.27451,3.4945882e-08,38202.969,297403.18,1.1819062,498.7491,1,1
9.2795846,0.28218238,5.3762789,32.885061,48.438889,18.61619,0.038705209,-7.3512285,-0.4436975,5.3762789,16.568109,48.438889,-22.7721,0.00077793037,0.048613804,0.089519645,5.3762789,0.5430518,48.438889,0.40481416,0.51974778,-2.2527014,-0.15403241,5.3762789,14.624854,48.438889,-31.809074,0.26610816,0.00020312089,0.14005607,32.885061,0.0014502826,18.61619,0.015413966,0.31244486,0.00034881233,0.24051335,0.5430518,0.0014502826,0.40481416,0.015413966,0.07979679,-1.4552437,-0.76064786,16.568109,1.9131634,-22.7721,22.688333,2.4971401e-11,36.001626,0.15998271,5.3762789,225.03448,48.438889,246.21284,0.24785255,87.151389,0.49078001,32.885061,177.5773,18.61619,496.44099,0.00016472231,-96.312414,-0.54236896,16.568109,177.5773,-22.7721,496.44099,2.2713291e-05,99.861849,0.44376244,32.885061,225.03448,18.61619,246.21284,0.00077638273,-170.12405,-0.75599104,16.568109,225.03448,-22.7721,246.21284,3.8692137e-11,8.2015222,0.036445625,0.5430518,225.03448,0.40481416,246.21284,0.79359917,-152.51581,-0.6777442,14.624854,225.03448,-31.809074,246.21284,1.8107458e-08,-76.723806,-0.34094245,0.0014502826,225.03448,0.015413966,246.21284,0.011640098,150.04813,0.66677839,1.9131634,225.03448,22.688333,246.21284,3.7000998e-08,38534.915,297408.28,1.1816746,496.44099,1,2
2.0390455,0.13265747,5.5122956,15.370756,48.615417,13.914449,0.36874177,-3.6359245,-0.23336697,5.5122956,15.580288,48.615417,-22.669242,0.11041652,0.0045759371,0.0093052654,5.5122956,0.49175783,48.615417,0.28138146,0.9499491,-1.7804087,-0.13698999,5.5122956,12.996633,48.615417,-31.993646,0.35316695,0.00064239404,0.43316339,15.370756,0.0014830294,13.914449,0.015517536,0.0021031395,0.00010503044,0.07082155,0.49175783,0.0014830294,0.28138146,0.015517536,0.63241274,-1.5612552,-0.7992928,15.580288,1.9532957,-22.669242,22.754167,9.7007941e-12,15.328724,0.071777074,5.5122956,213.56017,48.615417,242.02904,0.62781542,75.2521,0.4525414,15.370756,166.28777,13.914449,488.46434,0.0012403107,-104.37763,-0.62769275,15.580288,166.28777,-22.669242,488.46434,1.7962662e-06,95.5665,0.44749214,15.370756,213.56017,13.914449,242.02904,0.0014275199,-158.73337,-0.74327235,15.580288,213.56017,-22.669242,242.02904,1.4430081e-09,10.912218,0.051096689,0.49175783,213.56017,0.28138146,242.02904,0.73016795,-153.04219,-0.71662328,12.996633,213.56017,-31.993646,242.02904,1.0153388e-08,-59.762544,-0.27983937,0.0014830294,213.56017,0.015517536,242.02904,0.054059441,140.47966,0.65779896,1.9532957,213.56017,22.754167,242.02904,3.7725792e-07,38793.84,297512.07,1.1816509,488.46434,1,3
0.39438501,0.0240401,5.4268872,16.405299,48.861957,16.960317,0.873997,-4.4976516,-0.30139091,5.4268872,14.922984,48.861957,-26.051225,0.041802821,-0.097538565,-0.21904222,5.4268872,0.44529573,48.861957,0.22649335,0.14358792,-1.7389442,-0.11962944,5.4268872,14.536089,48.861957,-32.855543,0.42842659,0.00045526112,0.29992585,16.405299,0.0015179123,16.960317,0.015637075,0.042857123,-5.5112421e-05,-0.036308042,0.44529573,0.0015179123,0.22649335,0.015637075,0.81067524,-1.580744,-0.82219106,14.922984,1.9225994,-26.051225,22.957065,2.4569742e-12,10.161261,0.04745854,5.4268872,214.10816,48.861957,252.0807,0.75413045,71.069373,0.49093614,16.405299,144.76297,16.960317,516.7084,0.00053192466,-82.461728,-0.56963276,14.922984,144.76297,-26.051225,516.7084,3.5998964e-05,85.701544,0.40027219,16.405299,214.10816,16.960317,252.0807,0.0058451713,-141.2849,-0.65987631,14.922984,214.10816,-26.051225,252.0807,6.0876691e-07,-2.7319152,-0.01275951,0.44529573,214.10816,0.22649335,252.0807,0.93292846,-134.9974,-0.63051031,14.536089,214.10816,-32.855543,252.0807,2.649091e-06,-69.128708,-0.32286816,0.0015179123,214.10816,0.015637075,252.0807,0.028631945,135.72779,0.63392161,1.9225994,214.10816,22.957065,252.0807,2.2507294e-06,39092.687,297707.98,1.1790061,516.7084,1,4
3.6920759,0.23587323,5.4085227,15.652797,48.869535,19.032558,0.12782793,-3.5909352,-0.20242802,5.4085227,17.739319,48.869535,-29.106351,0.19297792,-0.1160564,-0.27747923,5.4085227,0.41825258,48.869535,0.18728488,0.071624736,-2.3118101,-0.15638933,5.4085227,14.782403,48.869535,-34.466395,0.31659777,0.00035746337,0.26066599,15.652797,0.0013713464,19.032558,0.015768845,0.09136146,-0.0001578316,-0.11509244,0.41825258,0.0013713464,0.18728488,0.015768845,0.46238827,-1.3925576,-0.81746537,17.739319,1.7035066,-29.106351,23.141279,2.2499926e-11,5.9519244,0.028220372,5.4085227,210.90878,48.869535,255.72389,0.85743831,69.539039,0.50865505,15.652797,136.71159,19.032558,443.56575,0.0004961818,-75.917174,-0.555309,17.739319,136.71159,-29.106351,443.56575,0.00011103199,121.97224,0.57831749,15.652797,210.90878,19.032558,255.72389,4.8715629e-05,-162.91047,-0.77242144,17.739319,210.90878,-29.106351,255.72389,1.3039817e-09,-47.44941,-0.22497598,0.41825258,210.90878,0.18728488,255.72389,0.14692939,-150.17983,-0.71206057,14.782403,210.90878,-34.466395,255.72389,8.5873213e-08,-84.868637,-0.40239499,0.0013713464,210.90878,0.015768845,255.72389,0.0074717082,138.54888,0.65691375,1.7035066,210.90878,23.141279,255.72389,1.7153634e-06,39422.113,297857.64,1.1850716,443.56575,1,5
0.48790978,0.025960467,5.5651979,18.794337,48.824286,18.897853,0.8703664,-7.8168173,-0.4680706,5.5651979,16.700082,48.824286,-29.301898,0.0017723788,-0.10302638,-0.25540635,5.5651979,0.40338221,48.824286,0.18260693,0.10257989,-1.5563912,-0.12150101,5.5651979,12.809698,48.824286,-30.157738,0.44337904,0.00042039632,0.28769373,18.794337,0.0014612634,18.897853,0.015809655,0.064678217,-0.00043617091,-0.29848891,0.40338221,0.0014612634,0.18260693,0.015809655,0.054848247,-1.2535583,-0.74164742,16.700082,1.6902348,-29.301898,23.260238,1.9202586e-08,10.272118,0.051157039,5.5651979,200.79579,48.824286,265.99047,0.74764892,76.873297,0.52301985,18.794337,146.97969,18.897853,432.89643,0.00037983284,-64.883424,-0.44144483,16.700082,146.97969,-29.301898,432.89643,0.003427811,91.350835,0.45494397,18.794337,200.79579,18.897853,265.99047,0.0024695823,-125.32436,-0.6241384,16.700082,200.79579,-29.301898,265.99047,1.0022251e-05,11.065098,0.055106225,0.40338221,200.79579,0.18260693,265.99047,0.72888054,-100.6772,-0.50139097,12.809698,200.79579,-30.157738,265.99047,0.00071830539,-83.707102,-0.41687677,0.0014612634,200.79579,0.015809655,265.99047,0.0060252335,117.78615,0.5865967,1.6902348,200.79579,23.260238,265.99047,4.4538172e-05,39524.137,297964.94,1.1858934,432.89643,1,6
17.814396,0.47864514,5.5450132,37.218379,48.37234,56.90349,0.0006658019,-2.828579,-0.17514527,5.5399439,16.149902,48.615889,-17.143585,0.2498269,0.11353035,0.32662599,5.5399439,0.34758516,48.615889,1.0285162,0.028533835,7.2090621,0.33126575,5.5201394,21.762172,48.172143,24.705816,0.020068126,1.636296e-05,0.011060915,37.218379,0.0014793496,56.90349,0.016041731,0.94117741,0.00055171093,0.36850906,0.34758516,0.0014971435,1.0285162,0.016082541,0.012744874,-0.90188333,-0.49488085,16.149902,1.8224252,-17.143585,23.728556,0.00054853879,28.582308,0.15001515,5.5201394,190.52947,48.172143,273.69248,0.3035578,68.890102,0.43820433,37.218379,157.21,56.90349,456.28077,0.0020649817,-54.828703,-0.35323784,16.149902,155.21753,-17.143585,456.2317,0.017302926,110.6463,0.57989184,37.218379,190.80506,56.90349,281.36402,1.9391993e-05,-79.550303,-0.41486135,16.149902,191.75154,-17.143585,288.65273,0.0046028549,35.814498,0.18677554,0.34758516,191.75154,1.0285162,288.65273,0.21925326,-69.160767,-0.36299249,21.762172,190.52947,24.705816,273.69248,0.010363906,-37.748794,-0.19812574,0.0014981209,190.52947,0.015967377,273.69248,0.17236331,120.97047,0.63491735,1.9367432,190.52947,23.491122,273.69248,9.5922592e-07,39918.442,298139.08,1.1842329,457.40545,1,7
1.749043,0.035421201,5.4118708,49.378422,48.353774,155.30718,0.80119548,-2.1386188,-0.082780127,5.4118708,25.83493,48.353774,39.264173,0.5556661,0.01044676,0.085257471,5.4118708,0.1225319,48.353774,0.82103131,0.54385741,17.509657,0.35458567,5.4118708,49.380612,48.353774,174.91368,0.0091843316,-5.3115627e-05,-0.039119339,49.378422,0.0013577844,155.30718,0.016504285,0.78092902,-8.3546663e-05,-0.061531613,0.1225319,0.0013577844,0.82103131,0.016504285,0.66161072,-0.028567821,-0.018198875,25.83493,1.5697576,39.264173,25.232075,0.89708767,13.909014,0.060929979,5.4118708,228.27867,48.353774,421.42631,0.66472216,-3.0361754,-0.018471208,49.378422,164.37341,155.30718,574.34339,0.89555616,-24.661785,-0.15003512,25.83493,164.37341,39.264173,574.34339,0.2835805,58.825548,0.25769183,49.378422,228.27867,155.30718,421.42631,0.062477898,-15.276631,-0.066920976,25.83493,228.27867,39.264173,421.42631,0.6339966,12.196235,0.05342696,0.1225319,228.27867,0.82103131,421.42631,0.70398179,-13.804268,-0.060471124,49.380612,228.27867,174.91368,421.42631,0.66709897,-122.23427,-0.53546078,0.0013577844,228.27867,0.016504285,421.42631,3.6056099e-05,160.54586,0.70328893,1.5697576,228.27867,25.232075,421.42631,4.2977208e-09,41260.714,299840.11,1.1719849,574.34339,1,8
