SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.531397,-0.93486255,0.00013767678,105.39667,0.00020594287,532.02041,1.4165231e-14,-105.15195,-0.99767815,7.579066,105.39667,-34.443313,532.02041,2.1386763e-35,514.85718,238126.37,1.3893475,79.90746,1,daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-105.08476,-0.91483726,0.00015658638,114.86716,0.00020767791,535.71664,6.0603125e-13,-113.44963,-0.98765941,8.0618443,114.86716,-34.422581,535.71664,6.6430975e-25,519.19477,238134.3,1.390078,76.532967,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-103.17855,-0.91504668,0.00015536467,112.75769,0.00020631398,534.9701,5.8558149e-13,-112.05905,-0.99380409,8.0749432,112.75769,-34.56129,534.9701,3.1655278e-29,515.78496,238012.8,1.3905033,72.680451,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-103.97299,-0.91610265,0.00015934306,113.49491,0.00021007736,533.1463,4.9184619e-13,-112.80559,-0.99392644,8.0672068,113.49491,-34.345645,533.1463,2.3723778e-29,525.19341,238239.47,1.389984,69.720333,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.46781,-0.91839209,0.00015887421,111.57306,0.00021248207,527.94842,3.342828e-13,-110.99889,-0.99485388,7.9888961,111.57306,-34.101935,527.94842,2.159073e-30,531.20518,238487.55,1.3893579,68.358067,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.19219,-0.91379284,0.00015493855,109.64431,0.00021202858,525.67044,7.1825156e-13,-109.06631,-0.99472844,7.9335629,109.64431,-34.052258,525.67044,3.0589442e-30,530.07145,238544.54,1.3890609,68.344679,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.177659,-0.90430052,0.00015788268,109.67334,0.00021162377,526.33,3.0687868e-12,-109.12438,-0.99499463,7.9882407,109.67334,-34.178226,526.33,1.4455053e-30,529.05943,238424.23,1.3892508,68.794993,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.84357,-0.90792194,0.00015354639,111.07075,0.00020850075,529.62114,1.7963985e-12,-110.40808,-0.99403378,7.9010324,111.07075,-34.260968,529.62114,1.8331194e-29,521.25188,238336.61,1.3892779,71.402777,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.971697,-0.90448619,0.00015020732,110.52872,0.00020625533,530.19546,2.9872342e-12,-109.7411,-0.9928741,7.8055297,110.52872,-34.305323,530.19546,2.390743e-28,515.63833,238286.68,1.3890271,75.870157,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.748773,-0.89631878,0.00015275786,111.28716,0.00020588014,530.77495,9.3010871e-12,-110.28016,-0.99095133,7.8734105,111.28716,-34.390484,530.77495,7.5430715e-27,514.70036,238192.87,1.3888373,81.858556,1,8
