SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.1580284,0.28845756,23.845682,4.0145539,38.227369,1.6470619,5.0802807e-06,-4.9245241,-0.28246102,23.842297,17.434349,38.93061,-14.953143,1.0984792e-05,-0.012717873,-0.13292552,23.842297,0.09567668,38.93061,0.13027345,0.041761673,-3.986024,-0.26883146,24.872581,14.827223,40.434192,0.31453089,7.9679769e-05,-0.00019485977,-0.17888537,3.1191977,0.0010892997,0.83610801,0.0023108619,8.3524555e-06,1.6146842e-05,0.014748931,0.084883292,0.0010947805,0.11314626,0.0023159546,0.71754289,-1.4101312,-0.21165606,18.155628,6.6623709,-15.15762,-7.377073,1.3468915e-07,-15.686836,-0.13759169,23.845682,114.01006,38.227369,150.93729,0.032392913,-11.140449,-0.048312702,3.1191977,230.59047,0.83610801,463.57353,0.23231278,-101.242,-0.43484446,18.155628,232.82347,-15.15762,465.46462,1.7461267e-29,16.525843,0.13067657,3.1191977,126.4637,0.83610801,159.37428,0.0011839818,-5.944867,-0.046829422,18.155628,126.94726,-15.15762,159.74053,0.24853632,-7.6054088,-0.059772199,0.084883292,127.2399,0.11314626,159.81167,0.14230664,-23.483577,-0.18202693,12.542695,129.01156,-0.91637302,160.72801,9.7484173e-06,-87.857145,-0.69628617,0.001088594,126.17965,0.0023144292,159.30771,8.8768103e-91,-84.358794,-0.66856101,6.6262105,126.17965,-7.3931291,159.30771,2.7966487e-81,5786.073,268528.51,1.2271612,465.50941,1,daily
1.4655522,0.25241572,24.038132,5.806105,38.528542,0.62341031,8.8266019e-05,-4.2234188,-0.20021753,23.961216,21.094151,39.139442,-19.327068,0.0022315095,-0.0091647813,-0.036763861,24.032005,0.24928778,39.258301,0.11197503,0.57993416,-4.6218748,-0.23259259,25.035315,19.871118,40.663184,-8.9339934,0.00076744285,-7.7120342e-05,-0.069329359,4.6700873,0.0011123764,0.0075798853,0.0023044299,0.088683015,4.7016904e-05,0.04205688,0.19726912,0.0011179361,0.088743381,0.0023069417,0.30534555,0.092019669,0.013153923,23.451578,6.9956063,-18.826293,-7.5838624,0.74637411,-12.9153,-0.11991379,23.965516,107.70487,38.319314,140.91429,0.064200233,-1.0959024,-0.0039420338,4.6700873,278.00431,0.0075798853,437.66106,0.92297994,-64.915532,-0.23230756,23.451578,279.43788,-18.826293,437.47826,6.994419e-09,14.387327,0.11773271,4.6700873,122.20331,0.0075798853,150.64831,0.0037610575,-23.367749,-0.19114757,23.451578,122.24978,-18.826293,151.80758,2.100863e-06,-7.0945918,-0.057730296,0.19726912,122.89201,0.088743381,151.13845,0.15925207,-48.955902,-0.39474994,17.948519,124.0175,-9.9679504,151.82557,5.4127986e-23,-86.352181,-0.71132826,0.0011127578,121.39568,0.0022979069,151.11116,2.1154267e-96,-81.813511,-0.67394085,6.9527335,121.39568,-7.5728382,151.11116,4.838956e-83,5744.7673,268333.34,1.2303564,438.94256,1,0
0.65281371,0.13668979,23.963831,4.7758776,38.36607,0.015085494,0.036252815,-5.6627446,-0.2513702,23.889066,22.52751,38.975963,-18.774783,0.00011643929,0.0013434349,0.0059742175,23.960553,0.22487211,39.093932,0.10712812,0.92851474,-4.3990647,-0.21570848,25.038493,20.393564,40.66435,-9.0996663,0.0018463094,-0.00011035932,-0.098736735,4.0486923,0.0011177129,-0.39161454,0.0022978005,0.015459116,1.241332e-05,0.01104849,0.21670311,0.001123531,0.10438397,0.0022999166,0.78832309,0.17338768,0.024519224,23.640254,7.0714996,-18.875818,-7.6595,0.54688413,-10.770164,-0.10036039,23.969367,107.31489,38.318801,140.24867,0.12178882,-25.198699,-0.09057792,4.0486923,278.19913,-0.39161454,435.81184,0.02638565,-63.875283,-0.22838165,23.640254,279.68659,-18.875818,435.91964,1.3020965e-08,11.558835,0.094779182,4.0486923,121.95542,-0.39161454,149.9604,0.020128902,-23.016282,-0.18866673,23.640254,121.99438,-18.875818,151.09436,2.9124772e-06,0.99343842,0.0081002339,0.21670311,122.64318,0.10438397,150.47213,0.84395227,-47.507376,-0.38418124,18.19492,123.65876,-9.8076388,151.04686,9.094506e-22,-86.79447,-0.71672886,0.001118457,121.09805,0.0022916191,150.53402,1.6496752e-98,-82.884483,-0.68444108,7.0224906,121.09805,-7.646445,150.53402,1.3677894e-86,5729.0478,268263.79,1.2305769,437.52081,1,1
1.5435474,0.23202916,23.964866,6.6523853,38.365196,0.25453145,0.00033443879,-5.8013341,-0.24031892,23.890282,24.140147,38.974939,-20.208151,0.00023431686,-0.029913424,-0.11321924,23.961781,0.26420795,39.092899,0.13600882,0.088070405,-5.5902085,-0.27764179,25.040018,20.134607,40.663119,-9.0402411,5.3363802e-05,-4.8768583e-05,-0.04335132,5.1233105,0.0011249619,-0.11844142,0.0022901902,0.288664,1.7621729e-05,0.01558077,0.20873562,0.0011309921,0.10219872,0.0022918486,0.70495597,0.30715444,0.043005117,23.814041,7.1422766,-19.467242,-7.7371419,0.29052842,-8.3948233,-0.077366313,23.970477,108.50747,38.318,142.04207,0.23342976,4.3133419,0.016676974,5.1233105,258.64056,-0.11844142,431.1568,0.68326027,-64.959606,-0.24968111,23.814041,260.17028,-19.467242,431.35449,4.5844741e-10,16.154335,0.13275651,5.1233105,121.68394,-0.11844142,150.39651,0.001105353,-27.479317,-0.22563997,23.814041,121.78391,-19.467242,151.67036,1.9576122e-08,-5.746966,-0.046966355,0.20873562,122.36347,0.10219872,150.93921,0.25348623,-49.131307,-0.39812649,18.28552,123.40627,-9.893659,151.45143,2.150333e-23,-87.166798,-0.72082803,0.0011252365,120.92593,0.0022834767,151.10493,3.838415e-100,-83.90142,-0.69382491,7.0919974,120.92593,-7.7236432,151.10493,6.8420554e-90,5708.6918,268190.88,1.2310355,432.777,1,2
1.6617797,0.23760715,23.95534,6.9938117,38.385372,0.70519052,0.00023709805,-4.8883125,-0.20742292,23.843864,23.566887,38.938409,-21.239319,0.0015243853,-0.0054208734,-0.025688541,23.95137,0.21102301,39.113651,0.10060874,0.69962985,-5.8850275,-0.27033188,24.987751,21.769639,40.614824,-10.10598,8.1669863e-05,-0.00011573011,-0.10234874,5.1349453,0.0011307428,-0.084628638,0.0022871311,0.012200752,1.5138028e-05,0.013308779,0.18320741,0.0011374468,0.089016117,0.0022896873,0.74699982,0.18703575,0.02593017,24.343025,7.2130552,-20.451603,-7.809764,0.52405063,-7.7999414,-0.069478137,23.924677,112.26469,38.285667,144.05202,0.28370782,11.810155,0.045896743,5.1349453,257.32012,-0.084628638,431.39843,0.2620566,-64.409888,-0.24879195,24.343025,258.89057,-20.451603,432.33387,5.3057582e-10,22.400154,0.18234772,5.1349453,122.84307,-0.084628638,150.69996,7.0806013e-06,-23.512853,-0.19115614,24.343025,123.00339,-20.451603,152.08364,2.139683e-06,-2.5345228,-0.020501929,0.18320741,123.62362,0.089016117,151.23165,0.61919873,-45.363034,-0.36405939,18.751011,124.60339,-10.06461,151.69902,1.4843468e-19,-88.405251,-0.72369981,0.0011314306,122.15735,0.002277198,151.49175,2.6446328e-101,-85.633269,-0.70100792,7.1628338,122.15735,-7.7942888,151.49175,1.6644161e-92,5692.9949,268124.74,1.2310608,433.4535,1,3
1.3968039,0.22615208,23.920033,6.176392,38.331869,0.35535125,0.00046310206,-4.9120751,-0.21417018,23.84546,22.935383,38.938879,-20.539798,0.0010546129,-0.022702356,-0.096782384,23.91723,0.23457116,39.05483,0.10683915,0.14429058,-6.3647799,-0.30797393,24.988867,20.666619,40.61578,-9.5710541,6.3510585e-06,-8.1204643e-05,-0.071487991,4.9220804,0.0011359201,-0.2755186,0.0022787469,0.079669939,3.5863754e-05,0.031387543,0.21910495,0.0011426111,0.10565041,0.00228122,0.44551596,0.12314184,0.016925674,24.084627,7.2754465,-20.219125,-7.8675173,0.67728242,-8.3647918,-0.074669862,23.925684,112.02367,38.286627,142.9301,0.24917704,0.84563215,0.003243037,4.9220804,260.75316,-0.2755186,434.64507,0.93671051,-64.567464,-0.2456608,24.084627,262.83177,-20.219125,436.60483,8.5585596e-10,12.638134,0.10373232,4.9220804,121.8341,-0.2755186,149.51622,0.010873829,-22.185668,-0.18163045,24.084627,122.1473,-20.219125,150.51344,6.6943793e-06,-3.7171285,-0.030319487,0.21910495,122.59866,0.10565041,150.02507,0.46115924,-45.840474,-0.37072059,17.90139,123.65235,-9.5505847,150.21839,2.8584232e-20,-88.960061,-0.73353947,0.0011367811,121.27508,0.0022715538,150.17293,2.1255367e-105,-87.204925,-0.71906712,7.2191385,121.27508,-7.8697621,150.17293,1.946867e-99,5678.8845,268058.47,1.2308012,436.81385,1,4
0.73047493,0.1300701,23.922064,5.6160096,38.229684,0.04010006,0.045465459,-3.6612901,-0.15986754,23.853989,22.902022,39.03463,-20.678551,0.015227145,-0.017530108,-0.086302539,23.925463,0.20312389,39.152259,0.089694995,0.19414955,-6.6215576,-0.33925279,24.966615,19.518064,40.522031,-8.0032555,5.3658886e-07,-0.00019070116,-0.16710408,4.3126052,0.0011412119,-0.4198134,0.0022786493,3.780528e-05,5.5553169e-05,0.048361236,0.18214788,0.0011487128,0.081240962,0.0022808109,0.24044178,-0.006467097,-0.00088226375,24.048028,7.3301176,-20.249555,-7.935118,0.98270808,-8.2101682,-0.071251904,23.928488,115.22735,38.284571,144.23628,0.27156537,-6.378281,-0.024099535,4.3126052,264.66407,-0.4198134,440.70534,0.55508644,-68.23547,-0.25513174,24.048028,267.45191,-20.249555,440.80326,1.8488546e-10,15.946497,0.12961796,4.3126052,123.0269,-0.4198134,148.92544,0.0014370179,-23.016241,-0.18633905,24.048028,123.51808,-20.249555,150.62241,3.8716213e-06,-9.046126,-0.073014984,0.18214788,123.8941,0.081240962,149.60575,0.076122696,-45.804698,-0.36590073,17.382317,125.1834,-8.9037031,150.34591,8.7875002e-20,-90.404631,-0.73727318,0.0011426865,122.62026,0.0022668873,150.06321,5.3148748e-107,-89.190752,-0.72737368,7.2723127,122.62026,-7.9299951,150.06321,8.2119651e-103,5667.2183,268005.53,1.2304648,441.05926,1,5
0.83348781,0.13831926,23.924211,6.0258259,38.229916,0.25059137,0.033305521,-3.8112373,-0.16541444,23.850771,23.040535,38.936883,-20.649758,0.011808619,-0.0055495073,-0.0221652,23.922325,0.25037028,39.053275,0.1131338,0.73866193,-6.1882371,-0.30362238,24.969654,20.38136,40.521298,-8.6791226,8.2645752e-06,-0.0002004886,-0.17458503,4.8534093,0.0011483722,-0.40582352,0.0022791675,1.7033948e-05,-2.6444485e-06,-0.0022885741,0.18832665,0.0011555005,0.088763491,0.0022831436,0.95576287,-0.0095507755,-0.0012915486,24.748249,7.3948247,-20.488372,-7.9683921,0.97466761,-11.863706,-0.10476748,23.930717,113.23844,38.284702,142.67124,0.10543958,-14.064126,-0.05297323,4.8534093,265.49496,-0.40582352,441.55251,0.19505202,-72.931427,-0.27191081,24.748249,268.2182,-20.488372,442.99613,9.4817859e-12,12.637768,0.10346839,4.8534093,122.14135,-0.40582352,147.62023,0.011213572,-22.504677,-0.18330481,24.748249,122.77189,-20.488372,149.06991,5.4828935e-06,2.5896108,0.021053288,0.18832665,123.00268,0.088763491,148.0566,0.60980302,-47.297466,-0.37993754,17.442219,124.48748,-9.0865987,148.85787,2.5361962e-21,-90.660561,-0.7438115,0.0011516682,121.88647,0.0022671337,148.76261,7.1313072e-110,-90.53069,-0.742746,7.3406894,121.88647,-7.9740833,148.76261,2.1242465e-109,5667.8342,267964.98,1.230381,442.58419,1,6
0.80158536,0.1502192,23.923209,5.3361047,38.230108,0.12906809,0.020694542,-3.3042467,-0.14189333,23.849968,23.286836,38.936799,-20.974641,0.031098321,-0.018218882,-0.066266373,23.921456,0.27493405,39.053299,0.12752794,0.31808423,-6.5753082,-0.28661863,24.96821,22.940966,40.522149,-9.5751246,2.7028483e-05,-0.0001162872,-0.10044318,4.834403,0.0011577411,-0.37152356,0.0022784181,0.013917655,1.3329972e-05,0.01144509,0.20372113,0.0011646892,0.099034916,0.002282807,0.78163914,-0.014061919,-0.0018889761,24.2647,7.4442019,-20.132902,-8.0046886,0.96295675,-12.401497,-0.10623942,23.929846,116.73159,38.284827,143.94322,0.10060841,-20.007744,-0.075658591,4.834403,264.44774,-0.37152356,439.66851,0.064243031,-76.995207,-0.28777413,24.2647,267.55431,-20.132902,441.08364,4.8709587e-13,5.9604276,0.048354549,4.834403,123.26508,-0.37152356,147.75264,0.23733605,-25.437355,-0.2055119,24.2647,123.77558,-20.132902,149.2265,3.2653236e-07,-4.5469987,-0.036631602,0.20372113,124.12776,0.099034916,148.14541,0.37484559,-38.845813,-0.30931693,19.077678,125.5858,-9.5218947,149.03908,2.650301e-14,-91.214419,-0.74213295,0.001159523,122.90846,0.0022651803,148.98616,3.9708347e-109,-91.715371,-0.74620876,7.3911971,122.90846,-8.0127387,148.98616,5.997556e-111,5662.9506,267927.4,1.2306386,440.50232,1,7
0.34509018,0.075671465,23.88107,4.560374,38.295249,0.3864387,0.2458645,-3.5519617,-0.14748995,23.805717,24.082738,38.899543,-21.951711,0.024661327,-0.014167907,-0.074600543,23.876628,0.18991694,39.015561,0.08165732,0.25983556,-6.8097998,-0.32566826,24.918468,20.910235,40.473636,-7.7243073,1.4963829e-06,-0.00026744158,-0.22989644,4.0795752,0.0011633133,-0.31656244,0.0022778364,1.2969041e-08,0.00012457253,0.10652397,0.17987968,0.001169432,0.080153439,0.0022814493,0.0096777015,0.12756008,0.017044652,23.198689,7.4838769,-20.971929,-8.0238501,0.67514286,-13.113618,-0.11119591,23.885958,117.93256,38.251766,146.82512,0.084961659,-38.088846,-0.14421279,4.0795752,264.11559,-0.31656244,439.36759,0.00040360458,-75.060283,-0.2808604,23.198689,267.25121,-20.971929,440.98582,1.8184137e-12,14.136925,0.11383592,4.0795752,124.18686,-0.31656244,148.88144,0.0053200457,-25.77257,-0.20698896,23.198689,124.51181,-20.971929,150.24192,2.6755956e-07,-13.637695,-0.10915199,0.17987968,124.94224,0.080153439,149.26661,0.0080172295,-40.366958,-0.319451,18.098227,126.36354,-8.6665923,150.16337,3.3403098e-15,-91.381799,-0.73890995,0.0011641491,123.67109,0.0022632439,150.04555,1.034106e-107,-92.024005,-0.7441028,7.4322559,123.67109,-8.0348989,150.04555,5.2863931e-110,5658.1097,267899.03,1.2308113,440.27296,1,8
