SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.7086782,0.40743812,0.016281102,1.7393518,8.5038306,7.6379208,0.022904422,-0.27950722,-0.062269457,0.016281102,4.4886728,8.5038306,53.486979,0.73930233,-0.0029465261,-0.15269405,0.016281102,0.019296928,8.5038306,0.076515098,0.41218603,-1.9843589,-0.48967541,0.016281102,4.0523964,8.5038306,58.512243,0.0051739738,-8.3149172e-05,-0.0813137,1.7393518,0.0010225727,7.6379208,0.0039012812,0.66366983,0.00038139776,0.37297862,0.019296928,0.0010225727,0.076515098,0.0039012812,0.038775754,-0.98979104,-0.4396375,4.4886728,2.2513799,53.486979,23.055097,0.013335176,-50.963334,-0.12247424,0.016281102,416.11471,8.5038306,2980.6643,0.51159044,28.83305,0.31877826,1.7393518,90.44861,7.6379208,547.63279,0.080486257,-34.515951,-0.38160842,4.4886728,90.44861,53.486979,547.63279,0.034149667,-73.01941,-0.17547904,1.7393518,416.11471,7.6379208,2980.6643,0.3450519,-65.300058,-0.15692802,4.4886728,416.11471,53.486979,2980.6643,0.39918689,-84.714541,-0.20358459,0.019296928,416.11471,0.076515098,2980.6643,0.27199306,120.17275,0.28879717,4.0523964,416.11471,58.512243,2980.6643,0.11510357,-326.78264,-0.78531865,0.0010225727,416.11471,0.0039012812,2980.6643,1.6769286e-07,155.47281,0.37362969,2.2513799,416.11471,23.055097,2980.6643,0.038410038,9753.203,301921.78,1.1210998,547.63279,1,daily
0.35059838,0.1755584,0.025788071,1.9970471,8.5068966,1.2867241,0.36233342,-1.3117771,-0.12072366,0.025788071,10.865949,8.5068966,-24.316552,0.53275362,-0.0027711366,-0.12586063,0.025788071,0.022017501,8.5068966,0.010004718,0.51532968,1.676941,0.30332608,0.025788071,5.528509,8.5068966,-74.09431,0.10969725,-7.2634818e-05,-0.089032064,1.9970471,0.00081582763,1.2867241,0.0035273489,0.64603564,0.00010325427,0.12656384,0.022017501,0.00081582763,0.010004718,0.0035273489,0.51296642,-0.31456878,-0.1312167,10.865949,2.3973227,-24.316552,19.999483,0.49746492,-63.441678,-0.17399184,0.025788071,364.62445,8.5068966,2748.9538,0.36669996,107.88011,0.21663264,1.9970471,497.98642,1.2867241,358.07774,0.25900119,-134.42562,-0.26993833,10.865949,497.98642,-24.316552,358.07774,0.15672651,29.073776,0.079736221,1.9970471,364.62445,1.2867241,2748.9538,0.68095476,-81.88806,-0.22458192,10.865949,364.62445,-24.316552,2748.9538,0.24149914,-46.013842,-0.12619516,0.022017501,364.62445,0.010004718,2748.9538,0.51420474,-262.58748,-0.72015874,5.528509,364.62445,-74.09431,2748.9538,1.0599872e-05,-239.07445,-0.65567312,0.00081582763,364.62445,0.0035273489,2748.9538,0.00011290797,161.824,0.44381007,2.3973227,364.62445,19.999483,2748.9538,0.01588035,8818.3723,298758.91,1.1436227,358.07774,1,0
0.22988225,0.14361094,0.025788071,1.6007294,8.5068966,0.77504922,0.45735107,-1.5968308,-0.12484729,0.025788071,12.790272,8.5068966,-21.772414,0.51874456,-0.0042395474,-0.11330595,0.025788071,0.03741681,8.5068966,0.015306165,0.55839895,1.0315945,0.17648126,0.025788071,5.8453488,8.5068966,-71.391897,0.35977555,-0.00021174705,-0.25971501,1.6007294,0.0008153054,0.77504922,0.0034859594,0.17365001,5.0087833e-05,0.061434443,0.03741681,0.0008153054,0.015306165,0.0034859594,0.75156136,-0.75246758,-0.32390104,12.790272,2.3231403,-21.772414,18.761034,0.086511837,-40.836668,-0.11473199,0.025788071,355.93095,8.5068966,2615.7609,0.55342506,87.27331,0.17566639,1.6007294,496.8128,0.77504922,354.56928,0.36203355,-100.30098,-0.20188888,12.790272,496.8128,-21.772414,354.56928,0.29360556,78.999907,0.2219529,1.6007294,355.93095,0.77504922,2615.7609,0.24719827,-107.82081,-0.30292619,12.790272,355.93095,-21.772414,2615.7609,0.11018963,-89.887873,-0.25254301,0.03741681,355.93095,0.015306165,2615.7609,0.18626555,-227.20975,-0.63835343,5.8453488,355.93095,-71.391897,2615.7609,0.00019446407,-241.85818,-0.6795087,0.0008153054,355.93095,0.0034859594,2615.7609,5.0403006e-05,137.50464,0.38632391,2.3231403,355.93095,18.761034,2615.7609,0.038447615,8714.8986,297515.04,1.1461105,354.56928,1,1
0.19653853,0.084517076,0.025788071,2.3254299,8.5068966,0.60293103,0.66290967,-2.6780463,-0.21880295,0.025788071,12.239535,8.5068966,-21.733869,0.25414271,-0.0019931462,-0.04251018,0.025788071,0.046886327,8.5068966,0.021989772,0.82668644,0.63806375,0.11771123,0.025788071,5.4205851,8.5068966,-69.968621,0.54310039,-0.00025846171,-0.31993696,2.3254299,0.00080785199,0.60293103,0.0034556163,0.090659834,0.0001775685,0.21980326,0.046886327,0.00080785199,0.021989772,0.0034556163,0.25192368,-0.76710836,-0.35236633,12.239535,2.1770194,-21.733869,17.642586,0.060831366,-28.946636,-0.080122733,0.025788071,361.2787,8.5068966,2491.809,0.67948931,0.48696169,0.004064416,2.3254299,119.81099,0.60293103,268.11239,0.98330564,-44.110689,-0.36816899,12.239535,119.81099,-21.733869,268.11239,0.049404412,151.10411,0.41824804,2.3254299,361.2787,0.60293103,2491.809,0.023952104,-28.847695,-0.079848867,12.239535,361.2787,-21.733869,2491.809,0.68052755,-106.08911,-0.29364894,0.046886327,361.2787,0.021989772,2491.809,0.12208013,-175.71772,-0.48637719,5.4205851,361.2787,-69.968621,2491.809,0.0074659567,-260.59462,-0.72131188,0.00080785199,361.2787,0.0034556163,2491.809,1.0101977e-05,130.1795,0.36032986,2.1770194,361.2787,17.642586,2491.809,0.054839505,8639.0406,296406.5,1.1537973,268.11239,1,2
0.26068511,0.10905865,0.025370813,2.3903203,8.5066667,0.0035,0.56618942,-2.1825695,-0.15605476,0.025370813,13.985921,8.5066667,-19.613333,0.41022904,-0.0091198546,-0.18224903,0.025370813,0.050040622,8.5066667,0.033549829,0.33509192,0.20704396,0.044520666,0.025370813,4.6505135,8.5066667,-67.909167,0.81529258,-0.00026595931,-0.27490624,2.3903203,0.00096745462,0.0035,0.0035624247,0.14149637,0.00020775238,0.21474122,0.050040622,0.00096745462,0.033549829,0.0035624247,0.25446787,-0.33473129,-0.15760822,13.985921,2.1238187,-19.613333,16.890167,0.40552642,-10.562565,-0.026912937,0.025370813,392.47164,8.5066667,2358.3787,0.8877357,23.68567,0.20438996,2.3903203,115.88471,0.0035,262.83695,0.27862689,-54.283369,-0.46842565,13.985921,115.88471,-19.613333,262.83695,0.0090343919,109.30747,0.27851048,2.3903203,392.47164,0.0035,2358.3787,0.13614174,-14.142062,-0.036033334,13.985921,392.47164,-19.613333,2358.3787,0.85006337,-93.103399,-0.23722325,0.050040622,392.47164,0.033549829,2358.3787,0.20686785,-166.59223,-0.42446947,4.6505135,392.47164,-67.909167,2358.3787,0.019392258,-309.13894,-0.78767205,0.00096745462,392.47164,0.0035624247,2358.3787,2.3977145e-07,90.426956,0.23040379,2.1238187,392.47164,16.890167,2358.3787,0.22060805,8906.0618,295668.2,1.1553463,262.83695,1,3
0.36799933,0.16232669,0.025370813,2.2670291,8.5066667,0.058715867,0.39143079,-2.615006,-0.18091933,0.025370813,14.453989,8.5066667,-18.5075,0.33869023,-0.010576868,-0.1998611,0.025370813,0.052921093,8.5066667,0.038909842,0.28964554,-0.10057715,-0.022107282,0.025370813,4.5495034,8.5066667,-66.435,0.90768793,-0.00036250797,-0.36730276,2.2670291,0.00098694596,0.058715867,0.0035742104,0.04585476,0.00019600711,0.19859963,0.052921093,0.00098694596,0.038909842,0.0035742104,0.29276335,-0.34883665,-0.16888428,14.453989,2.0655365,-18.5075,16.200667,0.37231557,-11.484835,-0.028746482,0.025370813,399.52142,8.5066667,2268.9448,0.88014017,16.661306,0.14936516,2.2670291,111.54747,0.058715867,256.23027,0.43082637,-71.790761,-0.64358935,14.453989,111.54747,-18.5075,256.23027,0.00012465012,160.64371,0.40209036,2.2670291,399.52142,0.058715867,2268.9448,0.027617958,35.813605,0.089641264,14.453989,399.52142,-18.5075,2268.9448,0.6375886,-128.33226,-0.32121497,0.052921093,399.52142,0.038909842,2268.9448,0.083485194,-156.31878,-0.39126508,4.5495034,399.52142,-66.435,2268.9448,0.032512379,-320.56475,-0.80237187,0.00098694596,399.52142,0.0035742104,2268.9448,9.6854679e-08,77.281736,0.19343577,2.0655365,399.52142,16.200667,2268.9448,0.30574738,8935.5259,294965.94,1.1572676,256.23027,1,4
0.56616471,0.30447601,0.025788071,1.8594723,8.5068966,0.055043559,0.1082905,-3.2681433,-0.28808565,0.025788071,11.344346,8.5068966,-15.725924,0.12964958,-0.014938352,-0.14742784,0.025788071,0.10132654,8.5068966,0.053932381,0.44535285,-0.23627127,-0.057558711,0.025788071,4.1048741,8.5068966,-64.459483,0.76679131,-0.00048203213,-0.47378828,1.8594723,0.0010173999,0.055043559,0.0036147782,0.009424309,0.00027896903,0.27419802,0.10132654,0.0010173999,0.053932381,0.0036147782,0.15003536,0.041484875,0.021262713,11.344346,1.9510622,-15.725924,15.306897,0.91282285,-6.9610386,-0.01763733,0.025788071,394.67644,8.5068966,2140.1661,0.92764446,17.418143,0.15906121,1.8594723,109.50591,0.055043559,251.20378,0.40984929,-73.667155,-0.67272308,11.344346,109.50591,-15.725924,251.20378,6.3879179e-05,184.35491,0.46710391,1.8594723,394.67644,0.055043559,2140.1661,0.010628781,81.655889,0.20689324,11.344346,394.67644,-15.725924,2140.1661,0.28154714,-74.811122,-0.18955051,0.10132654,394.67644,0.053932381,2140.1661,0.32470936,-108.6877,-0.27538431,4.1048741,394.67644,-64.459483,2140.1661,0.14820907,-324.49741,-0.8221859,0.0010173999,394.67644,0.0036147782,2140.1661,4.4966659e-08,35.405151,0.089706774,1.9510622,394.67644,15.306897,2140.1661,0.64352845,9036.9455,294028.33,1.1598503,251.20378,1,5
0.53168795,0.3739817,0.025788071,1.4216951,8.5068966,0.077931034,0.045656608,-2.5669399,-0.20263711,0.025788071,12.667669,8.5068966,-12.515,0.29178219,-0.0092194003,-0.14236999,0.025788071,0.064756628,8.5068966,0.033285078,0.46128847,-0.1120826,-0.026804987,0.025788071,4.1814085,8.5068966,-63.150345,0.89022124,-0.00024245588,-0.23060809,1.4216951,0.0010513763,0.077931034,0.0036306412,0.22876706,0.00036559187,0.34772694,0.064756628,0.0010513763,0.033285078,0.0036306412,0.064550779,0.46327138,0.2472296,12.667669,1.8738508,-12.515,14.846897,0.19601437,-21.896696,-0.05398581,0.025788071,405.60096,8.5068966,2077.7529,0.78090708,28.376784,0.26661969,1.4216951,106.43169,0.077931034,243.18804,0.16208534,-71.706496,-0.67373256,12.667669,106.43169,-12.515,243.18804,6.1690317e-05,146.61219,0.36146903,1.4216951,405.60096,0.077931034,2077.7529,0.054021729,87.33737,0.21532831,12.667669,405.60096,-12.515,2077.7529,0.26195006,-169.92801,-0.41895368,0.064756628,405.60096,0.033285078,2077.7529,0.023691267,-102.8195,-0.25349916,4.1814085,405.60096,-63.150345,2077.7529,0.1845478,-345.31598,-0.85136875,0.0010513763,405.60096,0.0036306412,2077.7529,4.7999738e-09,19.311685,0.047612524,1.8738508,405.60096,14.846897,2077.7529,0.80625373,9076.6029,293527.58,1.1618834,243.18804,1,6
0.52266441,0.29614617,0.026226526,1.7648866,8.5071429,0.52946429,0.12597429,-2.5635421,-0.26700976,0.026226526,9.6009303,8.5071429,-10.853571,0.16957982,-0.017893618,-0.15519607,0.026226526,0.11529685,8.5071429,0.063353806,0.43036059,0.10112343,0.025480689,0.026226526,3.9686303,8.5071429,-53.515536,0.89759148,-0.00031997143,-0.29917434,1.7648866,0.0010695149,0.52946429,0.0036643361,0.12196621,0.0003064402,0.2865226,0.11529685,0.0010695149,0.063353806,0.0036643361,0.13935239,0.1314655,0.077190748,9.6009303,1.7031252,-10.853571,14.486607,0.6962289,-28.739211,-0.068177846,0.026226526,421.53299,8.5071429,2017.713,0.73030733,36.034924,0.34069495,1.7648866,105.76888,0.52946429,247.34671,0.076045736,-68.25736,-0.64534443,9.6009303,105.76888,-10.853571,247.34671,0.00020876896,170.08818,0.40349909,1.7648866,421.53299,0.52946429,2017.713,0.033233914,-35.132744,-0.083345182,9.6009303,421.53299,-10.853571,2017.713,0.67328118,-96.820955,-0.22968773,0.11529685,421.53299,0.063353806,2017.713,0.239682,-97.696284,-0.23176427,3.9686303,421.53299,-53.515536,2017.713,0.23534189,-372.12929,-0.88279993,0.0010695149,421.53299,0.0036643361,2017.713,5.1125677e-10,13.045208,0.030947063,1.7031252,421.53299,14.486607,2017.713,0.87577482,9160.8403,293124.42,1.16277,247.34671,1,7
0.36880421,0.087088288,0.018569534,4.2348313,8.5034483,6.0824138,0.65327975,2.6412509,0.32783193,0.018569534,8.0567225,8.5034483,6.4668966,0.082542873,-0.047824195,-0.13309004,0.018569534,0.35933715,8.5034483,0.53234838,0.49129089,0.31098995,0.088337592,0.018569534,3.5204712,8.5034483,16.837517,0.64862022,-0.00036550109,-0.34102849,4.2348313,0.0010717612,6.0824138,0.0037146017,0.070230306,-8.3752866e-05,-0.078145083,0.35933715,0.0010717612,0.53234838,0.0037146017,0.68699944,-1.1470009,-0.64779537,8.0567225,1.7706222,6.4668966,16.387586,0.00014518696,-17.059787,-0.040259664,0.018569534,423.7439,8.5034483,2229.4209,0.83573492,37.607215,0.34601236,4.2348313,108.68749,6.0824138,352.76429,0.065969281,31.714099,0.29179163,8.0567225,108.68749,6.4668966,352.76429,0.12457005,224.87862,0.53069465,4.2348313,423.7439,6.0824138,2229.4209,0.0030592712,-76.962866,-0.1816259,8.0567225,423.7439,6.4668966,2229.4209,0.34571319,169.23307,0.39937583,0.35933715,423.7439,0.53234838,2229.4209,0.031847183,10.313499,0.024338992,3.5204712,423.7439,16.837517,2229.4209,0.90026832,-364.95126,-0.86125432,0.0010717612,423.7439,0.0037146017,2229.4209,2.015442e-09,40.131616,0.094707242,1.7706222,423.7439,16.387586,2229.4209,0.62506766,9286.5042,295000.56,1.1511453,352.76429,1,8
