SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.21415244,-0.16909044,3.4065715,1.2664965,50.33531,-0.36047927,0.18523741,3.0097067,0.18143952,3.4065715,16.587933,50.33531,-14.947679,0.15469683,0.029205602,0.22046058,3.4065715,0.13247539,50.33531,0.10361627,0.082520828,,,,,,,,-0.00030895277,-0.32363521,0.95292158,0.00095463274,0.037480909,0.0020934724,2.3227461e-09,-2.6801532e-05,-0.028075228,0.1365736,0.00095463274,0.13882923,0.0020934724,0.61406275,-1.6886937,-0.26061839,12.223418,6.4795647,-11.25341,-8.2394251,1.1865709e-06,-5.3366584,-0.040985905,3.4065715,130.20716,50.33531,278.20693,0.74977568,-12.758801,-0.054180688,0.95292158,235.48614,0.037480909,346.78066,0.33020144,-93.8685,-0.40396917,12.223418,232.3655,-11.25341,344.77979,1.0640438e-14,14.775924,0.11263899,0.95292158,131.17948,0.037480909,222.7392,0.042431151,-71.131655,-0.54884347,12.223418,129.60281,-11.25341,220.77326,5.550222e-28,-47.331176,-0.36081233,0.1365736,131.17948,0.13882923,222.7392,1.9888787e-11,-51.544944,-0.42599843,11.505402,120.99797,-12.757274,203.36151,3.5430187e-12,-56.237541,-0.43392224,0.00094723339,129.60281,0.0020965129,220.77326,5.9586232e-17,-44.71879,-0.34504492,6.4795647,129.60281,-8.2394251,220.77326,6.9638287e-11,5241.2823,268165.7,1.2318429,344.77979,1,daily
-0.19065707,-0.1242249,3.3928163,1.5347734,50.465869,-0.21749419,0.34015602,2.8996502,0.14508464,3.3733258,19.985922,50.496145,-14.982673,0.26054072,0.029704251,0.1280128,3.3928163,0.23204126,50.465869,0.11334792,0.32551856,,,,,,,,-0.0001588784,-0.15406673,2.118211,0.0010312311,0.052657685,0.0021162976,0.0057492107,-5.7658988e-05,-0.055912772,0.28702981,0.0010312311,0.14126255,0.0021162976,0.31873335,-1.6490566,-0.24051144,15.020289,6.8564582,-11.342329,-8.151015,8.8122352e-06,-15.338147,-0.10994473,3.3541091,139.50779,50.525492,262.81978,0.39100903,-9.4009172,-0.030025152,2.118211,313.10141,0.052657685,349.9576,0.59256338,-90.449314,-0.29314182,15.020289,308.55139,-11.342329,345.31962,4.8251479e-08,17.853211,0.12196041,2.118211,146.3853,0.052657685,215.51009,0.029160828,-70.340566,-0.48633148,15.020289,144.63503,-11.342329,214.39767,3.1230763e-21,-23.304789,-0.1592017,0.28702981,146.3853,0.14126255,215.51009,0.004304058,-51.560444,-0.3736253,15.667367,138.00041,-13.341411,199.94797,2.2900025e-09,-62.328082,-0.43101183,0.0010251019,144.60875,0.0021049947,214.80298,1.3793681e-16,-47.210418,-0.32646999,6.8669135,144.60875,-8.1801433,214.80298,9.2648933e-10,5262.4868,268215.92,1.2322979,344.38864,1,0
-0.30336716,-0.14561096,3.3539903,2.0834088,50.538842,-0.1054378,0.26695581,3.0173413,0.16056022,3.3539903,18.792583,50.538842,-14.642925,0.22038647,0.03996772,0.16042032,3.3539903,0.24914375,50.538842,0.13587163,0.22079411,,,,,,,,-0.00019401386,-0.18735754,2.1277932,0.0010355273,0.066551768,0.0021214815,0.00080124963,-8.6795806e-05,-0.083817977,0.2685068,0.0010355273,0.12638972,0.0021214815,0.13647085,-1.9891433,-0.28906812,15.883396,6.8812269,-11.440756,-8.1376979,8.6046559e-08,-9.2871415,-0.065783567,3.3142013,141.17722,50.597105,266.42137,0.61146055,-29.37828,-0.10600563,2.1277932,277.13886,0.066551768,340.30644,0.059398007,-96.425363,-0.35321055,15.883396,272.99684,-11.440756,336.40723,3.6840007e-11,25.723912,0.17762476,2.1277932,144.82166,0.066551768,214.43751,0.0014967514,-68.231198,-0.47815421,15.883396,142.69706,-11.440756,213.05507,2.5924553e-20,-17.905552,-0.12363864,0.2685068,144.82166,0.12638972,214.43751,0.02773043,-45.371758,-0.33305381,15.602208,136.22951,-13.298747,199.46591,1.2615254e-07,-62.220831,-0.43593891,0.0010335052,142.72833,0.0021011147,214.32072,6.3234102e-17,-47.490036,-0.33273028,6.9535141,142.72833,-8.2504476,214.32072,4.4701169e-10,5252.7868,268145.32,1.2333158,333.76758,1,1
-0.25109434,-0.15587811,3.3522262,1.6108377,50.542525,-0.25376032,0.23029089,1.7034917,0.079552468,3.3522262,21.413437,50.542525,-15.281997,0.54223424,0.029125164,0.14960932,3.3522262,0.19467479,50.542525,0.096922722,0.24981306,,,,,,,,-0.00021992455,-0.21244082,2.2492793,0.0010352274,0.13337878,0.0021082583,0.00013502718,-5.7414547e-05,-0.05546081,0.27431093,0.0010352274,0.14428253,0.0021082583,0.32419581,-1.8545434,-0.26753065,15.798679,6.9320783,-11.032579,-8.218006,7.5477376e-07,5.87132,0.038089982,3.3325069,154.14342,50.571597,273.3682,0.76881613,-26.132219,-0.095716143,2.2492793,273.01788,0.13337878,337.31107,0.088370574,-98.389277,-0.36564396,15.798679,269.08493,-11.032579,333.55492,6.1212405e-12,7.4689987,0.051573471,2.2492793,144.82249,0.13337878,215.45582,0.35931285,-70.891627,-0.49635412,15.798679,142.8247,-11.032579,214.37385,4.7205652e-22,-27.673508,-0.1910857,0.27431093,144.82249,0.14428253,215.45582,0.00061311064,-49.59378,-0.36635463,15.644227,135.37096,-13.07606,199.73448,4.5488867e-09,-58.999445,-0.41321426,0.0010316956,142.78172,0.0020932991,215.16377,3.3181972e-15,-44.951419,-0.31482614,6.9887662,142.78172,-8.2973308,215.16377,4.0451682e-09,5233.2478,268101.18,1.2335345,331.80391,1,2
-0.44534839,-0.21601601,3.4035323,2.0616453,50.483975,-0.57399499,0.097380068,0.14754061,0.0069220152,3.4035323,21.31469,50.483975,-14.711262,0.95813794,0.053703326,0.18670621,3.4035323,0.28763545,50.483975,0.1368976,0.15317905,,,,,,,,-0.00022960714,-0.22269769,1.8957433,0.0010310261,-0.15560289,0.0021072967,6.5150884e-05,-4.0530932e-05,-0.039311256,0.29553636,0.0010310261,0.14775153,0.0021072967,0.48623343,-1.6445848,-0.2370034,15.634215,6.9390768,-11.351233,-8.2193818,1.3539804e-05,-0.032226915,-0.00023420417,3.3636467,137.6018,50.544008,270.29597,0.99855855,-33.510131,-0.1210862,1.8957433,276.74608,-0.15560289,341.68227,0.031407671,-95.910168,-0.351093,15.634215,273.17596,-11.351233,337.96752,5.2438201e-11,-2.0243104,-0.01464433,1.8957433,138.23169,-0.15560289,215.70395,0.79539948,-66.693163,-0.48850711,15.634215,136.52445,-11.351233,214.41018,3.4005019e-21,-24.06992,-0.17412737,0.29553636,138.23169,0.14775153,215.70395,0.0018908757,-47.070912,-0.35450167,15.205515,132.78051,-13.288871,201.00316,1.7422029e-08,-56.431314,-0.41309266,0.0010305904,136.60692,0.0020876869,215.7066,3.7241496e-15,-44.64759,-0.32683257,7.015876,136.60692,-8.3338724,215.7066,9.9429852e-10,5219.2173,268068.24,1.2332625,335.28637,1,3
-0.37632207,-0.20423842,3.406098,1.8425626,50.470242,-0.50140834,0.11751394,0.65882706,0.030832169,3.406098,21.368171,50.470242,-14.64022,0.81509631,0.015699059,0.05829387,3.406098,0.26930891,50.470242,0.12276033,0.6581851,,,,,,,,-0.0001541961,-0.15014132,2.1056585,0.0010270064,-0.094075064,0.0021085203,0.0076010076,-6.0701656e-05,-0.05910543,0.30331396,0.0010270064,0.15521449,0.0021085203,0.29567119,-1.8084698,-0.25878963,15.786916,6.988185,-10.725667,-8.2055243,1.9606156e-06,9.0392542,0.06198194,3.3664172,145.8369,50.53075,273.31829,0.63224126,-22.417019,-0.077825076,2.1056585,288.04364,-0.094075064,346.59617,0.16824731,-104.07334,-0.36528752,15.786916,284.90801,-10.725667,342.83586,8.0167828e-12,4.1413436,0.029787066,2.1056585,139.03161,-0.094075064,217.19962,0.59841365,-67.42383,-0.49116851,15.786916,137.2723,-10.725667,215.97443,2.2157016e-21,-29.370441,-0.2112501,0.30331396,139.03161,0.15521449,217.19962,0.0001586489,-51.88355,-0.39728371,15.334243,130.59572,-12.64124,202.79272,1.6874325e-10,-56.971224,-0.41541339,0.0010303582,137.14345,0.0020854646,217.44513,2.5225884e-15,-45.047096,-0.328467,7.0928574,137.14345,-8.3610796,217.44513,8.1137003e-10,5213.6616,268047.72,1.2329152,339.18487,1,4
-0.22889601,-0.18069811,3.3748288,1.2667316,50.472183,-0.39042564,0.16708188,2.0638552,0.10791892,3.3748288,19.124128,50.472183,-14.37939,0.41178724,0.014633033,0.077500737,3.3748288,0.18881154,50.472183,0.095786162,0.55614562,,,,,,,,-0.00016188044,-0.15867721,2.0209973,0.0010201871,0.17930331,0.0021010264,0.004691821,-5.2762991e-05,-0.051718935,0.27887978,0.0010201871,0.1367866,0.0021010264,0.3594855,-1.409918,-0.2018224,14.856563,6.9859342,-10.64116,-8.2561591,0.0002238839,10.796348,0.070594589,3.3357657,152.9345,50.532597,276.20764,0.58559466,-21.890627,-0.074797826,2.0209973,292.66395,0.17930331,344.8964,0.18476535,-91.761026,-0.31664462,14.856563,289.79183,-10.64116,341.46357,4.0447201e-09,10.450814,0.07435718,2.0209973,140.54882,0.17930331,216.54348,0.18737322,-65.60805,-0.47310706,14.856563,138.67485,-10.64116,215.43589,8.2634232e-20,-25.927468,-0.18447304,0.27887978,140.54882,0.1367866,216.54348,0.00098565759,-49.463422,-0.3787066,15.685504,130.61146,-12.584649,201.43553,1.3308973e-09,-59.728073,-0.43061687,0.0010218188,138.70351,0.0020835399,216.69908,1.8223337e-16,-47.412205,-0.34182412,7.059254,138.70351,-8.3691126,216.69908,1.4714848e-10,5208.8496,268045.33,1.2328935,338.69194,1,5
-0.12178681,-0.095138065,3.3760607,1.280106,50.466767,-0.4694955,0.4696328,1.648868,0.10263318,3.3760607,16.065642,50.466767,-13.842298,0.43519453,0.026246168,0.14153547,3.3760607,0.1854388,50.466767,0.089820568,0.28071784,,,,,,,,-0.00024976976,-0.24446375,2.3550615,0.0010217047,0.33460551,0.0021000356,1.1060424e-05,-8.7033599e-05,-0.085184694,0.28558385,0.0010217047,0.13670208,0.0021000356,0.13078259,-1.3411866,-0.19085344,14.423897,7.0273113,-10.338043,-8.2882894,0.00049036404,9.1724747,0.064587785,3.3370812,142.01563,50.527379,275.72088,0.61796524,-32.34253,-0.11102332,2.3550615,291.31295,0.33460551,340.89744,0.048624165,-97.025181,-0.33630362,14.423897,288.50472,-10.338043,337.5732,3.6191111e-10,16.467174,0.11775195,2.3550615,139.8463,0.33460551,216.58264,0.036421255,-68.4676,-0.49530507,14.423897,138.23319,-10.338043,215.25605,7.8935988e-22,-26.801186,-0.19164744,0.28558385,139.8463,0.13670208,216.58264,0.00061457197,-52.838796,-0.40215006,15.69361,131.39074,-12.925504,200.61513,1.0521606e-10,-62.066685,-0.44860207,0.001024622,138.35577,0.002082063,216.60111,6.8290527e-18,-49.042988,-0.35447013,7.1064567,138.35577,-8.4055135,216.60111,2.7068698e-11,5205.1575,268010.93,1.2332773,334.81876,1,6
-0.04991436,-0.039058021,3.3858919,1.2779542,50.457058,-0.43604103,0.76700792,2.9011178,0.18337367,3.3858919,15.820798,50.457058,-14.470562,0.16078073,0.016868898,0.13446207,3.3858919,0.1254547,50.457058,0.069604334,0.30569853,,,,,,,,-0.00016764924,-0.16497397,1.9936562,0.0010162163,0.0082192696,0.0020970507,0.0032694499,4.8229684e-05,0.047460058,0.28025456,0.0010162163,0.12971218,0.0020970507,0.40046057,-1.278203,-0.18371856,14.292218,6.9573969,-10.580294,-8.2259091,0.00079843576,6.2228017,0.046304885,3.3468926,134.38759,50.518016,271.79238,0.72080978,-6.4119109,-0.022022181,1.9936562,291.15694,0.0082192696,340.79909,0.69655816,-100.732,-0.34914766,14.292218,288.5083,-10.580294,337.51992,6.8003307e-11,19.700638,0.13973122,1.9936562,140.98952,0.0082192696,220.43258,0.012908561,-74.874768,-0.53824056,14.292218,139.11023,-10.580294,218.7703,3.5131197e-26,-31.302114,-0.22201731,0.28025456,140.98952,0.12971218,220.43258,6.8678325e-05,-55.785747,-0.42145896,15.094514,132.36341,-12.82738,204.06597,1.1488833e-11,-60.291217,-0.43341805,0.001016777,139.10638,0.0020821212,220.00677,1.1066644e-16,-46.077164,-0.33123689,7.0315413,139.10638,-8.3391021,220.00677,5.732953e-10,5205.3031,268073.85,1.2331852,334.74687,1,7
-0.045498063,-0.040505511,3.3963969,1.1232561,50.423373,-0.46328723,0.76067324,3.4720593,0.20509233,3.3765786,16.92925,50.455333,-14.431899,0.11595491,-0.0067726161,-0.027226377,3.3963969,0.24875202,50.423373,0.11888011,0.83781191,,,,,,,,-0.00015282172,-0.14922745,1.9132165,0.0010240859,0.32302106,0.0020939873,0.0078814554,-6.7172669e-05,-0.065592807,0.2973735,0.0010240859,0.14620684,0.0020939873,0.24497766,-1.403894,-0.19729668,14.371232,7.1156494,-10.41572,-8.3149909,0.00030445329,2.1531057,0.016287996,3.3378377,132.18972,50.516395,268.34463,0.90000895,-25.677795,-0.089328968,1.9132165,287.45205,0.32302106,339.58605,0.11300646,-89.874934,-0.31526628,14.371232,285.07627,-10.41572,335.42477,4.5106203e-09,7.4346912,0.052392681,1.9132165,141.90324,0.32302106,220.11425,0.35325222,-67.622308,-0.48284262,14.371232,140.05041,-10.41572,217.93846,9.7964487e-21,-22.446331,-0.15818054,0.2973735,141.90324,0.14620684,220.11425,0.0048248441,-55.112645,-0.41464215,14.51921,132.91617,-12.583253,203.48648,1.9745025e-11,-64.433931,-0.4599353,0.0010226867,140.09347,0.0020790939,219.21019,6.9025395e-19,-50.508738,-0.36053599,7.1855439,140.09347,-8.4283728,219.21019,1.0892496e-11,5197.7347,267976.95,1.2336626,332.66684,1,8
