SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.1240517,0.19874805,6.7430959,5.6556616,41.290753,3.628079,0.10688851,-0.085127426,-0.0060837319,6.057699,13.992633,40.102283,-10.189337,0.96320386,0.036947096,0.29833927,6.057699,0.12384255,40.102283,0.18861271,0.020595795,,,,,,,,-0.00026714823,-0.2403417,5.6556616,0.0011115351,3.628079,0.0035453132,0.050103555,-0.00017116909,-0.15690284,0.12384255,0.0010909241,0.18861271,0.0034446694,0.2312169,-1.9030334,-0.48195603,13.992633,3.9485622,-10.189337,-1.3043323,9.6570856e-05,-1.9407425,-0.013983506,6.4665082,138.78798,42.8511,86.403785,0.89592467,172.42073,0.59163927,5.6556616,291.42882,3.628079,465.8449,1.3468433e-07,-62.077757,-0.20859817,13.992633,297.59493,-10.189337,472.62885,0.10971959,85.088273,0.56508531,5.6556616,150.57598,3.628079,91.993836,6.301302e-07,47.67849,0.30449809,13.992633,156.58059,-10.189337,100.95303,0.018006286,14.528942,0.092788908,0.12384255,156.58059,0.18861271,100.95303,0.48072072,,,,,,,,-79.494001,-0.57277294,0.0010473458,138.78798,0.0036764537,86.403785,3.6591995e-09,-60.739643,-0.43764339,3.6965044,138.78798,-0.43810278,86.403785,1.607225e-05,9191.1342,274136.18,1.2318408,488.26473,1,daily
0.28916004,0.037917019,6.7309605,7.6261281,41.340866,2.5693763,0.76064568,-5.7022148,-0.2603126,6.0791353,21.905258,40.16455,-18.919096,0.044565466,0.061834002,0.18118827,6.0791353,0.34126935,40.16455,0.17807749,0.16591421,,,,,,,,-0.0002051234,-0.16722996,7.6261281,0.0012265948,2.5693763,0.0035442121,0.17617609,2.2873554e-05,0.019248254,0.34126935,0.0011883444,0.17807749,0.0034164273,0.88394238,-0.62041134,-0.13841076,21.905258,4.4823925,-18.919096,-1.5057083,0.29158159,1.9221854,0.012823021,6.4121321,149.90113,42.857222,79.497602,0.90451935,124.25181,0.38377892,7.6261281,323.75882,2.5693763,435.43444,0.001346083,-76.679873,-0.22937745,21.905258,334.29561,-18.919096,448.70001,0.077906745,62.058933,0.38682623,7.6261281,160.43103,2.5693763,85.361681,0.001222416,15.999053,0.095887015,21.905258,166.85318,-18.919096,95.248933,0.46612696,15.016064,0.089995672,0.34126935,166.85318,0.17807749,95.248933,0.49408329,,,,,,,,-71.062168,-0.47406024,0.0011557585,149.90113,0.0036678305,79.497602,2.3613885e-06,-46.849849,-0.31253832,4.1870639,149.90113,-0.57626667,79.497602,0.0027081021,9169.5763,273977.31,1.2355677,455.5695,1,0
-0.10469113,-0.016961212,6.6901493,6.1723851,41.193508,2.2212664,0.89247711,-6.0883694,-0.28620133,6.0799451,21.273029,40.148983,-18.907316,0.026632064,0.038282535,0.16519359,6.0799451,0.23174347,40.148983,0.12069304,0.20718155,,,,,,,,-0.00016605669,-0.13528506,6.1723851,0.0012274577,2.2212664,0.0035535404,0.27878622,1.73986e-05,0.01469292,0.23174347,0.0011841486,0.12069304,0.0034156449,0.91128115,-0.65630244,-0.14397947,21.273029,4.5583057,-18.907316,-1.603675,0.27240975,-0.36975038,-0.0027177954,6.4505806,136.04791,42.880256,71.984058,0.97971764,108.84792,0.34501308,6.1723851,315.48926,2.2212664,425.52727,0.004553703,-80.247436,-0.24971719,21.273029,321.35328,-18.907316,437.54379,0.054327417,68.741084,0.47827725,6.1723851,143.72644,2.2212664,75.971526,4.8729441e-05,28.305992,0.19035338,21.273029,148.70234,-18.907316,83.568678,0.14516844,31.85397,0.21421297,0.23174347,148.70234,0.12069304,83.568678,0.10027508,,,,,,,,-62.812057,-0.46169072,0.0011420452,136.04791,0.0036595602,71.984058,4.6435633e-06,-40.693069,-0.29910837,4.237834,136.04791,-0.66139444,71.984058,0.0041859561,9148.9005,273900.39,1.2363867,446.6033,1,1
2.2229831,0.23324284,6.6737749,9.5307667,41.168523,3.4455137,0.059462892,-3.5101421,-0.1701117,6.0830121,20.634337,40.135117,-15.930894,0.19378769,0.013716994,0.072306069,6.0830121,0.18970737,40.135117,0.10280116,0.58299309,,,,,,,,6.0507187e-05,0.049538127,9.5307667,0.0012214266,3.4455137,0.0035285263,0.69284078,0.00013190527,0.11200654,0.18970737,0.0011776568,0.10280116,0.0033919324,0.39419537,-0.30344857,-0.066144597,20.634337,4.5876547,-15.930894,-1.6717083,0.61557859,0.86705061,0.0059189794,6.4679831,146.48651,42.874222,75.817547,0.95584535,149.12825,0.4868019,9.5307667,306.34278,3.4455137,423.766,3.4032612e-05,-41.35057,-0.13325446,20.634337,310.31285,-15.930894,435.70458,0.31010251,55.346416,0.35229155,9.5307667,157.10401,3.4455137,81.76614,0.0037200855,21.083266,0.12965108,20.634337,162.61543,-15.930894,89.942754,0.32348472,-20.210553,-0.12428435,0.18970737,162.61543,0.10280116,89.942754,0.34408429,,,,,,,,-70.45653,-0.48097624,0.0011346447,146.48651,0.0036381265,75.817547,1.5991927e-06,-46.504047,-0.31746301,4.2534216,146.48651,-0.72787222,75.817547,0.0022967958,9095.3163,273840.47,1.2367968,441.87714,1,2
2.2047102,0.27757787,6.6574539,7.9426728,41.153886,3.3180498,0.024038768,-2.0615868,-0.11735091,6.0867604,17.567711,40.13205,-15.732015,0.37187572,0.045097859,0.133399,6.0867604,0.33806745,40.13205,0.16771415,0.30957324,,,,,,,,4.0782306e-05,0.033266144,7.9426728,0.0012259403,3.3180498,0.0035194681,0.79088225,-0.00018227767,-0.15417241,0.33806745,0.0011822976,0.16771415,0.0033836058,0.23953874,-0.65418993,-0.14024228,17.567711,4.6647127,-15.732015,-1.7684833,0.285181,1.176947,0.0085366563,6.4380636,137.86979,42.842139,72.043893,0.93635241,143.80518,0.48466738,7.9426728,296.70901,3.3180498,421.25499,3.7266572e-05,-32.37031,-0.10858864,17.567711,298.10034,-15.732015,431.45123,0.4088743,42.572378,0.29283355,7.9426728,145.38081,3.3180498,75.903563,0.01702818,31.790239,0.21127644,17.567711,150.46751,-15.732015,83.49392,0.10513255,63.323014,0.42084179,0.33806745,150.46751,0.16771415,83.49392,0.00081336433,,,,,,,,-65.301684,-0.47364752,0.0011414686,137.86979,0.0036299857,72.043893,2.4163086e-06,-43.414406,-0.31489426,4.3254577,137.86979,-0.80059444,72.043893,0.0025037321,9074.9643,273777.76,1.2373861,434.77548,1,3
2.3780425,0.23949322,6.7248998,9.9294774,41.191924,3.8256167,0.052774116,-3.378764,-0.21268499,6.101629,15.886237,40.138317,-15.507328,0.10278038,0.066710305,0.22340462,6.101629,0.29860754,40.138317,0.17433269,0.086190893,,,,,,,,-7.4877245e-05,-0.061939095,9.9294774,0.001208885,3.8256167,0.0034990466,0.62126661,-0.00018760079,-0.16146908,0.29860754,0.0011618373,0.17433269,0.0033643389,0.21775099,-0.3212407,-0.069796568,15.886237,4.6025286,-15.507328,-1.8379917,0.59617023,1.859519,0.01382627,6.4700469,134.49173,42.857489,69.264764,0.8970885,122.72826,0.41786937,9.9294774,293.70007,3.8256167,423.53214,0.00048100879,-51.88723,-0.17695732,15.886237,293.21889,-15.507328,430.91531,0.17619204,57.082508,0.401339,9.9294774,142.23016,3.8256167,73.377261,0.0008384005,18.010683,0.12230862,15.886237,147.25605,-15.507328,80.714987,0.35186878,35.871313,0.24359824,0.29860754,147.25605,0.17433269,80.714987,0.060713993,,,,,,,,-60.563235,-0.45031197,0.001132824,134.49173,0.0036141869,69.264764,8.4545879e-06,-37.441434,-0.2783921,4.2941252,134.49173,-0.86764444,69.264764,0.0078866574,9035.4672,273721.68,1.2370008,438.74874,1,4
1.3558685,0.17190908,6.8784246,7.8871257,41.245864,3.2151926,0.16752161,-0.93939961,-0.054063523,6.0900902,17.375849,40.121517,-14.946393,0.68161143,0.040825141,0.16370487,6.0900902,0.24938257,40.121517,0.14099249,0.21136189,,,,,,,,-7.4341882e-05,-0.062087793,7.8871257,0.0011973671,3.2151926,0.0034784722,0.62042761,3.0187851e-05,0.026223619,0.24938257,0.0011511703,0.14099249,0.0033458894,0.84235001,0.48002692,0.10486809,17.375849,4.5774354,-14.946393,-1.922525,0.42520753,5.0500218,0.040124119,6.5691618,125.86,42.888706,67.283716,0.70730265,140.15074,0.47921783,7.8871257,292.45727,3.2151926,424.18363,4.6858939e-05,6.2312421,0.02137063,17.375849,291.57972,-14.946393,430.63166,0.87124882,58.747561,0.43970823,7.8871257,133.60578,3.2151926,70.880634,0.00022073762,15.706204,0.11363481,17.375849,138.21648,-14.946393,77.968697,0.3873131,16.245184,0.11753435,0.24938257,138.21648,0.14099249,77.968697,0.37112343,,,,,,,,-57.737325,-0.45874244,0.0011228267,125.86,0.0035991546,67.283716,5.4347327e-06,-37.52381,-0.29813928,4.2678089,125.86,-0.93113889,67.283716,0.0043162743,8997.8864,273664.89,1.2371866,437.04486,1,5
0.43591461,0.058917038,6.8505829,7.398787,41.220515,2.1813225,0.63842107,-1.0104448,-0.053536067,6.0788297,18.874095,40.104925,-14.701904,0.68455395,0.017312936,0.062308154,6.0788297,0.27785988,40.104925,0.16832184,0.63625305,,,,,,,,-0.0003030554,-0.25137864,7.398787,0.0012055734,2.1813225,0.0034890444,0.041749318,0.00013263178,0.11376992,0.27785988,0.0011657895,0.16832184,0.0033602712,0.38674525,0.16212041,0.035522975,18.874095,4.5638186,-14.701904,-1.941425,0.78757838,7.2641801,0.057947952,6.5743568,125.35698,42.8915,62.202777,0.58746433,109.10892,0.3614185,7.398787,301.8908,2.1813225,430.36817,0.0028677675,-12.077188,-0.040152305,18.874095,300.78444,-14.701904,432.04193,0.76067182,69.27911,0.52623313,7.398787,131.65099,2.1813225,64.017057,5.6771508e-06,11.192791,0.081822257,18.874095,136.79396,-14.701904,69.58044,0.5342684,-4.0942228,-0.029929851,0.27785988,136.79396,0.16832184,69.58044,0.82041632,,,,,,,,-59.702399,-0.47625908,0.0011315359,125.35698,0.00360752,62.202777,2.0881027e-06,-40.814706,-0.32558783,4.2569215,125.35698,-0.94574444,62.202777,0.0017396781,9018.7999,273654.64,1.2369117,440.20657,1,6
0.4078426,0.071683885,6.8167151,5.6894601,41.193682,2.7181247,0.56734076,-1.9153642,-0.088039433,6.076658,21.755754,40.092242,-16.531846,0.50355566,0.029730429,0.19747883,6.076658,0.15054996,40.092242,0.082511872,0.13042606,,,,,,,,-0.00011808175,-0.096770521,5.6894601,0.0012202244,2.7181247,0.003487872,0.43954424,3.0565797e-05,0.025699771,0.15054996,0.0011893412,0.082511872,0.003362845,0.84546021,-0.45586233,-0.098798395,21.755754,4.6140661,-16.531846,-1.958025,0.45263417,6.5003829,0.048920083,6.5545097,132.8776,42.869194,63.142132,0.64703606,191.40532,0.5721913,5.6894601,334.51282,2.7181247,448.37089,5.1897575e-07,-99.177248,-0.30070873,21.755754,329.81167,-16.531846,446.61639,0.019564387,61.063526,0.43701173,5.6894601,139.72972,2.7181247,65.496411,0.00024371837,17.407736,0.12013836,21.755754,144.8974,-16.531846,69.466442,0.36054377,11.111008,0.0766819,0.15054996,144.8974,0.082511872,69.466442,0.56033832,,,,,,,,-63.01261,-0.47421546,0.0011601622,132.8776,0.0036159238,63.142132,2.3410406e-06,-42.734343,-0.32160683,4.321706,132.8776,-0.93293889,63.142132,0.0019952502,9039.8094,273663.88,1.2354992,458.0398,1,7
0.55550927,0.081183917,6.8131287,6.8426024,41.185038,2.8145697,0.5169781,-0.25792824,-0.011358662,6.1157712,22.707625,40.100433,-13.294235,0.93135852,0.039165052,0.14270909,6.1157712,0.2744398,40.100433,0.13821282,0.2767076,,,,,,,,-0.00025036325,-0.20434548,6.8426024,0.0012251959,2.8145697,0.0034768842,0.099803162,7.0594858e-05,0.059003054,0.2744398,0.0011964611,0.13821282,0.0033509894,0.6542889,-0.51587882,-0.11195457,22.707625,4.60793,-13.294235,-1.9515917,0.39441623,0.36599984,0.0025689618,6.5525771,142.46994,42.857139,68.743768,0.98082814,187.92658,0.52701979,6.8426024,356.58353,2.8145697,462.081,5.4652254e-06,-97.185986,-0.27564286,22.707625,352.57937,-13.294235,462.36795,0.033032217,86.099625,0.56437237,6.8426024,152.55819,2.8145697,72.39781,7.9992735e-07,3.9657093,0.025009768,22.707625,158.56642,-13.294235,77.809475,0.84956048,-6.6481956,-0.041926884,0.2744398,158.56642,0.13821282,77.809475,0.75043002,,,,,,,,-71.136509,-0.49930888,0.0011622936,142.46994,0.0036060554,68.743768,5.4560703e-07,-48.405008,-0.33975592,4.2981504,142.46994,-0.93126111,68.743768,0.0010521901,9015.1384,273649.18,1.2346567,471.17865,1,8
