SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.42344455,0.12437724,4.486502,3.4045178,27.181097,2.0416503,0.17590063,-0.33356668,-0.020193133,4.486502,16.518817,27.181097,-24.481107,0.82671885,-0.023759981,-0.24634641,4.486502,0.096449473,27.181097,0.096205537,0.0066822963,,,,,,,,-0.0001489934,-0.13764358,3.4045178,0.001082458,2.0416503,0.0029064038,0.13382873,-0.00030479123,-0.28157326,0.096449473,0.001082458,0.096205537,0.0029064038,0.0018364361,-1.4439829,-0.28929037,16.518817,4.9914655,-24.481107,-3.378837,0.0013522281,-23.610118,-0.18983975,4.5603707,124.36867,27.264219,145.7402,0.037017915,135.64176,0.46757348,3.4045178,290.0972,2.0416503,434.23134,7.275097e-08,-63.74394,-0.21973304,16.518817,290.0972,-24.481107,434.23134,0.015891006,64.719414,0.51872296,3.4045178,124.76682,2.0416503,146.24252,1.2863378e-09,-25.470284,-0.20414309,16.518817,124.76682,-24.481107,146.24252,0.025320623,23.147064,0.1855226,0.096449473,124.76682,0.096205537,146.24252,0.042491587,,,,,,,,-51.674162,-0.41549179,0.0010791164,124.36867,0.0029018211,145.7402,2.1475265e-06,-25.540669,-0.20536256,4.9757755,124.36867,-3.3994148,145.7402,0.023841038,7254.5528,270536.45,1.2532589,435.02234,1,daily
0.60104641,0.14323749,4.4532004,4.1961529,27.137765,1.0213114,0.12339676,-0.8608175,-0.040641876,4.4532004,21.180555,27.137765,-28.819365,0.66351233,-0.019976852,-0.11851226,4.4532004,0.16856359,27.137765,0.059456483,0.20314833,,,,,,,,-9.7440367e-05,-0.084675309,4.1961529,0.001150753,1.0213114,0.0029214815,0.36403604,-4.5828153e-06,-0.0039824491,0.16856359,0.001150753,0.059456483,0.0029214815,0.96600889,-0.8587844,-0.1601295,21.180555,5.3630617,-28.819365,-3.3615342,0.084596693,-18.955486,-0.13080543,4.6051274,144.91361,27.361764,143.74588,0.15269506,138.7809,0.41089553,4.1961529,337.75227,1.0213114,427.40322,4.1902651e-06,-55.023995,-0.16291229,21.180555,337.75227,-28.819365,427.40322,0.079260945,65.204817,0.44316098,4.1961529,147.13574,1.0213114,144.91443,5.6244075e-07,-21.147789,-0.14372979,21.180555,147.13574,-28.819365,144.91443,0.12209919,3.2215012,0.021894757,0.16856359,147.13574,0.059456483,144.91443,0.81474172,,,,,,,,-53.355703,-0.36818974,0.001146767,144.91361,0.0028883626,143.74588,3.2531952e-05,-21.223256,-0.14645454,5.3548204,144.91361,-3.524281,143.74588,0.10894935,7220.9065,270396.65,1.2553552,420.80828,1,0
0.75086921,0.16083113,4.4674628,4.6686809,27.133658,1.4330533,0.083225086,-1.0910095,-0.046365239,4.4674628,23.530763,27.133658,-28.313591,0.61961277,-0.015832489,-0.10065957,4.4674628,0.15728746,27.133658,0.057824618,0.28020671,,,,,,,,-0.00010102254,-0.088395023,4.6686809,0.0011428533,1.4330533,0.002913207,0.3432672,-8.8544491e-05,-0.077476692,0.15728746,0.0011428533,0.057824618,0.002913207,0.40637493,-0.58773387,-0.11019665,23.530763,5.3335003,-28.313591,-3.4036624,0.23690136,-18.762864,-0.13027154,4.6159366,144.02888,27.356178,143.01372,0.15439172,137.48539,0.41674853,4.6686809,329.90011,1.4330533,426.16264,2.9556114e-06,-54.89299,-0.16639276,23.530763,329.90011,-28.313591,426.16264,0.072971298,68.551093,0.46855046,4.6686809,146.30461,1.4330533,143.92803,9.9480012e-08,-23.596536,-0.16128361,23.530763,146.30461,-28.313591,143.92803,0.082349998,-24.629534,-0.16834421,0.15728746,146.30461,0.057824618,143.92803,0.069625073,,,,,,,,-55.828764,-0.387622,0.0011402299,144.02888,0.0028788437,143.01372,1.1201447e-05,-24.513261,-0.17019684,5.3334056,144.02888,-3.5735909,143.01372,0.061989146,7197.1092,270352.63,1.2554288,419.74857,1,1
0.50459834,0.12087346,4.4716372,4.1746,27.124632,1.1085574,0.19422748,-1.5158219,-0.071805331,4.4716372,21.110158,27.124632,-27.392402,0.44168665,-0.015160719,-0.068108803,4.4716372,0.22259559,27.124632,0.078282911,0.46560572,,,,,,,,-3.3644792e-05,-0.029456753,4.1746,0.0011421758,1.1085574,0.0029038723,0.75255591,2.1401579e-05,0.018737552,0.22259559,0.0011421758,0.078282911,0.0029038723,0.8410746,-0.71479198,-0.13369995,21.110158,5.3462396,-27.392402,-3.4769701,0.15068399,-19.383466,-0.14022525,4.6177449,138.23093,27.346091,140.76971,0.12501568,156.77281,0.48553651,4.1746,322.88572,1.1085574,422.79479,2.8793588e-08,-45.641948,-0.14135635,21.110158,322.88572,-27.392402,422.79479,0.128453,67.747035,0.48225249,4.1746,140.48043,1.1085574,141.29725,3.6786299e-08,-7.4420901,-0.052975993,21.110158,140.48043,-27.392402,141.29725,0.5705313,23.055263,0.16411726,0.22259559,140.48043,0.078282911,141.29725,0.077035926,,,,,,,,-56.971893,-0.41215012,0.0011415142,138.23093,0.0028676526,140.76971,2.6387273e-06,-28.412079,-0.20554068,5.3594026,138.23093,-3.6582231,140.76971,0.023716925,7169.1314,270272.57,1.255751,417.15727,1,2
0.39805695,0.088651557,4.4676813,4.4901292,27.113645,1.0363746,0.34186294,-0.37760441,-0.015275,4.4676813,24.72042,27.113645,-27.583614,0.8701563,-0.03891284,-0.27234915,4.4676813,0.14287851,27.113645,0.06380998,0.002971744,,,,,,,,1.1147717e-05,0.0096971174,4.4901292,0.0011495908,1.0363746,0.0028931384,0.91735455,-9.1292505e-05,-0.079413043,0.14287851,0.0011495908,0.06380998,0.0028931384,0.39471045,-1.1034525,-0.20427319,24.72042,5.401847,-27.583614,-3.548312,0.027162206,-22.389235,-0.16142669,4.612018,138.69599,27.33407,141.2098,0.076913513,131.01976,0.40532898,4.4901292,323.243,1.0363746,420.97491,5.804879e-06,-69.209943,-0.21411119,24.72042,323.243,-27.583614,420.97491,0.020446525,62.53388,0.44361138,4.4901292,140.96545,1.0363746,141.69558,5.460773e-07,-33.006668,-0.23414721,24.72042,140.96545,-27.583614,141.69558,0.01105604,-6.1767644,-0.043817576,0.14287851,140.96545,0.06380998,141.69558,0.63900086,,,,,,,,-58.664839,-0.42297428,0.0011484092,138.69599,0.0028573578,141.2098,1.3431179e-06,-30.173921,-0.21755438,5.412387,138.69599,-3.7268058,141.2098,0.016528005,7143.3944,270211.94,1.25592,415.701,1,3
0.42273285,0.086482458,4.4623256,4.8880762,27.103077,1.3844315,0.35385086,-0.81772019,-0.033546419,4.4623256,24.375782,27.103077,-28.194586,0.71954632,-0.022582336,-0.13398988,4.4623256,0.16853763,27.103077,0.065867168,0.14979261,,,,,,,,5.5693221e-05,0.0478232,4.8880762,0.0011645649,1.3844315,0.0028918097,0.60863268,-0.00018760695,-0.16109617,0.16853763,0.0011645649,0.065867168,0.0028918097,0.082711603,-0.86395605,-0.15805549,24.375782,5.4661566,-28.194586,-3.5988376,0.088756955,-23.117002,-0.16616574,4.6048015,139.12015,27.32236,138.76282,0.068525502,168.60546,0.51693404,4.8880762,326.16436,1.3844315,424.68505,2.418332e-09,-83.454853,-0.25586748,24.375782,326.16436,-28.194586,424.68505,0.0053623009,73.379258,0.51896715,4.8880762,141.3948,1.3844315,139.04941,2.0418949e-09,-46.899942,-0.33169495,24.375782,141.3948,-28.194586,139.04941,0.00025889345,-0.72815999,-0.0051498356,0.16853763,141.3948,0.065867168,139.04941,0.9560538,,,,,,,,-57.501046,-0.41331932,0.0011632315,139.12015,0.0028557806,138.76282,2.4558644e-06,-29.485594,-0.21194337,5.4750606,139.12015,-3.777219,138.76282,0.019608513,7139.4515,270168.7,1.2556305,419.26513,1,4
0.27916413,0.077179436,4.4572286,3.6170792,27.09259,1.1129744,0.40818339,0.38307022,0.015765761,4.4572286,24.297605,27.09259,-28.27141,0.86602294,-0.013048748,-0.10345875,4.4572286,0.12612512,27.09259,0.053256635,0.26697999,,,,,,,,-2.1030737e-05,-0.01793691,3.6170792,0.0011724838,1.1129744,0.0028955489,0.84778162,-0.00013855497,-0.11817218,0.12612512,0.0011724838,0.053256635,0.0028955489,0.20445708,-1.0748357,-0.19521756,24.297605,5.505835,-28.27141,-3.6410427,0.034921468,-25.452618,-0.19063132,4.5981755,133.5175,27.310872,134.00895,0.036222113,149.66125,0.45468775,3.6170792,329.15171,1.1129744,426.92968,2.6064704e-07,-96.557585,-0.29335283,24.297605,329.15171,-28.27141,426.92968,0.0013275544,57.731844,0.42560138,3.6170792,135.64769,1.1129744,133.89665,1.7213897e-06,-40.861863,-0.30123523,24.297605,135.64769,-28.27141,133.89665,0.00096552511,24.316323,0.17926086,0.12612512,135.64769,0.053256635,133.89665,0.053127911,,,,,,,,-57.418975,-0.43004831,0.0011718361,133.5175,0.0028588397,134.00895,8.5283287e-07,-32.283557,-0.2417927,5.5176677,133.5175,-3.8213512,134.00895,0.0075427834,7147.0992,270132.01,1.2554493,421.35062,1,5
0.40850135,0.11642993,4.4583166,3.5085595,27.053009,0.9923961,0.21326178,0.60545442,0.027687568,4.4583166,21.867374,27.053009,-26.490445,0.76796993,-0.037614978,-0.23085938,4.4583166,0.16293458,27.053009,0.06510977,0.012656859,,,,,,,,6.2486491e-05,0.054033889,3.5085595,0.0011564315,0.9923961,0.0028960172,0.56456014,-0.00025858159,-0.22360303,0.16293458,0.0011564315,0.06510977,0.0028960172,0.015829155,-1.0074569,-0.18236345,21.867374,5.5244456,-26.490445,-3.6510259,0.050076917,-26.570226,-0.20006263,4.5914688,132.80954,27.301888,132.14643,0.027797034,129.60246,0.39115347,3.5085595,331.33404,0.9923961,427.53138,1.4151002e-05,-101.87118,-0.30745764,21.867374,331.33404,-26.490445,427.53138,0.00078717798,53.942854,0.39826411,3.5085595,135.44493,0.9923961,131.74809,9.5296341e-06,-44.834096,-0.33101347,21.867374,135.44493,-26.490445,131.74809,0.00028409616,18.823309,0.1389739,0.16293458,135.44493,0.06510977,131.74809,0.13679975,,,,,,,,-56.447393,-0.42502513,0.0011577117,132.80954,0.0028486741,132.14643,1.1786603e-06,-31.459489,-0.23687672,5.5458411,132.80954,-3.8844298,132.14643,0.0088982722,7121.6852,270070.47,1.2554563,422.67244,1,6
0.4755729,0.12187213,4.5057062,3.9022285,27.151559,0.9315195,0.18861621,2.5343219,0.13383781,4.5057062,18.935769,27.151559,-26.624358,0.14849066,-0.030248838,-0.14708326,4.5057062,0.20565793,27.151559,0.072004147,0.1119742,,,,,,,,-1.8979804e-05,-0.016485641,3.9022285,0.001151293,0.9315195,0.0028631218,0.85936261,-0.00014233149,-0.12362751,0.20565793,0.001151293,0.072004147,0.0028631218,0.18228077,-0.35402331,-0.063932251,18.935769,5.537476,-26.624358,-3.8067881,0.49158302,-26.910429,-0.20378277,4.5831282,132.05449,27.290116,132.3834,0.024966376,136.41479,0.41423866,3.9022285,329.31448,0.9315195,425.56525,3.1144436e-06,-69.5629,-0.21123548,18.935769,329.31448,-26.624358,425.56525,0.021667196,54.667987,0.40929012,3.9022285,133.56781,0.9315195,132.7356,4.1857435e-06,-38.070619,-0.28502839,18.935769,133.56781,-26.624358,132.7356,0.0017576009,24.403295,0.18270341,0.20565793,133.56781,0.072004147,132.7356,0.047676471,,,,,,,,-57.7045,-0.43697494,0.0011503769,132.05449,0.0028386253,132.3834,5.4118384e-07,-33.053874,-0.25030482,5.547222,132.05449,-3.931062,132.3834,0.0056229443,7096.5633,270019.18,1.2558006,420.89543,1,7
0.72489912,0.18156472,4.4623634,3.9925108,27.077739,1.1712879,0.050094898,3.1213653,0.15853254,4.4623634,19.689115,27.077739,-26.103799,0.087785922,-0.0055132054,-0.033025779,4.4623634,0.16693642,27.077739,0.064623348,0.72372154,,,,,,,,-2.6546222e-05,-0.023067042,3.9925108,0.0011508291,1.1712879,0.0028676386,0.8050149,-8.0340721e-05,-0.069811168,0.16693642,0.0011508291,0.064623348,0.0028676386,0.45450304,0.030608215,0.0055184996,19.689115,5.546474,-26.103799,-3.766547,0.95291128,-26.876051,-0.20413052,4.5732615,131.66111,27.27914,134.94698,0.024714842,128.04094,0.38582797,3.9925108,331.86017,1.1712879,424.42673,1.7381349e-05,-58.289625,-0.17564513,19.689115,331.86017,-26.103799,424.42673,0.058192056,48.813474,0.36513716,3.9925108,133.68531,1.1712879,134.84995,5.1693415e-05,-37.268619,-0.27877871,19.689115,133.68531,-26.103799,134.84995,0.0023372196,15.943014,0.11925778,0.16693642,133.68531,0.064623348,134.84995,0.20030043,,,,,,,,-56.618185,-0.43002968,0.0011506247,131.66111,0.0028324025,134.94698,8.5386522e-07,-32.096123,-0.24377831,5.5588407,131.66111,-3.9410868,134.94698,0.0070493447,7081.0063,269996.7,1.2561558,419.37932,1,8
