SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.89830757,-0.17563108,0.28909403,5.1147413,5.8235685,2.6881658,0.34462745,1.7681283,0.15128045,0.28909403,11.687751,5.8235685,-12.537334,0.41657837,-0.0355708,-0.25297936,0.28909403,0.14060752,5.8235685,0.16024137,0.16972027,-10.495664,-0.60974172,0.28909403,17.213294,5.8235685,-25.377978,0.00027114608,0.00077165673,0.64098988,5.1147413,0.0012038517,2.6881658,0.0014869513,0.00010231868,0.0007805766,0.64839932,0.14060752,0.0012038517,0.16024137,0.0014869513,7.9919768e-05,-1.0947528,-0.11278631,11.687751,9.7064334,-12.537334,-12.729349,0.5457809,116.67063,0.56066215,0.28909403,208.09436,5.8235685,482.25221,0.0010356059,63.815963,0.27681827,5.1147413,230.53378,2.6881658,375.0636,0.13166752,26.657379,0.11563329,11.687751,230.53378,-12.537334,375.0636,0.53562315,-69.324747,-0.33314093,5.1147413,208.09436,2.6881658,482.25221,0.067050184,20.983093,0.10083451,11.687751,208.09436,-12.537334,482.25221,0.58938295,-112.55548,-0.54088677,0.14060752,208.09436,0.16024137,482.25221,0.0016796298,-157.966,-0.75910758,17.213294,208.09436,-25.377978,482.25221,7.4145199e-07,-154.07412,-0.7404051,0.0012038517,208.09436,0.0014869513,482.25221,1.9202056e-06,-150.19314,-0.721755,9.7064334,208.09436,-12.729349,482.25221,4.5951012e-06,3717.3784,261606.1,1.2721264,375.0636,1,daily
-2.7038819,-0.17252562,0.28559719,15.67235,5.8356333,4.9710132,0.3619418,-4.137943,-0.25872525,0.28559719,15.99358,5.8356333,-13.454663,0.16742647,-0.085664545,-0.32203911,0.28559719,0.26600665,5.8356333,0.15420522,0.082651225,-10.527895,-0.45152734,0.26212038,23.316186,5.8131034,-22.655966,0.013943545,0.0007398821,0.56057433,15.67235,0.0013198644,4.9710132,0.0015169403,0.0012728221,0.00055281722,0.41884396,0.26600665,0.0013198644,0.15420522,0.0015169403,0.021239934,1.8324665,0.18554426,15.99358,9.8761691,-13.454663,-12.559867,0.32627546,154.01198,0.63019079,0.28559719,244.38945,5.8356333,473.85231,0.0001897576,32.185988,0.059098631,15.67235,544.61478,4.9710132,440.70658,0.75639869,-3.481042,-0.0063917508,15.99358,544.61478,-13.454663,440.70658,0.97325853,-67.839482,-0.27758761,15.67235,244.38945,4.9710132,473.85231,0.1374985,-50.100296,-0.20500188,15.99358,244.38945,-13.454663,473.85231,0.27715906,-35.210399,-0.14407496,0.26600665,244.38945,0.15420522,473.85231,0.44750824,-137.83676,-0.55731804,23.316186,247.32154,-22.655966,469.13533,0.0016855583,-176.75216,-0.72323972,0.0013198644,244.38945,0.0015169403,473.85231,6.3258609e-06,-164.14196,-0.67164095,9.8761691,244.38945,-12.559867,473.85231,4.8310119e-05,3792.3509,261783.66,1.2666849,440.70658,1,0
0.083232378,0.0098737333,0.33044728,8.4296766,5.8333333,2.1695767,0.95870094,-5.382159,-0.27500989,0.33044728,19.570783,5.8333333,-16.580917,0.14134028,-0.061236882,-0.25849829,0.33044728,0.23689473,5.8333333,0.10231965,0.16781264,-10.861659,-0.46208493,0.33044728,23.505764,5.8333333,-22.164533,0.010147901,0.0006654067,0.4886133,8.4296766,0.0013618268,2.1695767,0.0015372617,0.006149721,-0.0002721602,-0.19984935,0.23689473,0.0013618268,0.10231965,0.0015372617,0.28967449,-0.77960643,-0.076813754,19.570783,10.149308,-16.580917,-12.460967,0.6866202,139.48025,0.57605537,0.33044728,242.12993,5.8333333,484.23203,0.00086451713,26.638707,0.087086038,8.4296766,305.88953,2.1695767,372.11817,0.64724494,50.671416,0.16565267,19.570783,305.88953,-16.580917,372.11817,0.3816663,-19.633847,-0.081088065,8.4296766,242.12993,2.1695767,484.23203,0.67013102,-43.709712,-0.18052172,19.570783,242.12993,-16.580917,484.23203,0.33977073,-32.831857,-0.13559603,0.23689473,242.12993,0.10231965,484.23203,0.47495387,-147.32471,-0.60845312,23.505764,242.12993,-22.164533,484.23203,0.00036053967,-153.76417,-0.63504819,0.0013618268,242.12993,0.0015372617,484.23203,0.00016331298,-155.50707,-0.64224638,10.149308,242.12993,-12.460967,484.23203,0.00013012939,3843.1543,261889.56,1.2718013,372.11817,1,1
-1.3913898,-0.21141469,0.3139661,6.5813298,5.7933333,2.056416,0.26207638,2.9946333,0.17143101,0.3139661,17.468446,5.7933333,-13.726513,0.36504206,-0.08045473,-0.30632929,0.3139661,0.26264132,5.7933333,0.13121967,0.099682672,-7.4021865,-0.37195632,0.3139661,19.900687,5.7933333,-20.944667,0.042970413,0.00067357253,0.5252049,6.5813298,0.0012824948,2.056416,0.0015013943,0.0028811672,0.00018800968,0.14659685,0.26264132,0.0012824948,0.13121967,0.0015013943,0.43951294,-2.1063321,-0.2108427,17.468446,9.990064,-13.726513,-12.664867,0.26339946,123.53081,0.54510117,0.3139661,226.61996,5.7933333,473.3825,0.0018396566,12.256892,0.039999531,6.5813298,306.42589,2.056416,374.56588,0.83377627,51.538972,0.16819392,17.468446,306.42589,-13.726513,374.56588,0.37430178,-57.521873,-0.25382527,6.5813298,226.61996,2.056416,473.3825,0.17590472,14.744255,0.065061589,17.468446,226.61996,-13.726513,473.3825,0.73266921,-68.52321,-0.30237059,0.26264132,226.61996,0.13121967,473.3825,0.10436446,-132.99394,-0.5868589,19.900687,226.61996,-20.944667,473.3825,0.00065243364,-153.44384,-0.67709764,0.0012824948,226.61996,0.0015013943,473.3825,3.9708986e-05,-154.39364,-0.68128879,9.990064,226.61996,-12.664867,473.3825,3.4062861e-05,3753.4859,261691.68,1.2718636,374.56588,1,2
0.54261004,0.11310209,0.33371817,4.7975245,5.7966667,2.3579922,0.55179178,-0.24340957,-0.014535551,0.33371817,16.74581,5.7966667,-10.086857,0.93923182,-0.021551106,-0.081829083,0.33371817,0.26336732,5.7966667,0.14018962,0.66728732,-6.4435653,-0.32508282,0.33371817,19.821304,5.7966667,-22.6191,0.079626413,0.00057322979,0.46913505,4.7975245,0.0012218865,2.3579922,0.0014750009,0.0089164857,0.00021120583,0.17285225,0.26336732,0.0012218865,0.14018962,0.0014750009,0.36101973,0.058686711,0.0060219362,16.74581,9.7454887,-10.086857,-12.7006,0.97480524,134.89577,0.54365411,0.33371817,248.12794,5.7966667,482.60633,0.001902434,37.159994,0.12521647,4.7975245,296.76602,2.3579922,377.99456,0.50970376,7.9706824,0.026858474,16.74581,296.76602,-10.086857,377.99456,0.88796147,-41.770926,-0.16834431,4.7975245,248.12794,2.3579922,482.60633,0.37386858,1.3607378,0.0054840167,16.74581,248.12794,-10.086857,482.60633,0.97705519,-77.163627,-0.31098323,0.26336732,248.12794,0.14018962,482.60633,0.094383171,-154.90144,-0.62428051,19.821304,248.12794,-22.6191,482.60633,0.00022700948,-174.57153,-0.70355449,0.0012218865,248.12794,0.0014750009,482.60633,1.4442719e-05,-170.01088,-0.68517426,9.7454887,248.12794,-12.7006,482.60633,2.9482836e-05,3687.5023,261666.07,1.2713429,377.99456,1,3
-0.50778998,-0.10457386,0.28639656,4.8558023,5.7733333,1.4489953,0.58235496,5.514264,0.22546293,0.28639656,24.45752,5.7733333,-11.060587,0.23094123,-0.052789119,-0.15455635,0.28639656,0.34155256,5.7733333,0.16760457,0.41479388,-7.1787063,-0.34125384,0.28639656,21.036266,5.7733333,-24.993433,0.064958392,0.00068608947,0.57889077,4.8558023,0.0011851795,1.4489953,0.0014519846,0.00080371326,0.00026082873,0.2200753,0.34155256,0.0011851795,0.16760457,0.0014519846,0.2425737,-0.82729689,-0.085109822,24.45752,9.7203457,-11.060587,-12.751367,0.65475196,157.12955,0.69079115,0.28639656,227.46318,5.7733333,485.02931,2.3835761e-05,60.618497,0.20943618,4.8558023,289.43661,1.4489953,374.29048,0.26667139,45.137453,0.15594936,24.45752,289.43661,-11.060587,374.29048,0.41054922,-76.851917,-0.3378653,4.8558023,227.46318,1.4489953,485.02931,0.067842496,30.184529,0.13270073,24.45752,227.46318,-11.060587,485.02931,0.48452157,-52.143028,-0.22923722,0.34155256,227.46318,0.16760457,485.02931,0.22301902,-122.78969,-0.53982228,21.036266,227.46318,-24.993433,485.02931,0.0020777219,-156.90693,-0.68981243,0.0011851795,227.46318,0.0014519846,485.02931,2.4743696e-05,-149.50093,-0.65725332,9.7203457,227.46318,-12.751367,485.02931,7.9510506e-05,3629.9615,261624.43,1.2716036,374.29048,1,4
-0.70907821,-0.11052628,0.31675437,6.4154714,5.8366667,1.8560255,0.5609439,-4.5396523,-0.25929526,0.31675437,17.507656,5.8366667,-9.9348933,0.16645938,0.014357559,0.055082627,0.31675437,0.26065495,5.8366667,0.11692012,0.77250506,-5.1493389,-0.23629108,0.31675437,21.792354,5.8366667,-26.669733,0.20871053,0.00041318449,0.34156468,6.4154714,0.0012096815,1.8560255,0.0014530428,0.064698683,0.00025978753,0.21475696,0.26065495,0.0012096815,0.11692012,0.0014530428,0.25443222,0.57899706,0.058989567,17.507656,9.8152451,-9.9348933,-12.691433,0.75683481,118.71789,0.5284958,0.31675437,224.63355,5.8366667,501.96298,0.0026800957,58.24593,0.20825788,6.4154714,279.68176,1.8560255,376.55562,0.26943268,-38.092065,-0.13619789,17.507656,279.68176,-9.9348933,376.55562,0.47297739,-25.484607,-0.11344969,6.4154714,224.63355,1.8560255,501.96298,0.55056203,8.1322736,0.0362024,17.507656,224.63355,-9.9348933,501.96298,0.84936782,-8.8598065,-0.039441155,0.26065495,224.63355,0.11692012,501.96298,0.83606531,-126.79055,-0.56443284,21.792354,224.63355,-26.669733,501.96298,0.0011578728,-160.03561,-0.71242972,0.0012096815,224.63355,0.0014530428,501.96298,1.003734e-05,-145.28117,-0.64674743,9.8152451,224.63355,-12.691433,501.96298,0.00011256587,3632.6069,261692.26,1.271109,376.55562,1,5
-1.632881,-0.2625875,0.30416647,6.2184265,5.83,1.9922423,0.16095136,0.42640296,0.017276228,0.30416647,24.681485,5.83,-10.110297,0.92780124,-0.0026523428,-0.0088958201,0.30416647,0.29815608,5.83,0.13763633,0.96278831,-6.9035279,-0.29208286,0.30416647,23.635512,5.83,-27.6113,0.11730161,0.0005691134,0.46206673,6.2184265,0.0012316693,1.9922423,0.0014661877,0.010151256,0.00048414321,0.39307891,0.29815608,0.0012316693,0.13763633,0.0014661877,0.031646614,-1.5724841,-0.15894732,24.681485,9.893115,-10.110297,-12.655333,0.40149727,106.72059,0.48450121,0.30416647,220.26898,5.83,499.5462,0.0066632087,49.195378,0.17983972,6.2184265,273.55124,1.9922423,376.50917,0.34162894,-49.934515,-0.18254172,24.681485,273.55124,-10.110297,376.50917,0.33430299,-50.597452,-0.22970757,6.2184265,220.26898,1.9922423,499.5462,0.2220448,49.47639,0.22461806,24.681485,220.26898,-10.110297,499.5462,0.23274016,-66.722927,-0.30291568,0.29815608,220.26898,0.13763633,499.5462,0.10371018,-108.5811,-0.49294775,23.635512,220.26898,-27.6113,499.5462,0.0056452965,-156.28485,-0.7095182,0.0012316693,220.26898,0.0014661877,499.5462,1.1326467e-05,-141.22054,-0.64112769,9.893115,220.26898,-12.655333,499.5462,0.00013485607,3665.4694,261738.92,1.2708596,376.50917,1,6
-1.1651102,-0.20043316,0.33603503,5.8129614,5.8133333,1.698824,0.28823863,2.221513,0.09744184,0.33603503,22.798348,5.8133333,-16.718073,0.60847287,0.095382194,0.3153737,0.33603503,0.30244181,5.8133333,0.13431893,0.089581971,-3.0986042,-0.12688667,0.33603503,24.42025,5.8133333,-30.267133,0.50402855,0.0008154631,0.65172986,5.8129614,0.0012512287,1.698824,0.0014829035,9.5612548e-05,0.00010771663,0.086088683,0.30244181,0.0012512287,0.13431893,0.0014829035,0.6510294,0.41281544,0.041349513,22.798348,9.9835621,-16.718073,-12.6873,0.82824759,86.791571,0.3667734,0.33603503,236.6354,5.8133333,495.70057,0.046192395,50.387161,0.18856348,5.8129614,267.2159,1.698824,382.67031,0.31832385,44.850031,0.16784193,22.798348,267.2159,-16.718073,382.67031,0.37531687,-82.713662,-0.34954053,5.8129614,236.6354,1.698824,495.70057,0.058307576,0.71512341,0.0030220475,22.798348,236.6354,-16.718073,495.70057,0.98735478,-22.304734,-0.09425781,0.30244181,236.6354,0.13431893,495.70057,0.62028986,-123.88208,-0.52351456,24.42025,236.6354,-30.267133,495.70057,0.0029894078,-168.36027,-0.7114754,0.0012512287,236.6354,0.0014829035,495.70057,1.0444516e-05,-158.99972,-0.67191857,9.9835621,236.6354,-12.6873,495.70057,4.783525e-05,3707.2588,261711.92,1.2703097,382.67031,1,7
-2.6843691,-0.38220944,0.28777785,7.0232934,5.8166667,1.5871657,0.037125952,-1.1987535,-0.0613108,0.28777785,19.552077,5.8166667,-14.762501,0.74756875,0.019925749,0.062672101,0.28777785,0.31793652,5.8166667,0.18421621,0.74215053,-5.079339,-0.21391606,0.28777785,23.744542,5.8166667,-32.390367,0.25634149,0.00065358417,0.52447303,7.0232934,0.0012461731,1.5871657,0.0014848333,0.0029276104,0.00041367704,0.33195793,0.31793652,0.0012461731,0.18421621,0.0014848333,0.073107379,-1.0420196,-0.10209339,19.552077,10.206533,-14.762501,-12.621967,0.59138238,78.08577,0.37970816,0.28777785,205.6468,5.8166667,495.51748,0.038489023,-2.7856505,-0.010545771,7.0232934,264.14859,1.5871657,391.78353,0.95589261,53.694426,0.20327357,19.552077,264.14859,-14.762501,391.78353,0.28131765,-30.12178,-0.14647337,7.0232934,205.6468,1.5871657,495.51748,0.43990259,-2.4388991,-0.01185965,19.552077,205.6468,-14.762501,495.51748,0.95040367,-44.49108,-0.21634705,0.31793652,205.6468,0.18421621,495.51748,0.2508475,-124.16644,-0.60378491,23.744542,205.6468,-32.390367,495.51748,0.000411339,-134.47923,-0.65393297,0.0012461731,205.6468,0.0014848333,495.51748,8.8871269e-05,-126.93038,-0.61722514,10.206533,205.6468,-12.621967,495.51748,0.00027985472,3712.0832,261774.06,1.269421,391.78353,1,8
