SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
6.8307433,0.90433563,1.6889616,7.5533277,7.0903469,9.7813511,4.1397433e-11,-1.5172461,-0.20563135,1.6889616,7.3784768,7.0903469,12.925018,0.29382806,0.052060037,0.50789397,1.6889616,0.10250178,7.0903469,0.18780212,0.0057948545,7.3268825,0.63640153,1.6889616,11.512987,7.0903469,25.446011,0.00027207588,-0.0004540202,-0.36890346,7.5533277,0.001230729,9.7813511,0.0045714056,0.053382302,-5.9479434e-05,-0.048328619,0.10250178,0.001230729,0.18780212,0.0045714056,0.80706496,0.10282418,0.041831164,7.3784768,2.458076,12.925018,5.382445,0.83261408,-0.92642789,-0.0025153066,1.6889616,368.31609,7.0903469,589.34762,0.98986481,1.4529369,0.010753357,7.5533277,135.11474,9.7813511,321.12098,0.95668931,-16.101416,-0.11916847,7.3784768,135.11474,12.925018,321.12098,0.54585072,58.641277,0.15921454,7.5533277,368.31609,9.7813511,589.34762,0.41836847,158.7538,0.43102598,7.3784768,368.31609,12.925018,589.34762,0.022025751,-64.785838,-0.17589739,0.10250178,368.31609,0.18780212,589.34762,0.37060788,135.00425,0.36654454,11.512987,368.31609,25.446011,589.34762,0.05504508,-289.15067,-0.7850612,0.001230729,368.31609,0.0045714056,589.34762,7.546659e-07,-7.3452576,-0.019942809,2.458076,368.31609,5.382445,589.34762,0.91976799,11428.514,286745.91,1.1345327,321.12098,1,daily
-1.4054895,-0.39120006,1.8394475,3.592764,7.2297192,-0.22259764,0.039540766,0.15648736,0.010309753,1.8394475,15.178575,7.2297192,-17.706954,0.95847444,0.017437641,0.040127353,1.8394475,0.43455746,7.2297192,0.26106273,0.8393425,-2.991271,-0.13006475,1.8394475,22.998322,7.2297192,-50.32582,0.50946512,-0.00027183367,-0.23420523,3.592764,0.0011606644,-0.22259764,0.0045792142,0.2303074,0.00035108691,0.30248789,0.43455746,0.0011606644,0.26106273,0.0045792142,0.11768873,-0.18878081,-0.062171355,15.178575,3.0364597,-17.706954,2.7585784,0.75330448,-31.647092,-0.13683779,1.8394475,231.2745,7.2297192,224.77122,0.4874676,-123.4417,-0.57502947,3.592764,214.67022,-0.22259764,191.69141,0.0013698654,-36.520915,-0.17012567,15.178575,214.67022,-17.706954,191.69141,0.38675789,54.913956,0.2374406,3.592764,231.2745,-0.22259764,224.77122,0.22374625,-109.97619,-0.47552235,15.178575,231.2745,-17.706954,224.77122,0.010543571,-101.08086,-0.43706011,0.43455746,231.2745,0.26106273,224.77122,0.020039227,-76.509771,-0.33081802,22.998322,231.2745,-50.32582,224.77122,0.085521512,-117.05984,-0.50615109,0.0011606644,231.2745,0.0045792142,224.77122,0.0059934152,0.6966034,0.00301202,3.0364597,231.2745,2.7585784,224.77122,0.98786349,11448.036,284048,1.1508557,191.69141,1,0
0.21471257,0.071440415,1.8234954,3.0054776,7.2163601,0.97817153,0.71790944,-1.5159302,-0.1005426,1.8234954,15.077492,7.2163601,-16.982757,0.6107112,-0.045198125,-0.13940301,1.8234954,0.32422631,7.2163601,0.14045753,0.47926423,-6.3069577,-0.26674557,1.8234954,23.644095,7.2163601,-50.242812,0.17001845,0.00055190259,0.45442145,3.0054776,0.001214517,0.97817153,0.0045317693,0.015127859,0.00020017546,0.16481899,0.32422631,0.001214517,0.14045753,0.0045317693,0.40195685,-0.2444896,-0.079171947,15.077492,3.0880837,-16.982757,2.3456862,0.68881193,-20.761966,-0.095752702,1.8234954,216.82904,7.2163601,195.50033,0.62789521,118.53187,0.51894672,3.0054776,228.40854,0.97817153,194.99504,0.0046609422,-51.433764,-0.22518319,15.077492,228.40854,-16.982757,194.99504,0.24927834,-40.887428,-0.18856989,3.0054776,216.82904,0.97817153,195.50033,0.33656022,-105.05588,-0.48451018,15.077492,216.82904,-16.982757,195.50033,0.0089795725,-35.421404,-0.16336098,0.32422631,216.82904,0.14045753,195.50033,0.40619098,-69.847546,-0.32213188,23.644095,216.82904,-50.242812,195.50033,0.094574085,-117.43756,-0.54161361,0.001214517,216.82904,0.0045317693,195.50033,0.0029138435,-23.942262,-0.11042,3.0880837,216.82904,2.3456862,195.50033,0.57591339,11329.423,283619.83,1.1515452,194.99504,1,1
0.89200616,0.35658354,1.8078086,2.5015349,7.202795,1.3907077,0.062518756,-2.4856415,-0.18563068,1.8078086,13.390251,7.202795,-16.422544,0.344283,-0.047144777,-0.31791029,1.8078086,0.14829585,7.202795,0.070309474,0.099226262,-5.3920068,-0.24263332,1.8078086,22.222862,7.202795,-50.090321,0.21348085,-7.5509312e-05,-0.062239722,2.5015349,0.0012132013,1.3907077,0.0045050378,0.75304152,0.00043763829,0.36073015,0.14829585,0.0012132013,0.070309474,0.0045050378,0.05931715,-0.016828695,-0.0053034149,13.390251,3.1731809,-16.422544,2.1375607,0.97863226,-15.222085,-0.07248863,1.8078086,209.99272,7.202795,181.26455,0.7139408,56.454802,0.23529526,2.5015349,239.93175,1.3907077,182.29894,0.22808268,-30.37668,-0.12660551,13.390251,239.93175,-16.422544,182.29894,0.52088553,84.493934,0.40236601,2.5015349,209.99272,1.3907077,181.26455,0.033778714,-125.98876,-0.59996726,13.390251,209.99272,-16.422544,181.26455,0.0007387194,-80.719386,-0.38439135,0.14829585,209.99272,0.070309474,181.26455,0.043422704,-81.914369,-0.39008194,22.222862,209.99272,-50.090321,181.26455,0.040158501,-106.91753,-0.50914874,0.0012132013,209.99272,0.0045050378,181.26455,0.0056553801,-21.620481,-0.10295824,3.1731809,209.99272,2.1375607,181.26455,0.60212018,11262.595,283415.15,1.152919,182.29894,1,2
0.97751383,0.32738928,1.8181618,2.9857845,7.2205896,1.5502466,0.09552046,-7.7610346,-0.50403804,1.8181618,15.397716,7.2205896,-17.173132,0.0073471402,-0.10647223,-0.28028155,1.8181618,0.37987598,7.2205896,0.16425384,0.156764,-9.4952962,-0.42104094,1.8181618,22.551955,7.2205896,-48.382137,0.028736029,0.00023490456,0.19049809,2.9857845,0.0012331072,1.5502466,0.0043611589,0.34121201,0.00029836308,0.24196038,0.37987598,0.0012331072,0.16425384,0.0043611589,0.22400805,0.076834335,0.024171444,15.397716,3.1787234,-17.173132,1.9310352,0.90474256,31.128393,0.14601853,1.8181618,213.18111,7.2205896,217.34094,0.46738437,48.251803,0.2501398,2.9857845,192.89934,1.5502466,149.41555,0.20825379,-72.558879,-0.37614892,15.397716,192.89934,-17.173132,149.41555,0.053145604,38.790289,0.18195931,2.9857845,213.18111,1.5502466,217.34094,0.3636855,-143.33072,-0.6723425,15.397716,213.18111,-17.173132,217.34094,0.00012233719,-41.600946,-0.19514367,0.37987598,213.18111,0.16425384,217.34094,0.32934406,-90.624023,-0.42510343,22.551955,213.18111,-48.382137,217.34094,0.027074924,-114.91799,-0.5390627,0.0012331072,213.18111,0.0043611589,217.34094,0.0037152825,-37.319841,-0.17506167,3.1787234,213.18111,1.9310352,217.34094,0.38245794,10902.897,283206.16,1.1559485,149.41555,1,3
1.5771622,0.35179491,1.8071508,4.4831867,7.2082265,0.54653988,0.071939025,-1.7784424,-0.13301295,1.8071508,13.370446,7.2082265,-18.890312,0.50835605,-0.023689699,-0.14246859,1.8071508,0.16628015,7.2082265,0.073729967,0.47839408,-11.754565,-0.50026533,1.8071508,23.496662,7.2082265,-49.655714,0.0078744844,-0.00036113753,-0.30293275,4.4831867,0.0011921376,0.54653988,0.0042468409,0.12455075,0.00025570629,0.21449394,0.16628015,0.0011921376,0.073729967,0.0042468409,0.28265639,-1.1554673,-0.34503253,13.370446,3.3488649,-18.890312,1.6208568,0.077969513,29.922644,0.13808957,1.8071508,216.69011,7.2082265,220.27916,0.49215603,99.897814,0.42760187,4.4831867,233.62342,0.54653988,153.23506,0.02609255,-52.110919,-0.2230552,13.370446,233.62342,-18.890312,153.23506,0.26341861,107.80299,0.49749844,4.4831867,216.69011,0.54653988,220.27916,0.0082811359,-105.08217,-0.48494215,13.370446,216.69011,-18.890312,220.27916,0.010354826,-54.625319,-0.25208958,0.16628015,216.69011,0.073729967,220.27916,0.20461256,-82.677651,-0.38154787,23.496662,216.69011,-49.655714,220.27916,0.049555345,-84.075651,-0.38799948,0.0011921376,216.69011,0.0042468409,220.27916,0.045518447,2.7518639,0.012699536,3.3488649,216.69011,1.6208568,220.27916,0.94987116,10617.102,282871.94,1.1566083,153.23506,1,4
1.3275471,0.42685343,1.793882,3.1100771,7.1948854,1.3777598,0.026383752,-4.5057187,-0.30078792,1.793882,14.97972,7.1948854,-16.374188,0.12737428,-0.00075123184,-0.0023218057,1.793882,0.32355499,7.1948854,0.10475298,0.99082967,-10.43643,-0.45958252,1.793882,22.708501,7.1948854,-50.028234,0.015876585,-0.0001010658,-0.084875512,3.1100771,0.0011907534,1.3777598,0.0041534252,0.67381475,-0.00028409716,-0.23858607,0.32355499,0.0011907534,0.10475298,0.0041534252,0.23073419,-0.73031217,-0.21772482,14.97972,3.35429,-16.374188,1.2819843,0.27529411,34.282097,0.13566808,1.793882,252.69095,7.1948854,216.07165,0.49985066,56.901998,0.45254182,3.1100771,125.73865,1.3777598,122.32394,0.017780675,-59.981697,-0.47703467,14.97972,125.73865,-16.374188,122.32394,0.011870711,116.88845,0.46257471,3.1100771,252.69095,1.3777598,216.07165,0.015119981,-162.38916,-0.64263939,14.97972,252.69095,-16.374188,216.07165,0.00030074084,57.955901,0.22935487,0.32355499,252.69095,0.10475298,216.07165,0.24981789,-67.29158,-0.26629992,22.708501,252.69095,-50.028234,216.07165,0.17938451,-101.85571,-0.40308413,0.0011907534,252.69095,0.0041534252,216.07165,0.037091249,20.957058,0.082935529,3.35429,252.69095,1.2819843,216.07165,0.68087921,10383.563,282493.63,1.1600898,122.32394,1,5
3.3160741,0.58306148,1.8110506,5.6873489,7.2011596,4.1311826,0.0017713282,-2.7576184,-0.24840171,1.8110506,11.101447,7.2011596,-6.3969426,0.22110221,0.069643477,0.16569978,1.8110506,0.42029914,7.2011596,0.33189358,0.4185335,-10.98326,-0.46120529,1.8110506,23.814254,7.2011596,-48.394748,0.017717317,-0.00026451933,-0.20299918,5.6873489,0.0013030562,4.1311826,0.0043228528,0.31993308,-0.00038702784,-0.29701547,0.42029914,0.0013030562,0.33189358,0.0043228528,0.14061849,-1.6011516,-0.47824593,11.101447,3.3479671,-6.3969426,2.1629231,0.013463234,81.254842,0.26970526,1.8110506,301.27273,7.2011596,267.44094,0.18271368,33.543224,0.27296052,5.6873489,122.88672,4.1311826,114.62296,0.17728388,-62.438373,-0.50809698,11.101447,122.88672,-6.3969426,114.62296,0.0080470004,87.983659,0.2920399,5.6873489,301.27273,4.1311826,267.44094,0.14771231,-116.61527,-0.38707541,11.101447,301.27273,-6.3969426,267.44094,0.050753738,66.786661,0.22168173,0.42029914,301.27273,0.33189358,267.44094,0.27642744,-105.28577,-0.34946998,23.814254,301.27273,-48.394748,267.44094,0.080122635,-160.15987,-0.53161089,0.0013030562,301.27273,0.0043228528,267.44094,0.0051913585,1.8693254,0.0062047611,3.3479671,301.27273,2.1629231,267.44094,0.97600135,10807.132,283332.18,1.1598524,114.62296,1,6
7.7524949,0.6854877,1.7432062,11.309459,7.1416783,11.563295,5.6871844e-05,-2.6428589,-0.19079091,1.7432062,13.852122,7.1416783,17.450518,0.33079463,0.1373038,0.58918851,1.7432062,0.23303883,7.1416783,0.34725467,0.00097062892,4.48423,0.27698008,1.7432062,16.189721,7.1416783,-10.167426,0.15360509,-0.0002525086,-0.17026162,11.309459,0.0014830623,11.563295,0.0045746403,0.38637289,-0.00022398624,-0.15102956,0.23303883,0.0014830623,0.34725467,0.0045746403,0.44299019,-0.43494667,-0.15206869,13.852122,2.8601987,17.450518,4.1541639,0.43982183,109.51168,0.28570251,1.7432062,383.30667,7.1416783,434.20732,0.14053821,26.059968,0.23029863,11.309459,113.15729,11.563295,111.01179,0.23839969,-18.887189,-0.16691094,13.852122,113.15729,17.450518,111.01179,0.39592544,119.05291,0.31059442,11.309459,383.30667,11.563295,434.20732,0.10769213,104.90946,0.27369589,13.852122,383.30667,17.450518,434.20732,0.15874331,157.54128,0.41100584,0.23303883,383.30667,0.34725467,434.20732,0.029800674,-7.7415006,-0.020196624,16.189721,383.30667,-10.167426,434.20732,0.91875018,-298.08432,-0.77766535,0.0014830623,383.30667,0.0045746403,434.20732,1.1194085e-06,-77.857118,-0.20311965,2.8601987,383.30667,4.1541639,434.20732,0.29989347,11436.601,285373.1,1.1560329,111.01179,1,7
12.459204,0.74548483,1.7390419,16.712888,7.1299123,20.656327,5.3132063e-06,-1.9847491,-0.075325088,1.7390419,26.349111,7.1299123,46.718882,0.70323842,0.11404967,0.56916024,1.7390419,0.20038235,7.1299123,0.29291011,0.0015730839,19.020904,0.59931717,1.7390419,31.737627,7.1299123,82.219434,0.00075118985,-0.00049052958,-0.2830116,16.712888,0.001733249,20.656327,0.0047339179,0.14448043,-0.00040408392,-0.23313668,0.20038235,0.001733249,0.29291011,0.0047339179,0.23250235,-0.08988446,-0.032701532,26.349111,2.7486315,46.718882,5.9840695,0.86879064,102.88843,0.20619076,1.7390419,498.99631,7.1299123,626.96583,0.29248778,-5.1683151,-0.041425462,16.712888,124.7618,20.656327,136.29215,0.83421518,-4.7338323,-0.037942964,26.349111,124.7618,46.718882,136.29215,0.84798487,133.23539,0.26700677,16.712888,498.99631,20.656327,626.96583,0.16958479,201.57599,0.40396288,26.349111,498.99631,46.718882,626.96583,0.033012968,78.614057,0.15754436,0.20038235,498.99631,0.29291011,626.96583,0.42333005,228.20137,0.45732076,31.737627,498.99631,82.219434,626.96583,0.014414243,-426.95499,-0.85562754,0.001733249,498.99631,0.0047339179,626.96583,6.5487236e-09,-95.658067,-0.19170095,2.7486315,498.99631,5.9840695,626.96583,0.32844971,11834.795,287230.79,1.1504454,136.29215,1,8
