SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.6786669,0.16176294,9.3226693,10.377327,21.284086,16.420075,0.0022993157,-2.1390599,-0.10939049,9.3226693,19.554349,21.284086,11.523983,0.039962224,0.012325795,0.084126079,9.3226693,0.14651574,21.284086,0.29047902,0.11461675,-1.7241664,-0.093849986,9.6359471,18.371515,21.454968,19.927132,0.092206789,0.00034533546,0.16795346,12.352308,0.0020561379,17.570293,0.003988605,0.0001450241,0.00034357635,0.16709792,0.17504153,0.0020561379,0.31351338,0.003988605,0.00015694971,-3.5447281,-0.52504679,19.149701,6.7512615,11.410179,4.9283618,2.4577385e-37,-81.544806,-0.18811249,9.3226693,433.4896,21.284086,802.91663,0.00038006589,64.324182,0.30545971,12.352308,210.58156,17.570293,447.19349,2.0703648e-12,-2.3369861,-0.011092115,19.149701,210.68896,11.410179,446.68237,0.80305496,66.441115,0.1526467,12.352308,435.26072,17.570293,788.24556,0.00056299541,-18.273834,-0.041898971,19.149701,436.14039,11.410179,786.74739,0.34596619,-188.79075,-0.43374176,0.17504153,435.26072,0.31351338,788.24556,1.1332029e-24,77.279624,0.17393019,19.224461,444.31402,23.493549,815.85232,0.00021971096,-104.6498,-0.23994522,0.0020545033,436.14039,0.0039903904,786.74739,4.3763392e-08,127.67433,0.29273676,6.7512615,436.14039,4.9283618,786.74739,1.7004149e-11,9975.9761,280991.78,1.2015265,431.61678,1,daily
0.31548693,0.040094978,9.4357084,7.86849,21.813778,4.2656494,0.45854646,-1.1174511,-0.045674612,9.4599273,24.465475,21.719134,-14.269589,0.39632856,-0.027738921,-0.082669472,9.4357084,0.33554008,21.813778,0.18063154,0.12593508,-0.75297049,-0.03652235,9.8057798,20.616704,21.956245,-42.587936,0.51637806,-0.00035537122,-0.15708786,8.8257395,0.002262245,4.6934912,0.0039462918,0.00051629901,-8.2534359e-05,-0.036483386,0.35501526,0.002262245,0.20118716,0.0039462918,0.42275145,-3.5939707,-0.50307264,23.810223,7.1440393,-14.428359,3.4159021,2.6392858e-33,-71.730799,-0.16949384,9.4924665,423.20594,21.769266,585.98049,0.0015062221,96.535237,0.3382283,8.8257395,285.41443,4.6934912,324.49435,1.9139444e-14,-72.592486,-0.25593163,23.810223,283.64015,-14.428359,326.09867,6.8825552e-09,121.81708,0.28999413,8.8257395,420.06741,4.6934912,584.331,7.4953053e-11,-186.09629,-0.44195678,23.810223,421.07349,-14.428359,572.75639,3.1539767e-25,-87.82823,-0.20908127,0.35501526,420.06741,0.20118716,584.331,3.4159263e-06,-100.90015,-0.23271226,22.928228,433.58332,-44.744098,592.19484,7.9967139e-07,-93.924246,-0.22303202,0.0023338431,421.1245,0.0040467568,570.27138,4.57509e-07,103.81738,0.24652421,7.1579442,421.1245,3.3918332,570.27138,2.2617053e-08,10116.892,279432.64,1.2155826,307.29866,1,0
1.0636332,0.12229056,9.4405991,8.6975908,21.709071,4.0613962,0.02330382,-0.91478614,-0.036332638,9.4361628,25.178082,21.653901,-13.472978,0.49994092,0.013592974,0.037281307,9.4405991,0.36460562,21.709071,0.20294206,0.49070493,-0.86437757,-0.042051342,9.7819045,20.555291,21.888667,-42.611329,0.45490636,-0.00029083297,-0.12568603,9.7134392,0.0023139642,4.5643124,0.0039572384,0.0054771544,-8.2397555e-05,-0.035608828,0.37586155,0.0023139642,0.21796488,0.0039572384,0.43301215,-3.4775514,-0.48745747,24.758108,7.1340613,-13.62408,3.035765,3.8301236e-31,-64.276884,-0.15521409,9.4681937,414.11757,21.703674,550.89249,0.0036999063,81.986957,0.29347118,9.7134392,279.3697,4.5643124,322.69916,3.9563265e-11,-53.496061,-0.19292058,24.758108,277.29577,-13.62408,323.78989,1.4277914e-05,97.64368,0.23927616,9.7134392,408.07943,4.5643124,550.15115,9.0603987e-08,-175.99621,-0.43002431,24.758108,409.27037,-13.62408,539.35362,7.0702299e-24,-93.397788,-0.22887159,0.37586155,408.07943,0.21796488,550.15115,3.2956992e-07,-98.698716,-0.23424126,23.082597,421.35495,-44.393506,559.29191,6.5423024e-07,-89.262843,-0.21827931,0.0023623043,408.93865,0.0040283015,537.31584,7.8886284e-07,96.34209,0.23559057,7.1759528,408.93865,3.0388951,537.31584,9.2594904e-08,10070.754,279090.91,1.216308,304.72406,1,1
1.0298944,0.12695024,9.4046891,8.1125832,21.720739,3.919766,0.018668126,-1.5138237,-0.064263959,9.4005671,23.556341,21.665357,-12.527097,0.23314922,0.010583396,0.029862261,9.4046891,0.35440705,21.720739,0.20096272,0.58152342,-1.338268,-0.065715132,9.7443685,20.364686,21.906095,-42.141896,0.24334605,-0.00046529445,-0.20154726,9.9022037,0.0023086122,4.330398,0.003925952,7.3804719e-06,-4.2142348e-05,-0.018254408,0.36639733,0.0023086122,0.21821644,0.003925952,0.6878033,-2.7956583,-0.39315223,28.966886,7.11088,-12.414881,2.7147976,8.0740219e-20,-53.701166,-0.13506325,9.4319588,397.60013,21.714751,529.50685,0.011788228,82.915046,0.30494883,9.9022037,271.89822,4.330398,320.64469,6.1207482e-12,-32.838286,-0.12146872,28.966886,270.34357,-12.414881,322.07865,0.0067042301,109.29186,0.27679794,9.9022037,394.84348,4.330398,527.97101,5.1477983e-10,-137.09362,-0.34603396,28.966886,396.18544,-12.414881,518.82036,1.9969697e-15,-71.545648,-0.18120003,0.36639733,394.84348,0.21821644,527.97101,5.7755054e-05,-80.266243,-0.19650578,23.165793,408.46759,-43.852674,535.66849,3.3138319e-05,-87.849676,-0.22177878,0.0023343486,396.11399,0.0039846182,515.82943,5.3238551e-07,86.859628,0.21927938,7.1337412,396.11399,2.7219592,515.82943,7.1839406e-07,9961.5456,278768.79,1.2171703,302.22874,1,2
1.3021566,0.14968303,9.3881718,8.6994269,21.663121,4.1345444,0.0055434271,-0.88420958,-0.037438259,9.3980289,23.617807,21.569328,-11.696842,0.48760997,0.035104125,0.095074839,9.3881718,0.36922623,21.663121,0.22233539,0.079125285,-1.0506422,-0.050842742,9.7433573,20.664546,21.805446,-41.864849,0.36693101,-0.0002205722,-0.098272759,9.371122,0.0022444898,4.5741554,0.0038640306,0.030301267,-0.00011146213,-0.049660344,0.38955704,0.0022444898,0.24376538,0.0038640306,0.27455293,-3.4888526,-0.49125855,23.656215,7.1018664,-12.168261,2.3832857,1.9661336e-31,-49.797937,-0.12846929,9.4289585,387.62521,21.618458,506.40052,0.016647008,87.75492,0.32877013,9.371122,266.91877,4.5741554,318.09146,1.0304551e-13,-36.105559,-0.13585354,23.656215,265.76826,-12.168261,319.90836,0.0024539473,109.39223,0.28544934,9.371122,383.22817,4.5741554,506.56567,1.4504702e-10,-137.76839,-0.3589914,23.656215,383.76514,-12.168261,499.13844,1.6762154e-16,-65.633423,-0.17126461,0.38955704,383.22817,0.24376538,506.56567,0.00014827372,-82.845801,-0.20867676,23.40997,397.00539,-43.594545,513.94596,1.017266e-05,-83.43261,-0.21724756,0.0024816472,384.04394,0.0039768969,494.41566,9.1418295e-07,73.879356,0.19237214,7.2024135,384.04394,2.436704,494.41566,1.4531226e-05,9942.2423,278482.22,1.2178871,299.93903,1,3
1.9783653,0.17139171,9.381099,11.542946,21.494399,4.4519959,0.0014413492,-1.5622011,-0.06834593,9.3698108,22.857265,21.445178,-10.589791,0.20472989,0.021536901,0.056763135,9.381099,0.37941705,21.494399,0.24039588,0.29451157,-1.3445898,-0.065276531,9.7159469,20.598365,21.673968,-41.284175,0.24651296,-0.00020226622,-0.091603105,11.606684,0.0022080717,4.8103956,0.0038362718,0.043759768,-0.00010755395,-0.048709447,0.39064098,0.0022080717,0.25460699,0.0038362718,0.28435749,-3.3345999,-0.46917276,23.528706,7.1074032,-11.27937,2.0825608,1.625229e-28,-43.774997,-0.11865199,9.4004931,368.93604,21.494075,477.69747,0.027099668,85.005402,0.32899505,11.606684,258.37897,4.8103956,322.52472,1.0486197e-13,-40.797999,-0.15867531,23.528706,257.11624,-11.27937,324.50759,0.00038897974,94.265551,0.25898464,11.606684,363.98124,4.8103956,479.68193,7.1285673e-09,-130.21495,-0.35685835,23.528706,364.89256,-11.27937,470.82836,2.4228031e-16,-70.863536,-0.19469008,0.39064098,363.98124,0.25460699,479.68193,1.5750195e-05,-77.845733,-0.20535552,23.279022,379.07787,-43.274311,488.48189,1.4462895e-05,-77.547466,-0.21249339,0.0022615263,364.94061,0.0039111092,467.98847,1.6310912e-06,67.274054,0.18434247,7.1167964,364.94061,2.0785055,467.98847,3.3641724e-05,9777.773,278129.42,1.2181784,306.07589,1,4
0.98250482,0.13269587,9.3668422,7.4041856,21.491943,3.893477,0.013774723,-1.5393323,-0.066708956,9.3691568,23.075347,21.442741,-9.8662315,0.21580984,0.0040150654,0.010606709,9.3668422,0.37854015,21.491943,0.24308253,0.84459872,-0.86386176,-0.042038898,9.7141473,20.549106,21.675688,-40.629353,0.45575544,-0.00020101464,-0.091473925,8.3071405,0.0021975075,4.3366531,0.0038015307,0.044058993,-0.00023844379,-0.10850647,0.38307126,0.0021975075,0.24887201,0.0038015307,0.016825318,-3.2517728,-0.45930172,23.903207,7.0798186,-11.206533,1.7930783,2.6386481e-27,-45.436655,-0.12880846,9.3986416,352.74589,21.490968,456.62098,0.016359848,93.123587,0.35972916,8.3071405,258.87139,4.3366531,322.62403,2.9075909e-16,-47.446801,-0.1844468,23.903207,257.2384,-11.206533,325.68193,3.516323e-05,114.71964,0.32775616,8.3071405,350.01521,4.3366531,455.71952,1.3117442e-13,-110.93943,-0.31615029,23.903207,350.90726,-11.206533,447.88192,5.343858e-13,-44.603053,-0.12743176,0.38307126,350.01521,0.24887201,455.71952,0.0049446363,-79.676344,-0.21891112,22.981012,363.96663,-42.742562,466.90205,3.658506e-06,-73.408424,-0.20931348,0.0022369978,350.71045,0.003874617,446.09556,2.3460398e-06,60.192672,0.17163068,7.0939222,350.71045,1.7826974,446.09556,0.00011486764,9686.5425,277828.91,1.2187369,307.74399,1,5
1.3142768,0.16246501,9.3489344,8.0895989,21.399496,4.1662192,0.0025820997,-0.40457724,-0.01906156,9.347888,21.224771,21.315079,-10.021652,0.72385265,0.030799551,0.074870984,9.3489344,0.41136832,21.399496,0.27305601,0.16713214,-0.4411855,-0.020802241,9.6935301,21.208556,21.541084,-39.508938,0.71216486,-0.00012234987,-0.059522402,8.7515552,0.0020555264,4.4639746,0.0037098038,0.19251082,-0.00022351864,-0.10874034,0.41092757,0.0020555264,0.2755075,0.0037098038,0.017045031,-3.3608557,-0.47806827,20.943423,7.0300748,-10.479378,1.5194555,1.2426902e-29,-39.267325,-0.11659967,9.3767644,336.77047,21.362892,444.01647,0.029886895,88.728622,0.34409318,8.7515552,257.86219,4.4639746,324.38869,8.1455013e-15,-39.061481,-0.15219158,20.943423,256.65994,-10.479378,326.26901,0.00068054706,98.658748,0.29425525,8.7515552,335.28289,4.4639746,444.64259,4.6095242e-11,-120.17293,-0.3585288,20.943423,335.18347,-10.479378,436.22855,1.8435566e-16,-50.513547,-0.15065949,0.41092757,335.28289,0.2755075,444.64259,0.0009178701,-78.610304,-0.22619698,23.596585,347.5303,-41.8217,453.29095,1.6842032e-06,-70.858601,-0.21130421,0.0022191045,335.33928,0.0038269853,432.87828,1.8698001e-06,49.762127,0.14839337,7.0312388,335.33928,1.5191241,432.87828,0.00087372456,9567.4633,277542.38,1.2194493,311.33105,1,6
0.14982919,0.0090907855,9.3447982,16.481435,21.410516,4.816816,0.86697188,-0.99667104,-0.043797363,9.3527156,22.756417,21.357824,-8.6767865,0.41808272,-0.004564328,-0.011463598,9.3447982,0.39815841,21.410516,0.26959026,0.83270789,0.1607955,0.0077424784,9.681912,20.767962,21.594427,-36.815873,0.89095971,0.00018111343,0.090699217,14.750726,0.0019968577,4.9658243,0.0036547134,0.047727622,-0.00024586542,-0.12312616,0.38778875,0.0019968577,0.26114863,0.0036547134,0.00709586,-3.2173339,-0.46243083,22.71886,6.9574381,-9.5806358,1.3369942,1.5236995e-27,-32.466762,-0.1006863,9.3661334,322.45462,21.405069,431.49068,0.061365487,58.166679,0.2246295,14.750726,258.94497,4.9658243,325.14569,7.1740072e-07,-26.270814,-0.10201569,22.71886,257.51737,-9.5806358,326.57297,0.023354398,55.586328,0.17286766,14.750726,321.55422,4.9658243,434.65164,0.00014813058,-92.184936,-0.28606367,22.71886,322.25322,-9.5806358,423.35238,9.3049599e-11,-23.866681,-0.074222881,0.38778875,321.55422,0.26114863,434.65164,0.1054402,-66.103079,-0.19841224,22.615338,333.16029,-38.616321,439.24839,2.8864313e-05,-73.719386,-0.2288876,0.0021882406,322.0768,0.0038035807,420.52968,2.3545796e-07,36.756979,0.11412489,7.0137354,322.0768,1.3264406,420.52968,0.010732069,9508.9516,277320.57,1.2203454,313.0654,1,7
1.3895878,0.13136232,9.3330732,10.578283,21.217195,8.7606443,0.01551198,-0.9263638,-0.037993591,9.3537866,24.382107,21.124846,3.2052073,0.48181119,0.040183698,0.094654677,9.3330732,0.42452945,21.217195,0.40796245,0.081815221,0.033677156,0.0011441622,9.6850209,29.433901,21.34595,-10.242778,0.98381143,-0.0001117084,-0.055094967,10.523877,0.0020275608,9.5521875,0.0036333293,0.22973275,1.0193149e-05,0.0050272962,0.43490137,0.0020275608,0.45488096,0.0036333293,0.91279766,-3.6139428,-0.53905144,24.455005,6.7042632,2.42141,1.582067,9.8809078e-39,-34.631504,-0.10289044,9.366224,336.58622,21.17204,488.15065,0.055517319,93.924994,0.36094559,10.523877,260.21926,9.5521875,324.73585,4.003691e-16,35.613079,0.13743754,24.455005,259.12192,2.42141,329.12059,0.0021569413,88.858106,0.26551219,10.523877,334.66676,9.5521875,484.03124,3.8690263e-09,-31.211598,-0.093004104,24.455005,335.59377,2.42141,470.71909,0.03839963,-66.972508,-0.200117,0.43490137,334.66676,0.45488096,484.03124,1.063821e-05,-28.84586,-0.083406662,29.545455,345.84599,-2.8399947,488.54251,0.08087634,-88.982149,-0.26533713,0.0021178555,335.35506,0.0037352796,468.58416,1.6741845e-09,34.05639,0.10155323,6.733905,335.35506,1.5519904,468.58416,0.023147604,9338.199,277514.99,1.2201652,316.7262,1,8
