SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.92674639,-0.26533786,0.12949408,3.4927032,18.763652,7.9083677,0.14912335,-6.746622,-0.46841221,0.12949408,14.403173,18.763652,20.230626,0.0078681687,-0.0043264342,-0.06530431,0.12949408,0.066250362,18.763652,0.11977909,0.72706671,-6.9217742,-0.51949015,0.12949408,13.324168,18.763652,19.321547,0.0027449752,-9.851973e-05,-0.097446292,3.4927032,0.0010110157,7.9083677,0.0034528809,0.60201437,0.00036729912,0.36329715,0.066250362,0.0010110157,0.11977909,0.0034528809,0.04455201,-2.1273047,-0.54420127,14.403173,3.9090404,20.230626,8.3705558,0.001552042,42.465094,0.07371258,0.12949408,576.0902,18.763652,1395.6574,0.69351793,-3.7619661,-0.013921599,3.4927032,270.22515,7.9083677,570.20662,0.94074755,-51.703838,-0.19133614,14.403173,270.22515,20.230626,570.20662,0.30249314,67.127222,0.11652207,3.4927032,576.0902,7.9083677,1395.6574,0.53247063,-216.68287,-0.37612664,14.403173,576.0902,20.230626,1395.6574,0.037033126,-290.72507,-0.50465201,0.066250362,576.0902,0.11977909,1395.6574,0.0037896045,-126.04359,-0.21879142,13.324168,576.0902,19.321547,1395.6574,0.23700235,-361.56788,-0.62762374,0.0010110157,576.0902,0.0034528809,1395.6574,0.00015724629,314.21549,0.5454276,3.9090404,576.0902,8.3705558,1395.6574,0.0015070238,8632.2023,285576.48,1.1679869,570.20662,1,daily
-0.83914977,-0.19566235,0.13101515,4.2887647,18.768855,0.95582077,0.29148368,-6.5958393,-0.2421328,0.13101515,27.240586,18.768855,-36.102566,0.18939635,-0.035975339,-0.211031,0.13101515,0.17047419,18.768855,0.070272898,0.25446227,-6.8923857,-0.37190686,0.13101515,18.532559,18.768855,-47.181226,0.039383875,-0.00012149722,-0.078854467,4.2887647,0.0015407779,0.95582077,0.0033668664,0.67327422,0.00052733209,0.34225055,0.17047419,0.0015407779,0.070272898,0.0033668664,0.059480131,-2.6201739,-0.53477019,27.240586,4.899626,-36.102566,5.5715806,0.0019391911,63.638765,0.058253224,0.13101515,1092.4505,18.768855,1200.1995,0.75559071,-38.31167,-0.11693817,4.2887647,327.62331,0.95582077,370.37369,0.5309978,-124.10867,-0.37881512,27.240586,327.62331,-36.102566,370.37369,0.035595375,108.037,0.098894179,4.2887647,1092.4505,0.95582077,1200.1995,0.59660244,-272.16714,-0.24913452,27.240586,1092.4505,-36.102566,1200.1995,0.17652135,5.6001437,0.0051262218,0.17047419,1092.4505,0.070272898,1200.1995,0.97816557,-153.76648,-0.14075373,18.532559,1092.4505,-47.181226,1200.1995,0.45009866,-784.88259,-0.71846055,0.0015407779,1092.4505,0.0033668664,1200.1995,5.3226162e-06,190.72484,0.17458442,4.899626,1092.4505,5.5715806,1200.1995,0.34755575,8417.166,282745.2,1.1907838,370.37369,1,0
-0.59613415,-0.15006279,0.13087397,3.9725647,18.758226,1.2237972,0.42038277,-7.9355246,-0.31297962,0.13087397,25.354765,18.758226,-40.071553,0.086462995,0.0047800557,0.049378789,0.13087397,0.096803825,18.758226,0.033078199,0.79194001,-6.4212946,-0.33100447,0.13087397,19.39942,18.758226,-47.714984,0.068929791,-0.0010574087,-0.67707784,3.9725647,0.001561724,1.2237972,0.003326147,2.8774941e-05,0.0011195668,0.71687878,0.096803825,0.001561724,0.033078199,0.003326147,5.7076645e-06,-2.2002484,-0.44658709,25.354765,4.9268069,-40.071553,5.1471613,0.011786646,100.39868,0.11144504,0.13087397,900.88067,18.758226,1102.7173,0.55059757,-47.560928,-0.15736381,3.9725647,302.23548,1.2237972,346.69406,0.39786232,-127.64958,-0.42235139,25.354765,302.23548,-40.071553,346.69406,0.01793902,523.54305,0.58114584,3.9725647,900.88067,1.2237972,1102.7173,0.00060738124,-403.94335,-0.44838719,25.354765,900.88067,-40.071553,1102.7173,0.011411135,-273.60316,-0.30370633,0.096803825,900.88067,0.033078199,1102.7173,0.09671887,-113.03666,-0.12547351,19.39942,900.88067,-47.714984,1102.7173,0.50122475,-586.39781,-0.65091619,0.001561724,900.88067,0.003326147,1102.7173,7.33762e-05,340.63416,0.37811241,4.9268069,900.88067,5.1471613,1102.7173,0.035966747,8315.3675,282322.65,1.1934921,346.69406,1,1
-0.75077705,-0.17224777,0.13094768,4.3587041,18.747887,1.6221047,0.35414697,-9.3650487,-0.37051158,0.13094768,25.275995,18.747887,-39.616252,0.040187021,-0.064987357,-0.30083224,0.13094768,0.21602524,18.747887,0.06653799,0.1000774,-6.4053598,-0.33311189,0.13094768,19.228854,18.747887,-47.742677,0.067075462,-0.00099118959,-0.59345364,4.3587041,0.0016702056,1.6221047,0.0032943618,0.00043323512,4.9223056e-05,0.029471256,0.21602524,0.0016702056,0.06653799,0.0032943618,0.87494551,-2.4901314,-0.49857824,25.275995,4.9944647,-39.616252,4.7903065,0.004306853,107.91689,0.11705012,0.12991627,921.97159,18.753067,1065.2417,0.53790014,-48.800976,-0.16821788,4.3587041,290.10577,1.6221047,335.7297,0.36568872,-100.20729,-0.34541642,25.275995,290.10577,-39.616252,335.7297,0.057012643,547.16819,0.59347619,4.4331563,921.97159,1.6179968,1065.2417,0.00054642626,-328.6667,-0.35648246,25.403257,921.97159,-40.31328,1065.2417,0.053158136,75.269878,0.081640127,0.21935896,921.97159,0.068755923,1065.2417,0.66801202,-74.383914,-0.080679182,19.553492,921.97159,-47.6721,1065.2417,0.67170204,-611.08555,-0.66280301,0.0015881406,921.97159,0.0034008405,1065.2417,6.5813675e-05,304.7179,0.33050682,4.8204968,921.97159,5.0732667,1065.2417,0.074447746,8502.1013,282271.27,1.1932879,345.67287,1,2
-1.2490843,-0.26996846,0.13104116,4.6267785,18.739645,1.6886326,0.14189187,-7.3964858,-0.29161659,0.13104116,25.363734,18.739645,-36.234923,0.11144137,-0.1260397,-0.40433928,0.13104116,0.31171767,18.739645,0.1148428,0.024066326,-3.3479251,-0.18370345,0.13104116,18.224618,18.739645,-46.532516,0.32254689,-0.00056589362,-0.40916871,4.6267785,0.0013830325,1.6886326,0.0031986202,0.022275882,-5.3289473e-05,-0.038530889,0.31171767,0.0013830325,0.1148428,0.0031986202,0.83695408,-2.5562133,-0.53264259,25.363734,4.7991154,-36.234923,4.4957097,0.0020373061,-88.035585,-0.080413644,0.13104116,1094.7842,18.739645,1171.2116,0.66717897,-39.565605,-0.14072199,4.6267785,281.16149,1.6886326,354.59127,0.45020185,-61.377402,-0.21829946,25.363734,281.16149,-36.234923,354.59127,0.23808475,416.16993,0.38013879,4.6267785,1094.7842,1.6886326,1171.2116,0.034904251,-50.316144,-0.045959875,25.363734,1094.7842,-36.234923,1171.2116,0.80606345,-127.39135,-0.11636207,0.31171767,1094.7842,0.1148428,1171.2116,0.53303749,13.479181,0.012312181,18.224618,1094.7842,-46.532516,1171.2116,0.94758752,-825.84168,-0.754342,0.0013830325,1094.7842,0.0031986202,1171.2116,9.5240071e-07,76.883418,0.070227009,4.7991154,1094.7842,4.4957097,1171.2116,0.70736052,7996.5506,281659.43,1.1941269,354.59127,1,3
0.43454883,0.14350661,0.13396969,3.0280753,18.733565,1.4159993,0.44119574,-6.5468887,-0.34277643,0.13396969,19.099589,18.733565,-36.001589,0.059064553,-0.00053355161,-0.017263014,0.13396969,0.030907211,18.733565,0.016115159,0.92656039,-2.3121646,-0.13364306,0.13396969,17.301045,18.733565,-45.853532,0.47353447,-0.00018644161,-0.12921447,3.0280753,0.0014428849,1.4159993,0.003194137,0.48844514,0.00048336978,0.3350023,0.030907211,0.0014428849,0.016115159,0.003194137,0.065445372,-1.6689904,-0.34873469,19.099589,4.7858455,-36.001589,4.2505484,0.05451366,-129.77041,-0.1135236,0.13396969,1143.114,18.733565,1176.164,0.54314167,53.581132,0.19583679,3.0280753,273.60096,1.4159993,364.0985,0.29104518,-102.05391,-0.37300274,19.099589,273.60096,-36.001589,364.0985,0.038762156,284.49791,0.24887974,3.0280753,1143.114,1.4159993,1176.164,0.17697873,249.31237,0.2180993,19.099589,1143.114,-36.001589,1176.164,0.23852608,-465.009,-0.40679145,0.030907211,1143.114,0.016115159,1176.164,0.023142998,162.30333,0.1419835,17.301045,1143.114,-45.853532,1176.164,0.44610966,-847.98736,-0.74182222,0.0014428849,1143.114,0.003194137,1176.164,1.7916749e-06,-32.066881,-0.028052216,4.7858455,1143.114,4.2505484,1176.164,0.88092325,7985.3425,281410.52,1.1937934,364.0985,1,4
0.16909763,0.035506195,0.13569799,4.7624825,18.724806,1.2914357,0.84960241,-8.8215008,-0.37190423,0.13569799,23.719818,18.724806,-38.69546,0.039385373,-0.0078977069,-0.086545733,0.13569799,0.091254724,18.724806,0.044879657,0.64341124,-3.2944839,-0.18233762,0.13569799,18.068043,18.724806,-47.445065,0.32622004,-0.00070627043,-0.4287638,4.7624825,0.0016472249,1.2914357,0.0032015289,0.016097612,0.00037129464,0.22540615,0.091254724,0.0016472249,0.044879657,0.0032015289,0.22276824,-2.3029959,-0.44807208,23.719818,5.1397889,-38.69546,4.0418871,0.011476134,29.177005,0.031690832,0.13377932,920.6765,18.7308,1055.1716,0.86796515,-22.383308,-0.080388141,4.7624825,278.44042,1.2914357,371.10823,0.6672785,-119.40784,-0.4288452,23.719818,278.44042,-38.69546,371.10823,0.016075289,362.10759,0.393306,4.8432414,920.6765,1.2773478,1055.1716,0.031539547,-68.212568,-0.074089616,22.388412,920.6765,-40.282675,1055.1716,0.69720384,-300.52137,-0.32641364,0.090181456,920.6765,0.041003263,1055.1716,0.07833089,269.18089,0.29237293,18.376906,920.6765,-47.449233,1055.1716,0.11692127,-600.52051,-0.65226006,0.0015697613,920.6765,0.0033049132,1055.1716,9.394986e-05,145.40122,0.15792868,4.9201691,920.6765,4.3538167,1055.1716,0.40456013,8262.2831,281542.42,1.1916008,382.72948,1,5
-0.85427766,-0.20603816,0.13719607,4.1462109,18.717065,1.0396111,0.26613237,-4.3208952,-0.1854518,0.13719607,23.29929,18.717065,-38.235203,0.31788246,0.0046897862,0.076646876,0.13719607,0.061186919,18.717065,0.030253118,0.6819391,-2.7220688,-0.15352079,0.13719607,17.730946,18.717065,-46.744855,0.40962928,-0.00076064569,-0.45513958,4.1462109,0.0016712361,1.0396111,0.0032002679,0.01009085,0.00074924053,0.4483152,0.061186919,0.0016712361,0.030253118,0.0032002679,0.011425956,-1.4651674,-0.30793908,23.29929,4.757978,-38.235203,3.5359677,0.091929021,-13.238539,-0.01465673,0.13487547,903.2396,18.723383,992.97311,0.93872615,-9.9527023,-0.036314981,4.1462109,274.06602,1.0396111,359.60123,0.84621659,-135.54837,-0.49458289,23.29929,274.06602,-38.235203,359.60123,0.0046791855,254.52642,0.28179281,4.2151729,903.2396,1.0171508,992.97311,0.13139537,-58.867727,-0.065173988,22.685968,903.2396,-39.444827,992.97311,0.73222416,-372.35959,-0.41224897,0.061970353,903.2396,0.031261555,992.97311,0.023588048,237.20457,0.26261534,18.034043,903.2396,-46.74935,992.97311,0.16090533,-592.21099,-0.65565216,0.0015958875,903.2396,0.0033036101,992.97311,8.3908621e-05,44.328515,0.04907725,4.6205226,903.2396,3.7900167,992.97311,0.7967618,8259.0253,280946.24,1.1940742,371.1983,1,6
-0.42785182,-0.061136675,0.13859469,6.9982841,18.709452,2.510748,0.74388561,-4.0279774,-0.20441687,0.13859469,19.704721,18.709452,-32.367106,0.26999573,0.060569563,0.27619837,0.13859469,0.21929732,18.709452,0.068230048,0.1325699,-2.7706351,-0.19170807,0.13859469,14.452365,18.709452,-42.521613,0.30153648,0.00027440556,0.18695008,6.9982841,0.0014678013,2.510748,0.0031017544,0.31391871,0.00089359651,0.60879939,0.21929732,0.0014678013,0.068230048,0.0031017544,0.00027879199,-1.470213,-0.32825772,19.704721,4.4788374,-32.367106,3.0231774,0.071406245,-64.798472,-0.097095977,0.1384618,667.36515,18.715276,845.29613,0.61632571,31.238084,0.11638456,6.9982841,268.40404,2.510748,351.83293,0.53295781,-132.31853,-0.49298265,19.704721,268.40404,-32.367106,351.83293,0.0048358684,73.091307,0.10952221,7.1433404,667.36515,2.3130519,845.29613,0.57169461,-157.05548,-0.23533665,19.8404,667.36515,-33.541872,845.29613,0.2190979,-108.62677,-0.16276962,0.22620997,667.36515,0.072935569,845.29613,0.39887526,62.593578,0.093792098,14.947653,667.36515,-42.662586,845.29613,0.62843008,-398.35136,-0.59690165,0.001272923,667.36515,0.0033087719,845.29613,0.00063052214,214.1171,0.3208395,4.271644,667.36515,3.4715,845.29613,0.089702414,8271.9298,280612.08,1.1957021,361.32393,1,7
-3.0285412,-0.44138875,0.13977484,6.8613919,18.703597,10.442047,0.012929763,-3.5981779,-0.23056343,0.13977484,15.606022,18.703597,1.1586302,0.21208076,-0.013025322,-0.032790691,0.13977484,0.39722621,18.703597,0.59097463,0.86098921,-4.5675435,-0.43919864,0.13977484,10.399721,18.703597,2.3872742,0.013438423,-0.0003780695,-0.27149218,6.8613919,0.0013925613,10.442047,0.0032644879,0.13956906,7.5324131e-05,0.054090353,0.39722621,0.0013925613,0.59097463,0.0032644879,0.77258302,-1.8337772,-0.4112601,15.606022,4.4589232,1.1586302,4.5279839,0.021535316,21.754576,0.035937766,0.13949413,605.34023,18.709448,908.32708,0.85316833,-74.064607,-0.25632452,6.8613919,288.94859,10.442047,404.78684,0.1639562,-102.9609,-0.35632948,15.606022,288.94859,1.1586302,404.78684,0.049119391,-32.880278,-0.054317021,7.0505898,605.34023,10.653436,908.32708,0.7795956,-118.64556,-0.19599814,16.087644,605.34023,0.899915,908.32708,0.30821198,-132.18846,-0.21837051,0.40717378,605.34023,0.58557052,908.32708,0.25510596,-85.86294,-0.14184245,10.131863,605.34023,1.9284483,908.32708,0.46296769,-322.49096,-0.53274332,0.0011459182,605.34023,0.0034827284,908.32708,0.0029270914,339.83039,0.56138742,4.1657087,605.34023,5.0176207,908.32708,0.0015320343,8706.8211,282144.98,1.1882852,416.57093,1,8
