SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3806078e-05,0.20631259,2.5355345,0.00021232867,-1.7464927,0.00036762394,0.10765848,4.6911031e-05,0.22093592,0.065102159,0.00021232867,0.090475838,0.00036762394,0.084411682,0.93098042,0.14682091,9.3546443,6.3409251,-26.804607,-27.621181,0.25481756,,,,,,,,-10.751728,-0.07102025,2.5355345,151.38961,-1.7464927,167.80909,0.58333019,-24.504034,-0.16186074,9.3546443,151.38961,-26.804607,167.80909,0.20880344,-13.133687,-0.1036473,2.5355345,126.71518,-1.7464927,371.48118,0.42274195,-7.8030105,-0.061579128,9.3546443,126.71518,-26.804607,371.48118,0.6344602,-24.582459,-0.19399774,0.065102159,126.71518,0.090475838,371.48118,0.13082752,-46.722305,-0.36871908,7.4958911,126.71518,-7.3875477,371.48118,0.0031893165,-101.5798,-0.80163873,0.00021232867,126.71518,0.00036762394,371.48118,4.9773601e-15,-113.99663,-0.89962883,6.3409251,126.71518,-27.621181,371.48118,2.9086284e-23,919.05986,245733.78,1.3458978,167.80909,1,daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8949305e-05,0.20597409,3.0758291,0.00023764788,-1.6193915,0.0003757782,0.11755947,1.7319446e-05,0.071462493,0.072539852,0.00024235715,0.068807869,0.00038107434,0.60070654,1.1286799,0.16170688,14.018277,6.9797888,-24.950964,-27.677119,0.22110686,,,,,,,,-15.796652,-0.094615332,3.0758291,166.95657,-1.6193915,173.15341,0.47596587,-34.95656,-0.20898876,14.018277,167.26526,-24.950964,173.13432,0.11216811,-6.306925,-0.048791371,3.0758291,129.26312,-1.6193915,367.83599,0.71363869,-19.111786,-0.14870697,14.018277,128.51977,-24.950964,367.46013,0.26098589,-12.748941,-0.097488749,0.072539852,130.77346,0.068807869,368.21183,0.4747388,-33.385654,-0.26252818,9.8682126,127.16979,-7.8512258,367.13885,0.039265849,-102.22727,-0.80386437,0.00023504552,127.16979,0.00036735009,367.13885,3.6722024e-15,-111.89952,-0.8799222,6.8341144,127.16979,-27.727581,367.13885,4.7061818e-21,918.37523,245623.11,1.3462228,169.15414,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9808936e-06,-0.016957948,4.8232853,0.0002347509,-2.6628643,0.00037157129,0.89767282,8.0547895e-05,0.33569263,0.15340362,0.00023994538,0.10023364,0.00037976334,0.011429063,0.81133315,0.11752926,15.927807,6.903244,-26.603528,-27.52569,0.37959536,,,,,,,,16.501079,0.098759744,4.8232853,167.08305,-2.6628643,174.17813,0.45281188,-41.747706,-0.24762909,15.927807,168.58967,-26.603528,173.25894,0.06091134,6.3222135,0.049941061,4.8232853,126.5935,-2.6628643,367.30452,0.70473183,-11.396448,-0.089125068,15.927807,127.87029,-26.603528,364.33905,0.50585447,-33.134904,-0.25643287,0.15340362,129.21473,0.10023364,367.06635,0.056427299,-30.224308,-0.2410123,10.726977,125.40567,-7.0088065,364.7455,0.059155969,-100.02768,-0.79763287,0.00023190193,125.40567,0.00036775572,364.7455,8.5223822e-15,-109.56482,-0.87368316,6.7431401,125.40567,-27.661935,364.7455,1.9600925e-20,919.38931,245684.31,1.3458346,171.94822,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7144929e-05,0.11768773,5.7082165,0.00023065217,-1.0633259,0.00036941294,0.37049513,3.1134106e-05,0.13361973,0.073932298,0.0002330053,0.064854683,0.00037364887,0.31733067,0.7490064,0.11069986,18.511199,6.7661009,-27.489535,-27.608667,0.39977016,,,,,,,,2.3953769,0.014341995,5.7082165,167.0184,-1.0633259,174.62141,0.91339189,-20.693877,-0.12504424,18.511199,165.49245,-27.489535,170.46689,0.34111903,-10.670135,-0.082621873,5.7082165,129.14419,-1.0633259,368.43511,0.53026735,-11.023276,-0.084913116,18.511199,129.8183,-27.489535,363.71534,0.51888528,-18.744191,-0.14318326,0.073932298,130.9105,0.064854683,366.40636,0.28360773,-31.422578,-0.24515541,10.540355,128.17411,-7.5592339,365.76546,0.054796051,-100.46329,-0.78380329,0.00022786375,128.17411,0.00036598154,365.76546,4.9938396e-14,-110.56677,-0.8626295,6.6940694,128.17411,-27.672742,365.76546,2.0580319e-19,914.95385,245676.86,1.3457604,172.16584,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8549603e-05,0.081557692,4.0638269,0.0002274415,-2.2067433,0.00037018154,0.53559548,5.4437081e-05,0.23652763,0.096444609,0.00023015105,0.076954422,0.00037807019,0.076492241,0.65461255,0.095763597,15.922187,6.8357139,-26.064662,-27.482414,0.47455743,,,,,,,,17.012787,0.10160413,4.0638269,167.44189,-2.2067433,174.96884,0.43983696,-38.228189,-0.22956396,15.922187,166.52522,-26.064662,174.42133,0.083009998,7.668141,0.05714455,4.0638269,134.18849,-2.2067433,368.64999,0.66451859,-8.1105012,-0.059715204,15.922187,135.8197,-26.064662,365.26533,0.65612086,-30.262024,-0.2208762,0.096444609,137.00899,0.076954422,365.55458,0.098718883,-41.056204,-0.31103193,10.376337,131.99997,-7.2850806,368.17126,0.01387075,-102.27103,-0.77478074,0.00022493311,131.99997,0.000366253,368.17126,1.4785418e-13,-113.41719,-0.85922138,6.6798037,131.99997,-27.638629,368.17126,4.0788162e-19,915.6325,245719.46,1.3454888,172.35814,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9593769e-05,0.17406553,3.5324801,0.00022746474,-1.9199839,0.00037075209,0.1797134,4.9525838e-05,0.2122101,0.077296425,0.00023338115,0.079858015,0.00038183744,0.11637787,1.8079016,0.25957231,14.977835,6.9649246,-24.656561,-27.444737,0.051190971,,,,,,,,16.546019,0.09928431,3.5324801,166.65291,-1.9199839,171.12033,0.44649166,-28.488709,-0.17042659,14.977835,167.16117,-24.656561,172.29204,0.20498276,-6.5631942,-0.045774988,3.5324801,143.37948,-1.9199839,372.7568,0.72611236,-23.573638,-0.16164099,14.977835,145.83948,-24.656561,369.44565,0.22965633,-24.485295,-0.16643008,0.077296425,147.12061,0.079858015,369.8887,0.22022508,-41.840239,-0.29414366,10.999639,142.24423,-7.1745565,372.30322,0.020311236,-107.48653,-0.75564776,0.00022664738,142.24423,0.00036797828,372.30322,1.2624954e-12,-120.22163,-0.84517753,6.7579831,142.24423,-27.625565,372.30322,5.7215286e-18,919.9457,245736.44,1.3455842,170.4572,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3860095e-05,-0.0607446,3.8882847,0.00022817,-1.932999,0.00037223065,0.64189894,6.5641093e-05,0.28217496,0.10659445,0.0002326255,0.086112954,0.00038158356,0.033453306,0.79043133,0.11312059,16.143027,6.9875105,-25.444535,-27.479138,0.397851,,,,,,,,8.4352828,0.050604677,3.8882847,166.68979,-1.932999,170.217,0.69852901,-19.1261,-0.11609585,16.143027,164.74404,-25.444535,170.86076,0.38547513,9.6359356,0.065351512,3.8882847,147.44778,-1.932999,374.20441,0.61680206,-10.633891,-0.070830624,16.143027,150.13126,-25.444535,369.01206,0.59725531,-28.323995,-0.18708904,0.10659445,151.39313,0.086112954,369.62256,0.16345738,-31.595643,-0.21593173,11.288521,146.32237,-7.4058952,373.5594,0.091873653,-109.17646,-0.74613652,0.00022726724,146.32237,0.00036955966,373.5594,3.413305e-12,-123.34585,-0.84297331,6.8184792,146.32237,-27.620242,373.5594,8.4568371e-18,923.89916,245747.77,1.3455719,169.31659,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1541295e-05,0.14050072,4.9711038,0.00022449204,-2.2891916,0.00037790494,0.28851201,1.9489568e-05,0.08596891,0.087870687,0.00022670484,0.079693202,0.0003863064,0.52870084,0.69843632,0.10113812,16.448194,6.9057674,-26.42885,-27.507797,0.4459452,,,,,,,,1.8462478,0.011074672,4.9711038,166.70902,-2.2891916,173.78763,0.93365387,-14.891683,-0.091756424,16.448194,162.29581,-26.42885,167.9685,0.4894557,-1.2487027,-0.0084484517,4.9711038,147.80255,-2.2891916,370.98369,0.94936325,-13.06827,-0.088885833,16.448194,147.02309,-26.42885,374.06671,0.50319958,-10.022427,-0.06673864,0.087870687,150.17427,0.079693202,371.60977,0.62504882,-29.608909,-0.20435485,10.969598,144.88968,-7.3266452,373.35204,0.1111134,-108.76915,-0.75070318,0.00022420343,144.88968,0.00036714289,373.35204,2.12909e-12,-123.30869,-0.85105223,6.8072852,144.88968,-27.688548,373.35204,1.9590741e-18,917.85722,245683.33,1.3457345,168.70742,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4006003e-05,0.24545342,4.9169155,0.00022002547,-2.5147709,0.00037084812,0.058716723,-1.2536006e-05,-0.055905743,0.15128678,0.00022423468,0.089488129,0.00038334367,0.68518179,0.42571016,0.062061061,16.539366,6.8595373,-26.100392,-27.437632,0.64651232,,,,,,,,-10.124065,-0.061102228,4.9169155,165.6906,-2.5147709,171.40892,0.64281016,-1.1107281,-0.0075796614,16.539366,146.54059,-26.100392,160.84995,0.95537514,-9.5972493,-0.067628395,4.9169155,141.91153,-2.5147709,373.23489,0.60766031,-10.38546,-0.072066015,16.539366,144.11037,-26.100392,373.34128,0.59422329,0.40421111,0.0027612674,0.15128678,146.38608,0.089488129,372.09153,0.98403717,-35.659758,-0.25489564,10.599849,139.89944,-6.6467339,374.34697,0.045569042,-106.10879,-0.75846468,0.00021967838,139.89944,0.0003640351,374.34697,9.3221808e-13,-118.81236,-0.8492697,6.6974217,139.89944,-27.690242,374.34697,2.7249965e-18,910.08774,245686.08,1.3456561,168.66926,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1831784e-05,0.19304718,4.2439857,0.00021669203,-2.2856796,0.00036640854,0.13606241,2.3654991e-05,0.10812889,0.094022667,0.0002187666,0.093697579,0.00037446229,0.41912992,0.41417706,0.062251738,16.958324,6.653261,-26.995282,-27.418051,0.63950676,,,,,,,,3.7938658,0.023151609,4.2439857,163.8705,-2.2856796,169.47496,0.85942767,-48.113092,-0.29114898,16.958324,165.25248,-26.995282,172.50044,0.025272076,-10.709652,-0.078972446,4.2439857,135.61251,-2.2856796,374.60383,0.545192,-12.420451,-0.090246414,16.958324,137.62819,-26.995282,372.51375,0.49666073,-15.90493,-0.11463391,0.094022667,138.74542,0.093697579,373.13986,0.39152736,-27.551684,-0.20471624,10.550176,134.58475,-7.4412339,373.9844,0.1104693,-103.55271,-0.76942379,0.00021588039,134.58475,0.00036380994,373.9844,2.751538e-13,-116.36198,-0.86460004,6.5674995,134.58475,-27.603952,373.9844,1.3741393e-19,909.52485,245769.92,1.3455383,168.00338,1,8
