SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
2.628753,0.32823529,2.5394458,8.0087461,27.423692,12.740461,0.038659492,-3.2018292,-0.21484076,2.5741261,14.903267,27.514563,4.9940822,0.1773619,0.051117054,0.25566679,2.5394458,0.19993623,27.423692,0.38545473,0.11131826,2.6502525,0.13323644,2.5741261,19.891349,27.514563,19.521256,0.40627986,0.00041558877,0.34422402,8.0087461,0.0012073206,12.740461,0.0025142593,0.029631406,0.0005576903,0.46192394,0.19993623,0.0012073206,0.38545473,0.0025142593,0.0026949658,-4.1069361,-0.53235558,14.903267,7.7146483,4.9940822,-2.095577,0.00034010893,-54.637853,-0.17279055,2.5741261,316.20858,27.514563,609.22737,0.279993,47.217446,0.24450798,8.0087461,193.11209,12.740461,500.55598,0.12837206,-52.024373,-0.2673985,14.903267,194.55746,4.9940822,506.58969,0.09099571,164.82318,0.53129751,8.0087461,310.22764,12.740461,621.47751,0.00041947881,-17.416093,-0.055077865,14.903267,316.20858,4.9940822,609.22737,0.73233302,-148.16868,-0.47761274,0.19993623,310.22764,0.38545473,621.47751,0.0018296019,68.608587,0.21697257,19.891349,316.20858,19.521256,609.22737,0.17299777,-106.45086,-0.33664762,0.0017045732,316.20858,0.0027045343,609.22737,0.031382137,28.539876,0.090256489,7.7146483,316.20858,-2.095577,609.22737,0.57466222,6761.3357,272167.42,1.238696,,1,daily
0.82066927,0.16606225,2.5094709,4.9419375,27.604573,3.0122382,0.3719527,-0.946368,-0.061454977,2.5174017,15.399371,27.759235,-11.586793,0.73405158,0.10235162,0.20621496,2.5094709,0.49633462,27.604573,0.42566415,0.26571326,3.7276015,0.14982035,2.5174017,24.880475,27.759235,-32.618871,0.40530788,0.00022766743,0.18229478,4.9419375,0.0012488971,3.0122382,0.0025016699,0.32633565,0.00040435178,0.32376709,0.49633462,0.0012488971,0.42566415,0.0025016699,0.075603048,-3.0571808,-0.39081378,15.399371,7.8226023,-11.586793,-3.1621432,0.024527212,-38.715042,-0.1150951,2.5174017,336.37438,27.759235,380.87096,0.52360235,171.97115,0.57010547,4.9419375,301.64795,3.0122382,423.48905,0.00081326504,-156.38126,-0.49743299,15.399371,314.37654,-11.586793,446.13757,0.0032262565,171.32999,0.50876955,4.9419375,336.75363,3.0122382,401.11636,0.0034701602,-235.58996,-0.70038021,15.399371,336.37438,-11.586793,380.87096,5.687838e-06,-84.373794,-0.25055051,0.49633462,336.75363,0.42566415,401.11636,0.17399461,-172.84975,-0.51386123,24.880475,336.37438,-32.618871,380.87096,0.0022220888,-107.81035,-0.32050701,0.0018310341,336.37438,0.002817786,380.87096,0.068989208,31.533246,0.093744493,7.8226023,336.37438,-3.1621432,380.87096,0.60382927,7044.4651,271167.09,1.2459971,,1,0
0.36135882,0.081119364,1.8546517,4.4546555,28.218276,2.6894895,0.67571589,1.9027524,0.088397891,1.8708666,21.524862,28.344524,-8.6742201,0.63629844,-0.00094554684,-0.0019637607,1.8546517,0.481498,28.218276,0.27230076,0.99193354,2.0984167,0.08314292,1.8708666,25.23867,28.344524,-30.214726,0.6565596,0.00015420112,0.13505654,4.4546555,0.0011417523,2.6894895,0.0026759072,0.4848518,0.00018088961,0.15843156,0.481498,0.0011417523,0.27230076,0.0026759072,0.4117292,-1.4719829,-0.21654939,21.524862,6.7974467,-8.6742201,-2.0270046,0.24196199,-91.804401,-0.25571045,1.8708666,359.01701,28.344524,364.80703,0.16500368,119.88765,0.41011694,4.4546555,292.32553,2.6894895,428.23376,0.027130692,-85.400238,-0.26944191,21.524862,316.95232,-8.6742201,454.86701,0.14270107,198.63768,0.54807447,4.4546555,362.42827,2.6894895,384.65106,0.0020846394,-214.07372,-0.59627738,21.524862,359.01701,-8.6742201,364.80703,0.00040014779,-58.329287,-0.16094022,0.481498,362.42827,0.27230076,384.65106,0.40426785,-232.84967,-0.6485756,25.23867,359.01701,-30.214726,364.80703,7.9445022e-05,-126.86721,-0.35337381,0.0017765376,359.01701,0.0030049697,364.80703,0.051165872,23.864785,0.066472575,6.7974467,359.01701,-2.0270046,364.80703,0.72237395,7512.4242,272420.78,1.2406126,,1,1
0.9932798,0.20575263,1.8540117,4.8275436,28.204181,3.1845915,0.28426723,0.11132028,0.0063570985,1.8713356,17.511177,28.331935,-14.086833,0.97292454,0.019609094,0.05473986,1.8540117,0.35822331,28.204181,0.20629811,0.77792215,4.0955394,0.1597801,1.8713356,25.63235,28.331935,-27.288153,0.39056384,0.00025951624,0.23440177,4.8275436,0.0011071428,3.1845915,0.0026412557,0.22098726,0.00030350824,0.27413649,0.35822331,0.0011071428,0.20629811,0.0026412557,0.15013052,-3.1217302,-0.44994525,17.511177,6.9380224,-14.086833,-2.1579322,0.011094279,-84.851942,-0.23133869,1.8713356,366.78665,28.331935,367.75731,0.21050506,139.91548,0.51303355,4.8275436,272.72189,3.1845915,411.56885,0.0044275757,-182.50846,-0.59666228,17.511177,305.88235,-14.086833,439.16543,0.00039581524,166.94855,0.45010806,4.8275436,370.90772,3.1845915,387.14347,0.014284182,-225.91861,-0.61594011,17.511177,366.78665,-14.086833,367.75731,0.00022532246,-124.8695,-0.33665922,0.35822331,370.90772,0.20629811,387.14347,0.074138304,-229.96076,-0.62696055,25.63235,366.78665,-27.288153,367.75731,0.00016055224,-120.77555,-0.32928012,0.0018003544,366.78665,0.0029806099,367.75731,0.070476516,31.910894,0.087001242,6.9380224,366.78665,-2.1579322,367.75731,0.64165905,7451.5248,272295.48,1.2421645,,1,2
1.8966125,0.32617387,1.830409,5.8147286,28.225442,3.2811849,0.07856309,3.889131,0.22011535,1.830409,17.668604,28.225442,-11.183548,0.24248581,-0.018572894,-0.055799356,1.830409,0.33285139,28.225442,0.20590048,0.76962357,3.9169485,0.15290237,1.830409,25.617317,28.225442,-28.834775,0.41986548,0.00032412174,0.27266913,5.8147286,0.0011886998,3.2811849,0.0026906416,0.14489591,0.00028124278,0.23659698,0.33285139,0.0011886998,0.20590048,0.0026906416,0.20810461,-2.4801434,-0.34026703,18.983897,7.288815,-12.558611,-2.3018693,0.061068339,-62.602809,-0.15971588,1.830409,391.96359,28.225442,381.18766,0.39919506,103.97933,0.4081882,5.8147286,254.73379,3.2811849,394.81435,0.025136843,-160.17537,-0.54172584,18.983897,295.67607,-12.558611,423.0404,0.0016464969,155.68208,0.39718505,5.8147286,391.96359,3.2811849,381.18766,0.029755594,-286.99408,-0.74397192,18.983897,385.75929,-12.558611,378.09783,1.6115653e-06,-185.26564,-0.47266034,0.33285139,391.96359,0.20590048,381.18766,0.0083496341,-247.49946,-0.64159041,25.71414,385.75929,-27.904202,378.09783,0.00010031432,-98.391734,-0.25505992,0.001843999,385.75929,0.0029468186,378.09783,0.16611857,64.068966,0.16608535,7.288815,385.75929,-2.3018693,378.09783,0.37188525,7367.0465,272143.61,1.2440375,,1,3
1.0718386,0.20190793,1.8295512,5.3085516,28.209875,2.5141719,0.28463177,-1.5972314,-0.087500463,1.8690079,18.253977,28.301016,-12.884156,0.63974089,0.059597239,0.13816131,1.8295512,0.43135982,28.209875,0.28351442,0.4665594,4.7870337,0.17615581,1.8690079,27.174997,28.301016,-28.749589,0.34316502,1.2845865e-05,0.011025175,5.3085516,0.0011651393,2.5141719,0.002659334,0.95388958,0.00045539155,0.39084729,0.43135982,0.0011651393,0.28351442,0.002659334,0.032714491,-3.8387381,-0.51934829,18.253977,7.3914523,-12.884156,-2.6631839,0.0027536399,-57.424784,-0.15421544,1.8690079,372.36728,28.301016,352.43933,0.40748793,96.346122,0.40291789,5.3085516,239.12099,2.5141719,369.89111,0.027269993,-181.31103,-0.63008897,18.253977,287.75465,-12.884156,399.69144,0.00014548206,241.06769,0.6365342,5.3085516,378.71915,2.5141719,353.01104,0.00015590481,-240.68217,-0.64635693,18.253977,372.36728,-12.884156,352.43933,8.5608031e-05,-168.67916,-0.4453938,0.43135982,378.71915,0.28351442,353.01104,0.013643431,-235.94085,-0.63362403,27.174997,372.36728,-28.749589,352.43933,0.00012998001,-79.427191,-0.21330336,0.0018289976,372.36728,0.002915417,352.43933,0.24926438,65.094316,0.17481213,7.3914523,372.36728,-2.6631839,352.43933,0.34691741,7288.5426,271785.6,1.2468614,,1,4
1.441059,0.23039446,1.8443587,6.2547467,28.15019,2.6976024,0.22921055,-0.10334861,-0.0055881607,1.8676756,18.49421,28.284758,-12.934078,0.97619853,-0.014998718,-0.035951241,1.8443587,0.41719612,28.15019,0.28848833,0.85311387,5.8244834,0.21831689,1.8676756,26.679033,28.284758,-26.147976,0.23804635,0.00021477575,0.20655975,6.2547467,0.0010397754,2.6976024,0.002546342,0.28234071,0.00020372448,0.19593123,0.41719612,0.0010397754,0.28848833,0.002546342,0.30838044,-3.3649267,-0.44581463,18.49421,7.5478156,-12.934078,-2.9112117,0.011950937,-71.129279,-0.19151945,1.8676756,371.39455,28.284758,332.2104,0.30202142,111.60172,0.46106633,6.2547467,242.05132,2.6976024,362.38829,0.011825117,-157.29265,-0.57703428,18.49421,272.58805,-12.934078,383.17487,0.00067794697,253.55546,0.66885391,6.2547467,379.08945,2.6976024,343.69385,7.292389e-05,-269.68265,-0.72613519,18.49421,371.39455,-12.934078,332.2104,3.7673174e-06,-125.91177,-0.33214265,0.41719612,379.08945,0.28848833,343.69385,0.078352045,-198.6942,-0.53499493,26.679033,371.39455,-26.147976,332.2104,0.0019290707,-70.868388,-0.19081698,0.001843892,371.39455,0.0029060484,332.2104,0.30383168,69.13589,0.18615214,7.5478156,371.39455,-2.9112117,332.2104,0.31602584,7265.1209,271544.3,1.2487194,,1,5
1.3155612,0.24672442,1.8272246,5.3321076,28.199731,2.8866986,0.21473775,-2.2507662,-0.13155783,1.8424843,17.108569,28.325448,-11.497234,0.49633777,0.054197938,0.12900636,1.8272246,0.42011834,28.199731,0.32001501,0.52132405,3.9789206,0.15916358,1.8841312,24.998939,28.230183,-26.020667,0.4008487,0.00034917701,0.36533621,5.3321076,0.00095576897,2.8866986,0.0025456516,0.060946675,0.00039885332,0.41731143,0.42011834,0.00095576897,0.32001501,0.0025456516,0.030332544,-4.1926431,-0.59153052,17.108569,7.0877883,-11.497234,-2.8774051,0.00072589523,-52.731175,-0.14409312,1.8841312,365.95208,28.230183,315.64632,0.44745039,139.03293,0.53832304,5.3321076,258.27045,2.8866986,390.18212,0.0037720027,-138.922,-0.49265305,17.108569,281.9875,-11.497234,403.97767,0.0066259769,251.45801,0.65857487,5.3321076,381.82146,2.8866986,331.12833,0.00018786968,-185.51641,-0.49848896,17.108569,372.15751,-11.497234,318.19982,0.0059181434,-143.33347,-0.37539397,0.42011834,381.82146,0.32001501,331.12833,0.053663478,-164.78811,-0.4502997,24.998939,365.95208,-26.020667,315.64632,0.012525022,-51.440733,-0.14056686,0.0019021674,365.95208,0.00281806,315.64632,0.45875894,86.102518,0.23528359,7.7463468,365.95208,-3.4965833,315.64632,0.21071471,7045.1501,270920.99,1.249876,,1,6
0.64469494,0.14478976,1.8074268,4.4526281,28.232437,2.1161187,0.46227138,-4.1018243,-0.15043279,1.8221811,27.266823,28.352033,-14.225259,0.42750165,-0.060595533,-0.1281704,1.8074268,0.47277323,28.232437,0.35803217,0.51570384,4.4289391,0.20620621,1.867106,21.478205,28.257605,-22.111524,0.26573399,0.00022438156,0.20432853,4.4526281,0.0010981411,2.1161187,0.0026366947,0.29696446,7.3766607e-05,0.067174068,0.47277323,0.0010981411,0.35803217,0.0026366947,0.73413527,-2.1628022,-0.29109712,27.266823,7.4298301,-14.225259,-2.9267532,0.11860096,-34.048645,-0.09943083,1.867106,342.43549,28.257605,280.52295,0.59460189,158.31761,0.60598192,4.4526281,261.25797,2.1161187,385.77315,0.00063164436,-30.3965,-0.10037069,27.266823,302.8424,-14.225259,406.58269,0.59768752,249.61009,0.70024411,4.4526281,356.46154,2.1161187,293.55204,3.3475809e-05,-94.705768,-0.27196202,27.266823,348.2316,-14.225259,281.6445,0.14598265,-99.565955,-0.27931753,0.47277323,356.46154,0.35803217,293.55204,0.15002127,-218.94922,-0.63938823,21.478205,342.43549,-22.111524,280.52295,0.00010784032,-45.607413,-0.13318542,0.0019611295,342.43549,0.0028970762,280.52295,0.47506424,74.153764,0.21654813,8.0541132,342.43549,-3.535995,280.52295,0.24196481,7242.6905,270899.18,1.2495437,,1,7
1.0516451,0.12774936,1.7815315,8.2320968,28.244009,2.9425153,0.50899432,-1.0498955,-0.053908846,1.830377,19.475384,28.341625,-11.02151,0.77723044,0.15640803,0.3508171,1.7815315,0.44583925,28.244009,0.3752296,0.062054284,4.9205146,0.24860839,1.8762351,19.792231,28.246306,-15.380903,0.17746677,0.00016378584,0.14993548,8.2320968,0.0010923754,2.9425153,0.0026685449,0.43756329,0.00054798062,0.50164129,0.44583925,0.0010923754,0.3752296,0.0026685449,0.005563274,-0.8940877,-0.12075435,19.475384,7.4041864,-11.02151,-2.9656459,0.52501922,-47.008478,-0.13798363,1.8762351,340.68157,28.246306,281.59533,0.45915365,39.330385,0.1379983,8.2320968,285.0063,2.9425153,424.29974,0.47530052,18.981339,0.061977122,19.475384,306.26365,-11.02151,446.93439,0.74491518,125.92817,0.36049939,8.2320968,349.31591,2.9425153,291.27803,0.054717189,-125.48183,-0.36219277,19.475384,346.4504,-11.02151,282.6875,0.049197338,-109.37957,-0.31312507,0.44583925,349.31591,0.3752296,291.27803,0.098137722,-259.0253,-0.760315,19.792231,340.68157,-15.380903,281.59533,6.9524937e-07,-72.954933,-0.21414406,0.0020156564,340.68157,0.0028982274,281.59533,0.24735927,56.395647,0.16553771,8.0491021,340.68157,-3.5824396,281.59533,0.37348643,7245.5685,270829.54,1.2462576,,1,8
