SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.49128162,0.3892168,1.1284907,1.2622313,3.9069937,-0.22198512,0.0027680463,-4.2701952,-0.50762074,1.1284907,8.4121765,3.9069937,-9.4496671,5.5687983e-05,-0.033559404,-0.29319722,1.1284907,0.11446017,3.9069937,0.17062641,0.026867134,-5.7105745,-0.63485048,1.1284907,8.9951488,3.9069937,-4.4710422,1.1351428e-07,-0.00016263786,-0.18792817,1.342706,0.00086542567,0.044792447,0.0012593838,0.071245188,-0.00022309646,-0.25778812,0.15453288,0.00086542567,0.19743079,0.0012593838,0.012605873,-5.8630525,-0.57861523,8.0200457,10.132904,-7.3482313,-15.337622,1.2429579e-09,113.9449,0.60009281,1.1284907,189.8788,3.9069937,305.02402,8.0684371e-07,33.160546,0.32936132,1.342706,100.68136,0.044792447,130.91393,0.0012652993,-47.383791,-0.47063121,8.0200457,100.68136,-7.3482313,130.91393,1.9313137e-06,108.75653,0.60331011,1.342706,180.26639,0.044792447,350.57212,1.5512942e-10,-78.315925,-0.43444553,8.0200457,180.26639,-7.3482313,350.57212,1.3545981e-05,-22.834911,-0.12667315,0.15453288,180.26639,0.19743079,350.57212,0.22629776,-51.748929,-0.28706921,9.1917267,180.26639,-3.1976772,350.57212,0.0052719154,-49.986829,-0.27729423,0.00086542567,180.26639,0.0012593838,350.57212,0.0071249179,-32.431936,-0.17991116,10.132904,180.26639,-15.337622,350.57212,0.084411155,3148.4595,259657.6,1.2908204,130.91393,1,daily
0.53204357,0.28675061,1.3887544,1.8554226,4.1442564,-0.20324809,0.076748472,-4.1937286,-0.44227508,1.3887544,9.4821725,4.1442564,-8.8462605,0.0048151571,-0.077446338,-0.25028413,1.3887544,0.30943368,4.1442564,0.18712569,0.12435568,-5.994842,-0.48454,1.3887544,12.372234,4.1442564,-10.48927,0.0017729055,-0.00015309979,-0.16675647,1.807761,0.00091810402,-0.031806204,0.0012469926,0.11013216,-3.4782506e-05,-0.037885147,0.30471974,0.00091810402,0.18709674,0.0012469926,0.71844385,-6.1187338,-0.55053642,10.20101,11.114131,-6.9102198,-15.838559,1.0834639e-08,162.86477,0.70941618,1.3887544,229.57577,4.1442564,260.40356,4.2836104e-07,53.800487,0.38991153,1.807761,137.98127,-0.031806204,136.89859,0.00011182178,-53.478725,-0.38757961,10.20101,137.98127,-6.9102198,136.89859,0.00012389214,77.822428,0.38927363,1.807761,199.91703,-0.031806204,333.03814,0.00011501043,-74.524103,-0.37277516,10.20101,199.91703,-6.9102198,333.03814,0.00023336152,-37.210018,-0.18612731,0.30471974,199.91703,0.18709674,333.03814,0.074048283,-30.777401,-0.15395087,12.954313,199.91703,-8.9062317,333.03814,0.14065185,-45.83483,-0.22926926,0.00091810402,199.91703,0.0012469926,333.03814,0.027061834,-30.713745,-0.15363246,11.114131,199.91703,-15.838559,333.03814,0.14148489,3117.4816,259150.41,1.2916966,136.89859,1,0
0.58481002,0.31723924,1.3882436,1.8434353,4.1272192,-0.37860597,0.049083793,-6.0997392,-0.50132262,1.3882436,12.167293,4.1272192,-11.015666,0.0011497617,-0.011889365,-0.056444503,1.3882436,0.21063813,4.1272192,0.12281845,0.73287815,-4.8056919,-0.44042,1.3882436,10.911612,4.1272192,-7.9006865,0.0050169572,-0.00012581062,-0.13317303,1.8313806,0.00094471545,-0.17251402,0.0012495879,0.20316657,-0.00012165896,-0.12877842,0.30556424,0.00094471545,0.19532018,0.0012495879,0.21861186,-5.4864736,-0.49080056,10.637747,11.178621,-7.3750188,-15.970613,5.8972604e-07,138.82303,0.5950417,1.3882436,233.29967,4.1272192,274.84982,6.4608445e-05,39.071845,0.29383709,1.8313806,132.97112,-0.17251402,133.25416,0.0042533879,-62.109534,-0.46709041,10.637747,132.97112,-7.3750188,133.25416,2.3602442e-06,99.131699,0.5025623,1.8313806,197.25256,-0.17251402,334.98162,2.8486819e-07,-59.415752,-0.30121664,10.637747,197.25256,-7.3750188,334.98162,0.003346164,-0.09869452,-0.00050034596,0.30556424,197.25256,0.19532018,334.98162,0.99620216,4.3731291,0.022170202,10.886664,197.25256,-7.6104629,334.98162,0.83293722,-48.46197,-0.24568488,0.00094471545,197.25256,0.0012495879,334.98162,0.017607959,-35.714819,-0.18106137,11.178621,197.25256,-15.970613,334.98162,0.082411233,3123.9697,259013.31,1.292424,133.25416,1,1
1.2201169,0.38319452,1.3491064,3.1840668,4.1017744,-0.51864367,0.013399454,-4.8517754,-0.47280303,1.3491064,10.261727,4.1017744,-8.229679,0.0017985906,-0.006711444,-0.028250954,1.3491064,0.23756521,4.1017744,0.18715163,0.8608164,-4.2537753,-0.44873872,1.3491064,9.4794032,4.1017744,-7.989592,0.0032532894,-5.0000193e-05,-0.054491086,2.4939693,0.00091758481,-0.20180776,0.0012226575,0.60392006,-3.6705008e-05,-0.04000176,0.32038992,0.00091758481,0.23489399,0.0012226575,0.70342727,-5.7650029,-0.51413768,10.514513,11.212955,-6.8939145,-16.153038,1.3547588e-07,150.35203,0.59469513,1.3491064,252.82204,4.1017744,257.20081,4.12713e-05,43.824208,0.32964575,2.4939693,132.94334,-0.20180776,134.25644,0.0012523257,-68.558217,-0.51569499,10.514513,132.94334,-6.8939145,134.25644,1.2232543e-07,149.98584,0.68235649,2.4939693,219.80569,-0.20180776,332.60745,5.0066511e-14,-119.72988,-0.54470782,10.514513,219.80569,-6.8939145,332.60745,1.6570003e-08,-22.360062,-0.10172649,0.32038992,219.80569,0.23489399,332.60745,0.33191355,-6.9135502,-0.031453009,10.219247,219.80569,-6.3363762,332.60745,0.76471608,-38.516195,-0.17522838,0.00091758481,219.80569,0.0012226575,332.60745,0.092954988,-24.13374,-0.10979579,11.212955,219.80569,-16.153038,332.60745,0.29478455,3056.6438,258826.35,1.2928555,134.25644,1,2
1.2486631,0.36940829,1.3701093,3.3801708,4.1281885,-0.54070374,0.020643947,-3.1413763,-0.3139421,1.3701093,10.006228,4.1281885,-7.8287923,0.051618377,-0.063490419,-0.23071901,1.3701093,0.27518504,4.1281885,0.18865992,0.15762366,-3.8683126,-0.45330077,1.3701093,8.5336556,4.1281885,-8.4979891,0.0037549209,-5.3993804e-05,-0.05881331,2.7008279,0.00091805416,-0.24100029,0.0012229765,0.57548678,-6.9234485e-05,-0.07541438,0.32780246,0.00091805416,0.2087789,0.0012229765,0.47247502,-5.4890237,-0.48997578,9.9929998,11.202643,-7.0980578,-16.211376,6.1996918e-07,156.87448,0.62838153,1.3701093,249.64845,4.1281885,252.79082,1.8418749e-05,28.722748,0.2179337,2.7008279,131.79581,-0.24100029,132.31184,0.035856886,-75.226834,-0.5707832,9.9929998,131.79581,-7.0980578,132.31184,2.3208486e-09,124.60137,0.56915775,2.7008279,218.92238,-0.24100029,331.01231,2.636599e-09,-99.709738,-0.45545703,9.9929998,218.92238,-7.0980578,331.01231,4.491427e-06,-4.7948685,-0.021902139,0.32780246,218.92238,0.2087789,331.01231,0.83492843,-2.0913237,-0.0095528088,9.4670282,218.92238,-6.2971818,331.01231,0.92758789,-44.889778,-0.20504883,0.00091805416,218.92238,0.0012229765,331.01231,0.048646259,-27.615876,-0.1261446,11.202643,218.92238,-16.211376,331.01231,0.2282568,3057.4413,258768.22,1.293202,132.31184,1,3
0.71698391,0.31587503,1.3680758,2.2698341,4.1181218,-0.22949629,0.050120073,-2.6985715,-0.2479344,1.3680758,10.884216,4.1181218,-8.2067645,0.12804739,-0.037765992,-0.21798333,1.3680758,0.17325174,4.1181218,0.16110642,0.18249533,-4.1618579,-0.43710646,1.3680758,9.5213826,4.1181218,-8.6214815,0.0053956857,1.4109376e-05,0.015611611,2.040804,0.00090377454,0.063231008,0.001210973,0.88192785,-0.00014076308,-0.15575021,0.26097893,0.00090377454,0.17385849,0.001210973,0.13601389,-5.8346377,-0.52453901,10.469119,11.123363,-6.9754511,-16.179935,6.7831341e-08,157.70822,0.62852233,1.3680758,250.91903,4.1181218,264.97193,1.8315707e-05,41.822136,0.32913818,2.040804,127.06559,0.063231008,129.73364,0.001275563,-63.216178,-0.49750825,10.469119,127.06559,-6.9754511,129.73364,3.9073484e-07,96.651491,0.45593512,2.040804,211.98519,0.063231008,335.71471,4.3762463e-06,-89.554303,-0.42245548,10.469119,211.98519,-6.9754511,335.71471,2.4630873e-05,1.3848301,0.0065326738,0.26097893,211.98519,0.17385849,335.71471,0.95044542,-21.04726,-0.099286465,9.0291064,211.98519,-6.0176534,335.71471,0.34370169,-34.986261,-0.16504106,0.00090377454,211.98519,0.001210973,335.71471,0.113893,-20.881197,-0.098503095,11.123363,211.98519,-16.179935,335.71471,0.34754134,3027.4324,258809.99,1.2932147,129.73364,1,4
0.25776061,0.12140508,1.3740693,2.1231453,4.1389039,-0.25907853,0.46778762,-7.701054,-0.5995438,1.3740693,12.844856,4.1389039,-7.9658226,6.9564283e-05,-0.073708591,-0.25555768,1.3740693,0.28842252,4.1389039,0.21456446,0.12148272,-6.031849,-0.56554597,1.3740693,10.665533,4.1389039,-7.7690576,0.00021556321,-1.4766059e-05,-0.016364532,2.0027866,0.00090232092,0.023304086,0.001213746,0.8762775,-0.00014531465,-0.16104542,0.30769237,0.00090232092,0.19921868,0.001213746,0.12303816,-3.7492794,-0.34284527,14.32214,10.935777,-7.5262551,-16.17593,0.00076783986,124.44758,0.57281816,1.3740693,217.25495,4.1389039,259.61237,0.00017101077,25.658454,0.2116718,2.0027866,121.2181,0.023304086,127.34265,0.041667843,-62.946024,-0.51927907,14.32214,121.2181,-7.5262551,127.34265,9.6519013e-08,51.555679,0.26625997,2.0027866,193.6291,0.023304086,325.88,0.009887522,-99.328497,-0.51298332,14.32214,193.6291,-7.5262551,325.88,1.4607988e-07,-24.268078,-0.12533281,0.30769237,193.6291,0.19921868,325.88,0.23128874,-46.615883,-0.24074833,10.161249,193.6291,-5.4101529,325.88,0.020093642,-44.64436,-0.23056638,0.00090232092,193.6291,0.001213746,325.88,0.026183529,-36.027678,-0.18606541,10.935777,193.6291,-16.17593,325.88,0.074146174,3034.365,258826.18,1.293195,127.34265,1,5
0.92426952,0.59666762,1.3381872,1.5490526,4.1099975,-0.18744985,4.8334248e-05,-9.1063665,-0.3056717,1.3381872,29.79133,4.1099975,-4.9957135,0.055095088,-0.040984378,-0.17927925,1.3381872,0.22860637,4.1099975,0.14293477,0.26833522,-6.2471566,-0.56280738,1.3381872,11.09999,4.1099975,-7.1372293,0.00015661507,-1.4505407e-05,-0.016215104,1.8154047,0.00089456144,-0.034411495,0.0011949123,0.8773984,-8.9936898e-05,-0.10053742,0.339809,0.00089456144,0.2149087,0.0011949123,0.33762568,-2.2029735,-0.20385609,21.095567,10.806513,-5.8821603,-16.205376,0.050000206,182.69431,0.72240804,1.3381872,252.89628,4.1099975,266.21577,1.4199274e-07,31.006057,0.26169129,1.8154047,118.48334,-0.034411495,126.54076,0.011281746,-24.532874,-0.2070576,21.095567,118.48334,-5.8821603,126.54076,0.046434479,103.7155,0.49039068,1.8154047,211.49566,-0.034411495,331.69192,6.0457638e-07,-68.736337,-0.32500117,21.095567,211.49566,-5.8821603,331.69192,0.0014800594,-25.721772,-0.12161844,0.339809,211.49566,0.2149087,331.69192,0.24551994,-53.755318,-0.25416747,9.910108,211.49566,-5.3927087,331.69192,0.013953095,-38.556063,-0.18230191,0.00089456144,211.49566,0.0011949123,331.69192,0.080296793,-25.484355,-0.12049587,10.806513,211.49566,-16.205376,331.69192,0.24993729,2987.2808,258803.6,1.2931961,126.54076,1,6
0.60572549,0.43916442,1.3395439,1.3792681,4.09323,-0.57499642,0.0045817325,-4.8387211,-0.50043421,1.3395439,9.6690455,4.09323,-8.5476329,0.0010072337,-0.023153137,-0.12616015,1.3395439,0.18352179,4.09323,0.13055152,0.43791888,-6.5755654,-0.56938662,1.3395439,11.548507,4.09323,-7.684988,0.000125884,-1.9225405e-05,-0.021603857,1.8224974,0.00088990614,0.080761968,0.0011926661,0.83714534,-0.00022147955,-0.24887967,0.2803711,0.00088990614,0.16678168,0.0011926661,0.016144588,-5.1308255,-0.48194452,8.8704499,10.646092,-5.8964482,-16.290774,1.0021257e-06,155.77238,0.69696015,1.3395439,223.50257,4.09323,252.18011,5.853153e-07,44.984341,0.3858616,1.8224974,116.58154,0.080761968,124.3056,0.00013354552,-32.92286,-0.28240199,8.8704499,116.58154,-5.8964482,124.3056,0.0060952144,104.58862,0.52091849,1.8224974,200.77732,0.080761968,321.57393,8.6525998e-08,-69.610433,-0.34670466,8.8704499,200.77732,-5.8964482,321.57393,0.00066279793,4.0133434,0.019989027,0.2803711,200.77732,0.16678168,321.57393,0.84916882,-40.758075,-0.20300139,10.279867,200.77732,-5.8722122,321.57393,0.050989414,-51.441866,-0.25621353,0.00088990614,200.77732,0.0011926661,321.57393,0.013177181,-38.181197,-0.19016688,10.646092,200.77732,-16.290774,321.57393,0.067880494,2981.6652,258721.95,1.2935174,124.3056,1,7
1.1873282,0.50093581,1.3513894,2.3702203,4.0990192,-0.50057192,0.0011615844,-5.2217066,-0.41196958,1.3513894,12.674981,4.0990192,-10.160892,0.0091631496,-0.070950859,-0.20765115,1.3513894,0.34168296,4.0990192,0.21230206,0.20463037,-7.2131146,-0.57959823,1.3513894,12.445025,4.0990192,-8.3711361,0.00011036793,1.8233965e-05,0.019891676,2.3351711,0.00091666307,0.071386559,0.0011926734,0.8498948,-0.00024334385,-0.26546706,0.36009228,0.00091666307,0.24166874,0.0011926734,0.010118083,-4.0589622,-0.38147145,12.368464,10.640278,-7.6007459,-16.30664,0.00016146819,149.59241,0.62257992,1.3513894,240.27825,4.0990192,265.89204,2.3153997e-05,34.528027,0.30065756,2.3351711,114.8417,0.071386559,123.20933,0.0034082689,-42.948201,-0.37397739,12.368464,114.8417,-7.6007459,123.20933,0.00022191358,114.6809,0.53041085,2.3351711,216.21146,0.071386559,335.26182,4.5428953e-08,-89.20843,-0.41259807,12.368464,216.21146,-7.6007459,335.26182,3.9601402e-05,-20.723925,-0.095850264,0.36009228,216.21146,0.24166874,335.26182,0.3607423,-20.892156,-0.096628346,10.782045,216.21146,-6.2001036,335.26182,0.35683875,-54.200032,-0.25068067,0.00091666307,216.21146,0.0011926734,335.26182,0.015366924,-32.041393,-0.14819471,10.640278,216.21146,-16.30664,335.26182,0.15629292,2981.6834,258706.74,1.2936383,123.20933,1,8
