SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.24377017,-0.024833469,1.321446,9.816195,9.0837766,14.706939,0.81220333,1.6627198,0.062088468,1.321446,26.77985,9.0837766,-1.4102525,0.55218462,-0.010927582,-0.10341832,1.321446,0.10566389,9.0837766,0.16276157,0.32123418,-5.2564804,-0.29921433,1.3299977,17.567609,9.0629386,6.3745614,0.003223591,6.4497627e-05,0.076530985,9.8601104,0.00084276488,13.010862,0.0022225303,0.39627571,-6.2845821e-05,-0.074571001,0.1031099,0.00084276488,0.16159051,0.0022225303,0.40851777,-2.6567721,-0.37591535,26.267134,7.0674744,0.23273258,-2.867666,1.5589811e-05,2.8458973,0.098337328,1.3299977,28.940153,9.0629386,76.995669,0.34308585,115.79611,0.47842637,9.8601104,242.03538,13.010862,456.90812,1.6705788e-08,11.295376,0.046668285,26.267134,242.03538,0.23273258,456.90812,0.60529077,4.4710649,0.15158428,9.8601104,29.495571,13.010862,75.149122,0.091506537,-12.641458,-0.42858835,26.267134,29.495571,0.23273258,75.149122,6.1509366e-07,-14.281519,-0.48419198,0.1031099,29.495571,0.16159051,75.149122,1.0593736e-08,-14.160096,-0.48200501,16.897426,29.377487,7.629795,75.15706,1.1000997e-08,1.8302399,0.062300765,0.00084431454,29.377487,0.0022144159,75.15706,0.48829174,18.926221,0.64424234,7.0660419,29.377487,-2.9225357,75.15706,3.999621e-16,5536.0397,287400.42,1.0178851,455.78584,1,daily
-2.5533578,-0.14415506,1.3606285,17.712578,9.1091954,10.66092,0.18282381,1.3895892,0.031738144,1.3613136,43.782939,9.0714286,-47.038462,0.76520521,-0.012365128,-0.046205232,1.3606285,0.26761317,9.1091954,0.097679312,0.67086049,-3.4823601,-0.12391476,1.3573449,28.102867,9.0263158,-61.073684,0.2315404,-2.8136375e-05,-0.030997016,16.034408,0.00090771237,8.6034483,0.0023339921,0.74116422,3.9428092e-05,0.043436768,0.23533478,0.00090771237,0.076713914,0.0023339921,0.64337834,-2.5980922,-0.35755925,41.28482,7.2661865,-44.540984,-3.9647541,5.272294e-05,2.7816648,0.085287373,1.3573449,32.615201,9.0263158,65.495986,0.41120634,172.57032,0.53723055,16.034408,321.2221,8.6034483,319.79175,5.0523606e-10,-68.272323,-0.21523741,41.28482,317.19543,-44.540984,308.68799,0.017271471,5.1951265,0.16044475,16.034408,32.379535,8.6034483,66.383078,0.085342768,-14.153191,-0.43044204,41.28482,32.880598,-44.540984,64.351226,7.4741024e-07,-6.1942438,-0.1913012,0.23533478,32.379535,0.076713914,66.383078,0.039676325,-17.329681,-0.53277571,29.762788,32.527161,-57.611111,64.095598,1.3481979e-10,-1.4079911,-0.043286628,0.00096196777,32.527161,0.0022380447,64.095598,0.6303215,18.034056,0.55443069,7.5057376,32.527161,-4.3619048,64.095598,1.6339032e-11,5595.1116,285886.18,1.0314209,310.99131,1,0
-0.11533481,-0.0098285848,1.3367376,11.73463,9.1744186,8.1569767,0.92843427,-0.11172964,-0.0025998339,1.3461579,42.975685,9.1277778,-47.705556,0.98059779,-0.022696717,-0.096170856,1.3367376,0.2360041,9.1744186,0.074219901,0.3784015,-4.7986461,-0.16295242,1.3420581,29.448142,9.0684211,-61.905263,0.11461076,-5.3251799e-05,-0.058182933,12.724067,0.00091524776,6.7672414,0.0022991473,0.53500181,-3.5849631e-05,-0.039169318,0.27534896,0.00091524776,0.10156454,0.0022991473,0.67634339,-3.0029993,-0.42843475,44.021297,7.0092337,-46.780992,-3.8561983,9.4678275e-07,1.9880646,0.060113594,1.3420581,33.071798,9.0684211,65.538683,0.56280372,143.35844,0.4490743,12.724067,319.231,6.7672414,319.04033,4.275043e-07,-39.961918,-0.1261349,44.021297,316.81887,-46.780992,314.52789,0.16801977,11.234594,0.34072217,12.724067,32.972887,6.7672414,66.505966,0.00018214305,-15.051173,-0.44671382,44.021297,33.693098,-46.780992,64.53155,2.8062516e-07,-10.1522,-0.30789539,0.27534896,32.972887,0.10156454,66.505966,0.00077298779,-15.090496,-0.45369209,30.333011,33.261536,-58.888889,64.291729,9.5408327e-08,-2.5089712,-0.07543161,0.00096449132,33.261536,0.0022222496,64.291729,0.40120224,17.929413,0.53904344,7.4717724,33.261536,-4.4222222,64.291729,7.4328654e-11,5555.624,285824.64,1.0311787,315.14435,1,1
1.1831306,0.074524821,1.3109612,15.875659,9.1761364,6.9715909,0.4901506,5.5183766,0.12064318,1.3293496,45.741304,9.125,-51.570652,0.25198679,-0.027857622,-0.11045864,1.3109612,0.25219958,9.1761364,0.078393393,0.30559105,-3.8488974,-0.13436338,1.3361835,28.645435,9.0842105,-62.384211,0.19422871,0.0001223538,0.13014439,17.256302,0.00094013887,5.3474576,0.0022542317,0.16012176,-3.9683164e-05,-0.042209897,0.24871235,0.00094013887,0.085826358,0.0022542317,0.64994529,-2.2496474,-0.30019397,46.419302,7.4939791,-49.979675,-4.1394309,0.00074226192,2.0407276,0.060732867,1.3361835,33.6017,9.0842105,66.206383,0.55878008,112.53684,0.35824415,17.256302,314.13446,5.3474576,321.17601,6.8011366e-05,-28.730639,-0.092494952,46.419302,310.61845,-49.979675,318.91405,0.30890242,9.4396562,0.27649453,17.256302,34.140481,5.3474576,66.947216,0.0024387235,-14.976776,-0.43201054,46.419302,34.667616,-49.979675,65.139047,6.056949e-07,-10.423241,-0.30530447,0.24871235,34.140481,0.085826358,66.947216,0.00077438833,-16.043529,-0.46606852,29.996488,34.423113,-59.103175,65.421598,3.8012072e-08,-2.7829267,-0.080844716,0.00097774084,34.423113,0.0022002726,65.421598,0.3681683,18.852902,0.54768149,7.622498,34.423113,-4.4111111,65.421598,3.2057301e-11,5500.6815,285829.26,1.0310295,317.86197,1,2
-0.91794957,-0.038867246,1.315447,23.617561,9.0730337,11.578652,0.71763148,1.2280058,0.025652095,1.33267,47.871561,9.0380435,-53.478261,0.80822071,-0.037606893,-0.14337438,1.315447,0.26229855,9.0730337,0.083404787,0.18011312,-4.8503011,-0.17317461,1.3433091,28.008155,9.0368421,-64.942105,0.093296747,-4.9154262e-05,-0.051185285,22.151526,0.00096032017,9.2436975,0.0022104695,0.58037681,-6.1545439e-05,-0.064088459,0.25401839,0.00096032017,0.082352528,0.0022104695,0.48865137,-2.5942871,-0.34481763,48.199455,7.5236499,-51.199187,-4.3142276,9.3973563e-05,1.8401536,0.055257458,1.3433091,33.301451,9.0368421,66.820468,0.59482309,76.865031,0.22729657,22.151526,338.17066,9.2436975,357.61853,0.012919878,-42.551275,-0.12693051,48.199455,335.23283,-51.199187,354.92106,0.16180713,1.8872557,0.054844602,22.151526,34.410965,9.2436975,67.108851,0.55357269,-15.327759,-0.43853603,48.199455,34.952108,-51.199187,65.526252,3.9090536e-07,-11.526244,-0.33495846,0.25401839,34.410965,0.082352528,67.108851,0.00019643622,-17.783019,-0.51427453,30.090741,34.578843,-60.797619,65.770565,7.2939852e-10,-3.7572238,-0.10865672,0.00097544467,34.578843,0.0021934058,65.770565,0.22585609,18.368956,0.5312195,7.5327843,34.578843,-4.4063492,65.770565,1.5600651e-10,5483.5145,285853.54,1.0280623,355.48602,1,3
-0.62914072,-0.049084205,1.3387254,12.81758,9.1263736,8.4175824,0.64405311,3.9220558,0.085635116,1.3599279,45.799621,9.0806452,-50.360215,0.41440479,-0.030029283,-0.11115964,1.3387254,0.27014555,9.1263736,0.085938671,0.29418193,-3.3043455,-0.11806111,1.3622243,27.988434,9.0578947,-65.342105,0.25450546,-1.9651683e-05,-0.020612519,12.549859,0.0009533858,7.7892562,0.0021968141,0.82243984,-0.00014248114,-0.14944752,0.23914976,0.0009533858,0.077724119,0.0021968141,0.10182693,-2.8807698,-0.38771363,46.520316,7.4301485,-47.770161,-4.3197581,8.6282868e-06,0.51308522,0.01508783,1.3622243,34.006561,9.0578947,66.639631,0.88461658,158.63169,0.47789958,12.549859,331.93519,7.7892562,359.61922,2.9700691e-08,-83.572446,-0.25386791,46.520316,329.19658,-47.770161,358.18129,0.0044399148,6.9160555,0.19598786,12.549859,35.288183,7.7892562,66.494212,0.031206598,-19.161427,-0.53720694,46.520316,35.668615,-47.770161,65.312382,1.2553082e-10,-9.7854047,-0.27729976,0.23914976,35.288183,0.077724119,66.494212,0.002075171,-17.206164,-0.48434064,29.998867,35.524923,-61.5,65.704001,9.123833e-09,-5.1512336,-0.14500337,0.00096757472,35.524923,0.0021823533,65.704001,0.10522985,18.275686,0.51444688,7.4494456,35.524923,-4.4492063,65.704001,7.1834989e-10,5455.8833,285815.63,1.0280909,354.55251,1,4
1.6737153,0.1046691,1.3427097,15.990538,9.1043956,7.1043956,0.32345041,1.6306645,0.035420754,1.3532159,46.03698,9.0815217,-55.673913,0.73747124,0.010310378,0.036678533,1.3427097,0.28110115,9.1043956,0.097211037,0.72996639,-4.0952494,-0.15092107,1.3484884,27.135041,9.0578947,-64.026316,0.1443177,4.304789e-05,0.046072066,14.842128,0.00093435988,7.0702479,0.0021866122,0.61580905,-8.0697618e-05,-0.086366742,0.27666466,0.00093435988,0.10447186,0.0021866122,0.34622627,-2.4447093,-0.32691342,47.407936,7.478155,-52.410569,-4.4243902,0.00022375783,1.0880011,0.032013842,1.3484884,33.985334,9.0578947,66.951595,0.75809715,161.69748,0.50882295,14.842128,317.78732,7.0702479,344.35565,2.5385982e-09,-92.650187,-0.29136159,47.407936,317.99039,-52.410569,344.74713,0.0010769853,9.9317148,0.28208891,14.842128,35.207747,7.0702479,65.901799,0.0017203817,-18.485276,-0.52165662,47.407936,35.435717,-52.410569,65.132616,6.133285e-10,-13.218232,-0.37543532,0.27666466,35.207747,0.10447186,65.901799,2.2034408e-05,-17.845091,-0.50160032,28.989422,35.576315,-61.269841,65.998093,2.1901291e-09,-3.9516016,-0.11107394,0.0009492223,35.576315,0.0021620652,65.998093,0.21563767,18.987245,0.53370465,7.4998808,35.576315,-4.5103175,65.998093,1.2352678e-10,5405.163,285747.58,1.0292034,341.28046,1,5
0.92794256,0.070304668,1.3299784,13.198875,9.0923913,7.0815217,0.50544727,2.3293241,0.055068949,1.3430267,42.298321,9.0815217,-47.923913,0.60210433,-0.020899865,-0.086865471,1.3323256,0.24060038,9.1043956,0.070205505,0.41293597,-4.4969378,-0.17327876,1.3429756,25.952044,9.0473684,-65.068421,0.093096929,4.1442796e-05,0.045359641,12.435269,0.0009136491,6.5991736,0.0021740542,0.62128408,-0.00021797142,-0.24162968,0.21273053,0.0009020888,0.059052333,0.0021892041,0.0078435123,-3.1463999,-0.42741306,43.618734,7.3614969,-45.650407,-4.3349593,8.2012204e-07,1.1949983,0.034778443,1.3429756,34.360317,9.0473684,67.119469,0.73793281,168.4198,0.54954951,12.435269,306.46884,6.5991736,331.72353,6.6762746e-11,-99.273426,-0.32100185,43.618734,309.26123,-45.650407,331.32965,0.00029457907,8.6651263,0.24912143,12.435269,34.782742,6.5991736,66.518146,0.0058607118,-18.810851,-0.53486707,43.618734,35.169208,-45.650407,65.571953,1.8564758e-10,-6.5420609,-0.187562,0.21273053,34.879458,0.059052333,66.685791,0.040230339,-17.991954,-0.51200552,27.805151,35.140156,-61.77381,65.987208,8.9103261e-10,-2.2384996,-0.06370204,0.00093407674,35.140156,0.0021446271,65.987208,0.47854328,19.163943,0.54535737,7.6060484,35.140156,-4.6396825,65.987208,4.0291923e-11,5361.5678,285598.31,1.0306098,327.61074,1,6
0.12138507,0.0093516377,1.3291699,12.980087,9.1032609,8.0597826,0.92950053,0.75098809,0.018713994,1.342315,40.12976,9.0923913,-40.380435,0.85946158,-0.0028151835,-0.012018383,1.3314089,0.23423979,9.1153846,0.077480619,0.90997724,-9.4525643,-0.34618065,1.3425586,27.305294,9.0578947,-48.242105,0.00058953601,-1.9764087e-05,-0.021595596,12.615797,0.00091519065,7.1818182,0.0021622014,0.81412089,-9.6251283e-05,-0.10650814,0.25221573,0.00090369889,0.082382901,0.0021773338,0.24693638,-3.054585,-0.41895357,41.68762,7.2909869,-37.817073,-4.3463415,1.4159763e-06,2.1300073,0.062966559,1.3425586,33.827596,9.0578947,68.10368,0.54438229,157.68457,0.53413987,12.615797,295.21213,7.1818182,320.74572,2.8002371e-10,-71.736264,-0.24080429,41.68762,297.90277,-37.817073,320.30915,0.0072969199,6.7399782,0.19959618,12.615797,33.768073,7.1818182,67.2532,0.028170524,-17.853393,-0.52266374,41.68762,34.158468,-37.817073,66.333013,5.6092751e-10,-8.1592986,-0.24105647,0.25221573,33.848079,0.082382901,67.438121,0.0079961403,-17.756606,-0.51498578,30.511553,34.479798,-43.738095,66.920463,6.8483296e-10,-1.6553752,-0.048010001,0.00093446203,34.479798,0.0021318213,66.920463,0.59344668,18.742425,0.54357699,7.5163482,34.479798,-4.6206349,66.920463,4.7947546e-11,5329.5533,285597.62,1.0315975,316.99108,1,7
-0.0077540187,-0.00052457483,1.3940955,14.78153,9.1847826,11.440217,0.99604031,-0.0025926929,-7.4645829e-05,1.3974615,34.733259,9.1666667,-3.4462366,0.9994334,0.060240742,0.15145587,1.3940955,0.39774452,9.1847826,0.31011249,0.14953399,-7.4375814,-0.25270804,1.4003479,29.431519,9.1421053,28.094737,0.013483799,1.2531915e-05,0.013662742,15.31919,0.00091723278,10.400826,0.0021899671,0.8817611,-1.6920366e-05,-0.018447189,0.38782123,0.00091723278,0.30832963,0.0021899671,0.84083162,-3.7688915,-0.50035135,35.399498,7.5324899,-0.875,-3.5532258,3.2733021e-09,3.43599,0.10459488,1.4003479,32.85046,9.1421053,74.533073,0.31309983,118.78415,0.38484002,15.31919,308.65852,10.400826,330.444,1.3103387e-05,37.330953,0.12071591,35.399498,309.24633,-0.875,328.8595,0.18170918,5.2576079,0.15825807,15.31919,33.221737,10.400826,73.692968,0.08296916,-15.192077,-0.45024511,35.399498,33.741793,-0.875,72.461133,1.5481929e-07,-8.4811847,-0.25529023,0.38782123,33.221737,0.30832963,73.692968,0.0047129062,-9.8118789,-0.28987051,32.126016,33.84918,32.055556,73.074497,0.00099356252,-0.53745498,-0.015877932,0.00093292511,33.84918,0.0021606571,73.074497,0.85992928,19.89803,0.5878438,7.5146764,33.84918,-3.6456349,73.074497,4.5994428e-13,5401.6427,286601.45,1.0295556,325.99404,1,8
