SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
3.0218327,0.57105659,0.61410904,5.2916519,10.467308,-0.68774551,0.041504951,-0.77844667,-0.063584833,0.61410904,12.242647,10.467308,-23.00113,0.83650575,-0.077619342,-0.74204774,0.61410904,0.10460155,10.467308,0.088905431,0.0036807995,-3.782821,-0.23155895,0.56615614,16.33632,10.489294,-16.842283,0.1741866,0.0001258425,0.33333529,5.2916519,0.00037752527,-0.68774551,0.00081325975,0.26572023,-0.0001518282,-0.40216698,0.10460155,0.00037752527,0.088905431,0.00081325975,0.1731055,1.3502622,0.3130835,12.242647,4.3127863,-23.00113,-16.377986,0.2976064,1.8609403,0.12732191,0.56615614,14.616026,10.489294,40.197044,0.45930569,-6.9449185,-0.091264538,5.2916519,76.096572,-0.68774551,103.24297,0.76683185,-51.439207,-0.67597272,12.242647,76.096572,-23.00113,103.24297,0.011200596,3.9771048,0.2629069,5.2916519,15.127427,-0.68774551,50.73645,0.38548922,-11.074751,-0.73209746,12.242647,15.127427,-23.00113,50.73645,0.0044381828,-3.7843911,-0.25016754,0.10460155,15.127427,0.088905431,50.73645,0.40974797,-11.537928,-0.78940258,16.33632,14.616026,-16.842283,40.197044,1.055408e-08,-6.2860384,-0.4300785,0.00046811568,14.616026,0.00093509098,40.197044,0.0088434687,-1.3916915,-0.095216823,6.2633624,14.616026,-16.576423,40.197044,0.58067682,2337.7275,261681.72,1.2410313,90.557468,1,daily
-1.7827695,-0.50897802,0.10801234,3.5026453,10.75,0.9948,0.13297637,-6.4848297,-0.45553575,0.10801234,14.235611,10.75,-29.41655,0.18582479,0.012389826,0.37139221,0.10801234,0.033360489,10.75,0.02590719,0.2906691,-5.4717565,-0.27003896,0.52665505,20.262841,10.538571,-18.4739,0.11668089,3.7982869e-05,0.11264426,3.5026453,0.00033719311,0.9948,0.00078731005,0.75669357,-4.0460953e-05,-0.11999342,0.033360489,0.00033719311,0.02590719,0.00078731005,0.74126124,1.6749141,0.42040381,14.235611,3.9840603,-29.41655,-16.2372,0.22639153,1.1944186,0.075205383,0.52665505,15.88209,10.538571,39.485472,0.66765276,23.736043,0.44712621,3.5026453,53.085779,0.9948,75.194629,0.19511341,-47.520189,-0.89515855,14.235611,53.085779,-29.41655,75.194629,0.00046494032,11.259914,0.65357406,3.5026453,17.228215,0.9948,52.752977,0.040410816,-10.759741,-0.62454182,14.235611,17.228215,-29.41655,52.752977,0.053569012,-13.194568,-0.76586972,0.033360489,17.228215,0.02590719,52.752977,0.0098011422,-10.531881,-0.66312944,20.262841,15.88209,-18.4739,39.485472,1.4176689e-05,-6.5213269,-0.41060887,0.00051671248,15.88209,0.00091470298,39.485472,0.014281142,-1.87426,-0.11801092,7.2515281,15.88209,-17.107814,39.485472,0.49956656,2286.7575,261092.47,1.2434865,89.432289,1,0
-1.8958735,-0.48175157,0.10658851,3.9353758,10.745,0.7389,0.15857078,-6.8975329,-0.4463166,0.10658851,15.45435,10.745,-30.5026,0.19602168,0.012698056,0.44890896,0.10658851,0.028286483,10.745,0.024440438,0.19312212,-6.0377326,-0.29540073,0.52627197,20.439126,10.537143,-19.329257,0.084919353,5.5410478e-06,0.017048991,3.9353758,0.00032500738,0.7389,0.00081390023,0.96271617,7.1057196e-06,0.021863256,0.028286483,0.00032500738,0.024440438,0.00081390023,0.95219698,1.7977899,0.51874062,15.45435,3.4656817,-30.5026,-15.77505,0.12446377,1.0672668,0.066956003,0.52627197,15.939823,10.537143,39.811762,0.70234232,28.496449,0.45906983,3.9353758,62.074322,0.7389,79.040137,0.18200054,-43.230003,-0.69642328,15.45435,62.074322,-30.5026,79.040137,0.025259573,10.578592,0.6211367,3.9353758,17.03102,0.7389,52.990482,0.055277022,-4.3441393,-0.25507217,15.45435,17.03102,-30.5026,52.990482,0.47693699,-11.621847,-0.68239291,0.028286483,17.03102,0.024440438,52.990482,0.02969462,-8.9230915,-0.55979866,20.439126,15.939823,-19.329257,39.811762,0.00047122399,-7.1991142,-0.4516433,0.00050834765,15.939823,0.00092209381,39.811762,0.0064597266,-2.5082627,-0.15735825,7.193913,15.939823,-16.949071,39.811762,0.36664427,2305.2345,261248.29,1.2431961,89.293582,1,1
-1.4295107,-0.51922743,0.10749677,2.7531494,10.74,0.50165,0.12404839,-3.8155565,-0.24939052,0.10749677,15.299525,10.74,-29.40315,0.48714111,0.0033105949,0.050574659,0.10749677,0.065459559,10.74,0.04487921,0.88965047,-2.8535173,-0.1434218,0.47930431,19.895979,10.576471,-18.171691,0.41839946,1.2303952e-05,0.038106842,2.7531494,0.0003228804,0.50165,0.0008167726,0.91676223,0.00013941377,0.43178145,0.065459559,0.0003228804,0.04487921,0.0008167726,0.21274674,1.940965,0.54994974,15.299525,3.5293499,-29.40315,-15.74795,0.09955916,-0.22946102,-0.014749115,0.47930431,15.557613,10.576471,40.401082,0.93401937,22.502598,0.32968925,2.7531494,68.253965,0.50165,80.132838,0.35221501,-52.155674,-0.7641413,15.299525,68.253965,-29.40315,80.132838,0.010070923,9.4726472,0.62527277,2.7531494,15.149624,0.50165,53.199579,0.05320699,-7.4719019,-0.49320709,15.299525,15.149624,-29.40315,53.199579,0.14746742,-10.042438,-0.66288368,0.065459559,15.149624,0.04487921,53.199579,0.036703551,-8.9053091,-0.57240846,19.895979,15.557613,-18.171691,40.401082,0.0004041423,-7.014625,-0.45088056,0.00050922256,15.557613,0.00092332353,40.401082,0.0074463584,-2.2402056,-0.14399418,7.2334291,15.557613,-16.862338,40.401082,0.41652509,2308.3088,261225.9,1.244439,93.016853,1,2
-1.7118506,-0.72592079,0.10124228,2.3581783,10.745,0.5204,0.017459067,-4.958216,-0.28207884,0.10124228,17.577412,10.745,-29.6966,0.42975049,0.0024750533,0.058247308,0.10124228,0.042492148,10.745,0.034074649,0.87301542,-2.687757,-0.14343273,0.47945537,18.738799,10.577941,-17.773853,0.41836364,6.688601e-05,0.22146723,2.3581783,0.00030201312,0.5204,0.00080134936,0.53861097,0.00013108823,0.43404813,0.042492148,0.00030201312,0.034074649,0.00080134936,0.21008635,1.5961102,0.46205732,17.577412,3.4543554,-29.6966,-15.87555,0.17880432,-0.089447052,-0.0057785254,0.47945537,15.479217,10.577941,41.011314,0.97412578,9.1592418,0.12907584,2.3581783,70.960157,0.5204,81.582788,0.72230393,-57.909309,-0.81608203,17.577412,70.960157,-29.6966,81.582788,0.0039834615,7.2548739,0.4888018,2.3581783,14.842159,0.5204,53.748499,0.15167956,-9.3593674,-0.6305934,17.577412,14.842159,-29.6966,53.748499,0.050620609,-12.023819,-0.81011254,0.042492148,14.842159,0.034074649,53.748499,0.0044917064,-10.319973,-0.66669863,18.738799,15.479217,-17.773853,41.011314,1.6686845e-05,-6.0750373,-0.39246411,0.00048367744,15.479217,0.00090444928,41.011314,0.021685982,-1.4878825,-0.096121299,7.0718036,15.479217,-16.9505,41.011314,0.58866668,2261.1232,261138.44,1.2443701,95.408145,1,3
-1.9611029,-0.76159238,0.50290068,2.5750034,10.590909,0.8245,0.0064585601,-6.3317428,-0.41016438,0.50290068,15.437086,10.590909,-28.038773,0.21023094,0.01223304,0.21884877,0.50290068,0.055897233,10.590909,0.037224913,0.51793984,-5.0888332,-0.26424971,0.52585265,19.257668,10.537143,-18.431386,0.1250397,-6.3467775e-05,-0.22432837,2.5750034,0.00028292354,0.8245,0.00076335047,0.50724344,0.0001455618,0.51449168,0.055897233,0.00028292354,0.037224913,0.00076335047,0.10539391,0.13642429,0.038715867,15.437086,3.5237307,-28.038773,-16.403045,0.9100188,0.54344823,0.034151409,0.52585265,15.912908,10.537143,41.025341,0.8455797,62.123259,0.66357566,2.5750034,93.618953,0.8245,99.584716,0.026002664,-14.317335,-0.15293201,15.437086,93.618953,-28.038773,99.584716,0.65348872,6.0049188,0.40988355,2.5750034,14.650305,0.8245,53.689356,0.21057425,-10.076525,-0.68780313,15.437086,14.650305,-28.038773,53.689356,0.019322163,-10.928547,-0.74596037,0.055897233,14.650305,0.037224913,53.689356,0.0083860871,-9.8866452,-0.6212972,19.257668,15.912908,-18.431386,41.025341,6.8042874e-05,-5.4996828,-0.34561142,0.00046592524,15.912908,0.000892151,41.025341,0.041996634,-0.55115447,-0.034635685,6.7956277,15.912908,-16.976629,41.025341,0.84341682,2230.3775,261209.15,1.2430092,92.64783,1,4
-1.06198,-0.59260841,0.50290068,1.7920434,10.590909,0.29195455,0.054700464,-10.260455,-0.56245222,0.50290068,18.242358,10.590909,-25.418955,0.071677603,-0.092323981,-0.91531253,0.50290068,0.10086607,10.590909,0.059307567,7.7462143e-05,-4.8971964,-0.24774116,0.53290073,19.767391,10.531429,-20.832214,0.15131345,-0.00014917054,-0.54434505,1.7920434,0.00027403674,0.29195455,0.00076077589,0.083403748,-4.4605165e-05,-0.16277075,0.10086607,0.00027403674,0.059307567,0.00076077589,0.63251884,-0.18229925,-0.056140803,18.242358,3.2471792,-25.418955,-16.433364,0.86977194,0.141135,0.0087877018,0.53290073,16.060513,10.531429,40.768642,0.96004147,73.879359,0.75932726,1.7920434,97.295808,0.29195455,105.29115,0.0067153861,2.2372741,0.022994558,18.242358,97.295808,-25.418955,105.29115,0.94649686,9.1668123,0.6272984,1.7920434,14.613161,0.29195455,53.450219,0.03883487,-7.963965,-0.54498579,18.242358,14.613161,-25.418955,53.450219,0.082968452,-4.0071818,-0.27421732,0.10086607,14.613161,0.059307567,53.450219,0.41449861,-10.219466,-0.63631004,19.767391,16.060513,-20.832214,40.768642,3.9798016e-05,-5.6406509,-0.35121236,0.00045956148,16.060513,0.00089708415,40.768642,0.038568465,-0.70066444,-0.043626528,6.6704282,16.060513,-16.8698,40.768642,0.80348226,2242.7104,261262.83,1.2435776,92.871136,1,5
-0.9847513,-0.50198889,0.50104436,1.9616994,10.586364,0.17472727,0.11562285,-9.5851148,-0.53778423,0.50104436,17.823347,10.586364,-25.861182,0.087948307,-0.11022256,-0.89175549,0.50104436,0.12360178,10.586364,0.079561231,0.00022570206,-4.6497083,-0.23157949,0.53155472,20.078239,10.527143,-19.674286,0.18071184,-0.00017273424,-0.71449815,1.9616994,0.00024175603,0.17472727,0.00073062918,0.013490191,-1.6230809e-05,-0.067137141,0.12360178,0.00024175603,0.079561231,0.00073062918,0.84450987,-0.90136163,-0.31682164,17.823347,2.8450128,-25.861182,-17.008818,0.34248086,0.22089351,0.013776602,0.53155472,16.033961,10.527143,39.83827,0.93739287,83.92287,0.78379377,1.9616994,107.07264,0.17472727,108.60804,0.0043069897,1.2754396,0.011911909,17.823347,107.07264,-25.861182,108.60804,0.97227117,11.026427,0.66558285,1.9616994,16.566573,0.17472727,51.488324,0.025394889,-9.9037638,-0.59781609,17.823347,16.566573,-25.861182,51.488324,0.052077238,-6.4379061,-0.3886082,0.12360178,16.566573,0.079561231,51.488324,0.23754934,-9.8468289,-0.61412328,20.078239,16.033961,-19.674286,39.83827,8.7075546e-05,-6.1772077,-0.38525774,0.00045914747,16.033961,0.00090130558,39.83827,0.022285755,-1.319548,-0.082297066,6.6033396,16.033961,-16.899043,39.83827,0.63836029,2253.264,261287.33,1.2429133,90.499693,1,6
-1.9321666,-0.65820709,0.49963623,2.9354996,10.581818,0.42572727,0.027678686,-10.024502,-0.56939901,0.49963623,17.605409,10.581818,-24.147727,0.067489746,-0.12059271,-0.92491027,0.49963623,0.13038315,10.581818,0.084955875,4.5726418e-05,-4.418392,-0.21030006,0.53100507,21.009941,10.525714,-19.689043,0.22528868,-0.00016789675,-0.69810503,2.9354996,0.00024050356,0.42572727,0.00073317196,0.016892743,1.1901783e-05,0.049486931,0.13038315,0.00024050356,0.084955875,0.00073317196,0.88511264,-0.97523775,-0.3836299,17.605409,2.5421318,-24.147727,-17.061091,0.24413651,0.093435758,0.0059395114,0.53100507,15.73122,10.525714,39.720109,0.97298662,87.43831,0.7830004,2.9354996,111.67084,0.42572727,111.64671,0.0043731646,6.4601232,0.057849689,17.605409,111.67084,-24.147727,111.64671,0.86583835,9.1362219,0.52629145,2.9354996,17.359624,0.42572727,50.450878,0.096297619,-8.3750646,-0.48244503,17.605409,17.359624,-24.147727,50.450878,0.13285566,-5.9165143,-0.34082041,0.13038315,17.359624,0.084955875,50.450878,0.30504863,-8.4341473,-0.53614071,21.009941,15.73122,-19.689043,39.720109,0.00090116823,-5.7668049,-0.36658346,0.00046274622,15.73122,0.00089713227,39.720109,0.030310379,-1.2831787,-0.081568927,6.6537547,15.73122,-16.999814,39.720109,0.64134416,2242.8307,261185.01,1.243424,87.382191,1,7
-0.73832129,-0.35504019,0.50022722,2.0795429,10.595455,0.26981818,0.28397346,-8.8433448,-0.48502417,0.50022722,18.232792,10.595455,-27.060364,0.13049355,-0.24834662,-0.98821537,0.50022722,0.25130819,10.595455,0.1100398,1.2050142e-08,-5.0168157,-0.23784064,0.53398376,21.093181,10.532857,-20.4476,0.16887767,-0.00015656768,-0.59690437,2.0795429,0.00026229944,0.26981818,0.00076007597,0.052530136,-2.9765385e-05,-0.11347865,0.25130819,0.00026229944,0.1100398,0.00076007597,0.73972906,-0.23927501,-0.087915689,18.232792,2.7216417,-27.060364,-16.696818,0.79714892,0.49888704,0.033696459,0.53398376,14.805326,10.532857,40.107005,0.84761262,71.685847,0.6700461,2.0795429,106.98644,0.26981818,110.90265,0.024079553,-2.131506,-0.019923142,18.232792,106.98644,-27.060364,110.90265,0.95363623,10.39921,0.62935869,2.0795429,16.523502,0.26981818,50.642244,0.038007674,-7.587005,-0.45916446,18.232792,16.523502,-27.060364,50.642244,0.15540592,-3.2093524,-0.19422955,0.25130819,16.523502,0.1100398,50.642244,0.56714018,-7.5320093,-0.50873649,21.093181,14.805326,-20.4476,40.107005,0.0018042848,-4.9907887,-0.33709416,0.00048282953,14.805326,0.00090519352,40.107005,0.047676968,-0.96722742,-0.065329696,6.9138904,14.805326,-16.9617,40.107005,0.70925417,2262.9838,261223.18,1.2433921,86.703955,1,8
