SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
2.8116889,0.15669522,9.1355891,17.94368,11.484296,11.490519,0.036728696,-1.7862256,-0.13138824,9.1355891,13.595019,11.484296,-0.78707138,0.080433847,0.013584341,0.075862998,9.1355891,0.17906412,11.484296,0.42999455,0.3141948,3.1951657,0.17442848,8.7529593,18.317913,11.033149,-1.1405225,0.020232526,0.00028194783,0.26826775,17.94368,0.0010509941,11.490519,0.002061126,0.00029401575,0.00027227686,0.25906602,0.17906412,0.0010509941,0.42999455,0.002061126,0.00047972755,-1.677015,-0.244961,13.595019,6.8460487,-0.78707138,-7.8106581,0.00098240497,1.3388802,0.094075197,9.0724002,14.232021,11.436995,28.026983,0.20778507,66.33313,0.30411402,17.94368,218.11928,11.490519,387.22477,3.6755987e-05,-5.2228676,-0.023945007,13.595019,218.11928,-0.78707138,387.22477,0.75104556,0.57559866,0.041414925,17.94368,13.898339,11.490519,28.486633,0.58308315,1.0368955,0.074605715,13.595019,13.898339,-0.78707138,28.486633,0.3223052,-5.3994314,-0.38849473,0.17906412,13.898339,0.42999455,28.486633,8.3849738e-08,0.061271809,0.0043119078,18.317913,14.209907,-1.1405225,27.784637,0.95457705,-5.3293245,-0.37446013,0.0010582946,14.232021,0.0020828025,28.026983,2.0677772e-07,-2.5579722,-0.17973359,6.834276,14.232021,-7.7177262,28.026983,0.015475123,5207.0063,268153.17,1.2355784,386.12556,1,daily
1.0680936,0.068524266,9.4334045,15.587086,11.936399,4.6502486,0.3703513,-1.9734113,-0.14564924,9.4334045,13.549067,11.936399,-8.998026,0.055871418,-0.016542183,-0.038004045,9.4334045,0.43527426,11.936399,0.36625707,0.61959758,-1.0739863,-0.03858951,9.14039,27.831042,11.502977,-31.791949,0.61008473,6.7649836e-05,0.06152532,15.587086,0.0010995446,4.6502486,0.0019502018,0.42131914,0.00019453309,0.1769215,0.43527426,0.0010995446,0.36625707,0.0019502018,0.019881918,-1.6866405,-0.22432005,13.549067,7.5189024,-8.998026,-9.0211243,0.0030073495,0.76527454,0.05616041,9.4343267,13.626584,11.902517,23.849065,0.45270121,55.693393,0.2149406,15.587086,259.11063,4.6502486,341.36748,0.0045131001,-37.640731,-0.14526896,13.549067,259.11063,-8.998026,341.36748,0.05652171,1.1402546,0.086359685,15.587086,13.203552,4.6502486,24.717604,0.25857666,-3.8839504,-0.29415951,13.549067,13.203552,-8.998026,24.717604,8.5553354e-05,-2.9052207,-0.22003327,0.43527426,13.203552,0.36625707,24.717604,0.0036277204,-6.5957583,-0.4882022,27.831042,13.5103,-31.791949,23.535551,5.4665486e-12,-5.4269768,-0.39826392,0.001105725,13.626584,0.0019904906,23.849065,2.8176707e-08,-3.642769,-0.26732811,7.4590455,13.626584,-8.8168812,23.849065,0.00027470742,4976.2264,267028.59,1.242599,340.98292,1,0
0.888089,0.082205095,9.4148089,10.803333,11.860627,4.4023786,0.2822755,-2.2109777,-0.15745986,9.4148089,14.041532,11.860627,-9.0249855,0.038548773,-0.020615559,-0.045752348,9.4148089,0.45059018,11.860627,0.38172115,0.55002098,-2.302734,-0.082313561,9.1147919,27.975147,11.428879,-31.091977,0.2760652,0.00018125118,0.16716577,10.803333,0.0010842601,4.4023786,0.0019248156,0.027929543,9.1817037e-05,0.084681744,0.45059018,0.0010842601,0.38172115,0.0019248156,0.26797811,-1.7427418,-0.23148445,14.041532,7.5285483,-9.0249855,-9.2175087,0.0021813503,0.94983321,0.06948216,9.4152483,13.670174,11.83142,23.60192,0.352664,93.195796,0.36460777,10.803333,255.60563,4.4023786,331.77303,8.1500697e-07,-45.631657,-0.17852368,14.041532,255.60563,-9.0249855,331.77303,0.018773417,1.6523342,0.12451668,10.803333,13.269982,4.4023786,24.429543,0.10262749,-3.6567545,-0.2755659,14.041532,13.269982,-9.0249855,24.429543,0.00024299304,-3.4256902,-0.25815334,0.45059018,13.269982,0.38172115,24.429543,0.00060542046,-6.8204727,-0.50364777,27.975147,13.542148,-31.091977,23.251664,8.9667938e-13,-5.3687225,-0.39273257,0.0010920875,13.670174,0.0019646274,23.60192,4.5413815e-08,-3.5926157,-0.26280688,7.4715337,13.670174,-9.0121022,23.60192,0.00035123879,4911.5686,266841.84,1.2437017,331.8618,1,1
4.1227993,0.1997049,9.5013387,20.644457,11.928677,1.1620657,0.0080572755,-0.068353494,-0.0026317736,9.5013387,25.972407,11.928677,-8.7346686,0.97242609,-0.015297074,-0.036353333,9.5013387,0.42078877,11.928677,0.35074795,0.63292004,-2.9868652,-0.10349938,9.0910211,28.858776,11.378136,-30.562912,0.17040673,1.3827294e-05,0.012834839,20.644457,0.0010773251,1.1620657,0.0019091161,0.86612771,0.000100542,0.093325592,0.42078877,0.0010773251,0.35074795,0.0019091161,0.21929053,-1.3073369,-0.17364819,25.972407,7.5286528,-8.7346686,-9.3750971,0.021551827,1.0377305,0.077623429,9.394327,13.368779,11.781826,23.200028,0.29896786,79.621996,0.32248689,20.644457,246.89995,1.1620657,323.72498,1.3466685e-05,2.7877245,0.011290908,25.972407,246.89995,-8.7346686,323.72498,0.88210682,3.4096208,0.26268049,20.644457,12.980107,1.1620657,23.926354,0.00044489712,-0.96848256,-0.074612835,25.972407,12.980107,-8.7346686,23.926354,0.32642996,-2.6447977,-0.20375778,0.42078877,12.980107,0.35074795,23.926354,0.0068391178,-7.2484993,-0.55214304,28.858776,13.127937,-30.562912,22.786553,1.6350851e-15,-5.3457333,-0.39986698,0.0010885806,13.368779,0.0019434619,23.200028,2.4496306e-08,-3.7327333,-0.27921273,7.5016507,13.368779,-9.2100138,23.200028,0.00014101527,4858.6548,266636.55,1.2449207,324.1433,1,2
-0.81220726,-0.020356977,9.3040323,39.898226,11.667352,7.6122557,0.78856906,-4.9726651,-0.21150991,9.4213344,23.510317,11.759758,-8.8381882,0.0045947812,-0.011532618,-0.025911736,9.3040323,0.44507314,11.667352,0.38959408,0.73282816,-2.8081066,-0.10094195,9.0536784,27.819024,11.295562,-29.581955,0.18127243,0.00010669647,0.098192825,39.898226,0.0010866015,7.6122557,0.001906687,0.19479356,9.1576763e-05,0.084278146,0.44507314,0.0010866015,0.38959408,0.001906687,0.26609998,-0.82802447,-0.10965891,23.510317,7.5509095,-8.8381882,-9.4929663,0.14508247,0.84744139,0.064919,9.3585008,13.053827,11.699235,22.658487,0.38525137,32.050166,0.13200338,39.898226,242.79807,7.6122557,316.97048,0.080742415,-34.528687,-0.14215205,23.510317,242.89968,-8.8381882,319.71834,0.058383568,-1.0523576,-0.081745899,39.898226,12.873522,7.6122557,23.048399,0.28078368,-2.6827601,-0.20884669,23.510317,12.845596,-8.8381882,23.027486,0.0051475871,-1.179787,-0.091644459,0.44507314,12.873522,0.38959408,23.048399,0.2263997,-6.9570599,-0.5365742,27.819024,12.9657,-29.581955,22.314796,1.3835708e-14,-5.4256058,-0.41563335,0.001088341,13.053827,0.0019282451,22.658487,5.9404005e-09,-3.9413697,-0.30193213,7.542263,13.053827,-9.3869144,22.658487,3.6156582e-05,4820.6127,266459.86,1.2457374,319.44545,1,3
-0.68474593,-0.019923232,9.266751,34.36922,11.549403,5.9518665,0.79297128,-2.999067,-0.12101017,9.2572868,24.783595,11.507379,-5.1506017,0.10861919,0.019322958,0.047687564,9.266751,0.4051991,11.549403,0.32964282,0.52967857,-1.8746325,-0.071013871,9.015663,26.398117,11.17315,-28.350322,0.34759181,5.3959481e-05,0.050532662,34.36922,0.0010678139,5.9518665,0.0018889475,0.50538535,0.0001544818,0.14467108,0.4051991,0.0010678139,0.32964282,0.0018889475,0.055404154,0.08961097,0.01184663,24.783595,7.5642586,-5.1506017,-9.5955734,0.87564053,0.87674078,0.069053721,9.3259866,12.696503,11.578743,22.240233,0.35564796,25.098168,0.10004005,34.36922,250.8812,5.9518665,320.15011,0.18648774,-20.912601,-0.083577713,24.783595,250.21744,-5.1506017,319.77419,0.26873208,-0.50456149,-0.040639443,34.36922,12.415561,5.9518665,22.677582,0.59228844,-3.8540718,-0.30839895,24.783595,12.497033,-5.1506017,22.54946,2.964685e-05,-2.4075351,-0.1939127,0.4051991,12.415561,0.32964282,22.677582,0.0099162424,-6.6593413,-0.52653991,26.398117,12.647363,-28.350322,21.920432,5.1754722e-14,-5.5881474,-0.44013279,0.0010821072,12.696503,0.0019194103,22.240233,5.6556975e-10,-4.3016588,-0.33880658,7.5380606,12.696503,-9.4945718,22.240233,3.0812981e-06,4798.5258,266360.41,1.2457916,320.36107,1,4
-1.7505528,-0.037388999,9.2353913,46.819995,11.41814,9.9414714,0.62325869,-2.0704534,-0.16439923,9.2353913,12.594058,11.41814,-5.47052,0.029703198,-0.0035693099,-0.0077491884,9.2353913,0.46060436,11.41814,0.4268183,0.91893209,-1.4790518,-0.055863087,8.9478771,26.47637,11.046119,-27.38011,0.46019779,0.00017114278,0.16045621,46.819995,0.0010666012,9.9414714,0.0018709341,0.033905979,6.2486222e-05,0.058584431,0.46060436,0.0010666012,0.4268183,0.0018709341,0.44123646,-0.61240512,-0.08082967,12.594058,7.5764892,-5.47052,-9.8194714,0.2876214,1.0025345,0.080912742,9.2628027,12.390316,11.452359,22.049262,0.27889529,35.093325,0.13769739,46.819995,254.85832,9.9414714,315.68467,0.069190013,-37.161244,-0.14581138,12.594058,254.85832,-5.47052,315.68467,0.054181474,-1.8506443,-0.15270628,46.819995,12.11898,9.9414714,22.547227,0.043644885,-4.2274579,-0.34882952,12.594058,12.11898,-5.47052,22.547227,2.2344865e-06,-2.4131155,-0.1991187,0.46060436,12.11898,0.4268183,22.547227,0.0082485532,-6.4139198,-0.52041866,26.47637,12.324538,-27.38011,21.724822,1.1331866e-13,-5.7576322,-0.46468807,0.0010775048,12.390316,0.0019053221,22.049262,4.404916e-11,-4.5846893,-0.37002197,7.5580147,12.390316,-9.6310414,22.049262,2.9472315e-07,4763.3051,266222.06,1.2464664,316.63108,1,5
9.8095691,0.17919646,9.311608,54.741981,11.447766,9.1728743,0.017653957,-3.4441984,-0.20500583,9.311608,16.80049,11.447766,-6.8695343,0.0064985597,0.0038554575,0.0092325805,9.311608,0.41759263,11.447766,0.36074325,0.90348283,-1.6830689,-0.062488469,8.8736358,26.934073,10.913924,-26.763619,0.40864948,9.6800783e-05,0.09135193,54.741981,0.0010596468,9.1728743,0.0018593236,0.22923658,0.00012951302,0.12222282,0.41759263,0.0010596468,0.36074325,0.0018593236,0.10711092,-0.64891999,-0.086071989,16.80049,7.5392702,-6.8695343,-9.8641457,0.25739543,1.2203841,0.096700244,9.1922383,12.620279,11.320058,22.00177,0.19532282,45.426763,0.17761345,54.741981,255.76195,9.1728743,313.96809,0.018698154,-56.471647,-0.22079769,16.80049,255.76195,-6.8695343,313.96809,0.0033218118,0.084925306,0.0069105618,54.741981,12.289204,9.1728743,22.667271,0.92768005,-3.5414592,-0.28817645,16.80049,12.289204,-6.8695343,22.667271,0.00011006429,-2.566621,-0.20885169,0.41759263,12.289204,0.36074325,22.667271,0.0055422138,-6.6139853,-0.52802011,26.934073,12.52601,-26.763619,21.651371,4.2718584e-14,-5.6972562,-0.45143662,0.0010715018,12.620279,0.0019011781,22.00177,1.79109e-10,-4.4101818,-0.349452,7.5274529,12.620279,-9.6394862,22.00177,1.4232996e-06,4752.9452,266204.74,1.2469748,312.78715,1,6
3.5432398,0.091883714,9.2251993,38.562218,11.35072,8.4285029,0.22652592,-2.9060469,-0.15853814,9.2251993,18.33027,11.35072,-5.5672657,0.036126213,0.0042483666,0.009621302,9.2251993,0.44155838,11.35072,0.37528202,0.89944011,-1.4487742,-0.05421467,8.8046597,26.722919,10.77761,-26.578675,0.47356158,0.00017427025,0.16513386,38.562218,0.0010553272,8.4285029,0.0018688893,0.028971367,6.9861912e-05,0.06619929,0.44155838,0.0010553272,0.37528202,0.0018688893,0.38407438,-0.94262892,-0.12609244,18.33027,7.4756974,-5.5672657,-9.7676086,0.096365416,1.0982171,0.086542248,9.1288708,12.689953,11.184677,22.080859,0.24669465,67.859663,0.26487107,38.562218,256.19884,8.4285029,311.15534,0.0003966767,-33.485781,-0.13070231,18.33027,256.19884,-5.5672657,311.15534,0.084700333,-0.51823287,-0.041763167,38.562218,12.40885,8.4285029,22.692778,0.5831736,-2.5304793,-0.20392536,18.33027,12.40885,-5.5672657,22.692778,0.0067924836,-1.792758,-0.14447414,0.44155838,12.40885,0.37528202,22.692778,0.05645113,-6.4196737,-0.50940006,26.722919,12.60242,-26.578675,21.733395,4.4672012e-13,-5.8596186,-0.46175257,0.0010637276,12.689953,0.0018944476,22.080859,6.041538e-11,-4.4961558,-0.3543083,7.4730315,12.689953,-9.6534448,22.080859,9.9114933e-07,4736.1189,266174.53,1.2475013,310.26892,1,7
0.095357046,0.0054644953,9.1544675,17.450293,11.18969,3.9229375,0.94261887,-1.5301241,-0.086701081,9.1544675,17.64827,11.18969,-3.0056818,0.25254908,0.058011163,0.13705046,9.1544675,0.42328324,11.18969,0.41576986,0.069709686,-2.1084023,-0.088914369,8.7444041,23.712728,10.658,-8.3331469,0.23924342,0.00018647202,0.17603798,17.450293,0.0010592715,3.9229375,0.0018905396,0.019436711,0.00020736857,0.19576526,0.42328324,0.0010592715,0.41576986,0.0018905396,0.009218094,-1.3353221,-0.18137692,17.64827,7.3621389,-3.0056818,-9.4737386,0.015991588,0.78788919,0.060485206,9.0710625,13.026147,11.064624,23.397309,0.41860235,53.742166,0.20151699,17.450293,266.68802,3.9229375,314.18523,0.0073195295,-29.188889,-0.10944957,17.64827,266.68802,-3.0056818,314.18523,0.14817327,1.0948949,0.085752359,17.450293,12.768102,3.9229375,23.924912,0.25779714,-0.47052256,-0.03685141,17.64827,12.768102,-3.0056818,23.924912,0.62727167,-0.85687249,-0.067110404,0.42328324,12.768102,0.41576986,23.924912,0.3761705,-5.4927619,-0.42634801,23.712728,12.883283,-8.3331469,23.013343,3.2816118e-09,-6.500713,-0.4990511,0.0010710849,13.026147,0.0019148853,23.397309,8.6474133e-13,-4.9764335,-0.38203418,7.3789255,13.026147,-9.3736575,23.397309,1.1155529e-07,4787.2131,266444.09,1.2466616,315.10235,1,8
