SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
5.2674063,0.48252946,6.076481,10.916238,39.722495,14.82668,2.5410156e-06,-2.8411908,-0.24106843,6.076481,11.785827,39.722495,-1.3668518,0.025355096,0.086567642,0.35298094,6.076481,0.24524736,39.722495,0.55707668,0.00085760771,4.4304825,0.25419257,6.076481,17.42963,39.722495,19.151142,0.018190183,0.00027367311,0.22673048,10.916238,0.0012070415,14.82668,0.0024998367,0.035793427,0.00021586541,0.17883843,0.24524736,0.0012070415,0.55707668,0.0024998367,0.099450811,-3.0475702,-0.60472659,11.785827,5.0395835,-1.3668518,-3.2378287,7.0004597e-10,-1.0498719,-0.0060075175,6.076481,174.75969,39.722495,485.62213,0.95622078,157.41054,0.469623,10.916238,335.18491,14.82668,595.9292,5.0772391e-06,88.589848,0.26430142,11.785827,335.18491,-1.3668518,595.9292,0.013930075,73.174505,0.41871501,10.916238,174.75969,14.82668,485.62213,6.0163015e-05,12.901238,0.073822735,11.785827,174.75969,-1.3668518,485.62213,0.49935266,-19.528453,-0.11174461,0.24524736,174.75969,0.55707668,485.62213,0.30568163,73.182175,0.4187589,17.42963,174.75969,19.151142,485.62213,6.0044885e-05,-64.621429,-0.36977308,0.0012070415,174.75969,0.0024998367,485.62213,0.00045829341,-30.025546,-0.17181048,5.0395835,174.75969,-3.2378287,485.62213,0.11370059,6249.5917,271236.45,1.2296492,595.9292,1,daily
4.5272088,0.41361375,6.4129353,10.945499,41.461358,11.782987,0.0020805213,-2.2044466,-0.13292788,6.4129353,16.58378,41.461358,-8.8885477,0.34268493,0.010237819,0.01952135,6.4129353,0.52444215,41.461358,0.5719221,0.88965411,-2.0997153,-0.13786749,6.4129353,15.229953,41.461358,-16.922887,0.32488516,0.00015249572,0.17089231,10.945499,0.00089234984,11.782987,0.0024368635,0.22115126,-6.8158219e-05,-0.076380604,0.52444215,0.00089234984,0.5719221,0.0024368635,0.58672022,-2.4473202,-0.5232126,16.58378,4.6774871,-8.8885477,-3.3978679,5.8268032e-05,9.5044972,0.045070482,6.4129353,210.88075,41.461358,426.48307,0.74862199,132.10846,0.30218539,10.945499,437.17686,11.782987,653.44331,0.027865128,-13.191219,-0.030173643,16.58378,437.17686,-8.8885477,653.44331,0.83017417,43.471628,0.20614318,10.945499,210.88075,11.782987,426.48307,0.13862866,-69.875227,-0.33134948,16.58378,210.88075,-8.8885477,426.48307,0.015365793,-33.389334,-0.15833277,0.52444215,210.88075,0.5719221,426.48307,0.25748542,-106.55286,-0.50527541,15.229953,210.88075,-16.922887,426.48307,0.00011392663,-71.579014,-0.33942886,0.00089234984,210.88075,0.0024368635,426.48307,0.01290207,-2.6364968,-0.012502311,4.6774871,210.88075,-3.3978679,426.48307,0.92920011,6092.1587,271099.55,1.2250463,653.44331,1,0
3.880333,0.27192292,6.3846353,14.269974,41.370363,14.590258,0.053567031,-0.16071906,-0.0093258415,6.3846353,17.233733,41.370363,-8.6879394,0.94821372,0.11649703,0.21988736,6.3846353,0.52980321,41.370363,0.66820762,0.12103983,-2.2710087,-0.15622315,6.3846353,14.536954,41.370363,-15.440833,0.27363214,0.00011735008,0.13392254,14.269974,0.00087625336,14.590258,0.002422645,0.34880086,1.5657966e-06,0.0017869222,0.52980321,0.00087625336,0.66820762,0.002422645,0.99007073,-2.2578153,-0.48582294,17.233733,4.6474035,-8.6879394,-3.281,0.00030153694,0.17557002,0.00080564895,6.3846353,217.92373,41.370363,450.24308,0.99552322,218.2188,0.47934588,14.269974,455.24289,14.590258,668.63794,0.00037249049,-22.193164,-0.048750162,17.233733,455.24289,-8.6879394,668.63794,0.73406971,62.272086,0.28575175,14.269974,217.92373,14.590258,450.24308,0.042084415,-65.629446,-0.30115787,17.233733,217.92373,-8.6879394,450.24308,0.031752659,-18.781276,-0.086182796,0.52980321,217.92373,0.66820762,450.24308,0.5476198,-102.97089,-0.47250883,14.536954,217.92373,-15.440833,450.24308,0.000463491,-84.773681,-0.3890062,0.00087625336,217.92373,0.002422645,450.24308,0.0047837716,-7.2048784,-0.033061468,4.6474035,217.92373,-3.281,450.24308,0.81784649,6056.6124,271189.49,1.2239995,668.63794,1,1
2.4654669,0.18271509,6.9258723,13.493505,41.322489,13.907023,0.21896645,-1.1776406,-0.07413936,6.9474323,15.884149,41.156677,-8.182936,0.61650979,0.071337092,0.1300225,6.9258723,0.54865191,41.322489,0.59971102,0.38370366,-1.1010558,-0.075181573,6.9474323,14.645289,41.156677,-16.904802,0.6115495,0.00010516237,0.09166116,13.493505,0.0011472948,13.907023,0.0024405216,0.54002965,-0.00012632655,-0.11010819,0.54865191,0.0011472948,0.59971102,0.0024405216,0.46125511,-2.3328631,-0.43449063,15.884149,5.3691909,-8.182936,-3.6431458,0.0020304062,-3.5824749,-0.016149357,6.9474323,221.83391,41.156677,448.39121,0.91324709,207.31991,0.48999682,13.493505,423.10461,13.907023,625.74169,0.00047228735,13.796161,0.032428318,15.884149,425.4356,-8.182936,614.76176,0.82680179,45.935604,0.20612376,13.493505,222.85448,13.907023,451.93512,0.16451666,-48.146184,-0.21703708,15.884149,221.83391,-8.182936,448.39121,0.1384022,-5.649915,-0.025352486,0.54865191,222.85448,0.59971102,451.93512,0.86567492,-67.604999,-0.30475503,14.645289,221.83391,-16.904802,448.39121,0.03519255,-69.783119,-0.31457373,0.0011512904,221.83391,0.0024126864,448.39121,0.029436127,-5.5060598,-0.024820641,5.3691909,221.83391,-3.6431458,448.39121,0.86701184,6031.716,270709.96,1.2313229,614.76176,1,2
5.7609912,0.38862415,6.4646783,14.824069,41.119637,14.512254,0.0048288677,0.57550563,0.033212795,6.4728359,17.327829,40.866557,-8.9267042,0.81336107,0.14749506,0.27312405,6.4646783,0.54002956,41.119637,0.54223451,0.052478583,-1.5584408,-0.099935226,6.4728359,15.594509,40.866557,-17.672085,0.47647939,0.00015248654,0.13265331,14.824069,0.0011495118,14.512254,0.0024315926,0.35342914,-8.599613e-06,-0.0074811002,0.54002956,0.0011495118,0.54223451,0.0024315926,0.95844746,-2.286673,-0.43548434,17.327829,5.2508731,-8.9267042,-3.8261226,0.0011176548,-14.084705,-0.055344659,6.4728359,254.49078,40.866557,442.04975,0.69386936,229.07478,0.53298536,14.824069,429.79562,14.512254,615.27228,5.6600695e-05,-46.017794,-0.10732485,17.327829,428.77109,-8.9267042,601.17484,0.44431987,81.978846,0.31844639,14.824069,257.43374,14.512254,448.3819,0.022760693,-90.920967,-0.35726626,17.327829,254.49078,-8.9267042,442.04975,0.0086340601,-9.0775662,-0.035261758,0.54002956,257.43374,0.54223451,448.3819,0.80595104,-93.566208,-0.3676605,15.594509,254.49078,-17.672085,442.04975,0.0067616667,-86.282059,-0.33903806,0.0011522363,254.49078,0.0023847275,442.04975,0.013012914,9.7219064,0.038201409,5.2508731,254.49078,-3.8261226,442.04975,0.78594655,5961.8187,270633.48,1.231195,601.17484,1,3
3.9306882,0.29610913,6.3369246,13.274458,40.72278,12.385309,0.036804469,0.85357458,0.046902482,6.3604157,18.198921,40.575824,-9.2419777,0.74379886,0.16987698,0.31631463,6.3369246,0.53705067,40.72278,0.49678746,0.025226584,-2.0627546,-0.13899253,6.3604157,14.840758,40.575824,-17.838931,0.33068772,0.00026570078,0.32007476,13.274458,0.000830121,12.385309,0.0022538391,0.023451281,0.00016882123,0.20336943,0.53705067,0.000830121,0.49678746,0.0022538391,0.15662359,-1.7205642,-0.36510148,18.198921,4.7125644,-9.2419777,-4.3502745,0.0084303463,-18.666404,-0.078101843,6.3604157,239.00082,40.575824,450.69739,0.58591549,214.98933,0.50734977,13.274458,423.74974,12.385309,628.70418,0.00016964232,-23.597548,-0.05525467,18.198921,427.06885,-9.2419777,617.48861,0.70015653,64.111218,0.26697967,13.274458,240.13521,12.385309,454.15517,0.060894376,-88.833545,-0.3716872,18.198921,239.00082,-9.2419777,450.69739,0.0072414854,-24.458112,-0.10185142,0.53705067,240.13521,0.49678746,454.15517,0.4815474,-94.068466,-0.39359056,14.840758,239.00082,-17.838931,450.69739,0.004270753,-87.980753,-0.36811905,0.00083466632,239.00082,0.0022333792,450.69739,0.0078661214,4.485946,0.018769584,4.7125644,239.00082,-4.3502745,450.69739,0.89598887,5583.448,270021.99,1.2323317,617.48861,1,4
3.8754568,0.2801195,6.5520753,13.835013,40.501943,12.223024,0.042199872,1.1611939,0.065224075,6.5520753,17.803148,40.501943,-9.2267635,0.64264028,0.075625518,0.14162883,6.5520753,0.53396982,40.501943,0.50405012,0.31173039,-0.37050243,-0.025924466,6.5520753,14.291613,40.501943,-16.206151,0.85380677,0.00019971789,0.22619019,13.835013,0.00088296441,12.223024,0.0023639106,0.10339605,6.7661884e-05,0.076630363,0.53396982,0.00088296441,0.50405012,0.0023639106,0.58549375,-1.6955409,-0.35982091,17.803148,4.7121799,-9.2267635,-3.7972736,0.0081364765,-1.9200521,-0.0085843803,6.5520753,223.66811,40.501943,430.41688,0.95135435,241.13587,0.5758178,13.835013,418.77114,12.223024,568.23011,6.4491599e-06,37.816231,0.090302859,17.803148,418.77114,-9.2267635,568.23011,0.52018882,49.936519,0.22326169,13.835013,223.66811,12.223024,430.41688,0.10806115,-50.499317,-0.22577791,17.803148,223.66811,-9.2267635,430.41688,0.10404326,-23.729615,-0.10609298,0.53396982,223.66811,0.50405012,430.41688,0.44959592,-76.324337,-0.34123925,14.291613,223.66811,-16.206151,430.41688,0.012399098,-83.495073,-0.37329897,0.00088296441,223.66811,0.0023639106,430.41688,0.0059024833,-8.276364,-0.037002879,4.7121799,223.66811,-3.7972736,430.41688,0.79251086,5909.7765,270673.24,1.2338307,568.23011,1,5
5.5539041,0.49744803,6.3593914,11.164793,40.620164,10.601609,7.1063693e-05,-0.17137709,-0.0092748939,6.3805695,18.477525,40.492136,-8.9875895,0.94441733,0.14406365,0.29089536,6.3593914,0.49524215,40.620164,0.41114418,0.026738467,-0.2687537,-0.018187714,6.3805695,14.776662,40.492136,-16.110449,0.89124845,0.00015331461,0.12981825,11.164793,0.0011809943,10.601609,0.0024499674,0.33141764,-7.6176739e-05,-0.064502207,0.49524215,0.0011809943,0.41114418,0.0024499674,0.6304866,-2.3166465,-0.42419415,18.477525,5.4612882,-8.9875895,-4.0141525,0.00081337207,-27.363773,-0.13367839,6.3805695,204.69856,40.492136,399.60607,0.31279587,232.47161,0.57245181,11.164793,406.09813,10.601609,526.89721,2.6649236e-06,36.812577,0.090485944,18.477525,406.83199,-8.9875895,519.2615,0.49551415,78.560325,0.38132168,11.164793,206.02113,10.601609,401.39398,0.0031438541,-61.664804,-0.30124688,18.477525,204.69856,-8.9875895,399.60607,0.020419072,1.6176623,0.0078519242,0.49524215,206.02113,0.41114418,401.39398,0.95335227,-80.671327,-0.39409816,14.776662,204.69856,-16.110449,399.60607,0.002012423,-74.275982,-0.36285541,0.0011825898,204.69856,0.0024282533,399.60607,0.0047359153,-15.308391,-0.074785043,5.4612882,204.69856,-4.0141525,399.60607,0.57348023,6070.6333,270466.35,1.2385247,519.2615,1,6
3.1482175,0.26703447,6.3906091,11.789555,40.52532,9.8683703,0.060839385,-0.15276142,-0.0093958414,6.4188978,16.258407,40.373265,-8.8188194,0.94782555,-0.026724141,-0.052897873,6.3906091,0.50520256,40.52532,0.49788537,0.71523129,-0.68510697,-0.046270166,6.4188978,14.806668,40.373265,-18.01099,0.7471376,-0.00011744477,-0.088671549,11.789555,0.0013244922,9.8683703,0.0023761182,0.54030491,-0.00028371547,-0.21420698,0.50520256,0.0013244922,0.49788537,0.0023761182,0.13523802,-2.6048682,-0.43332437,16.258407,6.0113587,-8.8188194,-4.439098,0.0014915979,-19.912606,-0.09621736,6.4188978,206.9544,40.373265,429.3287,0.50180299,270.3687,0.67442726,11.789555,400.88638,9.8683703,560.99322,7.8812455e-08,22.813667,0.056581993,16.258407,403.19659,-8.8188194,551.0209,0.69330424,102.80221,0.4941611,11.789555,208.0338,9.8683703,432.19029,0.00026502775,-53.621143,-0.25909641,16.258407,206.9544,-8.8188194,429.3287,0.066366897,10.994395,0.052849082,0.50520256,208.0338,0.49788537,432.19029,0.71548287,-72.682647,-0.35120126,14.806668,206.9544,-18.01099,429.3287,0.011505391,-68.127145,-0.32918915,0.0013214767,206.9544,0.0023530639,429.3287,0.018336158,-7.9830737,-0.03857407,6.0113587,206.9544,-4.439098,429.3287,0.7881262,5882.6597,270036,1.2366955,551.0209,1,7
2.4603843,0.23450458,5.8078305,10.491839,40.895034,11.393411,0.076418692,-2.6069291,-0.16624998,5.8656728,15.680778,40.748339,-5.4576279,0.20823025,0.040085344,0.081621567,5.7733769,0.49111215,41.025272,0.55708504,0.54611928,0.87901457,0.082675999,5.8911376,10.63204,40.627058,0.067933333,0.52999705,-0.00024052185,-0.16655242,10.491839,0.001444121,11.393411,0.0024656936,0.21145934,-0.00027220279,-0.18686814,0.49111215,0.001456657,0.55708504,0.00246184,0.16396411,-3.2775419,-0.53505054,15.680778,6.1256679,-5.4576279,-4.2508475,1.2661562e-05,-37.457021,-0.18724091,5.8911376,200.04721,40.627058,421.36849,0.15198459,206.28215,0.5332025,10.491839,386.87393,11.393411,546.71367,1.6375915e-05,68.731193,0.17822073,15.680778,385.65206,-5.4576279,521.49706,0.176859,95.278811,0.47306968,10.491839,201.40545,11.393411,426.66146,0.00017673779,-28.583869,-0.14195138,15.680778,201.3638,-5.4576279,419.74189,0.28351251,0.14993723,0.00073923411,0.49111215,202.8278,0.55708504,425.07065,0.99564561,23.947373,0.11970861,10.63204,200.04721,0.067933333,421.36849,0.36227697,-70.338485,-0.35160943,0.00143476,200.04721,0.0024273532,421.36849,0.0058723686,-25.257784,-0.12625912,6.0911212,200.04721,-4.1911333,421.36849,0.33641149,6068.3831,270210.15,1.2390069,531.13285,1,8
