SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
2.5603831,0.11552804,9.3622173,22.162437,44.484779,12.604183,0.44982118,4.5455082,0.19784922,9.4736988,22.974608,44.607161,-6.0836069,0.14763274,0.076215219,0.30330718,9.3622173,0.25128063,44.484779,0.46974814,0.042828405,4.1034031,0.17565337,10.011408,23.3608,45.524589,-16.474886,0.13715648,-0.00027444479,-0.13141985,20.091786,0.0020883055,9.5470808,0.0033250944,0.32111548,-0.00068041337,-0.3258208,0.28906258,0.0020883055,0.36548535,0.0033250944,0.011793635,0.39699756,0.051503645,25.932385,7.7081449,-5.9891561,-3.2395956,0.66744318,-2.1828732,-0.087568048,10.011408,24.927736,45.524589,32.454958,0.46131385,-13.225172,-0.046379436,20.091786,285.15164,9.5470808,558.59155,0.72722993,-34.22622,-0.11605005,25.932385,294.92637,-5.9891561,579.54029,0.33166364,-0.32506877,-0.012064907,20.091786,26.94333,9.5470808,33.199604,0.92773674,-1.6806241,-0.06526167,25.932385,25.752085,-5.9891561,33.891644,0.5859921,-3.1631438,-0.11739989,0.28906258,26.94333,0.36548535,33.199604,0.37586596,-5.9896415,-0.24984253,23.097546,23.973666,-11.229236,31.374512,0.010922167,-7.3836768,-0.30799114,0.0018464456,23.973666,0.0028834985,31.374512,0.0015512096,-1.073786,-0.044790229,7.4333195,23.973666,-4.6064637,31.374512,0.653252,7208.7463,277809.06,1.1131212,600.47235,1,daily
-0.060208698,-0.0055049138,6.8137641,10.937265,45.494855,2.1052632,0.97383313,2.7687417,0.061671466,9.6956415,44.895019,43.6615,-8.2840909,0.69086287,-0.02773301,-0.063723979,6.8137641,0.43520525,45.494855,0.30974065,0.70388198,3.6950674,0.10704367,10.117475,34.519251,45.677507,-36.034247,0.3673812,2.4799144e-05,0.013252831,10.083903,0.0018712337,1.6888889,0.0027419067,0.93114473,-0.00011741357,-0.062746611,0.41371675,0.0018712337,0.26361407,0.0027419067,0.68219015,-0.96880187,-0.125039,42.156692,7.7479977,-10.471698,-4.795283,0.37233957,-5.8299264,-0.19620346,10.117475,29.713677,45.677507,29.152507,0.096183909,79.04952,0.22266606,10.083903,355.01378,1.6888889,435.38676,0.14151158,-22.590622,-0.062816376,42.156692,359.6295,-10.471698,439.85726,0.65498539,5.2562273,0.14695168,10.083903,35.768405,1.6888889,33.873956,0.33540463,-11.299197,-0.32316889,42.156692,34.963752,-10.471698,35.856094,0.018258971,-10.184594,-0.28473717,0.41371675,35.768405,0.26361407,33.873956,0.057989695,-12.044463,-0.41637016,33.446591,28.927295,-32.133663,26.783427,1.486128e-05,-7.5600923,-0.26134805,0.0019079107,28.927295,0.0027835941,26.783427,0.0082937599,2.2103177,0.076409414,7.9272667,28.927295,-5.4381188,26.783427,0.44757863,6958.9852,276971.52,1.1222749,507.2175,1,0
-10.706124,-0.11219712,9.9800616,95.42245,44.355355,21.592105,0.50244483,-2.2390202,-0.041532015,9.6567553,53.910705,43.572852,-10.704545,0.78894817,0.096339444,0.20017572,9.9800616,0.48127437,44.355355,0.35621705,0.22820814,2.0276525,0.059130956,10.105637,34.29088,45.626151,-35.643836,0.61923815,4.4414494e-05,0.021711409,86.949511,0.0020456753,17.706522,0.0028650097,0.88611784,-6.1140293e-05,-0.029887584,0.45455024,0.0020456753,0.29905742,0.0028650097,0.84369232,-0.68466014,-0.084076399,50.931481,8.1433096,-13.222222,-4.65,0.54554582,-7.4085768,-0.24931819,10.105637,29.715349,45.626151,28.517953,0.033409821,72.512426,0.20566262,86.949511,352.57951,17.706522,419.2116,0.17031466,60.843278,0.17449533,50.931481,348.68141,-13.222222,429.91652,0.20695675,-3.3793914,-0.0938465,86.949511,36.009776,17.706522,34.394812,0.53502564,-9.9744138,-0.28345704,50.931481,35.18845,-13.222222,34.834037,0.037797172,-10.685278,-0.2967327,0.45455024,36.009776,0.29905742,34.394812,0.045230274,-11.842056,-0.40807597,33.582468,29.019243,-31.673267,26.288886,2.2754095e-05,-7.1167379,-0.24524202,0.0019234499,29.019243,0.0027829946,26.288886,0.01344176,2.7726871,0.0955465,8.1300784,29.019243,-5.5549505,26.288886,0.34188116,6957.4864,276862.95,1.1227723,501.86734,1,1
2.8459066,0.1001678,10.201579,28.411391,44.607357,-1.1142857,0.56696829,-0.16658247,-0.011210819,9.9546713,14.859082,43.805212,-12.95,0.94526251,0.085241867,0.20275914,10.201579,0.42040949,44.607357,0.27604678,0.24274315,-0.45775107,-0.014476152,10.100346,31.621047,45.5755,-32.609589,0.90325077,-0.00019876182,-0.10445489,26.206515,0.0019028484,-0.8902439,0.0026220952,0.51573407,4.4507864e-05,0.023390126,0.39848652,0.0019028484,0.2384364,0.0026220952,0.88458618,-1.0195209,-0.122141,35.878208,8.3470812,-8.79,-4.969,0.39811478,-6.7875442,-0.23376483,10.100346,29.03578,45.5755,27.906804,0.046537379,-10.246497,-0.0287834,26.206515,355.98634,-0.8902439,449.27277,0.85821966,-40.754971,-0.11799279,35.878208,345.40221,-8.79,439.75168,0.41444935,4.3390178,0.1182886,26.206515,36.681623,-0.8902439,36.587672,0.46137465,-8.4570311,-0.23781528,35.878208,35.561344,-8.79,36.106503,0.096306502,-9.7123701,-0.26477482,0.39848652,36.681623,0.2384364,36.587672,0.094334666,-11.103995,-0.38623109,32.032505,28.749615,-29.831683,26.292102,6.6294049e-05,-6.4582485,-0.22463774,0.0019304849,28.749615,0.0027666923,26.292102,0.023919053,2.9720013,0.10337534,8.2684118,28.749615,-5.6960396,26.292102,0.30360331,6916.7307,276711.44,1.1228098,506.64293,1,2
-0.65570983,-0.078454143,6.8173391,8.3578738,45.406015,4.4558824,0.65918971,-0.6222215,-0.042197099,9.9187898,14.745599,43.367638,-12.875,0.79599768,0.036841301,0.084058499,6.8173391,0.43828169,45.406015,0.30154535,0.63646597,-1.3628981,-0.043036782,10.108501,31.668215,45.560425,-31.253425,0.71770517,0.00031523843,0.16666364,7.7998788,0.0018914649,3.7195122,0.0026947007,0.29765668,-2.1506122e-06,-0.0011370088,0.41222762,0.0018914649,0.25380519,0.0026947007,0.99437077,-1.1550075,-0.1389402,43.233322,8.3129828,-5.877551,-5.3673469,0.34104496,-6.2764926,-0.21981523,10.108501,28.553493,45.560425,27.426543,0.061676852,45.673687,0.1272888,7.7998788,358.81936,3.7195122,435.47262,0.42773455,-38.455996,-0.11172913,43.233322,344.18953,-5.877551,427.31882,0.44468168,9.7872509,0.28699211,7.7998788,34.102857,3.7195122,31.995196,0.068865613,-6.3965134,-0.18841026,43.233322,33.949922,-5.877551,33.936385,0.19481303,-4.90392,-0.14379792,0.41222762,34.102857,0.25380519,31.995196,0.36974272,-10.809651,-0.38529448,31.897561,28.055557,-28.886139,26.024295,6.9289492e-05,-6.1391698,-0.21882188,0.0019277814,28.055557,0.0027431505,26.024295,0.027915178,2.5969873,0.092565877,8.4198295,28.055557,-5.9232673,26.024295,0.35722022,6857.8764,276485.54,1.1231726,507.45251,1,3
3.8023321,0.16774917,10.200202,22.666772,44.300153,9.0555556,0.32811054,-2.8494704,-0.15752424,9.9439497,18.089092,43.533098,-11.097561,0.32530571,0.061851194,0.13248527,10.200202,0.46685337,44.300153,0.39933099,0.4411442,2.4879376,0.081003687,10.147788,30.713881,45.546048,-30.068493,0.49569991,0.00042817958,0.22430253,21.219872,0.0019089378,7.7261905,0.0027004874,0.15327829,-6.3480412e-05,-0.033254312,0.45052088,0.0019089378,0.34711375,0.0027004874,0.83439639,-1.6498672,-0.19104775,49.2073,8.6358893,-4.9693878,-5.3969388,0.18852322,-6.8012575,-0.23915674,10.147788,28.438494,45.546048,27.453961,0.041573743,193.97238,0.51682337,21.219872,375.31659,7.7261905,446.58032,0.00045788438,-50.120899,-0.13907216,49.2073,360.39492,-4.9693878,441.85106,0.3405821,-0.96370375,-0.028806729,21.219872,33.454119,7.7261905,33.542358,0.85629506,-6.338648,-0.18878063,49.2073,33.576793,-4.9693878,34.567609,0.19392089,-2.6703276,-0.079820592,0.45052088,33.454119,0.34711375,33.542358,0.61532409,-9.5689193,-0.3402616,31.247372,28.122243,-28.371287,26.063688,0.00049859225,-5.940635,-0.21124329,0.0019215935,28.122243,0.0027220419,26.063688,0.03396091,2.9404485,0.10455953,8.5457917,28.122243,-6.0638614,26.063688,0.29806772,6805.1048,276352.87,1.1233743,507.16898,1,4
9.5773455,0.13899887,6.8435537,68.902328,45.732111,14.569444,0.41880507,4.0067058,0.15052555,9.8835388,26.618111,43.70731,-10.690476,0.3413437,0.092725045,0.1996659,6.8435537,0.464401,45.732111,0.38166341,0.24300125,-0.2944946,-0.0095484759,10.13626,30.842053,45.52687,-30.479452,0.93609734,0.00010365956,0.050396493,62.43981,0.0020568804,11.840909,0.0028627661,0.74527543,-4.18598e-05,-0.020351111,0.44146395,0.0020568804,0.31724927,0.0028627661,0.89567941,-0.5396858,-0.060503643,33.06928,8.9198894,-7.8269231,-4.6807692,0.67004756,-6.6179586,-0.23438476,10.13626,28.235447,45.52687,27.608398,0.045942957,144.67869,0.35904138,62.43981,402.95827,11.840909,483.95944,0.016690246,2.2234426,0.0055845573,33.06928,398.14124,-7.8269231,479.68005,0.96865746,-2.688693,-0.077830852,62.43981,34.545337,11.840909,33.8706,0.61554671,2.3995212,0.071474862,33.06928,33.57154,-7.8269231,34.991381,0.61459297,-3.6949968,-0.1069608,0.44146395,34.545337,0.31724927,33.8706,0.48952854,-7.935339,-0.28693852,30.826371,27.655189,-27.930693,26.481208,0.0036230765,-4.9910195,-0.18047316,0.0018820373,27.655189,0.0026825237,26.481208,0.07091568,3.6397017,0.13161008,8.6696383,27.655189,-6.2232673,26.481208,0.18954849,6706.3092,276173.65,1.1227336,522.64953,1,5
2.3387293,0.15675718,6.8410454,14.91944,45.675125,6.8055556,0.3612363,7.5657915,0.079779253,9.7903971,94.834073,43.737625,7.375,0.6067048,0.091949802,0.2016603,6.8410454,0.45596384,45.675125,0.33657708,0.23822909,0.42944403,0.013522465,10.145586,31.757821,45.512445,-30.883562,0.90959688,0.00046410821,0.20809051,14.178307,0.002230319,5.5,0.0029483089,0.18603092,0.00011108174,0.049805314,0.43334172,0.002230319,0.29589242,0.0029483089,0.75410678,-0.59838721,-0.064544251,90.390357,9.2709607,0.24038462,-4.6451923,0.6494003,-5.5906651,-0.20498032,10.145586,27.274155,45.512445,26.851065,0.081920715,149.72171,0.37151922,14.178307,402.99856,5.5,496.54645,0.015415455,-20.06082,-0.051371721,90.390357,390.50317,0.24038462,482.45891,0.71759079,11.669747,0.36393936,14.178307,32.065087,5.5,32.69589,0.017821422,-5.8581989,-0.19274429,90.390357,30.393632,0.24038462,32.491146,0.17100314,-6.2354882,-0.19446348,0.43334172,32.065087,0.29589242,32.69589,0.21718207,-8.3607914,-0.31532049,31.380239,26.515218,-28.386139,26.172182,0.0013188825,-4.2838358,-0.1615614,0.0018652169,26.515218,0.0026533633,26.172182,0.10650909,3.8416068,0.1448831,8.7551345,26.515218,-6.4237624,26.172182,0.14829717,6633.4082,275948.25,1.1241342,513.76742,1,6
-0.90084332,-0.015709105,6.8918938,57.345297,45.161264,13.902778,0.92754527,-1.4657994,-0.11253142,7.1367122,13.02569,44.259927,-11.012195,0.48361557,0.059104547,0.11646863,6.8918938,0.50747183,45.161264,0.43019624,0.49875033,0.31880679,0.010537509,10.184641,30.254473,45.478904,-28.013699,0.92949438,5.7343422e-05,0.030040561,53.308033,0.0019088666,11.559524,0.0025312796,0.85020861,-0.00023181887,-0.1214432,0.48947762,0.0019088666,0.37366974,0.0025312796,0.44359758,-3.697594,-0.40044777,27.719789,9.2336486,-18.744898,-5.7173469,0.0043562302,-2.5190819,-0.092620706,10.184641,27.197827,45.478904,25.891571,0.43576149,9.580715,0.02448651,53.308033,391.26503,11.559524,464.50702,0.87766918,27.250975,0.07052802,27.719789,386.38508,-18.744898,453.2426,0.63012448,-0.87137777,-0.025960591,53.308033,33.565405,11.559524,37.358512,0.87036578,-10.489711,-0.32186199,27.719789,32.59071,-18.744898,34.422487,0.024117304,-9.301552,-0.27711723,0.48947762,33.565405,0.37366974,37.358512,0.075616785,-8.6089491,-0.32345136,28.761703,26.6159,-25.336634,25.133375,0.00096910521,-4.9554874,-0.18618523,0.001899441,26.6159,0.0026620233,25.133375,0.062295983,3.0714082,0.1153975,8.8586124,26.6159,-6.5792079,25.133375,0.2504988,6655.0583,275764.36,1.1259858,498.59406,1,7
3.266475,0.17758857,6.8962274,18.393498,45.002789,8.7631579,0.28612219,1.1105958,0.031931712,7.6679461,34.78034,45.068245,-16.042553,0.83127062,0.21845897,0.42249224,6.8962274,0.51707214,45.002789,0.4931344,0.0082314385,2.0527031,0.076867213,10.169232,26.704534,45.424774,-12.630137,0.51803608,6.008151e-05,0.031943002,17.36336,0.0018808974,7.5454545,0.0024955895,0.83691708,0.00010222964,0.054351524,0.5043734,0.0018808974,0.43201756,0.0024955895,0.72603295,-1.6422461,-0.17830853,65.857836,9.2101377,-13.25,-5.9241071,0.18857422,-1.7386833,-0.06027397,10.169232,28.846339,45.424774,27.159965,0.61246814,71.197759,0.19679148,17.36336,361.7929,7.5454545,445.93557,0.20042188,-19.80796,-0.055814182,65.857836,354.89117,-13.25,426.26052,0.68285272,7.9838162,0.22652839,17.36336,35.244219,7.5454545,36.443076,0.13923122,-3.3924657,-0.10215264,65.857836,33.209772,-13.25,33.33022,0.45375964,-3.5169526,-0.099788069,0.5043734,35.244219,0.43201756,36.443076,0.51926729,-7.3030226,-0.25769134,29.654129,28.340194,-7.7227723,25.997921,0.0092783262,-6.9723521,-0.24602345,0.0019528426,28.340194,0.0027104894,25.997921,0.013139253,2.3282527,0.082153734,8.8006725,28.340194,-6.2594059,25.997921,0.41407716,6776.2236,276061.64,1.1259315,496.49377,1,8
