SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00085297199,-0.2720637,20.883877,0.0031351923,43.424765,0.0095551215,0.016682099,-0.00044461449,-0.14181411,0.16495633,0.0031351923,0.64854492,0.0095551215,0.21858905,-1.1902688,-0.27480069,22.504097,4.3313894,29.511872,15.163046,0.015576634,,,,,,,,72.745826,0.34936243,20.883877,208.22453,43.424765,453.23157,0.0018440719,-22.383621,-0.10749752,22.504097,208.22453,29.511872,453.23157,0.35208205,127.64055,0.48547981,20.883877,262.91629,43.424765,443.99191,7.6325784e-06,134.44094,0.51134502,22.504097,262.91629,29.511872,443.99191,2.0102953e-06,-24.32991,-0.092538615,0.16495633,262.91629,0.64854492,443.99191,0.42344377,,,,,,,,-119.61031,-0.45493685,0.0031351923,262.91629,0.0095551215,443.99191,3.2281599e-05,-90.140417,-0.34284835,4.3313894,262.91629,15.163046,443.99191,0.0022705005,23887.804,288503.42,1.2203232,453.23157,1,daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00029496746,-0.0874859,39.233966,0.0033716,7.7963744,0.0083993209,0.49182266,-0.00097247866,-0.28705544,0.4800208,0.003387773,0.65538865,0.0083655813,0.02254587,-0.45274389,-0.087085537,14.168138,5.1988413,-6.5875289,12.351361,0.49734733,,,,,,,,41.204998,0.16848291,39.233966,244.56486,7.7963744,318.01526,0.1832436,-160.87331,-0.65255294,14.168138,246.52914,-6.5875289,317.98446,6.8369835e-09,-77.425736,-0.1431469,39.233966,540.88307,7.7963744,248.15831,0.25913932,43.177799,0.079326995,14.168138,544.30146,-6.5875289,252.09733,0.53657196,92.666223,0.17024798,0.4800208,544.30146,0.65538865,252.09733,0.1822026,,,,,,,,-267.63823,-0.49481718,0.0033716,540.88307,0.0083993209,248.15831,3.2342103e-05,30.872327,0.057077637,5.1668425,540.88307,12.390357,248.15831,0.65416259,20998.302,285701.8,1.2386197,318.01526,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00044061365,-0.13908331,39.830552,0.0031679838,12.840604,0.008663864,0.31119852,-0.00091049194,-0.28740423,0.49023726,0.0031679838,0.62994256,0.008663864,0.033369961,0.90829064,0.17156169,37.254581,5.2942509,-7.245997,12.58412,0.21041627,,,,,,,,39.738138,0.15937583,39.830552,249.33603,12.840604,330.09461,0.24512924,-78.763777,-0.31589408,37.254581,249.33603,-7.245997,330.09461,0.018802035,60.932137,0.1616872,39.830552,376.85195,12.840604,178.89889,0.23826228,-27.906411,-0.07405139,37.254581,376.85195,-7.245997,178.89889,0.59105737,-20.394853,-0.054119006,0.49023726,376.85195,0.62994256,178.89889,0.69474319,,,,,,,,-118.79633,-0.31523343,0.0031679838,376.85195,0.008663864,178.89889,0.019065272,74.710328,0.19824848,5.2942509,376.85195,12.58412,178.89889,0.14680065,21659.66,285925.41,1.2366901,330.09461,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00062379082,-0.18788397,42.326403,0.0033200853,22.405378,0.0084011938,0.16955074,-0.00034660809,-0.10394694,0.4748181,0.0033344713,0.687453,0.008356438,0.45445567,0.29828162,0.061390058,31.561662,4.8587937,-2.7212552,12.002648,0.65922491,,,,,,,,12.049737,0.050013374,42.326403,240.9303,22.405378,309.14277,0.71689114,-76.265804,-0.31367717,31.561662,243.1347,-2.7212552,308.43387,0.020902402,131.49723,0.29274204,42.326403,449.19147,22.405378,198.68196,0.030088212,236.54805,0.52267495,31.561662,452.572,-2.7212552,202.36126,5.0264935e-05,55.53528,0.12271037,0.4748181,452.572,0.687453,202.36126,0.37670637,,,,,,,,-235.92853,-0.52522931,0.0033200853,449.19147,0.0084011938,198.68196,3.835753e-05,-49.804392,-0.11087564,4.8337353,449.19147,12.062086,198.68196,0.42031309,21002.984,285413.92,1.239405,309.14277,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0010698228,-0.33692474,71.063045,0.0031752576,25.975715,0.0083605481,0.013626579,-0.00088230425,-0.27786856,0.47673198,0.0031752576,0.78940284,0.0083605481,0.043952766,0.44093927,0.098124372,48.119425,4.4936773,-1.2524888,12.114607,0.4845446,,,,,,,,23.024686,0.10671974,71.063045,215.74908,25.975715,289.32519,0.44690724,-58.513308,-0.27121,48.119425,215.74908,-1.2524888,289.32519,0.04948999,376.04094,0.62616923,71.063045,600.54203,25.975715,214.02845,5.313224e-07,480.64875,0.80035822,48.119425,600.54203,-1.2524888,214.02845,6.4020517e-13,6.7166405,0.011184297,0.47673198,600.54203,0.78940284,214.02845,0.93664782,,,,,,,,-296.86716,-0.49433203,0.0031752576,600.54203,0.0083605481,214.02845,0.00016845255,-0.43881824,-0.00073070362,4.4936773,600.54203,12.114607,214.02845,0.9958568,20901.37,285417.58,1.2416584,289.32519,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0011762986,-0.3886899,28.219885,0.0030263162,16.427412,0.0085294272,0.0069330284,-0.00014081648,-0.046530656,0.46352891,0.0030263162,0.83137991,0.0085294272,0.75612259,1.9374639,0.41700267,13.385753,4.6461667,-7.9820667,11.893709,0.0035459289,,,,,,,,108.80217,0.49614553,28.219885,219.29487,16.427412,290.67535,0.00039016122,-119.52429,-0.54503913,13.385753,219.29487,-7.9820667,290.67535,7.4532117e-05,68.866719,0.30046795,28.219885,229.19822,16.427412,109.34729,0.04015776,-11.434473,-0.049889014,13.385753,229.19822,-7.9820667,109.34729,0.73911957,14.564735,0.063546458,0.46352891,229.19822,0.83137991,109.34729,0.67130997,,,,,,,,-98.682808,-0.43055661,0.0030263162,229.19822,0.0085294272,109.34729,0.0025196583,-37.135038,-0.1620215,4.6461667,229.19822,11.893709,109.34729,0.27656779,21323.568,285174.54,1.2423522,290.67535,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00051050607,-0.16607971,37.267572,0.0030738618,17.084961,0.0082090121,0.23462737,-0.00035728758,-0.11623411,0.48433524,0.0030738618,0.7345446,0.0082090121,0.40719836,0.613795,0.1255164,16.751754,4.8901576,-11.683314,11.526734,0.37050233,,,,,,,,115.74795,0.43959375,37.267572,263.30663,17.084961,301.51978,0.00098986145,-117.62796,-0.44673375,16.751754,263.30663,-11.683314,301.51978,0.0007986822,-50.498717,-0.17112526,37.267572,295.09797,17.084961,147.22627,0.22051291,38.765542,0.13136499,16.751754,295.09797,-11.683314,147.22627,0.34844031,56.71113,0.1921773,0.48433524,295.09797,0.7345446,147.22627,0.16801827,,,,,,,,-118.75206,-0.40241571,0.0030738618,295.09797,0.0082090121,147.22627,0.0028156263,-13.253824,-0.044913301,4.8901576,295.09797,11.526734,147.22627,0.74947007,20522.53,284821.2,1.2421695,301.51978,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00063806791,-0.19625912,38.507136,0.0032511503,9.9855739,0.0081535852,0.15492958,-0.00079407339,-0.24296832,0.46908388,0.0032682178,0.81892923,0.0080525724,0.082636153,0.61974562,0.11501079,15.479066,5.3885867,-9.2294571,11.062929,0.41685299,,,,,,,,52.768198,0.19704531,38.507136,267.79727,9.9855739,311.39425,0.15325012,-136.66226,-0.521855,15.479066,261.87785,-9.2294571,303.20602,7.2609054e-05,-56.67665,-0.15270409,38.507136,371.15346,9.9855739,165.07721,0.27030307,19.050561,0.05098979,15.479066,373.61521,-9.2294571,156.93932,0.71960405,34.546758,0.092466146,0.46908388,373.61521,0.81892923,156.93932,0.51441858,,,,,,,,-136.3776,-0.3700151,0.0032209067,368.57305,0.0081537725,168.49433,0.0054273734,-28.804948,-0.078152616,5.4415533,368.57305,11.374021,168.49433,0.57061141,20384.431,284642.92,1.2413024,321.15558,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0299709e-05,0.012346565,35.011947,0.0032640422,27.810451,0.0081301296,0.93147481,-0.0011483035,-0.35180414,0.43570339,0.0032640422,0.81717295,0.0081301296,0.011354349,0.4235365,0.078979995,70.859701,5.3625794,2.8436168,11.24986,0.5816962,,,,,,,,113.27543,0.37650094,35.011947,300.8636,27.810451,327.82032,0.0064673814,-84.7995,-0.28185364,70.859701,300.8636,2.8436168,327.82032,0.045095307,-5.4433541,-0.015581183,35.011947,349.35436,27.810451,152.4892,0.91358333,60.355969,0.17276432,70.859701,349.35436,2.8436168,152.4892,0.22538292,-20.148788,-0.057674357,0.43570339,349.35436,0.81717295,152.4892,0.68768308,,,,,,,,-135.87513,-0.38893211,0.0032640422,349.35436,0.0081301296,152.4892,0.0047924877,-13.285995,-0.038030139,5.3625794,349.35436,11.24986,152.4892,0.7910462,20325.324,284444.2,1.2421967,327.82032,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00020461832,-0.057564191,95.649433,0.0035546112,54.355361,0.0090756897,0.66777135,-1.8876571e-05,-0.0052888532,0.2293174,0.0035691237,0.67915903,0.0090301844,0.96885404,-2.2915108,-0.45337265,24.137106,5.0543648,26.128387,13.081053,0.00039764122,,,,,,,,105.11718,0.33830661,95.649433,310.71571,54.355361,327.93358,0.0093916115,83.645412,0.26818282,24.137106,311.89698,26.128387,332.02561,0.043696329,-17.867849,-0.060449344,95.649433,295.58384,54.355361,178.66126,0.65216293,9.3587556,0.031396379,24.137106,298.08392,26.128387,177.52695,0.81665988,7.8641227,0.026382244,0.2293174,298.08392,0.67915903,177.52695,0.84554746,,,,,,,,-142.59699,-0.48242484,0.0035546112,295.58384,0.0090756897,178.66126,0.0001256023,-60.125238,-0.20341179,5.0618396,295.58384,13.176086,178.66126,0.12565186,22689.224,286328.65,1.2386187,327.93358,1,8
