SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.0511644,0.13431034,2.792354,7.8263851,3.7804722,4.1560381,0.31921228,-6.4547602,-0.26214338,2.792354,24.623015,3.7804722,-5.2795448,0.04885093,-0.020440016,-0.10953449,2.792354,0.18660804,3.7804722,0.21707718,0.41731352,-2.3025668,-0.20586678,2.563805,11.184742,3.6045043,-10.107631,0.089687701,0.00034879292,0.34044514,20.191159,0.0010245202,2.7193984,0.0016147791,0.001339674,-1.7629277e-05,-0.017207349,0.18660601,0.0010245202,0.20562267,0.0016147791,0.87504707,-1.3664898,-0.1294148,31.503858,10.558992,-12.309598,-10.996509,0.21888095,109.17933,0.28850618,2.563805,378.42978,3.6045043,606.49399,0.016212673,25.757655,0.1675903,20.191159,153.69419,2.7193984,118.9475,0.12298692,12.019106,0.080090914,31.503858,150.06829,-12.309598,115.26417,0.44789923,82.807366,0.21761678,20.191159,380.51922,2.7193984,618.75859,0.044140405,-38.866692,-0.10297094,31.503858,377.45303,-12.309598,600.26025,0.32868897,-77.69879,-0.2041915,0.18660601,380.51922,0.20562267,618.75859,0.059321132,-72.04095,-0.19317497,14.54088,372.93109,-15.685508,575.8897,0.050578148,84.93468,0.22885181,0.0010085324,371.13397,0.001460678,575.53488,0.019453018,175.04651,0.47165316,10.507034,371.13397,-11.923992,575.53488,4.3286493e-07,3651.6951,267996.99,1.2046398,106.78596,1,daily
2.9266639,0.15493993,3.7473408,18.889023,4.520601,2.5103106,0.38159824,-9.0343623,-0.20755387,3.7473408,43.527796,4.520601,-5.3100257,0.23885696,-0.039059033,-0.16890816,3.7473408,0.23124421,4.520601,0.10020971,0.33960745,-2.9092536,-0.28376479,3.0903548,10.252342,3.9416186,-15.825114,0.039483124,0.00010566375,0.10122588,16.382901,0.0010438413,1.7508803,0.001798239,0.47077492,-8.0141712e-05,-0.076775766,0.22985922,0.0010438413,0.11560598,0.001798239,0.58478027,-0.88237918,-0.079742728,40.382352,11.065325,-11.431852,-9.7708061,0.53107412,146.97395,0.35301044,3.0903548,416.34449,3.9416186,625.68147,0.0095216565,-33.941264,-0.18295962,16.382901,185.51232,1.7508803,127.75728,0.18975463,27.849471,0.15653776,40.382352,177.90897,-11.431852,124.13903,0.21673674,61.577568,0.15200906,16.382901,405.09144,1.7508803,656.28631,0.27722075,47.978806,0.1193478,40.382352,402.00831,-11.431852,588.87938,0.34756264,-38.985791,-0.096239485,0.22985922,405.09144,0.11560598,656.28631,0.49301518,-74.917353,-0.18379572,16.352804,407.61206,-22.207301,569.80497,0.096259131,99.548953,0.24422475,0.0010641055,407.61206,0.0015086379,569.80497,0.026077246,209.63016,0.51428842,10.931769,407.61206,-11.338602,569.80497,6.5827416e-07,3771.5947,268495.33,1.2050626,106.10586,1,0
0.10150997,0.0079131285,3.8348566,12.828045,4.5944392,4.5362113,0.96571505,-7.7466546,-0.17133847,3.8917731,45.212582,4.6334923,-8.7846894,0.35673199,-0.021547471,-0.090596352,3.8917731,0.23784038,4.6334923,0.13371354,0.62789682,-3.5228033,-0.32877343,3.0775525,10.714988,3.9357267,-16.723284,0.016231349,0.00029743849,0.2936836,10.801189,0.0010127855,3.4641467,0.0017090899,0.038450151,-7.4910568e-05,-0.073368797,0.19988974,0.001021014,0.11083046,0.0016995613,0.61637152,-0.4941573,-0.044711244,69.778267,11.052193,-18.287997,-10.37808,0.73223587,149.81976,0.35745353,3.0775525,419.13074,3.9357267,612.28517,0.0085967088,58.867931,0.31677039,10.801189,185.83786,3.4641467,123.72786,0.025005578,5.6439497,0.031454157,69.778267,179.43414,-18.287997,119.11509,0.80983255,141.80613,0.34109803,10.801189,415.73423,3.4641467,679.43131,0.015345833,46.028779,0.110895,69.778267,415.06632,-18.287997,590.85954,0.39486484,2.4917359,0.0059706024,0.19988974,417.33409,0.11083046,672.7655,0.96752261,-80.071937,-0.19418325,16.340743,412.35244,-22.405276,560.23668,0.07856912,75.368512,0.18277693,0.0010629364,412.35244,0.0015063013,560.23668,0.098150336,198.63821,0.4817195,10.831216,412.35244,-11.491691,560.23668,4.0139693e-06,3765.7533,268329.14,1.2060772,99.828619,1,1
3.202518,0.18076689,3.8102417,17.716286,4.5793091,5.9995047,0.32213719,-8.643734,-0.1703691,3.8102417,50.735338,4.5793091,-8.9091694,0.35120751,-0.050065571,-0.12923883,3.8102417,0.38738799,4.5793091,0.23471898,0.480833,-4.2394611,-0.34107099,3.0570779,12.429849,3.9278792,-15.249067,0.012445124,0.00024666398,0.23292066,14.062441,0.0010590043,3.8552351,0.0017648458,0.093263867,0.00033908012,0.32018766,0.31582482,0.0010590043,0.18474981,0.0017648458,0.019422525,-0.86852818,-0.078332446,38.29883,11.087719,-7.8558546,-10.301394,0.55190232,145.35944,0.38707685,3.0570779,375.53121,3.9278792,599.48914,0.004192467,63.707756,0.32773619,14.062441,194.38731,3.8552351,129.9035,0.016591418,27.497287,0.14869141,38.29883,184.92855,-7.8558546,120.17552,0.25685878,98.82057,0.25939332,14.062441,380.96807,3.8552351,610.91104,0.060706541,-48.308982,-0.12954925,38.29883,372.90052,-7.8558546,576.33421,0.32386813,64.026457,0.16806253,0.31582482,380.96807,0.18474981,610.91104,0.22900836,-76.635901,-0.20712388,17.300162,370.00032,-21.244423,542.21635,0.061888376,76.815728,0.2076099,0.0010559659,370.00032,0.0015035421,542.21635,0.061265605,179.53541,0.48523042,10.863769,370.00032,-11.621632,542.21635,3.8332645e-06,3758.8553,268187.61,1.2065115,99.624047,1,2
1.3622255,0.10366607,3.8164203,13.140514,4.6477609,6.120066,0.57891653,-1.7226863,-0.04095365,3.8164203,42.064292,4.6477609,-8.5737816,0.82685141,-0.0428859,-0.16990962,3.8164203,0.25240419,4.6477609,0.16945656,0.3608167,-4.923297,-0.39035843,3.0765981,12.612247,3.9849021,-14.650431,0.0046271086,0.00015555434,0.14926007,10.916857,0.0010421698,3.3812568,0.0017245818,0.28610364,0.00017692087,0.16976203,0.32618791,0.0010421698,0.20907388,0.0017245818,0.22426676,-3.0783338,-0.28524906,32.119937,10.791741,-7.1627257,-10.500333,0.027162858,172.1675,0.40359067,3.0765981,426.58938,3.9849021,606.14347,0.0033161688,105.19644,0.47965701,10.916857,219.31597,3.3812568,139.67755,0.00027889658,-4.452911,-0.02136337,32.119937,208.43673,-7.1627257,128.91586,0.87129219,158.94526,0.40084768,10.916857,396.52285,3.3812568,608.16774,0.002935089,-42.718462,-0.11022034,32.119937,387.5733,-7.1627257,572.84703,0.40182746,-74.13757,-0.18696922,0.32618791,396.52285,0.20907388,608.16774,0.18006485,-70.259429,-0.16963634,17.317143,414.17676,-19.916563,558.82276,0.13002752,34.329218,0.082885426,0.0010390977,414.17676,0.0014812055,558.82276,0.46194888,153.14198,0.3697503,10.595272,414.17676,-11.76502,558.82276,0.00068060565,3703.0137,268053.51,1.2060995,105.79565,1,3
-2.0244019,-0.059435792,3.9435849,34.060316,4.8263898,11.819423,0.76384817,-8.6696726,-0.17723724,3.9435849,48.915638,4.8263898,-9.2570629,0.366916,-0.10063138,-0.26288243,3.9435849,0.38279994,4.8263898,0.22023167,0.17652399,-5.0780758,-0.41655361,3.0771049,12.19069,4.0095304,-13.572265,0.002620684,0.00031384107,0.30606733,34.756971,0.0010253988,4.7914329,0.0017892796,0.030644818,0.00017974505,0.17529283,0.35546609,0.0010253988,0.20882269,0.0017892796,0.22337174,-1.7284391,-0.16001584,37.753211,10.801675,-9.6089965,-10.120636,0.23019147,137.27245,0.39006952,3.1020475,351.91792,4.0386019,539.24057,0.0055938153,61.249354,0.26155426,34.756971,234.17457,4.7914329,149.73847,0.066539199,39.708087,0.18000219,37.753211,220.59779,-9.6089965,135.69113,0.17634734,100.04969,0.28504073,34.756971,351.00137,4.7914329,611.37934,0.04481366,-35.792665,-0.10252911,37.753211,349.09759,-9.6089965,562.89112,0.44375835,-37.52802,-0.10691702,0.35546609,351.00137,0.20882269,611.37934,0.45989614,-67.565936,-0.18670221,17.426312,361.89147,-19.325893,531.69822,0.097267218,72.613357,0.20064954,0.0010486534,361.89147,0.0015232795,531.69822,0.074323685,151.40491,0.41837104,10.790703,361.89147,-11.557173,531.69822,0.00011253089,3808.1987,268301.61,1.2048695,108.77386,1,4
-0.013730944,-0.000637326,3.6856426,21.544616,4.6173308,5.1995391,0.99723788,-8.3063653,-0.15265369,3.6856426,54.413131,4.6173308,-11.87332,0.40423155,-0.062634129,-0.21782371,3.6856426,0.28754505,4.6173308,0.1514632,0.23106549,-4.9718518,-0.42575264,3.0799727,11.677795,4.0182186,-13.315279,0.0022890645,0.00023227235,0.2251465,18.610469,0.0010316498,5.1343927,0.0018543514,0.10854508,3.5582201e-05,0.03449058,0.2835367,0.0010316498,0.15259336,0.0018543514,0.80820584,-1.6853875,-0.16314403,42.208324,10.330672,-10.991178,-9.5465133,0.21295203,115.3284,0.34562173,3.1054071,333.68387,4.0480431,523.91306,0.016124563,87.457227,0.38642626,18.610469,226.3232,5.1343927,134.84316,0.0046599284,13.308438,0.06245715,42.208324,213.08109,-10.991178,123.64356,0.63544481,154.05321,0.4396386,18.610469,350.40874,5.1343927,604.06981,0.0011101924,-74.002024,-0.21219466,42.208324,348.74593,-10.991178,557.82518,0.10359452,-64.631351,-0.1844456,0.2835367,350.40874,0.15259336,604.06981,0.19053863,-59.625858,-0.15555931,16.217961,383.29984,-17.912107,536.61188,0.17671449,63.084684,0.16458312,0.0010625749,383.29984,0.0015685403,536.61188,0.15261274,136.88015,0.35710984,10.659199,383.29984,-11.154551,536.61188,0.0014316317,3921.3508,268692.04,1.2045407,106.65551,1,5
1.2545308,0.073745237,3.648971,17.011686,4.5875943,8.1461452,0.68833497,-9.939049,-0.18363266,3.648971,54.124624,4.5875943,-14.839782,0.31439511,-0.05737308,-0.21375018,3.648971,0.26841184,4.5875943,0.14256703,0.24012149,-5.3115805,-0.45537354,3.0183714,11.664227,3.9840219,-13.726087,0.00089094542,0.00017003701,0.16167707,23.234749,0.0010517076,9.8709027,0.0019378523,0.25702218,-1.0776508e-05,-0.010246676,0.28494645,0.0010517076,0.16106395,0.0019378523,0.94310837,-2.4494358,-0.23364689,46.501955,10.483494,-10.660167,-8.912679,0.074909551,135.15462,0.36530109,3.0428496,369.98144,4.012514,533.69779,0.0098522705,49.193112,0.22049413,23.234749,223.10395,9.8709027,143.18338,0.11999119,-15.28185,-0.072630549,46.501955,210.40526,-10.660167,130.93775,0.58460403,36.005257,0.093592364,23.234749,384.70293,9.8709027,621.38102,0.51359552,-78.422879,-0.20644541,46.501955,379.87224,-10.660167,572.25536,0.11670376,-93.692288,-0.24354451,0.28494645,384.70293,0.16106395,621.38102,0.085037914,-83.832027,-0.21549838,16.077712,389.01465,-17.507818,539.24284,0.059803262,52.131598,0.13400935,0.0010799425,389.01465,0.0015944121,539.24284,0.24525856,154.60947,0.39743869,10.68774,389.01465,-10.865085,539.24284,0.00034478678,3986.0303,268990.26,1.2037482,108.30888,1,6
-3.9371389,-0.26475216,3.7074016,14.871036,4.6629725,2.0368333,0.15740146,-12.126763,-0.20380252,3.763751,59.50252,4.7104002,5.4087919,0.28895649,0.04044342,0.10234508,3.763751,0.39516722,4.7104002,0.18814469,0.59729641,-5.5592902,-0.47098951,2.982649,11.803427,3.9705894,-15.139486,0.00055628936,0.00025303098,0.23859664,25.187383,0.0010604969,5.9669353,0.0019998951,0.10243631,1.1722111e-05,0.011122924,0.38623018,0.0010538695,0.18464291,0.0019718909,0.94084822,-1.0109437,-0.095951119,50.142642,10.536028,-4.662155,-8.614093,0.48589137,161.42758,0.37243715,2.982649,433.43575,3.9705894,582.36044,0.0077334642,64.049324,0.27949658,25.187383,229.1596,5.9669353,152.31072,0.054366942,-3.1391785,-0.01441416,50.142642,217.78435,-4.662155,138.90152,0.91681358,26.843263,0.06413304,25.187383,418.55591,5.9669353,672.55746,0.66497066,30.120717,0.073809509,50.142642,408.08721,-4.662155,606.17666,0.59227337,-52.976131,-0.12744788,0.38623018,415.66899,0.18464291,661.29864,0.39327126,-114.21292,-0.25918104,15.752658,440.66848,-18.413232,579.65524,0.022837032,36.066403,0.081844752,0.0010921024,440.66848,0.0015943944,579.65524,0.47917731,163.21217,0.37037405,10.758133,440.66848,-10.731255,579.65524,0.00091441647,3985.986,269094.89,1.2039339,109.39521,1,7
-3.1221326,-0.17567921,3.6744029,17.771782,4.6513782,6.6848853,0.35309749,8.8578407,0.28302175,3.7814129,31.297385,4.7653917,-13.646698,0.14446542,-0.05950204,-0.21285505,3.7814129,0.27954254,4.7653917,0.13915506,0.27681859,-5.8295038,-0.48477381,2.9282238,12.025204,3.9519126,-15.807877,0.00031212573,0.00033208467,0.3081754,24.365996,0.0010775833,8.5738941,0.0019798769,0.033090125,0.00013283016,0.12452186,0.22883783,0.0010667216,0.10337988,0.0019351751,0.40964295,-3.2796202,-0.32347011,32.339551,10.138866,-14.16157,-9.436906,0.015997489,136.0759,0.37756196,2.9282238,360.4068,3.9519126,533.9664,0.0063068017,116.89395,0.49579482,24.365996,235.77081,8.5738941,157.37426,0.00033923565,-77.035102,-0.36465202,32.339551,211.25648,-14.16157,131.81777,0.00619722,70.421345,0.18630223,24.365996,377.99518,8.5738941,612.85487,0.20485142,9.2007498,0.024623551,32.339551,373.6565,-14.16157,546.54818,0.85837295,-58.465703,-0.15281022,0.22883783,382.60336,0.10337988,602.61484,0.31065112,-91.145673,-0.2403089,15.746014,379.28547,-20.102642,537.35843,0.032905534,33.596376,0.088578071,0.001096547,379.28547,0.00159341,537.35843,0.43758496,145.69002,0.38411707,10.462327,379.28547,-10.91814,537.35843,0.00047445671,3983.525,268928.77,1.2036431,112.3948,1,8
