SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.50658404,-0.10735644,8.0959028,4.7187111,10.118203,3.4510862,0.1622292,-1.1360453,-0.042039473,7.9478132,27.023301,10.208363,2.1866142,0.57741032,0.033828963,0.21851636,8.0959028,0.15481204,10.118203,0.2307236,0.0040879213,-2.2554763,-0.13725609,7.9478132,16.432613,10.208363,-9.3013324,0.06770281,0.00015473567,0.14813402,4.261237,0.0010445653,3.1062987,0.0019200527,0.022260426,0.0003998846,0.38282392,0.15746035,0.0010445653,0.22252381,0.0019200527,1.0017076e-09,-2.8310163,-0.33781758,23.607744,8.3803107,0.27482926,-10.207663,1.4107185e-08,-2.6119744,-0.17863861,7.9478132,14.621556,10.208363,28.44905,0.017043506,86.11303,0.37876523,4.261237,227.35199,3.1062987,326.01235,1.5502518e-09,-39.539322,-0.17671459,23.607744,223.74679,0.27482926,319.35368,0.0037043892,4.0698588,0.28378367,4.261237,14.341413,3.1062987,28.25447,8.7195522e-06,-0.63507347,-0.044087976,23.607744,14.404687,0.27482926,27.099489,0.47230902,-3.3048687,-0.23044234,0.15746035,14.341413,0.22252381,28.25447,0.00033741301,-4.1317227,-0.28801223,17.980069,14.34565,-15.543557,27.091871,1.4217988e-06,-2.4666198,-0.171942,0.0010356697,14.34565,0.0019069139,27.091871,0.0045310582,-0.61129116,-0.042611603,8.3774115,14.34565,-10.226759,27.091871,0.48483305,4767.2848,268894.28,1.1949355,320.41972,1,daily
-0.6275605,-0.086205683,9.4385886,7.2798043,10.478231,1.0782313,0.29917703,-1.1868841,-0.036516932,9.0047307,32.502295,10.538656,-10.653374,0.64351962,0.0087200042,0.027090825,9.4554748,0.32188035,10.433562,0.17458859,0.74549472,-0.350013,-0.011586286,8.908517,30.209249,10.332315,-33.988764,0.87800681,0.00011789595,0.10283407,6.7813065,0.0011464677,0.80203046,0.0018578849,0.15044119,-4.0483619e-05,-0.035374618,0.31657958,0.0011444256,0.18036358,0.0018654788,0.62255605,-2.3737741,-0.25307992,28.841505,9.3795433,-11.356838,-11.499571,9.0567656e-05,2.2745749,0.13164484,8.908517,17.278117,10.332315,21.760968,0.079839424,76.22566,0.26148825,6.7813065,291.50701,0.80203046,281.01369,0.00020595819,-52.803722,-0.18500919,28.841505,285.41134,-11.356838,274.99728,0.0045185026,2.7953558,0.16233571,6.7813065,17.219599,0.80203046,22.031289,0.022659374,-3.5308178,-0.21035212,28.841505,16.785274,-11.356838,20.783439,0.0012086559,-1.829756,-0.10600177,0.31657958,17.26156,0.18036358,22.011997,0.13922005,-5.5547423,-0.34658655,28.445363,16.026999,-36.749077,20.305362,4.5773503e-09,-1.9047459,-0.11884607,0.0011218576,16.026999,0.0017454134,20.305362,0.05066083,-1.0681116,-0.066644516,9.5217804,16.026999,-12.242434,20.305362,0.27428325,4363.5334,266847.64,1.20527,256.68141,1,0
0.43268498,0.1098413,8.8005893,3.9391831,10.011429,0.97142857,0.19638464,3.0748197,0.078883594,8.3645218,38.979204,10.253828,-7.8949045,0.32607944,0.044959586,0.13393059,8.8005893,0.33569317,10.011429,0.21103522,0.11465827,1.6554067,0.053532463,8.2874701,30.923417,9.9474831,-33.390449,0.47789676,0.00021346668,0.18896294,4.7744238,0.0011296749,0.86125654,0.0018409137,0.0088445304,-6.9909292e-05,-0.061908694,0.3497511,0.0011292322,0.22400186,0.0018472677,0.3961398,-1.8008967,-0.19314962,34.373923,9.323843,-9.3473451,-11.476106,0.0035560374,0.84228019,0.053701352,8.2874701,15.684525,9.9474831,21.216629,0.47650711,96.858954,0.33803636,4.7744238,286.53413,0.86125654,284.49152,1.7301466e-06,-53.638099,-0.18985675,34.373923,282.51878,-9.3473451,280.4857,0.004177404,3.4706551,0.21198668,4.7744238,16.372043,0.86125654,22.173381,0.0032398278,-3.9134667,-0.24161347,34.373923,16.19722,-9.3473451,20.717628,0.00024581819,-1.7178308,-0.10464841,0.3497511,16.415259,0.22400186,22.175968,0.15074405,-6.3260588,-0.41108183,28.865739,15.388807,-36.134686,20.142138,1.7878879e-12,-1.9176948,-0.12461621,0.0011238313,15.388807,0.0017483581,20.142138,0.040368661,-1.5525608,-0.10088896,9.5900493,15.388807,-12.286716,20.142138,0.097439374,4370.8952,266804.17,1.2052575,257.74315,1,1
-0.26166578,-0.016689852,8.783874,15.678137,9.6616197,-0.73943662,0.84371923,4.0269968,0.095046937,8.3610064,42.368507,9.9578679,-4.6477987,0.23336324,0.033547357,0.091166353,8.783874,0.36797958,9.6616197,0.23077322,0.28057919,1.6870386,0.056362327,8.3297016,29.932025,9.7726102,-30.827684,0.4561921,-0.00012987488,-0.1159445,13.610412,0.001120147,-0.37958115,0.0018017933,0.11020823,0.0001086388,0.096986205,0.35168814,0.001120147,0.21058694,0.0018017933,0.18196599,-2.4275949,-0.25665143,38.370509,9.4587232,-7.7882096,-11.753493,8.5443761e-05,-0.47179668,-0.031650424,8.3297016,14.906489,9.7726102,20.924837,0.67579881,21.003455,0.076725513,13.610412,273.74799,-0.37958115,278.43056,0.29144222,-53.297036,-0.19635211,38.370509,271.43602,-7.7882096,274.1505,0.0028432943,0.6600862,0.039713991,13.610412,16.620999,-0.37958115,22.64291,0.58542985,-3.3896828,-0.20689562,38.370509,16.383541,-7.7882096,21.044155,0.0016445031,-2.5882204,-0.15571991,0.35168814,16.620999,0.21058694,22.64291,0.031467949,-6.0835622,-0.38935707,28.129028,15.624635,-33.42963,20.323155,3.3197169e-11,-1.6388806,-0.10489081,0.0011068577,15.624635,0.0017299337,20.323155,0.08538084,-1.2544294,-0.080285356,9.4622675,15.624635,-12.341852,20.323155,0.18843379,4324.8344,266739.1,1.2056873,255.2232,1,2
-0.36432461,-0.021156369,8.8051911,17.220564,9.9993099,2.5598592,0.80265933,2.5107875,0.067398488,8.3747064,37.252876,10.304415,-7.3805031,0.39860382,0.046097232,0.12038113,8.8051911,0.3829274,9.9993099,0.25798147,0.15357339,2.0178193,0.069596979,8.400917,28.992915,9.9946497,-29.932203,0.35731992,6.4835042e-05,0.057593001,15.174714,0.0011257452,1.8947368,0.0018027499,0.42994751,4.7154625e-05,0.041856565,0.37874825,0.0011265766,0.24759071,0.0018077984,0.5674128,-1.5178424,-0.15993672,33.738838,9.4902682,-9.660793,-11.942947,0.015868185,-1.8909952,-0.1352258,8.400917,13.983982,9.9946497,20.000742,0.072722627,7.1914034,0.025932879,15.174714,277.30834,1.8947368,280.23582,0.72246902,-61.836822,-0.22305409,33.738838,277.22792,-9.660793,279.10709,0.00071219477,-1.224513,-0.07845049,15.174714,15.608736,1.8947368,21.786853,0.28197709,-3.669647,-0.2376996,33.738838,15.438171,-9.660793,20.451665,0.00030213504,-2.0044084,-0.12810358,0.37874825,15.646779,0.24759071,21.810507,0.078969849,-5.7573719,-0.38963116,27.131633,14.776467,-32.72963,19.731913,3.2074607e-11,-2.364801,-0.16003833,0.0010956265,14.776467,0.0017136851,19.731913,0.0084261436,-2.1412738,-0.14491109,9.4051604,14.776467,-12.524626,19.731913,0.017187371,4284.2127,266559.08,1.2059828,255.31046,1,3
0.45093529,0.042347598,8.3163405,10.648427,9.7311739,0.083333333,0.6218939,2.9507281,0.076044091,7.9092206,38.802859,9.9627548,-7.2292994,0.34384925,0.028584755,0.081817841,8.3163405,0.34937068,9.7311739,0.22902906,0.34008358,2.2653249,0.079063524,7.9704773,28.65196,9.6200763,-29.194915,0.29553447,-0.00011283001,-0.10235948,10.035365,0.0011022917,-0.14516129,0.0017890895,0.16445578,6.0246356e-05,0.054655546,0.32858505,0.0011022917,0.21390382,0.0017890895,0.45873508,-1.7943575,-0.19087089,35.756966,9.4008965,-10.117257,-11.992478,0.0039763385,-1.4615984,-0.10478392,7.9704773,13.948689,9.6200763,19.705073,0.16513513,7.7611539,0.028750951,10.035365,269.94425,-0.14516129,283.6237,0.69687088,-59.198477,-0.21799477,35.756966,271.55916,-10.117257,282.89273,0.00097109193,0.34528676,0.022403862,10.035365,15.41193,-0.14516129,21.531072,0.76148884,-2.60498,-0.17039842,35.756966,15.287583,-10.117257,20.156735,0.010280748,0.12662481,0.0082160256,0.32858505,15.41193,0.21390382,21.531072,0.91137992,-5.7848921,-0.39888178,27.640438,14.502773,-32.37963,19.507752,9.857827e-12,-2.4055132,-0.16586574,0.0010719227,14.502773,0.0016904363,19.507752,0.0062997981,-2.2858863,-0.15761718,9.3673471,14.502773,-12.695556,19.507752,0.0094829618,4226.0908,266383.63,1.2061418,257.53193,1,4
0.15469762,0.010182199,8.201939,15.192948,9.5924058,1.2427536,0.90564866,-2.18515,-0.050158848,7.8167654,43.564597,9.8638045,-6.9423077,0.53404912,0.093873824,0.24291631,8.201939,0.38644513,9.5924058,0.28274015,0.0040944301,2.1345422,0.076629757,7.8478908,27.855266,9.5593475,-27.067797,0.31069692,6.8321051e-05,0.063148397,13.175236,0.0010819127,0.9516129,0.001739198,0.39184374,0.00011798155,0.10904905,0.37226731,0.0010819127,0.26162001,0.001739198,0.13843956,-1.1288464,-0.12047047,39.324666,9.3703164,-10.149554,-12.313616,0.071938237,-1.4232683,-0.10243244,7.8478908,13.894702,9.5593475,19.15374,0.17487946,39.263278,0.148175,13.175236,264.9791,0.9516129,284.31004,0.043552738,-40.424692,-0.15304296,39.324666,264.13951,-10.149554,283.49926,0.021949735,0.58129607,0.037933769,13.175236,15.323974,0.9516129,21.070709,0.60722045,-2.4479248,-0.16210744,39.324666,15.100632,-10.149554,19.664379,0.015152475,-2.2679175,-0.147998,0.37226731,15.323974,0.26162001,21.070709,0.043807073,-4.6182865,-0.32262965,26.858689,14.314514,-30.407407,18.927223,5.8790537e-08,-2.5387053,-0.17735183,0.0010513821,14.314514,0.0016535166,18.927223,0.0034569685,-2.5467776,-0.17791576,9.2381077,14.314514,-12.979444,18.927223,0.0033534824,4133.7914,266088.61,1.2068988,256.30993,1,5
0.50537427,0.045358817,8.122263,11.141699,9.4925179,1.1821429,0.59461859,2.5579601,0.067428508,7.7781295,37.935884,9.7964806,-6.3290323,0.40448827,0.027611412,0.074194786,8.122263,0.37214761,9.4925179,0.24300114,0.3836365,1.8961916,0.070480764,7.7968878,26.903676,9.5189576,-25.101695,0.35123225,6.5883602e-05,0.060389968,9.9103783,0.0010909693,0.93681319,0.0017434697,0.41803707,7.4173375e-05,0.067988508,0.3629706,0.0010909693,0.2327895,0.0017434697,0.36179434,-1.4157716,-0.15252048,35.294948,9.2825022,-9.109589,-12.273744,0.023982876,-0.82255137,-0.054362355,7.7968878,15.1309,9.5189576,19.810776,0.47235573,55.670589,0.210596,9.9103783,264.3478,0.93681319,282.95918,0.0043227714,-33.929651,-0.13123909,35.294948,258.53311,-9.109589,277.25052,0.052447392,2.287335,0.14096702,9.9103783,16.22603,0.93681319,21.239857,0.057678236,-3.6577613,-0.22971677,35.294948,15.922918,-9.109589,19.560514,0.00061259983,-2.6868411,-0.16558832,0.3629706,16.22603,0.2327895,21.239857,0.025485571,-4.7617847,-0.31899034,26.434708,14.927677,-29.609259,19.053899,8.4218281e-08,-2.2799335,-0.15273197,0.0010539993,14.927677,0.0016398817,19.053899,0.011979143,-2.0553354,-0.13768622,9.2898763,14.927677,-13.080741,19.053899,0.023653817,4099.7043,265971.82,1.2075938,253.1823,1,6
0.17255264,0.019330807,8.0717926,8.9263029,9.4848333,1.8851852,0.82389674,2.278368,0.060723058,7.6798113,37.520639,9.8418059,-9.9210526,0.45739072,0.0040363618,0.010985411,8.0717926,0.36742929,9.4848333,0.24874871,0.8993711,1.5648847,0.057019592,7.7136831,27.444684,9.3873192,-21.80226,0.45094824,0.00011133782,0.099827479,7.8784318,0.0011153023,1.4808743,0.0017797843,0.178771,9.1005614e-05,0.081597263,0.36186778,0.0011153023,0.24122162,0.0017797843,0.27216261,-1.2701303,-0.13620271,33.559682,9.3252938,-10.009217,-12.130645,0.045053765,-1.77258,-0.11942883,7.7136831,14.842145,9.3873192,20.157195,0.11335043,53.760414,0.2011306,7.8784318,267.29107,1.4808743,289.51667,0.0063304042,-53.828453,-0.20877044,33.559682,257.83561,-10.009217,276.77079,0.0019897463,2.4899745,0.16177633,7.8784318,15.391464,1.4808743,21.205969,0.028676412,-3.8514091,-0.25074315,33.559682,15.359977,-10.009217,19.658071,0.0001898582,-2.1357961,-0.13876497,0.36186778,15.391464,0.24122162,21.205969,0.061014733,-5.1280873,-0.35403293,26.436714,14.484775,-26.040741,19.059937,2.1594755e-09,-2.7731261,-0.1914511,0.0010663174,14.484775,0.0016436597,19.059937,0.0015746962,-2.8184256,-0.19457849,9.2835737,14.484775,-13.092593,19.059937,0.0013127267,4109.1492,265947.33,1.207948,251.69713,1,7
0.23939329,0.023260017,8.1091875,10.292051,9.6594529,2.6231884,0.78654904,-1.3094138,-0.031996263,7.7341609,40.923962,9.9643214,-5.8181818,0.69363342,0.045548962,0.12305296,8.1091875,0.37015738,9.6594529,0.26055031,0.1504718,0.36714118,0.012731167,7.7542806,28.837983,9.425178,5.8361582,0.8664386,-2.2800968e-05,-0.020750868,10.308473,0.0010987959,2.5026455,0.0017866844,0.77685852,5.319445e-05,0.048411584,0.3532953,0.0010987959,0.26183047,0.0017866844,0.50827759,-0.96546401,-0.10750811,35.528451,8.9803828,-5.5848214,-11.751116,0.10856288,-2.4304393,-0.15907831,7.7542806,15.278257,9.425178,22.212033,0.034439284,45.32365,0.16996342,10.308473,266.66708,2.5026455,282.9268,0.019379589,-42.839906,-0.16533244,35.528451,259.11374,-5.5848214,274.48847,0.013223205,3.1508248,0.19885404,10.308473,15.844912,2.5026455,22.594847,0.0060861315,-2.0052746,-0.1271536,35.528451,15.77049,-5.5848214,21.252937,0.057415602,-1.9009318,-0.11997111,0.3532953,15.844912,0.26183047,22.594847,0.10010746,-4.6165319,-0.31047938,27.763931,14.869045,9.1277778,20.500187,1.9162616e-07,-3.7109431,-0.24957508,0.0010698094,14.869045,0.0017048505,20.500187,3.3578288e-05,-3.3355746,-0.22433012,8.8828877,14.869045,-12.307037,20.500187,0.00020200518,4262.1263,266729.96,1.2061727,254.94913,1,8
