SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
8.3315334,0.67577491,7.8263553,12.328859,16.190472,20.835183,4.2973736e-09,-1.8269414,-0.060410776,7.8263553,30.241979,16.190472,36.803957,0.64946095,0.1215808,0.4757497,7.8263553,0.25555623,16.190472,0.38213548,0.00013998605,-0.57342119,-0.017010809,7.8263553,33.709225,16.190472,61.430362,0.89824708,-2.457699e-05,-0.0083839913,11.901169,0.0029314188,20.952135,0.0055092615,0.93713289,0.00029639355,0.10110925,0.28809144,0.0029314188,0.41119181,0.0055092615,0.34026891,-0.71387798,-0.13377023,32.73174,5.3365983,38.286832,10.214875,0.20618108,-25.374611,-0.66306106,7.876964,38.26889,16.59631,62.166907,4.3128078e-09,-35.230879,-0.18991538,11.901169,185.5083,20.952135,460.50091,0.071375544,-38.789809,-0.20910013,32.73174,185.5083,38.286832,460.50091,0.046683435,-13.797295,-0.32524484,11.901169,42.421258,20.952135,65.422112,0.0016566543,23.839274,0.56196528,32.73174,42.421258,38.286832,65.422112,6.792403e-09,-24.994326,-0.58919341,0.28809144,42.421258,0.41119181,65.422112,8.061857e-10,16.855602,0.46416839,33.479863,36.31355,60.045598,63.171919,2.4059655e-05,-22.247493,-0.51846994,0.0028923384,42.909898,0.0054773071,63.620999,8.6640575e-08,7.5250911,0.17536959,5.436667,42.909898,9.9708036,63.620999,0.090903544,13693.268,285211.44,1.2029403,454.65491,1,daily
3.813264,0.3213698,7.8196359,11.865657,16.11903,6.10513,0.022864679,6.2008765,0.30970165,7.9752917,20.022097,16.00657,-18.152012,0.043280009,0.09572174,0.21610031,7.9752917,0.4429505,16.00657,0.2986775,0.163978,7.15439,0.30234434,7.784561,23.663053,16.234127,-27.488657,0.031053251,-0.0008971994,-0.28527613,11.117275,0.0031450209,5.0412829,0.0055525556,0.012493011,-0.00019160599,-0.05731322,0.45409792,0.0033431377,0.32597462,0.0057740941,0.658153,-1.863572,-0.31127219,18.477493,5.9869532,-17.472613,9.0776129,0.013793587,-20.865391,-0.49902644,7.9899779,41.812195,16.871564,49.442081,0.00010529188,28.806079,0.12545184,11.117275,229.61863,5.0412829,310.16933,0.28022636,-18.944212,-0.084370327,18.477493,224.53643,-17.472613,358.53104,0.51441615,13.457924,0.32113434,11.117275,41.90746,5.0412829,54.988088,0.0046764062,-24.495141,-0.54747409,18.477493,44.7421,-17.472613,56.320279,4.1267289e-06,-11.966621,-0.26745774,0.45409792,44.7421,0.32597462,56.320279,0.035592081,-21.152054,-0.52729292,22.702954,40.114429,-27.457677,51.613328,6.3940185e-06,-23.067271,-0.55158657,0.0030578349,41.819856,0.0055042107,52.610979,9.4532574e-08,0.43975801,0.010515531,5.9755191,41.819856,8.0318642,52.610979,0.92576742,13760.527,283235.23,1.220446,306.12181,1,0
2.9435414,0.18599492,7.442922,15.825924,16.439382,6.2153333,0.19128859,6.752614,0.35368059,7.5474133,19.092407,16.8094,-21.532113,0.025165351,0.073024534,0.15873577,7.5474133,0.46003832,16.8094,0.28165629,0.32791626,6.515071,0.27297175,7.630814,23.867199,16.259179,-27.370962,0.047972466,-0.00070346223,-0.22619851,13.373677,0.0031099332,5.4711039,0.0054559834,0.047913137,-0.00030778908,-0.093635153,0.47831833,0.0032871103,0.31652282,0.0056057261,0.48447769,-1.6576443,-0.27038505,18.039906,6.1306803,-18.141974,8.4614914,0.040094594,-18.212294,-0.44935551,7.8511633,40.529812,16.842616,46.186395,0.00051256082,25.740163,0.11065783,13.373677,232.61042,5.4711039,300.02911,0.33802106,-16.370598,-0.069013175,18.039906,237.20975,-18.141974,355.7671,0.60671955,4.2272078,0.10463246,13.373677,40.400538,5.4711039,51.418852,0.36513821,-20.425718,-0.46633121,18.039906,43.800881,-18.141974,53.291179,0.00022467684,-8.1788823,-0.18672872,0.47831833,43.800881,0.31652282,53.291179,0.16046619,-22.546171,-0.57571069,22.89339,39.162329,-27.07656,47.889627,3.4544263e-07,-22.022238,-0.54437849,0.0031086904,40.453909,0.0055147417,48.824971,1.2464162e-07,-0.198209,-0.0048996254,6.0817605,40.453909,7.6983415,48.824971,0.96515381,13786.854,282928.84,1.2212038,300.85432,1,1
5.6089827,0.46845816,7.7071536,11.973284,16.073863,4.5182941,0.0005264478,6.1830582,0.24721835,7.7624281,25.010514,16.0573,-13.515056,0.10157844,0.052642451,0.11455999,7.7624281,0.45951863,16.0573,0.30705263,0.4536532,5.3279837,0.21618787,7.6740449,24.645156,16.186135,-28.761144,0.12372539,-0.00064279382,-0.19999824,13.763447,0.0032139974,3.025519,0.0055187966,0.077196316,6.6651426e-05,0.021088602,0.47913998,0.0031605426,0.37402275,0.0056375644,0.86652835,-1.4849466,-0.25009791,21.548582,5.9374611,-12.243015,8.0621818,0.042837238,-17.537829,-0.4528304,7.882322,38.729355,16.776364,43.195841,0.00051776091,57.323772,0.23326891,13.763447,245.74115,3.025519,306.87256,0.038552878,-74.346101,-0.30120563,21.548582,246.82839,-12.243015,341.79772,0.013986148,7.9227602,0.20741598,13.763447,38.197443,3.025519,47.953143,0.066628681,-18.19393,-0.45461169,21.548582,40.020813,-12.243015,48.760433,0.00012577281,-9.9321749,-0.24817524,0.47913998,40.020813,0.37402275,48.760433,0.044514296,-21.70752,-0.57977295,23.510093,37.441415,-27.618537,45.700361,2.7297067e-07,-20.416792,-0.5343508,0.0031418428,38.208593,0.0054924311,46.056709,1.9616243e-07,-1.8592304,-0.048660008,6.2335837,38.208593,7.2707048,46.056709,0.66222045,13731.078,282505.42,1.2216708,305.61834,1,2
8.3209043,0.45578042,7.7269306,18.256388,15.93052,4.23239,0.00088032569,5.3935278,0.32773336,8.0863876,16.457061,15.682922,-17.7168,0.027968331,0.083400542,0.16668682,8.0863876,0.50034275,15.682922,0.33188937,0.2737875,5.0703658,0.20203468,7.7269306,25.096513,15.93052,-29.63168,0.15942006,-0.00056389259,-0.17218337,15.917933,0.0032749539,4.0025449,0.0055619693,0.13170468,0.00065783556,0.19415079,0.52471438,0.0033882714,0.41988291,0.0057960906,0.12733043,-0.40045689,-0.065418559,15.43816,6.1214569,-15.337159,8.1079762,0.61047742,-16.315551,-0.43331378,7.8454384,37.65297,16.728255,41.587913,0.00095120364,40.309576,0.15918461,15.917933,253.22534,4.0025449,316.58859,0.16389923,-74.539579,-0.29075444,15.43816,256.36609,-15.337159,365.82552,0.020790541,5.4908595,0.15240293,15.917933,36.02857,4.0025449,46.350424,0.18284336,-21.255891,-0.55207933,15.43816,38.501515,-15.337159,47.054486,2.7255992e-06,-10.580544,-0.27480851,0.52471438,38.501515,0.41988291,47.054486,0.029279669,-20.937067,-0.5752923,23.516337,36.39379,-28.16422,44.908875,4.3578298e-07,-19.325305,-0.5347664,0.003184485,36.137845,0.0055191333,44.007025,1.9114437e-07,-3.4639852,-0.095854781,6.2691195,36.137845,7.0561807,44.007025,0.38867538,13797.833,282297.22,1.2215472,311.44122,1,3
3.1519792,0.29716862,7.7174823,10.606703,15.91038,3.93644,0.036104083,5.9479787,0.39457732,8.0859097,15.074305,15.78289,-16.529305,0.010682598,0.097540434,0.20428012,8.0859097,0.47748372,15.78289,0.37813451,0.20014467,5.3634814,0.21883049,7.6776696,24.509753,16.016863,-29.629843,0.1228829,-0.00082148146,-0.24788951,11.818582,0.0033139016,4.9925844,0.0055813253,0.029728259,-0.0001013111,-0.027870119,0.48389422,0.0036351156,0.39861134,0.0058586893,0.83843441,-0.91932681,-0.13760685,14.044944,6.6808215,-15.020018,7.8393304,0.31184838,-16.594285,-0.46509862,7.818085,35.679068,16.695418,39.682076,0.00034662937,58.157163,0.23220043,11.818582,250.46105,4.9925844,314.29635,0.042144672,-70.713289,-0.28889497,14.044944,244.77162,-15.020018,396.25094,0.03081859,3.097308,0.090376574,11.890263,34.271138,5.0382763,43.387102,0.43750239,-20.198616,-0.54655256,14.171778,36.956402,-15.056073,45.306123,1.5823938e-05,-10.075918,-0.27264339,0.48527711,36.956402,0.40585882,45.306123,0.044023754,-18.364515,-0.54103694,22.988523,33.943182,-28.287701,41.28224,2.279302e-06,-18.169542,-0.52966642,0.0032093787,34.303745,0.0055918674,41.173535,3.6858182e-07,-4.2051404,-0.12258546,6.2338878,34.303745,6.9578765,41.173535,0.27560777,13979.668,282211.34,1.2213907,313.01935,1,4
-0.3950858,-0.034286428,7.9089439,11.523096,15.76067,4.0667128,0.81902934,5.9570078,0.39585522,7.9808099,15.048451,15.85819,-14.60906,0.009459774,0.062375363,0.12667648,7.9808099,0.49239892,15.85819,0.38892216,0.42405261,4.5465921,0.18883945,7.8491753,24.076496,15.850698,-28.919562,0.19864116,2.6393899e-06,0.00080717731,10.955759,0.0032699011,4.1623514,0.0055051343,0.99455417,0.0007142567,0.20595214,0.48938757,0.0034680712,0.38252619,0.0056956673,0.11440116,-0.064122832,-0.010040247,15.039616,6.3865789,-14.044442,7.4404417,0.93930986,-15.515451,-0.46144842,7.8405693,33.623369,16.694045,37.83735,0.00039119941,68.365887,0.27433627,10.955759,249.2047,4.1623514,306.68615,0.018014155,-72.823958,-0.29091913,15.039616,250.32372,-14.044442,356.58745,0.024129311,1.8759979,0.05657867,11.026754,33.157334,4.2000137,41.715276,0.63446912,-14.32973,-0.41107465,15.039616,34.859192,-14.044442,44.892213,0.0011034953,-12.076187,-0.34642762,0.48938757,34.859192,0.38252619,44.892213,0.006698194,-16.652801,-0.51432137,22.710727,32.378202,-27.881883,40.1066,1.3776291e-05,-17.153802,-0.52440739,0.0032061361,32.710833,0.0055720741,38.924829,5.0373479e-07,-4.4608883,-0.13637342,6.3177389,32.710833,6.7061296,38.924829,0.22476107,13930.185,281944.55,1.2221838,312.38092,1,5
1.450723,0.16457402,7.9596669,8.8150181,15.4465,1.7168667,0.28000125,7.8377658,0.43271079,8.1019625,18.113174,15.379077,-13.638821,0.0059361089,0.022369171,0.052323621,8.1019625,0.42751573,15.379077,0.26764282,0.75173962,6.3062915,0.25714252,7.8843561,24.524499,15.700287,-29.351457,0.081004996,-0.00096228588,-0.3074489,10.49443,0.0031299052,3.3774306,0.0053592587,0.0086117646,-0.00026664495,-0.079512921,0.44178694,0.0033534795,0.29544637,0.0055358341,0.56390289,-1.0677357,-0.1654925,16.927759,6.451868,-14.061973,7.0212,0.22724656,-16.418053,-0.47703461,8.0584269,34.416901,16.760778,37.161764,0.00026528085,25.199092,0.10106635,10.49443,249.33216,3.3774306,305.68841,0.39825966,-46.286111,-0.18697987,16.927759,247.54596,-14.061973,372.66744,0.17165062,6.4296623,0.19219061,10.561791,33.454612,3.423493,41.7575,0.108342,-13.471147,-0.40929845,16.927759,32.912774,-14.061973,43.636297,0.0019165039,-4.1533014,-0.12619117,0.44178694,32.912774,0.29544637,43.636297,0.35859776,-17.207918,-0.52123805,23.343572,33.01355,-28.109913,39.258226,1.186428e-05,-16.528207,-0.50127502,0.0031421457,32.972332,0.0054530417,38.457285,2.1779041e-06,-3.4578795,-0.10487215,6.2184907,32.972332,6.4543125,38.457285,0.35455072,13632.604,281657,1.2236012,308.18233,1,6
4.7271865,0.35638665,7.8255733,13.264207,15.562447,4.458883,0.013940119,5.322889,0.37095495,8.0927966,14.349152,15.611825,-12.216225,0.018448109,0.031225047,0.07381258,8.0927966,0.4230315,15.611825,0.28886138,0.65080304,6.8830766,0.34498788,7.7683966,19.951647,15.655021,-17.522385,0.016333427,-0.00084378322,-0.26947203,14.153395,0.003131246,5.7527568,0.005358834,0.020246489,-0.00044301096,-0.13144451,0.45134157,0.0033703268,0.33164988,0.0055904382,0.33877572,-1.1497387,-0.1774991,14.140635,6.4774337,-12.426445,6.9448,0.19481856,-15.138795,-0.44804088,7.9987098,33.788869,16.626222,36.454496,0.00068033089,42.662262,0.1720689,14.153395,247.93708,5.7527568,317.08063,0.14266159,-37.603576,-0.1552435,14.140635,242.22319,-12.426445,393.349,0.25773959,1.4818913,0.046587675,14.219574,31.808656,5.8625548,39.464169,0.69551067,-16.64288,-0.51925532,14.140635,32.051438,-12.426445,40.72379,4.8642745e-05,-7.695601,-0.24010158,0.45134157,32.051438,0.33164988,40.72379,0.077451149,-11.643914,-0.36369411,21.552717,32.01568,-12.270115,38.354441,0.00290128,-16.269744,-0.51482702,0.0032354146,31.602352,0.0055860632,36.777716,1.0304112e-06,-5.2839958,-0.16720261,6.3229446,31.602352,6.580025,36.777716,0.13822694,13965.158,281745.76,1.222581,323.28069,1,7
6.9648626,0.32336385,7.9578478,21.538779,16.07115,14.56855,0.021985611,0.2329438,0.013472831,8.2548972,17.289893,15.872859,8.1199457,0.92918809,0.028813624,0.0771297,8.2548972,0.37357366,15.872859,0.63614487,0.61041399,-7.6470121,-0.18807934,7.9578478,40.658437,16.07115,53.22004,0.19087581,-0.0011709825,-0.37283842,18.921956,0.0031407237,14.76424,0.0055908594,0.0009867249,-0.00047613365,-0.1485229,0.37708529,0.0032057929,0.65210027,0.0056869239,0.22324161,-2.2295732,-0.38417734,16.583493,5.8035,7.5749638,8.3516232,0.0011182481,-17.686178,-0.49416368,7.9770704,35.79012,16.7983,42.19755,0.00012586985,-17.478251,-0.074873456,18.921956,233.43722,14.76424,368.63133,0.52319424,-14.301715,-0.061147061,16.583493,233.89047,7.5749638,386.8229,0.61769917,1.1632905,0.035475656,18.921956,32.791231,14.76424,45.838525,0.76252771,6.360889,0.18910682,16.583493,33.636486,7.5749638,46.420475,0.1196558,4.2553603,0.12651025,0.37708529,33.636486,0.65210027,46.420475,0.30027502,11.851187,0.35217531,44.983061,33.651385,61.775623,45.522523,0.0040144264,-18.259652,-0.55307224,0.0031665329,33.01495,0.0056949444,42.697868,7.1140411e-08,-3.4772165,-0.10532248,5.9423113,33.01495,7.9074878,42.697868,0.34633778,14237.361,283045.62,1.2167274,362.31881,1,8
