SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.0015154,0.23170229,8.8261757,4.3224232,20.390743,8.4961726,0.01685504,-5.3264542,-0.32870444,8.476666,16.204388,20.30565,24.988736,0.00033494962,0.02413746,0.26874406,8.8261757,0.08981579,20.390743,0.13593109,0.0053441782,3.5762333,0.16799149,8.476666,21.288181,20.30565,42.06062,0.072716754,4.7920269e-05,0.046614208,4.2713,0.0010280185,8.4313789,0.0024728675,0.59701485,0.00058188221,0.56602309,0.089490575,0.0010280185,0.13337738,0.0024728675,1.8504433e-12,-0.28752497,-0.076275753,18.41475,3.7695461,22.991861,-0.035219965,0.36866732,-225.07937,-0.25522875,8.476666,881.87313,20.30565,1544.0678,0.0059075112,61.965221,0.23488325,4.2713,263.81286,8.4313789,323.9093,0.0069238537,-23.353883,-0.08693866,18.41475,268.62483,22.991861,333.21941,0.30531964,-92.874721,-0.10991886,4.2713,844.93889,8.4313789,1543.9152,0.21136818,217.81463,0.25406347,18.41475,857.32369,22.991861,1483.9119,0.0023655798,-448.99153,-0.53138936,0.089490575,844.93889,0.13337738,1543.9152,6.572643e-11,5.3994787,0.0062484387,21.672661,864.13245,41.739233,1454.5798,0.94033252,-662.24876,-0.76637414,0.0010305695,864.13245,0.0025322349,1454.5798,1.8153399e-29,353.04337,0.40855239,3.8015908,864.13245,-0.17905142,1454.5798,3.066341e-07,6330.5873,294523.77,0.97099244,344.33365,1,daily
0.98568717,0.2677226,8.8392184,3.6817482,20.314748,1.0593447,0.0062565358,-2.0219395,-0.078298796,8.4777913,25.82338,20.243321,-22.148598,0.41187335,-0.037095389,-0.14229027,8.8392184,0.26070222,20.314748,0.096493244,0.15163764,4.8565773,0.13401967,8.4777913,36.237794,20.243321,-70.137357,0.15889921,1.5163448e-05,0.013855736,4.0219909,0.0010943805,1.3724048,0.0024452291,0.87761952,0.0002837964,0.2593215,0.26060078,0.0010943805,0.09434725,0.0024452291,0.0033657097,-0.060877181,-0.015498784,25.709562,3.9278682,-23.023159,-1.659637,0.85839647,-155.02115,-0.14001085,8.4777913,1107.2081,20.243321,1498.3062,0.14091948,27.269096,0.089162334,4.0219909,305.8365,1.3724048,175.72083,0.32078344,-22.773086,-0.073237069,25.709562,310.95026,-23.023159,177.76703,0.39858033,-11.861671,-0.011280978,4.0219909,1051.4754,1.3724048,1508.0552,0.90023013,-60.892927,-0.058232616,25.709562,1045.6842,-23.023159,1452.4643,0.50229711,-186.43068,-0.17730389,0.26060078,1051.4754,0.09434725,1508.0552,0.047015364,-568.40339,-0.54375942,34.924812,1045.3215,-68.445861,1418.0812,3.8466061e-12,-751.47205,-0.71889087,0.0010701432,1045.3215,0.0024740812,1418.0812,1.5003814e-23,264.35546,0.25289394,4.0071942,1045.3215,-1.823175,1418.0812,0.0025730541,6185.2031,292731.32,0.98558876,185.96275,1,0
0.82270751,0.22679191,8.8545194,3.6275875,20.296864,1.1407767,0.02123947,-0.78998685,-0.02906107,8.4926574,27.183681,20.22425,-23.122536,0.76100033,0.010935401,0.048249277,8.8545194,0.22664383,20.296864,0.080600893,0.62839822,6.6076862,0.18478748,8.4926574,35.7583,20.22425,-70.076518,0.051116534,0.00012045078,0.11083785,4.0907619,0.0010867297,1.5263611,0.0024251242,0.21662096,0.00025151052,0.23143798,0.20689024,0.0010867297,0.067672372,0.0024251242,0.0091207154,0.24770899,0.062828928,27.009602,3.9425945,-23.288346,-1.7417978,0.46743415,-90.341059,-0.096743479,8.4991621,933.82066,20.331473,1406.4703,0.31469274,66.438215,0.2186941,4.0907619,303.79518,1.5263611,174.64388,0.013884903,-25.565096,-0.081148541,27.009602,315.04074,-23.288346,183.28695,0.34764786,-15.035992,-0.016937737,4.1205208,887.72141,1.5471774,1432.2551,0.85188499,-69.68001,-0.078070554,27.085772,892.52614,-23.601959,1371.0687,0.36991384,-176.04108,-0.19830667,0.20808145,887.72141,0.067072455,1432.2551,0.027253985,-468.12846,-0.52504179,35.431333,891.60228,-67.377199,1351.5955,3.8193606e-11,-667.7622,-0.74894627,0.0010707663,891.60228,0.0024965632,1351.5955,4.4712182e-26,209.1208,0.23454494,4.0095023,891.60228,-1.8965761,1351.5955,0.0056236996,6241.4081,292680.04,0.98524249,188.39027,1,1
0.26123469,0.059258692,8.8736645,4.4083777,20.279612,1.5413058,0.55211544,-1.882583,-0.065730915,8.5497842,28.640755,20.205324,-22.940095,0.49307855,4.2161094e-05,0.0003371758,8.9174851,0.12504187,20.279794,0.059671766,0.99731645,6.0851806,0.17575849,8.5111862,34.6224,20.205821,-70.106598,0.063790208,5.9392377e-05,0.055606828,4.5140012,0.001068077,1.8104802,0.0023915972,0.53628328,0.00032123282,0.30372041,0.1587371,0.0010576596,0.064817029,0.0023758881,0.00057467256,-0.093596655,-0.023156774,27.958908,4.0418693,-22.545352,-1.9456889,0.78978393,-125.96525,-0.13443064,8.5174072,937.02778,20.313332,1414.0778,0.16145985,38.620863,0.13480681,4.5140012,286.49044,1.8104802,169.43339,0.13232395,1.1349475,0.0037339237,27.958908,303.95573,-22.545352,179.51556,0.96571669,60.428926,0.068232989,4.5443413,885.62624,1.839871,1442.7795,0.45145385,-97.792899,-0.10957674,28.023994,892.46035,-22.886793,1385.7866,0.20927677,-235.48544,-0.26598976,0.1598141,885.31769,0.065870965,1450.2491,0.0029431879,-454.23469,-0.50987729,34.53457,890.87061,-67.132221,1360.9771,1.687033e-10,-659.65767,-0.74046407,0.0010558361,890.87061,0.0024636159,1360.9771,3.111474e-25,213.65555,0.23982781,4.0898268,890.87061,-2.0870616,1360.9771,0.0046087072,6159.0398,292477.2,0.9858886,183.22435,1,2
-0.026802834,-0.0064376379,8.8986941,4.1634578,20.258374,1.4134175,0.9485417,1.1871977,0.039064369,8.5739871,30.390807,20.183396,-25.601865,0.68396015,-0.0024354507,-0.014754462,8.9426385,0.16506537,20.258368,0.06295171,0.8829866,7.5887238,0.21790334,8.5352811,34.826101,20.184071,-69.697411,0.020998633,0.00012157428,0.11474973,4.896361,0.0010594733,1.8500159,0.0023743962,0.20073642,0.00019368459,0.1846511,0.21163129,0.001048922,0.078565308,0.0023586985,0.039256906,-0.18757012,-0.046662023,29.656622,4.0197598,-25.321352,-2.137137,0.59098096,-154.31598,-0.16735437,8.5410913,922.09114,20.291968,1374.0965,0.080546597,84.159611,0.29780703,4.896361,282.59779,1.8500159,168.11165,0.0007072743,-14.031042,-0.045221628,29.656622,310.27282,-25.321352,181.68537,0.6025002,-31.342862,-0.035529365,4.9295615,882.1678,1.881625,1418.9921,0.69523918,-94.504049,-0.1066359,29.724987,886.23108,-25.690462,1364.7149,0.22183492,-210.50655,-0.23951056,0.21275868,878.90298,0.077726275,1428.8417,0.0076274629,-431.39687,-0.48656871,34.720187,886.61038,-66.721819,1340.1434,1.4420692e-09,-665.94566,-0.75111422,0.0010501385,886.61038,0.002442993,1340.1434,2.6894168e-26,201.19672,0.226928,4.0493511,886.61038,-2.2778514,1340.1434,0.0074381269,6107.4826,292281.83,0.98593796,185.76624,1,3
0.3081743,0.079920427,8.9243343,3.8560141,20.238204,1.1050777,0.42226978,2.31489,0.07394722,8.5989135,31.304625,20.161617,-27.382221,0.44051733,0.0033724362,0.013929296,8.9684051,0.24211102,20.238,0.093914762,0.88948814,8.2140159,0.22899857,8.5600969,35.869289,20.162487,-68.675228,0.015154284,0.00011748135,0.11038939,4.3740784,0.0010642449,1.4770794,0.0023596978,0.21849753,9.2479552e-05,0.087747261,0.27089053,0.0010539309,0.10968755,0.0023440801,0.3305201,-0.30744192,-0.075185891,30.311721,4.0890906,-26.99557,-2.2464407,0.38611446,-207.47746,-0.20658548,8.5988737,1004.3177,20.165095,1406.512,0.029600261,36.736251,0.13599746,4.3740784,270.12455,1.4770794,161.58686,0.12890922,-4.4409727,-0.015171923,30.311721,292.70994,-26.99557,171.40265,0.86135259,-12.739189,-0.013094258,4.3897258,972.88362,1.488704,1450.8279,0.88476322,-101.04149,-0.10398145,30.347303,971.72619,-27.182444,1395.0086,0.23183724,-79.096407,-0.081643492,0.27180816,968.80234,0.11057213,1461.9611,0.36735337,-479.31082,-0.4932477,35.805119,971.74466,-65.592727,1369.1225,6.8711355e-10,-723.04304,-0.7440669,0.0010611747,971.74466,0.0024188838,1369.1225,9.1712474e-26,235.78344,0.24263929,4.1143634,971.74466,-2.3502518,1369.1225,0.0040023143,6047.2094,292218.09,0.98677598,172.66201,1,4
0.59758074,0.11959295,8.9843681,4.996789,20.229034,0.49388725,0.2312107,2.1630509,0.067198583,8.6538733,32.188937,20.149991,-26.484514,0.4854758,0.015825488,0.085180337,9.0291777,0.18578805,20.228748,0.073925622,0.39703024,7.5460616,0.21866423,8.6144538,34.509813,20.150964,-68.289527,0.02112917,1.6795371e-05,0.01588491,4.8147116,0.0010573161,0.8273,0.0023600901,0.86043098,8.9153438e-05,0.085129493,0.24939264,0.0010472685,0.097295447,0.0023446005,0.34718211,-0.088955652,-0.021584537,30.765149,4.1212676,-26.186892,-2.4894813,0.80448486,-186.67011,-0.20056124,8.6538388,930.73869,20.153468,1367.9216,0.035652277,29.347877,0.11584177,4.8147116,253.34451,0.8273,146.89067,0.19827745,-4.1334987,-0.015064207,30.765149,274.39205,-26.186892,156.49,0.86284252,59.817609,0.065409424,4.8337416,914.51056,0.83350806,1400.6921,0.47043881,-60.724147,-0.066322318,30.795818,915.59145,-26.384692,1344.8149,0.44816245,-116.7118,-0.12760201,0.24957046,914.65484,0.095460177,1407.9532,0.15958113,-464.06434,-0.50990243,34.203994,910.10419,-65.972989,1332.7444,1.9633663e-10,-663.53132,-0.72907183,0.0010420835,910.10419,0.002404344,1332.7444,5.5015358e-24,218.12104,0.23966601,4.1575885,910.10419,-2.6033467,1332.7444,0.0047911978,6010.8599,291927.78,0.98846714,157.77065,1,5
0.25277691,0.055565196,9.0011718,4.549195,20.216373,1.0762108,0.57910433,1.9125852,0.062734739,8.6702247,30.48686,20.136195,-25.975618,0.51498647,0.030949708,0.11161061,9.0460647,0.27730077,20.215955,0.1044273,0.26648791,6.7089777,0.18817522,8.6307324,35.652823,20.137297,-66.170023,0.047949846,3.416338e-06,0.0031577553,4.3385403,0.0010818881,0.973716,0.002361217,0.97211947,0.00028989104,0.26964046,0.26427941,0.0010751022,0.096640634,0.0023473726,0.0024578718,-0.339319,-0.08197881,29.485723,4.1391063,-25.339086,-2.6735896,0.34636217,-190.56162,-0.19886023,8.6701966,958.26917,20.139655,1365.6349,0.037279782,13.419492,0.055179549,4.3385403,243.19684,0.973716,143.04384,0.54107102,-7.3146258,-0.02760874,29.485723,264.93877,-25.339086,152.68434,0.75150123,54.685169,0.057673115,4.3503947,948.19171,0.99364113,1391.2884,0.5246159,-53.090402,-0.056038281,29.451386,947.39526,-25.591617,1335.6068,0.52173818,-243.87556,-0.25715116,0.26521486,948.37433,0.09742633,1398.7835,0.0040882066,-494.26842,-0.5248005,34.858869,941.82155,-64.358504,1323.6158,4.6132156e-11,-682.6506,-0.72481947,0.0010645303,941.82155,0.0023994629,1323.6158,1.3406378e-23,224.19807,0.23804729,4.1681902,941.82155,-2.7938029,1323.6158,0.0050924568,5998.6572,291706.19,0.98923479,154.26693,1,6
-0.011931183,-0.003009631,9.0149257,3.9643341,20.206926,1.1735,0.97605012,2.9463536,0.11208108,8.6836533,26.287698,20.125641,-23.431214,0.2437094,0.0069435813,0.029175806,9.0598868,0.23799107,20.206431,0.093571377,0.772103,11.247952,0.3302898,8.6441011,34.054797,20.126824,-56.77077,0.00039963671,-3.6055093e-05,-0.034205204,4.4102046,0.0010540821,1.207048,0.0023197507,0.70491459,0.00012327354,0.11730643,0.22702914,0.0010508678,0.09093056,0.0023138797,0.19629696,-0.25918591,-0.06280609,25.577167,4.126764,-23.287056,-2.7576805,0.47264166,-181.17937,-0.19075108,8.6836304,949.82095,20.12905,1348.5596,0.04591994,31.028707,0.1371208,4.4102046,226.28739,1.207048,128.92353,0.12729209,-1.054254,-0.0042921179,25.577167,245.62559,-23.287056,138.2873,0.96089371,96.888697,0.10080455,4.425362,961.15402,1.2209073,1389.3751,0.26528617,-177.56494,-0.18363793,25.598015,966.92951,-23.458235,1324.1062,0.035054245,-188.58292,-0.19470811,0.22591429,968.5417,0.088190753,1390.7207,0.031626907,-408.59431,-0.42643855,33.56378,958.15519,-54.984353,1315.2721,2.2603829e-07,-675.347,-0.70484094,0.0010429278,958.15519,0.0023702812,1315.2721,1.0066725e-21,263.02272,0.27450951,4.1629409,958.15519,-2.9077831,1315.2721,0.0012201976,5925.7031,291551.48,0.99074256,140.87005,1,7
0.74243562,0.12631656,9.0252993,5.8775797,20.197284,3.86775,0.20584051,0.49336266,0.030978101,8.6151703,15.926175,20.112603,-2.4863527,0.74575531,0.049851055,0.13290854,9.0252993,0.37507789,20.197284,0.28062395,0.18296425,12.641581,0.35465006,8.6151703,35.645223,20.112603,40.288228,0.00012472747,3.1187786e-05,0.028946322,5.5783925,0.0010774352,3.646176,0.0023387707,0.74863057,-2.2918085e-05,-0.021235673,0.37091993,0.0010792257,0.27841599,0.0023454228,0.81490584,-0.98060179,-0.24287411,15.707555,4.03749,-1.9302222,-1.6864333,0.0045350537,-201.09629,-0.21607017,8.6151703,930.699,20.112603,1351.8066,0.022130644,32.693709,0.14202748,5.5783925,230.19284,3.646176,131.32561,0.11411069,44.551412,0.1835852,15.707555,242.67431,-1.9302222,139.6712,0.033057695,6.1397062,0.006721329,5.5783925,913.4661,3.646176,1394.9743,0.94069797,-143.53905,-0.15599413,15.707555,920.15674,-1.9302222,1317.9916,0.07080738,-113.06584,-0.12347874,0.37091993,915.67045,0.27841599,1390.3013,0.17184157,-115.57171,-0.12595519,37.524012,917.56214,41.867496,1315.845,0.14100767,-685.12729,-0.74668217,0.0010784845,917.56214,0.0023908303,1315.845,7.561172e-26,306.65084,0.33420172,4.0775659,917.56214,-1.7822971,1315.845,6.1734371e-05,5977.0756,292723.66,0.98907985,142.12209,1,8
