SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
2.8925057,0.44050973,10.817353,6.5662699,20.768079,10.785151,9.9240143e-06,-6.7676667,-0.37746263,10.916185,17.929369,21.131423,28.684347,0.00013819151,0.018687158,0.17522571,10.817353,0.10664621,20.768079,0.12848556,0.092960044,-0.77880152,-0.036256555,10.916185,21.480296,21.131423,35.796849,0.72440897,7.6229684e-07,0.00087770462,7.0949524,0.00086851182,11.178902,0.0023318429,0.99308506,0.00023469851,0.27023064,0.1114337,0.00086851182,0.13771559,0.0023318429,0.0065456674,-0.056880035,-0.015423757,18.88378,3.6878198,27.578811,-0.83683734,0.8765058,-226.48411,-0.29666138,10.916185,763.44318,21.131423,1257.7897,0.0031713022,-1.798439,-0.0073981146,7.0949524,243.09423,11.178902,377.29216,0.94176473,-23.401489,-0.097417944,18.88378,240.21744,27.578811,376.02872,0.32521037,-184.31528,-0.23830797,7.0949524,773.43313,11.178902,1216.2561,0.016957613,207.12173,0.26901375,18.88378,769.92989,27.578811,1208.031,0.0057562465,-388.14231,-0.5018434,0.1114337,773.43313,0.13771559,1216.2561,1.0425842e-07,-17.434966,-0.023098952,21.876276,754.79465,37.257725,1199.1813,0.80897686,-555.94657,-0.73655341,0.00086874514,754.79465,0.0023327903,1199.1813,2.1418104e-20,361.18394,0.47851948,3.7037344,754.79465,-1.0524033,1199.1813,9.4782713e-08,5831.9757,293821.81,0.96751181,373.97745,1,daily
1.7071427,0.30966869,10.640659,5.5128037,20.495456,2.3684176,0.0028172476,-2.1198939,-0.078194764,10.964401,27.110433,21.18582,-29.962753,0.44647064,-0.033616047,-0.18902605,10.640659,0.17783817,20.495456,0.058996699,0.072736376,7.8925469,0.21661847,10.964401,36.435244,21.18582,-79.714448,0.033075904,-0.00032462085,-0.35682566,5.4576504,0.00090974637,2.387474,0.0022705687,0.00035890168,0.00017947626,0.19728164,0.21210558,0.00090974637,0.07335336,0.0022705687,0.054027433,-0.59129841,-0.15297635,26.938266,3.865293,-28.923436,-2.5928775,0.12478532,-201.2973,-0.24067925,10.964401,836.37161,21.18582,1112.2839,0.017562919,15.482665,0.051258869,5.4576504,302.0485,2.387474,201.74499,0.61990884,-0.41813333,-0.0014059911,26.938266,297.39401,-28.923436,198.42849,0.98881019,208.08092,0.24704885,5.4576504,842.26629,2.387474,1100.6522,0.015240769,-245.66527,-0.29487733,26.938266,833.11006,-28.923436,1082.4315,0.0026244668,-225.75639,-0.26803446,0.21210558,842.26629,0.07335336,1100.6522,0.0082835991,-408.66313,-0.50020093,36.856775,816.99793,-78.563545,1055.2425,2.2727253e-08,-573.40647,-0.70184568,0.00092349688,816.99793,0.0022897391,1055.2425,9.4240184e-18,300.87057,0.36826356,3.9595779,816.99793,-2.8890541,1055.2425,6.988717e-05,5724.3476,291812.15,0.98360095,200.7101,1,0
1.4465974,0.28989915,10.642195,4.990002,20.485714,2.6859505,0.0053140158,-0.55246025,-0.020595129,10.965167,26.824802,21.172371,-28.077278,0.84130056,-0.0092045454,-0.040972071,10.642195,0.22465414,20.485714,0.071281213,0.69978731,8.6632936,0.24537642,10.965167,35.306137,21.172371,-80.038093,0.015413821,-0.00020464485,-0.22395373,4.8872126,0.00091378182,2.590026,0.0022415726,0.028272305,8.0662566e-05,0.088273333,0.21917367,0.00091378182,0.067835302,0.0022415726,0.39241833,-0.4352516,-0.10792629,26.27047,4.0328597,-27.775814,-2.8402353,0.28026431,-197.49822,-0.21689196,10.965167,910.58343,21.172371,1130.3618,0.032849554,57.847849,0.20499546,4.8872126,282.19088,2.590026,191.24618,0.04511745,-18.742971,-0.067461497,26.27047,277.83212,-27.775814,188.28739,0.50050287,109.58863,0.12009223,4.8872126,912.53725,2.590026,1126.3835,0.24382937,-197.39241,-0.21882244,26.27047,902.06657,-27.775814,1102.8427,0.027132011,-203.77163,-0.22330226,0.21917367,912.53725,0.067835302,1126.3835,0.028746912,-397.31764,-0.45000726,35.898361,882.91386,-78.586568,1072.2478,7.2258055e-07,-607.55845,-0.6881288,0.00092881055,882.91386,0.0022614476,1072.2478,7.1708281e-17,301.52409,0.3415102,4.0953289,882.91386,-3.1283829,1072.2478,0.00024423744,5653.619,291575.42,0.98441662,191.27574,1,1
1.854173,0.33453176,10.649368,5.5425919,20.471593,2.7298681,0.0011909852,0.31502456,0.012431894,10.972323,25.340029,21.153629,-28.502526,0.90380403,-0.016079399,-0.07349843,10.649368,0.21877201,20.471593,0.061044883,0.48870168,9.2501669,0.25943782,10.972323,35.654659,21.153629,-78.690412,0.01028372,-0.00025803729,-0.28690367,5.4350865,0.00089938648,2.7395677,0.0022091295,0.0045956972,0.00011156082,0.12404102,0.21516082,0.00089938648,0.062682747,0.0022091295,0.2285568,-0.70768808,-0.1733988,25.338916,4.0812743,-28.007667,-3.0509069,0.081353301,-172.96508,-0.20176839,10.972323,857.24569,21.153629,1115.0468,0.047494904,22.527356,0.088560902,5.4350865,254.37135,2.7395677,176.73483,0.390872,-5.5589882,-0.022323279,25.338916,249.02203,-28.007667,172.68826,0.82376652,184.89263,0.21530573,5.4350865,858.74456,2.7395677,1114.3036,0.035143798,-227.6524,-0.26808734,25.338916,849.17254,-28.007667,1089.547,0.0064450189,-206.43381,-0.24039024,0.21516082,858.74456,0.062682747,1114.3036,0.018315063,-378.75398,-0.45411981,36.219975,834.03975,-77.236964,1060.329,5.5542001e-07,-586.22283,-0.70287156,0.00091682767,834.03975,0.0022313661,1060.329,8.0594855e-18,279.73623,0.33539916,4.132722,834.03975,-3.3324685,1060.329,0.00032010117,5578.4151,291358.79,0.98565274,177.78592,1,2
1.862313,0.33071006,10.650035,5.6312558,20.453511,2.9625659,0.0013659156,1.5199108,0.05980181,10.972397,25.415799,21.13083,-27.342928,0.56065739,0.0063465875,0.028170704,10.650035,0.22529035,20.453511,0.081413997,0.79095625,9.4748995,0.27144903,10.972397,34.904894,21.13083,-78.536268,0.0071558769,-0.00011154732,-0.12538988,5.6106202,0.0008896038,3.0387604,0.0021853343,0.22349684,0.00010170759,0.11432909,0.25221017,0.0008896038,0.096488049,0.0021853343,0.26736148,-0.80418512,-0.19463314,25.221253,4.1317995,-26.848961,-3.3207794,0.049965228,-149.885,-0.18106129,10.972397,827.81365,21.13083,1096.0987,0.075925986,62.875675,0.25163916,5.6106202,249.86443,3.0387604,176.64162,0.013391352,-28.179769,-0.11501654,25.221253,245.00623,-26.848961,173.14353,0.24968343,95.895698,0.11590045,5.6106202,827.39711,3.0387604,1097.7079,0.26079814,-156.58136,-0.19168363,25.221253,816.87396,-26.848961,1071.4322,0.053608417,-193.87703,-0.23432162,0.25221017,827.39711,0.096488049,1097.7079,0.021568061,-324.76834,-0.40306642,35.814019,805.74398,-76.705018,1043.3281,1.1542963e-05,-574.98321,-0.71360534,0.00091112838,805.74398,0.0022102817,1043.3281,1.5059336e-18,246.64491,0.30610828,4.1780288,805.74398,-3.5968018,1043.3281,0.0010856081,5525.7042,291081.02,0.98585833,180.33994,1,3
2.1728788,0.4036102,10.642712,5.3836073,20.432077,2.9098022,7.2746661e-05,-2.9533713,-0.12371891,10.965382,23.871624,21.104696,-27.554753,0.22730178,-0.028625305,-0.11279022,10.642712,0.25379243,20.432077,0.082488946,0.28711245,8.9266245,0.25168794,10.965382,35.467034,21.104696,-77.082314,0.012887025,-0.00016244145,-0.17851914,5.3079398,0.00090993853,2.8680208,0.0021732068,0.081820628,0.00021472533,0.23597783,0.2738823,0.00090993853,0.095773952,0.0021732068,0.020634583,-0.39190421,-0.097312114,23.657834,4.0272911,-26.751475,-3.4620882,0.33055169,-140.73616,-0.16646304,10.965382,845.44992,21.104696,1097.3031,0.10318421,31.831004,0.13059007,5.3079398,243.7475,2.8680208,176.31641,0.20472876,-15.398602,-0.064558438,23.657834,238.5219,-26.751475,171.71803,0.51915692,108.38685,0.12806678,5.3079398,846.33075,2.8680208,1100.1906,0.21368973,-110.8849,-0.13309213,23.657834,833.14394,-26.751475,1079.1287,0.18235485,-244.41516,-0.2887939,0.2738823,846.33075,0.095773952,1100.1906,0.0043227897,-343.57326,-0.4203154,36.556056,817.41774,-74.911761,1046.2303,4.3744436e-06,-592.36583,-0.72467944,0.00092098264,817.41774,0.0021971384,1046.2303,2.4571324e-19,217.95173,0.26663445,4.0914772,817.41774,-3.7454505,1046.2303,0.004672747,5492.8459,290939.05,0.98601017,178.57054,1,4
1.4179346,0.30325232,10.644103,4.6757583,20.420071,2.0808352,0.0034780149,-1.6170478,-0.067368064,10.964244,24.003181,21.086485,-27.195686,0.51205414,-0.015177285,-0.066529986,10.644103,0.22812699,20.420071,0.085126309,0.53093655,7.1183361,0.19800722,10.964244,35.949881,21.086485,-74.870639,0.051876239,-0.00019528211,-0.20979394,4.570223,0.00093082821,2.0742604,0.0021888586,0.040216716,0.00020787815,0.22332601,0.27426561,0.00093082821,0.10595778,0.0021888586,0.028729491,-0.28547378,-0.071201981,23.803333,4.0093516,-26.319814,-3.6236471,0.47699412,-125.24506,-0.14975999,10.964244,836.30525,21.086485,1063.267,0.14316264,12.692554,0.055227821,4.570223,229.82174,2.0742604,168.25135,0.59303737,-11.728442,-0.05192289,23.803333,225.88192,-26.319814,165.29983,0.60426128,116.51644,0.13797224,4.570223,844.49187,2.0742604,1059.1694,0.18006369,-87.297339,-0.10517377,23.803333,830.02959,-26.319814,1040.5738,0.2927845,-275.96173,-0.32677843,0.27426561,844.49187,0.10595778,1059.1694,0.0011560139,-358.08297,-0.44101614,37.065185,811.94981,-72.958923,1008.6588,1.2692659e-06,-581.78732,-0.71653114,0.00093325374,811.94981,0.0022087325,1008.6588,9.4063452e-19,200.82722,0.24733945,4.0787942,811.94981,-3.9112387,1008.6588,0.0088659229,5521.8313,290764.77,0.98670697,171.86331,1,5
1.1089669,0.20711031,10.646842,5.3544746,20.410434,2.3822143,0.048860337,0.55951979,0.022283897,10.965932,25.108705,21.07183,-29.250732,0.82847903,-0.0041400767,-0.015866436,10.646842,0.26093301,20.410434,0.093563697,0.88133806,4.543698,0.12487859,10.965932,36.384924,21.07183,-74.465335,0.22294115,-0.00021956756,-0.22878898,5.7856323,0.00095969462,2.6277113,0.0022018938,0.024190781,0.00033041135,0.34428801,0.27740579,0.00095969462,0.1003743,0.0022018938,0.00055420979,-0.036357908,-0.0092986378,24.941255,3.9100252,-28.744214,-3.6479175,0.92572787,-128.56185,-0.14620145,10.965932,879.34734,21.07183,1070.819,0.15302112,21.603093,0.092375695,5.7856323,233.86122,2.6277113,169.6128,0.3681591,-1.296041,-0.005522364,24.941255,234.68953,-28.744214,169.48584,0.95584984,148.91546,0.16696654,5.7856323,891.88805,2.6277113,1054.9881,0.10213123,-145.09244,-0.16584509,24.941255,874.86729,-28.744214,1035.6496,0.094087832,-228.88993,-0.25663527,0.27740579,891.88805,0.1003743,1054.9881,0.01116642,-373.38906,-0.43747945,38.042427,853.50078,-71.944424,1004.2932,1.4122534e-06,-620.55202,-0.72706672,0.00095382033,853.50078,0.0022192593,1004.2932,1.1230472e-19,216.85948,0.25408234,3.9958225,853.50078,-3.9318259,1004.2932,0.0068654051,5548.1482,290733.3,0.98671138,173.89815,1,6
0.94086017,0.17572644,10.535414,5.3541185,20.1957,1.8202833,0.097579578,-0.88481039,-0.036137323,10.879222,24.484669,20.87251,-29.842109,0.72667791,-0.018457075,-0.061671127,10.535414,0.29928227,20.1957,0.11243126,0.56364533,4.3487553,0.12223064,10.968666,35.578275,21.053773,-67.208619,0.2329852,-0.00017537553,-0.18907225,6.0176439,0.00092755827,2.14425,0.0021863641,0.06504727,0.00020461494,0.22059524,0.31144575,0.00092755827,0.1179043,0.0021863641,0.030791956,-0.16881853,-0.044086615,24.228233,3.8292467,-29.300216,-3.6939412,0.65995198,-128.94538,-0.14562299,10.968666,885.47408,21.053773,1049.8641,0.15467056,39.226791,0.18216207,6.0176439,215.34005,2.14425,160.92969,0.075678463,7.5428946,0.03336331,24.228233,226.08352,-29.300216,163.99318,0.73921519,117.87565,0.13153256,6.0176439,896.17091,2.14425,1041.4753,0.20145167,-93.619323,-0.10656403,24.228233,878.52652,-29.300216,1023.7473,0.28641526,-245.14879,-0.27355138,0.31144575,896.17091,0.1179043,1041.4753,0.0070013837,-354.57981,-0.41314732,37.346577,858.24061,-64.260246,983.67389,5.9758413e-06,-632.4724,-0.73694065,0.00095053935,858.24061,0.0022260481,983.67389,1.9987076e-20,240.81183,0.28058778,3.915098,858.24061,-3.9473482,983.67389,0.002730183,5565.1202,290688.07,0.98728902,170.82322,1,7
1.0752896,0.15305978,10.531222,7.0252916,20.188822,4.2192222,0.14979482,-0.091626186,-0.0062565125,10.873643,14.64493,20.862307,-6.8845313,0.95175851,-0.020455158,-0.044971028,10.531222,0.45485192,20.188822,0.31401019,0.67384124,-1.0992189,-0.036656032,10.963359,29.987395,21.043675,27.554474,0.72149629,-0.0001346008,-0.14421581,7.555652,0.000933329,4.6952135,0.0022298193,0.16095983,-5.343726e-05,-0.057254472,0.45333006,0.000933329,0.32376228,0.0022298193,0.57952185,-1.0315309,-0.27323471,14.596689,3.7752556,-6.8448627,-2.6504804,0.0054592593,-162.66294,-0.19458044,10.963359,835.96761,21.043675,1048.2362,0.05615271,34.594034,0.16313995,7.555652,212.05127,4.6952135,165.60857,0.11225032,40.624765,0.18248088,14.596689,222.62478,-6.8448627,167.99606,0.066402274,60.70394,0.071869321,7.555652,844.6433,4.6952135,1035.7216,0.48652344,-98.109923,-0.11811237,14.596689,830.64905,-6.8448627,1024.8899,0.23707937,-60.666548,-0.071825052,0.45333006,844.6433,0.32376228,1035.7216,0.48679263,-125.39441,-0.15407288,37.924137,813.86427,33.492152,997.80448,0.10481143,-620.6514,-0.76259817,0.00095604742,813.86427,0.002275044,997.80448,1.5320368e-22,302.49791,0.37168103,3.8275414,813.86427,-2.8663259,997.80448,5.4623489e-05,5687.61,291820.82,0.98554119,173.18653,1,8
