SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
2.2917423,0.08640925,4.1778565,26.521955,21.420649,39.023008,0.19163255,-1.961562,-0.055413841,4.1778565,35.398412,21.420649,-15.073944,0.40289807,-0.0047859889,-0.031020092,4.1778565,0.15428674,21.420649,0.20425034,0.63978998,1.4264775,0.064522989,4.1778565,22.108051,21.420649,16.804478,0.3299455,-5.7346781e-05,-0.082992961,23.87434,0.00069098367,37.129702,0.0018060675,0.084175088,0.00011293032,0.16343413,0.16445159,0.00069098367,0.23769834,0.0018060675,0.00063092779,-0.73813251,-0.14947452,32.027697,4.938183,-11.669431,-9.0884395,0.0017930267,-107.12774,-0.17611091,4.1778565,608.29699,21.420649,873.2494,0.0074227081,34.647758,0.11266793,23.87434,307.52103,37.129702,476.97996,0.018880378,-11.183367,-0.036366186,32.027697,307.52103,-11.669431,476.97996,0.44984727,-24.346884,-0.040192822,23.87434,605.75204,37.129702,845.55922,0.40357901,-72.211206,-0.11920918,32.027697,605.75204,-11.669431,845.55922,0.012949667,-257.74571,-0.42549706,0.16445159,605.75204,0.23769834,845.55922,1.6386609e-20,-372.66259,-0.6152065,21.441663,605.75204,15.944139,845.55922,1.5126802e-46,-294.12865,-0.4855595,0.00069098367,605.75204,0.0018060675,845.55922,4.6898929e-27,240.1067,0.39637786,4.938183,605.75204,-9.0884395,845.55922,8.8417323e-18,4515.1688,295766.44,0.85738908,476.97996,1,daily
2.7086652,0.084164522,4.2006909,32.182981,21.430346,30.257516,0.20547047,-3.3827465,-0.061080374,4.2006909,55.381889,21.430346,-83.912701,0.35857608,-0.029137509,-0.10495786,4.2006909,0.27761149,21.430346,0.082890007,0.11399547,5.4224985,0.11592556,4.2006909,46.775696,21.430346,-64.487697,0.080687616,-0.00010228145,-0.13206329,27.486156,0.00077448811,27.033853,0.0017565736,0.005862512,7.379305e-05,0.095279771,0.35398927,0.00077448811,0.12910447,0.0017565736,0.047286821,-1.2153386,-0.228395,51.462488,5.3212137,-75.352646,-9.6767816,1.524092e-06,-102.15029,-0.14377194,4.2006909,710.50227,21.430346,853.47719,0.029986841,30.214513,0.080768234,27.486156,374.08907,27.033853,355.00833,0.092857844,111.33487,0.29761595,51.462488,374.08907,-75.352646,355.00833,2.5132545e-10,84.466587,0.11997534,27.486156,704.03289,27.033853,827.20804,0.012375976,-332.98515,-0.47296817,51.462488,704.03289,-75.352646,827.20804,1.4198206e-25,-146.73118,-0.20841524,0.35398927,704.03289,0.12910447,827.20804,1.2005641e-05,-488.94675,-0.69449419,44.224459,704.03289,-61.172912,827.20804,9.5076954e-64,-382.2023,-0.54287564,0.00077448811,704.03289,0.0017565736,827.20804,1.2410417e-34,226.65146,0.32193306,5.3212137,704.03289,-9.6767816,827.20804,6.3685104e-12,4391.434,295115.92,0.86618156,355.00833,1,0
1.8860256,0.054946706,4.2001269,34.324634,21.431621,31.720423,0.40895108,-1.5268689,-0.027899236,4.2001269,54.727983,21.431621,-85.37484,0.67519028,-0.024838439,-0.090076653,4.2001269,0.2757478,21.431621,0.079733312,0.17528734,5.0347547,0.10728101,4.2001269,46.930532,21.431621,-64.438629,0.10616561,-0.00012720401,-0.16344602,28.175094,0.00077826313,26.860377,0.0017624435,0.0006303437,0.00011512466,0.14792511,0.30716949,0.00077826313,0.097895715,0.0017624435,0.0020028993,-1.0136999,-0.19175438,50.567579,5.2864498,-75.700413,-9.7361514,5.8048917e-05,-110.73175,-0.15445787,4.2001269,716.90582,21.431621,856.08307,0.019623775,21.819687,0.058649505,28.175094,372.03532,26.860377,352.84696,0.22271075,112.5465,0.30251564,50.567579,372.03532,-75.700413,352.84696,1.2312276e-10,93.292958,0.13410202,28.175094,695.68643,26.860377,815.73934,0.00513731,-335.77154,-0.48264783,50.567579,695.68643,-75.700413,815.73934,1.0450251e-26,-132.57733,-0.19057052,0.30716949,695.68643,0.097895715,815.73934,6.4608046e-05,-482.72472,-0.69388261,44.487675,695.68643,-61.478107,815.73934,1.3557922e-63,-376.20838,-0.54077291,0.00077826313,695.68643,0.0017624435,815.73934,2.5005066e-34,209.85004,0.30164458,5.2864498,695.68643,-9.7361514,815.73934,1.3991303e-10,4406.1087,295060.49,0.86629555,352.84696,1,1
1.4859387,0.04334145,4.2000046,34.284473,21.430882,31.951421,0.51494929,-1.9663574,-0.032934737,4.2000046,59.704663,21.430882,-87.365657,0.62080872,-0.028572225,-0.12236887,4.2000046,0.2334926,21.430882,0.061877993,0.065108626,3.7594901,0.079392748,4.2000046,47.353067,21.430882,-64.246086,0.23243846,-0.00012838262,-0.16518422,28.526734,0.00077720875,27.559699,0.0017645533,0.00055015653,0.00012301915,0.15828327,0.31432513,0.00077720875,0.10459838,0.0017645533,0.00093685083,-0.9830038,-0.18683081,54.047591,5.2614651,-77.292652,-9.7683832,9.0221399e-05,-102.57804,-0.14850142,4.2000046,690.75459,21.430882,849.07538,0.024932579,17.449464,0.047449697,28.526734,367.74659,27.559699,346.24258,0.32403084,112.89304,0.30698596,54.047591,367.74659,-77.292652,346.24258,6.3458343e-11,103.80391,0.15349317,28.526734,676.27708,27.559699,804.86435,0.0013390466,-335.54728,-0.49616834,54.047591,676.27708,-77.292652,804.86435,2.3699728e-28,-138.73782,-0.20514937,0.31432513,676.27708,0.10459838,804.86435,1.6519881e-05,-476.01452,-0.70387498,44.948891,676.27708,-61.107903,804.86435,3.6695117e-66,-361.772,-0.53494642,0.00077720875,676.27708,0.0017645533,804.86435,1.6980755e-33,207.21702,0.30640847,5.2614651,676.27708,-9.7683832,804.86435,6.9175151e-11,4411.3832,295015.99,0.86684127,346.24258,1,2
1.4525767,0.04265134,4.1994627,34.057001,21.430281,31.616719,0.52167017,-0.49791817,-0.0086431321,4.1994627,57.608533,21.430281,-86.095413,0.89672977,-0.0088965995,-0.034324235,4.1994627,0.25919294,21.430281,0.067135018,0.60614227,3.573855,0.076287266,4.1994627,46.847333,21.430281,-63.740007,0.25127675,-0.00011633403,-0.14953022,28.705053,0.0007779968,28.180368,0.0017650349,0.0017858713,7.6654934e-05,0.098528599,0.31690954,0.0007779968,0.10523867,0.0017650349,0.040199973,-1.1291119,-0.21485754,54.048237,5.2551653,-76.836433,-9.7751646,6.3020119e-06,-97.853402,-0.14108439,4.1994627,693.58066,21.430281,848.70249,0.033231073,14.181422,0.038141426,28.705053,371.81152,28.180368,326.51388,0.42801997,110.08461,0.29607639,54.048237,371.81152,-76.836433,326.51388,3.1362537e-10,109.58814,0.16247502,28.705053,674.49224,28.180368,802.41441,0.00067972687,-349.36086,-0.51796127,54.048237,674.49224,-76.836433,802.41441,3.6725602e-31,-117.22583,-0.17379863,0.31690954,674.49224,0.10523867,802.41441,0.00027479502,-483.69255,-0.71712099,44.805887,674.49224,-59.855116,802.41441,9.7760399e-70,-363.37855,-0.53874385,0.0007779968,674.49224,0.0017650349,802.41441,4.8931245e-34,211.74462,0.31393188,5.2551653,674.49224,-9.7751646,802.41441,2.2154095e-11,4412.5873,295024.08,0.86795824,326.51388,1,3
0.44450811,0.012542486,4.1983384,35.44019,21.427827,32.289972,0.85059926,1.1064121,0.018896977,4.1983384,58.549688,21.427827,-83.87704,0.77656739,-0.041674014,-0.14176398,4.1983384,0.29396759,21.427827,0.093018058,0.032383749,3.1902286,0.068313799,4.1983384,46.699623,21.427827,-64.256581,0.30439857,-0.00012509449,-0.15968647,29.727163,0.00078337562,28.330853,0.0017592722,0.00084217336,7.7121867e-05,0.098448134,0.32783708,0.00078337562,0.11229552,0.0017592722,0.040363993,-1.257973,-0.23943434,54.55487,5.2539373,-75.707461,-9.8316557,4.481654e-07,-101.7863,-0.14546831,4.1983384,699.71457,21.427827,851.82852,0.028081533,7.4934188,0.021016485,29.727163,356.54957,28.330853,306.52985,0.66239061,114.42392,0.32092009,54.55487,356.54957,-75.707461,306.52985,7.472678e-12,120.25261,0.17732487,29.727163,678.14855,28.330853,801.81448,0.0002048479,-353.81655,-0.52173901,54.55487,678.14855,-75.707461,801.81448,1.140161e-31,-132.17176,-0.1949009,0.32783708,678.14855,0.11229552,801.81448,4.353653e-05,-475.76275,-0.70156127,44.398265,678.14855,-59.736678,801.81448,1.4745336e-65,-369.5347,-0.54491704,0.00078337562,678.14855,0.0017592722,801.81448,6.2568826e-35,215.79597,0.31821342,5.2539373,678.14855,-9.8316557,801.81448,1.1421962e-11,4398.1804,294976.87,0.86911486,306.52985,1,4
0.81296761,0.024328742,4.2070538,33.415933,21.438304,33.264645,0.71542505,-1.3997979,-0.024374675,4.2070538,57.428373,21.438304,-87.809009,0.71491108,-0.034457808,-0.13187939,4.2070538,0.26128274,21.438304,0.070778849,0.047181104,3.6422497,0.078046649,4.2070538,46.667599,21.438304,-64.664419,0.24152361,-0.00012178319,-0.15582267,29.309376,0.00078154988,29.366267,0.0017486453,0.0011269391,4.9442853e-05,0.06326257,0.33408276,0.00078154988,0.11837956,0.0017486453,0.18836037,-1.3404609,-0.25444376,55.583552,5.2682012,-78.60073,-9.8291088,7.6941996e-08,-104.55883,-0.14715447,4.2070538,710.53788,21.438304,864.24743,0.026626591,12.978511,0.037450546,29.309376,346.55064,29.366267,297.71496,0.43644069,101.1868,0.29198274,55.583552,346.55064,-78.60073,297.71496,5.6151951e-10,104.93095,0.15234043,29.309376,688.79251,29.366267,812.31601,0.0014570585,-337.50486,-0.48999496,55.583552,688.79251,-78.60073,812.31601,1.3634699e-27,-147.395,-0.21399042,0.33408276,688.79251,0.11837956,812.31601,6.8810644e-06,-479.89206,-0.69671498,44.947878,688.79251,-59.573287,812.31601,2.6011497e-64,-375.98366,-0.54585911,0.00078154988,688.79251,0.0017486453,812.31601,4.5541903e-35,227.18615,0.32983249,5.2682012,688.79251,-9.8291088,812.31601,1.7928976e-12,4371.6133,294978.97,0.86964698,297.71496,1,5
1.5689962,0.051820371,4.2069338,30.277594,21.43572,31.360972,0.43717967,-1.6422238,-0.032279995,4.2069338,50.874352,21.43572,-85.296866,0.62853609,-0.022818603,-0.082390975,4.2069338,0.27695513,21.43572,0.076843417,0.2162372,4.7398393,0.10403245,4.2069338,45.561159,21.43572,-65.028883,0.11805309,-9.8017466e-05,-0.12536227,27.440984,0.00078187372,28.203899,0.0017460699,0.0089379148,7.970808e-05,0.10194495,0.31436207,0.00078187372,0.10349449,0.0017460699,0.033737551,-1.2891767,-0.24370246,50.567989,5.2899618,-77.207842,-9.8301253,2.7469684e-07,-108.6689,-0.14933958,4.2069338,727.6631,21.43572,865.39262,0.024433727,33.471467,0.097877731,27.440984,341.97224,28.203899,293.02547,0.041542998,95.856128,0.28030382,50.567989,341.97224,-77.207842,293.02547,2.8127178e-09,69.569163,0.098740461,27.440984,704.56591,28.203899,816.9318,0.039770802,-308.43097,-0.43776028,50.567989,704.56591,-77.207842,816.9318,9.5921519e-22,-128.50567,-0.18238985,0.31436207,704.56591,0.10349449,816.9318,0.00013301709,-481.06621,-0.68278383,44.223513,704.56591,-59.935576,816.9318,7.3011614e-61,-381.89254,-0.54202528,0.00078187372,704.56591,0.0017460699,816.9318,1.6484711e-34,231.7469,0.32892154,5.2899618,704.56591,-9.8301253,816.9318,2.078997e-12,4365.1747,294963.37,0.87008128,293.02547,1,6
2.2329949,0.07147975,4.2063324,31.239546,21.435176,32.070887,0.28355032,-2.6580524,-0.050659108,4.2063324,52.469388,21.435176,-80.076387,0.4475352,-0.032384072,-0.10824657,4.2063324,0.29916949,21.435176,0.097003609,0.10380535,4.1260756,0.099314734,4.2063324,41.545453,21.435176,-53.168989,0.13576282,-0.00011153745,-0.14338813,28.337461,0.00077787091,29.64306,0.0017444036,0.0027532087,6.0611575e-05,0.077919838,0.35666982,0.00077787091,0.14286128,0.0017444036,0.10500437,-1.3537466,-0.25660572,50.159314,5.2755903,-71.897343,-9.8286667,5.9132772e-08,-114.44701,-0.15662382,4.2063324,730.71266,21.435176,863.37208,0.018209013,38.274693,0.11263904,28.337461,339.79953,29.64306,291.07289,0.018911113,85.797635,0.25249486,50.159314,339.79953,-71.897343,291.07289,9.7350439e-08,74.150199,0.10489934,28.337461,706.87001,29.64306,816.90519,0.028884293,-304.92225,-0.43136962,50.159314,706.87001,-71.897343,816.90519,4.2707615e-21,-154.89154,-0.21912309,0.35666982,706.87001,0.14286128,816.90519,4.0681341e-06,-472.46918,-0.66839612,40.709613,706.87001,-50.101643,816.90519,1.6909753e-57,-381.78244,-0.54010276,0.00077787091,706.87001,0.0017444036,816.90519,3.1227902e-34,235.30691,0.33288568,5.2755903,706.87001,-9.8286667,816.90519,1.0876396e-12,4361.009,294945.52,0.87040205,291.07289,1,7
2.1996833,0.067478816,4.2077214,32.598131,21.431009,38.65402,0.31143649,-1.9395361,-0.040238229,4.2077214,48.20133,21.431009,-19.8574,0.54641056,0.050806667,0.10000622,4.2077214,0.50803507,21.431009,0.54419545,0.13304654,0.67883463,0.018990662,4.2077214,35.745708,21.431009,30.735379,0.77597417,-0.00012599039,-0.16100382,32.299559,0.00078253044,38.014546,0.0017685978,0.00076141393,-9.4328818e-06,-0.012054332,0.50204775,0.00078253044,0.58562894,0.0017685978,0.80227127,-1.1745341,-0.22225956,46.146418,5.2845157,-18.508955,-9.4163863,2.9321927e-06,-118.76216,-0.15665787,4.2077214,758.09887,21.431009,886.87472,0.018183501,37.528818,0.10936499,32.299559,343.15203,38.014546,299.66246,0.022688933,23.51843,0.068536473,46.146418,343.15203,-18.508955,299.66246,0.15405428,39.857733,0.053648566,32.299559,742.94126,38.014546,846.55768,0.26475501,-188.25908,-0.25339699,46.146418,742.94126,-18.508955,846.55768,8.7326737e-08,-109.12791,-0.14688633,0.50204775,742.94126,0.58562894,846.55768,0.0021559393,-256.73089,-0.34556014,35.350572,742.94126,29.065175,846.55768,1.2860833e-13,-400.3343,-0.53885054,0.00078253044,742.94126,0.0017685978,846.55768,4.7239592e-34,273.96849,0.36876198,5.2845157,742.94126,-9.4163863,846.55768,1.9934825e-15,4421.4944,295377.41,0.86948771,299.66246,1,8
