SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-1.3084184,-0.36224732,0.40432488,3.6119477,17.353878,3.6060572,0.049160668,-11.655651,-0.23705972,0.40432488,49.167574,17.353878,29.346821,0.20719029,-0.018768829,-0.29359974,0.40432488,0.063926588,17.353878,0.10659136,0.11532281,-1.2568261,-0.088814607,0.40997036,14.15112,17.335876,17.648508,0.63470247,-0.00010137964,-0.079826274,3.9613274,0.0012700034,2.8179408,0.0021160333,0.33482814,0.00036333081,0.28608649,0.087602523,0.0012700034,0.12491266,0.0021160333,0.00042372404,-1.140827,-0.16439871,36.973227,6.9393912,17.970798,-6.5345271,0.045863739,-4.8872631,-0.28161372,0.40997036,17.354492,17.335876,36.868364,0.12483863,45.760986,0.15988813,3.9613274,286.20627,2.8179408,536.4953,0.052241633,50.910576,0.17788071,36.973227,286.20627,17.970798,536.4953,0.030545496,6.2718643,0.25334216,3.9613274,24.756496,2.8179408,42.677321,0.0018915429,-2.0222144,-0.081684192,36.973227,24.756496,17.970798,42.677321,0.32366434,-3.7327818,-0.15077989,0.087602523,24.756496,0.12491266,42.677321,0.067364281,7.5538217,0.30582357,15.628781,24.699933,22.750662,42.582358,0.00014889876,-12.217169,-0.49462357,0.0012673592,24.699933,0.0021107311,42.582358,1.440384e-10,-4.2865792,-0.17354619,6.9287755,24.699933,-6.5691053,42.582358,0.034289629,5276.8279,271335.15,1.1876472,536.05236,1,daily
0.12177697,0.032310468,0.37731493,3.7689635,17.374857,-1.5914286,0.87034657,-6.4005612,-0.20914769,0.38840564,30.60307,17.360769,-21.406654,0.3051765,-0.0084166378,-0.11345141,0.38840564,0.07418716,17.360769,0.044379274,0.5810669,6.6185242,0.22977072,0.42579848,28.804907,17.303387,-33.777145,0.21370024,9.3125014e-05,0.070279053,5.836756,0.001325075,-0.84588889,0.0020678008,0.40257339,0.00020367596,0.15253535,0.21027006,0.0013352706,0.080220329,0.0020594274,0.071989404,0.50863394,0.068265363,88.759925,7.4508348,-17.408279,-7.382325,0.42288825,-5.4466375,-0.26527709,0.42579848,20.531881,17.303387,32.278052,0.14921999,10.353793,0.02861759,5.836756,361.79822,-0.84588889,423.36003,0.73348916,-27.064332,-0.075716565,88.759925,357.44269,-17.408279,414.92948,0.37393019,1.9045117,0.075159274,5.836756,25.339676,-0.84588889,37.351438,0.37061715,-3.5091555,-0.13948355,88.759925,25.158202,-17.408279,38.216341,0.10025052,-1.8985671,-0.075465135,0.21027006,25.158202,0.080220329,38.216341,0.37552343,-11.943678,-0.47398083,25.434086,25.198652,-31.047473,37.137808,1.3284764e-09,-9.9068553,-0.39315021,0.0013141528,25.198652,0.0020555981,37.137808,8.4002947e-07,-1.7835919,-0.070781242,7.3302989,25.198652,-7.445585,37.137808,0.3942585,5138.9951,270435.48,1.1995211,425.98306,1,0
0.47404045,0.093408818,0.37180395,5.0749004,17.373232,1.3346607,0.63637444,3.1245061,0.038125103,0.38488467,81.954039,17.368481,-4.7900577,0.85330226,-0.0090293104,-0.13005015,0.38488467,0.069429448,17.368481,0.047940115,0.52659454,8.1676745,0.28095898,0.41587813,29.070701,17.305048,-33.964339,0.12575525,-5.605768e-05,-0.04284924,4.1247977,0.0013082538,-0.35588542,0.002057224,0.61009083,5.639408e-05,0.04260042,0.23189052,0.0013237916,0.092643487,0.0020434191,0.61981331,1.5409397,0.20406535,48.355468,7.551207,-19.795931,-7.5348877,0.016361989,-5.5171509,-0.27370061,0.41587813,20.157612,17.305048,31.624074,0.13625183,37.893081,0.10277591,4.1247977,368.69613,-0.35588542,424.85595,0.22026979,-11.423032,-0.031191697,48.355468,366.22029,-19.795931,418.83397,0.71647421,1.9186604,0.074937598,4.1247977,25.603441,-0.35588542,36.534054,0.37203402,-5.596713,-0.22095308,48.355468,25.329871,-19.795931,37.846745,0.0092069857,-0.72859138,-0.028764117,0.23189052,25.329871,0.092643487,37.846745,0.7377023,-12.349897,-0.48504575,25.899821,25.461304,-30.699908,36.327128,4.7858621e-10,-9.669109,-0.37975702,0.0012973518,25.461304,0.00204548,36.327128,2.0958874e-06,-1.3754504,-0.054021207,7.3876188,25.461304,-7.5831259,36.327128,0.51578544,5113.6999,270298.18,1.1997346,427.09847,1,1
0.056878864,0.023006579,0.37013959,2.4722869,17.374411,-0.22041071,0.90749078,-4.3596781,-0.06332812,0.38266812,68.84269,17.369135,-32.935404,0.75858554,-0.032860424,-0.18812511,0.38266812,0.17467325,17.369135,0.08649602,0.35739978,8.798938,0.31119517,0.4147503,28.274661,17.306484,-33.869177,0.088368888,1.6633666e-05,0.013085615,6.1817003,0.0012711413,-0.68172569,0.0020410425,0.87629671,8.867944e-05,0.069136905,0.18772616,0.0012826643,0.078167636,0.0020385277,0.42210579,0.96423615,0.12857017,50.534919,7.4996878,-21.812325,-7.5658358,0.13431306,-4.4056541,-0.21731262,0.4147503,20.273347,17.306484,30.497385,0.24026594,39.066605,0.10515659,6.1817003,371.50887,-0.68172569,417.96587,0.20971042,23.828846,0.064157021,50.534919,371.41448,-21.812325,412.44943,0.45637696,-0.51278466,-0.019784233,6.1817003,25.918855,-0.68172569,35.736625,0.81392569,-2.0218478,-0.078400903,50.534919,25.788579,-21.812325,37.093264,0.36247792,-2.7941918,-0.10834998,0.18772616,25.788579,0.078167636,37.093264,0.20756198,-12.143012,-0.47109713,25.820913,25.776027,-30.474429,35.53177,1.7232138e-09,-9.4546654,-0.36680073,0.0012605492,25.776027,0.0020296605,35.53177,4.887543e-06,-0.65349703,-0.0253529,7.4471058,25.776027,-7.7316122,35.53177,0.76050899,5074.1512,270139.25,1.2008474,419.78019,1,2
-0.15800883,-0.10479781,0.36326425,1.5077494,17.371304,-0.53898214,0.59561251,-2.9008952,-0.070035608,0.38931709,41.42029,17.361313,-27.974937,0.74503994,-0.0016993474,-0.022716739,0.38931709,0.074805955,17.361313,0.037937191,0.91608932,5.5821187,0.1945909,0.40732195,28.686432,17.303984,-36.377129,0.29418624,-4.6714635e-05,-0.037396268,2.7448601,0.001249179,-0.54760069,0.0020312597,0.65631987,-1.9693622e-05,-0.015643287,0.25313371,0.0012589184,0.11186357,0.0020109877,0.85709022,-0.27942952,-0.03698545,84.508316,7.55512,-15.492489,-7.8444963,0.67019397,-3.408905,-0.16964095,0.40732195,20.094824,17.303984,30.050849,0.36158786,11.467364,0.033661403,2.7448601,340.66802,-0.54760069,392.47433,0.68876626,2.2325842,0.0065406412,84.508316,341.34026,-15.492489,389.3353,0.93998437,4.4351187,0.17373694,2.7448601,25.527782,-0.54760069,34.554955,0.03729336,-2.4929191,-0.098843256,84.508316,25.220933,-15.492489,36.120475,0.25404851,0.63158831,0.025042227,0.25313371,25.220933,0.11186357,36.120475,0.77311409,-11.788603,-0.4644076,25.881931,25.384174,-30.030286,34.373371,3.1220408e-09,-9.746802,-0.3839716,0.0012386173,25.384174,0.0020205674,34.373371,1.5787102e-06,-1.2322238,-0.048542992,7.4452262,25.384174,-7.9099592,34.373371,0.55930611,5051.4185,269970.13,1.2031445,394.25173,1,3
-0.015463145,-0.0051272736,0.35665124,3.015861,17.372643,-1.2018393,0.97934179,0.96939407,0.018216089,0.37576825,53.216368,17.37048,-18.65318,0.93112909,-0.0083496456,-0.11278804,0.37576825,0.074029528,17.37048,0.044048935,0.59141511,7.9437779,0.27980861,0.40015058,28.39004,17.306081,-37.45571,0.12737776,-3.8660121e-05,-0.030782205,3.1851512,0.0012559243,-0.57430208,0.0020253851,0.71417561,8.4219078e-05,0.066547824,0.20014379,0.0012655422,0.090562723,0.0020093001,0.43803878,1.83447,0.23923855,51.394667,7.6679534,-21.596243,-7.9930435,0.0047131558,-3.0425763,-0.15128148,0.40015058,20.11202,17.306081,30.140999,0.41657515,11.58179,0.035835387,3.1851512,323.19422,-0.57430208,374.11236,0.66980634,0.39093792,0.001218489,51.394667,320.83829,-21.596243,369.81351,0.98868334,4.7934035,0.18976485,3.1851512,25.259702,-0.57430208,34.235052,0.022722282,-2.4468955,-0.097488496,51.394667,25.099326,-21.596243,35.433809,0.25531869,-3.0151029,-0.12012685,0.20014379,25.099326,0.090562723,35.433809,0.16049087,-12.573902,-0.50107651,25.585714,25.093776,-30.30681,34.048113,1.020609e-10,-9.8476357,-0.3924334,0.0012450614,25.093776,0.0020155087,34.048113,8.8306433e-07,-1.5210042,-0.060612809,7.5246898,25.093776,-8.0153061,34.048113,0.4658252,5038.7716,269869.93,1.2048131,375.86485,1,4
-0.21553462,-0.079882887,0.35202792,2.6981326,17.375696,0.4275,0.68615721,1.083879,0.030598488,0.37721092,35.422634,17.364083,-25.682104,0.88713382,0.0020367019,0.0082345025,0.37721092,0.24733758,17.364083,0.087620545,0.96953809,7.912583,0.27610796,0.39694278,28.657569,17.308903,-36.583403,0.13270188,-0.00012385465,-0.097616327,3.6552029,0.0012687904,-0.55272727,0.0020194121,0.24611041,0.00018127118,0.14325953,0.23040292,0.0012653341,0.10006492,0.0020092435,0.096142026,1.660484,0.21835633,41.844746,7.6044695,-20.150397,-8.0037316,0.010654187,-3.2712193,-0.16826211,0.39694278,19.441212,17.308903,29.50472,0.36556085,27.319202,0.080299462,3.6552029,340.2165,-0.55272727,388.9243,0.34041033,20.620672,0.059535817,41.844746,346.35742,-20.150397,392.11863,0.4911358,1.5858627,0.064418622,3.6552029,24.618078,-0.55272727,34.002601,0.44464789,-4.6851442,-0.19203677,41.844746,24.397121,-20.150397,34.979679,0.025108343,-0.81870453,-0.033557425,0.23040292,24.397121,0.10006492,34.979679,0.69813406,-12.253084,-0.50141491,26.195119,24.437015,-30.122507,33.821893,1.1445571e-10,-9.4615704,-0.38718191,0.001257476,24.437015,0.0020103832,33.821893,1.3806166e-06,-1.665008,-0.068134672,7.6628905,24.437015,-8.143613,33.821893,0.41384383,5025.9581,269738.75,1.20385,390.99664,1,5
-0.26325815,-0.19005261,0.35326686,1.3851856,17.351224,-0.098137931,0.32340555,1.5930921,0.0084877923,0.36930988,187.69216,17.33825,13.223558,0.96717512,0.01044145,0.13232845,0.36930988,0.078905561,17.33825,0.044766069,0.51931345,4.9174076,0.18211837,0.38879211,27.001161,17.303919,-31.965323,0.32681204,-0.00022074775,-0.17453067,2.7889931,0.0012648078,-0.5576875,0.0020154162,0.036420569,0.00018098487,0.14282207,0.17671219,0.0012672052,0.081145464,0.0020148274,0.094702588,0.43735856,0.056859413,110.05258,7.6919288,-11.088623,-8.0742246,0.50771013,-2.3912591,-0.12605102,0.38879211,18.970565,17.303919,27.906264,0.49924102,40.999209,0.12918072,2.7889931,317.37869,-0.5576875,367.31661,0.12279888,-19.049787,-0.059758632,110.05258,318.77883,-11.088623,363.62268,0.48627719,-0.15595537,-0.0063895617,2.7889931,24.407836,-0.5576875,33.524199,0.93941332,-2.3986274,-0.098450811,110.05258,24.363714,-11.088623,34.517966,0.25063488,-2.7129488,-0.11135202,0.17671219,24.363714,0.081145464,34.517966,0.19351894,-12.091579,-0.49804144,25.214117,24.278259,-27.617866,33.379778,1.5920032e-10,-9.3741801,-0.38611419,0.0012577441,24.278259,0.0020079592,33.379778,1.4843467e-06,-1.8723733,-0.077121399,7.7288119,24.278259,-8.2356541,33.379778,0.35484605,5019.8981,269622.45,1.2062527,368.91085,1,6
-0.12420805,-0.019718866,0.35488042,6.2989451,17.351155,1.3542586,0.91913133,-1.9221502,-0.040661369,0.37117791,47.272148,17.336404,-10.773596,0.84365739,-0.0018648174,-0.0077083411,0.37117791,0.24192201,17.336404,0.095046663,0.97018812,6.1758012,0.25886455,0.38711432,23.857269,17.305565,-21.651871,0.15967375,-0.00013259346,-0.10307563,4.0920622,0.0012863706,0.48181944,0.0020267031,0.21892002,6.9041488e-05,0.053402599,0.21775905,0.0012928489,0.098622102,0.0020170654,0.53540483,1.8523481,0.2376736,41.213724,7.7936635,-18.083927,-8.1559307,0.0051643646,-1.9504578,-0.10685977,0.38711432,18.252498,17.305565,27.276382,0.56721184,-11.097057,-0.035791405,4.0920622,310.04811,0.48181944,355.70453,0.67018792,-17.080932,-0.054248755,41.213724,314.86311,-18.083927,359.23874,0.52894891,2.0624094,0.083262043,4.0920622,24.770104,0.48181944,33.301842,0.32111921,-4.8391259,-0.19473767,41.213724,24.84946,-18.083927,34.258161,0.022587658,-3.099259,-0.12472138,0.21775905,24.84946,0.098622102,34.258161,0.14646632,-10.754693,-0.43652178,23.047178,24.637242,-16.394829,33.145587,3.6290643e-08,-10.150261,-0.4119885,0.0012793385,24.637242,0.0020187918,33.145587,2.3835966e-07,-2.4532488,-0.099574812,7.7711824,24.637242,-8.2313836,33.145587,0.23177479,5046.9794,269609.48,1.2075311,357.10361,1,7
-0.1825356,-0.045453774,0.35698615,4.0158514,17.348397,2.2556207,0.8148842,-3.0727925,-0.021541285,0.37319017,142.64667,17.333308,41.716712,0.91681286,0.014387802,0.061857384,0.37319017,0.23259636,17.333308,0.11763522,0.76403438,5.5365659,0.31837331,0.38876344,17.39017,17.302871,29.586548,0.080893023,-1.5332863e-05,-0.011699356,4.681937,0.0013105733,2.8769653,0.0020532649,0.88931309,-1.6536554e-05,-0.012506961,0.3087399,0.001322188,0.19013263,0.0020408026,0.88509433,-0.31186338,-0.040440092,74.069028,7.7117378,21.137559,-7.7161397,0.64018033,-1.0447679,-0.057345121,0.38876344,18.21895,17.302871,29.409965,0.75928823,63.064079,0.19871159,4.681937,317.36487,2.8769653,372.92303,0.016957973,38.433309,0.11911505,74.069028,322.65703,21.137559,377.58078,0.16721467,3.2448811,0.12457685,4.681937,26.047224,2.8769653,36.175436,0.13683133,-2.4468721,-0.093789649,74.069028,26.088936,21.137559,37.453731,0.27744976,0.79107494,0.030322239,0.3087399,26.088936,0.19013263,37.453731,0.72601476,6.65833,0.25703064,23.303871,25.90481,37.626264,36.011422,0.0017373393,-12.010879,-0.46365437,0.0013034308,25.90481,0.0020451478,36.011422,3.7769713e-09,-3.5541073,-0.13719874,7.6611583,25.90481,-7.7914178,36.011422,0.098667592,5112.8695,270040.01,1.2053826,373.91344,1,8
