SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.2972737,0.10015676,4.3112051,12.952433,35.111173,16.989928,0.27846391,-1.9964996,-0.12345731,4.3112051,16.171578,35.111173,15.024113,0.18100459,-0.013009348,-0.058690843,4.3112051,0.2216589,35.111173,0.34845393,0.52606095,-1.2746036,-0.086070693,4.3112051,14.808799,35.111173,20.185049,0.35198887,-0.0010369646,-0.36666988,12.952433,0.0028280604,16.989928,0.0049767268,4.1053646e-05,-0.00045615881,-0.16129741,0.2216589,0.0028280604,0.34845393,0.0049767268,0.079693265,-4.1232684,-0.63557031,16.171578,6.4875094,15.024113,6.2050975,8.1767182e-15,7.1987957,0.020505291,4.3112051,351.07015,35.111173,571.15228,0.82482108,28.166573,0.12423571,12.952433,226.71882,16.989928,501.51568,0.17824834,-8.3839125,-0.036979341,16.171578,226.71882,15.024113,501.51568,0.68969013,118.49248,0.33751796,12.952433,351.07015,16.989928,571.15228,0.00017417779,183.35145,0.52226442,16.171578,351.07015,15.024113,571.15228,1.1166767e-09,-26.413696,-0.075237658,0.2216589,351.07015,0.34845393,571.15228,0.41608262,84.245823,0.23996863,14.808799,351.07015,20.185049,571.15228,0.0085726217,-208.0398,-0.59258756,0.0028280604,351.07015,0.0049767268,571.15228,1.2523129e-12,-137.64021,-0.392059,6.4875094,351.07015,6.2050975,571.15228,1.0356936e-05,12441.817,279742.12,1.2324886,501.51568,1,daily
0.67779524,0.041323476,4.3398778,16.402183,35.168103,7.4052095,0.65962154,-2.4446911,-0.14798067,4.3238819,16.520341,35.153846,-14.31968,0.11132866,-0.076074019,-0.18219898,4.3398778,0.41753263,35.168103,0.27331049,0.050287641,-2.0513241,-0.06082209,4.2884071,33.726629,35.142857,-45.542017,0.51111915,-0.00061805407,-0.21040212,16.402183,0.0029374897,7.4052095,0.0048903131,0.023390297,-0.00080405305,-0.27372115,0.41753263,0.0029374897,0.27331049,0.0048903131,0.0029477048,-3.7590542,-0.49300317,16.520341,7.6248074,-14.31968,4.3547051,1.6338154e-08,-5.4780893,-0.014346005,4.2884071,381.85468,35.142857,360.39301,0.87693757,49.814712,0.1676753,16.402183,297.09035,7.4052095,398.33969,0.071999579,-86.530215,-0.29066605,16.520341,297.69633,-14.31968,395.24391,0.001476762,111.87461,0.29068945,16.402183,384.85956,7.4052095,361.13921,0.0015478192,-141.30108,-0.36735087,16.520341,384.64883,-14.31968,358.05255,4.6165034e-05,32.383761,0.08414436,0.41753263,384.85956,0.27331049,361.13921,0.36916318,-73.22667,-0.1917658,33.726629,381.85468,-45.542017,360.39301,0.036683541,-115.32967,-0.30202502,0.0029352599,381.85468,0.0048724383,360.39301,0.00084310476,20.121908,0.052695198,7.6682807,381.85468,4.3701723,360.39301,0.56924428,12181.096,277926.44,1.2461074,393.67098,1,0
0.040603481,0.0026991909,4.3640888,15.042834,35.134783,5.8948366,0.97716013,-1.6655537,-0.10255489,4.3463503,16.240607,35.125,-14.53106,0.27330668,0.0065025553,0.014276672,4.3640888,0.45546716,35.134783,0.31539326,0.87963223,-4.1928786,-0.1230698,4.2927641,34.069111,35.121849,-44.697479,0.18238836,-0.00058888723,-0.2001617,15.042834,0.0029420575,5.8948366,0.0048195353,0.031968742,-0.00049535458,-0.16837012,0.45546716,0.0029420575,0.31539326,0.0048195353,0.072064911,-3.1713386,-0.41198102,16.240607,7.6977785,-14.53106,4.0573276,4.3300045e-06,-10.788085,-0.028327513,4.2927641,380.83416,35.121849,350.50983,0.75974452,69.12734,0.23423778,15.042834,295.1161,5.8948366,404.56614,0.011747609,-70.099735,-0.23701493,16.240607,295.76084,-14.53106,401.43359,0.010416285,136.51323,0.35529134,15.042834,384.22899,5.8948366,354.39544,9.7645461e-05,-126.34657,-0.32905555,16.240607,383.9673,-14.53106,351.34031,0.0003101939,-10.8171,-0.028152743,0.45546716,384.22899,0.31539326,354.39544,0.76519518,-114.78288,-0.3013986,34.069111,380.83416,-44.697479,350.50983,0.00086541855,-114.81844,-0.30149198,0.0029583337,380.83416,0.0048408281,350.50983,0.0008620585,18.070715,0.047450353,7.7538037,380.83416,4.1466387,350.50983,0.60833794,12102.07,277696.07,1.246114,400.42186,1,1
-0.34505502,-0.035247552,4.3692899,9.7894747,35.125004,4.9720746,0.70718955,0.12864336,0.0085534925,4.3516591,15.039863,35.115389,-13.22739,0.92707268,-0.043104222,-0.10375021,4.3692899,0.41546153,35.125004,0.25338635,0.26772508,-1.2101394,-0.034711249,4.3158452,34.863034,35.105046,-43.155462,0.70783066,-0.00073708837,-0.24492002,9.7894747,0.0030095063,4.9720746,0.0048790594,0.0080542423,-0.00068309597,-0.22697941,0.41546153,0.0030095063,0.25338635,0.0048790594,0.014276171,-2.5136204,-0.32511558,15.039863,7.7314669,-13.22739,4.1030043,0.0003481212,-24.765946,-0.068355024,4.3158452,362.31347,35.105046,346.3553,0.46011402,55.129265,0.18940365,9.7894747,291.06759,4.9720746,410.4833,0.041718362,-41.230839,-0.14136869,15.039863,291.65467,-13.22739,407.45572,0.12841933,162.88545,0.44572119,9.7894747,365.44246,4.9720746,348.02923,5.3310652e-07,-103.16266,-0.28241793,15.039863,365.28368,-13.22739,345.05463,0.002035002,89.84652,0.24585682,0.41546153,365.44246,0.25338635,348.02923,0.0078083875,-103.00441,-0.28429638,34.863034,362.31347,-43.155462,346.3553,0.0017273808,-119.64697,-0.33023052,0.0030048121,362.31347,0.0048572969,346.3553,0.00024463189,-3.4086617,-0.0094080457,7.7642816,362.31347,4.1025336,346.3553,0.91911497,12143.242,277646.95,1.2457375,406.5933,1,2
0.14566666,0.013836175,4.4087711,10.527957,35.159491,5.1029543,0.88280575,-1.8337798,-0.12355497,4.3735105,14.841813,35.139839,-12.042757,0.18253946,-0.018042606,-0.040252657,4.4087711,0.44823392,35.159491,0.29565952,0.66791355,0.5176346,0.014659682,4.3561926,35.310085,35.130261,-43.470588,0.87426867,-0.00061193094,-0.20105085,10.527957,0.0030436626,5.1029543,0.0049114918,0.030458063,-0.00053847882,-0.17691804,0.44823392,0.0030436626,0.29565952,0.0049114918,0.057453437,-3.2631775,-0.41887423,14.841813,7.7903516,-12.042757,3.9741568,2.350946e-06,-40.072003,-0.11651841,4.3561926,343.91135,35.130261,327.40871,0.20696585,54.251973,0.18598698,10.527957,291.69769,5.1029543,411.97861,0.045616536,-29.597623,-0.10166049,14.841813,291.14186,-12.042757,407.96435,0.27334116,139.58473,0.40232111,10.527957,346.94856,5.1029543,329.48893,7.5739588e-06,-72.01042,-0.20854051,14.841813,345.30663,-12.042757,326.76814,0.023439671,45.338578,0.1306781,0.44823392,346.94856,0.29565952,329.48893,0.16205076,-91.980634,-0.26745449,35.310085,343.91135,-43.470588,327.40871,0.003276268,-119.45663,-0.34734717,0.0030275167,343.91135,0.0048577746,327.40871,0.00010868524,-22.953198,-0.066741612,7.8088455,343.91135,3.892021,327.40871,0.47079585,12144.437,277438.09,1.2460341,407.93905,1,3
-0.82953613,-0.081104579,4.392029,10.227981,35.2174,3.6609592,0.38886969,-2.9856799,-0.20155036,4.3481953,14.813568,35.1695,-11.34985,0.028625734,-0.076595952,-0.17582904,4.392029,0.43562744,35.2174,0.28596607,0.060158603,0.2069483,0.0058562726,4.3310586,35.337888,35.159672,-44.02521,0.9495988,-0.0007366563,-0.24320777,10.227981,0.0030289177,3.6609592,0.0048607308,0.0088169984,-0.00069018371,-0.2278648,0.43562744,0.0030289177,0.28596607,0.0048607308,0.01431762,-3.5695567,-0.4585697,14.813568,7.7841093,-11.34985,3.6881398,1.7690325e-07,-39.301438,-0.12180747,4.3310586,322.65211,35.159672,305.83947,0.1869496,22.461031,0.082859015,10.227981,271.07528,3.6609592,394.95526,0.37865774,-37.302822,-0.1380074,14.813568,270.29581,-11.34985,389.43429,0.13613843,93.64282,0.28706793,10.227981,326.20439,3.6609592,310.78134,0.0018672345,-33.197452,-0.10246743,14.813568,323.98053,-11.34985,305.33305,0.2695318,58.711396,0.17998347,0.43562744,326.20439,0.28596607,310.78134,0.054257928,-87.021778,-0.26970776,35.337888,322.65211,-44.02521,305.83947,0.0030142316,-114.84733,-0.35594786,0.0030088692,322.65211,0.0048214116,305.83947,7.1010512e-05,-32.505138,-0.10074361,7.8038776,322.65211,3.6050462,305.83947,0.27564306,12053.529,277151.73,1.2482355,389.49012,1,4
-0.051320992,-0.0057819393,4.3833975,8.8760862,35.219836,3.1127048,0.95088177,-2.6568427,-0.18841356,4.3746021,14.101122,35.192316,-11.032485,0.041913137,-0.043531352,-0.10169093,4.4010854,0.42807506,35.230443,0.28430615,0.2795162,1.5041962,0.04357262,4.3401009,34.521593,35.172277,-42.466387,0.63797814,-0.00063472287,-0.21088038,8.8760862,0.0030098715,3.1127048,0.0048276898,0.023070154,-0.0006981453,-0.23189093,0.42807506,0.0030106623,0.28430615,0.0048529568,0.012642755,-3.462825,-0.44534534,14.101122,7.775595,-11.032485,3.532906,4.8721139e-07,-29.290967,-0.094798616,4.3401009,308.98096,35.172277,282.48286,0.30511463,46.308806,0.17646178,8.8760862,262.42967,3.1127048,387.89658,0.058110011,-19.254256,-0.072978048,14.101122,263.83627,-11.032485,381.95729,0.43424605,84.992876,0.2731029,8.8760862,311.21192,3.1127048,286.42895,0.0030154703,-13.46066,-0.043290165,14.101122,310.94036,-11.032485,284.05548,0.64304571,49.389178,0.15836837,0.42807506,311.86263,0.28430615,288.37715,0.090942975,-77.483829,-0.25077218,34.521593,308.98096,-42.466387,282.48286,0.0059445148,-110.96259,-0.35912437,0.0030005547,308.98096,0.0048026198,282.48286,6.0492425e-05,-38.082199,-0.12325096,7.8405639,308.98096,3.347479,282.48286,0.18174049,12006.55,276879.34,1.2495868,382.73228,1,5
0.50958339,0.057741475,4.3176171,8.8252575,35.239135,2.8384154,0.53990567,-0.86128758,-0.049126155,4.2936119,17.532159,35.196585,-9.5801696,0.59889298,-0.012697754,-0.027960191,4.3350988,0.45413687,35.250004,0.34099197,0.76776406,0.038241556,0.0011111383,4.2598713,34.416558,35.176475,-41.105042,0.99043108,-0.00097850595,-0.32579498,8.8252575,0.0030034409,2.8384154,0.0048043533,0.00038079797,-0.00056169388,-0.18700075,0.45413687,0.0030036986,0.34099197,0.0048303288,0.04634602,-1.7258795,-0.22148396,17.532159,7.7923454,-9.5801696,3.3,0.016400493,-18.754618,-0.062097142,4.2598713,302.02063,35.176475,267.4247,0.50228579,10.332273,0.039079721,8.8252575,264.38963,2.8384154,381.34434,0.67838819,3.0679346,0.011588203,17.532159,264.74635,-9.5801696,376.11846,0.90131215,51.846048,0.16964867,8.8252575,305.60834,2.8384154,271.50942,0.069898574,-12.871632,-0.042364298,17.532159,303.83206,-9.5801696,268.81763,0.65017169,24.786916,0.08095311,0.45413687,306.18855,0.34099197,273.52547,0.39187414,-91.615626,-0.30334227,34.416558,302.02063,-41.105042,267.4247,0.00079789066,-109.26551,-0.36178162,0.0029902276,302.02063,0.0047660998,267.4247,5.2831597e-05,-39.109352,-0.12949232,7.8619833,302.02063,3.1113445,267.4247,0.16043765,11915.25,276614.42,1.2511007,376.41404,1,6
1.5296212,0.1302219,4.2962563,11.746267,35.162289,8.8403565,0.16729299,-2.6428157,-0.24655499,4.2529686,10.71897,35.115393,-7.1476999,0.0073673155,-0.024956091,-0.049995241,4.3139833,0.49916933,35.172575,0.51851502,0.5989739,3.4289904,0.11581042,4.2650931,29.608651,35.163874,-21.088235,0.20975751,-0.0010923868,-0.36434351,11.746267,0.0029982333,8.8403565,0.0048100636,6.7444079e-05,-0.0010743928,-0.35833402,0.49916933,0.0029982997,0.51851502,0.0048364144,9.738261e-05,-3.091303,-0.40210888,10.71897,7.6877264,-7.1476999,3.3948718,6.9907807e-06,0.87909478,0.0028461789,4.2650931,308.86842,35.163874,279.94248,0.97549246,11.012969,0.041022751,11.746267,268.46003,8.8403565,382.67423,0.6647543,-13.795838,-0.051524037,10.71897,267.75538,-7.1476999,379.69651,0.5811535,77.092584,0.24566338,11.746267,313.8139,8.8403565,284.19861,0.0084245704,0.61328813,0.0019731843,10.71897,310.81138,-7.1476999,280.60383,0.98315463,40.295805,0.12791017,0.49916933,315.03208,0.51851502,283.2064,0.17697151,-132.42115,-0.42872997,29.608651,308.86842,-21.088235,279.94248,1.1471173e-06,-117.66062,-0.38094092,0.0029709659,308.86842,0.0047618099,279.94248,1.91988e-05,-44.654007,-0.14457291,7.7036806,308.86842,3.2508403,279.94248,0.11671534,11904.525,276721.9,1.2512243,377.12703,1,7
-1.1478229,-0.045498885,4.4789996,25.227494,35.210005,29.408972,0.65306998,-1.7408139,-0.077949261,4.3314335,22.332654,34.990914,18.667268,0.41826659,-0.00093038371,-0.0027777081,4.5001172,0.33494654,35.222227,0.63635312,0.97823091,6.0171373,0.21539677,4.3413256,27.935132,35.159668,47.634454,0.018643411,-0.0012906266,-0.43322696,25.227494,0.0029791003,29.408972,0.0050768305,6.7275686e-06,0.00017040555,0.057213454,0.33494654,0.0029784175,0.63635312,0.0051074366,0.57377681,-4.2829418,-0.60345235,22.332654,7.0973984,18.667268,4.9218227,3.0054747e-12,11.39036,0.033225204,4.3413256,342.82287,35.159668,389.70172,0.7198064,11.220317,0.042720443,25.227494,262.64515,29.408972,403.1899,0.67300592,42.414008,0.15997911,22.332654,265.12215,18.667268,408.03047,0.09502253,106.70713,0.31237944,25.227494,341.5946,29.408972,380.40738,0.0015556536,119.92044,0.35316694,22.332654,339.55738,18.667268,379.92536,0.00015405636,-1.9819143,-0.0057734215,0.33494654,343.28246,0.63635312,380.99349,0.95477165,-7.8726781,-0.022964273,27.935132,342.82287,47.634454,389.70172,0.80421246,-176.09972,-0.51367554,0.002989245,342.82287,0.004956764,389.70172,2.3103251e-09,-103.22455,-0.30110169,7.1156301,342.82287,4.7827773,389.70172,0.00087618264,12391.91,278219.34,1.2459004,403.85361,1,8
