SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
3.2747206,0.28547628,2.9781645,11.471078,33.494953,13.289089,4.207684e-08,0.3032021,0.016594445,2.9807128,18.271302,33.513795,1.9605665,0.75435276,0.027514269,0.13791265,2.9781645,0.19950504,33.494953,0.41528322,0.0091756244,2.3408703,0.10056261,3.0063343,23.277741,33.488752,2.3767972,0.049527995,0.00040390888,0.30915722,11.471078,0.0013064837,13.289089,0.0024263924,2.5337213e-09,0.0003147889,0.24094361,0.19950504,0.0013064837,0.41528322,0.0024263924,4.2647905e-06,-2.2940561,-0.34218937,18.271302,6.7040543,1.9605665,-5.1249383,2.8559169e-11,-41.087023,-0.21047378,3.0063343,195.21208,33.488752,385.26344,3.3725269e-05,125.76977,0.5722579,11.471078,219.77812,13.289089,491.34821,2.3495944e-32,63.469068,0.28790305,18.271302,220.45292,1.9605665,489.56597,2.9195248e-08,32.958677,0.17424132,11.471078,189.15535,13.289089,385.12793,0.00096236257,35.485891,0.18597796,18.271302,190.80696,1.9605665,382.97541,0.00040397718,-45.882144,-0.24256329,0.19950504,189.15535,0.41528322,385.12793,3.658337e-06,8.0558959,0.041267405,23.277741,195.21208,2.3767972,385.26344,0.42124486,-107.44768,-0.55041513,0.0013386588,195.21208,0.0024226316,385.26344,1.2241487e-31,-80.200061,-0.41083555,6.7757159,195.21208,-5.2670888,385.26344,5.4716824e-17,6056.579,270242.88,1.2259749,,1,daily
2.6112115,0.22971457,2.918963,11.3672,33.506714,6.419788,9.6364533e-05,-0.004911351,-0.00025464004,2.9739807,19.287426,33.701502,-6.8914414,0.99630639,0.035732133,0.085542549,2.918963,0.41771181,33.506714,0.332104,0.15119839,2.7721715,0.10621468,3.0108685,26.099703,33.660822,-23.367945,0.042559412,0.00018895782,0.16827571,11.3672,0.0011229061,6.419788,0.0021585142,0.0045315369,0.00018840482,0.16778324,0.41771181,0.0011229061,0.332104,0.0021585142,0.0046526413,-1.9291696,-0.26271519,19.287426,7.3431976,-6.8914414,-6.046997,1.163587e-06,-30.761217,-0.13502566,3.0108685,227.81757,33.660822,324.3096,0.0098044498,184.88806,0.61942247,11.3672,298.48459,6.419788,433.47438,2.2394738e-31,19.771363,0.067732411,19.287426,291.90401,-6.8914414,431.11731,0.21766197,61.723841,0.28548309,11.3672,216.2084,6.419788,348.5828,1.0431665e-06,-25.764247,-0.11641872,19.287426,221.30672,-6.8914414,320.78226,0.033696901,-13.195351,-0.061030705,0.41771181,216.2084,0.332104,348.5828,0.30625808,-21.175947,-0.092951337,26.099703,227.81757,-23.367945,324.3096,0.07613214,-107.75422,-0.47298471,0.0014235667,227.81757,0.0023776723,324.3096,9.5873676e-22,-75.589829,-0.33179982,7.4059201,227.81757,-6.0880822,324.3096,7.9047505e-11,5944.1808,269458.96,1.2325517,,1,0
2.8671799,0.22945169,2.8529057,12.495789,33.541791,6.8886194,0.00015100633,0.0091236928,0.0004731379,2.9764691,19.283369,33.689157,-6.5704819,0.99314748,0.05640896,0.1388733,2.8572181,0.40619012,33.537079,0.33422587,0.023233684,2.9068705,0.11279748,3.0215089,25.770705,33.667033,-22.154121,0.031436166,0.0001906365,0.17311373,12.495789,0.0011012211,6.8886194,0.0021337611,0.0044798122,0.00011950554,0.10897444,0.40619012,0.0010966383,0.33422587,0.0021411361,0.075469567,-1.8137141,-0.2448581,19.283369,7.407205,-6.5704819,-6.2335843,6.3738338e-06,-30.600197,-0.13216293,3.0215089,231.5339,33.667033,317.51271,0.011605574,154.39642,0.53144542,12.495789,290.52169,6.8886194,433.56827,6.1548182e-21,20.771956,0.072745903,19.283369,285.54125,-6.5704819,420.91288,0.18608602,45.088977,0.19838217,12.495789,227.28341,6.8886194,351.20452,0.0010946929,-17.331132,-0.083679944,19.283369,207.11213,-6.5704819,308.80167,0.12809921,-8.3176959,-0.041036663,0.40619012,202.68938,0.33422587,344.87741,0.50433796,-7.3251544,-0.031637503,25.770705,231.5339,-22.154121,317.51271,0.54738741,-108.13596,-0.4670416,0.0014224785,231.5339,0.0023528517,317.51271,4.0394501e-21,-77.659842,-0.33541457,7.5094874,231.5339,-6.3355769,317.51271,5.0811917e-11,5882.1292,269224.57,1.2338698,,1,1
2.9535378,0.24731259,2.8701985,11.942529,33.477372,6.1554745,3.4803173e-05,0.41995268,0.023152233,3.0103278,18.138755,33.705606,-6.1636364,0.67518581,0.056459929,0.13672265,2.8743471,0.41295225,33.472527,0.33785277,0.023865771,2.2236842,0.085719679,3.0465544,25.94135,33.709306,-21.598472,0.10442915,0.00021905061,0.19208203,11.942529,0.0011404014,6.1554745,0.0021191408,0.0013993323,0.00011093061,0.097648415,0.41295225,0.0011360206,0.33785277,0.0021264654,0.10742776,-1.6304136,-0.22206514,18.138755,7.3420509,-6.1636364,-6.3984848,4.7087407e-05,-27.307791,-0.11896735,3.0465544,229.5402,33.709306,305.74752,0.023981896,143.79635,0.5059039,11.942529,284.2365,6.1554745,421.8712,3.2694675e-19,14.924098,0.053627462,18.138755,278.29208,-6.1636364,414.22963,0.33145184,34.914393,0.15382451,11.942529,226.9755,6.1554745,336.45281,0.010778427,-16.521879,-0.084121779,18.138755,196.4043,-6.1636364,298.24039,0.1272457,-10.743827,-0.055907873,0.41295225,192.1702,0.33785277,329.1223,0.35745202,-6.7937676,-0.029597288,25.94135,229.5402,-21.598472,305.74752,0.57565769,-106.95197,-0.46594005,0.0014157679,229.5402,0.0023470162,305.74752,8.4242637e-21,-79.787452,-0.34759685,7.4685757,229.5402,-6.4440278,305.74752,1.1610586e-11,5867.5404,269116.36,1.2348231,,1,2
3.1714024,0.26753204,2.8083975,11.85429,33.410526,6.0176692,9.7040319e-06,0.28673172,0.016410801,2.987526,17.472135,33.714985,-6.0755352,0.76750323,0.037636045,0.087199033,2.8118321,0.43161081,33.415909,0.37697737,0.15771867,2.672908,0.10373258,3.0252985,25.767296,33.6775,-21.878056,0.049223482,0.0002827823,0.24672567,11.85429,0.0011461406,6.0176692,0.0021242135,4.740019e-05,4.4343557e-05,0.038810929,0.43161081,0.0011425533,0.37697737,0.0021350513,0.53010402,-1.8193225,-0.24818946,17.472135,7.3303778,-6.0755352,-6.4311927,5.569046e-06,-32.025351,-0.1427769,3.0252985,224.30344,33.6775,296.9619,0.0066577541,163.09779,0.56914501,11.85429,286.56633,6.0176692,422.00209,3.1002438e-24,18.637736,0.066863778,17.472135,278.74189,-6.0755352,411.31761,0.22788425,30.659407,0.13710857,11.85429,223.61409,6.0176692,326.42054,0.025337826,-4.9461096,-0.025778042,17.472135,191.87297,-6.0755352,289.01149,0.64233245,15.505992,0.082438193,0.43161081,188.09234,0.37697737,319.62786,0.18175196,-4.6022726,-0.020518065,25.767296,224.30344,-21.878056,296.9619,0.69802355,-108.7197,-0.48469922,0.001416582,224.30344,0.0023378002,296.9619,1.310842e-22,-85.433529,-0.38088372,7.4660225,224.30344,-6.5823611,296.9619,7.1188985e-14,5844.5006,268997.77,1.2349961,,1,3
2.2971119,0.21862375,2.9331811,10.507147,33.551894,5.7833333,0.00034524412,0.52549089,0.030783823,3.0049068,17.070358,33.69892,-6.5185185,0.58088114,0.058183486,0.13705234,2.9419174,0.4245348,33.541412,0.37150505,0.026537369,3.0399684,0.11468188,3.028289,26.507835,33.691994,-20.711236,0.030514604,0.00022668484,0.1881852,10.507147,0.0012045838,5.7833333,0.0021563726,0.0021361558,0.00016005029,0.13375436,0.4245348,0.0011965987,0.37150505,0.0021714901,0.030434747,-1.5858396,-0.21559849,17.070358,7.3555231,-6.5185185,-6.4191358,9.158167e-05,-32.391167,-0.14953425,3.028289,216.61369,33.691994,287.61528,0.0046928033,162.19636,0.59474112,10.507147,272.71759,5.7833333,406.5666,1.2035649e-26,8.7275791,0.03299769,17.070358,264.49061,-6.5185185,391.6873,0.55396843,31.289394,0.14736126,10.507147,212.33121,5.7833333,322.28311,0.016571888,-12.896853,-0.073812743,17.070358,174.72393,-6.5185185,277.31747,0.18507071,-12.233251,-0.072561838,0.4245348,168.5907,0.37150505,311.14707,0.24182253,-2.1957153,-0.010136549,26.507835,216.61369,-20.711236,287.61528,0.84884817,-109.41314,-0.50510722,0.001434526,216.61369,0.0023466266,287.61528,1.8974066e-24,-91.810226,-0.42384313,7.5084577,216.61369,-6.6448034,287.61528,5.929723e-17,5866.5666,268954.55,1.2367057,,1,4
1.8613191,0.17693082,2.8828966,10.520039,33.467228,5.9932584,0.0037265537,-0.28434156,-0.01714311,3.0009535,16.586346,33.649536,-6.2916409,0.75889854,0.026957193,0.062902964,2.8952857,0.42855204,33.451136,0.36359217,0.30857767,1.7578879,0.065065542,3.0269183,27.017187,33.669048,-20.182353,0.22006113,0.0002852082,0.237511,10.520039,0.001200821,5.9932584,0.0021379965,8.8925423e-05,5.1413511e-05,0.043232119,0.42855204,0.0011892434,0.36359217,0.0021602166,0.48428168,-2.0072513,-0.27107485,16.586346,7.4047862,-6.2916409,-6.5613003,7.5818951e-07,-31.065393,-0.1435968,3.0269183,216.33764,33.669048,283.91458,0.0065724505,138.62495,0.51774719,10.520039,267.74641,5.9932584,395.09667,1.0334464e-19,12.264525,0.045969501,16.586346,266.79699,-6.2916409,388.16711,0.41027742,26.66106,0.12638255,10.520039,210.95523,5.9932584,313.8606,0.039046094,-7.1128218,-0.043077867,16.586346,165.11546,-6.2916409,269.20029,0.44037459,0.22036588,0.001406089,0.42855204,156.72257,0.36359217,299.17821,0.98185939,2.2959567,0.010612839,27.017187,216.33764,-20.182353,283.91458,0.84161661,-107.6148,-0.4974391,0.0014532481,216.33764,0.0023284021,283.91458,1.0271323e-23,-90.840375,-0.41990092,7.6837996,216.33764,-6.8589636,283.91458,1.1099484e-16,5821.0053,268744.22,1.2373879,,1,5
2.2697829,0.220317,2.9784266,10.30235,33.555344,5.8681298,0.00032646157,-0.240479,-0.015130259,3.0220245,15.893912,33.670219,-5.7967085,0.78778375,0.035708401,0.086550754,2.9920449,0.4125718,33.539575,0.3665781,0.16490195,0.70800341,0.026973122,3.0422733,26.248478,33.662465,-19.492157,0.61149036,0.0002094913,0.1826257,10.30235,0.0011471075,5.8681298,0.0021207387,0.0030080692,6.8159736e-05,0.060088194,0.4125718,0.0011343283,0.3665781,0.0021432539,0.33543659,-2.2141521,-0.29701621,15.893912,7.4546508,-5.7967085,-6.6340125,6.4250956e-08,-26.3856,-0.12227505,3.0422733,215.78891,33.662465,281.32479,0.020838691,155.5879,0.58492142,10.30235,265.99795,5.8681298,391.86214,1.913173e-25,15.337917,0.058517165,15.893912,262.10971,-5.7967085,378.67503,0.29743937,30.565661,0.14305723,10.30235,213.66037,5.8681298,309.2577,0.020534332,0.64578214,0.0040132541,15.893912,160.91235,-5.7967085,265.21684,0.94308107,6.5506153,0.042051923,0.4125718,155.77446,0.3665781,293.97468,0.50044721,11.532092,0.05344154,26.248478,215.78891,-19.492157,281.32479,0.31397003,-105.03908,-0.48676772,0.001455854,215.78891,0.0023185895,281.32479,1.2281388e-22,-88.436211,-0.40982742,7.6470873,215.78891,-6.9184874,281.32479,6.8205866e-16,5796.4739,268677.27,1.2387175,,1,6
2.0953394,0.2222493,3.0694118,9.4278782,33.677306,6.0335793,0.0002260202,0.54981868,0.033331777,3.0392067,16.495331,33.624618,-4.6792049,0.5481051,0.051953851,0.11347719,3.0788635,0.4578352,33.667844,0.42212028,0.063097379,1.8950562,0.073125783,3.0560683,25.915022,33.611676,-13.83022,0.16385673,0.00024201069,0.18930485,9.4278782,0.0012784178,6.0335793,0.0021547729,0.0017462875,0.00014607941,0.11484667,0.4578352,0.0012719517,0.42212028,0.0021692961,0.059960699,-1.941391,-0.25542563,16.495331,7.6006116,-4.6792049,-6.8923547,2.8820227e-06,-29.651409,-0.1469416,3.0560683,201.79042,33.611676,282.42579,0.0049682054,168.14159,0.6307582,9.4278782,266.57059,6.0335793,382.46303,1.7951998e-31,28.412843,0.10861831,16.495331,261.5843,-4.6792049,376.56507,0.0497103,33.932798,0.17025728,9.4278782,199.30306,6.0335793,306.40994,0.0049482901,1.0315333,0.0061615652,16.495331,167.41416,-4.6792049,271.92287,0.91162044,1.2557251,0.0076002968,0.4578352,165.22054,0.42212028,296.78457,0.90125555,-11.658053,-0.057773076,25.915022,201.79042,-13.83022,282.42579,0.27160788,-103.71172,-0.51395759,0.0014534159,201.79042,0.0022833391,282.42579,6.2618363e-26,-88.022981,-0.4362099,7.7257857,201.79042,-7.1458791,282.42579,2.4341824e-18,5708.3478,268385.71,1.2406162,,1,7
2.2454547,0.19893109,2.9836101,11.287601,33.438043,10.941486,0.00089001423,1.3381727,0.060826252,3.018105,21.99992,33.556269,3.9328358,0.26692571,0.017788731,0.045377061,2.9836101,0.39202035,33.438043,0.47485494,0.45275747,0.89078657,0.028316394,3.0458871,31.458334,33.548103,14.575881,0.58767839,9.4068362e-05,0.076898879,11.287601,0.0012232735,10.941486,0.0022036777,0.20279501,0.00019957048,0.16314461,0.39202035,0.0012232735,0.47485494,0.0022036777,0.0066019428,-2.569741,-0.3459759,21.99992,7.4275144,3.9328358,-6.4010448,7.4705132e-11,-36.747582,-0.18674154,3.0458871,196.78311,33.548103,305.81563,0.00031000265,158.46976,0.587538,11.287601,269.71832,10.941486,400.78309,5.2179867e-27,51.243468,0.19216215,21.99992,266.66785,3.9328358,387.92803,0.0004046723,63.141379,0.34466105,11.287601,183.19847,10.941486,335.34896,4.0746612e-09,36.984734,0.19540232,21.99992,189.27479,3.9328358,302.923,0.00032089053,-1.0419181,-0.0056873732,0.39202035,183.19847,0.47485494,335.34896,0.92506334,-19.187878,-0.09750775,31.458334,196.78311,14.575881,305.81563,0.061321688,-108.21395,-0.54991484,0.0014517654,196.78311,0.0023324486,305.81563,1.5045476e-30,-81.279529,-0.41304118,7.4703038,196.78311,-6.5338753,305.81563,1.2322018e-16,5831.1216,268884.34,1.2400745,,1,8
