SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.71297361,0.39127523,0.45132941,1.8221793,6.0541827,0.55720699,0.032507482,-8.3079834,-0.49679711,0.45132941,16.723091,6.0541827,-7.064135,0.0052273109,-0.11100927,-0.59871954,0.45132941,0.18541114,6.0541827,0.18402042,0.000473504,-5.1631316,-0.38787057,0.36345439,13.311481,5.9970697,-10.329832,0.0018402908,0.00032252126,0.43096131,5.9678346,0.00074837637,1.484909,0.00074769642,4.0993346e-08,7.5923816e-05,0.10137868,0.12697526,0.00074891304,0.10122495,0.00075217314,0.22018776,-3.658779,-0.32192589,17.796825,11.365283,-10.348401,-22.452192,6.6090612e-05,-11.61818,-0.045659056,0.45917226,254.45511,6.0562595,341.51866,0.81406258,85.849361,0.5274809,5.9678346,162.7535,1.484909,110.592,4.7876101e-12,-83.891327,-0.5137887,17.796825,163.27982,-10.348401,110.35262,2.4176588e-11,-30.798826,-0.093821936,5.9868379,328.26893,1.4949419,487.42436,0.25670264,-56.609119,-0.17186002,17.836989,329.39086,-10.418784,487.46414,0.037395818,-73.790056,-0.22401975,0.12738976,329.39086,0.10140803,487.46414,0.0063784402,-145.70989,-0.477616,19.448631,305.0775,-10.094543,462.44079,1.3762801e-11,-47.460319,-0.15556807,0.00070312723,305.0775,0.00068245009,462.44079,0.037575569,-14.845938,-0.048662844,10.861159,305.0775,-23.5526,462.44079,0.5177053,1706.1252,254725.3,1.2555085,99.903922,1,daily
0.10600995,0.040070333,0.44210266,2.6455969,6.0477552,0.71644205,0.84590307,-4.2606467,-0.21435247,0.45333477,19.876825,6.0223776,-4.3034647,0.28298158,-0.13955798,-0.36305346,0.44522515,0.38440063,6.015791,0.24754422,0.081210463,-4.9253179,-0.32155492,0.36031302,15.31719,6.0074418,-10.532461,0.010819545,0.0002974772,0.38412503,12.309425,0.00077442805,2.6185844,0.00075892793,1.363919e-05,9.1092059e-05,0.11678194,0.24535002,0.00078001836,0.10894077,0.00076789178,0.21187169,-2.8815512,-0.24701224,23.641517,11.665621,-10.729416,-21.961835,0.0063067607,,,,,,,,60.174852,0.33662014,12.309425,178.76189,2.6185844,117.93185,0.000159896,-68.971123,-0.37693657,23.641517,182.97806,-10.729416,121.32918,2.0301831e-05,-19.955121,-0.054515019,13.355649,366.04814,2.9961222,526.70894,0.58630794,-78.213762,-0.21163346,25.099243,369.57182,-12.70379,518.35338,0.031872744,-42.102834,-0.11334979,0.18114182,371.44166,0.075436969,527.85554,0.26395272,-157.34829,-0.48299266,24.539645,325.7778,-13.472483,474.32014,1.1458417e-09,-27.040251,-0.08300213,0.00074526905,325.7778,0.00069856954,474.32014,0.32608108,16.396329,0.050329793,11.283812,325.7778,-23.262005,474.32014,0.55196054,1746.4239,255274.87,1.2498711,104.78632,1,0
1.7029785,0.6342887,0.45646443,2.6848634,6.0755675,0.78364719,0.00038085623,-7.5739108,-0.27642177,0.46870679,27.399834,6.0473086,-9.0386585,0.16279457,-0.14385682,-0.44546704,0.47463687,0.32293483,6.0734457,0.18841947,0.025639243,-3.2743145,-0.21296859,0.36171714,15.374636,6.0077857,-10.384332,0.096529778,0.00026405486,0.3436603,10.295017,0.00076836009,2.5635372,0.00071527384,8.7149347e-05,0.00014129244,0.18195706,0.25116159,0.00077651528,0.11306481,0.00072960496,0.04860807,-2.3266096,-0.20103435,31.649313,11.573195,-9.8600327,-22.176666,0.025772129,,,,,,,,69.801224,0.3575559,10.295017,195.21765,2.5635372,123.02999,4.2471016e-05,-67.413008,-0.34239043,31.649313,196.88929,-9.8600327,123.10867,0.00010603128,-27.658845,-0.070186904,11.177223,394.07416,3.0381201,525.65495,0.47679263,-27.937054,-0.06988267,33.81547,399.77084,-11.507979,525.76867,0.48086299,-43.917474,-0.10905786,0.21935264,402.69883,0.09148296,529.50136,0.28010089,-162.8448,-0.46068877,25.359297,353.48116,-14.147234,480.13579,7.9761505e-09,-41.394288,-0.11710465,0.00077113296,353.48116,0.00070663087,480.13579,0.16516471,14.15851,0.040054495,11.393111,353.48116,-23.1707,480.13579,0.63601652,1766.5772,255127.92,1.2536738,107.3179,1,1
1.1526981,0.43310948,0.44213364,2.6614474,6.0314291,0.71818928,0.021322393,-2.8652004,-0.11986535,0.4542526,23.903492,6.0233385,-3.7343494,0.55972784,-0.13856232,-0.38661476,0.44861996,0.35839895,6.0008612,0.27805716,0.056249104,-3.400351,-0.21806876,0.36034365,15.593022,6.0054903,-10.000713,0.088626203,0.00024431562,0.32738163,9.5703378,0.00074627164,2.0114999,0.00070794579,0.00017196034,8.2555929e-05,0.10885222,0.26041868,0.00075842207,0.11615785,0.00072767931,0.23464402,-3.4923519,-0.29897806,23.322593,11.680964,-10.617378,-22.203149,0.00074338775,,,,,,,,83.857381,0.42171069,9.5703378,198.8505,2.0114999,123.16458,7.9027991e-07,-95.273174,-0.47366544,23.322593,201.14022,-10.617378,124.05977,2.7563414e-08,-23.089085,-0.053475558,10.443633,431.76894,2.3750124,525.30261,0.58614812,-10.394592,-0.023913849,24.50581,434.66829,-12.734911,526.29871,0.80775468,-8.9805308,-0.020544165,0.20504087,437.13291,0.076174461,530.09711,0.83680837,-164.18959,-0.42620149,25.167741,385.23937,-13.274775,482.24048,1.1129661e-07,-45.44337,-0.11796139,0.00076248987,385.23937,0.00071011645,482.24048,0.16057613,11.927176,0.030960429,11.435858,385.23937,-23.118072,482.24048,0.71356567,1775.2911,255098.82,1.2549819,108.68732,1,2
1.9998191,0.34874086,0.46010241,5.7343985,6.0630592,1.3804922,0.080797847,-8.8798747,-0.46981181,0.4580883,18.900919,6.0115036,-8.8622117,0.017805145,-0.20635997,-0.44676239,0.45677999,0.46190095,6.0313939,0.27211762,0.02862372,-4.8617952,-0.31707822,0.36015934,15.33311,6.0013661,-10.340351,0.012038032,0.00028463902,0.35981049,9.3695633,0.00079108037,1.7111698,0.00076265397,3.502283e-05,2.6012112e-05,0.033410409,0.25647871,0.00077856309,0.11118572,0.0007424297,0.71715547,-3.3471308,-0.28667188,24.418265,11.675825,-12.760102,-22.638198,0.0013061237,79.054826,0.3084156,0.44952706,256.32564,6.4085022,171.83791,0.38593499,72.011612,0.36090031,9.3695633,199.53325,1.7111698,125.69292,3.3026466e-05,-75.740923,-0.40584394,24.418265,186.62574,-12.760102,120.05251,3.2069472e-06,-9.9810934,-0.026847726,10.097465,371.76681,2.000781,515.73897,0.7826918,-37.365028,-0.099858374,25.554671,374.18022,-14.795407,511.03285,0.31080655,-72.762206,-0.19277451,0.14689531,377.44723,0.071713142,513.29998,0.051067633,-139.3596,-0.41729675,25.18282,333.95803,-13.265522,469.53739,1.7733596e-07,-39.366048,-0.11787723,0.00075987668,333.95803,0.00071505989,469.53739,0.15792858,5.7981247,0.017361836,11.577805,333.95803,-23.094257,469.53739,0.83579873,1787.6497,255097.26,1.2553867,109.56292,1,3
2.537645,0.49080776,0.46251158,5.1703442,6.0576874,1.2677443,0.0093378173,-10.547578,-0.41781989,0.47369991,25.244319,6.050574,-8.3644314,0.033674723,-0.14214756,-0.37922051,0.48004181,0.37484144,6.0337205,0.23508329,0.067614079,-5.3602494,-0.34446774,0.36174965,15.560962,6.0062661,-9.1751192,0.0061141495,0.00023565794,0.30939873,12.530352,0.0007616642,2.471818,0.00072247059,0.00035992616,0.0001453489,0.18967408,0.26482842,0.0007663087,0.12652665,0.00073444021,0.037186322,-3.8037179,-0.32341098,25.894335,11.761251,-11.51178,-22.274916,0.00024845281,77.133515,0.24376553,0.44579448,316.42503,6.4214086,183.08865,0.49733501,61.638167,0.30955185,12.530352,199.12065,2.471818,123.82463,0.00035738337,-94.627873,-0.46757288,25.894335,202.38101,-11.51178,126.50885,4.3725654e-08,-19.577124,-0.047810918,13.585928,409.46973,2.9209382,526.11109,0.62152628,-28.175857,-0.067604173,27.312972,416.77689,-12.974639,516.48537,0.48901177,-11.373577,-0.027261063,0.21827527,417.20958,0.099851391,527.55018,0.78354646,-158.18212,-0.42672781,24.959184,370.68623,-13.369673,475.75494,6.365015e-08,-41.750987,-0.11263161,0.00075589637,370.68623,0.0007151622,475.75494,0.17289962,12.903697,0.034810295,11.546929,370.68623,-23.028092,475.75494,0.67446928,1787.9055,255025.99,1.2575672,108.77531,1,4
1.5509038,0.29090391,0.46002588,5.3313267,6.084162,1.5282324,0.13313974,-11.629571,-0.40339679,0.46290728,28.829112,6.058452,-2.7572004,0.030009512,-0.13659345,-0.41549477,0.46867572,0.32874891,6.0822503,0.18639338,0.031135692,-4.6743968,-0.30751408,0.36319607,15.200595,6.0034638,-9.9535596,0.015043802,0.00022417814,0.28595715,11.303759,0.00078395708,2.1190106,0.00074888001,0.00097350868,0.00013579829,0.17113744,0.23173017,0.00079350426,0.10195082,0.00076758723,0.056358219,-4.1276639,-0.34538148,25.83991,11.951028,-11.253677,-21.942393,6.1060758e-05,71.112653,0.33043825,0.46282847,215.20709,6.0640281,412.3017,0.079989071,77.885378,0.37992445,11.303759,205.00228,2.1190106,125.63288,8.2608366e-06,-90.881693,-0.44164296,25.83991,205.78092,-11.253677,125.81649,1.6126792e-07,-10.415869,-0.030465623,11.34627,341.88927,2.1354373,505.54293,0.73179816,-62.047207,-0.17926187,25.922063,346.12608,-11.341601,507.00989,0.042903063,-20.98122,-0.0602975,0.23248712,347.96169,0.102773,507.78408,0.50589058,-160.49268,-0.51351855,22.785512,312.53531,-12.181722,472.10297,1.2792582e-12,-36.94997,-0.11822654,0.00074669316,312.53531,0.00070545823,472.10297,0.12808674,0.012773507,4.0870604e-05,11.269771,312.53531,-23.279306,472.10297,0.99958175,1763.6456,254876.2,1.2562942,107.93913,1,5
0.73651045,0.18829178,0.45452673,3.9115379,6.0804655,0.49659937,0.33728642,-13.608105,-0.57778091,0.48174324,23.552361,6.0685912,-9.3258528,0.0019940729,-0.06043226,-0.24152902,0.48047231,0.25020703,6.088646,0.12649185,0.24477311,-4.2411449,-0.24935656,0.36184216,17.008355,6.000628,-11.021688,0.050645451,0.00025679631,0.32618974,7.8270458,0.00078726052,1.5652374,0.00074995476,0.00020534907,6.1884062e-05,0.077391409,0.20358634,0.00079962444,0.096846505,0.00076365551,0.40282584,-4.6402082,-0.38417322,23.314423,12.078427,-12.463528,-22.12104,1.1506403e-05,91.455419,0.37857384,0.45138213,241.57881,6.4167157,183.82006,0.28069816,73.596246,0.35290475,7.8270458,208.54422,1.5652374,128.8136,5.4225911e-05,-95.419284,-0.45422474,23.314423,210.07064,-12.463528,130.36686,1.312969e-07,-18.598984,-0.043212778,8.4612585,430.40472,1.8871519,524.00788,0.66005796,-18.235785,-0.042496504,24.651718,429.11258,-14.229619,536.36671,0.66687453,-79.813625,-0.18358178,0.18380672,434.75787,0.090355257,533.8271,0.064752246,-174.40808,-0.45427136,24.189786,383.92928,-13.575022,484.38239,1.2067518e-08,-55.325467,-0.14410328,0.00076961548,383.92928,0.00072171301,484.38239,0.085965582,2.9556373,0.00769839,11.641734,383.92928,-23.063558,484.38239,0.92729177,1804.2825,255288.87,1.2520931,113.67047,1,6
1.3138406,0.23214044,0.44715352,5.6596799,6.0377636,1.6224938,0.23456129,-8.8228111,-0.37627915,0.46308701,23.447515,6.0572953,-4.6783899,0.04423911,-0.035296678,-0.10068304,0.45549081,0.35057223,6.0353841,0.1810152,0.6172991,-4.7691972,-0.27001256,0.36482427,17.662872,6.0033777,-10.231683,0.033803471,0.00023781211,0.28942386,8.4816052,0.00082167419,1.4868298,0.00078914123,0.0010614657,0.00010796095,0.13005122,0.2321694,0.00083014177,0.099214614,0.00081278983,0.1568492,-4.596749,-0.37721892,24.724313,12.185892,-11.846467,-21.428792,1.5699259e-05,78.091591,0.39436163,0.45332646,198.02026,6.4194738,147.10993,0.25944119,60.044366,0.29471745,8.4816052,203.73536,1.4868298,130.0863,0.00084882505,-90.112006,-0.4396434,24.724313,204.96613,-11.846467,128.19346,3.2440258e-07,-20.382188,-0.047055047,9.23928,433.15625,1.7303164,538.13424,0.63360203,-41.423165,-0.094391891,26.297451,438.84241,-13.828848,530.99993,0.33816791,-40.433039,-0.09173625,0.2071017,440.75313,0.086759974,543.5675,0.36156447,-173.33117,-0.45265077,23.178601,382.92473,-12.077894,483.56273,1.0895518e-08,-62.269555,-0.16261565,0.00077456551,382.92473,0.000723481,483.56273,0.050673814,-2.8435348,-0.0074258322,11.713181,382.92473,-23.086025,483.56273,0.92936313,1808.7025,254952.35,1.2575639,113.45535,1,7
0.32522861,0.1030764,0.45599553,3.1552188,6.042621,0.88605437,0.60891484,-6.9925447,-0.28178333,0.44937076,24.815324,6.0598202,-4.5875502,0.1314089,-0.070155732,-0.19994228,0.45599553,0.35087992,6.042621,0.20287922,0.31735237,-5.5882573,-0.34449418,0.36144869,16.22163,6.0009483,-9.6210405,0.0061099749,0.00014144665,0.1741407,6.7711238,0.00081225496,1.352467,0.00077733299,0.055069168,0.0001270534,0.15657382,0.24272423,0.00081146002,0.10545662,0.00078072749,0.091827446,-3.7762157,-0.31345185,22.146799,12.047195,-11.181128,-21.813064,0.00041516106,82.291367,0.34076043,0.45707246,241.49332,6.0625456,410.28103,0.070465379,55.066635,0.26516957,6.7711238,207.66574,1.352467,129.40323,0.0031595488,-96.792045,-0.46776379,22.146799,206.92505,-11.181128,129.46745,4.8958219e-08,-18.60797,-0.048030775,6.7981502,387.41765,1.3636334,531.80396,0.60086537,-62.798372,-0.16125985,22.214816,389.42349,-11.272537,525.26381,0.075985484,-77.631104,-0.19685718,0.24357713,394.35242,0.10636573,533.91761,0.034172766,-148.689,-0.42713466,24.594635,348.10801,-10.597023,486.2249,1.4412861e-08,-48.900377,-0.14047472,0.0007596483,348.10801,0.00070901875,486.2249,0.074593178,-5.4893291,-0.01576904,11.421089,348.10801,-23.302142,486.2249,0.84213344,1772.5469,254899.24,1.2553814,109.56757,1,8
