SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
4.6528237,0.70969177,2.872924,6.556119,6.8109138,6.9474958,4.7898222e-17,-5.4418767,-0.35154244,2.872924,15.479999,6.8109138,35.438678,0.00027140923,0.03596596,0.32991549,2.872924,0.10901568,6.8109138,0.13923976,0.00066596205,-0.41209464,-0.024323223,2.6424154,16.942435,6.840101,58.109383,0.79029126,0.00034525836,0.44351364,6.556119,0.00077846165,6.9474958,0.0024217024,2.7052359e-06,0.0004656059,0.59811026,0.10901568,0.00077846165,0.13923976,0.0024217024,2.5362463e-11,0.2871715,0.089414314,15.479999,3.211695,35.438678,7.0798263,0.36908844,-223.6024,-0.32781136,2.5907188,682.10693,6.9629662,1960.7358,0.00013227581,-14.644361,-0.063818399,6.556119,229.46927,6.9474958,362.35623,0.52188995,-20.38268,-0.088825315,15.479999,229.46927,35.438678,362.35623,0.37226324,-272.19112,-0.41090622,6.556119,662.41664,6.9474958,2042.0863,1.6224785e-05,172.41962,0.26028878,15.479999,662.41664,35.438678,2042.0863,0.0079228884,-479.86226,-0.72441155,0.10901568,662.41664,0.13923976,2042.0863,5.2303104e-18,138.4617,0.21746071,16.942435,636.72056,58.109383,2034.1935,0.016125041,-470.83153,-0.69026058,0.00098555761,682.10693,0.0024956401,1960.7358,7.5076511e-20,338.14728,0.49573939,3.7908255,682.10693,6.6578773,1960.7358,1.7392499e-09,6239.1002,294027.89,1.0493652,382.20026,1,daily
1.292097,0.24502927,2.8747042,5.2732354,6.6595,0.60065403,0.014007707,-0.37108833,-0.018413835,2.9148391,20.152691,6.7153465,-15.515964,0.85497945,-0.017275849,-0.080781492,2.8747042,0.213859,6.6595,0.10336346,0.42431035,0.96810157,0.065013753,2.6925104,14.89072,6.7239496,-57.004676,0.48238361,-2.701796e-05,-0.032282626,5.2732354,0.00083691952,0.60065403,0.0023896821,0.74983976,6.9213416e-05,0.082700205,0.213859,0.00083691952,0.10336346,0.0023896821,0.41335312,-1.6946944,-0.45854615,20.152691,3.695799,-15.515964,4.8976782,1.4193551e-06,-184.26346,-0.23307903,2.6336213,790.56213,6.8651163,1737.1185,0.0078555119,19.970436,0.097069086,5.2732354,205.73425,0.60065403,89.624914,0.33667382,-54.411224,-0.26571389,20.152691,204.77373,-15.515964,89.089389,0.0072397239,54.908006,0.071557824,5.2732354,767.32359,0.60065403,1818.6987,0.47926243,-156.25112,-0.20007718,20.152691,780.95422,-15.515964,1802.351,0.044850399,-197.25651,-0.25707083,0.213859,767.32359,0.10336346,1818.6987,0.0098248232,-223.65353,-0.29615363,14.89072,755.19428,-57.004676,1818.0627,0.0010745713,-542.47532,-0.68618936,0.0010561444,790.56213,0.0025079062,1737.1185,2.8574792e-19,330.24313,0.41773204,4.1175511,790.56213,4.611186,1737.1185,8.4163257e-07,6269.7654,291865.1,1.0747972,101.61674,1,0
1.4574493,0.28322547,2.8565741,5.1458977,6.639604,1.1860151,0.0041052018,-0.65241897,-0.034421595,2.8990583,18.95377,6.6960784,-15.75562,0.73125367,0.061622606,0.20516942,2.8565741,0.30034985,6.639604,0.14108708,0.03956979,-0.52309952,-0.036814071,2.6859164,14.209227,6.6756303,-57.00071,0.6910062,0.00012841559,0.15591648,5.1458977,0.00082361777,1.1860151,0.0024003047,0.11947632,0.0002871031,0.3485878,0.30034985,0.00082361777,0.14108708,0.0024003047,0.00035373248,-1.4328416,-0.38860322,18.95377,3.6871584,-15.75562,4.553348,5.4334416e-05,-196.55269,-0.25569287,2.6259933,768.70617,6.8131783,1694.0681,0.0034487181,33.612756,0.17158924,5.1458977,195.89082,1.1860151,81.342842,0.086210458,-71.341132,-0.36579718,18.95377,195.0292,-15.75562,81.992962,0.00015635955,10.203327,0.013393952,5.1458977,761.78617,1.1860151,1777.0715,0.89424241,-201.67176,-0.26015653,18.95377,775.19391,-15.75562,1760.9978,0.0082733749,-318.56037,-0.41817557,0.30034985,761.78617,0.14108708,1777.0715,1.3524913e-05,-175.01414,-0.23819826,14.209227,734.74149,-57.00071,1771.0733,0.0090894799,-489.54229,-0.63683929,0.0010321582,768.70617,0.0025034264,1694.0681,4.966044e-16,376.81326,0.49019154,4.0973042,768.70617,4.2769031,1694.0681,3.7150863e-09,6258.5661,291512.29,1.0756464,99.296555,1,1
2.0926551,0.41129265,2.8356,5.0879955,6.5851485,1.1219162,1.9314839e-05,-1.6113264,-0.076490155,2.8826785,21.065801,6.6436275,-14.14354,0.44480037,0.030462079,0.106018,2.8356,0.28732931,6.5851485,0.13276513,0.29134177,-1.4513749,-0.099991747,2.6745808,14.514946,6.6264706,-56.196429,0.27926056,9.0041943e-05,0.11190212,5.0879955,0.00080464913,1.1219162,0.0024113843,0.26523307,0.00029192011,0.36279181,0.28732931,0.00080464913,0.13276513,0.0024113843,0.00019262738,-1.29042,-0.36110409,21.065801,3.5735403,-14.14354,4.1095882,0.00019250296,-172.88552,-0.22820738,2.6120038,757.58076,6.755814,1624.1826,0.0092918144,39.065321,0.20382058,5.0879955,191.66524,1.1219162,82.205405,0.040915203,-38.697343,-0.20238069,21.065801,191.21065,-14.14354,83.569039,0.041358866,-25.585846,-0.034126548,5.0879955,749.73437,1.1219162,1714.6345,0.73476247,-187.60307,-0.24605911,21.065801,762.43093,-14.14354,1699.0527,0.012670397,-353.81352,-0.4719185,0.28732931,749.73437,0.13276513,1714.6345,6.2978414e-07,-159.65407,-0.22065429,14.514946,723.54842,-56.196429,1705.0761,0.0158893,-478.03048,-0.63099607,0.0010381253,757.58076,0.0025133131,1624.1826,1.1001063e-15,346.53271,0.45742015,4.0149607,757.58076,3.8201124,1624.1826,5.0469295e-08,6283.2828,291029.23,1.0764483,100.92571,1,2
0.47387841,0.072106918,2.8153201,6.5718856,6.5351485,0.63148956,0.47363391,2.330418,0.06033091,2.8660311,38.627264,6.595098,-16.513284,0.54693993,-0.0042878177,-0.02273841,2.8153201,0.18857157,6.5351485,0.099418356,0.82143248,-1.5245117,-0.10533487,2.6603955,14.473002,6.5764706,-55.92766,0.25423883,-9.9134331e-05,-0.12614283,6.5718856,0.00078588951,0.63148956,0.0023742321,0.20876529,0.00021397505,0.27227116,0.18857157,0.00078588951,0.099418356,0.0023742321,0.0058786609,-0.26692177,-0.07106751,38.627264,3.7558902,-16.513284,3.7095833,0.47782881,-138.89766,-0.16198243,2.5968429,857.486,6.6992248,1639.0847,0.066655335,39.888698,0.19658428,6.5718856,202.90889,0.63148956,86.257578,0.048800876,-33.313945,-0.16443316,38.627264,202.5987,-16.513284,87.919908,0.098638953,-290.53885,-0.34322735,6.5718856,846.49095,0.63148956,1720.9948,0.00044169147,74.398761,0.086798561,38.627264,857.14279,-16.513284,1705.2638,0.38569154,-312.58976,-0.36927714,0.18857157,846.49095,0.099418356,1720.9948,0.00014456183,-176.81201,-0.21221826,14.473002,833.16116,-55.92766,1720.9131,0.020501011,-465.37342,-0.54271839,0.0010544615,857.486,0.002488137,1639.0847,3.0531901e-11,283.69905,0.33084978,4.1774542,857.486,3.3737248,1639.0847,0.00012836123,6220.3425,290574.97,1.0764027,111.19328,1,3
1.5785803,0.414626,2.8113735,3.8072391,6.4685,0.23262964,1.7961895e-05,2.6108732,0.13776198,2.8651796,18.952059,6.530198,-15.448562,0.16949831,-0.010257184,-0.055808388,2.8113735,0.18379288,6.4685,0.089030932,0.58129269,-0.73002265,-0.055793074,2.651477,13.084467,6.5268908,-55.238496,0.54672424,-3.3290754e-05,-0.042243224,3.8072391,0.00078807323,0.23262964,0.0023781192,0.67645344,0.00019793339,0.25116117,0.18379288,0.00078807323,0.089030932,0.0023781192,0.011716276,-1.5157548,-0.38965075,18.952059,3.8900344,-15.448562,3.4219406,5.635153e-05,-158.18618,-0.21861853,2.5859279,723.57169,6.6418605,1523.7978,0.012808623,68.520344,0.28970088,3.8072391,236.521,0.23262964,87.472959,0.0034606089,-84.636161,-0.35839053,18.952059,236.15624,-15.448562,89.430449,0.00023325397,96.591428,0.1352327,3.8072391,714.26088,0.23262964,1628.6037,0.17975937,-242.93579,-0.33495676,18.952059,725.27506,-15.448562,1614.199,0.00061743423,-303.24882,-0.42456311,0.18379288,714.26088,0.089030932,1628.6037,1.0706402e-05,-205.199,-0.29599128,13.084467,693.26028,-55.238496,1597.2212,0.0010817259,-439.46184,-0.60735079,0.0010668909,723.57169,0.0024954618,1523.7978,2.3307065e-14,337.12594,0.46591921,4.3104215,723.57169,3.0522093,1523.7978,2.6332925e-08,6238.6544,290243.57,1.0772005,108.27182,1,4
0.77156498,0.20844352,2.800329,3.7015541,6.424,0.074761385,0.037420447,3.3949086,0.19560465,2.8565092,17.355971,6.4866337,-11.928462,0.049959119,-0.032312203,-0.12549031,2.800329,0.25748764,6.424,0.11188838,0.21348105,-0.1082312,-0.0085279738,2.644021,12.691315,6.4810924,-54.509105,0.92665917,5.190605e-05,0.069315359,3.7015541,0.00074883908,0.074761385,0.0023705836,0.49317747,-5.6005972e-06,-0.0074790396,0.25748764,0.00074883908,0.11188838,0.0023705836,0.94112885,-1.353888,-0.36176013,17.355971,3.7425019,-11.928462,2.9662178,0.00020151493,-137.06505,-0.18377388,2.5781161,745.83529,6.5903101,1498.5684,0.037092552,79.982695,0.33634165,3.7015541,237.80193,0.074761385,83.645837,0.00062304683,-64.170784,-0.27039886,17.355971,237.31899,-11.928462,85.469879,0.006241984,-40.775126,-0.054781551,3.7015541,744.32223,0.074761385,1602.0859,0.58827679,-141.35555,-0.18704187,17.355971,755.7428,-11.928462,1587.1035,0.061080168,-143.5411,-0.19284807,0.25748764,744.32223,0.11188838,1602.0859,0.054565402,-179.99311,-0.24916895,12.691315,722.37375,-54.509105,1565.6925,0.0062824852,-424.11978,-0.56865073,0.001022995,745.83529,0.0024796785,1498.5684,2.0659365e-12,333.09148,0.44660192,4.219181,745.83529,2.6220504,1498.5684,1.1264424e-07,6199.1962,289779.09,1.0787502,101.26368,1,5
0.05586963,0.0062026008,2.863013,9.0074521,6.4495,-0.13251207,0.95116268,2.0860709,0.10953742,2.863013,19.044367,6.4495,-13.268665,0.27797882,-0.008812592,-0.038418962,2.863013,0.22938131,6.4495,0.12038609,0.70431693,0.12089037,0.0085651719,2.6376047,14.114179,6.437395,-53.684735,0.92634016,-0.00014294992,-0.18319264,9.0074521,0.00078032568,-0.13251207,0.0023694516,0.068096713,0.00014525807,0.18615057,0.22938131,0.00078032568,0.12038609,0.0023694516,0.063689787,-1.1446958,-0.33423106,19.044367,3.4248636,-13.268665,2.765365,0.000677369,-135.80263,-0.1922298,2.5709776,706.45986,6.5426357,1463.6942,0.029075865,13.516605,0.06190079,9.0074521,218.35917,-0.13251207,78.87879,0.54066177,-72.93298,-0.33400465,19.044367,218.35917,-13.268665,78.87879,0.00068344658,113.37585,0.15947586,9.0074521,710.92801,-0.13251207,1548.7369,0.11299598,-278.6141,-0.39190199,19.044367,710.92801,-13.268665,1548.7369,5.523756e-05,-148.55137,-0.20895416,0.22938131,710.92801,0.12038609,1548.7369,0.036945947,-114.97294,-0.17005097,14.114179,676.10869,-53.684735,1533.5679,0.064465431,-413.22922,-0.58492952,0.0009955643,706.45986,0.0024484993,1463.6942,3.3666467e-13,301.73316,0.42710589,4.0338838,706.45986,2.3742326,1463.6942,4.4705595e-07,6121.2483,289485.1,1.0803179,92.069044,1,6
2.4222876,0.48360677,2.7715,5.0087958,6.35,1.0390653,3.4527126e-07,-1.1880222,-0.068546246,2.8394052,17.331689,6.4173267,-11.076362,0.49580297,-0.037025617,-0.14141936,2.7715,0.26181435,6.35,0.14467372,0.16047434,-2.446176,-0.20270314,2.6295677,12.067776,6.3941176,-19.952298,0.027043102,1.3648106e-05,0.018148636,5.0087958,0.00075201826,1.0390653,0.0023553225,0.85776545,9.2830177e-05,0.12344139,0.26181435,0.00075201826,0.14467372,0.0023553225,0.22111068,-0.85005505,-0.25208943,17.331689,3.3720376,-11.076362,2.7672723,0.010985926,-131.9948,-0.20980499,2.5627987,629.1309,6.4965116,1370.76,0.017016269,40.386563,0.21773398,5.0087958,185.48581,1.0390653,71.941154,0.029544429,-49.621757,-0.26640739,17.331689,186.26269,-11.076362,74.444325,0.0070836683,17.928431,0.02978336,5.0087958,601.96135,1.0390653,1468.5033,0.76863996,-119.93973,-0.19495798,17.331689,615.20808,-11.076362,1454.5206,0.050736048,-22.853397,-0.037964892,0.26181435,601.96135,0.14467372,1468.5033,0.70765226,-54.847042,-0.090965133,12.067776,602.94576,-19.952298,1433.0422,0.32517457,-362.69352,-0.57649929,0.00099180376,629.1309,0.002451554,1370.76,8.7227912e-13,258.9733,0.4116366,4.1110344,629.1309,2.2662364,1370.76,1.2571462e-06,6128.885,289330.27,1.0813271,88.175087,1,7
3.3984744,0.17974872,2.8265074,18.906808,6.4085,8.6816887,0.073535365,-3.812718,-0.18311888,2.8265074,20.820999,6.4085,18.467628,0.068209687,0.13533676,0.49651514,2.8265074,0.27257329,6.4085,0.28066226,1.4900227e-07,-5.7075878,-0.15353331,2.6086192,37.174917,6.4004202,110.78224,0.095500161,-0.00013028719,-0.1561952,18.906808,0.00083413055,8.6816887,0.0024768418,0.12069675,0.00023463705,0.28129536,0.27257329,0.00083413055,0.28066226,0.0024768418,0.0045815473,-0.26553824,-0.074144802,20.820999,3.5813466,18.467628,5.252905,0.4634754,-93.793678,-0.17508365,2.5473913,535.70779,6.4878906,1271.8026,0.048074405,1.606397,0.0096640351,18.906808,166.22426,8.6816887,79.479445,0.92397523,-10.812723,-0.065049008,20.820999,166.22426,18.467628,79.479445,0.52022843,63.909029,0.12280894,18.906808,520.39395,8.6816887,1349.2917,0.22350414,-0.0086404572,-1.6603685e-05,20.820999,520.39395,18.467628,1349.2917,0.99986919,-27.310294,-0.052480037,0.27257329,520.39395,0.28066226,1349.2917,0.60406769,34.179533,0.067120602,37.174917,509.22566,110.78224,1325.4179,0.46827462,-311.84647,-0.58212047,0.001045967,535.70779,0.0025612208,1271.8026,5.725359e-13,266.06386,0.49665855,4.2268625,535.70779,4.6432617,1271.8026,2.4837163e-09,6403.0519,291781.43,1.0765402,97.353436,1,8
