SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
2.3477328,0.36011045,11.009234,6.5194797,32.398279,7.1392006,6.1725551e-10,-0.30046208,-0.019630842,11.009234,15.305613,32.398279,8.9041778,0.7445241,0.10104333,0.38957114,11.009234,0.25937067,32.398279,0.2875858,1.6495221e-11,2.3068693,0.10593107,11.009234,21.777079,32.398279,12.912522,0.077861698,-4.5273091e-05,-0.037661793,6.8971026,0.001202096,7.4538628,0.0023802379,0.49668095,-3.5170399e-05,-0.029257562,0.24943268,0.001202096,0.27918814,0.0023802379,0.59752215,-1.6580046,-0.2577743,15.395991,6.4320013,10.121066,-1.5370946,2.2357395e-06,-90.072911,-0.15441735,10.986677,583.30823,32.34038,866.91767,0.010057354,82.564029,0.339766,6.8971026,243.00262,7.4538628,482.94235,2.634374e-10,8.2060736,0.033769486,15.395991,243.00262,10.121066,482.94235,0.5422392,-6.5792545,-0.011077496,6.9032883,593.92976,7.4674294,850.78863,0.84182865,-26.451165,-0.044535847,15.419238,593.92976,10.126783,850.78863,0.42216991,-57.037213,-0.096033599,0.24981425,593.92976,0.2792208,850.78863,0.082927179,-47.361572,-0.082836389,21.065033,571.74839,13.352422,833.82573,0.14629953,-158.87941,-0.26750538,0.0012038596,593.92976,0.0023794788,850.78863,9.1749376e-07,271.83443,0.45768784,6.4378052,593.92976,-1.5244974,850.78863,2.4616338e-18,5948.6971,274529.06,1.2112257,483.74675,1,daily
2.0780508,0.18214596,10.83599,11.408712,32.398888,2.146297,0.0037844392,4.0976961,0.18934411,10.83599,21.641529,32.398888,-19.409931,0.002594512,0.12554105,0.29645348,10.83599,0.4234764,32.398888,0.29617789,1.7427447e-06,4.9729184,0.17645242,10.83599,28.182772,32.398888,-44.840694,0.0050534005,-3.969126e-05,-0.031294222,10.661243,0.0012683255,2.3130719,0.0023191497,0.58926511,1.665831e-05,0.013134097,0.41232914,0.0012683255,0.28374304,0.0023191497,0.82077421,-2.4918739,-0.37985748,21.184358,6.5600231,-18.853068,-2.5088408,9.844242e-12,-108.99454,-0.18192588,10.763948,599.11511,32.411467,744.49998,0.0039720557,70.306751,0.22390509,10.661243,314.00246,2.3130719,383.00033,9.1634313e-05,-28.326904,-0.090212365,21.184358,314.00246,-18.853068,383.00033,0.11895339,1.1923244,0.001923076,10.68686,620.009,2.3417966,731.43089,0.97362838,-131.33584,-0.21182893,21.24008,620.009,-18.903515,731.43089,0.000230279,-82.318603,-0.13277001,0.41337939,620.009,0.28482982,731.43089,0.021877301,-119.09353,-0.20103604,28.454036,592.3989,-45.082068,714.00308,0.00066949265,-170.50379,-0.27500212,0.0012713776,620.009,0.0023150831,731.43089,1.4313873e-06,222.56428,0.35896943,6.5649993,620.009,-2.5247497,731.43089,1.716352e-10,5787.7078,273513.01,1.2225091,384.67795,1,0
0.88945606,0.12186442,10.778645,7.2987346,32.274461,2.1761703,0.052868303,3.4194488,0.14646061,10.778645,23.347225,32.274461,-18.778532,0.019772126,0.093039685,0.22545693,10.778645,0.41267167,32.274461,0.27331016,0.00030033865,5.0310899,0.18095147,10.778645,27.803532,32.274461,-43.567403,0.0038790507,-0.00022344622,-0.17924774,8.5533258,0.0012465776,2.5792862,0.0022741009,0.0017949395,-4.7349255e-05,-0.0379834,0.40411884,0.0012465776,0.26722482,0.0022741009,0.51151378,-2.4088745,-0.36791632,22.881893,6.5473436,-17.969948,-2.8639384,4.4250343e-11,-153.68098,-0.23071015,10.703401,666.12148,32.284341,738.16392,0.0002271354,99.697323,0.32113424,8.5533258,310.45373,2.5792862,385.24716,1.1982913e-08,-29.411606,-0.094737488,22.881893,310.45373,-17.969948,385.24716,0.10090399,60.741147,0.088943082,8.5776781,682.92154,2.5974054,734.27513,0.12488937,-107.46494,-0.15736059,22.925355,682.92154,-18.040922,734.27513,0.0063984868,-55.841703,-0.081768842,0.4048773,682.92154,0.26901227,734.27513,0.15843466,-100.74101,-0.15514286,28.125277,649.34352,-44.118131,706.76101,0.0088224597,-175.15805,-0.25648341,0.0012475712,682.92154,0.0022676096,734.27513,7.0624219e-06,228.59831,0.33473583,6.5417581,682.92154,-2.8898541,734.27513,2.9207286e-09,5669.0239,273136.87,1.2233006,386.08093,1,1
0.83815512,0.093918497,10.799304,8.9242817,32.241458,1.9939641,0.14026106,3.0919156,0.14984384,10.799304,20.634253,32.241458,-17.411781,0.018217481,0.087911957,0.22832204,10.799304,0.38503492,32.241458,0.2399193,0.00028844878,4.8653466,0.16983456,10.799304,28.647565,32.241458,-43.243013,0.0073502087,-6.8240172e-05,-0.055908548,8.7645537,0.0012205678,2.058385,0.0022605751,0.3377769,-6.1861658e-05,-0.05068269,0.37456522,0.0012205678,0.22693087,0.0022605751,0.38493083,-1.8412187,-0.28435349,22.504707,6.475105,-18.233391,-3.0503899,6.5393072e-07,-152.28735,-0.23935597,10.722323,636.23797,32.251576,708.03766,0.00015048168,68.115235,0.2173047,8.7645537,313.45495,2.058385,381.46366,0.00016458981,-22.753605,-0.072589713,22.504707,313.45495,-18.233391,381.46366,0.21304364,22.529565,0.034146531,8.7924764,659.79074,2.0689262,705.5292,0.55978094,-12.877027,-0.019516835,22.541682,659.79074,-18.309446,705.5292,0.73894546,-31.374538,-0.047552256,0.3753703,659.79074,0.22847462,705.5292,0.41659797,-107.94943,-0.17418485,28.98028,619.74063,-43.731461,675.6071,0.0035144558,-178.60177,-0.27069457,0.0012213264,659.79074,0.0022635809,705.5292,2.4784132e-06,238.29731,0.36117104,6.4666886,659.79074,-3.006934,705.5292,1.7346945e-10,5658.9521,273017.6,1.2240586,380.71652,1,2
0.78908553,0.11788844,10.868776,6.6934937,32.185769,2.4456416,0.061673198,2.2868706,0.10964456,10.868776,20.857129,32.185769,-17.005638,0.082362281,0.10364164,0.2621132,10.868776,0.39540795,32.185769,0.25728658,2.5072767e-05,5.1428909,0.17641255,10.868776,29.152636,32.185769,-42.374004,0.0049757363,4.4110786e-06,0.0036975114,6.664827,0.0011929858,2.518086,0.0022258093,0.9492343,-3.7957449e-05,-0.031817185,0.38208165,0.0011929858,0.23924259,0.0022258093,0.58368858,-2.0121468,-0.30773094,20.675031,6.538656,-17.492184,-3.4928353,5.5963855e-08,-105.11673,-0.17374428,10.607931,605.00834,32.345643,668.28062,0.0062950666,128.91848,0.41124083,6.664827,313.48658,2.518086,383.8634,1.2466611e-13,-24.204431,-0.077210421,20.675031,313.48658,-17.492184,383.8634,0.18302812,32.223941,0.050597438,6.6463459,636.86903,2.5766745,667.28677,0.38817084,-19.356681,-0.030393504,20.814077,636.86903,-17.68117,667.28677,0.60435443,-75.272306,-0.11819119,0.38272099,636.86903,0.23717732,667.28677,0.043222853,-101.12508,-0.17150292,29.406415,589.64057,-43.488562,636.97612,0.0041318028,-161.3242,-0.25330828,0.0011958278,636.86903,0.0022350324,667.28677,1.1376905e-05,263.72064,0.41408928,6.4723787,636.86903,-3.3954628,667.28677,1.443743e-13,5587.581,272605.39,1.2249486,384.0524,1,3
1.0693292,0.13668699,10.816271,7.8231967,32.083813,2.4470034,0.030064297,2.3646822,0.10918005,10.816271,21.658556,32.083813,-17.37622,0.083677241,0.11134196,0.27488933,10.816271,0.40504287,32.083813,0.26795783,9.5273798e-06,4.210932,0.14622655,10.816271,28.797315,32.083813,-42.335083,0.020220556,-1.7471148e-05,-0.014472429,7.7873121,0.0012072021,2.4347579,0.0022198985,0.8038446,-3.9307042e-05,-0.032560448,0.39755413,0.0012072021,0.25674863,0.0022198985,0.57621731,-2.1207222,-0.32278706,21.204511,6.5700347,-17.334963,-3.706395,1.2523008e-08,-120.22603,-0.19730548,10.592607,609.33954,32.132848,654.06833,0.0018341165,112.07216,0.36795655,7.7873121,304.57987,2.4347579,391.95807,5.9267525e-11,-45.588608,-0.14967702,21.204511,304.57987,-17.334963,391.95807,0.0097895014,7.0920109,0.011062408,7.8289249,641.09107,2.5075071,655.1817,0.85069679,-50.015062,-0.078015533,21.331303,641.09107,-17.395274,655.1817,0.18370321,-18.729489,-0.029215021,0.39681839,641.09107,0.25588536,655.1817,0.61905415,-83.509547,-0.14103021,29.200952,592.13941,-42.900102,622.91338,0.01842897,-158.38786,-0.24705984,0.0012005324,641.09107,0.0022212178,655.1817,1.954469e-05,258.68311,0.40350447,6.5419151,641.09107,-3.622356,655.1817,7.3489123e-13,5553.0444,272385.21,1.2246482,391.40711,1,4
1.1014473,0.1758388,10.811207,6.2639605,32.006006,2.3422667,0.0052107951,2.4758241,0.12516332,10.811207,19.780748,32.006006,-16.873586,0.047607179,0.092756268,0.24091168,10.811207,0.38502188,32.006006,0.2525571,0.00011590337,3.5564968,0.12500788,10.811207,28.450181,32.006006,-41.83338,0.047886001,-4.2764587e-05,-0.03629707,6.6695475,0.0011781829,2.6231038,0.0021647782,0.53391483,-0.00010482674,-0.088973235,0.3854059,0.0011781829,0.2540769,0.0021647782,0.12668469,-1.8913209,-0.28454622,19.410274,6.6467969,-16.467165,-3.9957603,6.4215887e-07,-138.64958,-0.20250195,10.413546,684.68269,32.151087,666.71522,0.001439928,134.89815,0.43999781,6.6695475,306.58823,2.6231038,393.05739,1.9103549e-15,-32.36579,-0.10556762,19.410274,306.58823,-16.467165,393.05739,0.069733149,56.952259,0.080677188,6.7051292,705.92767,2.7040484,665.36571,0.17062954,-53.505543,-0.075794654,19.515171,705.92767,-16.554804,665.36571,0.19808944,-3.2533476,-0.0046086132,0.38077033,705.92767,0.24983656,665.36571,0.93771405,-66.085474,-0.099898781,28.603132,661.52433,-42.204953,632.00106,0.097059039,-170.72389,-0.24184332,0.0011823907,705.92767,0.0021780077,665.36571,3.1462774e-05,281.82548,0.39922713,6.6160833,705.92767,-3.8637112,665.36571,1.6042224e-12,5445.0193,272135.61,1.2250099,394.3863,1,5
0.62145777,0.075644882,10.674781,8.2154635,31.965616,1.5320366,0.23430008,1.9851255,0.098091443,10.674781,20.2375,31.965616,-16.820511,0.1226383,0.097650355,0.24487361,10.674781,0.39877859,31.965616,0.26297844,9.4536567e-05,2.5114447,0.088143244,10.674781,28.492764,31.965616,-42.312023,0.16557029,-0.00029083933,-0.2608877,8.0712308,0.0011148066,1.7019776,0.0021487534,6.0339156e-06,-5.9162362e-05,-0.05306962,0.3915687,0.0011148066,0.25615215,0.0021487534,0.36538035,-1.6675469,-0.25132135,19.714625,6.6351182,-16.591523,-4.1650234,1.3390959e-05,-115.24007,-0.1904222,10.293422,605.18193,32.222961,625.14857,0.0028787109,101.38478,0.33451419,8.0712308,303.08066,1.7019776,391.55199,4.3188166e-09,-27.276095,-0.08999616,19.714625,303.08066,-16.591523,391.55199,0.12428802,78.013406,0.12112666,8.1401424,644.06471,1.7582328,630.984,0.040304302,-28.510695,-0.044266818,19.842435,644.06471,-16.724669,630.984,0.45505093,-3.468599,-0.0053854821,0.39490522,644.06471,0.25931595,630.984,0.92762104,-68.661393,-0.11664386,28.657215,588.6413,-42.666117,595.63245,0.053785429,-158.7756,-0.2465212,0.0011162505,644.06471,0.0021635833,630.984,2.4056864e-05,285.4465,0.44319538,6.6230823,644.06471,-4.0706555,630.984,3.0763825e-15,5408.9582,271906.82,1.2255653,396.13106,1,6
0.8603295,0.10101156,10.689234,8.5171386,31.925261,2.9459258,0.11256785,2.0318146,0.10771545,10.689234,18.862796,31.925261,-14.719615,0.090519624,0.079519369,0.19447243,10.689234,0.4088979,31.925261,0.27737549,0.0020944051,4.4832991,0.15364803,10.689234,29.179021,31.925261,-38.673712,0.015442768,-3.388108e-05,-0.031840791,8.5429283,0.0010640778,3.0235294,0.0021282683,0.58788786,-0.00011512988,-0.10819686,0.40221279,0.0010640778,0.26264882,0.0021282683,0.06483963,-1.7493279,-0.26757691,18.486611,6.5376638,-14.692415,-4.3732154,3.5250973e-06,-125.60978,-0.20651055,10.321803,608.24869,32.162669,616.51914,0.0012638625,91.811145,0.31277422,8.5429283,293.53808,3.0235294,387.67306,4.7789505e-08,-12.573337,-0.04283375,18.486611,293.53808,-14.692415,387.67306,0.46591686,16.499087,0.025595995,8.6272441,644.59642,3.0811321,617.82641,0.66699083,-20.290957,-0.031478544,18.618361,644.59642,-14.858473,617.82641,0.59665655,24.260546,0.037636798,0.40358109,644.59642,0.26310256,617.82641,0.52685502,-51.730984,-0.087301549,29.386314,592.55517,-39.119768,583.86897,0.15102335,-161.27272,-0.25019177,0.0010664385,644.59642,0.0021430255,617.82641,1.9258608e-05,277.77456,0.43092787,6.5399038,644.59642,-4.265212,617.82641,2.5757282e-14,5357.5638,271685.5,1.2266957,391.74152,1,7
2.2216813,0.22840555,10.776364,9.7269148,31.877995,8.3186134,0.00025593406,-1.5052295,-0.087308935,10.776364,17.240269,31.877995,4.4805922,0.16705289,0.083075827,0.19617524,10.776364,0.42347764,31.877995,0.53152631,0.0017530435,6.5618002,0.20558942,10.776364,31.917014,31.877995,2.4730899,0.0010287635,-4.7505208e-05,-0.040632219,10.202441,0.0011691512,7.7721097,0.0021824942,0.48470104,8.9909265e-06,0.0076901313,0.42191326,0.0011691512,0.49148086,0.0021824942,0.89482904,-1.9142758,-0.29323612,17.050585,6.5281035,4.0012722,-3.957461,2.5428368e-07,-128.94525,-0.22514361,10.374158,572.72446,32.338181,625.62795,0.00037218856,26.947632,0.094223582,10.202441,285.99669,7.7721097,391.85291,0.10451917,6.1262525,0.021420712,17.050585,285.99669,4.0012722,391.85291,0.71267417,-1.2732327,-0.002086691,10.144031,610.16832,7.9989674,623.02629,0.97172641,73.618248,0.12065236,17.148935,610.16832,3.9625181,623.02629,0.039701991,-36.336076,-0.059550906,0.42091933,610.16832,0.49483117,623.02629,0.3113522,-68.485902,-0.12185723,29.98739,562.01753,2.6214332,596.2162,0.042714034,-164.97769,-0.27038063,0.0011686812,610.16832,0.0021961948,623.02629,2.8694072e-06,234.51046,0.38433732,6.5355598,610.16832,-3.9370088,623.02629,1.1160315e-11,5490.4871,271995.8,1.2262182,392.20267,1,8
