SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.96645863,0.13275321,7.9116934,7.280115,27.24848,7.4865096,0.029190894,0.2272045,0.021218396,7.9023754,10.707902,27.266135,-3.8711486,0.72804788,0.024995922,0.10896916,7.9116934,0.22938529,27.24848,0.472278,0.073846155,,,,,,,,0.00025429048,0.25352006,7.280115,0.0010030389,7.4865096,0.002237844,2.4922028e-05,0.00010339496,0.10308171,0.22938529,0.0010030389,0.472278,0.002237844,0.090941354,-0.78826655,-0.14544272,10.707902,5.419773,-3.8711486,-5.4123216,0.016576175,-66.940825,-0.30670902,2.3099582,218.25516,29.939577,387.12714,0.00011524496,103.46638,0.36046369,7.280115,287.0369,7.4865096,566.789,1.0481377e-09,22.000709,0.076432033,10.707902,287.84671,-3.8711486,565.10262,0.20975132,65.774022,0.31383662,7.8503801,209.58045,8.8455815,401.82257,0.0001084585,-29.877322,-0.14128941,12.237296,211.46186,-2.8476883,399.10755,0.086732894,-22.838996,-0.10897484,0.2464287,209.58045,0.49684165,401.82257,0.18888426,,,,,,,,-103.8684,-0.47590354,0.0012456672,218.25516,0.0023952224,387.12714,5.0632198e-10,-34.037173,-0.15595129,6.0805744,218.25516,-5.0757875,387.12714,0.054231068,5988.0561,270692.05,1.2120699,607.50785,1,daily
0.40786543,0.038289941,7.7802619,10.652026,27.23124,3.6382395,0.56688699,-0.70624885,-0.048369077,8.1088045,14.601247,26.918055,-9.4332594,0.44826378,0.045344145,0.093264573,7.7802619,0.48618831,27.23124,0.42198562,0.1623093,,,,,,,,-2.7793206e-05,-0.029441621,10.652026,0.00094401071,3.6382395,0.002119582,0.6597591,1.2528881e-05,0.013271969,0.48618831,0.00094401071,0.42198562,0.002119582,0.84271348,-1.5213864,-0.25548489,14.601247,5.9548976,-9.4332594,-6.5519788,4.684882e-05,-75.299644,-0.29031208,2.5083936,259.37482,29.955724,323.6056,0.00043609084,140.53857,0.38293782,10.652026,367.00102,3.6382395,479.3089,2.6266019e-09,-60.103552,-0.16517282,14.601247,363.88282,-9.4332594,459.12661,0.009162615,165.139,0.64662782,11.683974,255.38493,4.5993598,368.04243,1.1349927e-15,-152.27273,-0.5958129,17.222608,255.57139,-9.887882,354.05512,1.1813491e-13,0.93198926,0.003649351,0.49203656,255.38493,0.4414464,368.04243,0.96831133,,,,,,,,-86.609235,-0.33391535,0.0013099229,259.37482,0.0023818652,323.6056,4.5893778e-05,6.7133356,0.025882757,6.6948885,259.37482,-5.5987249,323.6056,0.7589593,5954.663,270164.7,1.2222531,511.80604,1,0
0.51911702,0.056130898,7.8871977,9.2483291,27.065256,3.0677566,0.41065987,-1.5976311,-0.10789288,8.1960428,14.807567,26.78029,-9.3135681,0.095392323,0.026513184,0.057723762,7.8871977,0.45931143,27.065256,0.40293002,0.39748654,,,,,,,,0.0001325968,0.14007591,9.2483291,0.00094660671,3.0677566,0.0020936876,0.039235838,-7.8127526e-06,-0.0082534304,0.45931143,0.00094660671,0.40293002,0.0020936876,0.90378571,-1.9669416,-0.3283424,14.807567,5.9905196,-9.3135681,-6.8070478,1.9386331e-07,-69.150531,-0.28875323,2.4705873,239.47968,29.903004,307.72,0.00059322937,186.20271,0.50337447,9.2483291,369.90893,3.0677566,476.16266,2.4291621e-15,-19.622537,-0.053543504,14.807567,366.47839,-9.3135681,450.83595,0.4089435,138.09517,0.59702445,10.708178,231.30571,3.8463846,351.7736,2.3702501e-12,-110.90644,-0.47722978,17.348597,232.3963,-9.6175718,342.41885,2.7347052e-08,12.271865,0.053054743,0.47127962,231.30571,0.44060109,351.7736,0.57505534,,,,,,,,-83.511951,-0.3487225,0.001300319,239.47968,0.0023963744,307.72,2.7692742e-05,-5.7325126,-0.023937366,6.7353138,239.47968,-5.6703918,307.72,0.78048847,5990.936,270095.07,1.2237871,495.7325,1,1
-0.73271275,-0.070125688,7.6812512,10.448564,27.275415,3.5475628,0.31772776,-1.8206617,-0.12933883,8.2142514,14.076682,26.755396,-9.0223116,0.045776928,0.042294895,0.087084483,7.6812512,0.48567659,27.275415,0.43640637,0.21438566,,,,,,,,1.3872085e-06,0.0014316265,10.448564,0.00096897373,3.5475628,0.0021160324,0.98374627,4.9981194e-06,0.0051581578,0.48567659,0.00096897373,0.43640637,0.0021160324,0.94148585,-1.7298527,-0.28437708,14.076682,6.0829542,-9.0223116,-6.828157,7.9746858e-06,-71.569048,-0.29809077,2.5207904,240.09146,29.913263,301.8807,0.00044562815,134.07574,0.36720902,10.448564,365.12105,3.5475628,461.209,6.0986428e-08,-33.122994,-0.092269406,14.076682,358.98133,-9.0223116,434.6255,0.15502419,127.77117,0.5470548,9.4988072,233.56191,4.2819057,349.03972,6.2684427e-10,-119.55961,-0.51085889,15.541841,234.03646,-9.3506796,334.12152,2.4997152e-09,-5.0925971,-0.021804056,0.49935921,233.56191,0.48658792,349.03972,0.82112568,,,,,,,,-81.628373,-0.33998866,0.0012875922,240.09146,0.0024032021,301.8807,5.4733958e-05,-4.2600286,-0.017743358,6.8022988,240.09146,-5.6874844,301.8807,0.83815173,6008.0052,270095.14,1.2249808,479.40554,1,2
0.32507999,0.013851832,7.5571007,23.468375,27.359707,5.1841467,0.84449361,-1.7626567,-0.11538118,8.2348969,15.276813,26.745309,-9.1259151,0.076261056,0.034351937,0.067694583,7.5571007,0.50745474,27.359707,0.4625423,0.33723405,,,,,,,,4.4302886e-05,0.049656597,23.468375,0.0008921853,5.1841467,0.0020875192,0.48170503,7.1405042e-05,0.08003387,0.50745474,0.0008921853,0.4625423,0.0020875192,0.25633871,-1.8657441,-0.3043792,15.276813,6.12967,-9.1259151,-6.9154495,1.798286e-06,-61.312034,-0.2603236,2.483478,235.52238,29.872318,301.07218,0.0023832239,51.211527,0.13903465,23.468375,368.33645,5.1841467,458.68748,0.047892035,-43.596151,-0.12146221,15.276813,358.9277,-9.1259151,424.43052,0.06191295,121.28184,0.53045091,9.1620377,228.63914,4.2156296,347.37945,2.5178769e-09,-115.32543,-0.50337853,16.719188,229.10279,-10.435826,333.28862,5.380798e-09,3.466357,0.015160821,0.51878698,228.63914,0.49041945,347.37945,0.87508674,,,,,,,,-81.211627,-0.34481491,0.0012790188,235.52238,0.0024000447,301.07218,4.5040346e-05,-5.2660762,-0.022359133,6.8526312,235.52238,-5.7189302,301.07218,0.79761659,6000.1118,270055.96,1.225508,475.62153,1,3
0.83892792,0.1167597,7.0067372,7.1850814,27.790109,3.0347025,0.10138832,-1.3841418,-0.098181486,8.1549897,14.097788,26.838171,-8.8748385,0.13177555,0.045897582,0.09720091,7.0067372,0.47219292,27.790109,0.41884,0.17310128,,,,,,,,-7.6892961e-06,-0.0080396808,7.1850814,0.00095641808,3.0347025,0.002105058,0.91049525,4.9363567e-06,0.0051612958,0.47219292,0.00095641808,0.41884,0.002105058,0.94246939,-1.3222897,-0.21781321,14.097788,6.0707505,-8.8748385,-6.9203176,0.0007352421,-63.040465,-0.27406235,2.4801331,230.02235,29.871828,296.98237,0.001353623,141.88574,0.39884424,7.1850814,355.74223,3.0347025,449.09459,5.883896e-09,-23.404624,-0.067409382,14.097788,347.20128,-8.8748385,413.45073,0.3013964,124.75667,0.56092154,7.9027769,222.41377,3.6788499,348.58326,3.30323e-10,-108.22901,-0.48409268,15.668352,223.57084,-9.8975631,327.26336,2.1230407e-08,16.906861,0.076015354,0.49067201,222.41377,0.44333086,348.58326,0.43645099,,,,,,,,-85.845639,-0.37320564,0.0012615475,230.02235,0.0023943292,296.98237,8.9441748e-06,-13.279516,-0.057731417,6.754913,230.02235,-5.7568898,296.98237,0.50759866,5985.823,270031.25,1.2252458,476.70444,1,4
0.54407972,0.057641397,7.2677313,9.4390446,27.484637,3.0990756,0.42227227,-1.4640173,-0.10345075,8.147429,14.151828,26.822904,-8.7341968,0.11218494,0.028147429,0.057859568,7.2677313,0.48647838,27.484637,0.44383365,0.42051517,,,,,,,,5.9390369e-05,0.068306226,9.4390446,0.00086947226,3.0990756,0.0020712215,0.34146123,-3.3298509e-05,-0.03829738,0.48647838,0.00086947226,0.44383365,0.0020712215,0.59408245,-1.6556355,-0.27504317,14.151828,6.0195477,-8.7341968,-7.006897,1.7471355e-05,-66.266841,-0.30076623,2.4132385,220.32674,29.86263,293.55384,0.00041379359,115.57099,0.33017363,9.4390446,350.03096,3.0990756,446.83422,2.2889859e-06,-13.96318,-0.040453899,14.151828,345.16277,-8.7341968,415.21945,0.53542838,78.590088,0.37677219,10.227166,208.58781,5.081245,351.10062,8.0736932e-05,-84.456354,-0.40100367,15.039931,210.61242,-9.1493454,327.13136,6.2008187e-06,11.608955,0.055654999,0.49920735,208.58781,0.47599088,351.10062,0.57469715,,,,,,,,-85.836668,-0.38958807,0.0012655714,220.32674,0.0023899858,293.55384,3.2754898e-06,-20.550748,-0.093273966,6.7741408,220.32674,-5.8264061,293.55384,0.2837436,5974.9644,269964.37,1.2256686,472.67324,1,5
0.98722522,0.12680437,7.6093858,7.7854195,27.333522,3.6101042,0.075793498,-1.4923808,-0.11100599,8.2762913,13.444147,26.703645,-7.4814951,0.089532864,-0.010957622,-0.023079293,7.6093858,0.47478153,27.333522,0.41082711,0.74751727,,,,,,,,6.3319468e-05,0.07274757,7.7854195,0.00087039977,3.6101042,0.0020973542,0.30967237,-1.5018194e-05,-0.017254364,0.47478153,0.00087039977,0.41082711,0.0020973542,0.80982384,-2.0387518,-0.33621463,13.444147,6.0638404,-7.4814951,-7.1058162,1.283875e-07,-65.13626,-0.30042453,2.4577364,216.81405,29.877264,292.90581,0.00046526412,172.60561,0.49584841,7.7854195,348.10158,3.6101042,443.97635,1.2756997e-13,-10.16767,-0.029640943,13.444147,343.02789,-7.4814951,411.57095,0.65122322,88.821944,0.43089959,8.6666977,206.13142,4.7969832,343.00566,4.4628639e-06,-84.553544,-0.41065649,14.881892,205.89847,-8.4278367,329.05651,4.6798607e-06,14.133219,0.068564117,0.48302575,206.13142,0.40859764,343.00566,0.48706691,,,,,,,,-86.902589,-0.40081622,0.0012624022,216.81405,0.0023934232,292.90581,1.9124772e-06,-23.020175,-0.10617474,6.8465243,216.81405,-5.8359172,292.90581,0.22563459,5983.558,269949.56,1.2266754,462.37058,1,6
-0.088387289,-0.0095737057,7.5404459,9.2322964,27.393558,3.2389878,0.89542272,-1.098864,-0.088572818,8.2735913,12.406334,26.653598,-7.2764107,0.1769187,-0.011375347,-0.023482381,7.5404459,0.48442049,27.393558,0.42176894,0.747114,,,,,,,,-1.5206611e-06,-0.001761848,9.2322964,0.00086310575,3.2389878,0.0021238185,0.98070153,3.4360337e-05,0.039810113,0.48442049,0.00086310575,0.42176894,0.0021238185,0.58452167,-1.8477822,-0.30350514,12.406334,6.0881414,-7.2764107,-7.2350431,2.2460981e-06,-66.775905,-0.32134048,2.4293691,207.80421,29.83202,284.96786,0.0001822587,109.52226,0.31531861,9.2322964,347.3384,3.2389878,447.87187,8.8689264e-06,-17.789134,-0.052204387,12.406334,340.75937,-7.2764107,405.83148,0.42670697,82.44053,0.4136857,9.1726613,199.28301,4.4411685,337.72253,1.884733e-05,-79.302448,-0.40250361,13.525081,197.02295,-7.5884244,320.04626,8.221472e-06,20.042286,0.10057198,0.50183805,199.28301,0.42547736,337.72253,0.31944336,,,,,,,,-86.166395,-0.41465182,0.0012705276,207.80421,0.0023828898,284.96786,8.482183e-07,-27.62998,-0.1329616,6.8638244,207.80421,-5.9717782,284.96786,0.13003596,5957.2245,269795.18,1.2280279,453.34514,1,7
-0.21249731,-0.024974366,7.5551774,8.5086167,27.35979,4.5349539,0.73232864,-1.1948043,-0.0998566,8.2956046,11.965201,26.605506,-6.4383817,0.12938083,-0.027189653,-0.05450051,7.5551774,0.49888804,27.35979,0.47643217,0.4551628,,,,,,,,2.6964516e-05,0.031449663,8.5086167,0.0008573865,4.5349539,0.0021235295,0.66665045,8.4081518e-05,0.098067229,0.49888804,0.0008573865,0.47643217,0.0021235295,0.17827343,-1.8671707,-0.31081862,11.965201,6.0072679,-6.4383817,-7.1496364,1.3734871e-06,-59.250351,-0.28961383,2.3860701,204.58399,29.793805,288.03536,0.00087156616,142.34611,0.40106994,8.5086167,354.91591,4.5349539,477.55899,9.7821452e-09,-31.525194,-0.09010207,11.965201,349.88313,-6.4383817,437.62352,0.17138574,95.213358,0.49284436,8.8586874,193.19153,5.5606001,343.45658,2.1929465e-07,-73.330678,-0.37848396,12.440674,193.74844,-7.0488419,322.75255,3.5734233e-05,-9.4622247,-0.048978465,0.50381222,193.19153,0.47225025,343.45658,0.63021129,,,,,,,,-85.523767,-0.41803745,0.0012869135,204.58399,0.0023874041,288.03536,8.2470871e-07,-26.792127,-0.13095906,6.849632,204.58399,-5.9219026,288.03536,0.13905741,5968.5103,269823.04,1.2254965,484.85526,1,8
