SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
2.6221153,0.15265684,2.1211024,17.176534,23.217407,5.5660808,0.029678536,-0.79661046,-0.077249453,2.0859274,10.312183,23.321659,-4.2534179,0.24118684,0.0310236,0.12987001,2.1211024,0.23888195,23.217407,0.49912942,0.06478115,,,,,,,,8.896982e-05,0.090030308,17.176534,0.00098822076,5.5660808,0.0021206549,0.20145787,5.9859229e-05,0.06057273,0.23888195,0.00098822076,0.49912942,0.0021206549,0.39062314,-1.2625163,-0.21955164,10.312183,5.7504298,-4.2534179,-5.9808085,0.00075928316,-42.668073,-0.20237671,1.6661652,210.8349,23.776975,410.38458,0.013635558,-2.1252397,-0.0079824607,17.176534,266.23867,5.5660808,569.02393,0.91000515,0.44005377,0.0015917433,10.312183,276.46026,-4.2534179,573.22507,0.98076186,58.572351,0.28072153,7.2079898,208.6493,8.3520886,434.55709,0.0023746895,-23.546148,-0.11554443,10.942906,203.78437,-3.9603799,420.88257,0.16787241,-31.994394,-0.15334052,0.2357965,208.6493,0.48943003,434.55709,0.10181415,,,,,,,,-92.668868,-0.43953286,0.0013171349,210.8349,0.0023198004,410.38458,2.2848836e-08,-29.746894,-0.14109094,6.3560901,210.8349,-5.4929311,410.38458,0.087181049,5799.501,270346.79,1.2116569,607.88042,1,daily
-1.5624412,-0.054281081,2.1563906,28.784268,23.284084,5.7420295,0.48203356,-0.95908839,-0.077519563,2.0596241,12.372211,23.32153,-9.2844137,0.25331293,0.033168144,0.066700244,2.1563906,0.4972717,23.284084,0.44025879,0.38747179,,,,,,,,-7.6913643e-05,-0.085784009,28.784268,0.00089659651,5.7420295,0.0020268815,0.26601511,8.9287026e-05,0.0995844,0.4972717,0.00089659651,0.44025879,0.0020268815,0.19633766,-1.6148128,-0.25982894,12.372211,6.2149074,-9.2844137,-7.125079,0.00010018785,-22.603002,-0.096759677,1.8004767,233.5994,23.871472,338.03087,0.24530432,-16.94163,-0.049576705,28.784268,341.72562,5.7420295,482.1786,0.52085565,-63.779673,-0.1805425,12.372211,353.26681,-9.2844137,472.07334,0.0073943519,149.27784,0.63471909,8.668975,235.18726,3.7330499,377.74362,7.8646164e-13,-100.47494,-0.44811724,13.580695,224.21574,-10.091535,359.72665,5.0359604e-08,-22.703621,-0.096534232,0.49352281,235.18726,0.40013428,377.74362,0.33445032,,,,,,,,-72.007038,-0.3082501,0.0013113703,233.5994,0.0022640091,338.03087,0.00015359681,7.1058351,0.030418893,6.8857058,233.5994,-6.2379107,338.03087,0.71550115,5660.0227,269582.56,1.2226328,510.90566,1,0
1.6060308,0.050622664,2.145977,31.725528,23.268984,2.9804291,0.51335042,-1.2779905,-0.10008819,2.0064476,12.768644,23.272457,-10.188489,0.14167875,0.034568039,0.069615224,2.145977,0.49655861,23.268984,0.44970613,0.36845403,,,,,,,,-1.3608579e-05,-0.014993255,31.725528,0.0009076467,2.9804291,0.0020386498,0.84658573,8.9744482e-05,0.098876007,0.49655861,0.0009076467,0.44970613,0.0020386498,0.20090242,-1.4968631,-0.24288055,12.768644,6.1629598,-10.188489,-7.3067768,0.00030452845,-23.263701,-0.1012186,1.8166502,229.83622,23.854787,325.5785,0.22412165,-0.85967394,-0.0024955476,31.725528,344.48309,2.9804291,489.05757,0.97431145,-45.316974,-0.12631391,12.768644,358.76471,-10.188489,479.55622,0.063251469,104.88688,0.45861019,8.2166764,228.70595,4.2406044,363.18312,1.4139576e-06,-99.880704,-0.45327247,13.822555,220.35467,-11.132838,350.89344,3.3807921e-08,-19.718695,-0.086218551,0.50217858,228.70595,0.4331843,363.18312,0.39128009,,,,,,,,-67.528306,-0.29381055,0.0012683069,229.83622,0.0022447958,325.5785,0.00031896727,8.0207746,0.034897784,6.9052165,229.83622,-6.4342512,325.5785,0.67581958,5611.9896,269397.69,1.2227056,512.88556,1,1
1.88339,0.12626711,2.1414984,14.915919,23.26472,1.4094603,0.10607812,-0.7763594,-0.062098606,1.9739263,12.502042,23.201677,-8.8887493,0.36600783,0.066426333,0.13745913,2.1414984,0.48324426,23.26472,0.44237054,0.078299611,,,,,,,,1.2567985e-05,0.014189913,14.915919,0.00088569852,1.4094603,0.0019829117,0.85644909,0.00010645746,0.12019605,0.48324426,0.00088569852,0.44237054,0.0019829117,0.12410017,-1.3310003,-0.21480688,12.502042,6.1962647,-8.8887493,-7.5127771,0.0015726629,-19.389539,-0.084715188,1.7800957,228.87914,23.810118,320.37783,0.30932099,26.29107,0.075216597,14.915919,349.53815,1.4094603,481.67774,0.33695933,-35.840461,-0.10187762,12.502042,351.79915,-8.8887493,466.65941,0.13741669,90.544852,0.39154542,9.0705719,231.24993,3.2682059,364.09727,6.1343581e-05,-96.704025,-0.43738969,13.485667,221.09352,-9.7749936,347.76798,1.5709266e-07,-13.421535,-0.058039086,0.49024589,231.24993,0.43804,364.09727,0.56825128,,,,,,,,-69.661514,-0.30435939,0.0012577049,228.87914,0.0022331188,320.37783,0.00018772513,3.4341223,0.015004086,6.9205687,228.87914,-6.5586888,320.37783,0.85735132,5582.7971,269269.77,1.2234485,507.69405,1,2
2.7822624,0.18282708,2.1412292,15.217999,23.269767,0.48085186,0.021913555,-0.6099015,-0.047989307,2.0221636,12.709113,23.234687,-8.4274647,0.48601495,0.12718709,0.25845892,2.1412292,0.49209788,23.269767,0.47036143,0.0010818922,,,,,,,,9.9123479e-05,0.11346668,15.217999,0.00087359111,0.48085186,0.0019899162,0.15708432,0.00011792999,0.1349945,0.49209788,0.00087359111,0.47036143,0.0019899162,0.091856569,-1.5125417,-0.24177876,12.709113,6.2558916,-8.4274647,-7.5489,0.00036964638,-22.900525,-0.10097933,1.7437576,226.78429,23.766569,315.81633,0.22848451,40.557062,0.11615807,15.217999,349.15406,0.48085186,482.40023,0.14741173,-37.719354,-0.10546208,12.709113,357.65799,-8.4274647,462.96939,0.12493294,122.84244,0.53816393,7.5032683,228.26213,3.6505767,363.66958,1.8592714e-08,-112.25718,-0.51819065,13.760649,216.63297,-8.9913466,345.10331,2.3104826e-10,-37.387676,-0.16379273,0.50874599,228.26213,0.48721143,363.66958,0.11272767,,,,,,,,-69.991866,-0.30862749,0.0012605316,226.78429,0.0022345827,315.81633,0.000167517,3.1042051,0.013687919,7.01068,226.78429,-6.6179434,315.81633,0.87065142,5586.4567,269206.38,1.2244795,497.85023,1,3
1.0952779,0.063263413,2.1344119,17.312975,23.264486,0.8380921,0.42823178,-0.25724484,-0.021093479,2.0260937,12.195467,23.21742,-8.6337096,0.75955003,0.061960757,0.12969112,2.1344119,0.47775634,23.264486,0.45166225,0.10324352,,,,,,,,2.639657e-05,0.029315868,17.312975,0.00090041918,0.8380921,0.0020013563,0.71375239,0.00010301756,0.11441067,0.47775634,0.00090041918,0.45166225,0.0020013563,0.15100221,-1.174049,-0.1896142,12.195467,6.191778,-8.6337096,-7.6249021,0.005498569,-31.340274,-0.1400378,1.7444955,223.79868,23.748672,311.21375,0.09411738,-8.6622788,-0.024765561,17.312975,349.77115,0.8380921,471.50956,0.75666331,-48.46389,-0.13600504,12.195467,356.33892,-8.6337096,459.93702,0.047426747,114.48198,0.51527588,6.1762565,222.17609,3.2611564,356.97324,7.7947694e-08,-115.17504,-0.539392,13.10249,213.52752,-9.1543273,340.30378,2.9858274e-11,-29.235624,-0.13158762,0.47454556,222.17609,0.4210816,356.97324,0.20126138,,,,,,,,-77.629677,-0.34687281,0.0012472648,223.79868,0.0022320646,311.21375,2.0515783e-05,-8.4749252,-0.037868521,6.919217,223.79868,-6.6597446,311.21375,0.65226095,5580.1614,269175,1.2239097,503.1742,1,4
1.5039233,0.057443112,2.0322317,26.18109,23.2723,0.95348105,0.47628988,-1.1046478,-0.095550375,1.9665636,11.560895,23.152588,-7.6059678,0.16569112,0.042716214,0.090382737,2.0322317,0.47261475,23.2723,0.42929961,0.26182022,,,,,,,,-2.9943971e-05,-0.034254991,26.18109,0.00087414914,0.95348105,0.001960876,0.67118051,5.8218974e-05,0.066600733,0.47261475,0.00087414914,0.42929961,0.001960876,0.40876411,-1.3757366,-0.21906408,11.560895,6.2800648,-7.6059678,-7.9001304,0.0013280825,-31.223716,-0.14368992,1.7350649,217.29927,23.727854,306.75529,0.088009276,-7.2814543,-0.020551348,26.18109,354.30544,0.95348105,474.80789,0.79899441,-57.289193,-0.16006981,11.560895,357.90131,-7.6059678,453.71259,0.019704448,103.1225,0.4788943,7.8378648,215.33458,3.8989029,365.31444,9.1453793e-07,-107.0309,-0.51802793,12.407582,206.61222,-8.1374799,335.77138,3.2302705e-10,-16.274302,-0.075576815,0.4668101,215.33458,0.38774819,365.31444,0.46666136,,,,,,,,-77.221119,-0.35536759,0.0012485082,217.29927,0.0022157361,306.75529,1.4262434e-05,-13.20528,-0.060770017,6.9562065,217.29927,-6.8195304,306.75529,0.47249707,5539.3402,269016.52,1.2241973,503.08187,1,5
1.7207127,0.097698671,2.0489611,17.612447,23.277195,0.36158053,0.22804247,-1.2924264,-0.10780592,2.0813923,11.988454,23.231529,-7.145234,0.11935797,0.062781032,0.13376158,2.0489611,0.46935025,23.277195,0.44781216,0.098157131,,,,,,,,6.0990884e-06,0.006870031,17.612447,0.00088778179,0.36158053,0.0019578115,0.93261022,-5.6502441e-06,-0.0063644514,0.46935025,0.00088778179,0.44781216,0.0019578115,0.93755913,-1.9987833,-0.30803737,11.988454,6.4887688,-7.145234,-7.9002288,5.4073704e-06,-28.986642,-0.1423067,1.7130636,203.69133,23.70093,301.58816,0.093494198,15.36536,0.043127558,17.612447,356.27708,0.36158053,478.35735,0.59535942,-47.217163,-0.13098896,11.988454,360.46673,-7.145234,453.59786,0.058085293,83.144553,0.41355065,7.1806215,201.05047,4.2468603,359.99394,3.4290015e-05,-100.11826,-0.51443328,12.759095,194.61856,-7.376781,325.09222,4.4837336e-10,-21.917551,-0.10901517,0.47493711,201.05047,0.44339842,359.99394,0.29559776,,,,,,,,-69.044035,-0.33896403,0.0012089492,203.69133,0.0021848992,301.58816,4.1913265e-05,-12.926413,-0.063460788,7.0100393,203.69133,-7.0298683,301.58816,0.4563337,5462.2481,268793.22,1.2252101,498.99771,1,6
1.966587,0.11496845,2.1227056,17.105449,23.299133,0.92091789,0.15981864,-0.75727567,-0.064108761,2.0203157,11.812358,23.184756,-6.9664395,0.35876362,0.068958416,0.14423362,2.1227056,0.47810224,23.299133,0.43438933,0.077245803,,,,,,,,-9.5158121e-06,-0.010517978,17.105449,0.00090471878,0.92091789,0.0019534291,0.89800922,0.00010282469,0.11365376,0.47810224,0.00090471878,0.43438933,0.0019534291,0.1646802,-1.809754,-0.2824657,11.812358,6.4069866,-6.9664395,-7.9772412,3.729115e-05,-31.21655,-0.15466631,1.6821758,201.83161,23.673598,301.00614,0.069067488,-17.863282,-0.049076052,17.105449,363.99183,0.92091789,480.08858,0.54956902,-28.225237,-0.077966721,11.812358,362.01646,-6.9664395,458.41273,0.26414241,97.12536,0.49612418,6.7889394,195.76825,3.9418638,365.79852,5.7058001e-07,-108.07794,-0.56284773,13.191563,192.01986,-7.2780688,326.52751,5.6816394e-12,-5.5989928,-0.028600107,0.47559704,195.76825,0.41822596,365.79852,0.78784415,,,,,,,,-68.305091,-0.33842614,0.0012173983,201.83161,0.0021775838,301.00614,4.6042026e-05,-12.858062,-0.063706878,7.0908194,201.83161,-7.1092124,301.00614,0.45623076,5443.9595,268691.53,1.2259525,496.49072,1,7
2.8543921,0.14659167,2.0937531,19.471721,23.262243,0.55625136,0.071524545,-0.54377955,-0.047525616,2.0045079,11.44182,23.172243,-5.9653419,0.49754747,0.051296118,0.10849072,2.0937531,0.47281573,23.262243,0.54905719,0.18336924,,,,,,,,5.0473501e-05,0.056230038,19.471721,0.00089762524,0.55625136,0.0019823939,0.49140721,7.3916799e-05,0.08234706,0.47281573,0.00089762524,0.54905719,0.0019823939,0.313178,-1.4901521,-0.24093923,11.44182,6.1847633,-5.9653419,-7.9494304,0.00048551719,-27.646297,-0.13847728,1.6621882,199.645,23.644162,305.1363,0.1040087,9.7965722,0.026706557,19.471721,366.82273,0.55625136,507.98149,0.74396985,-14.466796,-0.039524964,11.44182,366.01668,-5.9653419,485.31254,0.57271433,79.142817,0.41189133,7.5699133,192.1449,4.7689125,370.41742,5.4952134e-05,-92.429273,-0.4925335,11.686793,187.66089,-6.2216848,334.61108,5.3988755e-09,26.454697,0.13768097,0.47793477,192.1449,0.49868915,370.41742,0.19564095,,,,,,,,-68.476457,-0.34299109,0.0012149771,199.645,0.0021662635,305.1363,3.5745561e-05,-12.30167,-0.061617719,6.9737457,199.645,-7.103836,305.1363,0.47116355,5415.6586,268678.33,1.2239918,521.47108,1,8
