SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.031110906,-0.0023411434,1.4731563,13.288766,4.8345043,40.800963,0.98213323,0.55146696,0.031324737,1.4731563,17.604839,4.8345043,17.449677,0.76439486,-0.011530391,-0.069464502,1.4731563,0.16598969,4.8345043,0.33240637,0.50587369,-1.6990507,-0.07988528,1.4731563,21.268633,4.8345043,81.889927,0.44404655,0.00035079509,0.12975582,13.505386,0.0027035019,37.998995,0.0082747239,0.15430892,0.0013424688,0.49860419,0.16882134,0.0026924538,0.29859883,0.0083453537,1.6456845e-08,-1.6370202,-0.39920485,18.640554,4.1007023,17.70276,15.061117,1.0839096e-05,-37.091216,-0.16790853,1.4731563,220.90132,4.8345043,532.96762,0.10573609,9.8995578,0.040278136,13.505386,245.77994,37.998995,592.14443,0.65958552,-22.341795,-0.089925384,18.640554,248.44814,17.70276,593.3783,0.34135646,41.323936,0.18599037,13.505386,222.1832,37.998995,555.30378,0.04025571,46.241366,0.20307349,18.640554,227.70755,17.70276,552.84649,0.030237253,-71.21726,-0.31275758,0.16882134,227.70755,0.29859883,552.84649,0.00070418449,34.428914,0.15495733,20.921809,222.1832,80.558506,555.30378,0.088334378,-154.97599,-0.69751445,0.0027035019,222.1832,0.0082747239,555.30378,4.4187332e-19,-112.06608,-0.50438593,4.1371903,222.1832,14.940928,555.30378,3.1548303e-09,20686.81,287828.53,1.2156696,592.14443,1,daily
0.10706594,0.0044663139,1.4698729,23.97188,4.8246304,8.3577525,0.96629633,-2.8227383,-0.12471504,1.4698729,22.633504,4.8246304,-27.425199,0.23621517,-0.02165778,-0.058814161,1.4698729,0.3682409,4.8246304,0.20720827,0.57759921,2.3462961,0.11747739,1.4698729,19.97232,4.8246304,-25.062848,0.26473726,9.6781128e-05,0.033367927,21.192653,0.0029004238,6.5174143,0.0082897023,0.71635207,0.00037685957,0.13119132,0.34089771,0.0028725953,0.17523507,0.0083651727,0.16795956,0.86023824,0.17564628,20.615572,4.8975603,-27.802415,13.188281,0.063962505,-11.282458,-0.042733307,1.4698729,264.02024,4.8246304,315.36884,0.68587145,4.4896548,0.017149287,21.192653,261.79833,6.5174143,499.5257,0.8518976,-88.967173,-0.33783924,20.615572,263.34174,-27.802415,501.13893,0.00026951796,18.028396,0.063345151,21.192653,284.60578,6.5174143,307.95588,0.49003222,-143.67907,-0.50566842,20.615572,284.13693,-27.802415,312.15471,1.2938065e-08,-77.94502,-0.27432203,0.34089771,284.13693,0.17523507,312.15471,0.0034230384,-163.78358,-0.57547523,21.483117,284.60578,-28.443153,307.95588,5.0405044e-12,-132.34786,-0.46502169,0.0029004238,284.60578,0.0082897023,307.95588,7.7150191e-08,-56.526854,-0.19861457,4.9690813,284.60578,12.998574,307.95588,0.028970474,20724.256,285897.5,1.2276423,499.5257,1,0
1.350048,0.10153912,1.4893525,13.295841,4.8297554,5.8774659,0.33549485,-1.1230399,-0.051864585,1.4893525,21.653309,4.8297554,-27.553365,0.62342887,-0.031274078,-0.088134957,1.4893525,0.35484306,4.8297554,0.19905585,0.40347571,2.3861075,0.11560102,1.4893525,20.640886,4.8297554,-25.327592,0.27249742,-0.00019791884,-0.069116414,11.894847,0.0028635577,4.5998043,0.0082143024,0.45127549,0.0009219387,0.32461885,0.32812008,0.0028400652,0.16922247,0.0082730931,0.00047947772,1.0863527,0.22034889,19.783001,4.9301483,-28.124139,12.873576,0.019566204,-6.8310413,-0.026523151,1.4893525,257.55014,4.8297554,297.80405,0.80183968,47.731148,0.1799974,11.894847,265.17687,4.5998043,495.55302,0.048201666,-75.643156,-0.2853684,19.783001,265.07195,-28.124139,496.68848,0.0022895033,76.491891,0.28460147,11.894847,268.76843,4.5998043,286.40319,0.0015571591,-122.56091,-0.45310566,19.783001,270.49078,-28.124139,291.82539,5.2623662e-07,-54.153492,-0.20020458,0.32812008,270.49078,0.16922247,291.82539,0.034304482,-153.85782,-0.57245495,21.781316,268.76843,-28.223707,286.40319,6.8906306e-12,-117.76555,-0.43816735,0.0028635577,268.76843,0.0082143024,286.40319,4.9991725e-07,-48.235813,-0.17946979,4.9731573,268.76843,12.70926,286.40319,0.048872855,20535.756,285624.74,1.228382,495.55302,1,1
-0.77334519,-0.030482669,1.4982317,25.369996,4.8349348,8.3096356,0.77300312,-6.1572396,-0.23274684,1.4982317,26.454664,4.8349348,-28.256881,0.025571194,-0.060455151,-0.15834297,1.4982317,0.38179878,4.8349348,0.22811537,0.13167364,1.0727498,0.05107056,1.4982317,21.005248,4.8349348,-24.514717,0.62876226,0.00015405098,0.054989254,22.3988,0.0028014742,6.4179724,0.0080813476,0.54913511,0.00069928725,0.2529519,0.35381198,0.0027645068,0.19416024,0.0081206044,0.0071266339,0.67630061,0.13791266,24.084477,4.9038326,-28.768746,12.513866,0.14703184,-8.4333306,-0.032462171,1.4982317,259.78948,4.8349348,284.05153,0.75869878,15.790887,0.058723506,22.3988,268.90232,6.4179724,494.27858,0.52229874,-97.488794,-0.3624088,24.084477,269.00228,-28.768746,495.27879,8.6118727e-05,32.926355,0.12530432,22.3988,262.77111,6.4179724,271.8882,0.17086046,-134.66917,-0.50671664,24.084477,265.7682,-28.768746,277.98962,1.1938379e-08,-73.762961,-0.27754623,0.35381198,265.7682,0.19416024,277.98962,0.0030489425,-155.37186,-0.59128214,21.554621,262.77111,-27.637388,271.8882,9.304229e-13,-110.18874,-0.41933356,0.0028014742,262.77111,0.0080813476,271.8882,1.690052e-06,-37.008484,-0.14083924,4.9474856,262.77111,12.374653,271.8882,0.12335537,20203.369,285301.57,1.2290531,494.27858,1,2
-0.81573162,-0.055872534,1.4848484,14.599868,4.8332935,4.2479629,0.59680773,-0.046135778,-0.0021019663,1.4848484,21.948867,4.8332935,-26.793676,0.98413454,-0.048197328,-0.1161572,1.4848484,0.41493192,4.8332935,0.24928179,0.27018145,0.64682103,0.031010076,1.4848484,20.858415,4.8332935,-23.095027,0.76918432,-0.00034089411,-0.12299332,12.860889,0.0027716474,3.4153722,0.0079645376,0.17895098,0.00075042036,0.27739894,0.38560513,0.0027052027,0.20935693,0.0079922951,0.0030651954,0.99012123,0.20298591,20.05482,4.8777829,-27.438846,12.128915,0.031833047,-15.402235,-0.064012344,1.4848484,240.61351,4.8332935,260.63865,0.54437382,41.089746,0.15200037,12.860889,270.32663,3.4153722,492.07941,0.096045678,-106.0909,-0.39332575,20.05482,269.72783,-27.438846,492.40196,1.7858797e-05,43.772539,0.18067956,12.860889,242.26613,3.4153722,252.69328,0.047345233,-148.7624,-0.60597547,20.05482,245.49245,-27.438846,257.13651,1.4480166e-12,-70.805163,-0.28842094,0.38560513,245.49245,0.20935693,257.13651,0.0020428421,-156.97119,-0.64792875,20.776926,242.26613,-26.320021,252.69328,9.5335216e-16,-95.949,-0.39604792,0.0027716474,242.26613,0.0079645376,252.69328,6.9053417e-06,-35.130883,-0.14500946,4.9728547,242.26613,12.009616,252.69328,0.11252467,19911.344,284947.94,1.2298586,492.07941,1,3
-0.25325668,-0.012904154,1.4702586,19.625981,4.8265489,8.2581702,0.90283165,-2.7462531,-0.10476423,1.4702586,26.213653,4.8265489,-27.289208,0.32028995,-0.0057660799,-0.014704012,1.4702586,0.3921433,4.8265489,0.22256654,0.8893592,0.71554735,0.033811928,1.4702586,21.162572,4.8265489,-21.285076,0.74899114,0.00015237739,0.055373317,17.458483,0.0027518199,6.4483041,0.0078217821,0.54634434,0.0006104409,0.22716444,0.36296421,0.0026872204,0.18881885,0.0078541789,0.016009825,0.99401245,0.20400219,23.95293,4.8725577,-27.798637,11.829272,0.030968376,-21.900755,-0.086324176,1.4702586,253.70361,4.8265489,258.97465,0.41324275,-4.726055,-0.017372395,17.458483,272.04396,6.4483041,487.56903,0.84999326,-91.200064,-0.33445576,23.95293,272.682,-27.798637,488.42504,0.00031310257,11.444403,0.046178273,17.458483,247.8309,6.4483041,248.2313,0.61499464,-125.87269,-0.4986607,23.95293,252.42152,-27.798637,253.36203,2.1996487e-08,-69.770862,-0.27640615,0.36296421,252.42152,0.18881885,253.36203,0.0031767966,-151.92358,-0.61301308,20.500897,247.8309,-24.232372,248.2313,7.8053887e-14,-96.318623,-0.38864654,0.0027518199,247.8309,0.0078217821,248.2313,1.0569024e-05,-30.686259,-0.12381934,5.0119478,247.8309,11.69007,248.2313,0.17602749,19554.455,284640.4,1.2307612,487.56903,1,4
-0.79028883,-0.04599065,1.4565634,17.183685,4.8217772,7.027592,0.66332588,-0.73475843,-0.027612985,1.4565634,26.609163,4.8217772,-27.669522,0.79387427,-0.032957755,-0.087849204,1.4565634,0.37516282,4.8217772,0.22014765,0.40500791,0.90361273,0.042294752,1.4565634,21.364653,4.8217772,-20.116293,0.68892854,-0.00049595535,-0.18072968,15.284912,0.0027441832,5.3574602,0.0077300659,0.047282812,0.00064745683,0.23994948,0.3484034,0.0026983048,0.1845477,0.0077587767,0.010826744,1.2176408,0.24535183,24.24596,4.9628355,-28.073346,11.569183,0.00912294,-19.606263,-0.08102568,1.4565634,241.97591,4.8217772,251.65801,0.44260086,-9.5557288,-0.03700016,15.284912,258.26182,5.3574602,449.49919,0.68701068,-96.93424,-0.37420293,24.24596,259.04191,-28.073346,450.36832,4.8145442e-05,29.536163,0.1268546,15.284912,232.83479,5.3574602,238.44492,0.1655868,-134.54745,-0.5653767,24.24596,237.97842,-28.073346,245.22919,8.3228422e-11,-63.651371,-0.26746699,0.3484034,237.97842,0.1845477,245.22919,0.0043584119,-153.69109,-0.66008645,20.527893,232.83479,-22.511975,238.44492,1.7919368e-16,-87.849773,-0.37730518,0.0027441832,232.83479,0.0077300659,238.44492,1.9896459e-05,-28.433396,-0.12211833,5.0607584,232.83479,11.435401,238.44492,0.18208651,19325.165,284367.51,1.2348587,449.49919,1,5
-2.2699424,-0.069203641,1.4477858,32.800909,4.8229076,11.415738,0.51215302,-0.013084339,-0.0005155128,1.4477858,25.38121,4.8229076,-30.470001,0.99610872,-0.019410256,-0.047548888,1.4477858,0.40821682,4.8229076,0.24279683,0.65264417,0.86179467,0.03936538,1.4477858,21.892198,4.8229076,-20.108571,0.7094749,-8.7341144e-05,-0.032098492,29.010365,0.0027210358,8.6186931,0.0076280963,0.7267076,0.00050978306,0.18924034,0.38052162,0.0026938393,0.20566251,0.007671548,0.046677613,0.94839264,0.19071268,23.227656,4.9728871,-30.467555,11.301315,0.044965211,-21.01436,-0.094139378,1.4477858,223.22604,4.8229076,238.72185,0.3720758,-3.6981811,-0.01405767,29.010365,263.07212,8.6186931,441.78571,0.87836924,-116.63659,-0.44059882,23.227656,264.72289,-30.467555,442.10727,1.3023854e-06,12.81884,0.05941703,29.010365,215.74353,8.6186931,227.74876,0.51738901,-125.003,-0.56636464,23.227656,220.71117,-30.467555,232.314,9.2504418e-11,-45.938516,-0.20813861,0.38052162,220.71117,0.20566251,232.314,0.028370856,-141.36409,-0.65524137,20.867763,215.74353,-22.551599,227.74876,3.5205053e-16,-80.912188,-0.37503877,0.0027210358,215.74353,0.0076280963,227.74876,2.2514738e-05,-29.135584,-0.13504731,5.0681479,215.74353,11.162942,227.74876,0.13970908,19070.241,284055.03,1.2367401,441.78571,1,6
1.5973336,0.067343196,1.4538732,23.719302,4.8558722,12.873293,0.52826305,0.78157837,0.034307097,1.4538732,22.781828,4.8558722,-24.577977,0.74820228,0.034445685,0.074050142,1.4538732,0.46516703,4.8558722,0.30340698,0.48791138,-0.98797342,-0.052135037,1.4536445,18.950278,4.8242228,2.66825,0.62161667,4.5620993e-05,0.016675161,21.230549,0.0027358653,10.145867,0.0077088195,0.85715494,0.00051349027,0.18654173,0.440857,0.0027526831,0.26000106,0.0077854287,0.05553913,0.96026658,0.18930476,21.260617,5.0725962,-24.93943,11.585009,0.051954082,-26.377678,-0.11581838,1.4536445,227.75037,4.8242228,241.62308,0.27159075,-0.6452512,-0.0023922495,21.230549,269.72571,10.145867,436.48233,0.97940016,-125.76227,-0.45446013,21.260617,276.72895,-24.93943,437.83379,9.9041267e-07,14.120586,0.0648155,21.230549,217.85816,10.145867,234.85784,0.4837229,-133.19825,-0.59239779,21.260617,224.84597,-24.93943,242.91249,2.2463043e-11,-74.765889,-0.33252048,0.440857,224.84597,0.26000106,242.91249,0.00049663538,-138.74421,-0.6399813,18.747802,216.79416,-0.94533884,232.52587,2.7309365e-15,-79.380922,-0.36615802,0.0027303005,216.79416,0.0076691713,232.52587,3.6227353e-05,-25.428691,-0.11729417,5.0989378,216.79416,11.287165,232.52587,0.20009852,19172.928,284143.9,1.2374704,436.85925,1,7
4.0477163,0.10142842,1.3506603,39.90712,4.7560976,39.090632,0.36455786,3.1498729,0.10238844,1.3168797,30.763951,4.7275862,9.0750286,0.34533023,-0.036721589,-0.10005169,1.3506603,0.36702616,4.7560976,0.68620345,0.37113756,-7.7526172,-0.23580751,1.3200444,32.876888,4.7230769,97.908615,0.024436432,0.0007260608,0.24023909,35.895739,0.0030222425,33.846507,0.0082082649,0.010728785,0.00016895273,0.054718855,0.37249902,0.003087651,0.65040324,0.0082947038,0.59255303,-0.87252287,-0.18201848,29.142814,4.7935949,9.9413624,13.642611,0.064417842,-18.953218,-0.066476222,1.3200444,285.11274,4.7230769,318.65717,0.53126934,29.360907,0.10709185,35.895739,274.16566,33.846507,466.58948,0.2610662,-78.44372,-0.27079641,29.142814,289.67784,9.9413624,452.02765,0.0054297969,-1.3635432,-0.0048624365,35.895739,280.42386,33.846507,378.49168,0.95941939,-28.932284,-0.098671866,29.142814,293.21715,9.9413624,362.74484,0.3189917,53.311383,0.18128065,0.37249902,294.08203,0.65040324,378.86438,0.074035558,-68.104289,-0.244287,32.793602,278.78801,93.393037,357.41138,0.0066944672,-170.45674,-0.6114206,0.0029901709,278.78801,0.008347409,357.41138,7.4242342e-14,-93.665547,-0.33597408,4.7059768,278.78801,13.503619,357.41138,0.00015473903,20868.522,286305.37,1.232984,442.65326,1,8
