SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-1.0711734,-0.11154208,9.8451272,9.6033117,32.645691,9.2755302,0.14052688,0.43328596,0.022990098,9.8451272,18.846634,32.645691,9.1336767,0.76199285,0.0067141208,0.04291266,9.8451272,0.15646014,32.645691,0.21290653,0.57173049,3.3829183,0.18300744,8.9590363,18.485141,34.053119,18.055374,0.019753946,0.00022907827,0.15945182,10.125157,0.0014366614,10.179171,0.0027036097,0.0084258198,0.00034997259,0.24360131,0.1729619,0.0014366614,0.23360195,0.0027036097,4.8987226e-05,-2.9225661,-0.41703743,19.185092,7.0079227,7.9854654,-1.5008711,7.1840496e-13,-159.25784,-0.22892552,9.8276792,695.67535,32.769857,825.38942,0.0023781932,74.77935,0.33097261,10.125157,225.93819,10.179171,451.44371,2.2474358e-08,22.581453,0.09994527,19.185092,225.93819,7.9854654,451.44371,0.099996739,17.850773,0.023750352,10.306998,751.60034,10.279429,826.60364,0.70307604,101.32546,0.13481295,18.656706,751.60034,6.7531656,826.60364,0.029761514,-247.46842,-0.32925533,0.16851546,751.60034,0.23494553,826.60364,5.4543929e-08,29.593796,0.037082163,17.54002,798.06013,18.083744,886.04974,0.60123082,30.274927,0.040280619,0.0014465344,751.60034,0.0027523492,826.60364,0.51786599,192.36946,0.25594648,6.8529012,751.60034,-1.1819226,826.60364,2.9549472e-05,6880.8731,275683.05,1.2006907,453.4101,1,daily
0.18140303,0.021091326,9.557836,8.6008358,32.580005,3.7434802,0.79848165,0.98532694,0.044690178,9.5974922,22.047953,32.755119,-20.206904,0.58332951,-0.0048745598,-0.015852905,9.557836,0.30748684,32.580005,0.17011563,0.84782702,7.2222731,0.23038371,8.9390116,31.348888,33.663514,-50.661365,0.0058106581,6.7198996e-05,0.047468714,10.727653,0.0014156481,4.3892231,0.0025565097,0.47964697,-1.8667162e-05,-0.013186301,0.33078225,0.0014156481,0.18445589,0.0025565097,0.84440756,-3.6860789,-0.4711249,23.728575,7.8239951,-22.39406,-2.8125346,4.7065479e-14,-60.38268,-0.13549115,9.587375,445.65774,33.009978,580.07106,0.099443377,89.286852,0.29002593,10.727653,307.85817,4.3892231,374.59289,1.0260168e-05,-15.230188,-0.049497407,23.728575,307.69669,-22.39406,371.90995,0.4560361,143.53238,0.26567881,9.8492519,540.24776,4.3093348,633.45321,8.3290176e-05,-133.88026,-0.2484314,22.677358,538.90235,-21.66333,625.03331,0.00021121207,-71.960244,-0.1331986,0.33224333,540.24776,0.18550695,633.45321,0.051679465,-79.822169,-0.14237725,29.995027,560.6385,-48.924125,622.01095,0.060915658,18.617591,0.034547243,0.0013825779,538.90235,0.0025388728,625.03331,0.61194233,172.09646,0.31934627,7.1701417,538.90235,-2.9916922,625.03331,1.4745865e-06,6347.1821,273929.09,1.2111611,368.24556,1,0
0.71710695,0.083267184,9.5283787,8.6121196,32.779513,4.726264,0.31938528,1.5101024,0.06596706,9.5261832,22.891764,32.857338,-20.432528,0.42569061,-0.016563177,-0.05065326,9.5283787,0.32699133,32.779513,0.17993272,0.54514212,6.6365604,0.20529438,8.8698353,32.327043,33.802027,-49.34207,0.014601849,0.00018119294,0.13121677,8.7313504,0.0013808673,4.6384437,0.002519154,0.051409414,0.00035316115,0.25575314,0.32918628,0.0013808673,0.18891656,0.002519154,0.00012073977,-3.0482394,-0.3929776,23.666523,7.7567765,-21.718847,-3.1181222,9.1765567e-10,-48.103875,-0.092778629,9.4391065,518.48012,32.876974,592.0068,0.26369908,131.01722,0.4383011,8.7313504,298.92059,4.6384437,369.8182,8.6444729e-12,-9.7180045,-0.032428536,23.666523,299.67448,-21.718847,368.79727,0.62772453,143.8751,0.2455529,8.8671453,585.92306,4.6877697,637.70428,0.0002966678,-140.50064,-0.24080187,23.521276,583.46988,-22.007251,630.95836,0.00034417014,-13.1115,-0.022377511,0.33336314,585.92306,0.19113181,637.70428,0.74540216,-112.70358,-0.18438494,30.500437,611.24069,-48.073587,634.67155,0.014578475,70.954726,0.12159313,0.0014407812,583.54221,0.0025722475,628.20451,0.073191728,181.83412,0.31160406,7.2364627,583.54221,-3.0126754,628.20451,2.7099097e-06,6430.6187,273886.85,1.2113861,369.85731,1,1
0.072228866,0.0088149145,9.2513925,8.1939383,31.85759,4.2367255,0.91887431,1.3588475,0.059113208,9.2659786,22.987207,31.960882,-20.61716,0.4894111,-0.02954069,-0.084738745,9.2513925,0.34860902,31.85759,0.18957907,0.32666221,7.4729022,0.23323501,8.6414694,32.040226,32.917436,-49.513806,0.0071152087,0.00015617829,0.12321196,9.4251067,0.0012675579,4.3369259,0.0024835382,0.072736345,0.00021541741,0.16994681,0.35745659,0.0012675579,0.20406804,0.0024835382,0.012999185,-3.3699073,-0.44111474,23.397932,7.6395255,-21.280524,-3.1687056,9.5503551e-12,-39.287104,-0.062906901,9.2003467,624.52774,32.06544,600.84242,0.46191747,116.07051,0.42036224,9.4251067,276.12022,4.3369259,354.58277,1.5767501e-10,-7.6247981,-0.027353802,23.397932,278.74729,-21.280524,353.93802,0.68864516,127.7408,0.18171038,8.5872035,702.99126,4.3152849,660.7499,0.0092929169,-217.22557,-0.3108029,23.127394,698.91746,-21.682199,653.84923,4.8977753e-06,-119.12899,-0.16946013,0.35514385,702.99126,0.19771048,660.7499,0.015390691,-139.66827,-0.1890764,30.447681,738.68695,-47.29354,652.7934,0.014398352,89.246889,0.12775353,0.001375075,698.58649,0.0025570377,650.84528,0.065271312,199.95534,0.28622846,7.1215766,698.58649,-2.9992271,650.84528,2.6529489e-05,6392.5943,273920.09,1.212532,351.26831,1,2
0.20446874,0.027528373,9.4694087,7.4275635,32.739846,4.173835,0.73893816,1.1878629,0.047203065,9.481926,25.164954,32.84987,-19.561903,0.56231621,0.0043951165,0.014750024,9.4694087,0.29797352,32.739846,0.15988225,0.85829862,6.7762096,0.21290985,8.8674048,31.826661,33.750699,-47.946027,0.0098760357,0.00015715988,0.11180185,9.0009139,0.0014057002,4.3094016,0.0024299219,0.093602912,2.6882667e-05,0.01911086,0.33764652,0.0014066697,0.18957538,0.0024247403,0.77557344,-2.5847002,-0.35653211,24.451577,7.2495579,-18.598093,-3.788984,2.8693997e-08,-65.112912,-0.11805904,9.4557228,551.52841,32.910591,549.1876,0.14610667,100.53461,0.34328625,9.0009139,292.85942,4.3094016,365.35108,1.1976166e-07,0.74799258,0.0025559503,24.451577,292.64754,-18.598093,363.88002,0.96931538,120.29293,0.20865339,8.7127147,576.52037,4.2152921,590.64953,0.0020016599,-159.94896,-0.27773389,24.268656,575.90725,-19.43922,584.17851,2.9344676e-05,-13.472803,-0.023316417,0.32963935,577.82477,0.17977573,590.22008,0.73330093,-131.01482,-0.21773719,30.572006,601.71083,-45.374398,582.88061,0.0033224855,54.005172,0.093993511,0.0014398389,574.56277,0.0025137655,582.10698,0.16281767,172.11518,0.29955854,7.2069177,574.56277,-3.6022336,582.10698,5.5490177e-06,6284.4137,273306.79,1.2129086,363.40893,1,3
-0.61081039,-0.078103509,9.4744231,7.8205244,32.585716,4.2349246,0.34873346,0.40538496,0.018185647,9.4921553,22.291479,32.796497,-20.035015,0.82402176,-0.020156466,-0.059470957,9.4744231,0.33892956,32.585716,0.17709239,0.47581786,5.1593754,0.1629997,8.9293717,31.652667,33.693001,-47.298839,0.050935306,5.217831e-05,0.036717592,9.1097244,0.0014210711,4.6343344,0.0024546406,0.58803199,7.6117657e-05,0.05356358,0.37636464,0.0014210711,0.22675161,0.0024546406,0.42922528,-2.6671398,-0.37326128,22.613076,7.1455035,-18.563221,-3.843525,7.001755e-09,-54.683184,-0.11155771,9.4962048,490.17844,32.855004,534.66775,0.17265781,100.94226,0.36501318,9.1097244,276.54416,4.6343344,368.11168,2.4499621e-08,-12.611491,-0.045725796,22.613076,275.80693,-18.563221,367.21414,0.49400324,58.560276,0.1112205,9.1935656,526.52412,4.5412889,576.23975,0.10469114,-128.38113,-0.2447239,22.620686,524.59578,-18.955734,564.33195,0.00024728977,-75.32662,-0.14306395,0.37416195,526.52412,0.22127052,576.23975,0.036496026,-118.99701,-0.2186174,30.356413,544.31627,-44.75098,564.19007,0.0034628275,25.127774,0.047899306,0.0014670187,524.59578,0.0025052865,564.33195,0.47967831,150.70753,0.28728315,7.1797321,524.59578,-3.7708524,564.33195,1.5018529e-05,6263.2162,273131.27,1.2132164,364.33337,1,4
1.4584771,0.12505454,9.5185022,11.662728,32.659725,4.3517655,0.12861123,-0.19518956,-0.0086879512,9.4973101,22.466696,32.817955,-17.367349,0.91511843,-0.027204701,-0.079266025,9.5365721,0.34320758,32.702307,0.19222429,0.33824216,5.0894187,0.15916351,8.8882226,31.97604,33.678741,-47.260863,0.05499698,2.2131592e-05,0.014973543,10.757318,0.0014780465,4.6940701,0.0024346768,0.8232517,-0.00010659968,-0.072291721,0.33862363,0.0014745765,0.20375676,0.0024318921,0.2824259,-2.7729696,-0.38249064,22.53515,7.249771,-17.378722,-4.2644216,2.3380174e-09,-46.627442,-0.069715979,9.4805267,668.82001,32.776004,552.38254,0.39025787,44.36586,0.16495375,10.757318,268.95939,4.6940701,364.68293,0.013229897,-12.308845,-0.046041342,22.53515,267.34332,-17.378722,360.92687,0.48909128,223.56284,0.34649674,10.870996,645.20907,4.6990785,575.24063,1.3318795e-07,-135.93387,-0.21124888,22.552036,643.47732,-17.798426,567.6034,0.0015099071,-44.141432,-0.068226617,0.34111779,646.98257,0.20285222,578.11285,0.31599045,-124.40151,-0.18280142,30.685506,680.52811,-44.409593,568.16247,0.014042094,4.4958139,0.0070058746,0.0014983901,641.72057,0.0024761898,564.88842,0.91676933,163.04518,0.25407504,7.1936629,641.72057,-4.1066084,564.88842,0.00011652592,6190.4745,272775.4,1.2143711,361.59277,1,5
0.82385872,0.10746244,9.4910871,7.6664808,32.686224,2.357507,0.20142996,2.1823105,0.10120209,9.463247,21.563887,32.822783,-17.019512,0.22099661,-0.0043117361,-0.013602433,9.5089849,0.31698271,32.731775,0.18551461,0.87235612,4.4249566,0.14174963,8.9321625,31.216707,33.581792,-47.378616,0.092429356,-0.00026586624,-0.18095756,8.943384,0.0014692187,2.7718941,0.0024327272,0.0072572525,3.4751715e-05,0.023643246,0.34555451,0.0014698369,0.21174637,0.0024313832,0.72909954,-3.1172212,-0.42895335,22.15648,7.2670401,-17.508043,-4.3276909,1.9284208e-11,-56.770954,-0.16144352,9.4566034,351.64592,32.831398,469.78293,0.049964124,72.510443,0.26918043,8.943384,269.37487,2.7718941,360.80091,5.449858e-05,-12.528097,-0.046035251,22.15648,272.14139,-17.508043,361.80956,0.49302761,77.95908,0.16894293,8.8112448,461.45215,2.8703767,526.20838,0.013776711,-36.08138,-0.078476643,21.951332,459.77222,-17.43356,514.91909,0.24857701,-45.449217,-0.098283893,0.34850309,462.42792,0.21357518,526.93509,0.15484582,-84.933609,-0.18421267,30.073698,461.06279,-43.867266,497.67287,0.014672534,-7.3244413,-0.015963757,0.0015129608,458.8169,0.0024806693,514.27047,0.81428245,115.06314,0.25078226,7.1956449,458.8169,-4.2152512,514.27047,0.00017676051,6201.6733,272653.35,1.2147529,362.14594,1,6
-1.3224076,-0.14787643,9.6222837,8.9426535,32.45203,5.8561917,0.073866251,1.4582105,0.070115863,9.5761748,20.797156,32.550889,-8.559755,0.38910947,-0.045582342,-0.1211828,9.6222837,0.37614531,32.45203,0.27172558,0.14370982,5.0962431,0.16995848,8.9534063,29.985225,33.555593,-42.020416,0.041693342,8.1152458e-05,0.055621071,11.184156,0.0014590237,6.4482936,0.0024304454,0.41168627,-0.00015151772,-0.10384871,0.3726703,0.0014590237,0.26289341,0.0024304454,0.1246106,-3.3562561,-0.47025353,22.559974,7.1371203,-11.306672,-4.3617062,6.034169e-14,-56.887743,-0.15067646,9.5761748,377.54898,32.550889,494.87503,0.063011681,96.231987,0.35169921,11.184156,273.62014,6.4482936,359.45778,8.3675471e-08,-0.12421856,-0.00045841476,22.559974,270.97417,-11.306672,360.25104,0.99450751,39.889475,0.094531616,11.329176,421.96967,6.4902778,513.16338,0.16824452,-82.278897,-0.1956742,22.538035,420.48924,-11.182192,499.65133,0.0034183904,-34.108748,-0.080832228,0.37548935,421.96967,0.26566856,513.16338,0.23900568,-150.65948,-0.36388873,28.710119,414.02624,-39.746965,498.40761,6.8916394e-07,-39.190304,-0.093201681,0.0015160888,420.48924,0.002506643,499.65133,0.1664049,81.754636,0.19442742,7.0707938,420.48924,-4.1718746,499.65133,0.0036333596,6266.6075,272652.44,1.2157041,358.18307,1,7
-2.9848935,-0.31784109,9.5866837,9.3911506,32.217786,14.079082,8.2680406e-05,-2.452458,-0.088033125,9.6379413,27.858354,32.236553,22.565275,0.27447567,-0.047802797,-0.14827112,9.5866837,0.32240126,32.217786,0.38492569,0.072104779,-0.57961065,-0.019983112,8.9848425,29.005025,33.32318,8.6603068,0.81079132,0.0002174118,0.14850765,11.155204,0.0014639772,13.840036,0.0025089147,0.02728193,4.1100287e-05,0.028074404,0.34545825,0.0014639772,0.38461528,0.0025089147,0.67808987,-3.1148019,-0.44736359,28.562898,6.9625736,14.769902,-3.6960533,1.0198662e-12,-84.432337,-0.17622443,9.6771359,479.11824,32.379491,601.27161,0.029332995,46.223286,0.17827651,11.155204,259.27862,13.840036,356.32124,0.00789432,33.668246,0.13014974,28.562898,258.68854,14.769902,354.94075,0.048671561,-14.00898,-0.025376237,11.160276,552.05112,14.016007,604.70229,0.71466315,-33.772362,-0.061711861,28.200679,547.25884,15.975014,599.30077,0.36340692,28.274228,0.051216684,0.34223903,552.05112,0.38654611,604.70229,0.46035953,-100.78387,-0.176954,27.480146,569.54841,9.6521029,616.87291,0.018803516,-26.298296,-0.048054585,0.0014674201,547.25884,0.0025303687,599.30077,0.47926697,106.64746,0.19487573,6.8509614,547.25884,-3.5116428,599.30077,0.0037891421,6325.9217,273312.16,1.2146332,355.03727,1,8
