SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.5848462,0.15667964,0.85985145,10.115202,20.34472,30.079981,0.014488459,-0.35934276,-0.018675721,0.85985145,19.241172,20.34472,22.593991,0.77208415,0.03358652,0.16230706,0.85985145,0.20693198,20.34472,0.33939892,0.011280268,-1.3298343,-0.053107305,0.85985145,25.040515,20.34472,64.050469,0.40984064,-8.0745253e-05,-0.025932489,10.381233,0.0031136715,30.43356,0.0049307885,0.67490613,0.0011606579,0.37276183,0.21466404,0.0031136715,0.34577532,0.0049307885,3.9802393e-10,-3.2834386,-0.59377783,19.002911,5.5297426,22.445094,10.062958,1.5200384e-26,-23.916086,-0.041699744,0.85985145,573.53077,20.34472,1193.3676,0.51765498,54.328525,0.25695517,10.381233,211.43192,30.43356,443.73199,2.3746535e-05,16.024544,0.075790563,19.002911,211.43192,22.445094,443.73199,0.21968224,92.251153,0.16198466,10.381233,569.50549,30.43356,1193.7261,0.0083670634,319.43997,0.56090762,19.002911,569.50549,22.445094,1193.7261,2.800312e-23,-304.20723,-0.5341603,0.21466404,569.50549,0.34577532,1193.7261,7.058681e-21,223.93682,0.39321275,25.324359,569.50549,64.064768,1193.7261,3.4137577e-11,-477.7677,-0.83891676,0.0031136715,569.50549,0.0049307885,1193.7261,3.5415527e-71,-345.96403,-0.60748147,5.5297426,569.50549,10.062958,1193.7261,5.0918743e-28,12326.971,285286.02,1.2038452,443.73199,1,daily
1.781323,0.13325701,0.90844398,13.367574,20.359139,9.9483724,0.039962566,1.1695595,0.071666158,0.90844398,16.31955,20.359139,-32.573353,0.27080642,0.05387173,0.1296387,0.90844398,0.41555283,20.359139,0.20048676,0.045729922,2.8353593,0.093224593,0.90844398,30.414285,20.359139,-53.843475,0.15164326,-0.00037924756,-0.1139765,13.098401,0.003327419,10.08618,0.0048647725,0.06651392,0.00097315073,0.29246414,0.41948163,0.003327419,0.20289076,0.0048647725,1.5990049e-06,1.3032857,0.22570202,16.339712,5.7743642,-32.311591,8.7887682,0.00024325498,-53.880227,-0.085946675,0.90844398,626.90299,20.359139,1052.9549,0.18637259,107.48764,0.36887265,13.098401,291.39498,10.08618,301.95871,8.4087156e-10,-10.553667,-0.036217737,16.339712,291.39498,-32.311591,301.95871,0.56099087,90.872319,0.14654094,13.098401,620.11559,10.08618,1056.8864,0.018064486,-332.35359,-0.53595425,16.339712,620.11559,-32.311591,1056.8864,9.8100593e-21,-220.68422,-0.35587595,0.41948163,620.11559,0.20289076,1056.8864,3.5237755e-09,-384.32933,-0.61977047,30.585572,620.11559,-52.927426,1056.8864,5.5750929e-29,-510.74917,-0.82363542,0.003327419,620.11559,0.0048647725,1056.8864,1.6875469e-65,-365.48242,-0.58937789,5.7743642,620.11559,8.7887682,1056.8864,1.0341815e-25,12161.931,284003.84,1.2190409,301.95871,1,0
1.7368715,0.15580992,0.90397813,11.147374,20.351139,8.7941682,0.016365486,1.0303689,0.065832867,0.90397813,15.651284,20.351139,-30.878012,0.31286868,0.074231794,0.18254497,0.90397813,0.40664934,20.351139,0.19774052,0.0048156713,2.1714351,0.070342602,0.90397813,30.869417,20.351139,-51.888863,0.28080101,-0.00032627156,-0.098676243,10.945477,0.0033064855,9.0274235,0.0048174647,0.11314113,0.00061244883,0.18522653,0.42472027,0.0033064855,0.21393174,0.0048174647,0.0027674156,1.3029698,0.22144711,15.662592,5.8838868,-30.468322,8.30476,0.00032902594,-48.310036,-0.080097913,0.90397813,603.13727,20.351139,1003.4967,0.21924167,64.839685,0.22787281,10.945477,284.54332,9.0274235,298.5457,0.0002170478,15.870306,0.055774659,15.662592,284.54332,-30.468322,298.5457,0.37134193,68.323997,0.11450493,10.945477,596.69043,9.0274235,1009.0896,0.065779236,-293.84297,-0.49245463,15.662592,596.69043,-30.468322,1009.0896,3.154367e-17,-176.61388,-0.29598913,0.42472027,596.69043,0.21393174,1009.0896,1.2373895e-06,-324.93062,-0.54455476,31.193996,596.69043,-50.855983,1009.0896,2.1227109e-21,-482.17353,-0.80807988,0.0033064855,596.69043,0.0048174647,1009.0896,5.2681614e-61,-341.11367,-0.57167612,5.8838868,596.69043,8.30476,1009.0896,7.1023786e-24,12043.662,283524.51,1.2202514,298.5457,1,1
1.2818083,0.13677486,0.89833861,9.3716656,20.349727,9.5441697,0.034955688,1.5788763,0.098465402,0.89833861,16.034833,20.349727,-29.490192,0.1298393,0.04245954,0.097399336,0.89833861,0.43593254,20.349727,0.22041115,0.13406642,1.9031994,0.059813144,0.89833861,31.819084,20.349727,-49.640768,0.35824364,-0.00023512645,-0.07164573,9.7422418,0.0032817929,9.9070399,0.0048020375,0.24966386,0.00088426832,0.26944671,0.45366936,0.0032817929,0.23870503,0.0048020375,1.0553339e-05,2.0185431,0.33748509,16.127237,5.9811326,-29.413574,7.8852846,2.4033672e-08,-59.528983,-0.10192958,0.89833861,584.0207,20.349727,948.48363,0.11681081,48.822633,0.17260277,9.7422418,282.86124,9.9070399,296.09631,0.0052594019,-5.5047189,-0.019460845,16.127237,282.86124,-29.413574,296.09631,0.75480168,50.519258,0.087378551,9.7422418,578.16543,9.9070399,954.92506,0.16006994,-276.51042,-0.47825484,16.127237,578.16543,-29.413574,954.92506,2.8865979e-16,-181.45771,-0.31385085,0.45366936,578.16543,0.23870503,954.92506,2.3729038e-07,-296.23706,-0.51237421,32.054882,578.16543,-48.990282,954.92506,8.3324731e-19,-453.0845,-0.78365892,0.0032817929,578.16543,0.0048020375,954.92506,2.8359133e-55,-314.76049,-0.54441251,5.9811326,578.16543,7.8852846,954.92506,1.8286477e-21,12005.094,283106.46,1.2213199,296.09631,1,2
1.8537772,0.157916,0.89369933,11.739008,20.344832,9.727378,0.01474002,1.0959057,0.068764231,0.89369933,15.937148,20.344832,-28.771471,0.29073582,0.051511393,0.12195604,0.89369933,0.42237672,20.344832,0.21638406,0.060304767,1.3031717,0.041234003,0.89369933,31.604297,20.344832,-48.706517,0.52670268,-0.00015810882,-0.049477626,11.417543,0.0031955619,10.035864,0.004734693,0.42693621,0.0007265907,0.22737494,0.43565943,0.0031955619,0.22906541,0.004734693,0.00021800126,1.8914361,0.31311894,15.960674,6.0406313,-28.880935,7.441826,2.5394308e-07,-59.110807,-0.10746526,0.89369933,550.04572,20.344832,900.97142,0.098136061,45.849272,0.1689714,11.417543,271.3434,10.035864,291.19924,0.0063119608,-13.568043,-0.050003217,15.960674,271.3434,-28.880935,291.19924,0.42203537,17.829255,0.032823502,11.417543,543.18564,10.035864,905.88809,0.59829437,-251.44028,-0.46289934,15.960674,543.18564,-28.880935,905.88809,3.2669701e-15,-154.52368,-0.28447674,0.43565943,543.18564,0.22906541,905.88809,3.1373071e-06,-284.62757,-0.52399686,31.732483,543.18564,-48.461067,905.88809,9.7428261e-20,-412.24991,-0.75894846,0.0031955619,543.18564,0.004734693,905.88809,5.54762e-50,-275.75584,-0.50766407,6.0406313,543.18564,7.441826,905.88809,1.9430156e-18,11836.732,282664.15,1.2225996,291.19924,1,3
3.0218142,0.27810608,0.88773185,10.865689,20.340441,9.6184481,1.3366099e-05,0.5967652,0.037914741,0.88773185,15.739662,20.340441,-28.538779,0.56053303,0.065619827,0.14353744,0.88773185,0.45716174,20.340441,0.25239271,0.026814501,1.425486,0.045161093,0.88773185,31.56447,20.340441,-47.300327,0.4880603,-0.00026914314,-0.085931536,10.572275,0.0031320648,9.9419343,0.0046934941,0.16712999,0.00054525244,0.17408721,0.4680623,0.0031320648,0.2633441,0.0046934941,0.0048766044,1.6293123,0.26661644,15.83792,6.1110723,-28.863506,7.0013176,1.3156932e-05,-51.568236,-0.099453954,0.88773185,518.51368,20.340441,847.95715,0.1260121,47.432444,0.18850082,10.572275,251.62991,9.9419343,278.46068,0.0022713445,-7.7135679,-0.030654415,15.83792,251.62991,-28.863506,278.46068,0.62270408,18.467443,0.035930983,10.572275,513.96989,9.9419343,850.87414,0.56409865,-204.73679,-0.39834394,15.83792,513.96989,-28.863506,850.87414,2.5535242e-11,-130.54786,-0.25399904,0.4680623,513.96989,0.2633441,850.87414,3.412385e-05,-250.11189,-0.48662751,31.655054,513.96989,-47.135456,850.87414,7.297415e-17,-377.57739,-0.73462939,0.0031320648,513.96989,0.0046934941,850.87414,2.3062478e-45,-240.60039,-0.46812156,6.1110723,513.96989,7.0013176,850.87414,1.4510629e-15,11733.735,282224.19,1.2245464,278.46068,1,4
2.4636686,0.22311639,0.88616309,11.042078,20.333362,9.2893614,0.00056977532,0.55341762,0.035337447,0.88616309,15.66094,20.333362,-27.687047,0.58989192,0.020313173,0.043732965,0.88616309,0.46448196,20.333362,0.26186979,0.50467111,1.2054126,0.038103334,0.88616309,31.635356,20.333362,-45.902539,0.56109923,0.0001160525,0.037400573,10.757162,0.0031029606,9.568598,0.0046956283,0.55059892,0.00062411576,0.20113558,0.47162416,0.0031029606,0.27007308,0.0046956283,0.0011872525,1.7972628,0.29307547,15.78588,6.1324229,-27.922789,6.7943698,1.745588e-06,-37.485587,-0.076962287,0.88616309,487.06437,20.333362,812.21292,0.23988972,38.94606,0.15723961,10.757162,247.68606,9.568598,272.27194,0.011596982,3.4643066,0.013986684,15.78588,247.68606,-27.922789,272.27194,0.82342539,-24.048814,-0.049771145,10.757162,483.18789,9.568598,815.20935,0.42690722,-183.97055,-0.3807433,15.78588,483.18789,-27.922789,815.20935,2.7294389e-10,-117.17883,-0.24251193,0.47162416,483.18789,0.27007308,815.20935,8.5797757e-05,-227.68904,-0.47122257,31.702181,483.18789,-45.762423,815.20935,1.3048925e-15,-353.85687,-0.73233803,0.0031029606,483.18789,0.0046956283,815.20935,1.8838474e-44,-232.10356,-0.48035882,6.1324229,483.18789,6.7943698,815.20935,3.0564079e-16,11739.071,282012.9,1.2255781,272.27194,1,5
2.5358442,0.22991208,0.88545362,11.029626,20.330172,9.2397646,0.00041491149,-0.55772057,-0.035458018,0.88545362,15.72904,20.330172,-26.503161,0.5910381,0.045001772,0.097636115,0.88545362,0.46091317,20.330172,0.26598461,0.13816449,-0.45521791,-0.014071307,0.88545362,32.350792,20.330172,-43.261595,0.83118606,-0.00021236037,-0.070605346,10.878914,0.0030077095,9.549695,0.0046515708,0.26223957,0.00049567088,0.16480012,0.47161474,0.0030077095,0.27867679,0.0046515708,0.0084997897,2.281143,0.37083515,15.694981,6.1513667,-26.655499,6.4936309,1.0615805e-09,-27.768457,-0.060053669,0.88545362,462.39401,20.330172,780.30511,0.36251053,59.821002,0.24326747,10.878914,245.90629,9.549695,270.80264,8.9685652e-05,-0.73857063,-0.0030034638,15.694981,245.90629,-26.655499,270.80264,0.96201005,37.792287,0.082616021,10.878914,457.44501,9.549695,782.58347,0.1893741,-170.84662,-0.37348013,15.694981,457.44501,-26.655499,782.58347,7.9063231e-10,-74.47294,-0.16280195,0.47161474,457.44501,0.27867679,782.58347,0.0093440869,-213.50067,-0.46672424,32.255741,457.44501,-43.038028,782.58347,3.8163674e-15,-328.72452,-0.71860991,0.0030077095,457.44501,0.0046515708,782.58347,1.2245573e-41,-219.29376,-0.47938825,6.1513667,457.44501,6.4936309,782.58347,5.3171671e-16,11628.927,281691.16,1.2266522,270.80264,1,6
3.3173292,0.23880924,0.89536851,13.891126,20.327127,10.569709,0.00027379181,1.4696347,0.10036924,0.89536851,14.642281,20.327127,-23.619218,0.13078066,0.094500224,0.18975228,0.89536851,0.49801891,20.327127,0.33407225,0.0040323455,-0.15721578,-0.0052111775,0.89536851,30.168956,20.327127,-37.39215,0.93762514,-6.3333807e-05,-0.021384027,13.530481,0.0029617344,10.819427,0.0046475058,0.73601574,0.00075841418,0.25607097,0.50307548,0.0029617344,0.33918057,0.0046475058,4.0373256e-05,1.6884737,0.27595509,14.440407,6.1186541,-23.746325,6.374505,9.1401002e-06,-35.276393,-0.082062736,0.89536851,429.87103,20.327127,751.47002,0.21705666,65.843208,0.25990688,13.530481,253.33384,10.819427,275.7526,3.0591826e-05,-11.797503,-0.046568997,14.440407,253.33384,-23.746325,275.7526,0.46263945,5.1058925,0.011980539,13.530481,426.1822,10.819427,755.00255,0.85019723,-141.435,-0.33186511,14.440407,426.1822,-23.746325,755.00255,7.2497106e-08,-83.547308,-0.1960366,0.50307548,426.1822,0.33918057,755.00255,0.0018046085,-196.94044,-0.46210386,29.968344,426.1822,-37.145903,755.00255,1.1072665e-14,-306.81657,-0.71991878,0.0029617344,426.1822,0.0046475058,755.00255,2.2496888e-41,-211.02621,-0.4951549,6.1186541,426.1822,6.374505,755.00255,6.2389082e-17,11618.765,281548.47,1.2268591,275.7526,1,7
5.8193685,0.31890582,0.8894521,18.247922,20.328826,20.3726,7.8251705e-07,3.8014587,0.17155852,0.8894521,22.158379,20.328826,5.6583681,0.0091340741,0.026291444,0.067751398,0.8894521,0.38805759,20.328826,0.68557678,0.30627068,1.5965916,0.061071509,0.8894521,26.142985,20.328826,39.485135,0.35652339,-0.00029007843,-0.09882383,18.022105,0.0029353085,20.779188,0.0046475894,0.1168938,0.00034763792,0.11843318,0.38491425,0.0029353085,0.69292458,0.0046475894,0.059959382,-2.2007715,-0.36295855,21.734677,6.0634239,5.962849,6.5809024,2.7025219e-09,-37.514855,-0.084573563,0.8894521,443.57662,20.328826,768.55854,0.2012762,32.863587,0.12334544,18.022105,266.43536,20.779188,336.69936,0.050030456,-55.837958,-0.20957413,21.734677,266.43536,5.962849,336.69936,0.00079565996,37.756437,0.086374886,18.022105,437.12286,20.779188,769.70196,0.1708011,37.892734,0.08668669,21.734677,437.12286,5.962849,769.70196,0.16925637,15.453067,0.035351771,0.38491425,437.12286,0.69292458,769.70196,0.57568763,51.192978,0.11711348,26.458207,437.12286,40.068408,769.70196,0.062887669,-310.64856,-0.71066648,0.0029353085,437.12286,0.0046475894,769.70196,3.2819583e-40,-205.65379,-0.47047137,6.0634239,437.12286,6.5809024,769.70196,2.4390408e-15,11618.974,281718.06,1.2216582,336.69936,1,8
