SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
6.5560873,0.57748797,4.3409383,11.352769,12.421182,12.997578,7.6007711e-12,0.38687387,0.01757624,4.3409383,22.011186,12.421182,44.798802,0.85016417,0.048433756,0.46138355,4.3409383,0.10497504,12.421182,0.23972085,1.4539899e-07,1.8535228,0.092599675,4.3409383,20.016516,12.421182,71.511584,0.31860591,0.00097321187,0.67810674,11.352769,0.0014351898,12.997578,0.0035179291,3.3119157e-17,0.00058032565,0.40435464,0.10497504,0.0014351898,0.23972085,0.0035179291,5.5950596e-06,-1.4858525,-0.44582859,22.011186,3.3327887,44.798802,5.5148407,4.2070824e-07,-465.21375,-0.78947954,4.3409383,589.26638,12.421182,1220.9783,2.3903278e-26,74.210119,0.35454332,11.352769,209.31185,12.997578,453.8978,8.1795243e-05,-57.514573,-0.27477934,22.011186,209.31185,44.798802,453.8978,0.0026014849,-344.19675,-0.58411063,11.352769,589.26638,12.997578,1220.9783,3.8345211e-12,58.830542,0.099836924,22.011186,589.26638,44.798802,1220.9783,0.28208299,-296.3811,-0.50296625,0.10497504,589.26638,0.23972085,1220.9783,6.4625302e-09,22.16276,0.037610767,20.016516,589.26638,71.511584,1220.9783,0.6859543,-446.31185,-0.75740253,0.0014351898,589.26638,0.0035179291,1220.9783,3.256039e-23,48.12657,0.081672011,3.3327887,589.26638,5.5148407,1220.9783,0.37928696,8794.8227,290627.61,1.0738642,,1,daily
-0.18394972,-0.038876833,4.3224187,4.7316024,12.016636,0.3609486,0.69805717,1.7778099,0.084147412,4.3682515,21.127327,12.277339,-8.535667,0.38433284,0.0056429732,0.015118303,4.3224187,0.3732544,12.016636,0.29113276,0.8801223,2.1358638,0.14416854,4.4381966,14.815047,12.511259,-29.192963,0.1259323,-9.824036e-05,-0.066443193,4.7316024,0.0014785617,0.3609486,0.0032416578,0.50700602,-0.00014387407,-0.097306775,0.3732544,0.0014785617,0.29113276,0.0032416578,0.33057835,-3.5787763,-0.60043752,21.127327,5.9602809,-8.535667,-0.10816087,5.1583806e-12,-375.29306,-0.63961041,4.4381966,586.75258,12.511259,550.93367,1.8613478e-14,25.154968,0.097797944,4.7316024,257.21367,0.3609486,130.37522,0.32813154,-105.44929,-0.42236568,21.127327,249.6635,-8.535667,126.46389,4.7679254e-06,125.01184,0.21052165,4.7316024,593.81941,0.3609486,608.66817,0.033684924,-310.21413,-0.5265792,21.127327,589.11201,-8.535667,574.8441,4.0705199e-09,-149.18504,-0.25122965,0.3732544,593.81941,0.29113276,608.66817,0.010864925,-158.93772,-0.27087691,14.815047,586.75258,-29.192963,550.93367,0.00355684,-226.05451,-0.38526378,0.0015677257,586.75258,0.0034025584,550.93367,2.3085742e-05,194.78779,0.33197603,5.8427522,586.75258,-0.14329772,550.93367,0.0003081338,8506.396,284663.03,1.1121616,,1,0
0.055906189,0.0093804673,4.3461904,5.9598512,11.893857,-0.41286369,0.92695831,0.64564408,0.033309657,4.4269146,19.38309,12.287306,-5.9783747,0.732177,-0.00015839438,-0.00039800834,4.3461904,0.39796748,11.893857,0.35151693,0.99689661,2.0709407,0.14297495,4.4411028,14.484641,12.495786,-27.07966,0.13086015,-0.00028641813,-0.19486653,5.9598512,0.001469817,-0.41286369,0.0031578584,0.054504562,-0.00014343716,-0.097588451,0.39796748,0.001469817,0.35151693,0.0031578584,0.33908977,-3.0034192,-0.50070938,19.38309,5.9983282,-5.9783747,-0.75380524,3.4184713e-08,-337.08494,-0.62821392,4.4411028,536.57668,12.495786,486.96455,9.4566348e-14,8.5266005,0.035860362,5.9598512,237.7723,-0.41286369,117.59038,0.72592042,-117.92905,-0.47868444,19.38309,246.36073,-5.9783747,121.73563,1.6044546e-07,37.569763,0.068658764,5.9598512,547.19544,-0.41286369,550.98355,0.50173672,-213.1866,-0.39515246,19.38309,539.50468,-5.9783747,508.20883,2.3127501e-05,-72.697803,-0.13285528,0.39796748,547.19544,0.35151693,550.98355,0.19219447,-141.50526,-0.26371861,14.484641,536.57668,-27.07966,486.96455,0.0047674457,-195.32388,-0.36401859,0.0015749077,536.57668,0.0033655724,486.96455,7.388508e-05,151.88111,0.28305573,5.8834341,536.57668,-0.83080954,486.96455,0.0023827251,8413.9311,283954.47,1.1139129,,1,1
-0.7661048,-0.11781015,4.2642065,6.5028758,11.87914,-1.1690915,0.25044833,-1.0398373,-0.06660222,4.2409314,15.612653,12.034599,-6.5728209,0.49964382,0.097094947,0.23782572,4.2642065,0.40826091,11.87914,0.31193075,0.018990903,2.8245559,0.19546328,4.3760962,14.450571,12.360188,-25.212615,0.039792449,0.00016078209,0.10433112,6.5028758,0.001541075,-1.1690915,0.0031114633,0.30915327,-0.00010486407,-0.068046051,0.40826091,0.001541075,0.31193075,0.0031114633,0.50780706,-3.0338256,-0.50154956,15.612653,6.0489049,-6.5728209,-1.475279,5.0341713e-08,-316.24973,-0.62753052,4.3760962,503.95912,12.360188,448.37712,1.7042988e-13,45.381264,0.19731103,6.5028758,229.99862,-1.1690915,112.5655,0.052722641,-120.88143,-0.50996529,15.612653,237.03854,-6.5728209,116.71451,2.7500086e-08,107.69488,0.2085672,6.5028758,516.35579,-1.1690915,501.26552,0.040352348,-160.11046,-0.31545476,15.612653,507.55445,-6.5728209,472.65253,0.0010459298,-144.31198,-0.27948166,0.40826091,516.35579,0.31193075,501.26552,0.0055650572,-170.40411,-0.33813083,14.450571,503.95912,-25.212615,448.37712,0.00028384003,-190.0049,-0.37702444,0.0016329641,503.95912,0.003308805,448.37712,4.526651e-05,97.588785,0.19364425,5.9186972,503.95912,-1.4807745,448.37712,0.041711025,8272.0125,283273.16,1.1156703,,1,2
1.595808,0.16320638,4.1962603,9.777853,11.723169,1.8859384,0.11601296,-4.2591248,-0.22058963,4.2792093,19.30791,11.820024,-6.9764769,0.028230598,0.045827741,0.13060248,4.1962603,0.35089489,11.723169,0.28225293,0.20959583,2.0076829,0.13285956,4.3275477,15.111317,11.989406,-25.174321,0.18312709,0.00014938119,0.096735095,9.777853,0.0015442295,1.8859384,0.0030513329,0.35366163,2.8926335e-05,0.018731888,0.35089489,0.0015442295,0.28225293,0.0030513329,0.85778213,-2.6304238,-0.41905692,19.30791,6.2770083,-6.9764769,-1.8777859,1.5812864e-05,-264.3378,-0.55778495,4.3275477,473.90629,11.989406,450.14361,1.1284075e-09,77.964395,0.36868053,9.777853,211.46871,1.8859384,105.50421,0.00025583393,-88.485405,-0.42884593,19.30791,206.33379,-6.9764769,103.87784,9.4791975e-06,55.600979,0.11581436,9.777853,480.08708,1.8859384,482.01558,0.26631733,-145.83649,-0.30641953,19.30791,475.93732,-6.9764769,462.14256,0.0020377467,-153.23952,-0.3191911,0.35089489,480.08708,0.28225293,482.01558,0.0017143189,-188.38654,-0.39751855,15.111317,473.90629,-25.174321,450.14361,3.5174657e-05,-164.6413,-0.3474132,0.0016837819,473.90629,0.0032239722,450.14361,0.00034680655,82.748573,0.17460957,6.2112913,473.90629,-1.9271412,450.14361,0.079217076,8059.9305,282803.57,1.1174622,,1,3
-0.21322228,-0.031749087,4.2387041,6.7158556,11.693838,-0.46983588,0.76129793,-2.9616605,-0.18269248,4.2894973,16.211179,11.93143,-7.0385741,0.067458779,0.05141887,0.14141977,4.2387041,0.36359039,11.693838,0.2952502,0.17395208,2.2244183,0.14345745,4.2871182,15.50577,12.114777,-23.533657,0.14235642,0.00015482273,0.10139151,6.7158556,0.0015269792,-0.46983588,0.0029583488,0.33086001,-0.00013891719,-0.090975165,0.36359039,0.0015269792,0.2952502,0.0029583488,0.38318352,-3.5682594,-0.56539332,16.211179,6.3111099,-7.0385741,-2.541695,7.2708822e-10,-246.24908,-0.53821795,4.2871182,457.52669,12.114777,411.46767,2.6763611e-09,61.820564,0.30494867,6.7158556,202.72449,-0.46983588,98.365731,0.0028029899,-59.409699,-0.30298919,16.211179,196.07861,-7.0385741,94.662337,0.0020711301,116.21413,0.2494485,6.7158556,465.88425,-0.46983588,457.5168,0.015325524,-168.41541,-0.3655052,16.211179,460.77432,-7.0385741,430.14423,0.00017095457,-142.22484,-0.30527936,0.36359039,465.88425,0.2952502,457.5168,0.0027719187,-201.66114,-0.44076365,15.50577,457.52669,-23.533657,411.46767,2.2612501e-06,-146.82494,-0.32091011,0.0016379507,457.52669,0.0031616881,411.46767,0.00079662247,79.520529,0.17380522,6.2214792,457.52669,-2.4750484,411.46767,0.0747811,7904.2202,282240.69,1.1192522,,1,4
0.10930515,0.029763416,4.1633172,3.6724664,11.765158,-0.40787479,0.77463232,1.2737308,0.085561707,4.2961942,14.886692,11.980426,-5.6228193,0.39491221,0.030516439,0.076725103,4.1633172,0.39773734,11.765158,0.33757764,0.45989834,2.3857547,0.16026598,4.3601144,14.886221,12.148671,-22.88326,0.10412669,-0.00013255019,-0.08338855,3.6724664,0.001589549,-0.40787479,0.0029752374,0.42173663,-0.00011369911,-0.071529162,0.39773734,0.001589549,0.33757764,0.0029752374,0.49092794,-3.5235804,-0.55435307,14.886692,6.3562026,-5.6228193,-2.9814976,1.8062836e-09,-254.85543,-0.55769693,4.3601144,456.97837,12.148671,389.44139,7.7573731e-10,-25.820171,-0.1324926,3.6724664,194.8801,-0.40787479,92.049777,0.20056852,-65.904904,-0.34777109,14.886692,189.50656,-5.6228193,89.341708,0.00036599896,90.319018,0.19416088,3.6724664,465.17618,-0.40787479,421.8227,0.059378853,-194.04787,-0.42270105,14.886692,459.06646,-5.6228193,400.5738,1.0654192e-05,-106.75624,-0.22949635,0.39773734,465.17618,0.33757764,421.8227,0.025273833,-184.54366,-0.40383456,14.886221,456.97837,-22.88326,389.44139,2.1275751e-05,-141.6761,-0.31002802,0.0016353137,456.97837,0.0031008008,389.44139,0.0013611453,85.962181,0.18810995,6.2839542,456.97837,-2.9256879,389.44139,0.055840879,7752.0021,281766.1,1.1205749,,1,5
0.42966469,0.040016197,4.0878974,10.73727,11.515392,0.081035675,0.70646784,-1.5786695,-0.084676945,4.3040709,18.643439,12.04283,-4.8855571,0.40223896,0.073630967,0.1812561,4.0878974,0.40622615,11.515392,0.34280329,0.08553358,2.4292456,0.1665043,4.329629,14.589687,12.118805,-22.331895,0.091160272,0.00021846475,0.1482862,10.73727,0.0014732642,0.081035675,0.0028302372,0.16068428,-8.3500121e-05,-0.056676948,0.40622615,0.0014732642,0.34280329,0.0028302372,0.5936053,-3.2942232,-0.51753338,18.643439,6.3652381,-4.8855571,-3.3241332,3.5138653e-08,-252.58126,-0.55391835,4.329629,455.99005,12.118805,367.93364,1.0644411e-09,112.56319,0.55801674,10.73727,201.7201,0.081035675,88.820904,9.1076205e-09,-118.47782,-0.61390068,18.643439,192.99183,-4.8855571,84.849493,1.1077098e-11,58.033958,0.12357018,10.73727,469.64372,0.081035675,414.03509,0.24322338,-163.02477,-0.35362796,18.643439,461.00645,-4.8855571,379.90948,0.00030717926,-138.46456,-0.29482894,0.40622615,469.64372,0.34280329,414.03509,0.0045545541,-202.59112,-0.44428847,14.589687,455.99005,-22.331895,367.93364,2.3066621e-06,-127.99337,-0.28069335,0.0016115352,455.99005,0.0030563869,367.93364,0.0038994131,101.8073,0.22326649,6.3570375,455.99005,-3.2650342,367.93364,0.022714673,7640.9672,281385.94,1.1220229,,1,6
1.7618057,0.20303982,3.9983105,8.6771442,11.299734,1.5509383,0.05927682,0.12510117,0.006272417,4.2608864,19.944652,11.894728,-4.8335732,0.95137841,-0.0053473845,-0.013199773,3.9983105,0.40511187,11.299734,0.33394614,0.90341874,3.5591002,0.19651077,4.2791185,18.111477,12.035621,-6.6626653,0.046649341,0.00032373669,0.24046213,8.6771442,0.0013463105,1.5509383,0.0027238866,0.024866647,-0.00025543477,-0.18972947,0.40511187,0.0013463105,0.33394614,0.0027238866,0.078389615,-3.3479118,-0.52621052,19.944652,6.362305,-4.8335732,-3.3924048,3.1028557e-08,-266.22316,-0.55033486,4.2791185,483.74758,12.035621,367.02054,1.7228487e-09,84.198601,0.41670945,8.6771442,202.0559,1.5509383,91.516099,5.9492691e-05,-94.083488,-0.48994879,19.944652,192.02719,-4.8335732,86.637904,3.5147048e-07,16.70272,0.033231368,8.6771442,502.61911,1.5509383,428.74754,0.75993756,-255.92429,-0.52060997,19.944652,491.58546,-4.8335732,387.04865,4.5991707e-08,-37.212656,-0.074037487,0.40511187,502.61911,0.33394614,428.74754,0.49554021,-221.8636,-0.45863505,18.111477,483.74758,-6.6626653,367.02054,1.1045312e-06,-147.61345,-0.30514562,0.0016002892,483.74758,0.00305285,367.02054,0.0017232197,111.83713,0.23118903,6.2778619,483.74758,-3.2674445,367.02054,0.018793438,7632.125,281346.57,1.1225189,,1,7
6.9986161,0.50672277,4.174301,13.811529,11.636827,15.651246,2.5509103e-07,-7.2431873,-0.24605577,4.2418955,29.437177,12.012898,28.745739,0.012232622,0.16421448,0.53285846,4.174301,0.30817655,11.636827,0.37434076,4.5559387e-08,1.7121538,0.041512183,4.1673134,41.244611,12.323007,86.673596,0.65957836,0.00049409871,0.33182616,13.819952,0.0014890288,15.493773,0.003336254,0.0011568116,0.00079899894,0.53659065,0.30726262,0.0014890288,0.37658845,0.003336254,2.9545964e-08,-2.4743321,-0.52640725,29.422566,4.7004141,28.476247,1.1581443,9.5018491e-09,-405.02716,-0.67848607,4.1673134,596.95722,12.323007,590.76328,8.0023582e-17,39.257396,0.18500432,13.819952,212.19719,15.493773,97.350588,0.075840665,-66.21017,-0.32811089,29.422566,201.79205,28.476247,90.625605,0.00067314166,-148.98071,-0.24698026,13.819952,603.20899,15.493773,711.24114,0.01700138,-9.4752461,-0.015712898,29.422566,603.02347,28.476247,644.21709,0.87420953,-129.30839,-0.21436748,0.30726262,603.20899,0.37658845,711.24114,0.039076732,-144.99413,-0.24336612,41.939191,595.78603,85.882644,586.933,0.0084771569,-351.30975,-0.58965758,0.0015747326,595.78603,0.0036179198,586.933,3.3023298e-12,88.708395,0.14889304,4.5155447,595.78603,1.0553291,586.933,0.11067523,9044.7996,285847.22,1.1135624,,1,8
