SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.5977761,0.40032465,1.1943152,3.9912009,24.890095,9.2341406,0.031405562,-5.2906883,-0.30952953,1.1943152,17.092677,24.890095,24.082462,0.10226749,0.1313846,0.64033788,1.1943152,0.20518011,24.890095,0.2675707,0.00018302716,-9.0550479,-0.38117145,1.1943152,23.75584,24.890095,40.60704,0.041337308,-9.7817563e-05,-0.053071279,3.8345162,0.0018431356,7.8619787,0.0039299637,0.71147965,0.00014607695,0.079254586,0.17907174,0.0018431356,0.20193462,0.0039299637,0.58037969,0.66387846,0.1043325,18.492833,6.3631033,24.994869,3.8345204,0.46624419,-196.43468,-0.66058208,1.1943152,297.36605,24.890095,522.73641,9.6180335e-05,-92.97285,-0.4296608,3.8345162,216.38663,7.8619787,431.74795,0.0016523663,-45.64181,-0.21092713,18.492833,216.38663,24.994869,431.74795,0.13734519,-49.859114,-0.13195689,3.8345162,377.84396,7.8619787,659.57689,0.35598454,171.93522,0.45504294,18.492833,377.84396,24.994869,659.57689,0.00079389044,-209.0673,-0.55331652,0.17907174,377.84396,0.20193462,659.57689,2.5406327e-05,167.6378,0.43455533,23.092663,385.76861,44.406534,682.72174,0.00065324554,-73.842013,-0.1914153,0.0019453784,385.76861,0.0039586693,682.72174,0.15004027,84.046327,0.2178672,6.4167487,385.76861,3.9990381,682.72174,0.10040171,9896.6732,280462.99,1.196668,454.0811,1,daily
1.0198991,0.2291155,3.7695304,4.4514627,25.431034,3.0121337,0.23187772,6.5670825,0.37004744,3.7695304,17.746596,25.431034,-10.680568,0.048167568,0.065350585,0.16778291,3.7695304,0.38949487,25.431034,0.29567139,0.38430838,5.166769,0.31610054,3.7695304,16.345334,25.431034,-18.206897,0.0948162,-0.0003143035,-0.15947568,4.7690169,0.0019708553,2.3040578,0.0038521627,0.26862281,-2.1584036e-05,-0.010951608,0.38073706,0.0019708553,0.23323706,0.0038521627,0.93983034,-2.7850216,-0.44724829,20.882981,6.2270145,-11.837109,1.952,0.0011285413,-89.428895,-0.30185426,3.7695304,296.26515,25.431034,341.34692,0.11151761,32.526727,0.11174885,4.7690169,291.06989,2.3040578,339.04641,0.43974593,-50.654887,-0.17402998,20.882981,291.06989,-11.837109,339.04641,0.22677726,138.42064,0.36514539,4.7690169,379.08364,2.3040578,452.69869,0.0091239596,-219.44536,-0.57888376,20.882981,379.08364,-11.837109,452.69869,1.0633548e-05,-94.057664,-0.2481185,0.38073706,379.08364,0.23323706,452.69869,0.082321933,-233.84382,-0.60010711,17.861338,389.67013,-23.438596,477.61487,8.0623102e-07,-134.52143,-0.34521873,0.0019824334,389.67013,0.0038462025,477.61487,0.0085386273,40.803334,0.1047125,6.2685287,389.67013,2.1464912,477.61487,0.4382321,9615.5061,278625.85,1.2090311,353.6696,1,0
0.71727089,0.14889958,2.508974,4.8171452,25.206897,3.4678356,0.44077214,6.5759313,0.37013341,2.508974,17.766381,25.206897,-10.849058,0.048111558,0.087910022,0.21716787,2.508974,0.40480216,25.206897,0.32398447,0.25779741,5.4171309,0.32903101,2.508974,16.463892,25.206897,-17.551724,0.081360323,-0.00013192553,-0.066687643,5.2466794,0.0019782605,2.5033102,0.0038348094,0.64541664,0.00034725892,0.17553751,0.35571612,0.0019782605,0.22643089,0.0038348094,0.22271604,-3.9578755,-0.61430951,23.602745,6.4428036,-9.6387563,1.774,2.0832655e-06,-95.821912,-0.32737071,2.508974,292.70155,25.206897,322.3398,0.083001224,40.055965,0.13923531,5.2466794,287.68539,2.5033102,331.91535,0.33487123,-51.294936,-0.1783022,23.602745,287.68539,-9.6387563,331.91535,0.21539968,138.80187,0.35740254,5.2466794,388.36285,2.5033102,441.17465,0.010832028,-159.92156,-0.41178387,23.602745,388.36285,-9.6387563,441.17465,0.0029668432,-117.54148,-0.30265892,0.35571612,388.36285,0.22643089,441.17465,0.032648611,-219.23687,-0.55356966,17.921836,396.04207,-22.631579,465.37918,7.954117e-06,-126.76787,-0.32008688,0.0019757125,396.04207,0.0038194282,465.37918,0.015211659,58.135365,0.14679088,6.4117828,396.04207,1.9394737,465.37918,0.27588522,9548.5706,278438.14,1.2091209,354.05282,1,1
1.2501663,0.28540444,2.2975574,4.3803324,25.160714,3.5418595,0.14097102,6.0349905,0.32790777,2.2664288,18.404537,25.12069,-8.7244371,0.082467696,0.13285955,0.34825145,2.2975574,0.38150465,25.160714,0.28101179,0.069357072,5.2031141,0.31775158,2.2664288,16.374786,25.12069,-16.982759,0.093010177,-0.00023852251,-0.12081888,4.4083535,0.0019742155,2.5466521,0.0038383387,0.40827399,-3.5346424e-06,-0.0017904035,0.35712619,0.0019742155,0.2124757,0.0038383387,0.99025864,-3.3797596,-0.52091301,19.430081,6.4881459,-10.55618,1.472,0.0001051611,-103.27415,-0.34433892,2.2664288,299.92005,25.12069,316.45856,0.06737699,14.986237,0.054353396,4.4083535,275.71851,2.5466521,334.19996,0.71069255,-49.043545,-0.17738668,19.430081,276.47817,-10.55618,327.92153,0.21780365,116.96034,0.31796853,4.4083535,367.83622,2.5466521,416.15574,0.025983778,-228.26118,-0.62424161,19.430081,365.66159,-10.55618,411.32623,1.2718025e-06,-76.056426,-0.2067671,0.35712619,367.83622,0.2124757,416.15574,0.15402371,-207.23973,-0.5451044,17.453133,380.18357,-21.868421,447.82806,1.1633688e-05,-106.29834,-0.2795974,0.0019385674,380.18357,0.0037764544,447.82806,0.035173375,67.863343,0.17850152,6.4476107,380.18357,1.6798246,447.82806,0.18401359,9441.1359,278184.02,1.2094743,354.62439,1,2
1.6944682,0.33693092,1.942639,5.0291265,25.076923,2.7693004,0.092346732,6.5632493,0.34907608,1.9161556,18.801773,25.037037,-10.019808,0.074318944,0.17974928,0.52708106,1.942639,0.34102778,25.076923,0.24497054,0.0056622981,6.1086857,0.3598097,1.8464785,16.977546,25.034483,-17.327586,0.055216132,-0.00010644571,-0.052951745,4.7374606,0.0020102399,2.1881851,0.0038208706,0.72371978,-0.00015035386,-0.074793991,0.32493321,0.0020102399,0.18439665,0.0038208706,0.61731793,-3.2307622,-0.48581637,21.135568,6.6501716,-12.447641,1.3229167,0.0004645528,-114.4816,-0.37251051,1.8464785,307.32449,25.034483,321.28057,0.046583097,51.077643,0.1777235,4.7374606,287.39949,2.1881851,334.41636,0.23203054,-49.650021,-0.17262413,21.135568,287.61924,-12.447641,328.15176,0.2406825,118.10783,0.31391972,4.7374606,376.23579,2.1881851,415.72726,0.031648658,-228.22963,-0.60999993,21.135568,374.14698,-12.447641,410.24174,4.1705783e-06,-62.771096,-0.16683978,0.32493321,376.23579,0.18439665,415.72726,0.26234138,-215.83435,-0.57791834,17.636782,373.4686,-21.877193,445.54914,2.5093392e-06,-115.64702,-0.3096566,0.0019289833,373.4686,0.0037228547,445.54914,0.019078372,49.597646,0.13280272,6.4320974,373.4686,1.4280702,445.54914,0.32472415,9307.1366,277926.15,1.209841,358.15596,1,3
0.85434568,0.20406893,1.6154304,4.1865544,24.980769,2.8778039,0.3173348,7.9793224,0.424518,1.6268185,18.796193,24.942308,-12.332603,0.030649758,0.1844638,0.53857955,1.6487369,0.34250056,24.98,0.21730496,0.0054764988,6.80571,0.40518523,1.537303,16.79654,24.948276,-17.034483,0.029220249,9.6068544e-05,0.048296354,3.9369688,0.0019891469,2.1461139,0.0037774316,0.74716824,8.9462785e-05,0.044648294,0.27874897,0.0020037223,0.13147633,0.003802307,0.76827452,-3.0341896,-0.45730157,23.707021,6.6349861,-15.442774,1.1425532,0.0012309395,-124.19929,-0.42699835,1.537303,290.86598,24.948276,306.76631,0.020878422,16.640683,0.059176888,3.9369688,281.20241,2.1461139,339.48169,0.69275547,-9.1393369,-0.03237692,23.707021,282.27938,-15.442774,338.46562,0.82895302,87.336955,0.24797717,3.9369688,352.19756,2.1461139,397.30495,0.092834546,-153.66039,-0.43681697,23.707021,351.77294,-15.442774,397.86129,0.0021416183,-79.715426,-0.22540305,0.27874897,353.65726,0.13147633,403.29901,0.13203037,-196.39272,-0.55841525,17.450956,351.69655,-21.719298,425.70845,6.3683218e-06,-109.26286,-0.31067366,0.0019160072,351.69655,0.0036731916,425.70845,0.018667803,30.908636,0.087884388,6.3787041,351.69655,1.0736842,425.70845,0.51564548,9182.979,277570.59,1.2106515,356.3254,1,4
1.0651017,0.26781519,1.4299901,3.9770026,24.944444,3.3392593,0.17682874,6.9608583,0.40115919,1.4698247,17.351861,24.903846,-9.76549,0.042241201,0.23220064,0.68230774,1.4882876,0.34031658,24.94,0.18005312,0.00017186515,7.3135507,0.41578417,1.3891735,17.589777,24.913793,-17.310345,0.024881336,0.00018411847,0.09190521,4.019622,0.0020033519,2.590511,0.003747094,0.53442146,0.00023842814,0.11799863,0.27859816,0.0020206008,0.12214428,0.0038127965,0.43479359,-3.1345545,-0.47480772,23.636177,6.6017345,-12.532367,1.0297872,0.0007457776,-132.38238,-0.49915437,1.3891735,265.21331,24.913793,291.35347,0.0058416768,-11.259155,-0.041468746,4.019622,271.50941,2.590511,339.00995,0.77959181,-25.118858,-0.091434047,23.636177,274.72105,-12.532367,341.35631,0.54103841,42.352403,0.12988525,4.019622,326.07555,2.590511,378.54903,0.37892077,-136.28405,-0.41493707,23.636177,328.4451,-12.532367,380.5287,0.0037309535,-106.08781,-0.32089982,0.27859816,330.59479,0.12214428,385.04628,0.029673676,-163.87893,-0.48349621,17.533774,338.94564,-21.663793,399.15142,0.00012070794,-118.03533,-0.34824265,0.0021032503,338.94564,0.0037869573,399.15142,0.0073881976,2.2077917,0.0065137044,6.5640013,338.94564,1.1051724,399.15142,0.96129584,9467.3933,277625.49,1.2101132,357.69925,1,5
1.1827379,0.32815413,1.2885094,3.6042146,24.888889,2.6908911,0.094702925,7.4624657,0.4153584,1.3138317,17.966329,24.884615,-10.337323,0.034844578,0.10840959,0.36870905,1.3138317,0.29402477,24.884615,0.16773802,0.063809459,7.3838916,0.41920037,1.2419693,17.61423,24.896552,-16.241379,0.023600628,0.00024390336,0.12185414,3.5175305,0.0020016009,2.0967206,0.0037235279,0.40423944,-0.00025763835,-0.12788017,0.29569718,0.0020146857,0.13632408,0.0037490867,0.3863861,-2.9629816,-0.44728011,21.992975,6.6244429,-11.206728,0.65104167,0.0014359047,-135.00352,-0.53048366,1.2419693,254.49139,24.896552,275.69015,0.0030731712,9.595059,0.036230377,3.5175305,264.83464,2.0967206,347.18665,0.80479473,4.3855499,0.016592251,21.992975,264.31314,-11.206728,353.13095,0.91087736,22.480241,0.074482359,3.5175305,301.81967,2.0967206,350.10878,0.61101547,-113.39824,-0.37470975,21.992975,302.62953,-11.206728,355.48919,0.0086904103,-62.425293,-0.20627628,0.29569718,302.62953,0.13632408,355.48919,0.15953645,-165.31193,-0.52202922,18.020651,316.67179,-20.422414,373.07879,2.6372378e-05,-113.31629,-0.35783512,0.0021061399,316.67179,0.0037760165,373.07879,0.0058186607,-12.89135,-0.040708867,6.5893717,316.67179,0.83017241,373.07879,0.76158022,9440.0414,277324.69,1.2109098,358.64451,1,6
1.8782155,0.4082461,1.1676583,4.6006942,24.875,3.7111163,0.031027852,7.9565966,0.45052636,1.1789321,17.660668,24.839286,-9.4814987,0.016132396,0.21136636,0.48610444,1.1896395,0.43481678,24.87037,0.33571892,0.010146277,6.5876699,0.34770927,1.158073,18.945914,24.844828,-12.586207,0.064565278,0.0004494642,0.22555524,4.1012839,0.0019927012,2.6173481,0.0037392578,0.11526846,0.0004927774,0.24549624,0.35860581,0.0020072707,0.1924243,0.0037611437,0.08908593,-2.3461447,-0.35450485,20.828476,6.6180893,-11.746414,0.524,0.011538539,-133.38007,-0.55192851,1.158073,241.66186,24.844828,263.43364,0.001909294,15.119661,0.058295171,4.1012839,259.36387,2.6173481,352.20035,0.68759171,18.484861,0.071344023,20.828476,259.09474,-11.746414,352.42005,0.62247413,-7.2650209,-0.025054483,4.1012839,289.9689,2.6173481,341.07526,0.86288092,-93.214397,-0.32199568,20.828476,289.48959,-11.746414,341.61034,0.022585637,-62.522335,-0.21532165,0.35860581,290.36715,0.1924243,346.53338,0.13732344,-144.4651,-0.47477296,17.793178,304.2825,-17.439655,349.31149,0.00016620342,-105.93304,-0.34814043,0.0020887956,304.2825,0.0037841063,349.31149,0.0074067386,-19.508034,-0.064111588,6.595381,304.2825,0.67758621,349.31149,0.63256274,9460.2657,277143.45,1.2116582,358.11472,1,7
0.056972614,0.0079645202,1.0135693,7.1533016,24.793138,8.7288323,0.96729257,-0.49104214,-0.039299907,1.031373,12.49474,24.78575,4.2138798,0.84261413,0.042770092,0.11657171,1.031373,0.3668994,24.78575,0.57902192,0.55469713,-4.8065841,-0.20168143,1.0135693,23.832557,24.793138,22.517241,0.29411237,-0.00035327318,-0.18114728,7.4291893,0.0019501987,9.551037,0.0038298456,0.20804737,0.0002279178,0.11594818,0.34981182,0.0019656868,0.4380982,0.0038489275,0.42756472,-3.0882378,-0.47479346,19.65701,6.5043815,8.2195676,1.3428571,0.00056690345,-156.10381,-0.58945795,1.0135693,264.82603,24.793138,298.29921,0.00076593992,-30.702112,-0.12307121,7.4291893,249.46625,9.551037,369.10267,0.39450415,-25.490298,-0.10293005,19.65701,247.6468,8.2195676,375.66938,0.481568,49.89722,0.15372565,7.4291893,324.58616,9.551037,380.86439,0.28648586,26.502178,0.081334672,19.65701,325.84109,8.2195676,386.06159,0.57850704,7.1063594,0.02180928,0.34981182,325.84109,0.4380982,386.06159,0.88175763,15.761116,0.048059526,21.04625,327.94989,24.551724,388.65478,0.72015625,-116.32488,-0.35470322,0.0020734497,327.94989,0.0038584218,388.65478,0.0062954541,-10.412555,-0.031750444,6.4915076,327.94989,1.325,388.65478,0.81296711,9646.0545,277776,1.2078059,389.23506,1,8
