SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.0002613,0.20743112,6.8259504,4.8221374,39.907616,5.9130711,0.00016578251,1.8742847,0.092049739,6.8254,20.361651,39.92803,23.290764,0.097087282,0.027524845,0.2200269,6.8259504,0.12509764,39.907616,0.17679658,6.3224853e-05,2.4170896,0.11259506,7.0582437,21.467102,38.815958,29.584802,0.027367864,-0.000314918,-0.19832235,4.7761195,0.0015879097,5.8990447,0.0028120286,0.00027087312,0.00012969825,0.081678606,0.12709956,0.0015879097,0.17810551,0.0028120286,0.13691547,-3.4911812,-0.51549282,20.259563,6.7725119,23.336071,-0.52399536,4.5402584e-24,-92.157667,-0.22744925,7.0582437,405.17904,38.815958,711.36358,6.7417029e-06,54.656166,0.21273819,4.7761195,256.91751,5.8990447,524.24273,9.1388549e-05,41.56022,0.16179712,20.259563,256.86624,23.336071,523.52538,0.0030226259,13.104541,0.034454876,4.7761195,380.33922,5.8990447,723.66676,0.53094486,129.69251,0.33932845,20.259563,382.20348,23.336071,721.30947,1.9134404e-10,-148.17342,-0.38958227,0.12709956,380.33922,0.17810551,723.66676,1.632032e-13,84.373334,0.20826378,21.449108,405.12726,29.551465,710.36285,3.815306e-05,-123.52231,-0.30540323,0.0015588643,404.45645,0.0028729356,712.94971,6.5944929e-10,66.046068,0.16329587,6.7558046,404.45645,-0.22185003,712.94971,0.0011762669,7182.3391,275269.84,1.2140164,,1,daily
0.87730359,0.17352602,6.9814524,5.0557465,39.712285,1.0154906,0.0034638357,1.2098185,0.06262076,6.9282904,19.319767,39.958909,-14.389741,0.27325521,0.035094821,0.11076169,6.9814524,0.31684982,39.712285,0.16016429,0.063245371,1.4923268,0.044482188,7.1761666,33.548863,38.856235,-46.033612,0.38720958,-0.00046911004,-0.30349191,5.0230161,0.0015457086,1.0608947,0.0025760068,1.5010362e-07,-2.4729559e-05,-0.01599885,0.32020709,0.0015457086,0.16218584,0.0025760068,0.78689408,-2.7254993,-0.37615969,19.262633,7.2455911,-14.384419,-1.6907631,4.6485644e-12,-76.959459,-0.18579042,7.1761666,414.22728,38.856235,592.7037,0.00027100729,85.567299,0.26200832,5.0230161,326.58237,1.0608947,420.39554,6.6043769e-06,1.9177251,0.0058740582,19.262633,326.47363,-14.384419,429.68753,0.91716408,1.882797,0.005062648,5.0230161,371.89964,1.0608947,659.87973,0.9318298,-153.18034,-0.39689279,19.262633,385.94892,-14.384419,631.95937,2.2905203e-13,-67.503492,-0.18150997,0.32020709,371.89964,0.16218584,659.87973,0.0019837175,-186.80684,-0.45132608,33.570577,413.90658,-45.925913,592.00507,1.614455e-20,-131.46684,-0.31859211,0.0016875372,412.64939,0.002850038,594.23035,1.3323922e-10,52.615773,0.12750721,7.1105238,412.64939,-1.2521156,594.23035,0.011944978,7125.095,274240.95,1.2252442,,1,0
1.2029159,0.27697263,7.0408694,4.3430859,39.626954,1.1519195,3.375115e-06,1.8063851,0.10176063,6.9401871,17.751316,39.945289,-13.471581,0.075499924,0.041808174,0.14610974,7.0408694,0.28614229,39.626954,0.14267815,0.015690701,1.1311605,0.033637332,7.1809482,33.628128,38.799287,-46.204489,0.51439919,-0.00043955403,-0.28418912,4.3078727,0.0015466955,1.1899979,0.0025379393,1.3370875e-06,-8.1070111e-05,-0.052415043,0.28619165,0.0015466955,0.14281262,0.0025379393,0.38225516,-2.7947465,-0.38812482,17.646589,7.2006384,-13.330964,-2.13441,9.9155556e-13,-68.297492,-0.1700213,7.1724818,401.69963,38.793018,560.23357,0.0008897333,109.20535,0.34420384,4.3078727,317.26941,1.1899979,409.93982,3.3065393e-09,13.382026,0.040788864,17.646589,328.08037,-13.330964,427.30624,0.47140328,18.148249,0.049947974,4.3078727,363.34305,1.1899979,639.13706,0.40508707,-141.58925,-0.37581022,17.646589,376.75732,-13.330964,600.36436,5.7021116e-12,-72.943506,-0.20075658,0.28619165,363.34305,0.14281262,639.13706,0.0007282014,-171.59696,-0.42705469,33.650246,401.81496,-46.095771,560.01857,3.1217068e-18,-127.19133,-0.31776829,0.0016847665,400.26439,0.0028405656,561.87742,1.5785192e-10,43.384098,0.1083886,7.1201252,400.26439,-1.568193,561.87742,0.033036367,7101.414,273925.57,1.2261892,,1,1
0.82778024,0.17443745,6.9520829,4.7454274,39.718641,1.1541979,0.0036474824,1.7584991,0.10000456,6.8690578,17.584189,39.921279,-14.099591,0.079716741,0.047063092,0.15281466,6.9520829,0.30797499,39.718641,0.16211504,0.011016528,1.342323,0.040176475,7.1286469,33.41067,38.787307,-45.641239,0.43606958,-0.00023337893,-0.14966371,4.717192,0.0015593555,1.207628,0.0025508713,0.011708721,-9.9694875e-05,-0.063933385,0.30572973,0.0015593555,0.16095724,0.0025508713,0.28378171,-2.6752189,-0.36729888,17.568144,7.2834932,-13.919218,-2.3701227,1.5792315e-11,-66.612687,-0.17158499,7.1202832,388.21978,38.78096,536.0921,0.00079572099,137.97068,0.42810696,4.717192,322.28086,1.207628,414.12517,4.8492291e-14,-9.3104778,-0.028244384,17.568144,329.63997,-13.919218,424.6383,0.61693902,4.4640864,0.012581243,4.717192,354.82078,1.207628,595.81545,0.8331051,-125.04968,-0.33952376,17.568144,368.30906,-13.919218,569.11477,5.7687133e-10,-59.57763,-0.16790908,0.30572973,354.82078,0.16095724,595.81545,0.0046214215,-155.0298,-0.39935383,33.434936,388.20161,-45.531367,536.12335,6.0708449e-16,-116.20916,-0.30047328,0.0016871562,386.75374,0.0028246879,537.79105,1.621146e-09,44.283534,0.1145006,7.1837309,386.75374,-1.8410435,537.79105,0.024283199,7061.7198,273642.64,1.2267163,,1,2
0.93462887,0.2015441,7.1081648,4.6373417,39.801119,1.2130616,0.00074116374,1.0557324,0.059852978,6.9965565,17.638762,40.110729,-13.950444,0.29585276,0.086364813,0.26804182,7.1210669,0.32220648,39.800398,0.17598801,6.309644e-06,1.8792465,0.056681313,7.2527598,33.154605,38.860263,-44.719447,0.2729416,-0.00040066127,-0.26414056,4.6024765,0.0015168487,1.23678,0.0025250141,6.4178349e-06,-0.00012844241,-0.084544273,0.32009894,0.0015192326,0.1749503,0.0025268121,0.15604461,-2.6705101,-0.36539748,17.620525,7.3085072,-13.841693,-2.6162312,2.1983879e-11,-68.444093,-0.18298362,7.2362748,374.04492,38.845709,510.48949,0.00034880584,117.19533,0.34920827,4.6024765,335.60296,1.23678,428.73381,1.4435046e-09,-1.5945953,-0.0047865607,17.620525,333.1401,-13.841693,426.63034,0.93256686,-5.3864922,-0.015791315,4.6024765,341.10472,1.23678,561.91889,0.79103811,-94.210601,-0.26499763,17.620525,355.51488,-13.841693,533.81252,1.8414119e-06,-50.598516,-0.14809792,0.32009894,341.65581,0.1749503,562.27595,0.012626471,-136.76724,-0.36627111,33.176835,373.40438,-44.611438,509.21512,2.0595064e-13,-104.55921,-0.28059368,0.0016334412,372.63565,0.0027999515,511.88372,2.0471704e-08,46.922685,0.12592108,7.1754457,372.63565,-2.1152394,511.88372,0.013293977,6999.8787,273372.87,1.2271016,,1,3
0.66924576,0.17935518,6.9200736,3.7313992,39.769527,0.69611101,0.0029395545,1.4650345,0.084264761,6.9641863,17.386087,40.146354,-12.166069,0.14074132,0.029086418,0.088728269,6.9328206,0.32781455,39.770197,0.18191186,0.14443168,1.8156721,0.05586646,7.2369401,32.500218,38.903261,-42.761962,0.27990712,-0.00047153936,-0.3079461,3.716611,0.0015312399,0.74112782,0.0025392683,1.4546794e-07,-7.2229283e-05,-0.047228033,0.33024437,0.0015293731,0.18287271,0.0025321727,0.43200775,-1.9876899,-0.27576608,17.320554,7.2078839,-12.084669,-2.9701732,6.6390206e-07,-69.129625,-0.19208354,7.2205696,359.89354,38.888512,486.21592,0.00017182028,78.87764,0.23675208,3.716611,333.16556,0.74112782,424.07841,6.3095489e-05,-11.662898,-0.035277606,17.320554,330.60346,-12.084669,430.88103,0.5327455,9.350832,0.028867965,3.716611,323.91725,0.74112782,532.24102,0.63052163,-94.023492,-0.27529405,17.320554,341.53842,-12.084669,503.23621,6.9490759e-07,-52.341116,-0.16130877,0.33024437,324.47781,0.18287271,532.01818,0.006934044,-124.57585,-0.34666044,32.516737,359.35987,-42.660472,485.06141,4.376411e-12,-97.29922,-0.2714347,0.0015906058,358.46272,0.0027699031,487.24364,6.0406587e-08,44.360223,0.12375129,7.1181317,358.46272,-2.4127271,487.24364,0.014982576,6924.7578,273076.64,1.2273573,,1,4
0.71191602,0.14603411,6.8024464,4.8749981,39.733829,0.73069436,0.017369497,3.0503353,0.17087471,6.8933935,17.851298,39.825849,-12.957408,0.0030848777,0.023089585,0.070012704,6.7994654,0.32979137,39.776962,0.19173259,0.25788852,1.6586872,0.052402144,7.1951109,31.653041,38.817193,-42.16808,0.31085555,-0.00035035584,-0.22846026,4.9179622,0.0015335527,0.81193442,0.0024918286,0.00014417184,-7.9543365e-06,-0.0052174338,0.33823192,0.0015245688,0.19894772,0.0024781474,0.93199585,-2.2447281,-0.30754738,17.828224,7.2988041,-12.782637,-3.2271163,3.984644e-08,-66.696481,-0.19021134,7.1869986,350.64409,38.809727,467.08654,0.00020324945,75.565526,0.22881507,4.9179622,330.24716,0.81193442,417.63406,0.00014068331,20.449008,0.059710667,17.828224,342.46826,-12.782637,440.4672,0.29779921,8.6501374,0.027257174,4.9179622,317.35269,0.81193442,514.23368,0.65447819,-98.382218,-0.30162412,17.828224,326.1749,-12.782637,494.6471,7.4279722e-08,-41.262389,-0.13061228,0.33823192,315.91508,0.19894772,514.30639,0.031919255,-121.35843,-0.34676935,31.671983,349.96873,-42.066838,465.54256,4.3052379e-12,-90.039077,-0.25776043,0.001580287,349.31303,0.0027516951,467.68667,2.9269894e-07,41.793285,0.11964422,7.1593314,349.31303,-2.6632782,467.68667,0.018854412,6879.2378,272811.57,1.2280533,,1,5
0.74892444,0.16490187,6.8703459,4.541637,39.769469,0.81284951,0.0061267225,2.7033564,0.15105242,6.9973493,17.89681,39.791311,-13.024248,0.0085578906,0.038806508,0.13061347,6.8829033,0.29710953,39.768628,0.16678775,0.030662823,0.68839474,0.021608382,7.1971583,31.857764,38.771972,-42.368594,0.67619883,-0.0004809384,-0.312308,4.5032643,0.001539949,0.84951563,0.0025023718,8.9810955e-08,-3.1128991e-05,-0.020499532,0.3010882,0.001518522,0.16966525,0.0024861692,0.73270902,-2.3745499,-0.32250044,18.162097,7.3629353,-12.879644,-3.4140629,6.5601553e-09,-64.029729,-0.18830002,7.188936,340.04101,38.764785,450.05778,0.00023605957,120.92989,0.35842715,4.5032643,337.39044,0.84951563,429.37316,6.0787219e-10,6.9542172,0.020514473,18.162097,338.99078,-12.879644,438.88937,0.71945458,35.643193,0.11596512,4.5032643,307.36133,0.84951563,494.23096,0.052158826,-97.357098,-0.30735412,18.162097,316.75872,-12.879644,479.15139,3.4886132e-08,-35.203467,-0.11473903,0.3010882,306.81335,0.16966525,495.77826,0.055149021,-124.8345,-0.36771354,31.876681,339.48845,-42.266821,448.66178,1.6311259e-13,-81.484162,-0.24058897,0.0015817003,338.68619,0.0027323649,451.91151,1.8475052e-06,42.676213,0.12600518,7.2012624,338.68619,-2.8859,451.91151,0.013473827,6830.9122,272564.73,1.2290522,,1,6
0.50529983,0.13221717,6.8265238,3.8217413,39.713656,0.55549614,0.028950491,2.2945038,0.13859996,7.0021768,16.554866,39.854763,-11.662836,0.01647747,0.053356419,0.17337492,6.8265238,0.30775166,39.713656,0.1693034,0.0040624598,0.43399468,0.015981578,7.2068278,27.155933,38.798153,-30.15947,0.75772591,-0.0004353548,-0.27911879,3.821613,0.0015597474,0.64110244,0.0024958871,2.0059755e-06,-7.6268205e-05,-0.048897794,0.31647151,0.0015597474,0.17658568,0.0024958871,0.41420782,-2.6278386,-0.35678287,16.596096,7.3653723,-11.542539,-3.4846365,1.2027666e-10,-69.173055,-0.2060595,7.1985363,335.69457,38.791033,445.69694,5.682495e-05,77.229398,0.23470065,3.821613,329.0549,0.64110244,424.60239,7.115538e-05,19.849902,0.059282769,16.596096,334.83425,-11.542539,437.25166,0.30048604,4.0167809,0.013530144,3.821613,296.87643,0.64110244,486.93832,0.8213524,-88.276915,-0.28514499,16.596096,309.58607,-11.542539,474.86388,3.7417351e-07,-20.865195,-0.070282423,0.31647151,296.87643,0.17658568,486.93832,0.24025519,-126.03936,-0.37589532,27.183324,335.30443,-29.917464,444.5874,3.9329656e-14,-83.035782,-0.24849269,0.001595386,334.15784,0.0027202523,448.17015,7.9096424e-07,35.049121,0.10488792,7.2073903,334.15784,-3.0031955,448.17015,0.039682887,6800.6308,272426.42,1.2296149,,1,7
1.1379391,0.1596791,6.8960891,7.1264125,39.737599,4.5016734,0.0066174919,1.672216,0.083339085,6.9193703,20.065207,39.854344,6.8278405,0.14650013,0.032669249,0.10471349,6.9055168,0.31198701,39.726413,0.27743656,0.076545869,-1.1985178,-0.041725473,7.2042915,28.723887,38.766227,43.217659,0.42043677,-0.00031659852,-0.20054519,7.0781545,0.0015786892,4.5617448,0.0025486936,0.00051844819,-3.3770497e-05,-0.021369516,0.30989782,0.0015803117,0.27735302,0.0025520528,0.71472554,-3.2301397,-0.4465573,19.917836,7.2334272,6.9999079,-3.0081742,8.5299546e-17,-74.308072,-0.21217713,7.195912,350.21716,38.759358,487.35514,3.3555225e-05,107.78741,0.32525724,7.0781545,331.39128,4.5617448,452.5061,1.0115605e-08,125.10056,0.38542252,19.917836,324.58031,6.9999079,447.35618,1.464761e-12,18.487449,0.059608192,7.0781545,310.14947,4.5617448,530.97383,0.3067298,13.237626,0.041318238,19.917836,320.38214,6.9999079,506.31599,0.46566368,14.060126,0.045272056,0.30989782,310.56963,0.27735302,531.4466,0.43853519,34.715165,0.09943063,28.70809,349.13955,43.017518,485.31893,0.053416449,-95.784826,-0.27520339,0.0016098606,348.05104,0.0027424719,489.11234,4.0498862e-08,28.373184,0.081520183,7.1589658,348.05104,-2.5841361,489.11234,0.11026585,6856.1799,272824.1,1.2278678,,1,8
