SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-5.5251217,-0.4256027,1.993986,12.981876,33.92825,11.438689,3.2740981e-07,-9.0069104,-0.38059479,1.9652254,23.665354,33.861403,-7.3565284,5.7236973e-06,-0.0060545244,-0.036887145,1.9607777,0.16413643,33.893516,0.22985284,0.67454891,3.0184839,0.18271737,2.0347442,16.519961,34.030454,18.79421,0.033910609,-0.00026555315,-0.20031445,12.981876,0.0013256815,11.438689,0.0044895754,0.020787841,5.7566971e-05,0.043815606,0.16413643,0.0013138463,0.22985284,0.0044713214,0.61788175,-0.60524589,-0.19035166,23.665354,3.1796197,-7.3565284,3.8903131,0.027593352,-11.585861,-0.44602308,1.9834176,25.975923,33.910049,26.270131,2.6538171e-08,-35.81561,-0.13749287,12.981876,260.49068,11.438689,294.39395,0.11452371,-170.34456,-0.65915149,23.665354,258.43006,-7.3565284,289.14956,4.7780866e-18,4.7129736,0.17964312,12.981876,26.235202,11.438689,27.234483,0.038541114,2.8781908,0.10966406,23.665354,26.245523,-7.3565284,27.027629,0.20717616,-4.6371013,-0.17668916,0.16413643,26.244401,0.22985284,27.423171,0.04269613,-11.867334,-0.44696457,16.538634,26.55095,18.691509,25.725493,6.1706501e-08,-16.658708,-0.64131341,0.001308243,25.975923,0.0045344042,26.270131,8.1324605e-18,-4.017785,-0.15467343,3.1699272,25.975923,3.9951278,26.270131,0.066072356,11336.01,279785.83,1.2205709,296.1988,1,daily
-2.2759253,-0.36716554,1.8970498,6.1986353,33.524276,2.912069,0.00046844597,8.2678287,0.26954682,1.8765501,30.67307,33.485264,-28.285165,0.009772454,0.087665855,0.20582269,1.8970498,0.42592902,33.524276,0.23774407,0.055805658,15.526844,0.47261269,2.1937917,32.853209,34.114894,-23.648106,1.0544657e-08,-0.00052321537,-0.38533944,6.1986353,0.0013578038,2.912069,0.0041268168,0.00022814152,0.00019267601,0.14190268,0.42592902,0.0013578038,0.23774407,0.0041268168,0.18983013,0.094273516,0.028585993,30.67307,3.297892,-28.285165,2.8959341,0.7879464,-10.033575,-0.38867446,2.1099287,25.814856,33.960674,21.460225,2.4658194e-06,18.889418,0.081241099,6.1986353,232.51062,2.912069,148.52984,0.45443353,-8.3183758,-0.036374765,30.67307,228.68535,-28.285165,143.14435,0.73211786,11.564762,0.40878686,6.1986353,28.290444,2.912069,30.228644,8.4606524e-05,-16.067955,-0.56846472,30.67307,28.265527,-28.285165,28.986615,4.1560941e-09,-9.7351522,-0.3441145,0.42592902,28.290444,0.23774407,30.228644,0.0011002991,-17.802032,-0.6704446,32.922637,26.552578,-24.075769,21.323445,2.665606e-18,-15.818071,-0.61275068,0.0013966689,25.814856,0.0044851415,21.460225,1.3801848e-15,-5.4098746,-0.20956439,3.4267532,25.814856,3.3383696,21.460225,0.013629284,11212.854,279136.41,1.227361,239.70148,1,0
-2.3977978,-0.37381741,1.8203538,6.4143557,33.39611,3.6908537,0.00054135995,7.0621448,0.2172843,1.8091987,32.501864,33.347596,-26.133146,0.040816987,0.01670445,0.05100468,1.8203538,0.32750818,33.39611,0.15152679,0.64905682,15.638369,0.47249512,2.2330932,33.09742,34.112333,-24.096205,1.0645659e-08,-0.00053309585,-0.38495825,6.4143557,0.0013848147,3.6908537,0.004112805,0.0003554887,1.7341364e-05,0.012522516,0.32750818,0.0013848147,0.15152679,0.004112805,0.91109323,-0.064454455,-0.019530437,32.501864,3.3002054,-26.133146,2.5737079,0.85584766,-9.1122578,-0.34892625,2.1505154,26.11514,33.959159,21.42135,2.7375199e-05,-9.1291761,-0.045202933,6.4143557,201.95982,3.6908537,134.27638,0.6867627,-22.511729,-0.10748034,32.501864,209.44974,-26.133146,134.51616,0.31608227,11.642423,0.42332667,6.4143557,27.502218,3.6908537,28.216645,7.4153915e-05,-15.122613,-0.55410953,32.501864,27.29174,-26.133146,26.478377,1.7693383e-08,-6.1143294,-0.22232132,0.32750818,27.502218,0.15152679,28.216645,0.04469668,-17.290614,-0.64379269,33.166832,26.857425,-24.5273,21.387726,1.4365911e-16,-16.046605,-0.61445602,0.0014098865,26.11514,0.00447054,21.42135,1.0955877e-15,-5.3692401,-0.20559875,3.4868623,26.11514,3.2748551,21.42135,0.015555841,11176.35,279077.84,1.2278224,234.12032,1,1
-2.4059833,-0.32944528,1.8400605,7.3031347,33.573966,3.6304598,0.0018339048,3.9375467,0.12397545,1.8457294,31.760696,33.537394,-33.294138,0.23384866,0.013575614,0.052733828,1.8400605,0.25743654,33.573966,0.099233753,0.62761115,15.228675,0.46465912,2.2809571,32.773865,34.109705,-24.688633,1.9935201e-08,-0.00033369158,-0.2430413,7.3031347,0.001372983,3.6304598,0.0041453705,0.023312426,8.7034945e-05,0.06339113,0.25743654,0.001372983,0.099233753,0.0041453705,0.55968582,0.19574159,0.055424779,31.760696,3.5316621,-33.294138,2.6109043,0.59570889,-8.8021897,-0.3341912,2.200145,26.338784,33.957754,21.537175,6.1769356e-05,8.8759926,0.034690265,7.3031347,255.86408,3.6304598,178.79635,0.74973769,-68.358945,-0.25812541,31.760696,264.82842,-33.294138,187.52058,0.012009808,8.8735778,0.33571871,7.3031347,26.431586,3.6304598,25.965117,0.0014784437,-13.862054,-0.48916221,31.760696,28.338358,-33.294138,25.773776,5.6510349e-07,-4.3470654,-0.1644648,0.25743654,26.431586,0.099233753,25.965117,0.12795305,-17.597876,-0.65029339,32.820434,27.06144,-25.140765,21.504708,5.6349516e-17,-16.170018,-0.61392426,0.0013985709,26.338784,0.0044308805,21.537175,1.177565e-15,-4.4876126,-0.1703804,3.5395414,26.338784,3.1815217,21.537175,0.0457227,11077.201,278977.8,1.2283379,230.40138,1,2
-2.8176227,-0.38822872,1.8951466,7.257636,33.50467,3.3835165,0.00014321147,5.4286245,0.19408211,1.9142968,27.970762,33.482536,-26.4,0.056798005,-0.0049791615,-0.016005003,1.8951466,0.31110031,33.50467,0.1467613,0.88030939,14.844797,0.44074184,2.2398448,33.681388,34.079508,-24.659087,1.2306255e-07,-0.00024254007,-0.17378751,7.257636,0.0013956128,3.3835165,0.0041230686,0.099461121,0.00021997684,0.15762025,0.31110031,0.0013956128,0.1467613,0.0041230686,0.13565716,0.38250479,0.1120504,27.970762,3.4136853,-26.4,2.3098454,0.27452226,-9.1608185,-0.35076605,2.1647331,26.116605,33.932051,21.249056,2.4658931e-05,36.425782,0.15849538,7.257636,229.82236,3.3835165,160.96617,0.13347175,-37.990852,-0.15880116,27.970762,239.23536,-26.4,163.94296,0.12027726,9.3732206,0.35981853,7.257636,26.049855,3.3835165,25.418741,0.00045987205,-14.392954,-0.55528351,27.970762,25.920009,-26.4,23.894383,3.5710672e-09,-5.7186341,-0.21952652,0.31110031,26.049855,0.1467613,25.418741,0.036548054,-16.914313,-0.6299547,33.707454,26.850046,-25.14615,21.180708,9.7900637e-16,-16.239331,-0.62180097,0.0013875004,26.116605,0.0043993625,21.249056,3.9873442e-16,-4.8293673,-0.18491558,3.5237908,26.116605,3.0484058,21.249056,0.029910892,10998.406,278844.53,1.2288357,227.31331,1,3
-1.8389951,-0.27822693,1.7149378,6.6096948,33.306115,3.3321954,0.0090719636,4.1029847,0.12500055,1.7734715,32.823733,33.350214,-30.601531,0.22005502,0.020792173,0.064090115,1.7149378,0.3244209,33.306115,0.15615973,0.55535606,15.915052,0.46344025,2.2139105,34.341109,34.062447,-24.518178,2.1947647e-08,-0.00037010223,-0.26890476,6.6096948,0.001376332,3.3321954,0.0040317999,0.011786555,6.2014692e-05,0.045057946,0.3244209,0.001376332,0.15615973,0.0040317999,0.67857795,-0.29221931,-0.083274525,32.823733,3.509108,-30.601531,2.2389286,0.41494879,-8.94089,-0.34157536,2.1469075,26.175453,33.919435,21.323594,4.1293842e-05,3.2486546,0.015661253,6.6096948,207.43261,3.3321954,145.41448,0.88552067,-76.251645,-0.31725416,32.823733,240.34876,-30.601531,158.90227,0.0014575234,5.5209378,0.21486368,6.6096948,25.695073,3.3321954,26.512733,0.045658644,-13.642716,-0.4891334,32.823733,27.891605,-30.601531,25.053296,3.2114605e-07,-5.0619388,-0.19700037,0.3244209,25.695073,0.15615973,26.512733,0.067416555,-16.993814,-0.63041835,34.405332,26.956408,-24.973842,21.3938,9.1946532e-16,-15.901822,-0.60750894,0.001389651,26.175453,0.004373282,21.323594,2.7825948e-15,-4.2320241,-0.16167911,3.5809847,26.175453,2.9667391,21.323594,0.058157671,10933.205,278775.87,1.2296089,217.27903,1,4
-2.6284307,-0.31509602,1.8048566,8.3416818,33.357667,3.8247126,0.0029526212,5.7358083,0.17980686,1.9070128,31.89983,33.368653,-29.525784,0.08123228,0.02752603,0.085715028,1.808429,0.32113423,33.340674,0.15563029,0.432628,14.920522,0.43797254,2.1884349,34.067254,34.049121,-24.529167,1.5059207e-07,-0.00024445476,-0.17675782,8.3416818,0.0013829926,3.8247126,0.0040443634,0.10147086,-5.9561957e-05,-0.043006127,0.32113423,0.0013849644,0.15563029,0.0040304484,0.69419509,-0.10478189,-0.030258489,31.89983,3.4628925,-29.525784,2.1278421,0.77098581,-8.9654882,-0.33772985,2.1273275,26.54633,33.90971,21.420763,5.0993457e-05,58.268765,0.25197847,8.3416818,231.24501,3.8247126,157.41323,0.018551094,-65.848877,-0.26618031,31.89983,247.38448,-29.525784,168.40384,0.009126567,5.3243524,0.20568433,8.3416818,25.886038,3.8247126,26.019337,0.055974217,-10.941845,-0.42521545,31.89983,25.732474,-29.525784,23.886389,1.7443467e-05,-5.3541975,-0.20592137,0.32113423,26.001175,0.15563029,26.166614,0.057153912,-16.828981,-0.6156606,34.229465,27.334835,-24.815385,21.424377,6.4416199e-15,-16.127778,-0.60753324,0.0014108506,26.54633,0.0043536798,21.420763,2.7736453e-15,-4.2478005,-0.1600146,3.667568,26.54633,2.8944565,21.420763,0.060827583,10884.199,278705.76,1.2300821,213.26752,1,5
-2.1584043,-0.31020142,1.834889,6.9580736,33.423155,3.9261905,0.0040834607,4.3462432,0.14773284,1.9060387,29.419614,33.450862,-28.152654,0.15532589,0.020365107,0.065585855,1.834889,0.31051066,33.423155,0.14229447,0.55335774,14.243262,0.42079991,2.1362663,33.848063,34.022977,-24.635223,5.0630021e-07,-0.00024315214,-0.17786585,6.9580736,0.0013670535,3.9261905,0.0040561411,0.1055169,0.00026688909,0.19522944,0.31051066,0.0013670535,0.14229447,0.0040561411,0.075130976,0.19574445,0.056845104,29.419614,3.4434707,-28.152654,2.0967553,0.58630389,-8.6444648,-0.32308362,2.0787078,26.756122,33.886717,21.520039,0.00011107541,25.158091,0.10496782,6.9580736,239.67431,3.9261905,157.32248,0.34198051,-60.216766,-0.24224573,29.419614,248.57721,-28.152654,168.70468,0.018653341,7.8457902,0.30730297,6.9580736,25.531124,3.9261905,25.460894,0.0044631545,-11.652176,-0.46170595,29.419614,25.237223,-28.152654,22.919155,2.8138395e-06,-5.6557991,-0.22152566,0.31051066,25.531124,0.14229447,25.460894,0.042854029,-16.565987,-0.60145361,34.019328,27.54325,-24.848458,21.491617,3.8206958e-14,-16.119484,-0.60245964,0.0013958327,26.756122,0.0043275831,21.520039,5.4016928e-15,-3.829911,-0.14314148,3.6744689,26.756122,2.8252536,21.520039,0.093959159,10818.958,278632.89,1.2305175,210.65484,1,6
-2.8146461,-0.33382021,1.7196689,8.4316231,33.449612,3.3305882,0.0017951659,3.5837686,0.12050175,1.7899767,29.740386,33.462389,-27.144726,0.24474769,-0.024600719,-0.074770206,1.7196689,0.32901768,33.449612,0.15870859,0.49644532,12.894492,0.38536657,2.1112193,33.46033,34.006917,-24.781818,5.0447297e-06,-6.8569568e-05,-0.050647481,8.4316231,0.0013538594,3.3305882,0.0039960068,0.64528042,0.00014042229,0.10372,0.32901768,0.0013538594,0.15870859,0.0039960068,0.34484091,0.39862582,0.11616035,29.740386,3.4316859,-27.144726,1.8964211,0.2622868,-8.868481,-0.33483621,2.0567983,26.486028,33.873,21.28525,5.9658506e-05,-3.2239891,-0.012778778,8.4316231,252.29243,3.3305882,167.60206,0.90759324,-5.1160839,-0.020462811,29.740386,250.01863,-27.144726,172.66018,0.84396286,5.2019192,0.21161848,8.4316231,24.581592,3.3305882,25.451774,0.051869145,-11.019458,-0.45147113,29.740386,24.40789,-27.144726,22.913877,4.389611e-06,-5.076699,-0.20652442,0.32901768,24.581592,0.15870859,25.451774,0.057911449,-16.033331,-0.58851937,33.598693,27.243506,-24.873462,21.230526,1.7927274e-13,-16.036881,-0.60548458,0.0013787259,26.486028,0.0043028139,21.28525,3.6354513e-15,-4.0943511,-0.15458532,3.6555675,26.486028,2.7304348,21.28525,0.070242045,10757.035,278519.55,1.2311024,209.48051,1,7
-3.3270054,-0.40587999,1.8843717,8.1970174,33.626845,5.5839286,0.00012789996,2.2335061,0.076578408,1.9469219,29.166265,33.593076,-21.197283,0.46812211,-0.03595279,-0.099586035,1.8843717,0.3610224,33.626845,0.18424142,0.36743511,2.7348863,0.11517612,2.116164,23.745255,33.99775,2.7147765,0.18848708,-0.0001937849,-0.1360763,8.1970174,0.0014240901,5.5839286,0.0039853522,0.21711989,-0.00018937303,-0.13297827,0.3610224,0.0014240901,0.18424142,0.0039853522,0.22786838,-0.050583174,-0.013926941,29.166265,3.6320376,-21.197283,2.1463043,0.89517217,-9.8298011,-0.3537226,2.0644181,27.789576,33.865594,22.601311,2.0818557e-05,11.653972,0.040346142,8.1970174,288.84973,5.5839286,207.17747,0.71556963,-30.215126,-0.10411575,29.166265,290.20706,-21.197283,211.42424,0.32331108,10.600986,0.36908479,8.1970174,28.72236,5.5839286,27.889513,0.00055057046,-10.246879,-0.36104032,29.166265,28.381537,-21.197283,26.365105,0.00040673703,-4.0388627,-0.14061737,0.3610224,28.72236,0.18424142,27.889513,0.20201976,-13.392911,-0.46899539,23.824045,28.556593,2.9257731,22.439074,1.8229514e-08,-16.865682,-0.60690677,0.0013656452,27.789576,0.0042884396,22.601311,3.0135179e-15,-3.8768924,-0.13950887,3.6221194,27.789576,2.794529,22.601311,0.10269168,10721.099,278565.24,1.23093,213.44306,1,8
-6.6709889,-0.51428315,1.8846111,12.971432,33.496479,11.154266,1.144947e-07,-12.603667,-0.25267947,1.9021097,49.88006,33.476157,9.8495147,0.010400944,-0.12080945,-0.34399309,1.8846111,0.35119733,33.496479,0.30722325,0.00068694603,-13.140108,-0.32041258,2.1374217,41.009964,33.984477,70.123106,0.0001800415,-0.00032452229,-0.23311926,12.971432,0.001392087,11.154266,0.0040886922,0.023747836,-0.00012770594,-0.091737037,0.35119733,0.001392087,0.30722325,0.0040886922,0.37919561,-0.51884281,-0.1543115,49.88006,3.3623081,9.8495147,2.8205882,0.12148914,-11.113522,-0.39190831,2.0851326,28.357454,33.853348,23.606329,1.9985173e-06,-2.8434604,-0.0096022102,12.971432,296.12561,11.154266,231.0073,0.92681455,-100.96132,-0.35173574,49.88006,287.03742,9.8495147,223.40461,0.00028881195,11.12109,0.36294247,12.971432,30.641468,11.154266,29.718198,0.00032416359,7.2215458,0.23903849,49.88006,30.210807,9.8495147,28.475683,0.01553742,3.4035489,0.11107656,0.35119733,30.641468,0.30722325,29.718198,0.28650491,5.77458,0.19860407,40.977336,29.07584,70.603846,23.452399,0.023501744,-18.12485,-0.63915645,0.0013722965,28.357454,0.0043868375,23.606329,3.2824371e-17,-5.2650997,-0.18566899,3.3827514,28.357454,3.2405435,23.606329,0.029237338,10967.094,278986.03,1.2275225,245.57611,1,9
