SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.7707954,0.088463462,3.1439637,20.017252,10.740621,27.805111,0.21173318,-11.101341,-0.2193925,3.1370491,50.600369,10.754671,39.163446,0.0016610679,0.016634827,0.096090707,3.1439637,0.17311587,10.740621,0.2988197,0.17479184,3.0906453,0.1047451,3.0277461,29.506347,10.298408,40.764666,0.15820304,8.1859194e-05,0.061868999,20.017252,0.0013231052,27.805111,0.0022635392,0.38293015,0.00053762163,0.40633325,0.17311587,0.0013231052,0.2988197,0.0022635392,2.1629671e-09,0.46264801,0.11216061,50.600369,4.1248705,39.163446,3.2806833,0.11111402,-193.01861,-0.17443902,3.1362528,1106.5105,10.779547,2057.0567,0.011533365,22.529831,0.14278686,20.017252,157.78644,27.805111,304.98159,0.043165949,17.574524,0.11159159,50.600369,157.48968,39.163446,306.00053,0.11294998,-44.374711,-0.040786729,20.017252,1087.9693,27.805111,2113.0142,0.56536938,236.59313,0.21625388,50.600369,1094.0527,39.163446,2097.7659,0.0019426065,-312.84207,-0.28754677,0.17311587,1087.9693,0.2988197,2113.0142,3.4881254e-05,-115.34198,-0.10384898,29.506347,1110.6704,40.764666,2008.5347,0.1618123,-898.00646,-0.81156615,0.0013256299,1106.5105,0.0022844986,2057.0567,3.3158479e-50,576.29486,0.52082186,4.1790394,1106.5105,3.1273785,2057.0567,6.2787563e-16,5711.2464,302232.56,0.9219998,,1,daily
1.6025814,0.075959738,2.8863833,21.097774,10.261811,9.597415,0.39600031,0.70330469,0.019635658,2.8686207,35.81773,10.308077,-29.091486,0.82451626,-0.0001295938,-0.0003443481,2.8863833,0.37634534,10.261811,0.22552422,0.99693435,3.4421644,0.11212062,3.0095324,30.700549,10.041509,-100.00613,0.1594058,-0.00012233834,-0.080573496,21.097774,0.0015183447,9.597415,0.002287784,0.36785182,-1.4632638e-05,-0.0096372306,0.37634534,0.0015183447,0.22552422,0.002287784,0.91436477,0.75824587,0.20405777,35.81773,3.7158393,-29.091486,3.48525,0.019874742,-138.53065,-0.10571297,3.1682782,1310.4414,10.604348,2105.8598,0.15323624,1.1728538,0.027437575,21.097774,42.746263,9.597415,32.885898,0.75944766,2.4988053,0.038065106,35.81773,65.645564,-29.091486,37.363766,0.66721519,-36.610181,-0.028603103,21.097774,1279.9374,9.597415,2134.4677,0.74956058,334.11043,0.25941609,35.81773,1287.9326,-29.091486,2097.8427,0.0028784473,105.95106,0.082778318,0.37634534,1279.9374,0.22552422,2134.4677,0.35484636,-781.02887,-0.58487598,30.700549,1335.3752,-100.00613,2090.8066,5.7242939e-16,-1109.2028,-0.84643443,0.0014578445,1310.4414,0.0022406301,2105.8598,1.0762441e-51,580.86975,0.44326265,3.8940642,1310.4414,3.1231902,2105.8598,2.9517914e-10,5601.5752,302152.21,0.94128886,,1,0
3.3243874,0.11807232,2.8435339,28.155517,10.120079,11.143768,0.18614118,-3.9441442,-0.11517841,2.8225829,34.243779,10.173664,-31.484166,0.19019347,0.037228804,0.095515429,2.8405692,0.38976744,10.094841,0.21236433,0.2873707,3.0530673,0.10347152,2.9722441,29.506353,9.9993671,-99.85761,0.19574658,-2.4463643e-05,-0.016823869,28.155517,0.0014541032,11.143768,0.0022024619,0.85108513,0.0002046629,0.14024863,0.38976744,0.0014592863,0.21236433,0.0022062273,0.11726683,0.74373188,0.19878897,34.243779,3.7413136,-31.484166,3.3844656,0.022833796,-141.62115,-0.10721257,3.1386997,1320.9379,10.583152,2137.2884,0.14745774,0.35267508,0.0088175013,28.155517,39.997167,11.143768,32.095501,0.92162451,5.5622884,0.13023111,34.243779,42.710903,-31.484166,33.545209,0.13818096,-155.88714,-0.12071712,28.155517,1291.3425,11.143768,2175.5937,0.17640364,203.09701,0.15350297,34.243779,1323.0819,-31.484166,2106.2734,0.080036685,-116.15869,-0.089615261,0.38976744,1296.1932,0.21236433,2178.0765,0.31832152,-776.29711,-0.57912321,29.506353,1340.4697,-99.85761,2132.9296,1.574563e-15,-1105.6711,-0.83703487,0.0014555251,1320.9379,0.0021873392,2137.2884,1.5235654e-49,619.31519,0.46884503,3.9950467,1320.9379,3.0337554,2137.2884,1.9152027e-11,5468.348,302075.66,0.94135713,,1,1
-0.14318967,-0.0057493555,2.8722682,24.905343,10.162308,8.5359996,0.94823758,-0.89213617,-0.027568805,2.8623127,32.36035,10.194697,-30.262737,0.75368167,0.030599809,0.078221167,2.8722682,0.39119601,10.162308,0.22450068,0.37637178,3.1515655,0.10632858,2.967236,29.639872,9.9943038,-98.998634,0.1836205,-8.1990247e-05,-0.057031696,24.905343,0.001437626,8.5359996,0.0021611192,0.51924743,0.00039869909,0.27733159,0.39119601,0.001437626,0.22450068,0.0021611192,0.0014010807,0.56464629,0.14328214,32.36035,3.9408003,-30.262737,3.1254545,0.10121378,-147.03521,-0.11491727,3.1323663,1279.4875,10.57663,2147.2555,0.12034164,0.063983754,0.0016867992,24.905343,37.93205,8.5359996,32.103732,0.98480383,6.2857444,0.16687745,32.36035,37.666829,-30.262737,32.196911,0.055815512,-81.395012,-0.062843341,24.905343,1295.205,8.5359996,2167.3871,0.47751407,230.92617,0.1769869,32.36035,1304.7642,-30.262737,2140.0965,0.042342266,-303.67941,-0.23446435,0.39119601,1295.205,0.22450068,2167.3871,0.0072525264,-753.66722,-0.58719412,29.639872,1283.5061,-98.998634,2132.4632,5.106755e-16,-1069.2307,-0.83567106,0.0013942139,1279.4875,0.0021340736,2147.2555,3.0448822e-49,626.3322,0.48951803,4.0564887,1279.4875,2.9804239,2147.2555,1.7689933e-12,5335.184,302033.36,0.9413856,,1,2
2.1061612,0.089630583,2.8870533,23.498243,10.25,9.1410882,0.3086363,-3.4127462,-0.10334307,2.8757992,33.023465,10.280451,-31.564536,0.23651885,0.0043424954,0.010668135,2.8870533,0.40705292,10.25,0.23218034,0.90374207,2.5853309,0.083368922,2.9862386,31.010727,10.016981,-98.600209,0.2961304,-1.9129877e-05,-0.013174767,23.498243,0.0014520087,9.1410882,0.002083748,0.88127481,0.00033582402,0.23128237,0.40705292,0.0014520087,0.23218034,0.002083748,0.007862565,1.1194102,0.29000587,33.023465,3.859957,-31.564536,3.2950376,0.00070916702,-142.32378,-0.10894595,3.1406645,1306.3706,10.590811,2186.2621,0.13989585,-2.1151191,-0.07150085,23.498243,29.581734,9.1410882,29.79568,0.41704373,5.1387465,0.17502704,33.023465,29.359729,-31.564536,29.829612,0.043900539,-179.84763,-0.13279586,23.498243,1354.3166,9.1410882,2278.3293,0.13051962,247.30873,0.18128846,33.023465,1364.1725,-31.564536,2250.0032,0.036768784,-284.78087,-0.21027644,0.40705292,1354.3166,0.23218034,2278.3293,0.015923048,-752.49018,-0.57832401,31.010727,1301.1567,-98.600209,2154.018,1.429193e-15,-1089.1681,-0.83373593,0.0014386147,1306.3706,0.0021053207,2186.2621,4.4303809e-49,621.78532,0.47596395,4.0555252,1306.3706,2.9419216,2186.2621,7.5308829e-12,5263.3017,302014.75,0.94077044,,1,3
1.7770351,0.093155994,2.8581792,19.075907,10.239773,8.3708626,0.28804805,-2.1976721,-0.071654256,2.853487,30.670503,10.256015,-31.285874,0.41243782,-0.071252196,-0.18741083,2.8581792,0.38019252,10.239773,0.21305537,0.031412248,2.9436846,0.095824254,2.9574068,30.719619,9.9630573,-98.684373,0.23254483,0.0001315683,0.090300362,19.075907,0.0014570075,8.3708626,0.0020523905,0.30314618,8.6307015e-05,0.059235807,0.38019252,0.0014570075,0.21305537,0.0020523905,0.4998744,1.2228349,0.3217317,30.670503,3.8007909,-31.285874,3.201782,0.00015918876,-123.54478,-0.094220259,3.1250274,1311.2337,10.549454,2228.7655,0.20455571,-1.4577358,-0.051172684,19.075907,28.4866,8.3708626,29.787968,0.56008218,5.3501255,0.18852144,30.670503,28.379401,-31.285874,29.768255,0.02976996,-313.81894,-0.22811996,19.075907,1375.675,8.3708626,2301.4078,0.0085195979,282.42255,0.20429715,30.670503,1382.4106,-31.285874,2285.6764,0.018335903,-56.366952,-0.040974031,0.38019252,1375.675,0.21305537,2301.4078,0.64087604,-750.61239,-0.57833852,30.719619,1297.8772,-98.684373,2193.8045,2.1565847e-15,-1093.4726,-0.83392651,0.0014317037,1311.2337,0.0020577503,2228.7655,1.3291752e-48,621.1788,0.47373613,3.9605855,1311.2337,2.9416339,2228.7655,1.2589885e-11,5144.3757,302028.14,0.94113138,,1,4
1.1985164,0.057317855,2.8377538,20.910001,10.126,8.9977369,0.5254823,0.39474785,0.012290809,2.834262,32.117319,10.187109,-31.912118,0.89048089,0.066242231,0.17179409,2.8377538,0.38559087,10.126,0.21569076,0.055404838,2.9212535,0.10082323,2.9749045,28.974011,9.9952532,-99.942265,0.2074963,0.00014735834,0.10454794,20.910001,0.0014094811,8.9977369,0.0019759367,0.24591795,5.589862e-05,0.039659008,0.38559087,0.0014094811,0.21569076,0.0019759367,0.66057497,1.1540175,0.3001238,32.117319,3.8451381,-31.912118,3.1748711,0.00057763562,-118.7753,-0.090590747,3.1301849,1311.1196,10.554372,2235.1016,0.22261616,-3.1870731,-0.11350334,20.910001,28.079114,8.9977369,30.41241,0.20754879,6.988727,0.25154947,32.117319,27.782714,-31.912118,30.215206,0.004180037,-354.40028,-0.26257593,20.910001,1349.7059,8.9977369,2357.8326,0.0030935485,311.97845,0.22910964,32.117319,1361.6994,-31.912118,2316.1156,0.0092857774,-78.718594,-0.058322776,0.38559087,1349.7059,0.21569076,2357.8326,0.51823541,-718.82951,-0.55235258,28.974011,1301.3961,-99.942265,2192.8361,5.3293749e-14,-1091.4361,-0.83244589,0.0014360899,1311.1196,0.0020486067,2235.1016,2.7634736e-48,579.84481,0.44225166,3.9064571,1311.1196,2.8687486,2235.1016,3.6596604e-10,5121.5169,301946.57,0.94129056,,1,5
3.7822164,0.19487123,2.8423633,19.408799,10.180078,7.2804688,0.027505672,-2.1327763,-0.061654323,2.8233585,34.592486,10.233459,-28.751295,0.48081538,0.019025981,0.048805231,2.8423633,0.38983488,10.180078,0.22003722,0.58432536,3.7402762,0.12069923,3.012378,30.988401,10.070497,-97.745066,0.12722176,-3.2300729e-05,-0.023301691,19.408799,0.0013861968,7.2804688,0.0018720866,0.79403247,0.00022301593,0.16088331,0.38983488,0.0013861968,0.22003722,0.0018720866,0.069651854,1.126075,0.28929381,34.592486,3.8924959,-28.751295,3.0801053,0.00073195373,-129.19205,-0.096152752,3.144377,1343.6127,10.624332,2255.8778,0.19050454,-1.0867248,-0.039483056,19.408799,27.523827,7.2804688,31.126844,0.6581344,4.2473432,0.15678003,34.592486,27.091098,-28.751295,30.726865,0.071518636,-231.60235,-0.17111065,19.408799,1353.5238,7.2804688,2449.0321,0.053461672,134.40051,0.097852672,34.592486,1373.4986,-28.751295,2385.12,0.26248743,-243.66272,-0.180021,0.38983488,1353.5238,0.22003722,2449.0321,0.042015256,-723.09682,-0.53889982,30.988401,1341.8019,-97.745066,2209.7409,1.650586e-13,-1126.5588,-0.83845504,0.0014325453,1343.6127,0.0020294418,2255.8778,1.1812888e-50,630.86383,0.46952805,3.979346,1343.6127,2.8479278,2255.8778,1.21192e-11,5073.6044,301904.56,0.94152565,,1,6
4.9721698,0.18732447,3.1190574,26.543087,10.272152,11.845696,0.01843129,-2.9036847,-0.095000073,3.0945869,30.565079,10.311656,-25.371567,0.22771117,-0.015135418,-0.031921749,3.1190574,0.47414125,10.272152,0.32712348,0.69050812,12.156046,0.32629708,3.0143407,37.254535,10.013665,-84.781882,2.3980245e-05,0.00021056695,0.14682273,26.543087,0.0014341577,11.845696,0.0019251995,0.065640873,0.00025978582,0.18114174,0.47414125,0.0014341577,0.32712348,0.0019251995,0.022743669,1.0004426,0.25023045,30.565079,3.9980848,-25.371567,3.388704,0.0012749855,-80.068869,-0.05835702,3.1528461,1372.0521,10.573797,2308.5289,0.42757637,0.93454071,0.036313548,26.543087,25.735318,11.845696,30.741545,0.65056367,3.0188638,0.11802152,30.565079,25.578926,-25.371567,30.745887,0.13349767,-318.72939,-0.23456262,26.543087,1358.8243,11.845696,2454.9963,0.0030121447,119.61045,0.085655368,30.565079,1396.4151,-25.371567,2384.1986,0.27696705,-248.58532,-0.18294147,0.47414125,1358.8243,0.32712348,2454.9963,0.02140683,-632.25767,-0.46193875,37.254535,1368.7046,-84.781882,2262.1177,6.9108097e-10,-1151.957,-0.83958692,0.0014303739,1372.0521,0.0020055026,2308.5289,6.5169351e-51,667.27623,0.48633448,4.0554044,1372.0521,3.0462045,2308.5289,1.7074595e-12,5013.7564,302088.64,0.94142875,,1,7
4.4192946,0.14841479,2.7996189,29.776646,10.964527,18.069853,0.071826202,5.0857239,0.14401402,2.8280059,35.314089,10.953974,0.30611099,0.077702263,0.0038158966,0.0080386236,2.7996189,0.47469527,10.964527,0.47720585,0.92275304,23.672211,0.42654121,3.0266266,55.498063,10.081098,28.829292,1.2332987e-08,0.00011334716,0.078095537,29.776646,0.0014513911,18.069853,0.0019490688,0.34544594,1.5272481e-05,0.01052265,0.47469527,0.0014513911,0.47720585,0.0019490688,0.89899449,0.14862966,0.03689692,35.314089,4.0282403,0.30611099,3.5646424,0.65286728,-146.82336,-0.10838143,3.1469255,1354.6911,10.619737,2335.1417,0.13662842,-1.6036587,-0.059176292,29.776646,27.099683,18.069853,32.227711,0.47495947,4.2668772,0.15808433,35.314089,26.991146,0.30611099,32.478102,0.052545378,-218.28906,-0.1634678,29.776646,1335.3643,18.069853,2433.1629,0.047124,-0.44883541,-0.00033369505,35.314089,1345.0466,0.30611099,2399.3809,0.99675546,5.7722834,0.0043226281,0.47469527,1335.3643,0.47720585,2433.1629,0.95841603,-240.07172,-0.17810593,55.498063,1347.9153,28.829292,2281.389,0.022507211,-1145.6728,-0.84570774,0.0014563353,1354.6911,0.0020244232,2335.1417,3.6292947e-53,658.92403,0.48640168,4.2418161,1354.6911,3.4206579,2335.1417,1.1210348e-12,5061.058,302465.93,0.94090165,,1,8
