SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00027682394,-0.24940346,9.1766263,0.0011099443,13.036192,0.0054186654,1.8524888e-05,2.0283472e-05,0.018274316,0.16554285,0.0011099443,0.39545246,0.0054186654,0.75747178,-0.45285668,-0.18006303,13.774128,2.5149898,7.7025849,8.4397241,0.0021579026,,,,,,,,85.03322,0.55409054,9.1766263,153.46449,13.036192,214.03163,1.4120371e-24,-71.658851,-0.46694094,13.774128,153.46449,7.7025849,214.03163,5.3057025e-17,168.93363,0.55523932,9.1766263,304.25373,13.036192,450.61266,1.083063e-24,49.153018,0.16155272,13.774128,304.25373,7.7025849,450.61266,0.0059998468,-50.948301,-0.16745333,0.16554285,304.25373,0.39545246,450.61266,0.0043778906,4.1436154,0.013445037,19.410314,308.1892,26.596362,480.79386,0.83147749,-173.41801,-0.56997825,0.0011099443,304.25373,0.0054186654,450.61266,3.2836739e-26,67.931236,0.22327166,2.5149898,304.25373,8.4397241,450.61266,0.00013295954,13546.664,281346.12,1.2625688,214.03163,1,daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00024412786,-0.21125358,11.832099,0.0011556153,4.5925356,0.0052282846,0.00052348671,-7.0915204e-05,-0.061365756,0.42461092,0.0011556153,0.32783257,0.0052282846,0.31872967,-1.4296126,-0.45258906,19.064568,3.1587432,-10.620193,6.5308064,7.7468106e-15,,,,,,,,72.17411,0.41778606,11.832099,172.75375,4.5925356,107.22201,1.1638085e-12,-84.442027,-0.48879995,19.064568,172.75375,-10.620193,107.22201,2.2127656e-17,169.87498,0.57373046,11.832099,296.08847,4.5925356,268.83669,1.1012503e-24,-173.19631,-0.58494784,19.064568,296.08847,-10.620193,268.83669,8.166862e-26,-11.537278,-0.038965645,0.42461092,296.08847,0.32783257,268.83669,0.52689175,-88.116822,-0.28788162,26.963079,306.08701,-43.88591,291.20266,9.5698395e-06,-99.6477,-0.33654704,0.0011556153,296.08847,0.0052282846,268.83669,1.8221254e-08,94.272535,0.31839313,3.1587432,296.08847,6.5308064,268.83669,1.1136291e-07,13070.712,279437.43,1.2768778,107.22201,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002207457,-0.19409147,12.4934,0.0011373282,4.4460892,0.0051758003,0.001498935,-0.00016870111,-0.14833107,0.42425077,0.0011373282,0.34988477,0.0051758003,0.015665211,-1.3536526,-0.4364424,18.030582,3.1015607,-9.8127399,6.2456981,9.4777099e-14,,,,,,,,81.292318,0.43669615,12.4934,186.15304,4.4460892,111.08046,9.1374966e-14,-89.499598,-0.48078503,18.030582,186.15304,-9.8127399,111.08046,9.8212065e-17,168.52193,0.61200713,12.4934,275.35942,4.4460892,250.25032,1.2623374e-28,-137.42888,-0.49908907,18.030582,275.35942,-9.8127399,250.25032,4.249891e-18,33.229021,0.12067508,0.42425077,275.35942,0.34988477,250.25032,0.049723084,-73.361466,-0.2568131,26.600608,285.66092,-43.004109,270.01376,8.1541464e-05,-90.253033,-0.32776446,0.0011373282,275.35942,0.0051758003,250.25032,4.7074493e-08,78.708485,0.28583908,3.1015607,275.35942,6.2456981,250.25032,2.2431453e-06,12939.501,279150.48,1.2772465,111.08046,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00015243497,-0.13356805,11.980108,0.0011412532,5.0200625,0.0051303613,0.029720072,-0.00011885139,-0.10414112,0.43990315,0.0011412532,0.36886786,0.0051303613,0.090668117,-1.2944327,-0.40981932,20.381364,3.1585449,-8.9015753,5.9879377,3.7213851e-12,,,,,,,,90.283894,0.49320882,11.980108,183.0541,5.0200625,109.78894,1.1896866e-17,-97.803603,-0.53428798,20.381364,183.0541,-8.9015753,109.78894,5.8071534e-21,132.28102,0.51058698,11.980108,259.07637,5.0200625,233.87424,5.3572843e-19,-105.62885,-0.40771318,20.381364,259.07637,-8.9015753,233.87424,4.9080626e-12,-10.776552,-0.041596044,0.43990315,259.07637,0.36886786,233.87424,0.50016801,-69.31533,-0.25875804,28.079847,267.87702,-40.505575,249.86938,7.1657002e-05,-74.841338,-0.28887751,0.0011412532,259.07637,0.0051303613,233.87424,1.7294727e-06,72.750668,0.28080781,3.1585449,259.07637,5.9879377,233.87424,3.427628e-06,12825.903,278884.65,1.2780865,109.78894,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.2986322e-05,-0.037824135,12.147434,0.0011364786,4.9841402,0.0050939985,0.53984922,-0.00012104989,-0.10651312,0.4018569,0.0011364786,0.31599568,0.0050939985,0.083516384,-1.2962869,-0.40718274,17.734685,3.1835507,-8.8450587,5.805817,5.2607938e-12,,,,,,,,89.892501,0.49604209,12.147434,181.2195,4.9841402,107.74824,7.2627834e-18,-75.746444,-0.41798174,17.734685,181.2195,-8.8450587,107.74824,1.2497381e-12,101.76069,0.41650467,12.147434,244.32065,4.9841402,224.14945,1.5259021e-12,-122.91454,-0.50308698,17.734685,244.32065,-8.8450587,224.14945,2.0867814e-18,-21.440127,-0.087754053,0.4018569,244.32065,0.31599568,224.14945,0.1542934,-77.757171,-0.30894877,27.571433,251.68306,-38.733659,238.37685,1.9721839e-06,-66.517331,-0.27225423,0.0011364786,244.32065,0.0050939985,224.14945,6.9162961e-06,64.4462,0.26377713,3.1835507,244.32065,5.805817,224.14945,1.355268e-05,12734.996,278707.23,1.2786171,107.74824,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00011322853,-0.10109081,10.699121,0.0011200675,4.4061562,0.0050492194,0.10122614,-0.00016856696,-0.15049714,0.42766135,0.0011200675,0.35028476,0.0050492194,0.014379436,-1.231845,-0.39568727,19.395687,3.1131784,-8.8092096,5.6018239,2.5066975e-11,,,,,,,,87.474581,0.49710111,10.699121,175.96939,4.4061562,106.40498,6.964998e-18,-86.603108,-0.4921487,19.395687,175.96939,-8.8092096,106.40498,1.6449441e-17,112.89373,0.47266941,10.699121,238.84289,4.4061562,214.00027,4.2357802e-16,-108.39665,-0.45384083,19.395687,238.84289,-8.8092096,214.00027,8.0885854e-15,-19.512038,-0.081694031,0.42766135,238.84289,0.35028476,214.00027,0.18574057,-86.580259,-0.3481261,29.19667,248.70373,-38.410665,231.83599,6.3224061e-08,-68.154888,-0.28535448,0.0011200675,238.84289,0.0050492194,214.00027,2.4432035e-06,56.457642,0.23637983,3.1131784,238.84289,5.6018239,214.00027,0.00010549813,12623.048,278512.04,1.2790562,106.40498,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.8648508e-05,-0.061265386,8.5424174,0.0011205105,4.4806938,0.0049885556,0.32229385,-0.00012082064,-0.10782643,0.41324527,0.0011205105,0.3243967,0.0049885556,0.080912876,-1.1422765,-0.36439235,19.146791,3.1347433,-7.5556547,5.380538,1.1148071e-09,,,,,,,,96.452143,0.5736869,8.5424174,168.1268,4.4806938,106.95595,2.0354465e-24,-91.448062,-0.54392317,19.146791,168.1268,-7.5556547,106.95595,1.1855856e-21,108.12935,0.46399318,8.5424174,233.04083,4.4806938,208.54844,1.9073917e-15,-100.65671,-0.43192736,19.146791,233.04083,-7.5556547,208.54844,2.2297794e-13,-31.819473,-0.13654034,0.41324527,233.04083,0.3243967,208.54844,0.026818842,-87.142876,-0.35848874,27.113596,243.084,-38.964777,229.03669,2.7418691e-08,-66.280812,-0.28441717,0.0011205105,233.04083,0.0049885556,208.54844,2.7633179e-06,50.919764,0.21850148,3.1347433,233.04083,5.380538,208.54844,0.00035718389,12471.389,278286.76,1.2795649,106.95595,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.321936e-05,-0.064059548,9.3126154,0.001142989,4.3590761,0.0049408639,0.30441603,-2.1433975e-05,-0.018752564,0.41491754,0.001142989,0.34128123,0.0049408639,0.76390212,-1.4548742,-0.44657013,15.806958,3.2578852,-6.9857426,5.2113494,4.2397391e-14,,,,,,,,75.931746,0.45770359,9.3126154,165.89721,4.3590761,111.47388,8.1426945e-15,-66.770204,-0.40247938,15.806958,165.89721,-6.9857426,111.47388,1.6636852e-11,120.49383,0.50731229,9.3126154,237.51411,4.3590761,206.56018,2.4051785e-18,-107.57334,-0.45291348,15.806958,237.51411,-6.9857426,206.56018,1.6682818e-14,7.772542,0.032724548,0.41491754,237.51411,0.34128123,206.56018,0.6001083,-83.934315,-0.34034985,27.117824,246.61188,-39.113304,225.41265,1.4612425e-07,-63.251873,-0.26630785,0.001142989,237.51411,0.0049408639,206.56018,1.4004798e-05,55.401125,0.23325404,3.2578852,237.51411,5.2113494,206.56018,0.00015180656,12352.16,278097.26,1.2798658,111.47388,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3579737e-05,-0.020503278,11.483228,0.0011500471,5.6433141,0.004926653,0.74163772,-0.00021460789,-0.18660791,0.46525259,0.0011500471,0.43177582,0.004926653,0.0024707152,-1.4177039,-0.43072216,16.800447,3.291458,-5.7663541,5.1907854,3.2550405e-13,,,,,,,,53.863091,0.34736567,11.483228,155.06164,5.6433141,111.1861,8.143744e-09,-69.024157,-0.44514012,16.800447,155.06164,-5.7663541,111.1861,4.1683259e-14,129.67407,0.52198898,11.483228,248.42301,5.6433141,209.14627,1.2088533e-19,-102.71075,-0.41345104,16.800447,248.42301,-5.7663541,209.14627,3.3688437e-12,9.9575405,0.040083004,0.46525259,248.42301,0.43177582,209.14627,0.51911403,-96.262379,-0.37295893,24.983664,258.1045,-31.920519,228.77331,5.7276166e-09,-67.281999,-0.27083642,0.0011500471,248.42301,0.004926653,209.14627,9.091957e-06,62.237148,0.25052892,3.291458,248.42301,5.1907854,209.14627,4.2498185e-05,12316.633,278049.77,1.2803451,111.1861,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00021019416,-0.18861475,14.178342,0.00111441,13.308746,0.0051406441,0.0017123901,-3.3870091e-05,-0.030392847,0.35700198,0.00111441,0.56920726,0.0051406441,0.61643664,-1.4686528,-0.48155647,15.084368,3.0498039,6.2829564,6.2079252,2.5916875e-17,,,,,,,,45.818254,0.30766507,14.178342,148.92251,13.308746,113.72498,2.035568e-07,-83.743507,-0.56232943,15.084368,148.92251,6.2829564,113.72498,3.020072e-24,193.53801,0.65089598,14.178342,297.34093,13.308746,255.38168,2.0910015e-34,-78.656629,-0.26453348,15.084368,297.34093,6.2829564,255.38168,9.0755037e-06,62.897932,0.21153473,0.35700198,297.34093,0.56920726,255.38168,0.00042269455,-72.829401,-0.2365959,35.696867,307.82191,20.400883,281.30328,0.00021658305,-107.22263,-0.36060501,0.00111441,297.34093,0.0051406441,255.38168,7.7512757e-10,94.171094,0.31671084,3.0498039,297.34093,6.2079252,255.38168,8.4584686e-08,12851.61,279033.01,1.278244,113.72498,1,8
