SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,-2.2306232,-0.091177744,10.082087,24.464557,34.139599,23.341468,0.18084313,,,,,,,,-1.0345406,-0.056337686,10.080171,18.363208,34.184002,28.856672,0.40784531,,,,,,,,,,,,,,,-3.2019086,-0.55554672,24.368839,5.7635272,22.875745,5.3301727,7.2887662e-20,-42.909142,-0.1055443,10.080171,406.551,34.184002,711.27297,0.12024963,,,,,,,,-27.35033,-0.088209696,24.368839,310.06036,22.875745,550.82654,0.18444088,,,,,,,,137.81431,0.33692919,24.368839,409.03048,22.875745,705.87273,1.8603819e-07,,,,,,,,-36.625684,-0.089674959,18.245226,408.42711,28.536653,704.84778,0.17627027,-264.65519,-0.64798634,0.0023991322,408.42711,0.0043350643,704.84778,1.1696077e-28,-167.68672,-0.41056708,5.7644398,408.42711,5.3562908,704.84778,1.0038216e-10,10837.661,278534.85,1.2357618,549.11063,1,daily
,,,,,,,0.50488515,0.019048631,10.206338,26.505063,34.645296,-20.739011,0.79101016,,,,,,,,-0.16448032,-0.004408153,10.169069,37.312753,34.259187,-46.90116,0.94900478,,,,,,,,,,,,,,,-1.9685685,-0.27872263,26.240292,7.0628226,-20.806848,3.1987971,4.7679445e-05,-20.783224,-0.046888791,10.169069,443.24504,34.259187,460.1863,0.4960822,,,,,,,,-211.24427,-0.52677474,26.240292,401.01443,-20.806848,447.90717,3.5481465e-16,,,,,,,,-244.18921,-0.54438786,26.240292,448.55741,-20.806848,487.87341,2.2820423e-17,,,,,,,,-261.50129,-0.5911394,37.560121,442.36823,-47.005107,456.41644,1.0936666e-22,-182.49154,-0.41253312,0.0025865891,442.36823,0.0042022653,456.41644,1.0664592e-10,-36.732881,-0.083036888,6.9781937,442.36823,3.0948079,456.41644,0.21366714,10505.663,276291.61,1.2518196,429.02761,1,0
,,,,,,,0.39567996,0.015453937,10.231528,25.603829,34.593672,-21.593196,0.82977973,,,,,,,,0.53448055,0.014270103,10.195073,37.454569,34.246028,-47.206697,0.83635512,,,,,,,,,,,,,,,-2.3208599,-0.33373125,25.310628,6.9542781,-21.718426,3.2252954,8.9192082e-07,-15.606785,-0.035979021,10.175634,433.77457,34.310701,452.30354,0.60328023,,,,,,,,-223.59452,-0.55559319,25.310628,402.44287,-21.718426,454.34381,3.6564814e-18,,,,,,,,-207.60606,-0.47135144,25.341501,440.44855,-21.80506,478.85921,8.6351145e-13,,,,,,,,-261.17591,-0.60082843,37.607886,434.69299,-46.933415,449.14175,2.2758528e-23,-178.65679,-0.41099532,0.0025983977,434.69299,0.0042223854,449.14175,1.5342211e-10,-37.328092,-0.085872312,6.9413271,434.69299,3.1153461,449.14175,0.20040624,10555.964,276323.71,1.2509115,436.64502,1,1
,,,,,,,-0.73031441,-0.016369632,10.178837,44.613979,34.763701,-17.479274,0.82123872,,,,,,,,0.22563363,0.0058722537,10.19685,38.423685,34.241217,-47.050163,0.93226415,,,,,,,,,,,,,,,-0.18363539,-0.026099455,43.587388,7.0359855,-17.640151,2.9803146,0.71097474,-16.007692,-0.038657814,10.177454,414.08683,34.305867,431.42454,0.57656428,,,,,,,,-120.00506,-0.29454745,43.587388,407.42181,-17.640151,461.87423,1.8995448e-05,,,,,,,,-148.69564,-0.34999642,43.679212,424.84903,-17.722556,463.86362,3.0762735e-07,,,,,,,,-271.53446,-0.64939341,38.505174,418.13553,-46.784705,430.72024,3.2446517e-28,-172.73485,-0.41310732,0.0026012802,418.13553,0.0041994121,430.72024,1.2097761e-10,-42.41923,-0.10144852,6.9516073,418.13553,2.8889426,430.72024,0.13008781,10498.53,276091.31,1.2510962,441.49745,1,2
,,,,,,,-1.0000136,-0.025523612,10.207071,39.179943,34.909066,-18.725846,0.72527826,,,,,,,,0.9268006,0.024304022,10.180002,38.133631,34.228543,-46.582967,0.72433557,,,,,,,,,,,,,,,-0.75390922,-0.10713779,38.71403,7.0368186,-19.609073,2.6759221,0.12910619,-20.403398,-0.051488878,10.177456,396.26807,34.278913,413.01013,0.45581734,,,,,,,,-164.43378,-0.40539905,38.71403,405.60968,-19.609073,465.50788,2.1637259e-09,,,,,,,,-148.05404,-0.36058146,38.79076,410.59803,-19.52178,448.28885,1.4546614e-07,,,,,,,,-261.28193,-0.64955056,38.259887,402.25033,-46.255943,413.31629,2.3663487e-28,-162.17995,-0.40318165,0.0025676627,402.25033,0.004132176,413.31629,3.3263372e-10,-42.361757,-0.10531193,7.0231869,402.25033,2.5205391,413.31629,0.11519555,10330.44,275724.32,1.2519424,440.69023,1,3
,,,,,,,1.679403,0.065513303,10.18175,25.634534,34.820735,-16.914164,0.36410376,,,,,,,,0.84600167,0.021926997,10.180914,38.58265,34.224281,-43.405781,0.75035664,,,,,,,,,,,,,,,-1.1391886,-0.16348996,25.77332,6.9679423,-17.648722,2.4083418,0.019465305,-20.298618,-0.052504121,10.180914,386.61,34.224281,401.27093,0.44588736,,,,,,,,-223.22019,-0.56109372,25.77332,397.8305,-17.648722,459.7082,2.576633e-18,,,,,,,,-214.41597,-0.5348084,25.77332,400.9211,-17.648722,430.62061,1.7284451e-16,,,,,,,,-250.98999,-0.63922684,39.17904,392.64621,-43.866832,400.60939,2.3320875e-27,-157.79408,-0.40187344,0.0025326044,392.64621,0.0040870021,400.60939,3.5074354e-10,-50.390707,-0.12833616,6.8954673,392.64621,2.3028797,400.60939,0.054030557,10217.505,275507.84,1.2527023,436.75034,1,4
,,,,,,,3.8708515,0.13152746,10.151787,29.429989,35.000889,-16.533618,0.071985399,,,,,,,,2.0687211,0.053491446,10.16537,38.673868,34.174645,-41.885347,0.43845941,,,,,,,,,,,,,,,-1.165418,-0.16783283,29.077658,6.9439215,-17.006603,2.0894429,0.018403333,-17.571942,-0.047875816,10.16537,367.03169,34.174645,376.91234,0.48808443,,,,,,,,-214.21066,-0.56829666,29.077658,376.93456,-17.006603,445.05407,3.0346825e-18,,,,,,,,-189.51723,-0.49667107,29.077658,381.57494,-17.006603,412.43831,1.1460021e-13,,,,,,,,-242.90722,-0.65413093,39.305826,371.34343,-42.403967,375.96498,7.3840003e-29,-148.95472,-0.40112388,0.0024723916,371.34343,0.0040478253,375.96498,4.1656827e-10,-53.845173,-0.14500101,6.8390354,371.34343,2.0280686,375.96498,0.02967471,10119.563,275215.96,1.2551081,418.77794,1,5
,,,,,,,4.3968021,0.10914589,10.268108,40.283718,34.929193,-15.818824,0.13916587,,,,,,,,1.5951245,0.041333288,10.169839,38.591765,34.172671,-40.656845,0.54949337,,,,,,,,,,,,,,,-1.2371639,-0.17640374,39.842545,7.0132523,-16.452553,2.0003186,0.014381689,-18.479918,-0.052081229,10.169839,354.82875,34.172671,357.95766,0.45064335,,,,,,,,-163.32347,-0.42691884,39.842545,382.56328,-16.452553,440.58069,6.6143869e-10,,,,,,,,-121.90122,-0.33003198,39.842545,369.36186,-16.452553,399.42864,2.9417082e-06,,,,,,,,-232.11714,-0.64766127,39.282311,358.39281,-41.114556,356.948,3.8034557e-28,-141.09656,-0.39369251,0.0024421782,358.39281,0.0040259681,356.948,9.2697176e-10,-50.393424,-0.14060947,6.863965,358.39281,1.827334,356.948,0.035041551,10064.92,274986.94,1.2567183,410.54843,1,6
,,,,,,,3.0599968,0.1079902,10.261553,28.335876,34.985626,-15.500955,0.14125119,,,,,,,,-0.67483587,-0.017006333,10.174191,39.681445,34.226224,-34.89469,0.80509661,,,,,,,,,,,,,,,-1.9299645,-0.27869354,27.868291,6.925042,-15.699103,2.10283,7.6404487e-05,-4.9950339,-0.013648426,10.170873,365.97875,34.277291,360.99989,0.8433906,,,,,,,,-168.47943,-0.44365436,27.868291,379.7538,-15.699103,434.10454,7.3821857e-11,,,,,,,,-107.56521,-0.28404642,27.91741,378.68883,-15.779176,397.64666,5.7170683e-05,,,,,,,,-261.06397,-0.70839528,40.130909,368.52867,-35.250326,358.30513,1.3593291e-35,-146.77757,-0.39827992,0.00245464,368.52867,0.0040585168,358.30513,5.6708018e-10,-55.014906,-0.14928257,6.8434653,368.52867,1.9432286,358.30513,0.025134509,10146.292,275072.08,1.2572329,406.98741,1,7
,,,,,,,7.896371,0.21875175,10.280846,36.097407,34.722693,8.2812208,0.0021237342,,,,,,,,4.943824,0.16103688,10.164793,30.699949,34.276355,37.239975,0.018404616,,,,,,,,,,,,,,,-1.7108597,-0.27210107,35.638907,6.287589,7.9133146,3.8551924,8.5918349e-05,-1.8901445,-0.0044525785,10.164793,424.50561,34.276355,452.72311,0.94836952,,,,,,,,-0.25926939,-0.00069756796,35.638907,371.67617,7.9133146,432.26603,0.99211907,,,,,,,,75.502216,0.17442623,35.638907,432.86046,7.9133146,485.69559,0.012811928,,,,,,,,-151.83823,-0.35666961,30.968933,425.71115,36.891528,448.06787,3.2583989e-08,-218.93826,-0.5142883,0.0025340932,425.71115,0.0043592203,448.06787,1.0001016e-16,-114.94836,-0.27001492,6.2093322,425.71115,3.6955151,448.06787,3.7468507e-05,10898.051,276786.6,1.2528539,416.93074,1,8
