SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.0193083,0.12282275,7.6140253,8.2990181,19.681223,7.8525468,0.003426075,-0.22369242,-0.012982091,7.6140253,17.230847,19.681223,5.1129498,0.75794238,-0.0084835758,-0.050757518,7.6140253,0.16713929,19.681223,0.32650882,0.22794579,-2.8257994,-0.16821543,8.0503226,16.798693,20.157018,11.080829,4.3312605e-05,4.0416824e-05,0.038521851,8.2990181,0.0010491922,7.8525468,0.0023428319,0.3603085,0.00019364348,0.18456436,0.16713929,0.0010491922,0.32650882,0.0023428319,9.904907e-06,-1.6298249,-0.25058817,17.230847,6.5039977,5.1129498,-4.6172514,1.4920917e-09,-23.592672,-0.079386976,8.0503226,297.18567,20.157018,473.1001,0.054979585,70.100204,0.29077942,8.2990181,241.07691,7.8525468,429.89265,1.7187306e-12,15.359568,0.063712313,17.230847,241.07691,5.1129498,429.89265,0.13003814,32.082763,0.10753127,8.2990181,298.35752,7.8525468,480.10491,0.010466585,59.16354,0.19829746,17.230847,298.35752,5.1129498,480.10491,1.9892775e-06,-152.79691,-0.51212689,0.16713929,298.35752,0.32650882,480.10491,3.6393339e-39,54.547243,0.183546,16.798693,297.18567,11.080829,473.1001,7.8990363e-06,-66.420955,-0.22349986,0.0010476097,297.18567,0.0023435607,473.1001,4.6700226e-08,47.155259,0.15867272,6.4816547,297.18567,-4.6632317,473.1001,0.00011619653,5858.9017,271702.7,1.2174522,411.00568,1,daily
0.63829805,0.051297138,7.5324108,12.443151,19.164394,2.0441747,0.23931537,-2.7767879,-0.10618645,7.5300264,26.150115,19.101111,-9.6330915,0.013556106,-0.018917871,-0.048406836,7.5324108,0.3908099,19.164394,0.29035831,0.26686149,-2.3310052,-0.089200807,8.0199243,26.132109,19.585839,-33.263112,0.03292804,-0.00010291088,-0.096225115,12.307258,0.0010694805,2.0285555,0.002225001,0.025210749,5.5765964e-06,0.005214304,0.38837524,0.0010694805,0.28741967,0.002225001,0.90368952,-1.0736697,-0.1537424,25.920799,6.9835629,-9.5771857,-6.1962351,0.00028472576,-21.74199,-0.0763567,8.0199243,284.7424,19.585839,344.91165,0.068022663,76.98284,0.26072454,12.307258,295.26503,2.0285555,348.25037,7.4099861e-10,-39.923954,-0.1345935,25.920799,296.62617,-9.5771857,347.12262,0.001511958,63.055707,0.22164655,12.307258,284.48765,2.0285555,356.93366,1.9051441e-07,-90.817959,-0.31816691,25.920799,285.44124,-9.5771857,352.76167,1.7863e-14,-52.436903,-0.18432049,0.38837524,284.48765,0.28741967,356.93366,1.6011807e-05,-92.172199,-0.32630987,26.088209,282.46832,-32.990085,343.50629,5.5773769e-16,-56.203116,-0.1989714,0.0010864142,282.46832,0.0022515693,343.50629,1.229854e-06,36.698899,0.12992218,6.9543717,282.46832,-6.1901162,343.50629,0.0016381123,5628.9233,270142.57,1.2287158,328.59506,1,0
0.11900189,0.011512182,7.5207219,10.33704,19.112642,2.5228638,0.79146142,-2.3017971,-0.091825004,7.5112192,25.067215,19.065683,-9.5949326,0.032569544,-0.028444248,-0.071904869,7.5249207,0.39558167,19.121739,0.29025342,0.098526638,-2.5176153,-0.095349572,8.0079627,26.404055,19.563636,-32.294753,0.02256977,-7.1019641e-05,-0.066223913,10.222406,0.0010724169,2.5028868,0.002204158,0.12324145,-4.1252021e-05,-0.038691074,0.39574408,0.0010661896,0.28969495,0.0021988299,0.3686421,-1.1098136,-0.15910563,24.834751,6.9753259,-9.5436831,-6.4450631,0.00016732987,-21.842642,-0.078060459,8.0079627,279.81698,19.563636,334.29851,0.062083586,69.831982,0.2362115,10.222406,295.63328,2.5028868,352.48436,2.5383225e-08,-45.259984,-0.15392068,24.834751,294.04746,-9.5436831,349.71862,0.00027299105,53.695527,0.19079517,10.222406,281.43022,2.5028868,346.19424,7.572656e-06,-79.680941,-0.28406111,24.834751,280.50633,-9.5436831,341.30894,9.2387884e-12,-48.977058,-0.17411219,0.39574408,281.29597,0.28969495,346.83298,4.5955637e-05,-93.347084,-0.33630508,26.407185,277.56668,-31.981708,333.39718,6.1922848e-17,-57.37725,-0.2067152,0.0010783262,277.56668,0.0022241306,333.39718,4.5672192e-07,31.584515,0.11379073,6.9580181,277.56668,-6.4465299,333.39718,0.0058638636,5560.3266,269894.01,1.2288885,331.48925,1,1
0.51787205,0.043684702,7.5166738,11.854769,19.114151,2.7774904,0.31547401,-2.8590139,-0.095114677,7.4979871,30.058599,19.055268,-7.7775702,0.026952069,-0.026086213,-0.069857617,7.5251612,0.37341973,19.143454,0.26330108,0.10919222,-1.9225944,-0.072060344,7.9973145,26.680339,19.539685,-31.602269,0.085087314,-3.2248423e-05,-0.03037924,11.724616,0.0010615283,2.7686882,0.0021818318,0.47991474,2.1551585e-05,0.020358792,0.37494102,0.0010585886,0.2661462,0.0021827414,0.63689238,-0.59818358,-0.086626536,29.737703,6.9053157,-7.6580604,-6.5911119,0.041532547,-24.443295,-0.089714491,7.9973145,272.45649,19.539685,325.38976,0.031929476,67.7325,0.2269837,11.724616,298.40249,2.7686882,357.33955,8.9417151e-08,-35.570419,-0.11927674,29.737703,298.21756,-7.6580604,355.64061,0.0049366018,29.414923,0.10736593,11.724616,273.96889,2.7686882,336.49632,0.012302249,-64.661214,-0.23629463,29.737703,273.64657,-7.6580604,331.61106,1.8119523e-08,-40.754208,-0.1484806,0.37494102,274.47496,0.2661462,337.00652,0.00053699845,-88.594932,-0.32789039,26.677949,270.19679,-31.275894,324.53983,3.9610672e-16,-58.850709,-0.21780684,0.0010652501,270.19679,0.0021991013,324.53983,1.033196e-07,24.763474,0.091649771,6.9154675,270.19679,-6.6603009,324.53983,0.026647847,5497.7533,269668.56,1.2290554,334.31481,1,2
0.46267608,0.045692436,7.4940873,10.125879,19.067167,3.4118625,0.29235695,-1.3709617,-0.055233523,7.4737387,24.821189,19.009926,-8.9326002,0.19834716,-0.0045061221,-0.011349444,7.4912455,0.39703463,19.083835,0.28836031,0.79396218,-1.7273109,-0.064168293,7.9888289,26.918448,19.513112,-31.371677,0.12529919,-2.3104428e-05,-0.021991471,10.020033,0.0010506086,3.3632542,0.0021592327,0.60812538,5.3306824e-05,0.050701275,0.39359296,0.0010513902,0.28530942,0.0021600728,0.23733442,-1.8900859,-0.27348949,24.586258,6.9110002,-8.8384821,-6.8336589,5.1800844e-11,-22.427083,-0.08608143,7.9888289,260.53335,19.513112,314.22737,0.039581858,73.583679,0.24470781,10.020033,300.70017,3.3632542,358.92567,6.9057246e-09,-69.752351,-0.23314668,24.586258,299.17797,-8.8384821,357.25047,2.5916669e-08,41.487682,0.15871255,10.020033,261.4014,3.3632542,324.70673,0.0001963179,-73.453218,-0.28087512,24.586258,261.51557,-8.8384821,319.65425,1.4748395e-11,-43.905048,-0.16781355,0.39359296,261.62993,0.28530942,324.81216,8.2643357e-05,-90.258502,-0.34921925,26.923547,258.45798,-31.151109,313.7972,3.2055521e-18,-60.881908,-0.23555824,0.0010531001,258.45798,0.0021734725,313.7972,8.0912075e-09,16.186624,0.062627683,6.8706541,258.45798,-6.896612,313.7972,0.13027783,5433.6814,269432.71,1.2294207,335.51441,1,3
0.082778677,0.0075002988,7.4978254,11.036717,19.066667,3.4270923,0.86271707,-1.2276429,-0.051349317,7.4783277,23.907677,18.976287,-7.8340499,0.23181537,-0.015886061,-0.039341777,7.4954009,0.40379621,19.05094,0.30740296,0.36512682,-1.4183919,-0.052592553,7.9848411,26.969444,19.488112,-31.177271,0.20913457,3.5480918e-05,0.03393923,10.918079,0.0010454249,3.382201,0.0021374259,0.42825329,8.3821837e-05,0.08028634,0.40426397,0.0010440361,0.30812009,0.0021394067,0.061064992,-1.9579282,-0.286449,23.680961,6.835172,-7.6680846,-7.0110036,5.5732487e-12,-24.313572,-0.097756419,7.9848411,248.71586,19.488112,306.71793,0.019362238,60.698691,0.20828435,10.918079,291.42223,3.382201,362.12357,8.9139549e-07,-76.754378,-0.26468393,23.680961,289.98503,-7.6680846,360.28516,2.2061196e-10,30.354887,0.1220473,10.918079,248.71412,3.382201,316.7997,0.0042550216,-63.793679,-0.25629256,23.680961,248.9096,-7.6680846,311.90341,8.3595889e-10,-38.605108,-0.15511175,0.40426397,248.88577,0.30812009,317.04854,0.00027816603,-78.886685,-0.31980117,26.956815,246.67416,-30.977947,306.19222,2.2353189e-15,-64.034424,-0.25959113,0.0010559293,246.67416,0.0021565903,306.19222,1.8314781e-10,4.4603929,0.018082125,6.8559976,246.67416,-7.0851436,306.19222,0.66251135,5391.4758,269253.8,1.229366,338.52495,1,4
-0.58897377,-0.037667184,7.4832666,15.636257,19.047637,3.3991011,0.38725687,-1.6971231,-0.063384062,7.4497473,26.775235,18.924125,-8.4623593,0.14019156,-0.013000285,-0.031698582,7.4853196,0.41012197,19.041255,0.31139642,0.46817606,-1.9738735,-0.074235128,7.9789498,26.589481,19.461189,-30.172028,0.076061399,-4.920451e-06,-0.0046824238,15.465984,0.0010508342,3.3483599,0.0021125689,0.91339291,9.9701982e-06,0.0094939116,0.40905238,0.0010501676,0.31136648,0.0021062349,0.82594324,-1.7098901,-0.24682431,26.490749,6.9275595,-8.3709732,-7.2420324,3.6696789e-09,-25.439912,-0.10608426,7.9789498,239.80855,19.461189,300.35431,0.011123854,50.675672,0.17333017,15.465984,292.36498,3.3483599,365.59469,4.9768743e-05,-67.462303,-0.23214861,26.490749,290.59964,-8.3709732,362.27922,3.0683479e-08,22.482106,0.093896084,15.465984,239.43604,3.3483599,312.66427,0.028832525,-57.494746,-0.23980236,26.490749,239.75888,-8.3709732,306.572,1.0314217e-08,-31.440163,-0.13119081,0.40905238,239.65218,0.31136648,313.67974,0.0022739482,-77.924375,-0.32764455,26.53388,237.83205,-30.034017,299.80544,4.1781711e-16,-64.525765,-0.27130811,0.0010639965,237.83205,0.0021404468,299.80544,2.4959658e-11,-3.4713396,-0.01459576,6.8946298,237.83205,-7.2717949,299.80544,0.72462226,5351.1169,269065.32,1.2297006,339.66335,1,5
0.5505017,0.041625571,7.4677127,13.225085,18.980189,2.054735,0.33884766,-2.1403813,-0.070726045,7.4659036,30.262987,18.94085,-6.5132501,0.10032105,-0.03158287,-0.08085727,7.4780684,0.39060025,18.994508,0.284843,0.063368642,-2.6687157,-0.099951799,7.9744914,26.700027,19.434091,-29.501923,0.016790618,-6.2369611e-05,-0.059046063,13.082062,0.0010562874,2.0193956,0.0020997332,0.16946005,7.15435e-06,0.0068285907,0.38962125,0.0010477052,0.28423147,0.0020975239,0.87409162,-1.3498695,-0.19708609,29.935468,6.8491367,-6.5129391,-7.3704314,2.9495656e-06,-27.369568,-0.11686091,7.9744914,234.20635,19.434091,293.95872,0.0051358632,62.130502,0.2148211,13.082062,289.21974,2.0193956,362.31732,4.339726e-07,-50.494973,-0.17528734,29.935468,288.06971,-6.5129391,359.99167,3.3448886e-05,45.971075,0.196957,13.082062,233.40665,2.0193956,306.15038,3.7575874e-06,-56.588595,-0.2423966,29.935468,233.45457,-6.5129391,301.40331,7.5211598e-09,-28.271431,-0.12110884,0.38962125,233.43821,0.28423147,306.55961,0.0047904974,-76.07881,-0.32779079,26.664218,232.09563,-29.420855,293.63885,4.0476503e-16,-69.230648,-0.29828502,0.0010651978,232.09563,0.0021264245,293.63885,1.738679e-13,-11.134945,-0.047975678,6.8787625,232.09563,-7.420494,293.63885,0.2466347,5316.0613,268902.05,1.2304642,339.15442,1,6
-0.31630885,-0.027559295,7.4744618,11.477393,18.94896,3.6176024,0.52707033,-2.2396107,-0.09121154,7.4545285,24.554028,18.892222,-7.0872743,0.034084394,-0.024017045,-0.062934147,7.4761894,0.38162183,18.944487,0.28071809,0.14948007,-3.0836095,-0.11811922,7.972029,26.105907,19.403322,-28.139684,0.0046733128,4.4160939e-05,0.04160335,11.353709,0.0010614755,3.5447005,0.0020886651,0.33367122,0.00010400693,0.098666468,0.37963807,0.0010541264,0.27855769,0.0020787833,0.02196619,-1.936054,-0.2800036,24.365539,6.9143895,-7.1169555,-7.5105244,2.0249001e-11,-28.946853,-0.12418669,7.972029,233.09142,19.403322,292.41944,0.0029285373,88.221299,0.30876744,11.353709,285.72086,3.5447005,359.51649,1.9499078e-13,-48.342088,-0.16962807,24.365539,284.98873,-7.1169555,356.60774,6.0969102e-05,33.922545,0.14618654,11.353709,232.04971,3.5447005,305.70178,0.00064051212,-49.187226,-0.21161725,24.365539,232.43486,-7.1169555,301.08897,5.1107766e-07,-20.754885,-0.089466921,0.37963807,231.98389,0.27855769,307.01082,0.037853201,-81.434142,-0.3525958,26.064065,230.95608,-28.004954,292.34418,1.4444616e-18,-74.875261,-0.32419697,0.0010688251,230.95608,0.0021139767,292.34418,8.7852228e-16,-17.376641,-0.075237862,6.8893126,230.95608,-7.5292991,292.34418,0.068995845,5284.9418,268773.05,1.2312799,338.42205,1,7
0.14065903,0.0076095893,7.6998547,18.484444,19.470502,7.9498245,0.86177831,-0.249043,-0.0066220741,7.6771185,37.608006,19.378635,1.0019688,0.87809443,0.018128038,0.043418235,7.6815764,0.41752129,19.436489,0.4126571,0.32167015,-3.1874719,-0.13144575,8.1513306,24.249334,19.895252,-1.0024458,0.0016297556,0.00010217926,0.094199183,18.335589,0.0010847149,7.8936319,0.0021581509,0.02906006,0.00010020693,0.092316417,0.4173129,0.0010854725,0.41541623,0.002157197,0.032937393,-0.89996677,-0.1319079,37.223815,6.8226904,0.88239907,-6.9297083,0.0018983599,-22.056333,-0.092169906,8.1513306,239.30081,19.895252,314.79124,0.027506401,40.988763,0.14498718,18.335589,282.70611,7.8936319,358.84147,0.00075217665,-13.007788,-0.046158078,37.223815,281.80956,0.88239907,355.06199,0.27899132,11.236798,0.047005223,18.335589,239.05425,7.8936319,329.10628,0.27689227,-16.918228,-0.070700364,37.223815,239.29477,0.88239907,323.0658,0.097036425,-6.5494667,-0.027363829,0.4173129,239.3476,0.41541623,330.08815,0.52805898,-76.013216,-0.32047007,24.176077,237.19287,-0.91572479,314.83224,1.9411118e-15,-81.014124,-0.34155379,0.0010836704,237.19287,0.0021635665,314.83224,1.8898875e-17,-20.76796,-0.087557272,6.8139681,237.19287,-7.0264085,314.83224,0.034237283,5408.9163,269261.75,1.2306303,338.023,1,8
