SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
2.3214402,0.24556942,10.273613,9.4532953,19.511432,44.45057,0.1372563,-0.44312668,-0.033924129,10.273613,13.062286,19.511432,26.119673,0.83976454,0.03264991,0.21579848,10.273613,0.15129814,19.511432,0.44398617,0.19318048,2.9692381,0.1248209,10.273613,23.787988,19.511432,88.692101,0.45526173,0.00041745104,0.14862293,9.2593873,0.002808793,44.669685,0.0083575648,0.36005264,0.00099463188,0.35411363,0.14832325,0.002808793,0.44156865,0.0083575648,0.024975037,-1.8628314,-0.50086544,12.869466,3.7192252,25.907609,15.5864,0.00099553827,-44.853908,-0.18130621,10.273613,247.39311,19.511432,643.30758,0.27599034,77.46019,0.38157235,9.2593873,203.00263,44.669685,517.79195,0.015121243,-101.95648,-0.50224215,12.869466,203.00263,25.907609,517.79195,0.00095900426,33.615176,0.13601017,9.2593873,247.15193,44.669685,634.6332,0.40269062,102.47299,0.41461535,12.869466,247.15193,25.907609,634.6332,0.0078137272,-109.51311,-0.44310036,0.14832325,247.15193,0.44156865,634.6332,0.0041905808,1.5959357,0.006451011,23.787988,247.39311,88.692101,643.30758,0.96933795,-189.74319,-0.7677188,0.002808793,247.15193,0.0083575648,634.6332,7.4444323e-09,-142.85095,-0.57798841,3.7192252,247.15193,15.5864,634.6332,9.3944588e-05,20893.912,288786.08,1.2160322,517.79195,1,daily
0.6256736,0.045870569,10.527433,13.639979,19.407259,0.058437365,0.78747957,1.3914866,0.094904015,10.527433,14.662041,19.407259,-14.964713,0.57634697,-0.077001019,-0.18684736,10.527433,0.41210653,19.407259,0.31465574,0.26815304,0.07098361,0.002700978,10.527433,26.280706,19.407259,-42.548644,0.98734168,-0.001219997,-0.42645318,13.144592,0.0028607994,-0.06199635,0.0083012164,0.0060696083,-9.8310071e-05,-0.034364546,0.40361316,0.0028607994,0.30832598,0.0083012164,0.83326913,0.23344765,0.05223619,14.433014,4.4690788,-14.912771,12.559563,0.74888247,-27.157524,-0.10433518,10.527433,260.29115,19.407259,258.78416,0.53885563,53.888262,0.19316525,13.144592,278.97493,-0.06199635,305.07094,0.23238722,-162.4419,-0.58228135,14.433014,278.97493,-14.912771,305.07094,8.092804e-05,153.21031,0.59834421,13.144592,256.05714,-0.06199635,244.01492,4.5442988e-05,-107.06017,-0.41811048,14.433014,256.05714,-14.912771,244.01492,0.0072588331,26.820056,0.10474246,0.40361316,256.05714,0.30832598,244.01492,0.52008378,-29.007266,-0.11144161,26.280706,260.29115,-42.548644,258.78416,0.51140163,-130.90033,-0.51121529,0.0028607994,256.05714,0.0083012164,244.01492,0.00074869724,-61.354236,-0.2396115,4.4690788,256.05714,12.559563,244.01492,0.13644202,20753.041,285755.79,1.2412194,305.07094,1,0
0.48685369,0.040582713,10.53413,11.996578,19.408165,2.8593974,0.81150847,1.4100481,0.094516473,10.53413,14.918543,19.408165,-15.01773,0.57791236,0.06499497,0.16487426,10.53413,0.39420932,19.408165,0.34884351,0.32947873,-0.28912123,-0.012184455,10.53413,23.728696,19.408165,-40.582206,0.94294102,-0.00032075807,-0.11123866,12.100802,0.0028835126,1.9870462,0.0082852039,0.49438477,0.00051982229,0.18027398,0.38387375,0.0028835126,0.34801881,0.0082852039,0.26564459,-0.31005444,-0.066835483,14.665319,4.6390693,-15.150908,12.27795,0.6819824,-3.8120472,-0.017383905,10.53413,219.28602,19.408165,226.58805,0.9186611,86.762601,0.31865176,12.100802,272.28031,1.9870462,300.82744,0.04506966,-156.94164,-0.57639731,14.665319,272.28031,-15.150908,300.82744,9.9231452e-05,119.2458,0.55045973,12.100802,216.62947,1.9870462,212.6933,0.00023312093,-114.61407,-0.52907885,14.665319,216.62947,-15.150908,212.6933,0.00044799943,2.3141619,0.010682581,0.38387375,216.62947,0.34801881,212.6933,0.94783804,-79.178903,-0.36107593,23.728696,219.28602,-40.582206,226.58805,0.028118841,-101.75699,-0.46972831,0.0028835126,216.62947,0.0082852039,212.6933,0.0022277567,-50.390869,-0.23261318,4.6390693,216.62947,12.27795,212.6933,0.14862004,20713.01,285489.67,1.2419776,300.82744,1,1
1.0173073,0.098908828,10.540459,10.285304,19.413537,1.2295143,0.56028361,1.5141211,0.089675301,10.540459,16.884483,19.413537,-15.440728,0.59762638,-0.024373296,-0.05676285,10.540459,0.42938817,19.413537,0.38167398,0.7386109,-1.0030878,-0.039902959,10.540459,25.13818,19.413537,-37.208261,0.81461024,-0.00092580699,-0.31301588,9.9889815,0.0029576997,0.87399311,0.0082868415,0.049224244,-0.00029738055,-0.10054454,0.41736206,0.0029576997,0.36637061,0.0082868415,0.53703515,-0.27432615,-0.057990878,16.390139,4.7305052,-15.400643,12.0454,0.7222632,10.193807,0.045817111,10.540459,222.48907,19.413537,199.14869,0.78772156,81.368321,0.3051832,9.9889815,266.62124,0.87399311,295.32458,0.05550464,-168.25199,-0.63105247,16.390139,266.62124,-15.400643,295.32458,1.2682301e-05,145.64614,0.66509214,9.9889815,218.98641,0.87399311,185.89528,2.8472637e-06,-141.00674,-0.64390635,16.390139,218.98641,-15.400643,185.89528,7.3711339e-06,-42.328134,-0.19329114,0.41736206,218.98641,0.36637061,185.89528,0.23207711,-109.47997,-0.49206899,25.13818,222.48907,-37.208261,199.14869,0.001978705,-95.665534,-0.43685603,0.0029576997,218.98641,0.0082868415,185.89528,0.0048255934,-44.872621,-0.20491053,4.7305052,218.98641,12.0454,185.89528,0.20466144,20717.104,285270.59,1.2427699,295.32458,1,2
-1.0398659,-0.10402196,10.543392,9.9965991,19.865369,1.364525,0.55206447,2.7810473,0.17294625,10.54688,16.080414,19.467818,-14.228552,0.30601324,0.21375008,0.61844112,10.543392,0.34562721,19.865369,0.31952972,7.5117542e-05,2.0140399,0.079667023,10.54688,25.280723,19.467818,-31.832499,0.63927747,-0.00059576513,-0.20320352,9.9881631,0.0029318642,1.23235,0.0081270717,0.22110263,-6.6429501e-05,-0.022657769,0.33540965,0.0029318642,0.31053901,0.0081270717,0.89259345,-0.17491551,-0.035914352,15.644651,4.8703513,-14.493573,11.800425,0.82586298,8.5051813,0.037059313,10.54688,229.50186,19.467818,190.25078,0.82761566,141.96314,0.58918493,9.9881631,240.94836,1.23235,272.4062,9.9512469e-05,-172.10643,-0.68431744,15.644651,251.50086,-14.493573,286.37542,1.1224269e-06,157.61872,0.68698677,9.9881631,229.43487,1.23235,188.67832,1.9052984e-06,-153.13352,-0.6841042,15.644651,223.84531,-14.493573,185.8903,1.1345087e-06,-54.910645,-0.23932999,0.33540965,229.43487,0.31053901,188.67832,0.14784838,-137.25883,-0.59807285,25.280723,229.50186,-31.832499,190.25078,9.2574405e-05,-98.012227,-0.43785696,0.0029978208,223.84531,0.008209559,185.8903,0.004718504,-45.377137,-0.2027165,4.8703513,223.84531,11.800425,185.8903,0.20965662,20523.897,285040.12,1.2438554,286.37542,1,3
-1.0134681,-0.053630927,10.547458,18.897084,19.859918,4.0846624,0.75961822,3.783841,0.23776419,10.398997,15.91426,19.903635,-14.511977,0.16260721,0.15403651,0.38375734,10.547458,0.40139039,19.859918,0.30939469,0.022857433,2.8819121,0.11573973,10.398997,24.899937,19.903635,-31.799004,0.50145954,0.00079922945,0.2670545,18.528468,0.0029927579,3.6144155,0.0080510297,0.1100769,0.00052587667,0.17571641,0.39339217,0.0029927579,0.30128742,0.0080510297,0.29821102,-0.70950079,-0.14299885,15.619338,4.9615839,-14.479603,11.772237,0.3917371,0.90307681,0.0036717218,10.398997,245.95459,19.903635,192.93087,0.98304393,138.57824,0.6277725,18.528468,220.74596,3.6144155,261.67299,3.195171e-05,-150.48793,-0.63127568,15.619338,238.38703,-14.479603,277.41482,2.1419522e-05,112.08582,0.45922062,18.528468,244.07838,3.6144155,188.5771,0.0042489917,-162.0046,-0.67132024,15.619338,241.32238,-14.479603,185.89994,3.9611859e-06,30.606155,0.12539478,0.39339217,244.07838,0.30128742,188.5771,0.4596073,-124.32219,-0.50546808,24.899937,245.95459,-31.799004,192.93087,0.0016631018,-104.16007,-0.43162208,0.003061235,241.32238,0.0081824821,185.89994,0.0068146034,-42.054119,-0.17426531,4.9615839,241.32238,11.772237,185.89994,0.29538032,20456.205,285017.92,1.2446029,277.41482,1,4
-0.214837,-0.021741212,10.402681,9.8815559,19.890537,1.9429981,0.89984411,2.0242168,0.14467519,10.402681,13.991458,19.890537,-14.189602,0.39986732,0.068331135,0.20239398,10.402681,0.33761447,19.890537,0.27609903,0.23648956,1.9279522,0.07680584,10.402681,25.101635,19.890537,-33.471921,0.6561535,0.00016060155,0.052885131,10.061841,0.0030367997,1.1271381,0.0080298138,0.7491609,0.00033816776,0.11135662,0.32996909,0.0030367997,0.27827112,0.0080298138,0.49973944,-0.64018108,-0.12940766,13.581574,4.9470106,-14.068462,11.391308,0.43235569,-8.6804434,-0.037470791,10.402681,231.65893,19.890537,184.59476,0.82823458,149.72719,0.57803446,10.061841,259.02814,1.1271381,278.61134,0.0001163434,-156.62265,-0.60465497,13.581574,259.02814,-14.068462,278.61134,4.5646163e-05,143.04506,0.6310781,10.061841,226.66777,1.1271381,172.26271,1.653433e-05,-138.64166,-0.61165143,13.581574,226.66777,-14.068462,172.26271,3.5195269e-05,-14.630918,-0.064547857,0.32996909,226.66777,0.27827112,172.26271,0.69624544,-124.47135,-0.53730435,25.101635,231.65893,-33.471921,184.59476,0.00072734007,-95.953572,-0.42332253,0.0030367997,226.66777,0.0080298138,172.26271,0.0072488255,-41.295568,-0.18218545,4.9470106,226.66777,11.391308,172.26271,0.26697651,20074.535,284624.96,1.2455947,278.61134,1,5
7.9233206,0.12188577,10.404537,65.006115,19.902726,6.1108119,0.47885066,1.9437602,0.16012734,10.404537,12.13884,19.902726,-16.787714,0.35087371,0.10546534,0.29454064,10.404537,0.35806718,19.902726,0.24328349,0.08119524,1.2997748,0.053757333,10.404537,24.178558,19.902726,-33.962041,0.75550713,0.00047087472,0.1592657,62.503936,0.0029565356,5.1388651,0.0079059401,0.33281767,0.001441569,0.48758721,0.34623751,0.0029565356,0.24241226,0.0079059401,0.0016414895,-0.7169709,-0.14567961,11.828052,4.9215599,-16.816821,11.159244,0.3762089,-10.653072,-0.053010885,10.404537,200.96008,19.902726,180.35689,0.7588006,-31.096271,-0.12203365,62.503936,254.81719,5.1388651,275.00917,0.45925304,-164.18263,-0.64431536,11.828052,254.81719,-16.816821,275.00917,9.5875062e-06,-2.8890807,-0.014713878,62.503936,196.35073,5.1388651,176.97911,0.92915882,-121.86636,-0.62065649,11.828052,196.35073,-16.816821,176.97911,2.4953444e-05,-88.02338,-0.44829668,0.34623751,196.35073,0.24241226,176.97911,0.0042078259,-140.85338,-0.70090232,24.178558,200.96008,-33.962041,180.35689,1.9318764e-06,-92.786119,-0.47255296,0.0029565356,196.35073,0.0079059401,176.97911,0.002384188,-51.811978,-0.26387464,4.9215599,196.35073,11.159244,176.97911,0.10454728,19764.85,284358.55,1.2469186,275.00917,1,6
5.1621435,0.10218322,10.412155,50.518507,19.982565,13.044157,0.55316936,1.5336626,0.13459069,10.412155,11.395012,19.982565,-13.44295,0.43385308,0.20848284,0.43323147,10.412155,0.48122736,19.982565,0.43782614,0.0083058747,1.154847,0.051648176,10.412155,22.35988,19.982565,-14.030676,0.7648239,0.0011004319,0.38466545,48.709229,0.0028607505,11.775937,0.0078515756,0.015609098,0.00083503212,0.29189268,0.47857997,0.0028607505,0.45175592,0.0078515756,0.071379609,-0.38201612,-0.080730784,11.205358,4.7319759,-13.081949,11.177474,0.62515385,-12.36852,-0.058688455,10.412155,210.74878,19.982565,191.03147,0.73385902,88.551179,0.37642191,48.709229,235.24449,11.775937,272.36472,0.018182553,-163.33595,-0.69432422,11.205358,235.24449,-13.081949,272.36472,9.4588542e-07,5.904657,0.028799655,48.709229,205.02527,11.775937,183.84744,0.86183551,-120.84126,-0.58939689,11.205358,205.02527,-13.081949,183.84744,7.8825053e-05,-54.923792,-0.26788792,0.47857997,205.02527,0.45175592,183.84744,0.099184253,-156.52609,-0.74271411,22.35988,210.74878,-14.030676,191.03147,2.141754e-07,-101.00433,-0.49264333,0.0028607505,205.02527,0.0078515756,183.84744,0.0014423152,-52.970002,-0.25835841,4.7319759,205.02527,11.177474,183.84744,0.1122754,19628.939,284336.56,1.2476199,272.36472,1,7
-1.987452,-0.10070465,10.408703,19.735453,19.974635,43.301919,0.55895627,1.8110691,0.10580587,10.408703,17.116905,19.974635,9.7442074,0.53911051,-0.0367282,-0.12558205,10.408703,0.29246378,19.974635,0.79147311,0.46551427,-3.6430859,-0.10364744,10.408703,35.148826,19.974635,87.249071,0.54746634,-0.0011436822,-0.37494438,19.0032,0.0030502715,42.912728,0.0083992698,0.018679501,-0.00035195643,-0.11538528,0.28207567,0.0030502715,0.79499693,0.0083992698,0.48425329,-1.3330368,-0.32169823,16.493866,4.1437494,9.5975481,13.133321,0.045816354,-70.243774,-0.23594818,10.408703,297.70847,19.974635,319.98526,0.16593698,105.61694,0.42133477,19.0032,250.67226,42.912728,289.94265,0.00755672,-154.10526,-0.61476791,16.493866,250.67226,9.5975481,289.94265,3.1283528e-05,128.45334,0.43866829,19.0032,292.82567,42.912728,302.28906,0.0052141978,-69.820975,-0.23843871,16.493866,292.82567,9.5975481,302.28906,0.14380133,121.13621,0.41368028,0.28207567,292.82567,0.79499693,302.28906,0.0088496236,-101.09245,-0.33956859,35.148826,297.70847,87.249071,319.98526,0.042748653,-199.55103,-0.681467,0.0030502715,292.82567,0.0083992698,302.28906,1.790618e-06,-119.91718,-0.40951729,4.1437494,292.82567,13.133321,302.28906,0.0096291345,20998.175,286251.17,1.2423782,289.94265,1,8
