SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002214181,-0.21917727,2.3212446,0.0010102239,5.6568823,0.0023318458,0.23615571,0.00017237639,0.17063188,0.15182094,0.0010102239,0.28031947,0.0023318458,0.35874848,-3.0594351,-0.74770475,12.927381,4.0917689,12.971173,-3.2213382,1.3374456e-06,,,,,,,,23.237984,0.11649319,2.3212446,199.47933,5.6568823,500.51233,0.53257292,-51.199074,-0.25666355,12.927381,199.47933,12.971173,500.51233,0.1633799,144.60027,0.70770684,2.3212446,204.32227,5.6568823,546.95507,8.4813447e-06,111.20559,0.54426564,12.927381,204.32227,12.971173,546.95507,0.0015496502,-63.275733,-0.30968594,0.15182094,204.32227,0.28031947,546.95507,0.090005733,10.962533,0.053653148,14.233477,204.32227,8.1701841,546.95507,0.7743738,-98.981885,-0.48444003,0.0010102239,204.32227,0.0023318458,546.95507,0.0057504926,-44.979177,-0.2201384,4.0917689,204.32227,-3.2213382,546.95507,0.23405561,5829.6146,271755.25,1.2296902,500.51233,1,daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00053319726,-0.34978036,3.0875931,0.0015243773,0.95361417,0.0024115071,0.062883305,2.3882887e-05,0.015667306,0.44769429,0.0015243773,0.30043802,0.0024115071,0.93570874,-3.2313851,-0.63629256,10.519321,5.0784582,-7.4172743,-3.7488448,0.00020700646,,,,,,,,98.109798,0.30987199,3.0875931,316.61397,0.95361417,393.32153,0.10186862,-33.421124,-0.10555796,10.519321,316.61397,-7.4172743,393.32153,0.58577484,124.91676,0.60148014,3.0875931,207.68227,0.95361417,468.35248,0.00055808297,6.1848751,0.029780468,10.519321,207.68227,-7.4172743,468.35248,0.87812063,2.1650477,0.010424807,0.44769429,207.68227,0.30043802,468.35248,0.95719712,-93.833617,-0.43779081,24.756492,214.33437,-34.005093,466.72912,0.022381022,-91.406707,-0.44012764,0.0015243773,207.68227,0.0024115071,468.35248,0.016880235,-49.404966,-0.23788726,5.0784582,207.68227,-3.7488448,468.35248,0.21399895,6028.7677,271182.06,1.2416043,393.32153,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00024320364,-0.15410613,2.1848317,0.0015781568,1.6122559,0.0024061254,0.42477331,-0.0001251485,-0.079300417,0.49026662,0.0015781568,0.31033258,0.0024061254,0.68260847,-2.4791941,-0.4702484,10.130161,5.2720947,-8.44409,-3.929431,0.010047014,,,,,,,,28.59335,0.092244559,2.1848317,309.97329,1.6122559,385.64781,0.6341326,-105.48606,-0.34030692,10.130161,309.97329,-8.44409,385.64781,0.070864463,107.17271,0.4845875,2.1848317,221.16276,1.6122559,458.97374,0.0077213669,-33.522036,-0.15157179,10.130161,221.16276,-8.44409,458.97374,0.43252055,27.013321,0.12214227,0.49026662,221.16276,0.31033258,458.97374,0.52791393,-68.893217,-0.30171756,24.758944,228.33678,-30.234333,456.71703,0.12614478,-89.435812,-0.40438911,0.0015781568,221.16276,0.0024061254,458.97374,0.029569482,-38.532968,-0.17422901,5.2720947,221.16276,-3.929431,458.97374,0.36603691,6015.3136,271010.53,1.2425008,385.64781,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00027390731,-0.17800429,2.815818,0.001538768,2.2523479,0.0023983817,0.35557765,-6.9611741e-05,-0.045238619,0.41700397,0.001538768,0.20540995,0.0023983817,0.81574555,-1.9656322,-0.36954155,7.5124211,5.3191102,-7.338011,-4.0481379,0.048498229,,,,,,,,44.122637,0.15086669,2.815818,292.4611,2.2523479,383.04242,0.43468962,-69.814828,-0.23871492,7.5124211,292.4611,-7.338011,383.04242,0.21236184,123.0596,0.5641577,2.815818,218.12979,2.2523479,444.81058,0.0014345994,-48.237551,-0.22114151,7.5124211,218.12979,-7.338011,444.81058,0.24897497,51.447801,0.23585866,0.41700397,218.12979,0.20540995,444.81058,0.21804771,-26.936022,-0.11970872,23.04712,225.01302,-31.182907,441.54081,0.55201962,-79.255783,-0.36334232,0.001538768,218.12979,0.0023983817,444.81058,0.052697859,-25.031137,-0.11475341,5.3191102,218.12979,-4.0481379,444.81058,0.55335052,5995.9542,270877.21,1.2431666,383.04242,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2509456e-05,0.065455206,3.9812331,0.0014133246,1.9260789,0.0023830957,0.73585746,-0.00021076018,-0.14912368,0.41155737,0.0014133246,0.22692537,0.0023830957,0.44007687,-1.0638688,-0.20358135,7.2750139,5.2257676,-6.9718316,-4.2901552,0.2894914,,,,,,,,-50.261952,-0.19269424,3.9812331,260.83786,1.9260789,370.60329,0.31659909,-28.171821,-0.1080051,7.2750139,260.83786,-6.9718316,370.60329,0.57706512,119.97811,0.51641296,3.9812331,232.32978,1.9260789,420.27647,0.0041314144,-57.998605,-0.24963913,7.2750139,232.32978,-6.9718316,420.27647,0.19155069,89.446874,0.3849996,0.41155737,232.32978,0.22692537,420.27647,0.039174396,-45.779939,-0.19123097,22.714896,239.39605,-28.334741,415.17636,0.33932289,-94.512871,-0.4068048,0.0014133246,232.32978,0.0023830957,420.27647,0.028520117,-38.869442,-0.16730288,5.2257676,232.32978,-4.2901552,420.27647,0.38568974,5957.7392,270626.68,1.2448481,370.60329,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8877147e-06,-0.0014081584,3.1477077,0.0013405557,2.4735578,0.0023816306,0.99421572,-0.00010836909,-0.08083893,0.36738923,0.0013405557,0.1758374,0.0023816306,0.67677689,-0.54499221,-0.10543716,5.880315,5.1688819,-5.7112786,-4.385569,0.58620628,,,,,,,,75.116799,0.34982826,3.1477077,214.72479,2.4735578,342.46523,0.062844814,48.549851,0.22610269,5.880315,214.72479,-5.7112786,342.46523,0.23824262,147.73877,0.66049324,3.1477077,223.67946,2.4735578,401.69117,9.6462292e-05,36.85203,0.16475375,5.880315,223.67946,-5.7112786,401.69117,0.393073,74.806127,0.33443449,0.36738923,223.67946,0.1758374,401.69117,0.076191484,-4.0391642,-0.017570438,21.778177,229.88409,-24.231093,395.23259,0.93068342,-89.444807,-0.39987939,0.0013405557,223.67946,0.0023816306,401.69117,0.031612183,-34.944951,-0.1562278,5.1688819,223.67946,-4.385569,401.69117,0.4183468,5954.0764,270550.44,1.2471801,342.46523,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8075013e-05,0.036036804,3.1794912,0.0013340532,2.325506,0.0023730228,0.85276805,-8.6584501e-05,-0.064903334,0.43010282,0.0013340532,0.24728731,0.0023730228,0.73800691,-0.83774095,-0.15961345,5.3800035,5.2485611,-5.6802495,-4.4032414,0.40820444,,,,,,,,33.784733,0.15368075,3.1794912,219.83711,2.325506,340.18705,0.42606828,4.0281702,0.018323431,5.3800035,219.83711,-5.6802495,340.18705,0.92483751,136.48947,0.65391692,3.1794912,208.726,2.325506,402.66588,0.00011949182,33.642468,0.16118005,5.3800035,208.726,-5.6802495,402.66588,0.40355857,33.613484,0.16104119,0.43010282,208.726,0.24728731,402.66588,0.40396916,-4.8668455,-0.022710788,21.5714,214.29664,-24.317926,396.35232,0.91047541,-73.786905,-0.35351084,0.0013340532,208.726,0.0023730228,402.66588,0.059940079,-19.746408,-0.094604446,5.2485611,208.726,-4.4032414,402.66588,0.62544499,5932.5571,270544.67,1.2473007,340.18705,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6337991e-05,0.061764005,2.4632754,0.001397869,2.4432709,0.0023890156,0.75027044,-5.5558001e-05,-0.039744783,0.50094476,0.001397869,0.32730525,0.0023890156,0.83780799,-0.096735143,-0.017983535,5.7411981,5.3790949,-6.6811031,-4.3987759,0.92622797,,,,,,,,80.070037,0.35050639,2.4632754,228.44102,2.4432709,341.28069,0.06230184,-31.612361,-0.13838303,5.7411981,228.44102,-6.6811031,341.28069,0.47405861,111.3425,0.53034369,2.4632754,209.94405,2.4432709,401.48019,0.003082422,-30.022,-0.143,5.7411981,209.94405,-6.6811031,401.48019,0.45928727,47.401003,0.22577922,0.50094476,209.94405,0.32730525,401.48019,0.23893283,-43.683318,-0.20263714,23.62782,215.57409,-24.379667,395.0718,0.31073737,-80.145082,-0.38174495,0.001397869,209.94405,0.0023890156,401.48019,0.041007338,-20.99361,-0.099996211,5.3790949,209.94405,-4.3987759,401.48019,0.60578052,5972.539,270547.1,1.2472996,341.28069,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8615359e-05,-0.045311372,2.3782284,0.00085222223,2.5419556,0.0021759229,0.82603226,-0.00011531674,-0.13531299,0.47312479,0.00085222223,0.29727423,0.0021759229,0.50984949,-0.26200015,-0.057686056,5.254961,4.5418282,-5.766581,-5.0909808,0.77954728,,,,,,,,24.267214,0.10469136,2.3782284,231.79768,2.5419556,340.10214,0.61077212,-42.758869,-0.18446633,5.254961,231.79768,-5.766581,340.10214,0.36699627,111.61329,0.62136864,2.3782284,179.62492,2.5419556,404.5428,0.00070401012,-35.625699,-0.19833383,5.254961,179.62492,-5.766581,404.5428,0.33141621,30.69284,0.17087184,0.47312479,179.62492,0.29727423,404.5428,0.40394748,-62.007625,-0.34520614,22.992355,179.62492,-23.436519,404.5428,0.084132702,-74.916581,-0.41707231,0.00085222223,179.62492,0.0021759229,404.5428,0.034026645,-3.2719584,-0.018215504,4.5418282,179.62492,-5.0909808,404.5428,0.92962213,5439.8073,269818.33,1.2493927,340.10214,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.924317e-05,-0.063982079,2.9629425,0.0013948151,4.1775542,0.0024416406,0.74634901,-9.7723023e-05,-0.070061633,0.46777368,0.0013948151,0.56214299,0.0024416406,0.72314055,-4.1153639,-0.7477716,9.0098922,5.5035039,2.4308629,-4.1629821,4.7930725e-06,,,,,,,,61.731679,0.24470736,2.9629425,252.26736,4.1775542,418.10441,0.20947156,-84.427401,-0.3346743,9.0098922,252.26736,2.4308629,418.10441,0.081720533,56.703204,0.29579703,2.9629425,191.69632,4.1775542,398.85535,0.12644253,-6.482429,-0.033816137,9.0098922,191.69632,2.4308629,398.85535,0.86435859,78.728558,0.41069415,0.46777368,191.69632,0.56214299,398.85535,0.029937276,-51.051574,-0.26631483,17.148261,191.69632,6.3007679,398.85535,0.17073532,-82.963722,-0.43278724,0.0013948151,191.69632,0.0024416406,398.85535,0.021429958,-29.796916,-0.15543812,5.5035039,191.69632,-4.1629821,398.85535,0.42963299,6104.1014,270789.82,1.2398635,418.10441,1,8
