SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
2.4637939,0.41857982,0.71128926,5.886079,18.923909,8.3990014,2.5274815e-12,-8.6760272,-0.48366962,0.71128926,17.937921,18.923909,15.719725,1.7868951e-16,0.053360673,0.27450778,0.71128926,0.19438674,18.923909,0.27088317,7.9949829e-06,-6.7099596,-0.31305309,0.71128926,21.433935,18.923909,20.029735,2.9988525e-07,0.00038312426,0.26891506,5.886079,0.0014247036,8.3990014,0.002663858,1.2379156e-05,0.00041401974,0.29060061,0.19438674,0.0014247036,0.27088317,0.002663858,2.1516703e-06,-4.1475176,-0.71547122,17.937921,5.7969036,15.719725,-3.2104944,1.3397834e-41,-41.835303,-0.18855609,0.71128926,221.87192,18.923909,412.9196,0.0024027904,142.62571,0.49636203,5.886079,287.34211,8.3990014,550.96544,2.1612334e-17,18.39962,0.064033843,17.937921,287.34211,15.719725,550.96544,0.30650348,12.860554,0.057963863,5.886079,221.87192,8.3990014,412.9196,0.35471627,115.34631,0.5198779,17.937921,221.87192,15.719725,412.9196,3.3950342e-19,-89.964997,-0.40548166,0.19438674,221.87192,0.27088317,412.9196,1.3672586e-11,27.108141,0.12217923,21.433935,221.87192,20.029735,412.9196,0.050409826,-89.748464,-0.40450573,0.0014247036,221.87192,0.002663858,412.9196,1.5460078e-11,-45.290295,-0.2041281,5.7969036,221.87192,-3.2104944,412.9196,0.00099763661,6659.6451,271977.77,1.2223693,550.96544,1,daily
2.9880424,0.30872649,0.75785791,9.678607,18.958458,5.6128977,4.3929621e-06,-2.3807013,-0.12200936,0.75785791,19.512449,18.958458,-13.54495,0.075595578,0.045212694,0.11066242,0.75785791,0.40856411,18.958458,0.22677939,0.10728626,0.32939039,0.009995677,0.75785791,32.953285,18.958458,-37.33604,0.88468933,0.00050949545,0.33061718,9.678607,0.0015410435,5.6128977,0.0026607165,7.9607665e-07,0.00030632884,0.19878014,0.40856411,0.0015410435,0.22677939,0.0026607165,0.0035779481,-1.8590026,-0.28723672,19.512449,6.4720228,-13.54495,-3.6517347,2.0674696e-05,-34.716387,-0.14151274,0.75785791,245.3234,18.958458,372.25927,0.039060074,133.62573,0.36829995,9.678607,362.81766,5.6128977,490.97652,3.0336429e-08,-6.8934955,-0.018999889,19.512449,362.81766,-13.54495,490.97652,0.78278816,18.231072,0.074314442,9.678607,245.3234,5.6128977,372.25927,0.28027799,-37.182777,-0.15156637,19.512449,245.3234,-13.54495,372.25927,0.026979411,-36.948448,-0.15061119,0.40856411,245.3234,0.22677939,372.25927,0.027969438,-75.589519,-0.30812193,32.953285,245.3234,-37.33604,372.25927,4.5964423e-06,-74.959217,-0.30555266,0.0015410435,245.3234,0.0026607165,372.25927,5.5655405e-06,-18.122879,-0.073873421,6.4720228,245.3234,-3.6517347,372.25927,0.28315001,6651.7912,271530,1.2292383,490.97652,1,0
2.4376377,0.28869157,0.7505915,8.4437439,18.962171,5.3109001,2.3486894e-05,-1.8898897,-0.10496802,0.7505915,18.004434,18.962171,-12.221415,0.13131955,0.048078599,0.11748298,0.7505915,0.40923883,18.962171,0.22376956,0.091025958,-0.94690705,-0.029003519,0.7505915,32.648006,18.962171,-39.362892,0.6775114,0.0004683616,0.29962891,8.4437439,0.0015631389,5.3109001,0.0026339688,1.0990587e-05,0.00012935315,0.082752179,0.40923883,0.0015631389,0.22376956,0.0026339688,0.23470895,-1.5469285,-0.23263817,18.004434,6.6495042,-12.221415,-3.9142212,0.00072104253,-28.391021,-0.1171493,0.7505915,242.34904,18.962171,364.15102,0.091954434,202.07526,0.52875548,8.4437439,382.17146,5.3109001,484.21822,2.2242673e-16,12.676864,0.033170619,18.004434,382.17146,-12.221415,484.21822,0.63432983,28.1632,0.11620925,8.4437439,242.34904,5.3109001,364.15102,0.094610788,-21.253482,-0.087697817,18.004434,242.34904,-12.221415,364.15102,0.20781292,-12.941858,-0.053401728,0.40923883,242.34904,0.22376956,364.15102,0.44363095,-72.782262,-0.30031999,32.648006,242.34904,-39.362892,364.15102,1.0464711e-05,-64.024486,-0.26418295,0.0015631389,242.34904,0.0026339688,364.15102,0.00011531939,-10.897978,-0.044968108,6.6495042,242.34904,-3.9142212,364.15102,0.51895482,6584.922,271280.74,1.2303426,484.21822,1,1
1.7483988,0.21365953,0.73892838,8.183107,18.94877,5.0601707,0.0018946753,-0.80118817,-0.040206752,0.73892838,19.926707,18.94877,-11.695058,0.56325736,0.02750849,0.069014278,0.73892838,0.3985913,18.94877,0.22995904,0.32074479,-1.4321524,-0.044072473,0.73892838,32.495395,18.94877,-40.223974,0.52631899,0.00053442379,0.33891674,8.183107,0.0015768587,5.0601707,0.0026061556,5.1770467e-07,0.00015665492,0.099346204,0.3985913,0.0015768587,0.22995904,0.0026061556,0.15238417,-1.4237781,-0.21041156,19.926707,6.7666343,-11.695058,-4.154488,0.0022285757,-28.955961,-0.11514248,0.73892838,251.47939,18.94877,356.66043,0.096886609,186.29657,0.48709043,8.183107,382.46814,5.0601707,495.22183,7.5079119e-14,35.475973,0.092755367,19.926707,382.46814,-11.695058,495.22183,0.18161854,46.228357,0.18382563,8.183107,251.47939,5.0601707,356.66043,0.0077139239,-38.745007,-0.15406832,19.926707,251.47939,-11.695058,356.66043,0.025927426,-26.332853,-0.10471177,0.3985913,251.47939,0.22995904,356.66043,0.13133132,-76.416641,-0.30386841,32.495395,251.47939,-40.223974,356.66043,7.7184181e-06,-58.306505,-0.23185401,0.0015768587,251.47939,0.0026061556,356.66043,0.000730364,0.20565828,0.00081779379,6.7666343,251.47939,-4.154488,356.66043,0.99062363,6515.3889,271041.02,1.2298981,495.22183,1,2
2.81957,0.26908977,0.73323648,10.478176,18.928823,5.4366853,9.1896389e-05,0.063871212,0.0034229959,0.73323648,18.659448,18.928823,-12.19364,0.96105444,0.038968645,0.11039003,0.73323648,0.35300873,18.928823,0.19118915,0.11420185,-2.4858818,-0.07788717,0.73323648,31.916448,18.928823,-38.651085,0.26580285,0.00048097875,0.31050571,10.478176,0.0015490174,5.4366853,0.0025532794,5.5655487e-06,0.00021293314,0.13746337,0.35300873,0.0015490174,0.19118915,0.0025532794,0.048800727,-1.0647814,-0.15767334,18.659448,6.7530846,-12.19364,-4.4867087,0.023608297,-27.493384,-0.11460234,0.73323648,239.90246,18.928823,344.95653,0.10095262,187.60542,0.51581431,10.478176,363.70729,5.4366853,469.27981,2.1162957e-15,25.485669,0.070071922,18.659448,363.70729,-12.19364,469.27981,0.3169079,11.755301,0.049000334,10.478176,239.90246,5.4366853,344.95653,0.48428465,-38.156204,-0.15904883,18.659448,239.90246,-12.19364,344.95653,0.022404217,-11.414134,-0.047578229,0.35300873,239.90246,0.19118915,344.95653,0.49707102,-58.029884,-0.24188949,31.916448,239.90246,-38.651085,344.95653,0.0004603888,-49.023618,-0.20434813,0.0015490174,239.90246,0.0025532794,344.95653,0.0032164825,4.8551644,0.020238077,6.7530846,239.90246,-4.4867087,344.95653,0.77278562,6383.1985,270664.13,1.2335052,469.27981,1,3
2.4455267,0.25167587,0.73767,9.7169691,18.912062,5.5552651,0.00023695515,-0.75021482,-0.045417607,0.73767,16.518149,18.912062,-13.463937,0.51376018,0.071677228,0.17526483,0.73767,0.40896526,18.912062,0.22389339,0.011140642,-1.7120013,-0.055454879,0.73767,30.87197,18.912062,-36.629589,0.42515623,0.00038954578,0.25222957,9.7169691,0.0015444097,5.5552651,0.0025273082,0.00022931371,0.00014267408,0.092380982,0.40896526,0.0015444097,0.22389339,0.0025273082,0.1833953,-1.3719562,-0.20391316,16.518149,6.7281397,-13.463937,-4.6751651,0.0030620668,-17.21608,-0.075851519,0.73767,226.9708,18.912062,337.67354,0.27502239,184.34108,0.50095667,9.7169691,367.9781,5.5552651,451.19379,1.1195585e-14,19.156103,0.052057726,16.518149,367.9781,-13.463937,451.19379,0.45410797,17.385578,0.0765983,9.7169691,226.9708,5.5552651,337.67354,0.27031048,-10.135996,-0.044657708,16.518149,226.9708,-13.463937,337.67354,0.52083588,-15.816238,-0.069684017,0.40896526,226.9708,0.22389339,337.67354,0.31605986,-71.889058,-0.31673262,30.87197,226.9708,-36.629589,337.67354,2.9778009e-06,-48.5093,-0.21372485,0.0015444097,226.9708,0.0025273082,337.67354,0.0018884553,1.878801,0.0082777209,6.7281397,226.9708,-4.6751651,337.67354,0.90531184,6318.2705,270487.21,1.2353663,451.19379,1,4
2.6400345,0.27115886,0.72798671,9.7361174,18.945442,4.8071848,8.0705642e-05,0.53936261,0.031101327,0.72798671,17.342109,18.945442,-12.828745,0.65720227,0.045479907,0.12752541,0.72798671,0.35663407,18.945442,0.19748945,0.067750656,-0.57327807,-0.018659458,0.72798671,30.723189,18.945442,-35.579502,0.79007968,0.00039328448,0.26152604,9.7361174,0.0015038062,4.8071848,0.0025265379,0.00014642118,8.4610891e-05,0.056264491,0.35663407,0.0015038062,0.19748945,0.0025265379,0.42181868,-0.97587979,-0.14341647,17.342109,6.804517,-12.828745,-4.8192209,0.039731318,-24.537651,-0.1110745,0.72798671,220.91165,18.945442,325.63629,0.111961,143.10207,0.40602041,9.7361174,352.45044,4.8071848,446.94016,1.4053623e-09,43.25049,0.12271368,17.342109,352.45044,-12.828745,446.94016,0.078883285,9.6169745,0.043533125,9.7361174,220.91165,4.8071848,325.63629,0.53439533,-16.312473,-0.073841615,17.342109,220.91165,-12.828745,325.63629,0.29150844,-12.387784,-0.056075741,0.35663407,220.91165,0.19748945,325.63629,0.42338002,-77.065714,-0.3488531,30.723189,220.91165,-35.579502,325.63629,2.7638952e-07,-57.356313,-0.25963462,0.0015038062,220.91165,0.0025265379,325.63629,0.00016415551,-9.8405017,-0.044544965,6.804517,220.91165,-4.8192209,325.63629,0.52492906,6316.3448,270352.38,1.2357876,446.94016,1,5
2.8182343,0.28217871,0.71768805,9.9874093,18.916659,4.7949019,4.1477494e-05,-0.40741075,-0.026106005,0.71768805,15.606017,18.916659,-13.239669,0.71022131,0.12781144,0.30208569,0.71768805,0.42309664,18.916659,0.24838228,1.0723596e-05,-1.1751206,-0.03839281,0.71768805,30.60783,18.916659,-34.854693,0.58469366,0.00030294345,0.20261306,9.9874093,0.0014951822,4.7949019,0.0024654592,0.0035738031,0.00034236474,0.2289786,0.42309664,0.0014951822,0.24838228,0.0024654592,0.00095856377,-0.79717705,-0.11735393,15.606017,6.7929299,-13.239669,-5.1462902,0.093782529,-20.395798,-0.095210142,0.71768805,214.21875,18.916659,323.88815,0.17447859,162.8878,0.47049073,9.9874093,346.2083,4.7949019,436.16142,1.0927891e-12,55.445114,0.16014958,15.606017,346.2083,-13.239669,436.16142,0.02180214,10.314977,0.048151606,9.9874093,214.21875,4.7949019,323.88815,0.49296017,-28.510044,-0.13308846,15.606017,214.21875,-13.239669,323.88815,0.057124604,-21.103544,-0.098513991,0.42309664,214.21875,0.24838228,323.88815,0.15993163,-67.427044,-0.3147579,30.60783,214.21875,-34.854693,323.88815,4.2972814e-06,-50.024807,-0.23352207,0.0014951822,214.21875,0.0024654592,323.88815,0.00075224032,-5.9897147,-0.02796074,6.7929299,214.21875,-5.1462902,323.88815,0.6906547,6163.6479,269987.87,1.2379734,436.16142,1,6
2.5508946,0.2970893,0.72097928,8.5862892,18.924377,4.4675912,1.6750136e-05,-0.46572891,-0.028831454,0.72097928,16.153501,18.924377,-13.206254,0.68302904,0.085275699,0.19674302,0.72097928,0.43343697,18.924377,0.25683034,0.0049021079,-0.54216443,-0.01764529,0.72097928,30.725731,18.924377,-33.422626,0.80268505,0.00031481196,0.20740893,8.5862892,0.0015178322,4.4675912,0.0025617542,0.0029854656,0.00026285718,0.17317934,0.43343697,0.0015178322,0.25683034,0.0025617542,0.013477815,-1.1803876,-0.17244342,16.153501,6.845072,-13.206254,-4.8305246,0.013884909,-28.711588,-0.13377554,0.72097928,214.6251,18.924377,305.21519,0.057066702,140.26741,0.41563398,8.5862892,337.4782,4.4675912,430.20508,6.9790411e-10,22.050559,0.06533921,16.153501,337.4782,-13.206254,430.20508,0.35435146,26.349346,0.12276917,8.5862892,214.6251,4.4675912,305.21519,0.080985384,-39.032824,-0.18186514,16.153501,214.6251,-13.206254,305.21519,0.0094077217,-19.418677,-0.090477191,0.43343697,214.6251,0.25683034,305.21519,0.19922041,-79.719923,-0.37143802,30.725731,214.6251,-33.422626,305.21519,4.8711442e-08,-58.701143,-0.27350548,0.0015178322,214.6251,0.0025617542,305.21519,7.8695328e-05,-18.58004,-0.086569741,6.845072,214.6251,-4.8305246,305.21519,0.21940218,6404.3854,270339.89,1.2372696,430.20508,1,7
0.8391941,0.11635046,0.70853637,7.2126412,18.920299,4.8296908,0.097471224,-3.9787519,-0.19032607,0.71067547,20.904923,18.924546,-3.387847,0.0060163775,0.012405734,0.030234164,0.70853637,0.4103217,18.920299,0.30871143,0.66772319,-4.054836,-0.15954018,0.71067547,25.415767,18.924546,-10.32485,0.021663811,-0.00015354689,-0.10017138,7.2126412,0.0015328419,4.8296908,0.0025350357,0.15400407,-3.6967333e-05,-0.02411686,0.4103217,0.0015328419,0.30871143,0.0025350357,0.73205678,-2.9219499,-0.42891008,20.904923,6.8125001,-3.387847,-4.8608599,1.1337621e-10,-29.417521,-0.13398624,0.71067547,219.55628,18.924546,309.17865,0.054261826,127.48556,0.36834933,7.2126412,346.0996,4.8296908,476.44779,5.9414118e-08,37.767002,0.10935212,20.904923,345.37057,-3.387847,475.53453,0.11676842,35.60789,0.16269004,7.2126412,218.86952,4.8296908,312.97711,0.020076729,11.721296,0.05338629,20.904923,219.55628,-3.387847,309.17865,0.44487392,-0.16049968,-0.00073331217,0.4103217,218.86952,0.30871143,312.97711,0.99169462,-56.861926,-0.25898564,25.415767,219.55628,-10.32485,309.17865,0.00016450517,-73.166258,-0.33324602,0.0015509992,219.55628,0.0025591808,309.17865,9.2708831e-07,-33.07817,-0.15065918,6.8125001,219.55628,-4.8608599,309.17865,0.030245102,6397.9519,270283.04,1.2336059,475.53453,1,8
