SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-0.57162331,-0.18763748,8.2574127,3.0464239,22.040239,1.717204,0.0013528682,1.2916411,0.091120444,8.471342,14.175096,21.326041,1.816706,0.11049396,0.0026985613,0.022378649,8.2574127,0.12058642,22.040239,0.19363886,0.70480986,,,,,,,,4.7369414e-06,0.0047122826,3.7594317,0.0010052329,2.1200346,0.0017875406,0.90266675,0.00035295811,0.35112074,0.11278675,0.0010052329,0.1992081,0.0017875406,4.794045e-21,-2.1141232,-0.29755017,16.485225,7.1050985,2.9235374,-10.158911,1.1255694e-15,-7.8554593,-0.047174744,8.471342,166.51833,21.326041,315.91135,0.40936791,-30.600897,-0.16432758,3.7594317,186.21887,2.1200346,441.69615,1.7561499e-05,-17.050025,-0.091667064,16.485225,185.99947,2.9235374,439.73529,0.015634124,36.903843,0.19766349,3.7594317,186.70035,2.1200346,311.59256,2.2076938e-07,29.004806,0.15416947,16.485225,188.13586,2.9235374,312.57931,4.4754373e-05,-40.102198,-0.21479445,0.11278675,186.70035,0.1992081,311.59256,1.6977193e-08,,,,,,,,-93.740645,-0.49438509,0.0010047211,189.61058,0.0017911335,315.67482,1.1566086e-47,-68.200836,-0.35968897,7.0680113,189.61058,-10.215241,315.67482,2.0446742e-24,4477.8337,267489.45,1.2064379,436.02696,1,daily
-0.21798613,-0.035418713,8.6682456,6.1545468,21.990162,-0.65323944,0.55720141,-0.95899626,-0.038356755,8.8533549,25.002017,21.247551,-15.236876,0.5109467,-0.0032185151,-0.010296257,8.6682456,0.31259078,21.990162,0.19041107,0.86454342,,,,,,,,1.7806303e-05,0.016697464,5.3553942,0.0010664076,-0.56587627,0.0017671607,0.66946828,0.00015521575,0.14569122,0.29813812,0.0010653748,0.17488442,0.0017656094,0.00018712584,0.57951676,0.074550736,25.838578,7.7734546,-14.427197,-11.008018,0.053222796,2.2282891,0.013468292,8.8533549,165.44705,21.247551,239.45578,0.81751114,-20.977846,-0.080126265,5.3553942,261.80985,-0.56587627,379.62923,0.04020667,-42.850861,-0.1647915,25.838578,260.03077,-14.427197,377.06138,1.7349904e-05,11.894182,0.059485767,5.3553942,199.95005,-0.56587627,233.2202,0.12800374,-17.559194,-0.087261165,25.838578,201.22576,-14.427197,233.55474,0.02358261,-19.919887,-0.099547182,0.29813812,200.10498,0.17488442,233.8959,0.010919444,,,,,,,,-81.009292,-0.40055144,0.0010840489,202.24442,0.0017822896,237.22222,1.1654561e-29,-52.017129,-0.25719933,7.7957247,202.24442,-10.970753,237.22222,1.4874866e-12,4455.7241,266719.13,1.2140675,373.47338,1,0
0.00096189604,0.00016683349,8.8485082,5.7656051,22.036738,-0.878581,0.99778655,-1.1835738,-0.045002521,9.0213099,26.300167,21.296141,-14.622546,0.43893599,-0.021751004,-0.066669281,8.8485082,0.32625226,22.036738,0.20012594,0.26707134,,,,,,,,3.5584784e-05,0.033430777,5.0096186,0.0010644318,-0.68891594,0.0017511562,0.39335851,0.0001298079,0.12180965,0.3242281,0.0010656619,0.2004092,0.0017527673,0.001833441,0.48282999,0.061503407,20.679264,7.8504593,-14.094593,-11.24459,0.11118476,9.9279901,0.062898156,9.0213099,157.84231,21.296141,228.30759,0.2791196,-29.237774,-0.11242342,5.0096186,260.06835,-0.68891594,372.00341,0.0039933995,-54.684704,-0.21181419,20.679264,258.173,-14.094593,368.88653,2.9623092e-08,2.9365505,0.014191465,5.0096186,206.9237,-0.68891594,220.7561,0.71716647,-19.737753,-0.094743338,20.679264,208.32867,-14.094593,220.66744,0.014010875,-16.882559,-0.081512195,0.3242281,207.11697,0.2004092,221.10661,0.037449858,,,,,,,,-82.983319,-0.39983208,0.0010828308,207.54543,0.001769585,223.54708,1.5004938e-29,-52.322058,-0.25209931,7.8382553,207.54543,-11.203251,223.54708,4.1909912e-12,4423.9625,266484.57,1.2153394,364.88124,1,1
0.71962186,0.12726514,8.6748736,5.6545089,21.831419,-0.79185652,0.034246958,1.3502754,0.038212584,8.8470093,35.335884,21.098997,-11.366526,0.51253752,0.010273174,0.038618297,8.6748736,0.2660183,21.831419,0.1609075,0.52212781,,,,,,,,-7.0111265e-05,-0.066400543,5.181433,0.0010558839,-0.66176514,0.0017392043,0.090493037,0.00012834975,0.12171039,0.29488375,0.0010545505,0.17919836,0.0017359553,0.0019260804,0.51139703,0.064811882,27.195032,7.8904826,-12.901959,-11.475694,0.094183483,3.213141,0.02179363,8.8576686,147.43487,21.138057,218.69991,0.70837066,-4.5608845,-0.017727205,5.181433,257.28165,-0.66176514,361.40139,0.65165043,-33.622937,-0.13154485,27.195032,255.60057,-12.901959,359.36715,0.00065363707,12.106703,0.064984924,5.181433,186.30019,-0.66176514,208.39828,0.097593126,-8.0693402,-0.043135268,27.195032,187.07059,-12.901959,208.14541,0.26558337,-15.754578,-0.084429617,0.29488375,186.60014,0.17919836,209.16298,0.031773347,,,,,,,,-78.923486,-0.42244286,0.0010759313,186.82642,0.0017617393,210.39825,3.9408368e-33,-56.006861,-0.2997802,7.897767,186.82642,-11.383032,210.39825,1.0449844e-16,4404.3481,266291.3,1.2167199,355.90857,1,2
0.29501483,0.048551347,9.3330268,6.076347,22.164569,-1.3415406,0.42173851,2.4863075,0.10336505,9.4705543,24.053658,21.414747,-13.938564,0.077312661,0.010465144,0.03348209,9.3350835,0.31255946,22.132804,0.18744779,0.58035682,,,,,,,,-7.8450975e-05,-0.074609401,5.7630313,0.0010514891,-0.89890466,0.0017174527,0.057666495,0.0001056521,0.10061169,0.30773002,0.0010500977,0.19083481,0.0017141712,0.010625994,0.18801229,0.023472375,23.678007,8.0099389,-13.154902,-11.688555,0.54568372,-0.38293288,-0.0028084841,9.4705392,136.3486,21.46337,207.79054,0.96155961,-33.933768,-0.13322189,5.7630313,254.71616,-0.89890466,354.26084,0.00067411932,-35.331237,-0.13889298,23.678007,254.3774,-13.154902,352.22035,0.00032764174,14.092732,0.078055994,5.7630313,180.54643,-0.89890466,199.64519,0.047013784,-10.49159,-0.05812017,23.678007,180.51547,-13.154902,199.33162,0.13433461,-13.452412,-0.074369511,0.30773002,180.88612,0.19083481,200.31771,0.059263593,,,,,,,,-77.228919,-0.42670373,0.0010805266,180.98955,0.0017534084,201.53623,7.7574049e-34,-57.010649,-0.31499414,8.0150211,180.98955,-11.570269,201.53623,2.2711453e-18,4383.521,266109.23,1.2176292,349.03809,1,3
-0.20709512,-0.031428601,9.4050347,6.589384,22.412145,-1.1334337,0.60314031,1.9267099,0.09193973,9.5705042,20.956228,21.672532,-14.557178,0.1163325,0.032758504,0.099641441,9.4218592,0.32876385,22.407462,0.20165811,0.099158723,,,,,,,,-0.00014169364,-0.1349469,5.4151898,0.0010499955,-0.77587719,0.0017061064,0.00056130613,0.00012118963,0.11558366,0.31302606,0.0010485014,0.19329381,0.0017051409,0.0032860999,0.40110762,0.049270423,21.509104,8.1409413,-13.687204,-11.869021,0.2044603,-1.1199545,-0.008537254,9.5492484,131.1844,21.652878,202.35715,0.88371483,-37.460209,-0.15339628,5.4151898,244.20547,-0.77587719,349.27446,8.6159529e-05,-40.183565,-0.16463938,21.509104,244.07019,-13.687204,348.30979,1.9828269e-05,15.617244,0.08188953,5.4151898,190.71112,-0.77587719,196.48029,0.036863771,-6.9119114,-0.03630986,21.509104,190.35908,-13.687204,195.65018,0.34984465,-13.51237,-0.070680791,0.31302606,191.17458,0.19329381,196.91276,0.072840067,,,,,,,,-79.654906,-0.41817662,0.00107512,190.48149,0.0017363413,198.63311,1.9601707e-32,-57.527956,-0.30201336,8.1491936,190.48149,-11.785854,198.63311,6.0408131e-17,4340.8532,265898.53,1.2184538,343.48596,1,4
-0.70014896,-0.109757,8.7563417,6.3790822,22.120098,-1.0761772,0.068660227,0.66171903,0.03187656,8.9406793,20.758797,21.36999,-14.938544,0.58553892,0.018089642,0.055789585,8.7563417,0.32424765,22.120098,0.20606609,0.3558201,,,,,,,,-9.027549e-05,-0.085604535,5.7738515,0.0010545644,-1.103282,0.0017031617,0.028839755,6.9719137e-05,0.066036644,0.32044724,0.0010557644,0.20772086,0.0017048125,0.092528779,-0.22700862,-0.027762697,26.655834,8.1767494,-13.104576,-11.964073,0.47311744,4.9839896,0.037815882,8.9345971,131.7962,21.393402,201.00684,0.51692801,-41.919922,-0.16856453,5.7738515,248.68768,-1.103282,344.92677,1.5121197e-05,-36.264753,-0.14684186,26.655834,246.96468,-13.104576,343.33918,0.00013645558,10.745625,0.057010114,5.7738515,188.48629,-1.103282,192.5463,0.14591795,3.0844437,0.016431074,26.655834,187.72016,-13.104576,191.5047,0.67117037,-5.2315258,-0.02771729,0.32044724,188.74593,0.20772086,192.72783,0.48054243,,,,,,,,-80.87259,-0.42714489,0.0010797801,189.33292,0.0017302343,195.11014,5.9158701e-34,-60.153016,-0.31771028,8.1861977,189.33292,-11.891467,195.11014,1.060907e-18,4325.5858,265792.06,1.219094,339.06631,1,5
-0.31429388,-0.049050874,9.3858633,6.4075084,22.407339,-0.28565774,0.41868113,2.2748165,0.097862895,9.5417043,23.244934,21.633485,-13.034974,0.094524722,0.017519898,0.050873008,9.3858633,0.34438495,22.407339,0.20592935,0.40158625,,,,,,,,-9.6604629e-06,-0.0092627437,5.6776367,0.0010429375,-0.60535995,0.0016835897,0.81380284,6.0246971e-05,0.057716177,0.34202928,0.0010438489,0.21636783,0.0016870906,0.14283212,0.43719913,0.053219024,30.865569,8.2150911,-11.167772,-12.119948,0.17012124,-0.17004592,-0.0012919577,9.5417043,131.6188,21.633485,201.58679,0.98243182,-31.337955,-0.12546037,5.6776367,249.7837,-0.60535995,341.61598,0.0013616265,-29.042317,-0.11681801,30.865569,248.61163,-11.167772,340.38943,0.0025327578,13.858666,0.073513021,5.6776367,188.51989,-0.60535995,190.49395,0.061247814,-7.3575009,-0.039207456,30.865569,187.65566,-11.167772,189.53247,0.31234504,15.428605,0.08169889,0.34202928,188.84718,0.21636783,190.46672,0.037898388,,,,,,,,-80.858581,-0.42986865,0.0010698014,188.10067,0.0017141453,192.85156,2.0614931e-34,-60.087681,-0.31944427,8.2269094,188.10067,-12.042382,192.85156,6.7244562e-19,4285.3632,265627.76,1.2199132,335.67277,1,6
-1.0839943,-0.14439591,9.4175643,7.507098,22.197033,0.77870313,0.017380998,1.4732847,0.072173816,9.556134,20.413008,21.428952,-10.29525,0.22043729,0.014719113,0.039542019,9.4175643,0.37223978,22.197033,0.24256281,0.51686307,,,,,,,,2.4133642e-05,0.023254215,7.6325526,0.001037818,0.22689824,0.0016739847,0.55459234,6.871324e-05,0.066112403,0.35984281,0.0010393396,0.23759309,0.0016797891,0.093931773,0.64761837,0.078285226,20.840056,8.272549,-10.997352,-12.206803,0.043900554,-2.034847,-0.015575981,9.5486609,130.64006,21.401014,201.82467,0.79098103,-39.993635,-0.16189587,7.6325526,247.03308,0.22689824,338.4988,3.4642206e-05,-33.882368,-0.13740887,20.840056,246.58064,-10.997352,337.29299,0.00038775643,-1.0654195,-0.0056537119,7.6325526,188.44602,0.22689824,188.67147,0.88578216,-1.2379445,-0.0066025696,20.840056,187.49436,-10.997352,187.73424,0.86525457,10.040323,0.053142659,0.35984281,188.93152,0.23759309,188.57727,0.17833762,,,,,,,,-81.013445,-0.43307566,0.0010630537,187.06534,0.0017011334,191.32597,5.8848502e-35,-60.114611,-0.32135623,8.3042278,187.06534,-12.180141,191.32597,4.0533025e-19,4252.8336,265475.64,1.2206784,332.802,1,7
-2.6029341,-0.24929368,9.1195877,10.441236,22.102481,3.8332003,3.4293636e-05,0.82528452,0.030588154,9.2647538,26.980527,21.534864,-1.0502455,0.60644979,-0.0012479055,-0.0029794554,9.1195877,0.41883676,22.102481,0.326808,0.96113414,,,,,,,,0.00010126857,0.097554388,8.8247927,0.0010380729,2.9971673,0.0017050977,0.013844949,7.3463589e-05,0.071039089,0.38848235,0.0010341291,0.30747253,0.0017007753,0.074554295,-1.4923874,-0.184508,30.809285,8.08847,2.344308,-12.039716,1.9946838e-06,-4.0197426,-0.02996473,9.2550815,134.14914,21.438045,211.62425,0.61070017,-58.262251,-0.23557371,8.8247927,247.32068,2.9971673,338.32705,1.808918e-09,-13.677693,-0.055904843,30.809285,244.66025,2.344308,336.05543,0.15295946,-4.5521447,-0.023739021,8.8247927,191.75789,2.9971673,197.4198,0.55011898,7.0874598,0.037237588,30.809285,190.3308,2.344308,197.69114,0.34133535,-6.4723881,-0.033652614,0.38848235,192.32943,0.30747253,198.08837,0.39872142,,,,,,,,-85.215745,-0.45332026,0.001057873,187.98133,0.001708148,199.68397,1.9753077e-38,-65.094869,-0.3462837,8.155471,187.98133,-11.999709,199.68397,4.4706742e-22,4270.3699,265641.81,1.2205779,332.32012,1,8
